state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2013 - 2014,1.32
,,2014 - 2015,0.96
,,2015 - 2016,0.68
,,2016 - 2017,1.07
,,2017 - 2018,0.43
,,2018 - 2019,0.77
,Jashpur,2000 - 2001,0.64
,,2001 - 2002,0.72
,,2002 - 2003,0.61
,,2003 - 2004,0.97
,,2004 - 2005,0.81
,,2005 - 2006,0.92
,,2006 - 2007,0.9
,,2007 - 2008,1.2
,,2008 - 2009,1.15
,,2009 - 2010,1.1
,,2010 - 2011,1.2
,,2011 - 2012,0.75
,,2014 - 2015,0.6
,,2015 - 2016,0.4
,,2016 - 2017,0.8
,,2020 - 2021,0.75
,,2021 - 2022,1.2
,,2022 - 2023,1.0
,Kabirdham,2000 - 2001,0.44
,,2001 - 2002,0.68
,,2002 - 2003,0.57
,,2003 - 2004,0.99
,,2004 - 2005,1.03
,,2005 - 2006,0.85
,,2006 - 2007,1.06
,,2007 - 2008,1.09
,,2008 - 2009,1.14
,,2009 - 2010,1.13
,,2010 - 2011,1.27
,,2011 - 2012,0.89
,,2012 - 2013,1.35
,,2013 - 2014,1.23
,,2014 - 2015,0.4
,,2015 - 2016,0.52
,,2016 - 2017,0.86
,,2017 - 2018,0.32
,,2018 - 2019,0.53
,,2019 - 2020,1.17
,,2020 - 2021,0.75
,,2021 - 2022,0.87
,,2022 - 2023,1.0
,Kanker,2000 - 2001,0.65
,,2001 - 2002,1.16
,,2002 - 2003,0.2
,,2003 - 2004,1.38
,,2004 - 2005,1.5
,,2005 - 2006,1.33
,,2014 - 2015,1.0
,,2017 - 2018,0.38
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.08
,,2021 - 2022,0.68
,,2022 - 2023,0.8
,Khairgarh chhuikhadan gandai,2022 - 2023,0.98
,Kondagaon,2011 - 2012,1.0
,,2012 - 2013,0.0
,Korba,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2004 - 2005,0.5
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,1.33
,,2008 - 2009,1.33
,,2009 - 2010,0.0
,,2010 - 2011,0.67
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.67
,,2015 - 2016,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Korea,2000 - 2001,0.6
,,2001 - 2002,0.5
,,2002 - 2003,0.43
,,2003 - 2004,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.67
,,2007 - 2008,0.75
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.0
,,2011 - 2012,0.67
,,2012 - 2013,0.0
,,2013 - 2014,1.0
,,2014 - 2015,0.6
,,2015 - 2016,0.25
,,2016 - 2017,0.75
,,2017 - 2018,0.33
,,2018 - 2019,0.67
,,2019 - 2020,0.8
,Mahasamund,2000 - 2001,0.64
,,2001 - 2002,1.2
,,2002 - 2003,0.82
,,2004 - 2005,1.21
,,2005 - 2006,1.13
,,2006 - 2007,1.2
,,2007 - 2008,1.41
,,2008 - 2009,1.63
,,2011 - 2012,1.0
,,2012 - 2013,2.0
,,2013 - 2014,1.0
,,2014 - 2015,1.5
,,2016 - 2017,1.0
,,2021 - 2022,2.0
,,2022 - 2023,1.5
,Mungeli,2011 - 2012,0.98
,,2012 - 2013,1.73
,,2013 - 2014,1.25
,,2014 - 2015,0.86
,,2015 - 2016,0.61
,,2016 - 2017,1.24
,,2017 - 2018,0.44
,,2018 - 2019,0.9
,,2019 - 2020,1.46
,,2020 - 2021,0.95
,,2021 - 2022,0.86
,,2022 - 2023,1.15
