state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2008 - 2009,0.7
,,2009 - 2010,0.81
,,2010 - 2011,0.96
,,2011 - 2012,0.76
,,2012 - 2013,1.04
,,2013 - 2014,1.18
,,2014 - 2015,0.84
,,2015 - 2016,0.86
,,2016 - 2017,1.37
,,2017 - 2018,1.19
,,2018 - 2019,1.16
,,2019 - 2020,0.76
,,2020 - 2021,1.32
,,2021 - 2022,1.09
,,2022 - 2023,1.07
,Baran,2000 - 2001,0.81
,,2001 - 2002,1.12
,,2002 - 2003,0.27
,,2003 - 2004,1.36
,,2004 - 2005,1.9
,,2005 - 2006,1.34
,,2006 - 2007,1.44
,,2007 - 2008,1.35
,,2008 - 2009,0.92
,,2009 - 2010,1.15
,,2010 - 2011,1.83
,,2011 - 2012,1.9
,,2012 - 2013,1.56
,,2013 - 2014,0.73
,,2014 - 2015,0.95
,,2015 - 2016,0.57
,,2016 - 2017,1.04
,,2017 - 2018,1.36
,,2018 - 2019,1.24
,,2019 - 2020,0.54
,,2020 - 2021,0.93
,,2021 - 2022,0.63
,,2022 - 2023,1.04
,Barmer,2016 - 2017,1.0
,Bharatpur,2000 - 2001,0.75
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2004 - 2005,1.4
,,2005 - 2006,1.25
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2011 - 2012,1.53
,,2012 - 2013,1.0
,,2013 - 2014,0.8
,,2015 - 2016,0.5
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,Bhilwara,2000 - 2001,0.69
,,2001 - 2002,1.09
,,2002 - 2003,0.5
,,2003 - 2004,1.4
,,2004 - 2005,1.43
,,2005 - 2006,1.15
,,2006 - 2007,1.2
,,2007 - 2008,1.08
,,2008 - 2009,1.13
,,2009 - 2010,0.68
,,2010 - 2011,1.46
,,2011 - 2012,1.19
,,2012 - 2013,1.08
,,2013 - 2014,1.38
,,2014 - 2015,1.03
,,2015 - 2016,0.68
,,2016 - 2017,0.81
,,2017 - 2018,1.08
,,2018 - 2019,1.51
,,2019 - 2020,0.48
,,2020 - 2021,1.3
,,2021 - 2022,1.53
,,2022 - 2023,0.78
,Bikaner,2003 - 2004,1.5
,Bundi,2000 - 2001,0.85
,,2001 - 2002,1.21
,,2002 - 2003,0.34
,,2003 - 2004,1.39
,,2004 - 2005,1.19
,,2005 - 2006,1.37
,,2006 - 2007,1.5
,,2007 - 2008,1.35
,,2008 - 2009,0.97
,,2009 - 2010,0.68
,,2010 - 2011,1.45
,,2011 - 2012,1.27
,,2012 - 2013,1.48
,,2013 - 2014,0.95
,,2014 - 2015,1.07
,,2015 - 2016,0.93
,,2016 - 2017,1.02
,,2017 - 2018,1.42
,,2018 - 2019,1.15
,,2019 - 2020,0.49
,,2020 - 2021,0.86
,,2021 - 2022,0.64
,,2022 - 2023,1.18
,Chittorgarh,2000 - 2001,0.5
,,2001 - 2002,0.95
,,2002 - 2003,0.75
,,2003 - 2004,1.49
,,2004 - 2005,1.0
,,2005 - 2006,0.92
,,2006 - 2007,0.9
,,2007 - 2008,1.12
,,2008 - 2009,1.24
,,2009 - 2010,0.99
,,2010 - 2011,1.28
,,2011 - 2012,1.51
,,2012 - 2013,1.48
,,2013 - 2014,0.86
,,2014 - 2015,1.25
,,2015 - 2016,0.55
,,2016 - 2017,0.81
,,2017 - 2018,0.83
,,2018 - 2019,1.31
,,2019 - 2020,0.42
,,2020 - 2021,0.85
,,2021 - 2022,0.6
,,2022 - 2023,0.99
,Dausa,2011 - 2012,1.5
,,2012 - 2013,1.0
,,2016 - 2017,1.0
,,2021 - 2022,0.67
,Dholpur,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2003 - 2004,1.43
,,2005 - 2006,1.18
,,2006 - 2007,1.33
,,2011 - 2012,1.33
,,2012 - 2013,1.5
,,2013 - 2014,0.83
,,2014 - 2015,1.0
,,2021 - 2022,1.0
,Dungarpur,2000 - 2001,0.7
,,2001 - 2002,1.05
,,2002 - 2003,0.52
,,2003 - 2004,1.44
,,2004 - 2005,1.43
,,2005 - 2006,1.15
,,2006 - 2007,1.2
,,2007 - 2008,1.34
,,2008 - 2009,0.97
,,2009 - 2010,1.17
,,2010 - 2011,1.46
,,2011 - 2012,1.54
,,2012 - 2013,1.41
,,2013 - 2014,0.83
,,2014 - 2015,1.04
,,2015 - 2016,0.88
,,2016 - 2017,1.22
,,2017 - 2018,0.92
,,2018 - 2019,1.32
,,2019 - 2020,0.44
,,2020 - 2021,0.94
,,2021 - 2022,0.94
,,2022 - 2023,0.68
,Ganganagar,2002 - 2003,0.0
,,2003 - 2004,1.33
,,2015 - 2016,0.75
,Hanumangarh,2007 - 2008,1.4
,,2008 - 2009,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2021 - 2022,1.0
,Jaipur,2000 - 2001,1.0
,,2001 - 2002,1.2
,,2004 - 2005,1.39
,,2011 - 2012,1.6
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Jalore,2004 - 2005,1.5
,,2005 - 2006,1.0
,,2008 - 2009,1.0
,Jhalawar,2000 - 2001,0.53
,,2001 - 2002,1.09
,,2002 - 2003,0.5
,,2003 - 2004,1.19
,,2004 - 2005,1.39
,,2005 - 2006,1.03
,,2006 - 2007,1.2
,,2007 - 2008,1.38
,,2008 - 2009,0.97
,,2009 - 2010,1.21
,,2010 - 2011,1.32
,,2011 - 2012,1.55
,,2012 - 2013,1.41
,,2013 - 2014,0.61
,,2014 - 2015,1.0
,,2015 - 2016,0.53
,,2016 - 2017,1.04
,,2017 - 2018,1.35
,,2018 - 2019,1.24
,,2019 - 2020,0.28
,,2020 - 2021,0.57
,,2021 - 2022,0.67
,,2022 - 2023,0.88
,Jhunjhunu,2012 - 2013,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2021 - 2022,1.0
,Jodhpur,2004 - 2005,1.33
,,2018 - 2019,1.0
,Karauli,2000 - 2001,0.67
,,2001 - 2002,1.5
,,2002 - 2003,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.17
,,2007 - 2008,1.37
,,2012 - 2013,2.0
,,2013 - 2014,0.83
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.2
,,2018 - 2019,1.25
,,2019 - 2020,0.67
,,2020 - 2021,0.95
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Kota,2000 - 2001,0.95
,,2001 - 2002,1.12
,,2002 - 2003,0.33
,,2003 - 2004,1.61
,,2004 - 2005,1.6
,,2005 - 2006,1.32
,,2006 - 2007,1.31
,,2007 - 2008,1.58
,,2008 - 2009,0.84
,,2009 - 2010,1.19
,,2010 - 2011,1.37
,,2011 - 2012,1.5
,,2012 - 2013,1.37
,,2013 - 2014,0.94
,,2014 - 2015,0.96
,,2015 - 2016,0.75
,,2016 - 2017,1.02
,,2017 - 2018,1.25
,,2018 - 2019,1.18
,,2019 - 2020,0.64
,,2020 - 2021,1.37
,,2021 - 2022,0.86
,,2022 - 2023,1.13
,Nagaur,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2022 - 2023,1.0
,Pali,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,1.5
,,2004 - 2005,1.45
,,2005 - 2006,1.2
,,2006 - 2007,1.2
,,2007 - 2008,1.5
,,2008 - 2009,1.0
,,2012 - 2013,1.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.21
,,2018 - 2019,1.3
,,2019 - 2020,0.4
,,2020 - 2021,1.0
,,2021 - 2022,0.82
,,2022 - 2023,1.0
,Pratapgarh,2008 - 2009,1.21
,,2009 - 2010,1.56
,,2010 - 2011,1.35
,,2011 - 2012,1.21
,,2012 - 2013,1.16
,,2013 - 2014,1.12
,,2014 - 2015,1.1
,,2015 - 2016,0.86
,,2016 - 2017,1.33
,,2017 - 2018,1.19
,,2018 - 2019,1.39
,,2019 - 2020,0.33
,,2020 - 2021,1.16
,,2021 - 2022,1.12
,,2022 - 2023,1.21
,Rajsamand,2000 - 2001,0.67
,,2001 - 2002,1.0
,,2003 - 2004,1.43
,,2004 - 2005,1.42
,,2005 - 2006,1.17
,,2006 - 2007,1.25
,,2007 - 2008,1.34
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2012 - 2013,1.5
,,2014 - 2015,1.0
,,2015 - 2016,0.66
,,2016 - 2017,1.08
,,2017 - 2018,1.21
,,2018 - 2019,1.25
,,2019 - 2020,0.47
,,2020 - 2021,0.97
,,2021 - 2022,0.8
,,2022 - 2023,1.02
,Sawai madhopur,2000 - 2001,0.69
,,2001 - 2002,1.09
,,2002 - 2003,0.5
,,2003 - 2004,1.4
,,2004 - 2005,1.42
,,2005 - 2006,1.15
,,2006 - 2007,1.2
,,2007 - 2008,1.21
,,2008 - 2009,1.34
,,2009 - 2010,1.1
,,2010 - 2011,1.46
,,2011 - 2012,1.12
,,2012 - 2013,1.16
,,2013 - 2014,1.31
,,2014 - 2015,1.43
,,2015 - 2016,1.04
,,2016 - 2017,1.46
,,2017 - 2018,1.11
,,2018 - 2019,1.35
,,2019 - 2020,1.24
,,2020 - 2021,1.68
,,2021 - 2022,1.26
,,2022 - 2023,0.74
,Sikar,2004 - 2005,1.0
,,2007 - 2008,1.0
,,2012 - 2013,1.0
,,2016 - 2017,1.0
,,2018 - 2019,1.29
,,2022 - 2023,1.0
,Sirohi,2010 - 2011,1.33
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2020 - 2021,1.0
,Tonk,2000 - 2001,0.69
,,2001 - 2002,1.09
,,2002 - 2003,0.5
,,2003 - 2004,1.4
,,2004 - 2005,1.43
,,2005 - 2006,1.14
,,2006 - 2007,1.2
,,2007 - 2008,1.34
,,2008 - 2009,0.97
,,2009 - 2010,1.17
,,2010 - 2011,1.46
,,2011 - 2012,1.55
,,2012 - 2013,1.41
,,2013 - 2014,0.83
,,2014 - 2015,1.04
,,2015 - 2016,0.67
,,2016 - 2017,0.96
,,2017 - 2018,1.21
,,2018 - 2019,1.26
,,2019 - 2020,0.47
,,2020 - 2021,0.97
,,2021 - 2022,0.8
,,2022 - 2023,1.02
,Udaipur,2000 - 2001,0.69
,,2001 - 2002,1.09
,,2002 - 2003,0.5
,,2003 - 2004,1.4
,,2004 - 2005,1.43
,,2005 - 2006,1.15
,,2006 - 2007,1.2
,,2007 - 2008,0.71
,,2008 - 2009,1.02
,,2009 - 2010,0.6
,,2010 - 2011,1.46
,,2011 - 2012,1.51
,,2012 - 2013,0.9
,,2013 - 2014,1.32
,,2014 - 2015,1.1
,,2015 - 2016,0.58
,,2016 - 2017,0.95
,,2017 - 2018,0.91
,,2018 - 2019,1.24
,,2019 - 2020,0.54
,,2020 - 2021,1.0
,,2021 - 2022,1.13
,,2022 - 2023,1.02
Sikkim,Gangtok,2000 - 2001,0.83
,,2001 - 2002,0.79
,,2002 - 2003,0.7
,,2003 - 2004,0.84
,,2004 - 2005,0.87
,,2005 - 2006,0.93
,,2006 - 2007,1.0
,,2007 - 2008,0.88
,,2008 - 2009,0.89
,,2009 - 2010,0.88
,,2010 - 2011,0.97
,,2011 - 2012,0.96
,,2012 - 2013,0.98
,,2013 - 2014,0.98
,,2014 - 2015,0.99
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.0
,Geyzing,2000 - 2001,0.84
,,2001 - 2002,0.81
,,2002 - 2003,0.74
,,2003 - 2004,0.81
,,2004 - 2005,0.81
,,2005 - 2006,0.81
,,2006 - 2007,1.0
,,2007 - 2008,0.89
,,2008 - 2009,0.88
,,2009 - 2010,0.88
,,2010 - 2011,0.88
,,2011 - 2012,0.87
,,2012 - 2013,0.92
,,2013 - 2014,0.92
,,2014 - 2015,0.92
,,2015 - 2016,0.95
,,2016 - 2017,0.95
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,0.96
,Mangan,2000 - 2001,0.67
,,2001 - 2002,0.69
,,2002 - 2003,0.6
,,2003 - 2004,0.75
,,2004 - 2005,0.78
,,2005 - 2006,0.78
,,2006 - 2007,1.0
,,2007 - 2008,7.75
,,2008 - 2009,0.83
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.86
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.87
,Namchi,2000 - 2001,0.84
,,2001 - 2002,0.82
,,2002 - 2003,0.82
,,2003 - 2004,0.85
,,2004 - 2005,0.09
,,2005 - 2006,8.86
,,2006 - 2007,1.0
,,2007 - 2008,0.87
,,2008 - 2009,0.88
,,2009 - 2010,0.88
,,2010 - 2011,0.88
,,2011 - 2012,0.89
,,2012 - 2013,0.94
,,2013 - 2014,0.97
,,2014 - 2015,0.97
,,2015 - 2016,0.98
,,2016 - 2017,0.99
,,2017 - 2018,0.99
,,2018 - 2019,0.99
,,2019 - 2020,0.99
,,2020 - 2021,0.99
,,2021 - 2022,0.99
,,2022 - 2023,0.99
,Pakyong,2021 - 2022,1.0
,,2022 - 2023,1.0
,Soreng,2022 - 2023,0.93
Tamil Nadu,Coimbatore,2005 - 2006,0.0
,Dindigul,2005 - 2006,0.0
,Erode,2005 - 2006,0.0
,Karur,2005 - 2006,0.0
,Nagapattinam,2005 - 2006,0.0
,Salem,2005 - 2006,0.0
,Thanjavur,2005 - 2006,0.0
,Thiruvallur,2005 - 2006,0.0
,Thoothukudi,2005 - 2006,0.0
,Tirunelveli,2005 - 2006,0.0
,Tiruvannamalai,2005 - 2006,0.0
,Vellore,2005 - 2006,0.0
Telangana,Adilabad,2002 - 2003,0.0
,,2003 - 2004,1.58
,,2004 - 2005,1.56
,,2005 - 2006,1.95
,,2006 - 2007,1.62
,,2008 - 2009,1.23
,,2009 - 2010,0.57
,,2010 - 2011,1.37
,,2011 - 2012,1.41
,,2013 - 2014,1.16
,,2014 - 2015,0.83
,,2015 - 2016,1.0
,,2016 - 2017,1.35
,,2017 - 2018,1.54
,,2018 - 2019,1.56
,,2019 - 2020,1.8
,,2020 - 2021,1.35
,,2021 - 2022,1.8
,,2022 - 2023,1.58
,Bhadradri,2016 - 2017,1.16
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2021 - 2022,
,Jagitial,2016 - 2017,1.91
,,2017 - 2018,1.39
,,2018 - 2019,1.41
,,2019 - 2020,1.66
,,2020 - 2021,1.6
,,2021 - 2022,1.92
,,2022 - 2023,1.6
,Jangoan,2016 - 2017,1.16
,,2020 - 2021,1.5
,,2021 - 2022,1.75
,,2022 - 2023,1.67
,Jayashankar,2016 - 2017,1.17
,,2020 - 2021,1.5
,,2021 - 2022,1.8
,,2022 - 2023,2.0
,Jogulamba,2016 - 2017,1.11
,,2020 - 2021,1.6
,,2021 - 2022,1.8
,,2022 - 2023,1.61
,Kamareddy,2016 - 2017,0.98
,,2017 - 2018,1.88
,,2018 - 2019,1.66
,,2019 - 2020,2.04
,,2020 - 2021,1.51
,,2021 - 2022,1.8
,,2022 - 2023,1.37
,Karimnagar,2005 - 2006,2.0
,,2006 - 2007,1.53
,,2008 - 2009,1.36
,,2009 - 2010,0.82
,,2010 - 2011,1.7
,,2011 - 2012,1.62
,,2013 - 2014,1.61
,,2014 - 2015,1.08
,,2015 - 2016,1.28
,,2016 - 2017,1.91
,,2017 - 2018,1.6
,,2018 - 2019,1.63
,,2021 - 2022,2.0
,,2022 - 2023,1.67
,Khammam,2010 - 2011,1.67
,,2011 - 2012,1.63
,,2013 - 2014,1.62
,,2016 - 2017,1.14
,,2017 - 2018,1.64
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.6
,Komaram bheem asifabad,2016 - 2017,1.35
,,2017 - 2018,1.35
,,2018 - 2019,1.17
,,2019 - 2020,1.19
,,2020 - 2021,1.25
,,2021 - 2022,1.19
,,2022 - 2023,1.22
,Mahabubabad,2016 - 2017,1.17
,,2017 - 2018,1.63
,,2018 - 2019,1.6
,,2019 - 2020,1.83
,,2020 - 2021,1.67
,Mahbubnagar,2005 - 2006,2.0
,,2010 - 2011,1.67
,,2011 - 2012,1.5
,,2014 - 2015,1.0
,,2016 - 2017,1.16
,,2017 - 2018,1.63
,,2019 - 2020,2.0
,,2020 - 2021,1.0
,,2021 - 2022,1.8
,Mancherial,2016 - 2017,1.35
,,2017 - 2018,1.62
,,2018 - 2019,1.59
,,2019 - 2020,1.75
,,2020 - 2021,1.5
,,2021 - 2022,1.73
,,2022 - 2023,1.63
,Medak,2003 - 2004,1.58
,,2004 - 2005,1.56
,,2005 - 2006,2.0
,,2006 - 2007,0.8
,,2008 - 2009,1.24
,,2009 - 2010,0.22
,,2010 - 2011,1.0
,,2011 - 2012,1.16
,,2013 - 2014,1.4
,,2014 - 2015,1.03
,,2015 - 2016,0.95
,,2016 - 2017,1.06
,,2017 - 2018,1.25
,,2018 - 2019,1.44
,,2019 - 2020,1.8
,,2020 - 2021,1.5
,,2021 - 2022,1.7
,,2022 - 2023,1.6
,Medchal,2017 - 2018,1.5
,,2019 - 2020,1.8
,,2021 - 2022,1.5
,Mulugu,2021 - 2022,
,Nagarkurnool,2016 - 2017,1.16
,,2022 - 2023,1.6
,Nalgonda,2004 - 2005,1.55
,,2005 - 2006,2.0
,,2013 - 2014,1.63
,,2016 - 2017,1.16
,,2020 - 2021,1.5
,,2021 - 2022,1.71
,Narayanapet,2021 - 2022,1.5
,Nirmal,2016 - 2017,1.36
,,2017 - 2018,1.28
,,2018 - 2019,1.36
,,2019 - 2020,1.63
,,2020 - 2021,1.36
,,2021 - 2022,1.42
,,2022 - 2023,1.83
,Nizamabad,2002 - 2003,0.0
,,2003 - 2004,1.58
,,2004 - 2005,1.55
,,2005 - 2006,2.27
,,2006 - 2007,1.19
,,2008 - 2009,1.66
,,2009 - 2010,1.27
,,2010 - 2011,2.1
,,2011 - 2012,1.86
,,2013 - 2014,2.16
,,2014 - 2015,1.37
,,2015 - 2016,1.07
,,2016 - 2017,0.98
,,2017 - 2018,1.84
,,2018 - 2019,1.83
,,2019 - 2020,2.12
,,2020 - 2021,1.96
,,2021 - 2022,2.26
,,2022 - 2023,1.85
,Peddapalli,2016 - 2017,1.92
,,2021 - 2022,1.75
,,2022 - 2023,1.6
,Rajanna,2016 - 2017,1.91
,,2017 - 2018,1.62
,,2019 - 2020,1.8
,,2020 - 2021,1.5
,,2021 - 2022,
,,2022 - 2023,2.0
,Rangareddi,2004 - 2005,1.55
,,2005 - 2006,2.0
,,2006 - 2007,1.52
,,2008 - 2009,1.33
,,2009 - 2010,0.83
,,2010 - 2011,1.7
,,2011 - 2012,1.6
,,2013 - 2014,1.61
,,2014 - 2015,1.08
,,2015 - 2016,1.04
,,2016 - 2017,1.17
,,2017 - 2018,1.63
,,2018 - 2019,1.62
,,2020 - 2021,1.6
,,2021 - 2022,1.74
,,2022 - 2023,1.62
,Sangareddy,2016 - 2017,1.06
,,2017 - 2018,1.5
,,2018 - 2019,1.41
,,2019 - 2020,1.46
,,2020 - 2021,1.34
,,2021 - 2022,1.47
,,2022 - 2023,1.53
,Siddipet,2016 - 2017,1.06
,,2017 - 2018,1.62
,,2018 - 2019,1.59
,,2019 - 2020,1.77
,,2020 - 2021,1.56
,,2021 - 2022,1.73
,,2022 - 2023,1.62
,Vikarabad,2016 - 2017,1.17
,,2017 - 2018,1.62
,,2018 - 2019,1.71
,,2019 - 2020,2.22
,,2020 - 2021,1.47
,,2021 - 2022,1.39
,,2022 - 2023,1.21
,Wanaparthy,2016 - 2017,1.14
,,2021 - 2022,1.73
,,2022 - 2023,1.61
,Warangal,2004 - 2005,1.57
,,2008 - 2009,1.37
,,2009 - 2010,0.75
,,2010 - 2011,1.75
,,2013 - 2014,1.61
,,2014 - 2015,1.08
,,2015 - 2016,1.04
,,2016 - 2017,1.17
,,2017 - 2018,1.64
,,2018 - 2019,1.58
,,2019 - 2020,1.8
,,2020 - 2021,1.53
,,2021 - 2022,1.73
,,2022 - 2023,1.6
,Warangal urban,2016 - 2017,1.17
,,2017 - 2018,2.0
,,2018 - 2019,1.6
,,2019 - 2020,1.78
,,2020 - 2021,1.47
,,2021 - 2022,1.73
,,2022 - 2023,1.61
,Yadadri,2016 - 2017,1.17
,,2017 - 2018,1.57
,,2020 - 2021,1.33
,,2021 - 2022,
,,2022 - 2023,2.0
Tripura,Dhalai,2015 - 2016,0.87
,,2016 - 2017,
,,2017 - 2018,0.71
,,2019 - 2020,0.72
,Gomati,2015 - 2016,0.86
,,2016 - 2017,
,,2017 - 2018,0.65
,,2018 - 2019,0.75
,,2019 - 2020,
,Khowai,2015 - 2016,0.89
,,2016 - 2017,
,,2017 - 2018,0.71
,,2018 - 2019,0.8
,,2019 - 2020,0.75
,North tripura,2015 - 2016,0.88
,,2016 - 2017,
,,2017 - 2018,0.74
,,2018 - 2019,0.76
,,2019 - 2020,0.73
,Sepahijala,2015 - 2016,0.88
,,2016 - 2017,
,,2017 - 2018,0.68
,,2018 - 2019,0.66
,,2019 - 2020,
,South tripura,2015 - 2016,0.89
,,2016 - 2017,
,,2017 - 2018,0.5
,,2018 - 2019,0.78
,,2019 - 2020,0.73
,Unakoti,2015 - 2016,0.85
,,2016 - 2017,
,,2017 - 2018,0.7
,,2018 - 2019,0.8
,,2019 - 2020,
,West tripura,2015 - 2016,0.89
,,2016 - 2017,
,,2017 - 2018,0.72
,,2019 - 2020,
Uttar Pradesh,Agra,2000 - 2001,1.0
,Allahabad,2000 - 2001,0.58
,,2001 - 2002,0.73
,Auraiya,2000 - 2001,1.0
,,2004 - 2005,1.0
,,2009 - 2010,1.0
,Azamgarh,2000 - 2001,1.0
,,2012 - 2013,1.5
,Bahraich,2000 - 2001,0.53
,,2001 - 2002,0.73
,,2002 - 2003,0.14
,,2004 - 2005,0.41
,,2006 - 2007,0.95
,,2007 - 2008,0.67
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.42
,,2013 - 2014,0.57
,,2014 - 2015,0.71
,,2015 - 2016,0.25
,,2016 - 2017,0.67
,,2017 - 2018,0.78
,,2018 - 2019,0.9
,,2019 - 2020,0.51
,,2020 - 2021,0.69
,Banda,2000 - 2001,0.59
,,2001 - 2002,0.72
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.79
,,2006 - 2007,0.98
,,2007 - 2008,0.67
,,2008 - 2009,0.87
,,2009 - 2010,1.06
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.41
,,2013 - 2014,0.57
,,2014 - 2015,0.71
,,2015 - 2016,0.19
,,2016 - 2017,0.68
,,2017 - 2018,0.77
,,2018 - 2019,0.9
,,2019 - 2020,0.5
,,2020 - 2021,0.69
,,2022 - 2023,0.54
,Barabanki,2001 - 2002,0.71
,,2014 - 2015,1.0
,Bareilly,2003 - 2004,1.06
,,2004 - 2005,0.41
,,2005 - 2006,0.81
,,2006 - 2007,0.94
,,2007 - 2008,0.68
,,2009 - 2010,1.06
,,2011 - 2012,1.26
,,2012 - 2013,1.4
,,2015 - 2016,0.2
,Bijnor,2001 - 2002,0.75
,,2003 - 2004,1.0
,,2004 - 2005,0.4
,,2005 - 2006,0.8
,,2006 - 2007,1.0
,Budaun,2000 - 2001,0.63
,,2002 - 2003,0.18
,,2004 - 2005,0.44
,,2006 - 2007,1.0
,,2007 - 2008,0.71
,Chitrakoot,2000 - 2001,0.6
,,2001 - 2002,0.75
,,2003 - 2004,1.2
,,2004 - 2005,0.46
,,2005 - 2006,0.67
,,2006 - 2007,1.0
,,2007 - 2008,0.71
,,2009 - 2010,1.05
,,2010 - 2011,1.2
,,2011 - 2012,1.26
,,2012 - 2013,1.42
,,2013 - 2014,0.58
,,2014 - 2015,0.71
,,2016 - 2017,0.67
,,2017 - 2018,0.78
,,2018 - 2019,0.91
,,2019 - 2020,0.51
,,2020 - 2021,0.69
,,2022 - 2023,0.5
,Deoria,2001 - 2002,0.67
,Etah,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,Fatehpur,2000 - 2001,0.5
,,2004 - 2005,0.33
,,2006 - 2007,1.0
,,2010 - 2011,1.0
,Gonda,2000 - 2001,0.6
,Hamirpur,2000 - 2001,0.59
,,2001 - 2002,0.72
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.77
,,2006 - 2007,0.98
,,2007 - 2008,0.69
,,2008 - 2009,0.85
,,2009 - 2010,1.0
,,2010 - 2011,1.21
,,2011 - 2012,1.23
,,2012 - 2013,1.41
,,2013 - 2014,0.58
,,2014 - 2015,0.72
,,2015 - 2016,0.17
,,2016 - 2017,0.67
,,2017 - 2018,0.79
,,2018 - 2019,0.9
,,2019 - 2020,0.52
,,2020 - 2021,0.69
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Hardoi,2000 - 2001,0.56
,,2001 - 2002,0.73
,,2002 - 2003,0.18
,,2003 - 2004,1.08
,,2004 - 2005,0.38
,,2006 - 2007,1.0
,,2013 - 2014,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2020 - 2021,0.5
,Jalaun,2000 - 2001,0.69
,,2001 - 2002,0.73
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.78
,,2006 - 2007,0.98
,,2007 - 2008,0.67
,,2008 - 2009,0.86
,,2010 - 2011,1.24
,,2011 - 2012,1.25
,,2012 - 2013,1.4
,,2013 - 2014,0.58
,,2014 - 2015,0.72
,,2015 - 2016,0.17
,,2016 - 2017,0.63
,,2017 - 2018,0.77
,,2018 - 2019,0.87
,,2019 - 2020,0.51
,,2020 - 2021,0.68
,,2021 - 2022,0.52
,,2022 - 2023,0.53
,Jaunpur,2002 - 2003,0.2
,Jhansi,2000 - 2001,0.5
,,2001 - 2002,0.66
,,2002 - 2003,0.16
,,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.78
,,2006 - 2007,0.98
,,2007 - 2008,0.67
,,2008 - 2009,0.86
,,2009 - 2010,1.06
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.41
,,2013 - 2014,0.58
,,2014 - 2015,0.72
,,2015 - 2016,0.18
,,2016 - 2017,0.65
,,2017 - 2018,0.34
,,2018 - 2019,0.87
,,2019 - 2020,0.08
,,2020 - 2021,0.48
,,2021 - 2022,2.0
,,2022 - 2023,0.81
,Kannauj,2000 - 2001,0.61
,,2003 - 2004,1.0
,Kanpur dehat,2003 - 2004,1.07
,,2004 - 2005,0.41
,,2005 - 2006,0.78
,,2006 - 2007,0.97
,,2007 - 2008,0.67
,,2008 - 2009,0.86
,,2010 - 2011,1.23
,,2011 - 2012,1.25
,,2012 - 2013,1.41
,,2013 - 2014,0.57
,,2014 - 2015,0.7
,,2015 - 2016,0.2
,,2016 - 2017,0.67
