state,district,year,horse_gram_kharif_yield_tonne_per_hectare
,,2022 - 2023,0.63
,Hassan,2000 - 2001,0.27
,,2001 - 2002,0.61
,,2002 - 2003,0.19
,,2003 - 2004,0.26
,,2004 - 2005,0.6
,,2005 - 2006,0.46
,,2006 - 2007,0.48
,,2007 - 2008,0.49
,,2008 - 2009,0.47
,,2009 - 2010,0.43
,,2010 - 2011,0.82
,,2011 - 2012,0.63
,,2012 - 2013,0.31
,,2013 - 2014,0.42
,,2014 - 2015,0.57
,,2015 - 2016,0.39
,,2016 - 2017,0.24
,,2017 - 2018,0.55
,,2018 - 2019,0.32
,,2019 - 2020,0.55
,,2020 - 2021,0.61
,,2021 - 2022,0.48
,,2022 - 2023,0.62
,Haveri,2000 - 2001,1.27
,,2001 - 2002,0.53
,,2002 - 2003,0.39
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.57
,,2006 - 2007,0.36
,,2007 - 2008,0.51
,,2008 - 2009,0.46
,,2009 - 2010,0.53
,,2010 - 2011,0.58
,,2011 - 2012,0.55
,,2012 - 2013,0.41
,,2013 - 2014,0.5
,,2014 - 2015,0.46
,,2015 - 2016,0.47
,,2016 - 2017,0.5
,,2017 - 2018,0.69
,,2018 - 2019,0.43
,,2019 - 2020,0.76
,,2020 - 2021,0.68
,,2021 - 2022,0.63
,,2022 - 2023,0.6
,Kodagu,2003 - 2004,
,,2004 - 2005,0.52
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.57
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2018 - 2019,0.4
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Kolar,2000 - 2001,0.39
,,2001 - 2002,0.61
,,2002 - 2003,0.21
,,2003 - 2004,0.26
,,2004 - 2005,0.4
,,2005 - 2006,0.47
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.39
,,2009 - 2010,0.59
,,2010 - 2011,0.64
,,2011 - 2012,1.09
,,2012 - 2013,0.82
,,2013 - 2014,0.81
,,2014 - 2015,0.9
,,2015 - 2016,0.76
,,2016 - 2017,0.21
,,2017 - 2018,0.84
,,2018 - 2019,0.26
,,2019 - 2020,0.66
,,2020 - 2021,0.64
,,2021 - 2022,0.32
,,2022 - 2023,0.78
,Koppal,2000 - 2001,0.63
,,2001 - 2002,0.18
,,2002 - 2003,0.15
,,2003 - 2004,0.34
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,0.1
,,2007 - 2008,0.32
,,2008 - 2009,0.27
,,2009 - 2010,0.2
,,2010 - 2011,0.35
,,2011 - 2012,0.21
,,2012 - 2013,0.31
,,2013 - 2014,0.3
,,2014 - 2015,0.39
,,2015 - 2016,0.31
,,2016 - 2017,0.36
,,2017 - 2018,0.62
,,2018 - 2019,0.39
,,2019 - 2020,0.46
,,2020 - 2021,0.59
,,2021 - 2022,0.42
,,2022 - 2023,0.45
,Mandya,2000 - 2001,0.6
,,2001 - 2002,0.58
,,2002 - 2003,0.33
,,2003 - 2004,0.27
,,2004 - 2005,0.57
,,2005 - 2006,0.48
,,2006 - 2007,0.3
,,2007 - 2008,0.55
,,2008 - 2009,0.39
,,2009 - 2010,0.5
,,2010 - 2011,0.6
,,2011 - 2012,0.61
,,2012 - 2013,0.39
,,2013 - 2014,0.44
,,2014 - 2015,0.43
,,2015 - 2016,0.44
,,2016 - 2017,0.09
,,2017 - 2018,0.78
,,2018 - 2019,0.5
,,2019 - 2020,0.72
,,2020 - 2021,0.63
,,2021 - 2022,0.79
,,2022 - 2023,0.69
,Mysore,2000 - 2001,0.74
,,2001 - 2002,0.83
,,2002 - 2003,0.45
,,2003 - 2004,0.25
,,2004 - 2005,0.33
,,2005 - 2006,0.49
,,2006 - 2007,0.29
,,2007 - 2008,0.37
,,2008 - 2009,0.35
,,2009 - 2010,0.76
,,2010 - 2011,0.58
,,2011 - 2012,0.58
,,2012 - 2013,0.23
,,2013 - 2014,0.28
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,0.68
,,2018 - 2019,
,,2019 - 2020,0.68
,,2020 - 2021,0.67
,,2021 - 2022,0.75
,,2022 - 2023,0.43
,Raichur,2000 - 2001,0.23
,,2001 - 2002,0.53
,,2002 - 2003,0.25
,,2003 - 2004,0.11
,,2004 - 2005,0.25
,,2005 - 2006,0.41
,,2006 - 2007,0.21
,,2007 - 2008,0.49
,,2008 - 2009,0.44
,,2009 - 2010,0.32
,,2010 - 2011,0.43
,,2011 - 2012,0.31
,,2012 - 2013,0.41
,,2013 - 2014,0.57
,,2014 - 2015,0.33
,,2015 - 2016,0.31
,,2016 - 2017,0.61
,,2017 - 2018,
,,2018 - 2019,0.42
,,2019 - 2020,0.92
,,2020 - 2021,0.67
,,2021 - 2022,0.63
,,2022 - 2023,0.63
,Ramanagara,2007 - 2008,0.76
,,2008 - 2009,0.52
,,2009 - 2010,0.43
,,2010 - 2011,0.77
,,2011 - 2012,0.84
,,2012 - 2013,0.57
,,2013 - 2014,0.82
,,2014 - 2015,0.6
,,2015 - 2016,0.75
,,2016 - 2017,0.27
,,2017 - 2018,0.66
,,2018 - 2019,0.51
,,2019 - 2020,0.96
,,2020 - 2021,0.81
,,2021 - 2022,0.79
,,2022 - 2023,0.97
,Shimoga,2000 - 2001,0.45
,,2001 - 2002,0.37
,,2002 - 2003,0.49
,,2003 - 2004,0.35
,,2004 - 2005,0.52
,,2005 - 2006,0.57
,,2006 - 2007,0.36
,,2007 - 2008,0.51
,,2008 - 2009,0.45
,,2009 - 2010,0.53
,,2010 - 2011,0.57
,,2011 - 2012,0.54
,,2012 - 2013,0.42
,,2013 - 2014,0.5
,,2014 - 2015,0.48
,,2015 - 2016,0.45
,,2016 - 2017,0.33
,,2017 - 2018,0.68
,,2018 - 2019,0.42
,,2019 - 2020,0.77
,,2020 - 2021,0.7
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Tumkur,2000 - 2001,0.44
,,2001 - 2002,0.35
,,2002 - 2003,0.39
,,2003 - 2004,0.38
,,2004 - 2005,0.47
,,2005 - 2006,0.58
,,2006 - 2007,0.37
,,2007 - 2008,0.63
,,2008 - 2009,0.53
,,2009 - 2010,0.5
,,2010 - 2011,0.59
,,2011 - 2012,0.54
,,2012 - 2013,0.41
,,2013 - 2014,0.46
,,2014 - 2015,0.48
,,2015 - 2016,0.47
,,2016 - 2017,0.25
,,2017 - 2018,0.58
,,2018 - 2019,0.41
,,2019 - 2020,0.71
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.52
,Udupi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.52
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kannad,2000 - 2001,0.57
,,2001 - 2002,0.53
,,2002 - 2003,0.39
,,2003 - 2004,0.35
,,2004 - 2005,0.5
,,2005 - 2006,0.58
,,2006 - 2007,0.33
,,2007 - 2008,0.54
,,2008 - 2009,0.46
,,2009 - 2010,0.53
,,2010 - 2011,0.6
,,2011 - 2012,0.54
,,2012 - 2013,0.44
,,2013 - 2014,0.53
,,2014 - 2015,0.43
,,2015 - 2016,0.5
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.0
,,2019 - 2020,
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,,2022 - 2023,
,Vijayanagar,2022 - 2023,0.95
,Yadgir,2010 - 2011,0.58
,,2011 - 2012,0.54
,,2012 - 2013,0.41
,,2013 - 2014,0.5
,,2014 - 2015,0.45
,,2015 - 2016,0.5
,,2016 - 2017,0.33
,,2017 - 2018,0.6
,,2018 - 2019,0.44
,,2019 - 2020,0.75
,,2020 - 2021,0.67
,,2021 - 2022,0.5
,,2022 - 2023,0.67
Kerala,Kannur,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Kasaragod,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Palakkad,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Wayanad,2012 - 2013,
Madhya Pradesh,Alirajpur,2008 - 2009,0.43
,,2009 - 2010,0.4
,,2010 - 2011,0.43
,,2011 - 2012,0.31
,,2012 - 2013,0.5
,,2013 - 2014,0.63
,,2015 - 2016,0.33
,,2016 - 2017,0.67
,,2017 - 2018,0.45
,,2018 - 2019,0.45
,Anuppur,2003 - 2004,0.22
,,2004 - 2005,0.27
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.27
,,2008 - 2009,0.25
,,2009 - 2010,0.29
,,2010 - 2011,0.17
,,2011 - 2012,0.2
,,2012 - 2013,0.34
,,2013 - 2014,0.36
,,2017 - 2018,0.38
,,2018 - 2019,0.25
,Balaghat,2003 - 2004,0.31
,,2004 - 2005,0.28
,,2005 - 2006,0.28
,,2006 - 2007,0.31
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,0.37
,,2010 - 2011,0.43
,,2011 - 2012,0.31
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2017 - 2018,0.44
,,2018 - 2019,0.51
,Barwani,2003 - 2004,0.25
,,2004 - 2005,0.18
,,2005 - 2006,0.12
,,2006 - 2007,0.13
,,2007 - 2008,0.14
,,2008 - 2009,0.1
,,2009 - 2010,0.13
,,2010 - 2011,0.15
,,2011 - 2012,0.1
,,2012 - 2013,0.27
,,2013 - 2014,0.24
,,2015 - 2016,0.03
,,2016 - 2017,0.33
,,2017 - 2018,0.56
,,2018 - 2019,0.29
,Betul,2003 - 2004,0.32
,,2004 - 2005,0.31
,,2005 - 2006,0.35
,,2012 - 2013,0.26
,Bhind,2003 - 2004,0.0
,,2004 - 2005,0.33
,Burhanpur,2003 - 2004,0.33
,,2004 - 2005,0.27
,,2005 - 2006,0.3
,,2006 - 2007,0.35
,,2007 - 2008,0.33
,,2008 - 2009,0.28
,,2009 - 2010,0.29
,,2010 - 2011,0.23
,,2014 - 2015,0.63
,Chhatarpur,2003 - 2004,
,,2004 - 2005,0.2
,,2005 - 2006,0.14
,,2006 - 2007,
,,2009 - 2010,
,Chhindwara,2003 - 2004,0.33
,,2004 - 2005,0.35
,,2005 - 2006,0.25
,,2006 - 2007,0.38
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.32
,,2010 - 2011,0.38
,,2011 - 2012,0.24
,,2012 - 2013,0.34
,,2013 - 2014,0.23
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2018 - 2019,0.0
,Damoh,2003 - 2004,0.0
,,2010 - 2011,0.2
,,2011 - 2012,
,Dhar,2003 - 2004,0.33
,,2004 - 2005,0.26
,,2005 - 2006,0.27
,,2006 - 2007,0.28
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.31
,,2010 - 2011,0.31
,,2011 - 2012,0.23
,,2012 - 2013,0.31
,,2013 - 2014,0.49
,,2014 - 2015,0.5
,,2015 - 2016,0.33
,,2016 - 2017,0.67
,,2017 - 2018,0.31
,,2018 - 2019,0.26
,Gwalior,2018 - 2019,0.0
,Harda,2007 - 2008,
,Hoshangabad,2004 - 2005,0.31
,,2009 - 2010,
,Jabalpur,2015 - 2016,0.27
,,2016 - 2017,0.42
,Jhabua,2003 - 2004,0.34
,,2004 - 2005,0.3
,,2005 - 2006,0.37
,,2006 - 2007,0.37
,,2007 - 2008,0.42
,,2008 - 2009,0.43
,,2009 - 2010,0.33
,,2010 - 2011,0.38
,,2011 - 2012,0.29
,,2012 - 2013,0.44
,,2013 - 2014,0.48
,,2014 - 2015,0.0
,,2018 - 2019,0.26
,Katni,2005 - 2006,
,Khandwa,2003 - 2004,0.34
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,0.34
,,2008 - 2009,0.34
,,2009 - 2010,0.29
,,2010 - 2011,0.29
,,2011 - 2012,0.2
,,2012 - 2013,0.23
,,2013 - 2014,0.54
,,2017 - 2018,0.3
,,2018 - 2019,0.0
,Khargone,2003 - 2004,0.27
,,2004 - 2005,0.2
,,2005 - 2006,0.19
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2008 - 2009,0.22
,,2009 - 2010,0.24
,,2010 - 2011,0.27
,,2011 - 2012,0.15
,,2012 - 2013,0.23
,,2013 - 2014,0.18
,,2014 - 2015,0.5
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,Mandla,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.2
,,2006 - 2007,0.2
,,2018 - 2019,0.33
,Narsinghpur,2011 - 2012,
,Raisen,2003 - 2004,0.22
,,2005 - 2006,
,,2007 - 2008,
,,2013 - 2014,0.5
,,2017 - 2018,0.35
,Rewa,2011 - 2012,0.33
,Sagar,2003 - 2004,0.0
,,2004 - 2005,0.33
,,2006 - 2007,
,,2012 - 2013,
,Satna,2005 - 2006,0.33
,Sehore,2018 - 2019,0.25
,Seoni,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.43
,,2006 - 2007,0.5
,,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2009 - 2010,0.43
,,2010 - 2011,0.27
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,Shahdol,2003 - 2004,0.24
,,2004 - 2005,0.22
,,2005 - 2006,0.22
,,2006 - 2007,0.29
,,2007 - 2008,0.28
,,2008 - 2009,0.3
,,2009 - 2010,0.29
,,2010 - 2011,0.27
,,2011 - 2012,0.2
,,2012 - 2013,0.6
,,2013 - 2014,0.7
,Shivpuri,2004 - 2005,
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,Ujjain,2008 - 2009,0.33
Nagaland,Chumoukedima,2022 - 2023,1.14
,Dimapur,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.2
,,2014 - 2015,1.14
,,2015 - 2016,1.11
,,2016 - 2017,1.11
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2022 - 2023,1.09
,Kiphire,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Kohima,2010 - 2011,1.25
,,2011 - 2012,1.25
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Longleng,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Mokokchung,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Mon,2010 - 2011,1.33
,,2011 - 2012,1.33
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Nuiland,2022 - 2023,1.18
,Peren,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.17
,,2021 - 2022,0.56
,,2022 - 2023,1.15
,Phek,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2014 - 2015,1.2
,,2015 - 2016,1.17
,,2016 - 2017,1.17
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.17
,Tuensang,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,Wokha,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2014 - 2015,1.17
,,2015 - 2016,1.17
,,2016 - 2017,1.17
,,2017 - 2018,1.17
,,2018 - 2019,1.17
,,2019 - 2020,1.17
,Zunheboto,2010 - 2011,1.33
,,2011 - 2012,1.33
,,2012 - 2013,1.25
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
Odisha,Anugul,2000 - 2001,0.18
,,2001 - 2002,0.28
,,2002 - 2003,0.14
,,2003 - 2004,0.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balangir,2000 - 2001,0.15
,,2001 - 2002,0.27
,,2002 - 2003,0.11
,,2003 - 2004,0.23
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baleshwar,2002 - 2003,0.5
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Bargarh,2000 - 2001,0.13
,,2001 - 2002,0.31
,,2002 - 2003,0.19
,,2003 - 2004,0.34
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadrak,2000 - 2001,0.51
,,2001 - 2002,0.24
,,2002 - 2003,0.16
,,2003 - 2004,0.23
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Boudh,2000 - 2001,0.17
,,2001 - 2002,0.25
,,2002 - 2003,0.18
,,2003 - 2004,0.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Cuttack,2000 - 2001,0.41
,,2001 - 2002,0.53
,,2002 - 2003,0.47
,,2003 - 2004,0.43
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deogarh,2000 - 2001,0.17
,,2001 - 2002,0.37
,,2002 - 2003,0.18
,,2003 - 2004,0.3
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhenkanal,2000 - 2001,0.19
,,2001 - 2002,0.32
,,2002 - 2003,0.21
,,2003 - 2004,0.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gajapati,2000 - 2001,0.25
,,2001 - 2002,0.28
,,2002 - 2003,0.19
,,2003 - 2004,0.18
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,0.19
,,2001 - 2002,0.22
,,2002 - 2003,0.15
,,2003 - 2004,0.2
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagatsinghapur,2000 - 2001,0.4
,,2001 - 2002,0.46
,,2002 - 2003,0.39
,,2003 - 2004,0.37
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jajapur,2000 - 2001,0.24
,,2001 - 2002,0.44
,,2002 - 2003,0.38
,,2003 - 2004,0.23
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jharsuguda,2000 - 2001,0.07
,,2001 - 2002,0.3
,,2002 - 2003,0.2
,,2003 - 2004,0.45
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kalahandi,2000 - 2001,0.17
,,2001 - 2002,0.3
,,2002 - 2003,0.16
,,2003 - 2004,0.25
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kandhamal,2000 - 2001,0.16
,,2001 - 2002,0.29
,,2002 - 2003,0.15
,,2003 - 2004,0.21
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,0.56
,,2001 - 2002,0.51
,,2002 - 2003,0.44
,,2003 - 2004,0.35
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendujhar,2000 - 2001,0.17
,,2001 - 2002,0.23
,,2002 - 2003,0.13
,,2003 - 2004,0.26
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khordha,2000 - 2001,0.26
,,2001 - 2002,0.37
,,2002 - 2003,0.26
,,2003 - 2004,0.3
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Koraput,2000 - 2001,0.21
,,2001 - 2002,0.31
,,2002 - 2003,0.17
,,2003 - 2004,0.32
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Malkangiri,2000 - 2001,0.11
,,2001 - 2002,0.23
,,2002 - 2003,0.15
,,2003 - 2004,0.31
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
