state,district,year,garlic_whole_year_yield_tonne_per_hectare
,,2020 - 2021,8.03
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Kheda,2000 - 2001,4.0
,,2001 - 2002,6.0
,,2002 - 2003,9.0
,,2003 - 2004,4.0
,,2005 - 2006,9.0
,,2006 - 2007,8.0
,,2007 - 2008,5.0
,,2008 - 2009,3.0
,,2010 - 2011,5.0
,,2011 - 2012,9.0
,,2012 - 2013,2.0
,,2013 - 2014,6.17
,,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.12
,,2017 - 2018,6.95
,,2018 - 2019,6.81
,,2019 - 2020,7.19
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.97
,Mahesana,2002 - 2003,3.0
,,2005 - 2006,3.0
,,2006 - 2007,4.0
,,2008 - 2009,3.0
,,2010 - 2011,3.0
,,2011 - 2012,4.0
,,2013 - 2014,6.18
,,2014 - 2015,5.85
,,2015 - 2016,5.58
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Mahisagar,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.96
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Morbi,2014 - 2015,5.85
,,2015 - 2016,5.58
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.86
,,2021 - 2022,7.75
,,2022 - 2023,6.6
,Narmada,2013 - 2014,6.17
,Navsari,2003 - 2004,6.0
,,2004 - 2005,4.0
,,2005 - 2006,4.0
,,2006 - 2007,4.0
,,2007 - 2008,3.0
,,2009 - 2010,3.0
,,2010 - 2011,4.0
,,2011 - 2012,3.0
,,2013 - 2014,6.2
,,2016 - 2017,5.0
,,2018 - 2019,6.67
,Panch mahals,2000 - 2001,6.0
,,2001 - 2002,6.5
,,2002 - 2003,5.17
,,2003 - 2004,8.25
,,2004 - 2005,4.8
,,2005 - 2006,7.2
,,2006 - 2007,6.0
,,2007 - 2008,5.83
,,2008 - 2009,5.33
,,2009 - 2010,5.29
,,2010 - 2011,6.14
,,2011 - 2012,7.67
,,2012 - 2013,4.67
,,2013 - 2014,6.17
,,2016 - 2017,5.11
,,2017 - 2018,6.96
,,2020 - 2021,8.0
,,2021 - 2022,7.2
,,2022 - 2023,7.0
,Patan,2013 - 2014,6.0
,,2014 - 2015,5.8
,,2015 - 2016,5.5
,,2016 - 2017,5.12
,,2017 - 2018,7.0
,,2018 - 2019,6.82
,,2019 - 2020,7.18
,,2020 - 2021,8.03
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Porbandar,2003 - 2004,7.75
,,2004 - 2005,5.0
,,2005 - 2006,7.0
,,2006 - 2007,6.33
,,2007 - 2008,6.5
,,2008 - 2009,7.0
,,2009 - 2010,6.0
,,2010 - 2011,4.5
,,2011 - 2012,7.33
,,2012 - 2013,4.0
,,2013 - 2014,6.17
,,2014 - 2015,5.85
,,2015 - 2016,5.6
,,2016 - 2017,5.12
,,2017 - 2018,6.96
,,2019 - 2020,7.18
,,2020 - 2021,8.03
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Rajkot,2000 - 2001,6.67
,,2001 - 2002,7.4
,,2002 - 2003,8.2
,,2003 - 2004,7.49
,,2004 - 2005,7.4
,,2005 - 2006,6.84
,,2006 - 2007,5.96
,,2007 - 2008,7.23
,,2008 - 2009,6.66
,,2009 - 2010,6.63
,,2010 - 2011,6.31
,,2011 - 2012,6.91
,,2012 - 2013,5.0
,,2013 - 2014,5.72
,,2014 - 2015,5.47
,,2015 - 2016,6.92
,,2016 - 2017,5.63
,,2017 - 2018,5.33
,,2018 - 2019,5.4
,,2019 - 2020,7.24
,,2020 - 2021,8.09
,,2021 - 2022,7.6
,,2022 - 2023,6.88
,Sabar kantha,2001 - 2002,9.0
,,2002 - 2003,4.0
,,2003 - 2004,6.0
,,2004 - 2005,5.0
,,2005 - 2006,9.0
,,2006 - 2007,7.0
,,2007 - 2008,5.5
,,2008 - 2009,8.0
,,2011 - 2012,1.0
,,2013 - 2014,6.15
,,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.0
,,2021 - 2022,7.24
,,2022 - 2023,6.97
,Surat,2004 - 2005,4.0
,,2005 - 2006,7.0
,,2006 - 2007,3.0
,,2007 - 2008,4.0
,,2009 - 2010,5.0
,,2011 - 2012,3.0
,,2012 - 2013,2.0
,,2013 - 2014,6.14
,,2014 - 2015,5.83
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.75
,,2019 - 2020,7.19
,,2020 - 2021,8.04
,,2021 - 2022,7.24
,,2022 - 2023,6.97
,Surendranagar,2000 - 2001,5.0
,,2001 - 2002,3.0
,,2002 - 2003,6.0
,,2003 - 2004,7.43
,,2004 - 2005,4.75
,,2005 - 2006,5.5
,,2006 - 2007,5.33
,,2010 - 2011,3.0
,,2011 - 2012,6.33
,,2012 - 2013,6.0
,,2013 - 2014,6.17
,,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.12
,,2017 - 2018,6.95
,,2018 - 2019,6.81
,,2019 - 2020,9.17
,,2020 - 2021,8.33
,,2021 - 2022,7.24
,,2022 - 2023,8.34
,Tapi,2011 - 2012,2.0
,,2012 - 2013,1.0
,,2013 - 2014,6.17
,,2014 - 2015,5.83
,,2020 - 2021,8.0
,Vadodara,2003 - 2004,6.0
,,2007 - 2008,4.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,6.18
,,2014 - 2015,5.86
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.82
,,2019 - 2020,7.19
,,2020 - 2021,8.03
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Valsad,2000 - 2001,3.0
,,2001 - 2002,4.0
,,2002 - 2003,4.0
,,2004 - 2005,3.0
Haryana,Ambala,2000 - 2001,0.0
,,2004 - 2005,11.11
,,2006 - 2007,6.25
,,2007 - 2008,8.33
,,2008 - 2009,0.0
,,2009 - 2010,7.69
,,2010 - 2011,0.0
,,2011 - 2012,3.13
,,2012 - 2013,6.67
,,2013 - 2014,9.45
,,2014 - 2015,10.1
,,2015 - 2016,10.0
,,2016 - 2017,10.61
,,2017 - 2018,10.3
,,2018 - 2019,10.0
,,2019 - 2020,9.31
,,2021 - 2022,0.0
,Bhiwani,2000 - 2001,14.29
,,2001 - 2002,11.11
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2012 - 2013,16.67
,,2013 - 2014,9.29
,,2014 - 2015,18.61
,,2015 - 2016,9.9
,,2016 - 2017,12.1
,,2017 - 2018,15.91
,,2018 - 2019,2.55
,,2019 - 2020,2.95
,Charki dadri,2018 - 2019,12.79
,,2019 - 2020,8.33
,Faridabad,2000 - 2001,0.0
,,2013 - 2014,7.0
,,2014 - 2015,13.6
,,2015 - 2016,12.5
,,2016 - 2017,11.43
,,2017 - 2018,18.75
,,2018 - 2019,10.0
,,2019 - 2020,9.41
,Fatehabad,2006 - 2007,23.64
,,2007 - 2008,8.0
,,2008 - 2009,5.19
,,2009 - 2010,10.9
,,2010 - 2011,1.23
,,2011 - 2012,0.98
,,2012 - 2013,9.52
,,2013 - 2014,10.31
,,2014 - 2015,19.1
,,2015 - 2016,10.71
,,2016 - 2017,13.78
,,2017 - 2018,11.67
,,2018 - 2019,15.33
,,2019 - 2020,13.51
,,2021 - 2022,0.0
,Gurgaon,2013 - 2014,8.5
,,2014 - 2015,15.28
,,2015 - 2016,10.86
,,2016 - 2017,7.33
,,2017 - 2018,10.0
,,2018 - 2019,4.0
,,2019 - 2020,6.0
,Hisar,2001 - 2002,8.0
,,2004 - 2005,0.0
,,2013 - 2014,9.83
,,2014 - 2015,6.46
,,2015 - 2016,7.57
,,2016 - 2017,10.35
,,2017 - 2018,9.64
,,2018 - 2019,6.0
,,2019 - 2020,6.18
,Jhajjar,2013 - 2014,9.25
,,2014 - 2015,11.43
,,2015 - 2016,11.86
,,2016 - 2017,8.57
,,2017 - 2018,12.71
,,2018 - 2019,16.75
,Jind,2010 - 2011,0.0
,,2013 - 2014,9.58
,,2014 - 2015,11.21
,,2015 - 2016,12.68
,,2016 - 2017,10.21
,,2017 - 2018,12.32
,,2018 - 2019,15.24
,,2019 - 2020,16.48
,,2021 - 2022,0.0
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2004 - 2005,11.11
,,2006 - 2007,0.0
,,2007 - 2008,14.29
,,2008 - 2009,0.0
,,2009 - 2010,11.11
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,9.09
,,2013 - 2014,6.19
,,2014 - 2015,8.2
,,2015 - 2016,8.81
,,2016 - 2017,10.38
,,2017 - 2018,10.14
,,2018 - 2019,10.14
,,2019 - 2020,15.4
,,2021 - 2022,0.0
,Karnal,2000 - 2001,7.87
,,2001 - 2002,8.05
,,2004 - 2005,7.99
,,2006 - 2007,19.77
,,2007 - 2008,6.94
,,2009 - 2010,9.09
,,2010 - 2011,1.07
,,2011 - 2012,1.01
,,2012 - 2013,10.4
,,2013 - 2014,9.59
,,2014 - 2015,9.39
,,2015 - 2016,11.58
,,2016 - 2017,11.68
,,2017 - 2018,11.78
,,2018 - 2019,14.37
,,2019 - 2020,14.78
,,2021 - 2022,0.0
,Kurukshetra,2001 - 2002,0.0
,,2004 - 2005,12.5
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,9.2
,,2014 - 2015,8.67
,,2015 - 2016,9.0
,,2016 - 2017,8.25
,,2017 - 2018,11.36
,,2018 - 2019,7.2
,,2019 - 2020,8.62
,,2021 - 2022,0.0
,Mahendragarh,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2013 - 2014,9.38
,,2014 - 2015,13.33
,,2015 - 2016,12.08
,,2016 - 2017,20.0
,,2017 - 2018,18.33
,,2018 - 2019,15.0
,,2019 - 2020,10.2
,Mewat,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2013 - 2014,5.3
,,2014 - 2015,6.9
,,2015 - 2016,6.83
,,2016 - 2017,7.26
,,2017 - 2018,10.1
,,2018 - 2019,9.0
,,2019 - 2020,9.44
,Palwal,2013 - 2014,6.71
,,2014 - 2015,6.67
,,2015 - 2016,6.75
,,2016 - 2017,7.5
,,2018 - 2019,8.33
,,2019 - 2020,8.33
,,2021 - 2022,0.0
,Panchkula,2000 - 2001,12.5
,,2004 - 2005,0.0
,,2006 - 2007,0.0
,,2007 - 2008,8.33
,,2008 - 2009,6.56
,,2009 - 2010,9.62
,,2011 - 2012,0.0
,,2012 - 2013,8.0
,,2013 - 2014,6.36
,,2014 - 2015,12.82
,,2015 - 2016,12.82
,,2016 - 2017,12.31
,,2017 - 2018,12.0
,,2018 - 2019,16.0
,,2019 - 2020,10.0
,,2021 - 2022,0.0
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2004 - 2005,0.0
,,2006 - 2007,9.09
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,14.29
,,2013 - 2014,8.17
,,2014 - 2015,8.25
,,2015 - 2016,10.5
,,2016 - 2017,10.89
,,2017 - 2018,13.0
,,2018 - 2019,18.16
,,2019 - 2020,18.42
,Rewari,2013 - 2014,5.5
,,2014 - 2015,8.75
,,2015 - 2016,8.88
,,2016 - 2017,6.5
,,2017 - 2018,9.77
,,2018 - 2019,10.95
,,2019 - 2020,10.88
,Rohtak,2000 - 2001,0.0
,,2013 - 2014,5.0
,,2014 - 2015,7.95
,,2015 - 2016,8.12
,,2016 - 2017,7.57
,,2017 - 2018,11.15
,Sirsa,2000 - 2001,11.11
,,2001 - 2002,11.11
,,2006 - 2007,12.79
,,2007 - 2008,0.0
,,2008 - 2009,6.67
,,2009 - 2010,5.88
,,2010 - 2011,1.25
,,2011 - 2012,0.91
,,2012 - 2013,9.9
,,2013 - 2014,9.62
,,2014 - 2015,9.41
,,2015 - 2016,6.0
,,2016 - 2017,3.55
,,2017 - 2018,6.9
,,2018 - 2019,5.59
,,2019 - 2020,5.6
,,2021 - 2022,0.0
,Sonipat,2013 - 2014,9.47
,,2014 - 2015,9.62
,,2015 - 2016,7.32
,,2016 - 2017,12.25
,,2018 - 2019,18.4
,,2019 - 2020,19.2
,Yamunanagar,2007 - 2008,5.15
,,2008 - 2009,7.83
,,2011 - 2012,0.83
,,2013 - 2014,7.89
,,2014 - 2015,8.88
,,2015 - 2016,10.43
,,2016 - 2017,11.15
,,2017 - 2018,12.43
,,2018 - 2019,18.68
,,2019 - 2020,18.32
,,2021 - 2022,0.0
Himachal Pradesh,Bilaspur,2001 - 2002,0.93
,,2002 - 2003,0.89
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,0.59
,,2002 - 2003,0.34
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,1.0
,,2002 - 2003,1.33
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,1.33
,,2002 - 2003,0.65
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2001 - 2002,0.92
,,2002 - 2003,0.53
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mandi,2001 - 2002,0.36
,,2002 - 2003,0.33
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,1.26
,,2002 - 2003,0.39
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,1.47
,,2002 - 2003,1.24
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,1.15
,,2002 - 2003,0.61
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,1.17
,,2002 - 2003,0.09
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Anantnag,2008 - 2009,
,,2017 - 2018,
,Badgam,2000 - 2001,0.79
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Doda,2000 - 2001,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jammu,2000 - 2001,0.93
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kathua,2000 - 2001,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishtwar,2016 - 2017,
,Kulgam,2021 - 2022,
,,2022 - 2023,
,Poonch,2000 - 2001,0.86
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pulwama,2016 - 2017,
,Rajauri,2000 - 2001,0.95
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Reasi,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Srinagar,2000 - 2001,0.63
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udhampur,2000 - 2001,0.88
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Karnataka,Bagalkot,2000 - 2001,0.81
,,2002 - 2003,0.83
,,2003 - 2004,0.83
,,2004 - 2005,0.83
,,2005 - 2006,0.83
,,2006 - 2007,0.84
,,2007 - 2008,2.78
,,2008 - 2009,2.03
,,2009 - 2010,1.28
,,2010 - 2011,1.31
,,2011 - 2012,1.23
,,2012 - 2013,1.3
,,2015 - 2016,1.29
,,2016 - 2017,0.83
,,2017 - 2018,0.87
,,2018 - 2019,6.57
,,2019 - 2020,5.2
,,2020 - 2021,5.28
,,2021 - 2022,5.17
,,2022 - 2023,8.0
,Bangalore rural,2000 - 2001,1.0
,,2005 - 2006,1.13
,,2006 - 2007,1.25
,,2007 - 2008,1.0
,,2008 - 2009,2.33
,,2009 - 2010,1.33
,,2010 - 2011,1.33
,,2011 - 2012,1.22
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.25
,,2017 - 2018,1.0
,,2018 - 2019,6.75
,,2020 - 2021,5.0
,,2021 - 2022,5.5
,,2022 - 2023,5.8
,Belgaum,2000 - 2001,1.2
,,2002 - 2003,1.2
,,2003 - 2004,1.2
,,2004 - 2005,1.2
,,2005 - 2006,1.2
,,2006 - 2007,1.2
,,2007 - 2008,1.03
,,2008 - 2009,4.99
,,2009 - 2010,0.66
,,2010 - 2011,2.21
,,2011 - 2012,2.87
,,2012 - 2013,2.87
,,2013 - 2014,2.02
,,2014 - 2015,2.29
,,2015 - 2016,1.52
,,2016 - 2017,1.32
,,2017 - 2018,1.83
,,2018 - 2019,3.67
,,2019 - 2020,7.37
,,2020 - 2021,5.28
,,2021 - 2022,5.48
,,2022 - 2023,7.79
,Bellary,2000 - 2001,2.5
,,2002 - 2003,2.75
,,2003 - 2004,2.67
,,2004 - 2005,3.0
,,2016 - 2017,1.0
,,2018 - 2019,6.67
,,2019 - 2020,5.0
,,2020 - 2021,5.29
,,2021 - 2022,5.57
,Bengaluru urban,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,0.77
,,2005 - 2006,0.75
,,2006 - 2007,0.79
,,2007 - 2008,1.0
,,2008 - 2009,2.21
,,2009 - 2010,1.42
,,2010 - 2011,1.28
,,2011 - 2012,1.25
,,2012 - 2013,1.5
,,2013 - 2014,1.0
,,2018 - 2019,6.67
,,2019 - 2020,5.0
,,2020 - 2021,5.0
,,2021 - 2022,6.0
,,2022 - 2023,8.0
,Bidar,2000 - 2001,1.89
,,2002 - 2003,1.89
,,2003 - 2004,1.89
,,2004 - 2005,1.89
,,2005 - 2006,1.89
,,2006 - 2007,1.88
,,2007 - 2008,1.03
,,2008 - 2009,2.19
,,2009 - 2010,1.4
,,2010 - 2011,1.29
,,2011 - 2012,1.25
,,2012 - 2013,1.3
,,2013 - 2014,1.05
,,2014 - 2015,1.1
,,2015 - 2016,1.35
,,2016 - 2017,0.81
,,2017 - 2018,0.87
,,2018 - 2019,6.63
,,2019 - 2020,5.0
,,2020 - 2021,5.29
,,2021 - 2022,5.29
,,2022 - 2023,7.95
,Bijapur,2000 - 2001,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.83
,,2004 - 2005,0.83
,,2005 - 2006,0.83
,,2006 - 2007,0.83
,,2007 - 2008,3.44
,,2008 - 2009,2.2
,,2009 - 2010,2.85
,,2010 - 2011,3.07
,,2011 - 2012,2.89
,,2012 - 2013,2.89
,,2013 - 2014,3.14
,,2014 - 2015,3.08
,,2015 - 2016,3.0
,,2016 - 2017,2.67
,,2017 - 2018,2.56
,,2018 - 2019,5.03
,,2019 - 2020,5.13
,,2020 - 2021,5.29
,,2021 - 2022,5.08
,,2022 - 2023,6.97
,Chamarajanagar,2000 - 2001,2.05
,,2002 - 2003,2.05
,,2003 - 2004,2.05
,,2004 - 2005,2.06
,,2005 - 2006,2.04
,,2006 - 2007,2.07
,,2007 - 2008,1.03
,,2008 - 2009,7.29
,,2009 - 2010,7.1
,,2010 - 2011,1.29
,,2011 - 2012,1.25
,,2012 - 2013,1.3
,,2013 - 2014,1.05
,,2014 - 2015,1.1
,,2015 - 2016,1.35
,,2016 - 2017,1.44
,,2017 - 2018,1.39
,,2018 - 2019,5.49
,,2019 - 2020,5.12
,,2020 - 2021,5.18
,,2021 - 2022,6.34
,,2022 - 2023,8.0
,Chikballapur,2010 - 2011,1.0
,,2011 - 2012,1.23
,,2012 - 2013,1.3
,,2013 - 2014,1.04
,,2014 - 2015,1.1
,,2015 - 2016,1.35
,,2016 - 2017,0.82
,,2017 - 2018,0.88
,,2018 - 2019,6.5
,,2019 - 2020,5.0
,,2020 - 2021,5.31
,,2021 - 2022,5.57
,,2022 - 2023,7.75
,Chikmagalur,2000 - 2001,2.4
,,2018 - 2019,7.0
,,2019 - 2020,5.0
,,2020 - 2021,5.0
,,2021 - 2022,5.5
,,2022 - 2023,7.0
,Chitradurga,2002 - 2003,1.0
,,2003 - 2004,1.2
,,2004 - 2005,1.13
,,2005 - 2006,1.2
,,2006 - 2007,1.25
,,2017 - 2018,1.0
,,2018 - 2019,6.75
,,2019 - 2020,5.0
,,2020 - 2021,5.25
,,2021 - 2022,5.57
,,2022 - 2023,6.5
,Dakshin kannad,2018 - 2019,7.0
,Davangere,2000 - 2001,1.2
,,2002 - 2003,1.0
,,2003 - 2004,1.13
,,2004 - 2005,1.0
,,2012 - 2013,1.33
,,2013 - 2014,1.07
,,2014 - 2015,1.0
,,2015 - 2016,1.29
,,2016 - 2017,0.88
,,2017 - 2018,1.0
,,2018 - 2019,7.0
,,2019 - 2020,5.2
,,2020 - 2021,5.28
,,2021 - 2022,5.6
,,2022 - 2023,6.0
,Dharwad,2000 - 2001,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2004 - 2005,0.58
,,2005 - 2006,0.58
,,2006 - 2007,0.58
,,2007 - 2008,0.84
,,2008 - 2009,0.76
,,2009 - 2010,0.72
,,2010 - 2011,0.96
,,2011 - 2012,0.9
,,2012 - 2013,0.9
,,2013 - 2014,1.08
,,2014 - 2015,0.94
,,2015 - 2016,1.0
,,2016 - 2017,0.77
,,2017 - 2018,0.88
,,2018 - 2019,5.13
,,2019 - 2020,5.74
,,2020 - 2021,4.94
,,2021 - 2022,5.31
,,2022 - 2023,6.04
,Gadag,2000 - 2001,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2004 - 2005,0.58
,,2005 - 2006,0.58
,,2006 - 2007,0.58
,,2007 - 2008,1.04
,,2008 - 2009,2.2
,,2009 - 2010,1.41
,,2010 - 2011,0.64
,,2011 - 2012,0.69
,,2012 - 2013,0.69
,,2013 - 2014,1.06
,,2014 - 2015,1.1
,,2015 - 2016,0.65
,,2016 - 2017,0.84
,,2017 - 2018,0.85
,,2019 - 2020,5.13
,,2020 - 2021,5.89
,,2021 - 2022,5.91
,,2022 - 2023,8.1
