state,district,year,barley_rabi_yield_tonne_per_hectare
,Fatehabad,2000 - 2001,3.35
,,2001 - 2002,3.22
,,2002 - 2003,2.76
,,2003 - 2004,3.29
,,2004 - 2005,2.39
,,2005 - 2006,2.89
,,2006 - 2007,3.25
,,2007 - 2008,4.13
,,2008 - 2009,4.44
,,2009 - 2010,3.81
,,2010 - 2011,4.14
,,2011 - 2012,3.92
,,2012 - 2013,4.17
,,2013 - 2014,4.0
,,2014 - 2015,4.0
,,2015 - 2016,3.0
,,2016 - 2017,3.73
,,2017 - 2018,3.78
,,2018 - 2019,4.2
,,2019 - 2020,3.97
,,2020 - 2021,3.24
,,2021 - 2022,2.87
,,2022 - 2023,3.68
,Gurgaon,2000 - 2001,2.52
,,2001 - 2002,3.04
,,2002 - 2003,2.62
,,2003 - 2004,2.27
,,2004 - 2005,2.12
,,2005 - 2006,3.29
,,2006 - 2007,2.63
,,2007 - 2008,2.35
,,2008 - 2009,2.96
,,2009 - 2010,4.77
,,2010 - 2011,3.13
,,2011 - 2012,4.95
,,2012 - 2013,4.28
,,2013 - 2014,4.5
,,2014 - 2015,4.0
,,2015 - 2016,4.0
,,2016 - 2017,4.7
,,2017 - 2018,4.63
,,2018 - 2019,4.86
,,2019 - 2020,4.76
,,2020 - 2021,3.43
,,2021 - 2022,3.72
,,2022 - 2023,4.65
,Hisar,2000 - 2001,3.24
,,2001 - 2002,2.71
,,2002 - 2003,3.0
,,2003 - 2004,3.22
,,2004 - 2005,2.92
,,2005 - 2006,2.8
,,2006 - 2007,3.3
,,2007 - 2008,2.74
,,2008 - 2009,3.42
,,2009 - 2010,3.16
,,2010 - 2011,3.88
,,2011 - 2012,3.45
,,2012 - 2013,3.02
,,2013 - 2014,3.4
,,2014 - 2015,3.2
,,2015 - 2016,3.5
,,2016 - 2017,3.57
,,2017 - 2018,3.78
,,2018 - 2019,3.84
,,2019 - 2020,3.59
,,2020 - 2021,3.54
,,2021 - 2022,3.39
,,2022 - 2023,3.75
,Jhajjar,2000 - 2001,2.83
,,2001 - 2002,3.12
,,2002 - 2003,2.09
,,2003 - 2004,2.12
,,2004 - 2005,2.66
,,2005 - 2006,2.54
,,2006 - 2007,3.45
,,2007 - 2008,3.07
,,2008 - 2009,4.02
,,2009 - 2010,3.06
,,2010 - 2011,4.32
,,2011 - 2012,3.23
,,2012 - 2013,3.61
,,2013 - 2014,4.0
,,2014 - 2015,2.33
,,2015 - 2016,3.5
,,2016 - 2017,4.06
,,2017 - 2018,3.72
,,2018 - 2019,4.23
,,2019 - 2020,4.42
,,2020 - 2021,3.84
,,2021 - 2022,3.83
,,2022 - 2023,4.12
,Jind,2000 - 2001,3.08
,,2001 - 2002,3.41
,,2002 - 2003,3.42
,,2003 - 2004,3.62
,,2004 - 2005,3.54
,,2005 - 2006,3.75
,,2006 - 2007,1.84
,,2007 - 2008,3.13
,,2008 - 2009,2.88
,,2009 - 2010,3.44
,,2010 - 2011,4.9
,,2011 - 2012,6.55
,,2012 - 2013,7.09
,,2013 - 2014,3.0
,,2014 - 2015,2.0
,,2015 - 2016,3.0
,,2016 - 2017,2.0
,,2017 - 2018,4.33
,,2018 - 2019,4.0
,,2019 - 2020,4.38
,,2020 - 2021,4.42
,,2021 - 2022,4.56
,,2022 - 2023,4.67
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2020 - 2021,3.33
,,2021 - 2022,3.33
,,2022 - 2023,4.0
,Karnal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,3.5
,,2019 - 2020,4.0
,,2020 - 2021,3.0
,,2021 - 2022,3.22
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,4.0
,,2020 - 2021,3.5
,,2021 - 2022,3.33
,Mahendragarh,2000 - 2001,2.18
,,2001 - 2002,2.19
,,2002 - 2003,3.01
,,2003 - 2004,4.34
,,2004 - 2005,0.0
,,2005 - 2006,5.45
,,2006 - 2007,4.48
,,2007 - 2008,4.59
,,2008 - 2009,3.86
,,2009 - 2010,3.13
,,2010 - 2011,3.54
,,2011 - 2012,2.29
,,2012 - 2013,5.89
,,2013 - 2014,3.0
,,2016 - 2017,3.2
,,2017 - 2018,3.0
,,2018 - 2019,3.4
,,2019 - 2020,3.39
,,2020 - 2021,3.45
,,2021 - 2022,3.47
,,2022 - 2023,3.31
,Mewat,2005 - 2006,3.2
,,2006 - 2007,3.24
,,2007 - 2008,1.99
,,2008 - 2009,3.72
,,2009 - 2010,2.19
,,2010 - 2011,3.27
,,2011 - 2012,4.06
,,2012 - 2013,2.28
,,2013 - 2014,4.0
,,2014 - 2015,2.0
,,2015 - 2016,3.0
,,2016 - 2017,3.5
,,2017 - 2018,3.5
,,2018 - 2019,3.8
,,2019 - 2020,4.21
,,2020 - 2021,3.12
,,2021 - 2022,1.17
,,2022 - 2023,3.45
,Palwal,2008 - 2009,2.92
,,2009 - 2010,3.17
,,2010 - 2011,3.02
,,2011 - 2012,4.31
,,2012 - 2013,2.9
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,,2017 - 2018,3.29
,,2018 - 2019,3.57
,,2019 - 2020,3.87
,,2020 - 2021,3.4
,,2021 - 2022,3.37
,,2022 - 2023,3.31
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2017 - 2018,4.0
,,2020 - 2021,3.0
,,2021 - 2022,4.0
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,4.0
,,2020 - 2021,3.0
,,2021 - 2022,3.57
,,2022 - 2023,4.0
,Rewari,2000 - 2001,3.38
,,2001 - 2002,2.12
,,2002 - 2003,3.19
,,2003 - 2004,2.4
,,2005 - 2006,3.9
,,2006 - 2007,3.34
,,2007 - 2008,2.39
,,2008 - 2009,3.32
,,2009 - 2010,4.16
,,2010 - 2011,3.05
,,2011 - 2012,4.29
,,2012 - 2013,3.88
,,2013 - 2014,4.0
,,2014 - 2015,2.5
,,2015 - 2016,3.5
,,2016 - 2017,4.7
,,2017 - 2018,4.5
,,2018 - 2019,4.5
,,2019 - 2020,5.04
,,2020 - 2021,4.13
,,2021 - 2022,5.0
,,2022 - 2023,4.24
,Rohtak,2000 - 2001,2.56
,,2001 - 2002,3.13
,,2002 - 2003,1.48
,,2003 - 2004,3.07
,,2004 - 2005,1.78
,,2005 - 2006,2.15
,,2006 - 2007,1.93
,,2007 - 2008,3.65
,,2008 - 2009,1.52
,,2009 - 2010,2.1
,,2010 - 2011,2.0
,,2011 - 2012,3.78
,,2012 - 2013,3.2
,,2013 - 2014,4.0
,,2014 - 2015,2.33
,,2015 - 2016,2.5
,,2016 - 2017,2.85
,,2017 - 2018,2.94
,,2018 - 2019,2.75
,,2019 - 2020,2.88
,,2020 - 2021,2.53
,,2021 - 2022,2.2
,,2022 - 2023,2.59
,Sirsa,2000 - 2001,2.01
,,2001 - 2002,2.89
,,2002 - 2003,2.62
,,2003 - 2004,2.63
,,2004 - 2005,3.08
,,2005 - 2006,2.38
,,2006 - 2007,2.82
,,2007 - 2008,3.62
,,2008 - 2009,3.91
,,2009 - 2010,3.25
,,2010 - 2011,3.61
,,2011 - 2012,3.71
,,2012 - 2013,3.96
,,2013 - 2014,4.17
,,2014 - 2015,4.2
,,2015 - 2016,3.6
,,2016 - 2017,3.7
,,2017 - 2018,3.77
,,2018 - 2019,4.0
,,2019 - 2020,3.93
,,2020 - 2021,3.3
,,2021 - 2022,3.67
,,2022 - 2023,3.86
,Sonipat,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,5.24
,,2005 - 2006,4.45
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,4.0
,,2020 - 2021,2.0
,,2021 - 2022,3.13
,,2022 - 2023,3.0
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2020 - 2021,3.33
,,2021 - 2022,4.0
,,2022 - 2023,4.0
Himachal Pradesh,Bilaspur,2000 - 2001,0.84
,,2001 - 2002,1.39
,,2002 - 2003,1.3
,,2003 - 2004,1.16
,,2004 - 2005,1.44
,,2005 - 2006,1.16
,,2006 - 2007,1.4
,,2007 - 2008,1.19
,,2008 - 2009,0.91
,,2009 - 2010,0.82
,,2010 - 2011,1.3
,,2011 - 2012,1.93
,,2012 - 2013,1.83
,,2013 - 2014,0.97
,,2014 - 2015,1.89
,,2015 - 2016,1.92
,,2016 - 2017,0.97
,,2017 - 2018,1.95
,,2018 - 2019,1.95
,,2019 - 2020,1.65
,,2020 - 2021,1.34
,,2021 - 2022,1.68
,,2022 - 2023,1.58
,Chamba,2000 - 2001,0.85
,,2001 - 2002,1.55
,,2002 - 2003,0.95
,,2003 - 2004,0.09
,,2004 - 2005,1.34
,,2005 - 2006,0.76
,,2006 - 2007,1.39
,,2007 - 2008,1.03
,,2008 - 2009,1.08
,,2009 - 2010,0.93
,,2010 - 2011,1.48
,,2011 - 2012,1.34
,,2012 - 2013,2.08
,,2013 - 2014,1.1
,,2014 - 2015,2.16
,,2015 - 2016,1.88
,,2016 - 2017,1.1
,,2017 - 2018,1.93
,,2018 - 2019,1.91
,,2019 - 2020,1.63
,,2020 - 2021,1.28
,,2021 - 2022,1.41
,,2022 - 2023,1.84
,Hamirpur,2000 - 2001,0.83
,,2001 - 2002,1.39
,,2002 - 2003,1.3
,,2003 - 2004,1.16
,,2004 - 2005,1.44
,,2005 - 2006,1.16
,,2006 - 2007,1.41
,,2007 - 2008,1.18
,,2008 - 2009,0.91
,,2009 - 2010,0.69
,,2010 - 2011,1.08
,,2011 - 2012,1.74
,,2012 - 2013,1.51
,,2013 - 2014,0.82
,,2014 - 2015,1.55
,,2015 - 2016,1.53
,,2016 - 2017,0.81
,,2017 - 2018,1.66
,,2018 - 2019,1.76
,,2019 - 2020,1.76
,,2020 - 2021,1.34
,,2021 - 2022,1.67
,,2022 - 2023,1.58
,Kangra,2000 - 2001,0.42
,,2001 - 2002,1.22
,,2002 - 2003,1.17
,,2003 - 2004,1.38
,,2004 - 2005,0.94
,,2005 - 2006,1.61
,,2006 - 2007,1.44
,,2007 - 2008,1.29
,,2008 - 2009,1.07
,,2009 - 2010,0.92
,,2010 - 2011,1.47
,,2011 - 2012,1.44
,,2012 - 2013,2.07
,,2013 - 2014,1.09
,,2014 - 2015,2.14
,,2015 - 2016,1.92
,,2016 - 2017,1.09
,,2017 - 2018,1.93
,,2018 - 2019,1.93
,,2019 - 2020,1.83
,,2020 - 2021,1.49
,,2021 - 2022,1.83
,,2022 - 2023,1.7
,Kinnaur,2000 - 2001,1.36
,,2001 - 2002,1.34
,,2002 - 2003,1.59
,,2003 - 2004,2.48
,,2004 - 2005,2.06
,,2005 - 2006,1.08
,,2006 - 2007,1.61
,,2007 - 2008,2.61
,,2008 - 2009,1.48
,,2009 - 2010,1.31
,,2010 - 2011,2.09
,,2011 - 2012,1.7
,,2012 - 2013,2.94
,,2013 - 2014,1.55
,,2014 - 2015,3.05
,,2015 - 2016,1.84
,,2016 - 2017,1.55
,,2017 - 2018,1.88
,,2018 - 2019,1.88
,,2019 - 2020,1.88
,,2020 - 2021,1.75
,,2021 - 2022,1.48
,,2022 - 2023,0.6
,Kullu,2000 - 2001,1.3
,,2001 - 2002,1.42
,,2002 - 2003,1.32
,,2003 - 2004,1.2
,,2004 - 2005,1.36
,,2005 - 2006,1.08
,,2006 - 2007,1.84
,,2007 - 2008,1.43
,,2008 - 2009,1.01
,,2009 - 2010,0.86
,,2010 - 2011,1.37
,,2011 - 2012,1.52
,,2012 - 2013,1.93
,,2013 - 2014,1.01
,,2014 - 2015,2.0
,,2015 - 2016,1.88
,,2016 - 2017,1.01
,,2017 - 2018,1.88
,,2018 - 2019,1.88
,,2019 - 2020,1.88
,,2020 - 2021,1.62
,,2021 - 2022,1.65
,,2022 - 2023,1.83
,Lahul and spiti,2000 - 2001,0.83
,,2001 - 2002,1.39
,,2002 - 2003,1.3
,,2003 - 2004,1.16
,,2004 - 2005,1.44
,,2005 - 2006,1.16
,,2006 - 2007,1.41
,,2007 - 2008,1.19
,,2008 - 2009,0.9
,,2009 - 2010,0.76
,,2010 - 2011,1.21
,,2011 - 2012,1.33
,,2012 - 2013,1.7
,,2013 - 2014,0.89
,,2014 - 2015,1.76
,,2015 - 2016,0.89
,,2016 - 2017,0.89
,,2017 - 2018,0.89
,,2018 - 2019,1.78
,,2019 - 2020,1.78
,,2020 - 2021,1.34
,,2021 - 2022,1.68
,,2022 - 2023,1.58
,Mandi,2000 - 2001,0.95
,,2001 - 2002,1.86
,,2002 - 2003,2.1
,,2003 - 2004,1.18
,,2004 - 2005,1.82
,,2005 - 2006,1.63
,,2006 - 2007,1.49
,,2007 - 2008,1.34
,,2008 - 2009,0.91
,,2009 - 2010,0.77
,,2010 - 2011,1.23
,,2011 - 2012,1.59
,,2012 - 2013,1.74
,,2013 - 2014,0.91
,,2014 - 2015,1.8
,,2015 - 2016,1.79
,,2016 - 2017,0.91
,,2017 - 2018,1.8
,,2018 - 2019,1.61
,,2019 - 2020,1.78
,,2020 - 2021,1.46
,,2021 - 2022,1.93
,,2022 - 2023,1.34
,Shimla,2000 - 2001,0.61
,,2001 - 2002,1.07
,,2002 - 2003,0.84
,,2003 - 2004,1.19
,,2004 - 2005,1.22
,,2005 - 2006,1.27
,,2006 - 2007,1.18
,,2007 - 2008,1.47
,,2008 - 2009,0.59
,,2009 - 2010,0.49
,,2010 - 2011,0.78
,,2011 - 2012,1.07
,,2012 - 2013,1.09
,,2013 - 2014,0.58
,,2014 - 2015,1.13
,,2015 - 2016,1.76
,,2016 - 2017,0.57
,,2017 - 2018,1.76
,,2018 - 2019,1.7
,,2019 - 2020,1.76
,,2020 - 2021,1.17
,,2021 - 2022,2.55
,,2022 - 2023,1.47
,Sirmaur,2000 - 2001,0.54
,,2001 - 2002,1.19
,,2002 - 2003,1.59
,,2003 - 2004,0.85
,,2004 - 2005,1.56
,,2005 - 2006,0.96
,,2006 - 2007,0.94
,,2007 - 2008,0.94
,,2008 - 2009,0.7
,,2009 - 2010,0.59
,,2010 - 2011,0.94
,,2011 - 2012,1.31
,,2012 - 2013,1.33
,,2013 - 2014,0.7
,,2014 - 2015,1.38
,,2015 - 2016,1.44
,,2016 - 2017,0.7
,,2017 - 2018,1.44
,,2018 - 2019,1.71
,,2019 - 2020,1.71
,,2020 - 2021,1.38
,,2021 - 2022,1.9
,,2022 - 2023,2.49
,Solan,2000 - 2001,0.46
,,2001 - 2002,1.14
,,2002 - 2003,0.83
,,2003 - 2004,0.72
,,2004 - 2005,1.14
,,2005 - 2006,0.6
,,2006 - 2007,1.27
,,2007 - 2008,0.86
,,2008 - 2009,0.6
,,2009 - 2010,0.49
,,2010 - 2011,0.2
,,2011 - 2012,1.76
,,2012 - 2013,1.1
,,2013 - 2014,0.58
,,2014 - 2015,1.14
,,2015 - 2016,1.47
,,2016 - 2017,0.58
,,2017 - 2018,1.47
,,2018 - 2019,1.47
,,2019 - 2020,1.57
,,2020 - 2021,0.62
,,2021 - 2022,0.91
,,2022 - 2023,1.34
,Una,2000 - 2001,1.0
Jammu and Kashmir,Bandipora,2012 - 2013,0.9
,,2013 - 2014,0.9
,Doda,2000 - 2001,0.32
,,2001 - 2002,0.32
,,2002 - 2003,0.32
,,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2005 - 2006,
,,2006 - 2007,0.32
,,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.32
,,2010 - 2011,0.32
,,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.32
,,2015 - 2016,0.32
,,2016 - 2017,0.32
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.32
,,2021 - 2022,0.32
,,2022 - 2023,0.32
,Ganderbal,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,Jammu,2000 - 2001,0.49
,,2001 - 2002,0.49
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,1.48
,,2011 - 2012,1.48
,,2012 - 2013,1.48
,,2013 - 2014,1.48
,,2015 - 2016,1.48
,,2016 - 2017,1.48
,,2017 - 2018,1.48
,,2018 - 2019,1.48
,,2019 - 2020,1.48
,,2020 - 2021,1.48
,,2021 - 2022,1.48
,,2022 - 2023,1.48
,Kargil,2003 - 2004,0.81
,,2008 - 2009,0.87
,,2009 - 2010,0.87
,,2010 - 2011,0.87
,Kathua,2000 - 2001,0.89
,,2001 - 2002,0.88
,,2002 - 2003,0.88
,,2003 - 2004,0.88
,,2004 - 2005,0.88
,,2006 - 2007,0.88
,,2007 - 2008,0.88
,,2008 - 2009,0.88
,,2009 - 2010,0.88
,,2010 - 2011,0.88
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.88
,,2022 - 2023,0.88
,Kishtwar,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.32
,,2010 - 2011,0.32
,,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.32
,,2014 - 2015,
,,2015 - 2016,0.32
,,2016 - 2017,0.32
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.32
,,2021 - 2022,0.32
,,2022 - 2023,0.32
,Leh ladakh,2000 - 2001,0.88
,,2001 - 2002,0.87
,,2002 - 2003,0.87
,,2003 - 2004,0.87
,,2004 - 2005,0.87
,,2006 - 2007,0.87
,,2007 - 2008,0.87
,,2008 - 2009,0.87
,,2009 - 2010,0.88
,,2010 - 2011,0.91
,,2011 - 2012,0.91
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2015 - 2016,0.9
,,2016 - 2017,0.9
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,Rajauri,2002 - 2003,0.1
,,2003 - 2004,3.0
,,2004 - 2005,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2015 - 2016,0.6
,,2016 - 2017,
,,2017 - 2018,0.93
,,2018 - 2019,
,Ramban,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.32
,,2010 - 2011,0.32
,,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.32
,,2015 - 2016,0.32
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.32
,,2021 - 2022,0.32
,,2022 - 2023,0.32
,Reasi,2007 - 2008,0.92
,,2008 - 2009,0.92
,,2009 - 2010,0.92
,,2010 - 2011,0.92
,,2011 - 2012,0.92
,,2012 - 2013,0.92
,,2013 - 2014,0.92
,,2015 - 2016,0.92
,,2016 - 2017,0.91
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,Samba,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Srinagar,2003 - 2004,0.25
,Udhampur,2000 - 2001,0.92
,,2001 - 2002,0.92
,,2002 - 2003,0.92
,,2003 - 2004,0.92
,,2004 - 2005,0.92
,,2006 - 2007,0.92
,,2007 - 2008,0.92
,,2008 - 2009,0.92
,,2009 - 2010,0.92
,,2010 - 2011,0.92
,,2011 - 2012,0.92
,,2012 - 2013,0.92
,,2013 - 2014,0.92
,,2015 - 2016,0.92
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.92
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.92
,,2022 - 2023,0.92
Jharkhand,Garhwa,2004 - 2005,0.61
,Godda,2003 - 2004,1.19
,Hazaribagh,2003 - 2004,0.85
,Palamu,2003 - 2004,0.79
Karnataka,Bagalkot,2022 - 2023,
,Bangalore rural,2022 - 2023,0.0
,Belgaum,2022 - 2023,0.0
,Bellary,2022 - 2023,0.0
,Bengaluru urban,2022 - 2023,
,Bijapur,2022 - 2023,0.0
,Chamarajanagar,2022 - 2023,0.0
,Chikballapur,2022 - 2023,0.0
,Chikmagalur,2022 - 2023,0.0
,Chitradurga,2022 - 2023,0.0
,Davangere,2022 - 2023,0.0
,Dharwad,2022 - 2023,0.0
,Gadag,2022 - 2023,
,Gulbarga,2022 - 2023,0.0
,Hassan,2022 - 2023,0.0
,Haveri,2022 - 2023,0.0
,Kolar,2022 - 2023,0.0
,Koppal,2022 - 2023,0.0
,Mysore,2022 - 2023,
,Raichur,2022 - 2023,
,Ramanagara,2022 - 2023,
,Shimoga,2022 - 2023,0.0
,Tumkur,2022 - 2023,0.0
,Uttar kannad,2022 - 2023,
,Yadgir,2022 - 2023,0.0
Ladakh,Kargil,2022 - 2023,2.0
,Leh ladakh,2020 - 2021,1.77
,,2021 - 2022,1.86
,,2022 - 2023,1.69
Madhya Pradesh,Agar malwa,2013 - 2014,
,,2014 - 2015,
,,2018 - 2019,
,,2019 - 2020,2.35
,,2020 - 2021,2.25
,,2021 - 2022,1.67
,Alirajpur,2008 - 2009,1.0
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Anuppur,2003 - 2004,0.61
,,2004 - 2005,0.55
,,2005 - 2006,0.69
,,2007 - 2008,0.69
,,2008 - 2009,0.68
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.15
,,2020 - 2021,0.79
,,2021 - 2022,0.88
,,2022 - 2023,0.82
,Ashoknagar,2003 - 2004,1.62
,,2004 - 2005,1.58
,,2005 - 2006,2.04
,,2007 - 2008,2.02
,,2008 - 2009,2.14
,,2009 - 2010,
,,2010 - 2011,2.82
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.97
,,2020 - 2021,3.2
,,2021 - 2022,2.16
,,2022 - 2023,1.61
,Balaghat,2000 - 2001,2.0
,,2002 - 2003,2.0
,,2014 - 2015,
,,2017 - 2018,
,,2019 - 2020,2.0
,,2021 - 2022,1.82
,,2022 - 2023,1.09
,Barwani,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,3.21
,Betul,2001 - 2002,1.0
,,2021 - 2022,1.67
,Bhind,2000 - 2001,1.03
,,2001 - 2002,1.67
,,2002 - 2003,1.51
,,2003 - 2004,2.13
,,2004 - 2005,1.92
,,2005 - 2006,2.0
,,2007 - 2008,1.35
,,2008 - 2009,2.01
,,2009 - 2010,
,,2010 - 2011,2.12
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.87
,,2020 - 2021,1.64
,,2021 - 2022,2.69
,,2022 - 2023,2.06
,Bhopal,2000 - 2001,1.0
,,2001 - 2002,1.5
,,2003 - 2004,1.5
,,2010 - 2011,2.0
,,2018 - 2019,
,,2019 - 2020,2.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Burhanpur,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,Chhatarpur,2000 - 2001,1.14
,,2001 - 2002,1.31
,,2002 - 2003,1.43
,,2003 - 2004,1.36
,,2004 - 2005,1.23
,,2005 - 2006,1.18
,,2007 - 2008,0.88
,,2008 - 2009,1.13
,,2009 - 2010,
,,2010 - 2011,0.97
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.92
,,2020 - 2021,1.9
,,2021 - 2022,2.11
,,2022 - 2023,1.42
,Chhindwara,2001 - 2002,0.19
,Damoh,2000 - 2001,0.87
,,2001 - 2002,1.22
,,2002 - 2003,1.13
,,2003 - 2004,1.42
,,2004 - 2005,1.31
,,2005 - 2006,1.37
,,2007 - 2008,1.18
,,2008 - 2009,1.74
,,2009 - 2010,
,,2010 - 2011,2.19
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.53
,,2020 - 2021,1.5
,Datia,2000 - 2001,1.99
,,2001 - 2002,2.12
,,2002 - 2003,1.95
,,2003 - 2004,2.03
,,2004 - 2005,1.74
,,2005 - 2006,2.29
,,2007 - 2008,1.46
,,2008 - 2009,1.8
,,2009 - 2010,
,,2010 - 2011,2.24
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,3.38
,,2020 - 2021,1.63
