state,district,year,ginger_whole_year_yield_tonne_per_hectare
,,2011 - 2012,11.0
,,2016 - 2017,26.0
,,2017 - 2018,20.0
,,2018 - 2019,25.0
,,2020 - 2021,18.0
,,2021 - 2022,23.6
,,2022 - 2023,24.0
,Erode,2000 - 2001,
,,2005 - 2006,
,,2006 - 2007,18.64
,,2007 - 2008,19.07
,,2008 - 2009,20.0
,,2009 - 2010,16.0
,,2011 - 2012,11.0
,,2013 - 2014,7.0
,,2014 - 2015,4.27
,,2015 - 2016,8.82
,,2016 - 2017,15.43
,,2017 - 2018,19.5
,,2018 - 2019,18.95
,,2019 - 2020,15.41
,,2020 - 2021,18.89
,,2021 - 2022,26.14
,,2022 - 2023,24.16
,Kanniyakumari,2000 - 2001,
,,2002 - 2003,16.06
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,18.67
,,2007 - 2008,19.07
,,2008 - 2009,20.0
,,2009 - 2010,16.07
,,2011 - 2012,11.0
,,2013 - 2014,7.0
,,2014 - 2015,4.29
,,2015 - 2016,8.83
,,2016 - 2017,24.0
,,2017 - 2018,19.5
,,2018 - 2019,18.5
,,2019 - 2020,11.33
,,2020 - 2021,20.5
,,2021 - 2022,23.0
,,2022 - 2023,48.0
,Krishnagiri,2002 - 2003,16.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,19.0
,,2007 - 2008,19.0
,,2008 - 2009,20.0
,,2014 - 2015,4.0
,,2015 - 2016,9.0
,,2020 - 2021,19.0
,,2021 - 2022,25.0
,,2022 - 2023,24.0
,Mayiladuthurai,2021 - 2022,25.0
,Namakkal,2002 - 2003,16.0
,,2003 - 2004,
,,2006 - 2007,18.63
,,2011 - 2012,11.04
,,2015 - 2016,9.0
,Pudukkottai,2021 - 2022,23.08
,Salem,2002 - 2003,16.0
,,2008 - 2009,20.0
,,2011 - 2012,11.0
,,2015 - 2016,9.0
,,2016 - 2017,22.0
,,2018 - 2019,19.0
,,2019 - 2020,16.0
,,2020 - 2021,19.13
,,2021 - 2022,16.5
,,2022 - 2023,23.91
,Thanjavur,2002 - 2003,16.0
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,18.67
,,2007 - 2008,19.0
,,2008 - 2009,20.0
,,2011 - 2012,11.0
,,2013 - 2014,7.0
,,2014 - 2015,4.0
,,2015 - 2016,8.86
,,2016 - 2017,26.0
,,2017 - 2018,19.6
,,2019 - 2020,20.0
,,2020 - 2021,19.0
,,2021 - 2022,24.43
,,2022 - 2023,23.92
,The nilgiris,2000 - 2001,
,,2002 - 2003,16.02
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,18.64
,,2007 - 2008,19.04
,,2008 - 2009,20.0
,,2009 - 2010,16.05
,,2011 - 2012,11.04
,,2013 - 2014,6.96
,,2014 - 2015,4.23
,,2015 - 2016,8.84
,,2016 - 2017,21.99
,,2017 - 2018,19.54
,,2018 - 2019,19.27
,,2019 - 2020,15.79
,,2020 - 2021,19.18
,,2021 - 2022,24.13
,,2022 - 2023,23.38
,Theni,2014 - 2015,4.0
,,2016 - 2017,19.67
,,2017 - 2018,20.0
,,2022 - 2023,24.0
,Thenkasi,2020 - 2021,8.0
,,2021 - 2022,10.5
,,2022 - 2023,24.0
,Thiruvallur,2021 - 2022,26.67
,Tirunelveli,2000 - 2001,
,,2002 - 2003,16.0
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,18.5
,,2011 - 2012,11.05
,,2013 - 2014,7.0
,,2014 - 2015,4.0
,,2015 - 2016,8.83
,,2016 - 2017,30.0
,,2019 - 2020,18.0
,,2021 - 2022,30.0
,Tiruppur,2015 - 2016,9.0
,,2022 - 2023,24.0
,Tiruvannamalai,2021 - 2022,25.0
,Vellore,2007 - 2008,19.0
,,2013 - 2014,7.0
,,2014 - 2015,4.2
,,2015 - 2016,9.0
,,2016 - 2017,18.0
,,2017 - 2018,20.0
,,2018 - 2019,19.0
,,2019 - 2020,16.67
,,2022 - 2023,24.0
,Virudhunagar,2000 - 2001,
Telangana,Adilabad,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhadradri,2022 - 2023,
,Jagitial,2021 - 2022,
,Jangoan,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kamareddy,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,3.91
,,2001 - 2002,2.5
,,2008 - 2009,7.07
,,2009 - 2010,9.0
,,2010 - 2011,9.33
,,2011 - 2012,9.0
,,2013 - 2014,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Khammam,2016 - 2017,
,,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2020 - 2021,
,,2021 - 2022,
,Mahbubnagar,2014 - 2015,
,Medak,2000 - 2001,3.91
,,2001 - 2002,2.28
,,2002 - 2003,1.64
,,2003 - 2004,3.19
,,2004 - 2005,9.42
,,2005 - 2006,11.86
,,2006 - 2007,5.24
,,2008 - 2009,7.07
,,2009 - 2010,8.97
,,2010 - 2011,11.88
,,2011 - 2012,12.04
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,Medchal,2021 - 2022,
,Mulugu,2021 - 2022,
,Nalgonda,2015 - 2016,
,,2016 - 2017,
,Nirmal,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,3.9
,,2001 - 2002,2.28
,,2002 - 2003,1.63
,,2003 - 2004,3.18
,,2004 - 2005,9.42
,,2005 - 2006,11.83
,,2006 - 2007,5.25
,,2008 - 2009,7.06
,,2009 - 2010,9.0
,,2010 - 2011,9.5
,,2011 - 2012,9.0
,,2015 - 2016,
,,2021 - 2022,
,Peddapalli,2020 - 2021,
,,2021 - 2022,
,Rajanna,2020 - 2021,
,,2021 - 2022,
,Rangareddi,2000 - 2001,3.9
,,2001 - 2002,2.27
,,2002 - 2003,1.64
,,2003 - 2004,3.18
,,2004 - 2005,9.42
,,2005 - 2006,11.85
,,2006 - 2007,5.23
,,2008 - 2009,7.08
,,2009 - 2010,9.21
,,2010 - 2011,9.33
,,2011 - 2012,9.24
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,Sangareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Suryapet,2020 - 2021,
,,2021 - 2022,
,Vikarabad,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal,2000 - 2001,3.91
,,2001 - 2002,2.27
,,2002 - 2003,1.6
,,2003 - 2004,3.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Warangal urban,2021 - 2022,
,Yadadri,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2006 - 2007,
,Aligarh,2006 - 2007,
,,2007 - 2008,
,Ambedkar nagar,2007 - 2008,
,,2010 - 2011,
,Amroha,2006 - 2007,
,Azamgarh,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,Baghpat,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,Bahraich,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2006 - 2007,
,Bareilly,2006 - 2007,
,Budaun,2007 - 2008,
,Deoria,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,Fatehpur,2009 - 2010,
,Firozabad,2009 - 2010,
,Ghazipur,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,Gonda,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,Gorakhpur,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,Hardoi,2006 - 2007,
,,2010 - 2011,
,Jhansi,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanpur nagar,2012 - 2013,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kheri,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kushi nagar,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lalitpur,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Maharajganj,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,Mau,2006 - 2007,
,,2010 - 2011,
,Mirzapur,2006 - 2007,
,Pilibhit,2007 - 2008,
,,2010 - 2011,
,Rae bareli,2009 - 2010,
,Saharanpur,2006 - 2007,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sant kabeer nagar,2007 - 2008,
,Sant ravidas nagar,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,Sitapur,2006 - 2007,
,,2007 - 2008,
,Sonbhadra,2007 - 2008,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unnao,2006 - 2007,
Uttarakhand,Almora,2000 - 2001,9.17
,,2001 - 2002,9.0
,,2002 - 2003,8.5
,,2003 - 2004,9.0
,,2004 - 2005,9.51
,,2005 - 2006,9.0
,,2006 - 2007,8.5
,,2007 - 2008,8.0
,,2008 - 2009,9.51
,,2009 - 2010,9.5
,,2010 - 2011,8.0
,,2011 - 2012,8.2
,,2012 - 2013,8.1
,,2013 - 2014,8.13
,,2014 - 2015,9.07
,,2015 - 2016,5.8
,,2016 - 2017,4.85
,,2017 - 2018,3.53
,,2018 - 2019,5.9
,,2019 - 2020,6.7
,,2020 - 2021,9.25
,,2021 - 2022,8.1
,,2022 - 2023,6.61
,Bageshwar,2000 - 2001,11.0
,,2001 - 2002,11.0
,,2002 - 2003,11.2
,,2003 - 2004,11.0
,,2004 - 2005,11.0
,,2005 - 2006,11.0
,,2006 - 2007,11.0
,,2007 - 2008,11.73
,,2008 - 2009,8.0
,,2009 - 2010,2.86
,,2010 - 2011,8.6
,,2011 - 2012,8.6
,,2012 - 2013,8.63
,,2013 - 2014,8.6
,,2014 - 2015,8.58
,,2015 - 2016,8.5
,,2016 - 2017,4.85
,,2017 - 2018,4.84
,,2018 - 2019,4.95
,,2019 - 2020,6.71
,,2020 - 2021,9.24
,,2021 - 2022,8.11
,,2022 - 2023,6.61
,Chamoli,2000 - 2001,5.14
,,2002 - 2003,7.33
,,2004 - 2005,8.0
,,2005 - 2006,8.0
,,2006 - 2007,7.6
,,2007 - 2008,7.0
,,2008 - 2009,8.0
,,2009 - 2010,8.0
,,2010 - 2011,7.67
,,2011 - 2012,7.6
,,2012 - 2013,9.65
,,2013 - 2014,14.0
,,2014 - 2015,14.0
,,2015 - 2016,14.14
,,2016 - 2017,10.0
,,2018 - 2019,10.33
,,2019 - 2020,8.5
,,2020 - 2021,8.5
,,2021 - 2022,13.0
,Champawat,2000 - 2001,11.0
,,2001 - 2002,11.0
,,2002 - 2003,11.0
,,2003 - 2004,7.5
,,2004 - 2005,8.0
,,2005 - 2006,7.5
,,2006 - 2007,8.5
,,2007 - 2008,8.0
,,2008 - 2009,16.07
,,2009 - 2010,7.05
,,2010 - 2011,7.94
,,2011 - 2012,9.03
,,2012 - 2013,5.26
,,2013 - 2014,7.13
,,2014 - 2015,9.91
,,2015 - 2016,8.1
,,2016 - 2017,9.4
,,2017 - 2018,10.77
,,2018 - 2019,12.58
,,2019 - 2020,15.2
,,2020 - 2021,14.4
,,2021 - 2022,13.03
,,2022 - 2023,15.25
,Dehradun,2000 - 2001,9.38
,,2001 - 2002,9.36
,,2002 - 2003,9.8
,,2003 - 2004,8.22
,,2004 - 2005,8.26
,,2005 - 2006,9.04
,,2006 - 2007,9.83
,,2007 - 2008,10.91
,,2008 - 2009,13.97
,,2009 - 2010,9.82
,,2010 - 2011,10.65
,,2011 - 2012,14.92
,,2012 - 2013,15.86
,,2013 - 2014,11.64
,,2014 - 2015,19.86
,,2015 - 2016,11.55
,,2016 - 2017,12.24
,,2017 - 2018,14.3
,,2018 - 2019,13.53
,,2019 - 2020,15.94
,,2020 - 2021,12.43
,,2021 - 2022,14.17
,,2022 - 2023,15.28
,Haridwar,2000 - 2001,8.5
,,2002 - 2003,0.0
,,2011 - 2012,9.0
,,2013 - 2014,6.0
,,2014 - 2015,20.0
,,2015 - 2016,8.67
,Nainital,2000 - 2001,8.0
,,2001 - 2002,8.57
,,2002 - 2003,8.76
,,2003 - 2004,7.9
,,2004 - 2005,8.98
,,2005 - 2006,7.87
,,2006 - 2007,9.0
,,2007 - 2008,9.5
,,2008 - 2009,8.42
,,2009 - 2010,8.44
,,2010 - 2011,10.01
,,2011 - 2012,11.08
,,2012 - 2013,11.16
,,2013 - 2014,11.02
,,2014 - 2015,10.87
,,2015 - 2016,8.6
,,2016 - 2017,11.33
,,2017 - 2018,11.01
,,2018 - 2019,13.08
,,2019 - 2020,9.51
,,2020 - 2021,11.99
,,2021 - 2022,13.84
,,2022 - 2023,12.0
,Pauri garhwal,2000 - 2001,9.2
,,2001 - 2002,8.66
,,2002 - 2003,8.19
,,2003 - 2004,9.0
,,2004 - 2005,9.52
,,2005 - 2006,9.0
,,2006 - 2007,7.51
,,2007 - 2008,8.0
,,2008 - 2009,9.5
,,2009 - 2010,9.51
,,2010 - 2011,6.53
,,2011 - 2012,7.0
,,2012 - 2013,8.6
,,2013 - 2014,8.78
,,2014 - 2015,8.72
,,2015 - 2016,8.6
,,2016 - 2017,10.3
,,2017 - 2018,10.31
,,2018 - 2019,10.31
,,2019 - 2020,8.6
,,2020 - 2021,8.6
,,2021 - 2022,8.6
,,2022 - 2023,10.55
,Pithoragarh,2000 - 2001,4.17
,,2001 - 2002,5.33
,,2002 - 2003,4.85
,,2003 - 2004,4.0
,,2004 - 2005,4.5
,,2005 - 2006,4.0
,,2006 - 2007,7.51
,,2007 - 2008,3.03
,,2008 - 2009,7.0
,,2009 - 2010,3.66
,,2010 - 2011,6.5
,,2011 - 2012,9.25
,,2012 - 2013,7.89
,,2013 - 2014,6.65
,,2014 - 2015,10.06
,,2015 - 2016,7.81
,,2016 - 2017,6.0
,,2017 - 2018,11.55
,,2018 - 2019,7.37
,,2019 - 2020,10.2
,,2020 - 2021,11.24
,,2021 - 2022,9.04
,,2022 - 2023,8.98
,Rudra prayag,2001 - 2002,3.0
,,2002 - 2003,0.0
,,2003 - 2004,10.0
,,2006 - 2007,9.0
,,2007 - 2008,10.0
,,2008 - 2009,9.8
,,2009 - 2010,9.0
,,2011 - 2012,8.0
,,2012 - 2013,6.0
,,2014 - 2015,9.0
,,2015 - 2016,8.0
,,2017 - 2018,10.0
,,2018 - 2019,10.4
,Tehri garhwal,2000 - 2001,17.33
,,2001 - 2002,15.5
,,2002 - 2003,14.43
,,2003 - 2004,18.0
,,2004 - 2005,16.0
,,2005 - 2006,18.0
,,2006 - 2007,12.5
,,2007 - 2008,12.8
,,2008 - 2009,8.77
,,2009 - 2010,11.6
,,2010 - 2011,9.87
,,2011 - 2012,9.71
,,2012 - 2013,11.56
,,2013 - 2014,8.85
,,2014 - 2015,12.32
,,2015 - 2016,10.8
,,2016 - 2017,13.2
,,2017 - 2018,13.66
,,2018 - 2019,12.55
,,2019 - 2020,8.6
,,2020 - 2021,16.83
,,2021 - 2022,13.21
,,2022 - 2023,10.55
,Udam singh nagar,2001 - 2002,9.0
,,2002 - 2003,0.0
,,2003 - 2004,7.0
,,2004 - 2005,7.0
,,2005 - 2006,6.5
,,2006 - 2007,13.5
,,2007 - 2008,14.0
,,2013 - 2014,11.33
,,2015 - 2016,8.5
,,2017 - 2018,11.0
,,2020 - 2021,12.0
,Uttar kashi,2000 - 2001,11.0
,,2001 - 2002,11.17
,,2002 - 2003,10.83
,,2003 - 2004,11.0
,,2004 - 2005,12.0
,,2005 - 2006,11.0
,,2006 - 2007,11.0
,,2007 - 2008,10.56
,,2008 - 2009,11.33
,,2009 - 2010,11.4
,,2010 - 2011,9.67
,,2011 - 2012,10.0
,,2012 - 2013,9.92
,,2013 - 2014,9.0
,,2014 - 2015,9.0
,,2015 - 2016,9.2
,,2016 - 2017,10.3
,,2017 - 2018,10.32
,,2018 - 2019,10.43
,,2019 - 2020,8.67
,,2020 - 2021,9.5
,,2021 - 2022,13.14
,,2022 - 2023,10.54
West Bengal,paraganas north,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,paraganas south,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Bankura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Birbhum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Coochbehar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Darjeeling,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Dinajpur dakshin,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Dinajpur uttar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Hooghly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Howrah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Jalpaiguri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Maldah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Medinipur east,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Medinipur west,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Murshidabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Nadia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Purba bardhaman,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Purulia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
