state,district,year,ginger_whole_year_yield_tonne_per_hectare
,,2008 - 2009,7.03
,,2009 - 2010,7.03
,,2010 - 2011,7.03
,,2011 - 2012,7.26
,,2012 - 2013,7.38
,,2013 - 2014,8.13
,,2014 - 2015,10.69
,,2015 - 2016,10.76
,,2016 - 2017,10.69
,,2017 - 2018,10.79
,,2018 - 2019,10.71
,,2019 - 2020,10.74
,,2020 - 2021,10.85
,,2021 - 2022,10.86
,,2022 - 2023,10.86
,Karimganj,2007 - 2008,7.43
,,2008 - 2009,7.43
,,2009 - 2010,7.43
,,2010 - 2011,7.43
,,2011 - 2012,7.58
,,2012 - 2013,7.68
,,2013 - 2014,7.68
,,2014 - 2015,7.69
,,2015 - 2016,7.69
,,2016 - 2017,8.06
,,2017 - 2018,8.07
,,2018 - 2019,9.51
,,2019 - 2020,9.87
,,2020 - 2021,9.87
,,2021 - 2022,9.86
,,2022 - 2023,10.2
,Kokrajhar,2007 - 2008,6.41
,,2008 - 2009,6.41
,,2009 - 2010,6.41
,,2010 - 2011,6.41
,,2011 - 2012,6.55
,,2012 - 2013,7.57
,,2013 - 2014,7.56
,,2014 - 2015,7.57
,,2015 - 2016,7.58
,,2016 - 2017,7.75
,,2017 - 2018,7.76
,,2018 - 2019,8.48
,,2019 - 2020,8.68
,,2020 - 2021,8.68
,,2021 - 2022,8.68
,,2022 - 2023,8.79
,Lakhimpur,2007 - 2008,7.64
,,2008 - 2009,7.65
,,2009 - 2010,7.65
,,2010 - 2011,7.64
,,2011 - 2012,7.69
,,2012 - 2013,7.8
,,2013 - 2014,7.8
,,2014 - 2015,7.81
,,2015 - 2016,7.83
,,2016 - 2017,7.98
,,2017 - 2018,7.99
,,2018 - 2019,8.62
,,2019 - 2020,8.79
,,2020 - 2021,8.78
,,2021 - 2022,8.78
,,2022 - 2023,8.87
,Majuli,2020 - 2021,9.81
,,2021 - 2022,9.81
,,2022 - 2023,10.07
,Marigaon,2007 - 2008,8.76
,,2008 - 2009,8.76
,,2009 - 2010,8.76
,,2010 - 2011,8.76
,,2011 - 2012,8.87
,,2012 - 2013,8.98
,,2013 - 2014,8.98
,,2014 - 2015,8.98
,,2015 - 2016,8.99
,,2016 - 2017,9.19
,,2017 - 2018,9.21
,,2018 - 2019,10.09
,,2019 - 2020,10.31
,,2020 - 2021,10.31
,,2021 - 2022,10.31
,,2022 - 2023,10.5
,Nagaon,2007 - 2008,9.64
,,2008 - 2009,9.64
,,2009 - 2010,9.64
,,2010 - 2011,9.64
,,2011 - 2012,9.86
,,2012 - 2013,9.98
,,2013 - 2014,9.98
,,2014 - 2015,9.98
,,2015 - 2016,9.99
,,2016 - 2017,10.09
,,2017 - 2018,9.65
,,2018 - 2019,10.58
,,2019 - 2020,10.7
,,2020 - 2021,10.7
,,2021 - 2022,10.7
,,2022 - 2023,10.94
,Nalbari,2007 - 2008,6.95
,,2008 - 2009,6.95
,,2009 - 2010,6.95
,,2010 - 2011,6.95
,,2011 - 2012,7.97
,,2012 - 2013,7.98
,,2013 - 2014,7.98
,,2014 - 2015,7.98
,,2015 - 2016,7.99
,,2016 - 2017,8.24
,,2017 - 2018,8.26
,,2018 - 2019,9.28
,,2019 - 2020,9.54
,,2020 - 2021,9.54
,,2021 - 2022,9.54
,,2022 - 2023,9.67
,Sivasagar,2007 - 2008,5.66
,,2008 - 2009,5.66
,,2009 - 2010,5.66
,,2010 - 2011,5.66
,,2011 - 2012,6.67
,,2012 - 2013,7.69
,,2013 - 2014,7.69
,,2014 - 2015,7.69
,,2015 - 2016,7.74
,,2016 - 2017,8.09
,,2017 - 2018,8.71
,,2018 - 2019,9.49
,,2019 - 2020,9.73
,,2020 - 2021,9.72
,,2021 - 2022,9.39
,,2022 - 2023,10.2
,Sonitpur,2007 - 2008,6.47
,,2008 - 2009,6.49
,,2009 - 2010,6.48
,,2010 - 2011,6.48
,,2011 - 2012,7.48
,,2012 - 2013,7.59
,,2013 - 2014,7.59
,,2014 - 2015,9.7
,,2015 - 2016,9.71
,,2016 - 2017,9.77
