state,district,year,coriander_whole_year_yield_tonne_per_hectare
,,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2007 - 2008,0.25
,,2008 - 2009,0.21
,,2009 - 2010,0.21
,,2010 - 2011,0.24
,,2011 - 2012,0.24
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2014 - 2015,0.28
,,2015 - 2016,0.23
,,2016 - 2017,0.31
,,2017 - 2018,0.3
,,2018 - 2019,0.29
,,2019 - 2020,0.27
,,2020 - 2021,0.28
,,2021 - 2022,0.28
,,2022 - 2023,0.27
,Sakti,2022 - 2023,0.2
,Sukma,2011 - 2012,0.2
,,2012 - 2013,0.33
,,2013 - 2014,0.2
,,2015 - 2016,0.17
,,2016 - 2017,0.14
,,2017 - 2018,0.25
,,2020 - 2021,0.33
,Surajpur,2011 - 2012,0.18
,,2012 - 2013,0.18
,,2013 - 2014,0.25
,,2014 - 2015,0.2
,,2015 - 2016,0.24
,,2016 - 2017,0.2
,,2017 - 2018,0.22
,,2018 - 2019,0.23
,,2019 - 2020,0.25
,,2020 - 2021,0.28
,,2021 - 2022,0.29
,,2022 - 2023,0.26
,Surguja,2000 - 2001,0.22
,,2001 - 2002,0.22
,,2002 - 2003,0.19
,,2003 - 2004,0.23
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,0.22
,,2007 - 2008,0.22
,,2008 - 2009,0.22
,,2009 - 2010,0.18
,,2010 - 2011,0.26
,,2011 - 2012,0.18
,,2012 - 2013,0.11
,,2013 - 2014,0.23
,,2014 - 2015,0.23
,,2015 - 2016,0.25
,,2016 - 2017,0.24
,,2017 - 2018,0.25
,,2018 - 2019,0.25
,,2019 - 2020,0.21
,,2020 - 2021,0.25
,,2021 - 2022,0.29
,,2022 - 2023,0.25
Haryana,Ambala,2008 - 2009,0.0
,,2013 - 2014,1.93
,,2014 - 2015,4.23
,,2015 - 2016,2.17
,,2016 - 2017,2.36
,,2017 - 2018,2.5
,,2019 - 2020,8.0
,Bhiwani,2013 - 2014,1.45
,,2014 - 2015,2.5
,,2015 - 2016,6.2
,,2016 - 2017,1.26
,,2018 - 2019,6.0
,,2019 - 2020,2.78
,Charki dadri,2018 - 2019,1.09
,,2019 - 2020,1.6
,Faridabad,2013 - 2014,1.73
,,2014 - 2015,3.0
,,2015 - 2016,4.09
,,2016 - 2017,1.3
,,2017 - 2018,1.16
,,2018 - 2019,4.63
,,2019 - 2020,4.5
,Fatehabad,2013 - 2014,1.75
,,2014 - 2015,1.92
,,2015 - 2016,0.75
,,2016 - 2017,1.67
,,2017 - 2018,1.5
,,2021 - 2022,0.0
,Gurgaon,2013 - 2014,1.27
,,2014 - 2015,1.0
,,2015 - 2016,4.0
,,2016 - 2017,1.6
,,2017 - 2018,4.8
,,2018 - 2019,3.4
,,2019 - 2020,1.5
,Hisar,2013 - 2014,1.33
,,2014 - 2015,1.2
,,2015 - 2016,3.0
,,2016 - 2017,3.33
,,2017 - 2018,3.33
,,2018 - 2019,0.0
,,2019 - 2020,2.0
,Jhajjar,2013 - 2014,1.3
,,2014 - 2015,2.0
,,2015 - 2016,2.44
,,2016 - 2017,1.59
,,2017 - 2018,2.67
,,2018 - 2019,3.19
,Jind,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2013 - 2014,1.25
,,2014 - 2015,1.15
,,2015 - 2016,0.63
,,2016 - 2017,0.99
,,2017 - 2018,1.99
,,2018 - 2019,0.79
,,2019 - 2020,1.03
,,2021 - 2022,0.0
,Kaithal,2009 - 2010,0.0
,,2012 - 2013,0.91
,,2013 - 2014,1.45
,,2014 - 2015,1.5
,,2015 - 2016,2.09
,,2016 - 2017,2.22
,,2017 - 2018,1.92
,,2018 - 2019,2.73
,,2019 - 2020,3.3
,,2021 - 2022,0.0
,Karnal,2009 - 2010,3.45
,,2010 - 2011,0.0
,,2011 - 2012,1.54
,,2012 - 2013,1.05
,,2013 - 2014,0.83
,,2014 - 2015,1.47
,,2015 - 2016,5.6
,,2016 - 2017,5.0
,,2017 - 2018,2.0
,,2018 - 2019,6.88
,,2019 - 2020,6.67
,,2021 - 2022,0.0
,Kurukshetra,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,1.0
,,2013 - 2014,1.18
,,2014 - 2015,2.75
,,2015 - 2016,1.67
,,2016 - 2017,1.71
,,2021 - 2022,0.0
,Mahendragarh,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2013 - 2014,2.57
,,2014 - 2015,5.0
,,2015 - 2016,1.67
,,2016 - 2017,2.0
,,2017 - 2018,0.33
,,2018 - 2019,8.0
,,2019 - 2020,15.0
,Mewat,2013 - 2014,3.0
,,2014 - 2015,2.5
,,2015 - 2016,1.95
,,2016 - 2017,1.9
,,2017 - 2018,1.67
,,2018 - 2019,2.19
,,2019 - 2020,1.64
,Palwal,2013 - 2014,2.9
,,2014 - 2015,1.67
,,2015 - 2016,1.59
,,2016 - 2017,0.68
,,2018 - 2019,1.8
,,2019 - 2020,1.6
,Panchkula,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2012 - 2013,1.0
,,2013 - 2014,2.21
,,2014 - 2015,2.0
,,2015 - 2016,1.93
,,2016 - 2017,0.17
,,2017 - 2018,3.36
,,2018 - 2019,2.5
,,2019 - 2020,2.5
,,2021 - 2022,0.0
,Panipat,2008 - 2009,2.29
,,2009 - 2010,1.63
,,2010 - 2011,0.0
,,2011 - 2012,1.28
,,2012 - 2013,1.05
,,2013 - 2014,1.54
,,2014 - 2015,3.0
,,2015 - 2016,5.29
,,2016 - 2017,5.69
,,2017 - 2018,6.29
,,2018 - 2019,5.93
,,2019 - 2020,5.98
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Rewari,2013 - 2014,2.0
,,2014 - 2015,2.17
,,2015 - 2016,1.94
,,2016 - 2017,2.0
,,2017 - 2018,2.18
,,2018 - 2019,2.38
,,2019 - 2020,2.63
,Rohtak,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2013 - 2014,1.43
,,2014 - 2015,2.8
,,2015 - 2016,2.76
,,2016 - 2017,1.17
,,2019 - 2020,2.0
,Sirsa,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2013 - 2014,1.09
,,2014 - 2015,1.11
,,2015 - 2016,0.15
,,2016 - 2017,0.91
,,2017 - 2018,6.88
,,2018 - 2019,4.97
,,2019 - 2020,4.48
,Sonipat,2013 - 2014,0.81
,,2014 - 2015,1.09
,,2015 - 2016,1.95
,,2016 - 2017,1.32
,,2017 - 2018,2.15
,,2018 - 2019,1.96
,,2019 - 2020,3.04
,,2021 - 2022,0.0
,Yamunanagar,2008 - 2009,0.0
,,2011 - 2012,0.0
,,2013 - 2014,1.0
,,2014 - 2015,1.54
,,2015 - 2016,1.81
,,2016 - 2017,0.95
,,2017 - 2018,1.01
,,2018 - 2019,2.15
,,2019 - 2020,2.8
,,2021 - 2022,0.0
Himachal Pradesh,Bilaspur,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,0.31
,,2002 - 2003,0.3
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,2.67
,,2002 - 2003,0.0
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,2.0
,,2002 - 2003,0.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2001 - 2002,0.25
,,2002 - 2003,0.29
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mandi,2001 - 2002,2.0
,,2002 - 2003,0.33
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,0.29
,,2002 - 2003,0.32
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,0.29
,,2002 - 2003,0.32
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,3.0
,,2002 - 2003,0.32
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Jammu,2007 - 2008,
,Rajauri,2007 - 2008,
Karnataka,Bagalkot,2000 - 2001,0.09
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.08
,,2004 - 2005,0.1
,,2005 - 2006,0.09
,,2006 - 2007,0.1
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.37
,,2011 - 2012,0.41
,,2012 - 2013,0.39
,,2013 - 2014,0.29
,,2014 - 2015,0.34
,,2015 - 2016,0.43
,,2016 - 2017,0.4
,,2018 - 2019,0.89
,,2021 - 2022,0.54
,,2022 - 2023,0.71
,Bangalore rural,2000 - 2001,0.11
,,2001 - 2002,0.14
,,2005 - 2006,0.15
,,2006 - 2007,0.16
,,2007 - 2008,0.35
,,2008 - 2009,0.55
,,2009 - 2010,0.49
,,2010 - 2011,0.37
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.3
,,2014 - 2015,0.35
,,2015 - 2016,0.43
,,2016 - 2017,0.44
,,2017 - 2018,0.0
,,2018 - 2019,0.9
,,2020 - 2021,0.5
,,2022 - 2023,0.6
,Belgaum,2000 - 2001,0.12
,,2001 - 2002,0.12
,,2002 - 2003,0.12
,,2003 - 2004,0.12
,,2004 - 2005,0.12
,,2005 - 2006,0.12
,,2006 - 2007,0.12
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2012 - 2013,0.36
,,2013 - 2014,0.31
,,2014 - 2015,0.4
,,2015 - 2016,0.64
,,2016 - 2017,0.6
,,2018 - 2019,0.89
,,2020 - 2021,0.67
,,2022 - 2023,8.0
,Bellary,2000 - 2001,0.2
,,2001 - 2002,0.2
,,2002 - 2003,0.2
,,2003 - 2004,0.2
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.2
,,2007 - 2008,0.38
,,2008 - 2009,0.54
,,2009 - 2010,0.46
,,2010 - 2011,0.32
,,2011 - 2012,0.41
,,2012 - 2013,0.39
,,2013 - 2014,0.31
,,2014 - 2015,0.34
,,2015 - 2016,0.43
,,2016 - 2017,0.44
,,2017 - 2018,0.35
,,2018 - 2019,0.9
,,2020 - 2021,0.54
,,2021 - 2022,0.52
,,2022 - 2023,0.7
,Bengaluru urban,2000 - 2001,0.17
,,2001 - 2002,0.17
,,2002 - 2003,0.17
,,2003 - 2004,0.15
,,2004 - 2005,0.16
,,2005 - 2006,0.17
,,2006 - 2007,0.17
,,2007 - 2008,0.33
,,2008 - 2009,0.53
,,2009 - 2010,0.5
,,2010 - 2011,0.38
,,2011 - 2012,0.39
,,2012 - 2013,0.39
,,2013 - 2014,0.33
,,2014 - 2015,0.32
,,2015 - 2016,0.43
,,2017 - 2018,0.25
,,2018 - 2019,0.9
,,2021 - 2022,0.5
,Bidar,2000 - 2001,0.11
,,2001 - 2002,0.11
,,2002 - 2003,0.11
,,2003 - 2004,0.11
,,2004 - 2005,0.11
,,2005 - 2006,0.11
,,2006 - 2007,0.11
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.37
,,2011 - 2012,0.26
,,2012 - 2013,0.27
,,2013 - 2014,0.31
,,2014 - 2015,0.34
,,2016 - 2017,0.0
,,2018 - 2019,0.88
,,2020 - 2021,0.53
,,2021 - 2022,0.56
,,2022 - 2023,0.59
,Bijapur,2000 - 2001,0.09
,,2001 - 2002,0.09
,,2002 - 2003,0.1
,,2003 - 2004,0.08
,,2004 - 2005,0.09
,,2005 - 2006,0.09
,,2006 - 2007,0.09
,,2007 - 2008,0.35
,,2008 - 2009,0.53
,,2009 - 2010,0.49
,,2010 - 2011,0.36
,,2011 - 2012,0.27
,,2012 - 2013,0.26
,,2013 - 2014,0.31
,,2014 - 2015,0.34
,,2015 - 2016,0.43
,,2018 - 2019,0.89
,,2019 - 2020,0.49
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Chamarajanagar,2000 - 2001,0.1
,,2001 - 2002,0.11
,,2002 - 2003,0.12
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.32
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.38
,,2011 - 2012,0.41
,,2012 - 2013,0.4
,,2013 - 2014,0.31
,,2014 - 2015,0.31
,,2015 - 2016,0.45
,,2016 - 2017,0.42
,,2017 - 2018,0.37
,,2018 - 2019,1.32
,,2020 - 2021,0.54
,,2021 - 2022,0.5
,,2022 - 2023,0.48
,Chikballapur,2007 - 2008,0.35
,,2008 - 2009,0.5
,,2009 - 2010,0.47
,,2010 - 2011,0.36
,,2012 - 2013,0.39
,,2014 - 2015,0.34
,,2015 - 2016,0.43
,,2016 - 2017,0.66
,,2017 - 2018,0.36
,,2018 - 2019,0.98
,,2020 - 2021,0.54
,,2021 - 2022,0.54
,,2022 - 2023,0.74
,Chikmagalur,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.29
,,2008 - 2009,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.38
,,2011 - 2012,0.43
,,2012 - 2013,0.43
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.28
,,2016 - 2017,0.28
,,2017 - 2018,0.34
,,2018 - 2019,0.46
,,2020 - 2021,0.55
,,2021 - 2022,0.55
,Chitradurga,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.35
,,2008 - 2009,0.64
,,2009 - 2010,0.59
,,2010 - 2011,0.38
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.31
,,2014 - 2015,0.34
,,2015 - 2016,0.36
,,2016 - 2017,0.34
,,2017 - 2018,0.45
,,2018 - 2019,0.89
,,2019 - 2020,0.5
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.06
,Dakshin kannad,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2022 - 2023,1.0
,Davangere,2000 - 2001,0.11
,,2001 - 2002,0.09
,,2002 - 2003,0.1
,,2003 - 2004,0.12
,,2004 - 2005,0.11
,,2005 - 2006,0.11
,,2006 - 2007,0.12
,,2007 - 2008,0.38
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.36
,,2011 - 2012,0.4
,,2012 - 2013,0.43
,,2013 - 2014,0.25
,,2014 - 2015,0.33
,,2015 - 2016,0.43
,,2017 - 2018,0.37
,,2018 - 2019,0.89
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Dharwad,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.24
,,2008 - 2009,0.89
,,2009 - 2010,0.96
,,2010 - 2011,0.65
,,2011 - 2012,0.54
,,2012 - 2013,0.53
,,2013 - 2014,0.31
,,2014 - 2015,0.36
,,2015 - 2016,0.35
,,2016 - 2017,0.43
,,2017 - 2018,0.35
,,2018 - 2019,0.89
,,2019 - 2020,0.49
,,2020 - 2021,0.53
,,2021 - 2022,0.58
,Gadag,2000 - 2001,0.11
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.38
,,2011 - 2012,0.41
,,2012 - 2013,0.4
,,2013 - 2014,0.3
,,2014 - 2015,0.34
,,2015 - 2016,0.43
,,2016 - 2017,0.44
,,2017 - 2018,0.37
,,2018 - 2019,0.89
,,2019 - 2020,0.46
,,2020 - 2021,0.54
,,2021 - 2022,0.55
,,2022 - 2023,0.6
,Gulbarga,2000 - 2001,0.16
,,2001 - 2002,0.16
,,2002 - 2003,0.16
,,2003 - 2004,0.15
,,2004 - 2005,0.15
,,2005 - 2006,0.15
,,2006 - 2007,0.14
,,2007 - 2008,0.33
,,2008 - 2009,0.56
,,2009 - 2010,0.46
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.41
,,2013 - 2014,0.33
,,2014 - 2015,0.34
,,2018 - 2019,0.89
,,2020 - 2021,0.56
,,2022 - 2023,0.67
,Hassan,2000 - 2001,0.12
,,2001 - 2002,0.12
,,2002 - 2003,0.12
,,2003 - 2004,0.13
,,2004 - 2005,0.12
,,2005 - 2006,0.12
,,2006 - 2007,0.13
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.37
,,2011 - 2012,0.41
,,2012 - 2013,0.41
,,2013 - 2014,0.25
,,2014 - 2015,0.34
,,2015 - 2016,0.43
,,2016 - 2017,0.43
,,2017 - 2018,0.37
,,2018 - 2019,0.48
,,2020 - 2021,0.53
,,2021 - 2022,1.0
,,2022 - 2023,0.5
,Haveri,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.35
,,2008 - 2009,0.55
,,2009 - 2010,0.49
,,2010 - 2011,0.38
,,2011 - 2012,0.41
,,2012 - 2013,0.39
,,2013 - 2014,0.32
,,2014 - 2015,0.35
,,2015 - 2016,0.43
,,2017 - 2018,0.36
,,2018 - 2019,0.88
,,2022 - 2023,1.0
,Kodagu,2018 - 2019,1.0
,Kolar,2000 - 2001,0.1
,,2001 - 2002,0.11
,,2002 - 2003,0.11
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.11
,,2007 - 2008,0.4
,,2008 - 2009,0.6
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2014 - 2015,0.4
,,2015 - 2016,0.4
,,2016 - 2017,0.4
,,2017 - 2018,0.4
,,2018 - 2019,0.89
,Koppal,2000 - 2001,0.17
,,2001 - 2002,0.18
,,2002 - 2003,0.17
,,2003 - 2004,0.18
,,2004 - 2005,0.17
,,2005 - 2006,0.17
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2014 - 2015,0.34
,,2015 - 2016,0.39
,,2018 - 2019,0.89
,,2020 - 2021,0.5
,Mandya,2001 - 2002,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.5
,,2009 - 2010,0.43
,,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,0.33
,,2015 - 2016,0.0
,,2016 - 2017,0.47
,,2017 - 2018,0.5
,,2018 - 2019,0.88
,,2020 - 2021,0.52
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Mysore,2000 - 2001,0.07
,,2001 - 2002,0.1
,,2002 - 2003,0.09
,,2003 - 2004,0.09
,,2004 - 2005,0.08
,,2005 - 2006,0.08
,,2006 - 2007,0.1
,,2007 - 2008,0.35
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.37
,,2011 - 2012,0.42
,,2012 - 2013,0.38
,,2013 - 2014,0.31
,,2014 - 2015,0.33
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2018 - 2019,0.89
,Raichur,2000 - 2001,0.17
,,2001 - 2002,0.17
,,2002 - 2003,0.17
,,2003 - 2004,0.17
,,2004 - 2005,0.17
,,2005 - 2006,0.25
,,2018 - 2019,0.89
,Ramanagara,2011 - 2012,0.44
,,2012 - 2013,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,Shimoga,2012 - 2013,0.5
,,2014 - 2015,0.33
,,2015 - 2016,0.44
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.88
,,2020 - 2021,0.67
,,2021 - 2022,0.5
,Tumkur,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.13
,,2003 - 2004,0.11
,,2004 - 2005,0.1
,,2005 - 2006,0.13
,,2006 - 2007,0.0
,,2007 - 2008,0.38
,,2008 - 2009,0.54
,,2009 - 2010,0.5
,,2010 - 2011,0.38
,,2011 - 2012,0.41
,,2012 - 2013,0.4
,,2014 - 2015,0.33
,,2015 - 2016,0.44
,,2018 - 2019,0.88
,,2022 - 2023,1.0
,Udupi,2018 - 2019,1.0
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Uttar kannad,2018 - 2019,1.0
,Yadgir,2010 - 2011,0.0
,,2011 - 2012,0.5
,,2014 - 2015,0.0
,,2018 - 2019,0.9
,,2019 - 2020,0.44
,,2021 - 2022,1.0
Madhya Pradesh,Agar malwa,2013 - 2014,0.48
,,2015 - 2016,0.77
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,0.77
,,2019 - 2020,0.77
,Alirajpur,2010 - 2011,0.5
,,2011 - 2012,0.43
,,2012 - 2013,0.43
,,2013 - 2014,0.73
,,2015 - 2016,1.2
,,2016 - 2017,2.5
,,2017 - 2018,2.7
,,2018 - 2019,2.72
,,2019 - 2020,1.74
,Anuppur,2003 - 2004,0.26
,,2004 - 2005,0.27
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.26
,,2009 - 2010,0.26
,,2010 - 2011,0.17
,,2011 - 2012,0.18
,,2012 - 2013,0.3
,,2013 - 2014,0.33
,,2015 - 2016,1.5
,,2016 - 2017,1.66
,,2017 - 2018,1.66
,,2018 - 2019,1.7
,,2019 - 2020,1.8
,Ashoknagar,2003 - 2004,0.27
,,2004 - 2005,0.26
,,2006 - 2007,0.31
,,2007 - 2008,0.29
,,2008 - 2009,0.31
,,2009 - 2010,0.33
,,2010 - 2011,0.2
,,2011 - 2012,0.25
,,2012 - 2013,0.62
,,2013 - 2014,0.63
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.53
,,2019 - 2020,1.52
,Balaghat,2000 - 2001,0.22
,,2001 - 2002,0.29
,,2002 - 2003,0.27
,,2003 - 2004,0.28
,,2004 - 2005,0.27
,,2006 - 2007,0.27
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.2
,,2013 - 2014,0.23
,,2015 - 2016,1.6
,,2016 - 2017,1.59
,,2017 - 2018,0.95
,,2018 - 2019,0.97
,,2019 - 2020,0.98
,Barwani,2000 - 2001,0.22
,,2001 - 2002,0.26
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.22
,,2006 - 2007,0.21
,,2007 - 2008,0.18
,,2008 - 2009,0.19
,,2009 - 2010,0.19
,,2010 - 2011,0.22
,,2011 - 2012,0.21
,,2012 - 2013,0.42
,,2013 - 2014,0.44
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Betul,2000 - 2001,0.26
,,2001 - 2002,0.28
,,2002 - 2003,0.25
,,2003 - 2004,0.27
,,2004 - 2005,0.27
,,2006 - 2007,0.3
,,2007 - 2008,0.31
,,2008 - 2009,0.3
,,2009 - 2010,0.31
,,2010 - 2011,0.29
,,2011 - 2012,0.31
,,2012 - 2013,0.41
,,2013 - 2014,0.48
,,2015 - 2016,3.0
,,2016 - 2017,2.79
,,2017 - 2018,2.78
,,2018 - 2019,2.81
,,2019 - 2020,2.84
,Bhind,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.01
,,2003 - 2004,0.33
,,2004 - 2005,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.14
,,2008 - 2009,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.49
,,2018 - 2019,1.49
,,2019 - 2020,1.5
,Bhopal,2000 - 2001,0.41
,,2001 - 2002,0.35
,,2002 - 2003,0.35
,,2003 - 2004,0.36
,,2004 - 2005,0.35
,,2006 - 2007,0.38
,,2007 - 2008,0.39
,,2008 - 2009,0.4
,,2009 - 2010,0.47
,,2010 - 2011,0.32
,,2011 - 2012,0.45
,,2012 - 2013,0.68
,,2013 - 2014,0.8
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.61
,Burhanpur,2003 - 2004,0.36
,,2004 - 2005,0.26
,,2006 - 2007,0.31
,,2007 - 2008,0.33
,,2008 - 2009,0.29
,,2009 - 2010,0.34
,,2010 - 2011,0.24
,,2011 - 2012,0.26
,,2012 - 2013,0.38
,,2013 - 2014,0.28
,,2015 - 2016,1.14
,,2016 - 2017,1.5
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.5
