state,district,year,masoor_rabi_yield_tonne_per_hectare
,,2009 - 2010,0.27
,,2010 - 2011,0.18
,,2011 - 2012,0.33
,,2012 - 2013,0.34
,,2013 - 2014,0.34
,,2014 - 2015,0.35
,,2015 - 2016,0.27
,,2016 - 2017,0.31
,,2017 - 2018,0.35
,,2018 - 2019,0.35
,,2019 - 2020,0.33
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.48
Haryana,Ambala,2000 - 2001,0.72
,,2001 - 2002,0.73
,,2002 - 2003,0.75
,,2003 - 2004,0.71
,,2004 - 2005,0.7
,,2005 - 2006,0.64
,,2006 - 2007,0.67
,,2007 - 2008,0.65
,,2008 - 2009,0.56
,,2009 - 2010,0.82
,,2010 - 2011,0.86
,,2011 - 2012,0.9
,,2012 - 2013,0.91
,,2013 - 2014,0.83
,,2014 - 2015,0.6
,,2015 - 2016,0.6
,,2016 - 2017,0.8
,,2017 - 2018,0.97
,,2018 - 2019,0.5
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,Bhiwani,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2006 - 2007,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.0
,Charki dadri,2021 - 2022,0.8
,Faridabad,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2014 - 2015,0.5
,Fatehabad,2000 - 2001,0.0
,,2001 - 2002,3.57
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,Gurgaon,2000 - 2001,0.28
,,2001 - 2002,0.56
,,2002 - 2003,0.0
,,2003 - 2004,0.45
,,2004 - 2005,0.46
,,2010 - 2011,0.0
,Hisar,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,1.1
,,2007 - 2008,2.86
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2013 - 2014,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2019 - 2020,1.0
,,2021 - 2022,0.8
,Jhajjar,2008 - 2009,1.33
,Jind,2000 - 2001,1.39
,,2001 - 2002,1.54
,,2002 - 2003,2.38
,,2003 - 2004,2.08
,,2004 - 2005,2.78
,,2005 - 2006,2.86
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.3
,Kaithal,2000 - 2001,1.37
,,2001 - 2002,1.23
,,2002 - 2003,1.37
,,2003 - 2004,1.36
,,2004 - 2005,1.05
,,2005 - 2006,1.14
,,2006 - 2007,1.12
,,2007 - 2008,1.49
,,2008 - 2009,2.8
,,2009 - 2010,1.8
,,2010 - 2011,1.87
,,2011 - 2012,1.87
,,2012 - 2013,1.4
,,2013 - 2014,1.0
,,2017 - 2018,0.5
,,2018 - 2019,0.57
,,2020 - 2021,1.0
,Karnal,2000 - 2001,0.84
,,2001 - 2002,1.0
,,2002 - 2003,1.02
,,2003 - 2004,1.1
,,2004 - 2005,1.11
,,2005 - 2006,0.86
,,2006 - 2007,0.99
,,2007 - 2008,0.88
,,2008 - 2009,0.85
,,2009 - 2010,1.11
,,2010 - 2011,1.2
,,2011 - 2012,1.14
,,2012 - 2013,1.1
,,2013 - 2014,1.5
,,2014 - 2015,1.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.51
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Kurukshetra,2000 - 2001,1.2
,,2001 - 2002,1.21
,,2002 - 2003,1.31
,,2003 - 2004,1.27
,,2004 - 2005,1.14
,,2005 - 2006,1.13
,,2006 - 2007,1.3
,,2007 - 2008,1.24
,,2008 - 2009,1.39
,,2009 - 2010,1.21
,,2010 - 2011,1.39
,,2011 - 2012,1.5
,,2012 - 2013,1.4
,,2013 - 2014,2.0
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Mahendragarh,2017 - 2018,0.8
,,2018 - 2019,0.5
,Mewat,2005 - 2006,0.48
,,2006 - 2007,0.57
,,2007 - 2008,0.43
,,2008 - 2009,0.42
,,2009 - 2010,0.44
,,2010 - 2011,0.46
,,2011 - 2012,0.49
,,2012 - 2013,0.68
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,0.4
,,2016 - 2017,0.4
,,2017 - 2018,0.97
,,2018 - 2019,0.45
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.4
,Palwal,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.4
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2021 - 2022,0.4
,Panchkula,2000 - 2001,0.88
,,2001 - 2002,0.79
,,2002 - 2003,0.88
,,2003 - 2004,0.76
,,2004 - 2005,0.9
,,2005 - 2006,0.79
,,2006 - 2007,0.64
,,2007 - 2008,0.0
,,2008 - 2009,0.82
,,2009 - 2010,0.99
,,2010 - 2011,1.08
,,2011 - 2012,1.0
,,2012 - 2013,0.94
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.43
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Panipat,2000 - 2001,1.92
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,1.75
,,2004 - 2005,2.7
,,2005 - 2006,1.92
,,2006 - 2007,0.85
,,2007 - 2008,1.89
,,2008 - 2009,0.0
,,2009 - 2010,2.5
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,1.24
,,2013 - 2014,1.0
,,2018 - 2019,0.5
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Rohtak,2001 - 2002,0.71
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,Sirsa,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,2.13
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.93
,,2018 - 2019,0.67
,,2020 - 2021,1.0
,Sonipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,Yamunanagar,2000 - 2001,0.75
,,2001 - 2002,0.83
,,2002 - 2003,0.84
,,2003 - 2004,0.82
,,2004 - 2005,0.83
,,2005 - 2006,0.77
,,2006 - 2007,0.8
,,2007 - 2008,0.79
,,2008 - 2009,0.78
,,2009 - 2010,0.85
,,2010 - 2011,1.03
,,2011 - 2012,1.08
,,2012 - 2013,1.03
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,0.79
,,2018 - 2019,0.51
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
Himachal Pradesh,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.33
,,2006 - 2007,0.86
,,2007 - 2008,
,,2012 - 2013,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Chamba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.05
,,2006 - 2007,0.35
,,2007 - 2008,
,,2008 - 2009,0.67
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.67
,,2013 - 2014,0.86
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.17
,Hamirpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.82
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Kangra,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.2
,,2006 - 2007,0.74
,,2007 - 2008,
,,2008 - 2009,0.66
,,2009 - 2010,0.68
,,2010 - 2011,0.71
,,2011 - 2012,0.93
,,2012 - 2013,0.73
,,2013 - 2014,0.77
,,2014 - 2015,0.94
,,2015 - 2016,0.66
,,2016 - 2017,0.55
,,2017 - 2018,0.81
,,2018 - 2019,0.86
,,2019 - 2020,0.98
,,2020 - 2021,1.19
,,2021 - 2022,1.25
,,2022 - 2023,1.21
,Kinnaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2006 - 2007,1.0
,,2020 - 2021,1.0
,Kullu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.09
,,2006 - 2007,0.56
,,2007 - 2008,
,,2008 - 2009,0.27
,,2009 - 2010,0.32
,,2010 - 2011,0.65
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.71
,,2014 - 2015,0.77
,,2015 - 2016,0.77
,,2016 - 2017,0.26
,,2017 - 2018,0.89
,,2018 - 2019,0.71
,,2019 - 2020,0.81
,,2020 - 2021,1.2
,,2021 - 2022,1.21
,,2022 - 2023,1.2
,Lahul and spiti,2001 - 2002,
,Mandi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.24
,,2006 - 2007,0.35
,,2007 - 2008,
,,2008 - 2009,0.07
,,2009 - 2010,0.09
,,2010 - 2011,0.63
,,2011 - 2012,0.91
,,2012 - 2013,0.64
,,2013 - 2014,0.72
,,2014 - 2015,0.08
,,2015 - 2016,0.64
,,2016 - 2017,0.07
,,2017 - 2018,0.94
,,2018 - 2019,0.92
,,2019 - 2020,0.94
,,2020 - 2021,1.0
,,2021 - 2022,1.08
,,2022 - 2023,1.08
,Shimla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.39
,,2006 - 2007,0.92
,,2007 - 2008,
,,2008 - 2009,0.31
,,2009 - 2010,0.38
,,2010 - 2011,0.47
,,2011 - 2012,0.87
,,2012 - 2013,0.97
,,2013 - 2014,0.4
,,2014 - 2015,0.81
,,2015 - 2016,0.48
,,2016 - 2017,0.3
,,2017 - 2018,0.91
,,2018 - 2019,0.88
,,2019 - 2020,0.91
,,2020 - 2021,2.57
,,2021 - 2022,2.57
,,2022 - 2023,2.57
,Sirmaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.13
,,2006 - 2007,0.51
,,2007 - 2008,
,,2008 - 2009,0.36
,,2009 - 2010,0.44
,,2010 - 2011,0.63
,,2011 - 2012,0.96
,,2012 - 2013,0.58
,,2013 - 2014,0.67
,,2014 - 2015,0.84
,,2015 - 2016,0.78
,,2016 - 2017,0.35
,,2017 - 2018,0.84
,,2018 - 2019,0.92
,,2019 - 2020,0.94
,,2020 - 2021,1.19
,,2021 - 2022,1.18
,,2022 - 2023,1.19
,Solan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.27
,,2006 - 2007,0.54
,,2007 - 2008,
,,2008 - 2009,1.38
,,2009 - 2010,2.8
,,2010 - 2011,0.5
,,2011 - 2012,0.89
,,2012 - 2013,1.14
,,2013 - 2014,0.75
,,2014 - 2015,1.0
,,2015 - 2016,0.75
,,2016 - 2017,1.75
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,1.25
,,2021 - 2022,1.0
,Una,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2005 - 2006,0.63
,,2006 - 2007,0.83
,,2007 - 2008,
,,2008 - 2009,0.5
,,2009 - 2010,0.6
,,2010 - 2011,0.33
,,2011 - 2012,1.06
,,2012 - 2013,1.17
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.8
,,2020 - 2021,1.0
,,2021 - 2022,1.0
Jammu and Kashmir,Badgam,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Bandipora,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Baramulla,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Doda,2001 - 2002,0.43
,,2002 - 2003,0.44
,,2003 - 2004,0.45
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,Jammu,2002 - 2003,0.53
,,2006 - 2007,0.55
,,2007 - 2008,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2022 - 2023,0.9
,Kargil,2009 - 2010,0.41
,Kathua,2001 - 2002,0.43
,,2002 - 2003,0.43
,,2003 - 2004,0.4
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2009 - 2010,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.05
,,2021 - 2022,0.05
,,2022 - 2023,0.05
,Kishtwar,2008 - 2009,0.44
,,2009 - 2010,0.56
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.56
,,2018 - 2019,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Leh ladakh,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.5
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2008 - 2009,0.4
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2015 - 2016,0.56
,,2016 - 2017,0.57
,,2017 - 2018,0.57
,Pulwama,2001 - 2002,0.49
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,Rajauri,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Reasi,2007 - 2008,0.5
,,2008 - 2009,0.5
,Samba,2007 - 2008,0.54
,,2008 - 2009,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,Udhampur,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2006 - 2007,0.5
Jharkhand,Bokaro,2017 - 2018,0.64
,,2018 - 2019,0.27
,,2019 - 2020,1.3
,,2020 - 2021,1.4
,,2021 - 2022,1.2
,,2022 - 2023,1.4
,Chatra,2006 - 2007,0.44
,,2007 - 2008,0.65
,,2009 - 2010,1.02
,,2011 - 2012,0.99
,,2012 - 2013,0.97
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2015 - 2016,0.72
,,2017 - 2018,0.93
,,2018 - 2019,0.91
,,2019 - 2020,0.92
,,2020 - 2021,0.93
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Deoghar,2006 - 2007,0.62
,,2007 - 2008,0.65
,,2009 - 2010,0.5
,,2017 - 2018,0.95
,,2018 - 2019,1.2
,,2019 - 2020,0.95
,,2020 - 2021,0.95
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Dhanbad,2017 - 2018,0.81
,,2018 - 2019,1.2
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,Dumka,2006 - 2007,0.45
,,2007 - 2008,0.73
,,2009 - 2010,0.6
,,2011 - 2012,1.13
,,2012 - 2013,0.95
,,2013 - 2014,0.92
,,2014 - 2015,0.58
,,2015 - 2016,0.83
,,2017 - 2018,0.74
,,2018 - 2019,1.0
,,2019 - 2020,1.01
,,2020 - 2021,1.05
,,2021 - 2022,1.06
,,2022 - 2023,0.8
,East singhbum,2012 - 2013,1.0
,,2013 - 2014,0.75
,,2014 - 2015,0.72
,,2015 - 2016,0.67
,,2017 - 2018,1.05
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.82
,,2021 - 2022,0.83
,,2022 - 2023,0.83
,Garhwa,2003 - 2004,2.72
,,2004 - 2005,0.6
,,2005 - 2006,0.39
,,2006 - 2007,0.54
,,2007 - 2008,0.53
,,2009 - 2010,0.31
,,2010 - 2011,0.52
,,2011 - 2012,0.93
,,2012 - 2013,1.3
,,2013 - 2014,1.0
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2017 - 2018,1.22
,,2018 - 2019,0.62
,,2019 - 2020,0.53
,,2020 - 2021,0.84
,,2021 - 2022,1.17
,,2022 - 2023,0.83
,Giridih,2017 - 2018,0.88
,,2018 - 2019,0.86
,,2019 - 2020,0.86
,,2020 - 2021,0.85
,,2021 - 2022,0.87
,,2022 - 2023,0.72
,Godda,2002 - 2003,0.85
,,2003 - 2004,0.98
,,2004 - 2005,0.64
,,2005 - 2006,0.6
,,2006 - 2007,0.55
,,2007 - 2008,0.65
,,2009 - 2010,0.6
,,2010 - 2011,1.02
,,2011 - 2012,1.13
,,2012 - 2013,0.95
,,2013 - 2014,0.77
,,2015 - 2016,0.62
,,2017 - 2018,1.08
,,2018 - 2019,1.11
,,2019 - 2020,1.12
,,2020 - 2021,1.2
,,2021 - 2022,1.11
,,2022 - 2023,0.93
,Gumla,2007 - 2008,0.65
,,2009 - 2010,1.02
,,2012 - 2013,0.98
,,2013 - 2014,0.76
,,2014 - 2015,0.71
,,2015 - 2016,0.8
,,2017 - 2018,1.32
,,2018 - 2019,1.12
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,1.17
,Hazaribagh,2006 - 2007,0.44
,,2007 - 2008,0.54
,,2009 - 2010,1.02
,,2012 - 2013,0.97
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2015 - 2016,0.93
,,2017 - 2018,0.84
,,2018 - 2019,0.84
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,1.22
,,2022 - 2023,0.5
,Jamtara,2015 - 2016,0.4
,,2017 - 2018,0.85
,,2018 - 2019,0.8
,,2019 - 2020,0.73
,,2020 - 2021,0.8
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Khunti,2013 - 2014,0.67
,,2014 - 2015,0.5
,,2015 - 2016,0.73
,,2017 - 2018,1.1
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.9
,,2022 - 2023,0.9
,Koderma,2006 - 2007,0.43
,,2009 - 2010,1.0
,,2012 - 2013,0.98
,,2013 - 2014,0.63
,,2014 - 2015,0.71
,,2015 - 2016,0.76
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Latehar,2003 - 2004,0.42
,,2004 - 2005,0.52
,,2005 - 2006,0.49
,,2007 - 2008,0.7
,,2009 - 2010,0.86
,,2010 - 2011,0.67
,,2011 - 2012,0.91
,,2012 - 2013,0.75
,,2013 - 2014,0.61
,,2014 - 2015,0.7
,,2015 - 2016,0.44
,,2017 - 2018,0.56
,,2018 - 2019,0.57
,,2019 - 2020,0.56
,,2020 - 2021,0.56
,,2021 - 2022,0.56
,,2022 - 2023,0.55
,Lohardaga,2006 - 2007,0.49
,,2007 - 2008,0.7
,,2009 - 2010,1.02
,,2011 - 2012,0.98
,,2012 - 2013,0.98
,,2013 - 2014,0.63
,,2014 - 2015,0.73
,,2015 - 2016,0.51
,,2017 - 2018,0.9
,,2018 - 2019,0.51
,,2019 - 2020,0.5
,,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.51
,Pakur,2006 - 2007,0.55
,,2007 - 2008,0.65
,,2009 - 2010,0.6
,,2011 - 2012,1.13
,,2012 - 2013,0.95
,,2013 - 2014,0.77
,,2014 - 2015,0.68
,,2015 - 2016,0.95
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.74
,,2022 - 2023,0.5
,Palamu,2002 - 2003,0.53
,,2003 - 2004,0.58
,,2004 - 2005,0.57
,,2005 - 2006,0.41
,,2006 - 2007,0.78
,,2007 - 2008,0.74
,,2009 - 2010,2.99
,,2010 - 2011,0.5
,,2011 - 2012,0.84
,,2012 - 2013,0.93
,,2013 - 2014,0.87
,,2014 - 2015,0.72
,,2015 - 2016,0.75
,,2017 - 2018,0.7
,,2018 - 2019,0.92
,,2019 - 2020,0.71
,,2020 - 2021,0.74
,,2021 - 2022,0.74
,,2022 - 2023,0.72
,Ramgarh,2017 - 2018,0.73
,,2018 - 2019,0.73
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Ranchi,2006 - 2007,0.29
,,2009 - 2010,1.04
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.71
,,2014 - 2015,0.67
,,2017 - 2018,0.45
,,2018 - 2019,0.7
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Sahebganj,2002 - 2003,1.01
,,2006 - 2007,0.55
,,2007 - 2008,0.65
,,2009 - 2010,0.6
,,2011 - 2012,1.13
,,2012 - 2013,0.95
,,2013 - 2014,0.77
,,2014 - 2015,1.08
,,2015 - 2016,0.7
,,2017 - 2018,0.45
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.45
,Saraikela kharsawan,2011 - 2012,1.0
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2015 - 2016,0.71
,,2017 - 2018,1.1
,,2018 - 2019,0.7
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Simdega,2006 - 2007,0.35
,,2009 - 2010,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.67
,,2015 - 2016,0.75
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,1.1
,,2020 - 2021,1.15
,,2021 - 2022,1.1
,,2022 - 2023,1.1
,West singhbhum,2006 - 2007,0.43
,,2007 - 2008,0.65
,,2009 - 2010,1.03
,,2010 - 2011,0.8
,,2011 - 2012,0.98
,,2012 - 2013,0.97
,,2013 - 2014,0.77
,,2014 - 2015,0.72
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,0.86
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.87
Karnataka,Belgaum,2022 - 2023,0.0
,Bellary,2022 - 2023,
,Bidar,2022 - 2023,0.0
,Bijapur,2022 - 2023,
,Chikballapur,2022 - 2023,0.0
,Chikmagalur,2022 - 2023,
,Chitradurga,2022 - 2023,0.0
,Davangere,2022 - 2023,
,Gulbarga,2022 - 2023,0.0
,Hassan,2022 - 2023,0.0
,Haveri,2022 - 2023,
,Koppal,2022 - 2023,
,Mysore,2022 - 2023,0.0
,Raichur,2022 - 2023,0.0
,Ramanagara,2022 - 2023,
,Shimoga,2022 - 2023,
,Tumkur,2022 - 2023,0.0
,Uttar kannad,2022 - 2023,
,Vijayanagar,2022 - 2023,
,Yadgir,2022 - 2023,
Ladakh,Kargil,2022 - 2023,0.8
,Leh ladakh,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
Madhya Pradesh,Agar malwa,2013 - 2014,0.54
,,2015 - 2016,0.88
,,2017 - 2018,1.2
,,2018 - 2019,0.4
,,2019 - 2020,0.3
,,2020 - 2021,1.19
,,2021 - 2022,0.56
,,2022 - 2023,0.56
,Anuppur,2004 - 2005,0.15
,,2005 - 2006,0.41
,,2006 - 2007,0.39
,,2007 - 2008,0.43
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,0.15
,,2011 - 2012,0.3
,,2012 - 2013,0.46
,,2013 - 2014,0.61
,,2014 - 2015,0.89
,,2015 - 2016,0.86
,,2016 - 2017,0.5
,,2017 - 2018,0.71
,,2018 - 2019,0.49
,,2019 - 2020,0.5
,,2020 - 2021,0.72
,,2021 - 2022,0.69
,,2022 - 2023,0.69
,Ashoknagar,2004 - 2005,0.68
,,2005 - 2006,0.68
,,2006 - 2007,0.75
,,2007 - 2008,0.72
,,2008 - 2009,0.73
,,2009 - 2010,
,,2010 - 2011,0.52
,,2011 - 2012,0.68
,,2012 - 2013,1.1
,,2013 - 2014,1.33
,,2014 - 2015,0.75
,,2015 - 2016,1.42
,,2016 - 2017,1.06
,,2017 - 2018,1.07
,,2018 - 2019,0.96
,,2019 - 2020,1.06
,,2020 - 2021,1.1
,,2021 - 2022,1.27
,,2022 - 2023,1.26
,Balaghat,2004 - 2005,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2016 - 2017,1.0
,,2017 - 2018,0.45
,,2018 - 2019,0.46
,,2019 - 2020,0.53
,,2020 - 2021,0.43
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Betul,2004 - 2005,0.48
,,2005 - 2006,0.48
,,2006 - 2007,0.49
,,2007 - 2008,0.5
,,2008 - 2009,0.48
,,2009 - 2010,
,,2010 - 2011,0.1
,,2011 - 2012,0.47
,,2012 - 2013,0.63
,,2013 - 2014,0.71
,,2014 - 2015,0.75
,,2015 - 2016,1.0
,,2017 - 2018,0.63
,,2018 - 2019,0.46
,,2019 - 2020,0.4
,,2020 - 2021,0.68
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Bhind,2004 - 2005,0.51
,,2005 - 2006,0.53
,,2006 - 2007,0.42
,,2007 - 2008,0.33
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,0.32
,,2012 - 2013,0.68
,,2013 - 2014,0.73
,,2014 - 2015,0.67
,,2015 - 2016,1.0
,,2016 - 2017,1.17
,,2017 - 2018,1.4
,,2018 - 2019,0.65
,,2019 - 2020,0.49
,,2020 - 2021,1.29
,,2021 - 2022,1.5
,,2022 - 2023,1.49
,Bhopal,2004 - 2005,0.48
,,2005 - 2006,0.5
,,2006 - 2007,0.48
,,2007 - 2008,0.51
,,2008 - 2009,0.49
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,1.03
,,2012 - 2013,1.17
