state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2004 - 2005,1.0
,,2012 - 2013,0.8
,,2013 - 2014,
,,2016 - 2017,0.66
,,2017 - 2018,1.13
,,2021 - 2022,1.0
,Thoothukudi,2000 - 2001,0.71
,,2001 - 2002,0.64
,,2002 - 2003,0.55
,,2003 - 2004,0.6
,,2004 - 2005,0.66
,,2005 - 2006,0.53
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.66
,,2011 - 2012,
,,2012 - 2013,0.79
,,2013 - 2014,
,,2016 - 2017,0.64
,,2017 - 2018,1.1
,,2018 - 2019,1.23
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Tiruchirappalli,2000 - 2001,0.49
,,2001 - 2002,0.41
,,2002 - 2003,0.26
,,2003 - 2004,0.2
,,2004 - 2005,0.29
,,2005 - 2006,0.31
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.47
,,2011 - 2012,
,,2012 - 2013,0.41
,,2013 - 2014,
,,2016 - 2017,0.54
,,2017 - 2018,1.7
,,2018 - 2019,1.51
,,2019 - 2020,1.34
,,2020 - 2021,1.17
,,2021 - 2022,0.58
,,2022 - 2023,1.04
,Tirunelveli,2000 - 2001,0.72
,,2001 - 2002,0.69
,,2002 - 2003,0.55
,,2003 - 2004,0.62
,,2004 - 2005,0.67
,,2005 - 2006,0.55
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.67
,,2011 - 2012,
,,2012 - 2013,0.76
,,2013 - 2014,
,,2016 - 2017,0.65
,,2017 - 2018,1.08
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,
,Tirupathur,2020 - 2021,0.57
,,2021 - 2022,0.63
,,2022 - 2023,1.04
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.66
,,2011 - 2012,
,,2012 - 2013,0.79
,,2013 - 2014,
,,2016 - 2017,0.66
,,2017 - 2018,1.09
,,2018 - 2019,1.26
,,2019 - 2020,1.29
,,2020 - 2021,1.07
,,2021 - 2022,0.95
,,2022 - 2023,1.04
,Tiruvannamalai,2000 - 2001,0.52
,,2001 - 2002,0.54
,,2002 - 2003,0.43
,,2003 - 2004,0.76
,,2004 - 2005,0.37
,,2005 - 2006,0.46
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.2
,,2011 - 2012,
,,2012 - 2013,0.49
,,2013 - 2014,
,,2016 - 2017,0.98
,,2017 - 2018,1.67
,,2018 - 2019,1.27
,,2019 - 2020,1.44
,,2020 - 2021,1.16
,,2021 - 2022,1.5
,,2022 - 2023,1.04
,Vellore,2000 - 2001,0.67
,,2001 - 2002,0.62
,,2002 - 2003,0.58
,,2003 - 2004,0.64
,,2004 - 2005,0.76
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,
,,2012 - 2013,0.8
,,2013 - 2014,
,,2016 - 2017,0.94
,,2017 - 2018,1.15
,,2018 - 2019,1.09
,,2019 - 2020,1.12
,,2020 - 2021,0.9
,,2021 - 2022,0.72
,,2022 - 2023,1.04
,Villupuram,2000 - 2001,0.81
,,2001 - 2002,0.65
,,2002 - 2003,0.55
,,2003 - 2004,0.61
,,2004 - 2005,0.67
,,2005 - 2006,0.95
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.66
,,2011 - 2012,
,,2012 - 2013,0.78
,,2013 - 2014,
,,2016 - 2017,0.17
,,2017 - 2018,1.09
,,2018 - 2019,1.25
,,2019 - 2020,1.28
,,2020 - 2021,1.11
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Virudhunagar,2000 - 2001,0.41
,,2001 - 2002,0.65
,,2002 - 2003,0.54
,,2003 - 2004,0.61
,,2004 - 2005,0.67
,,2005 - 2006,0.54
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.66
,,2011 - 2012,
,,2012 - 2013,0.79
,,2013 - 2014,
,,2016 - 2017,0.66
,,2017 - 2018,1.09
,,2018 - 2019,1.25
,,2019 - 2020,1.28
,,2020 - 2021,1.06
,,2021 - 2022,0.94
,,2022 - 2023,1.04
Telangana,Adilabad,2000 - 2001,0.24
,,2001 - 2002,0.47
,,2002 - 2003,0.25
,,2003 - 2004,0.35
,,2004 - 2005,0.43
,,2005 - 2006,0.65
,,2006 - 2007,0.7
,,2007 - 2008,0.79
,,2008 - 2009,0.47
,,2009 - 2010,0.56
,,2010 - 2011,0.55
,,2011 - 2012,0.6
,,2012 - 2013,0.66
,,2013 - 2014,0.67
,,2014 - 2015,0.82
,,2015 - 2016,1.01
,,2016 - 2017,1.1
,,2017 - 2018,1.08
,,2018 - 2019,1.33
,,2019 - 2020,1.24
,,2020 - 2021,0.91
,,2021 - 2022,0.99
,,2022 - 2023,1.0
,Bhadradri,2016 - 2017,0.44
,,2017 - 2018,0.8
,,2018 - 2019,1.26
,,2019 - 2020,0.52
,,2020 - 2021,0.72
,,2021 - 2022,1.07
,,2022 - 2023,0.9
,Jagitial,2016 - 2017,0.94
,,2017 - 2018,0.64
,,2018 - 2019,1.65
,,2019 - 2020,0.69
,,2020 - 2021,0.98
,,2021 - 2022,0.99
,,2022 - 2023,0.66
,Jangoan,2016 - 2017,0.56
,,2017 - 2018,1.12
,,2018 - 2019,0.78
,,2019 - 2020,0.92
,,2020 - 2021,0.54
,,2021 - 2022,0.41
,,2022 - 2023,0.46
,Jayashankar,2016 - 2017,0.56
,,2017 - 2018,0.8
,,2018 - 2019,0.6
,,2019 - 2020,0.9
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,0.89
,Jogulamba,2016 - 2017,0.55
,,2017 - 2018,0.64
,,2018 - 2019,0.3
,,2019 - 2020,0.65
,,2020 - 2021,0.62
,,2021 - 2022,0.51
,,2022 - 2023,0.88
,Kamareddy,2016 - 2017,0.63
,,2017 - 2018,1.13
,,2018 - 2019,1.36
,,2019 - 2020,1.31
,,2020 - 2021,1.08
,,2021 - 2022,0.88
,,2022 - 2023,1.07
,Karimnagar,2000 - 2001,0.36
,,2001 - 2002,0.53
,,2002 - 2003,0.25
,,2003 - 2004,0.42
,,2004 - 2005,0.22
,,2005 - 2006,0.68
,,2006 - 2007,0.44
,,2007 - 2008,0.7
,,2008 - 2009,0.59
,,2009 - 2010,0.73
,,2010 - 2011,0.36
,,2011 - 2012,0.46
,,2012 - 2013,0.71
,,2013 - 2014,0.68
,,2014 - 2015,0.72
,,2015 - 2016,0.39
,,2016 - 2017,0.94
,,2017 - 2018,0.8
,,2018 - 2019,0.65
,,2019 - 2020,0.97
,,2020 - 2021,0.79
,,2021 - 2022,0.95
,,2022 - 2023,0.55
,Khammam,2000 - 2001,0.54
,,2001 - 2002,0.48
,,2002 - 2003,0.42
,,2003 - 2004,0.53
,,2004 - 2005,0.57
,,2005 - 2006,0.62
,,2006 - 2007,0.55
,,2007 - 2008,0.58
,,2008 - 2009,0.6
,,2009 - 2010,0.48
,,2010 - 2011,0.37
,,2011 - 2012,0.38
,,2012 - 2013,0.25
,,2013 - 2014,0.57
,,2014 - 2015,0.52
,,2015 - 2016,0.58
,,2016 - 2017,0.44
,,2017 - 2018,0.83
,,2018 - 2019,0.82
,,2019 - 2020,0.05
,,2020 - 2021,1.1
,,2021 - 2022,0.91
,,2022 - 2023,0.98
,Komaram bheem asifabad,2016 - 2017,1.1
,,2017 - 2018,0.72
,,2018 - 2019,1.04
,,2019 - 2020,1.37
,,2020 - 2021,1.13
,,2021 - 2022,1.01
,,2022 - 2023,1.03
,Mahabubabad,2016 - 2017,0.56
,,2017 - 2018,1.02
,,2018 - 2019,0.55
,,2019 - 2020,0.69
,,2020 - 2021,0.73
,,2021 - 2022,0.6
,,2022 - 2023,0.46
,Mahbubnagar,2000 - 2001,0.43
,,2001 - 2002,0.28
,,2002 - 2003,0.41
,,2003 - 2004,0.4
,,2004 - 2005,0.37
,,2005 - 2006,0.74
,,2006 - 2007,0.21
,,2007 - 2008,0.71
,,2008 - 2009,0.29
,,2009 - 2010,0.22
,,2010 - 2011,0.41
,,2011 - 2012,0.17
,,2012 - 2013,0.53
,,2013 - 2014,0.47
,,2014 - 2015,0.45
,,2015 - 2016,0.26
,,2016 - 2017,0.55
,,2017 - 2018,0.84
,,2018 - 2019,0.48
,,2019 - 2020,0.6
,,2020 - 2021,0.59
,,2021 - 2022,0.55
,,2022 - 2023,0.81
,Mancherial,2016 - 2017,1.1
,,2017 - 2018,0.57
,,2018 - 2019,0.79
,,2019 - 2020,0.69
,,2020 - 2021,0.99
,,2021 - 2022,0.77
,,2022 - 2023,0.84
,Medak,2000 - 2001,0.32
,,2001 - 2002,0.51
,,2002 - 2003,0.32
,,2003 - 2004,0.52
,,2004 - 2005,0.46
,,2005 - 2006,0.26
,,2006 - 2007,0.34
,,2007 - 2008,0.5
,,2008 - 2009,0.59
,,2009 - 2010,0.25
,,2010 - 2011,0.7
,,2011 - 2012,0.38
,,2012 - 2013,0.69
,,2013 - 2014,0.58
,,2014 - 2015,0.32
,,2015 - 2016,0.36
,,2016 - 2017,0.67
,,2017 - 2018,0.7
,,2018 - 2019,0.52
,,2019 - 2020,1.27
,,2020 - 2021,0.6
,,2021 - 2022,0.66
,,2022 - 2023,0.6
,Medchal,2016 - 2017,0.68
,,2017 - 2018,0.8
,,2018 - 2019,0.65
,,2019 - 2020,0.9
,,2020 - 2021,0.78
,,2021 - 2022,0.77
,,2022 - 2023,0.89
,Mulugu,2018 - 2019,0.62
,,2019 - 2020,22.85
,,2020 - 2021,0.79
,,2021 - 2022,0.75
,,2022 - 2023,0.91
,Nagarkurnool,2016 - 2017,0.55
,,2017 - 2018,0.64
,,2018 - 2019,0.36
,,2019 - 2020,0.73
,,2020 - 2021,0.49
,,2021 - 2022,0.5
,,2022 - 2023,0.94
,Nalgonda,2000 - 2001,0.31
,,2001 - 2002,0.26
,,2002 - 2003,0.21
,,2003 - 2004,0.51
,,2004 - 2005,0.36
,,2005 - 2006,0.57
,,2006 - 2007,0.32
,,2007 - 2008,0.47
,,2008 - 2009,0.47
,,2009 - 2010,0.42
,,2010 - 2011,0.46
,,2011 - 2012,0.19
,,2012 - 2013,0.48
,,2013 - 2014,0.57
,,2014 - 2015,0.48
,,2015 - 2016,0.45
,,2016 - 2017,0.66
,,2017 - 2018,0.49
,,2018 - 2019,0.33
,,2019 - 2020,0.8
,,2020 - 2021,0.79
,,2021 - 2022,0.59
,,2022 - 2023,0.6
,Narayanapet,2018 - 2019,0.48
,,2019 - 2020,0.94
,,2020 - 2021,0.84
,,2021 - 2022,0.77
,,2022 - 2023,0.78
,Nirmal,2016 - 2017,1.1
,,2017 - 2018,0.94
,,2018 - 2019,1.06
,,2019 - 2020,1.25
,,2020 - 2021,1.23
,,2021 - 2022,0.83
,,2022 - 2023,1.13
,Nizamabad,2000 - 2001,0.36
,,2001 - 2002,0.22
,,2002 - 2003,0.37
,,2003 - 2004,0.34
,,2004 - 2005,0.43
,,2005 - 2006,0.38
,,2006 - 2007,0.35
,,2007 - 2008,0.67
,,2008 - 2009,1.37
,,2009 - 2010,0.94
,,2010 - 2011,1.02
,,2011 - 2012,0.93
,,2012 - 2013,1.0
,,2013 - 2014,0.57
,,2014 - 2015,0.26
,,2015 - 2016,0.5
,,2016 - 2017,0.63
,,2017 - 2018,0.8
,,2018 - 2019,0.91
,,2019 - 2020,1.52
,,2020 - 2021,1.45
,,2021 - 2022,0.74
,,2022 - 2023,1.38
,Peddapalli,2016 - 2017,0.94
,,2017 - 2018,0.8
,,2018 - 2019,0.65
,,2019 - 2020,0.9
,,2020 - 2021,0.78
,,2021 - 2022,0.77
,,2022 - 2023,0.82
,Rajanna,2016 - 2017,0.94
,,2017 - 2018,0.8
,,2018 - 2019,0.65
,,2019 - 2020,0.9
,,2020 - 2021,0.78
,,2021 - 2022,0.96
,,2022 - 2023,0.76
,Rangareddi,2000 - 2001,0.34
,,2001 - 2002,0.44
,,2002 - 2003,0.59
,,2003 - 2004,0.74
,,2004 - 2005,0.44
,,2005 - 2006,0.72
,,2006 - 2007,0.74
,,2007 - 2008,0.88
,,2008 - 2009,0.62
,,2009 - 2010,0.42
,,2010 - 2011,0.27
,,2011 - 2012,0.28
,,2012 - 2013,0.41
,,2013 - 2014,0.44
,,2014 - 2015,0.4
,,2015 - 2016,0.27
,,2016 - 2017,0.68
,,2017 - 2018,0.69
,,2018 - 2019,0.33
,,2019 - 2020,0.66
,,2020 - 2021,0.74
,,2021 - 2022,0.44
,,2022 - 2023,0.61
,Sangareddy,2016 - 2017,0.67
,,2017 - 2018,0.85
,,2018 - 2019,0.45
,,2019 - 2020,0.85
,,2020 - 2021,0.68
,,2021 - 2022,0.89
,,2022 - 2023,1.02
,Siddipet,2016 - 2017,0.67
,,2017 - 2018,0.6
,,2018 - 2019,0.71
,,2019 - 2020,0.95
,,2020 - 2021,0.64
,,2021 - 2022,0.65
,,2022 - 2023,0.83
,Suryapet,2016 - 2017,0.66
,,2017 - 2018,0.77
,,2018 - 2019,0.57
,,2019 - 2020,0.8
,,2020 - 2021,0.73
,,2021 - 2022,0.53
,,2022 - 2023,0.69
,Vikarabad,2016 - 2017,0.68
,,2017 - 2018,0.75
,,2018 - 2019,0.6
,,2019 - 2020,0.86
,,2020 - 2021,0.86
,,2021 - 2022,0.78
,,2022 - 2023,0.82
,Wanaparthy,2016 - 2017,0.55
,,2017 - 2018,0.76
,,2018 - 2019,0.63
,,2019 - 2020,0.61
,,2020 - 2021,0.35
,,2021 - 2022,0.47
,,2022 - 2023,0.63
,Warangal,2000 - 2001,0.28
,,2001 - 2002,0.54
,,2002 - 2003,0.43
,,2003 - 2004,0.42
,,2004 - 2005,0.29
,,2005 - 2006,0.5
,,2006 - 2007,0.35
,,2007 - 2008,0.41
,,2008 - 2009,0.75
,,2009 - 2010,0.39
,,2010 - 2011,0.27
,,2011 - 2012,0.47
,,2012 - 2013,0.67
,,2013 - 2014,0.65
,,2014 - 2015,0.51
,,2015 - 2016,0.65
,,2016 - 2017,0.56
,,2017 - 2018,0.8
,,2018 - 2019,0.65
,,2019 - 2020,0.9
,,2020 - 2021,0.57
,,2021 - 2022,0.64
,,2022 - 2023,1.12
,Warangal urban,2016 - 2017,0.56
,,2017 - 2018,0.8
,,2018 - 2019,0.65
,,2019 - 2020,0.9
,,2020 - 2021,0.78
,,2021 - 2022,0.64
,,2022 - 2023,0.43
,Yadadri,2016 - 2017,0.66
,,2017 - 2018,0.49
,,2018 - 2019,0.34
,,2019 - 2020,0.82
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,0.68
Tripura,Dhalai,2004 - 2005,0.69
,,2005 - 2006,0.75
,,2006 - 2007,0.73
,,2007 - 2008,0.74
,,2008 - 2009,0.76
,,2009 - 2010,0.75
,,2010 - 2011,0.77
,,2011 - 2012,0.74
,,2012 - 2013,0.74
,,2013 - 2014,0.74
,,2014 - 2015,0.74
,,2015 - 2016,0.71
,,2016 - 2017,0.71
,,2017 - 2018,0.75
,,2018 - 2019,0.8
,,2019 - 2020,0.85
,,2020 - 2021,0.83
,,2021 - 2022,0.82
,,2022 - 2023,0.84
,Gomati,2012 - 2013,0.7
,,2013 - 2014,0.71
,,2014 - 2015,0.73
,,2015 - 2016,0.7
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2018 - 2019,0.8
,,2019 - 2020,0.82
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Khowai,2012 - 2013,0.71
,,2013 - 2014,0.7
,,2014 - 2015,0.69
,,2015 - 2016,0.65
,,2016 - 2017,0.69
,,2017 - 2018,0.72
,,2018 - 2019,0.86
,,2019 - 2020,0.75
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.76
,North tripura,2004 - 2005,0.75
,,2005 - 2006,0.74
,,2006 - 2007,0.76
,,2007 - 2008,0.69
,,2008 - 2009,0.78
,,2009 - 2010,0.73
,,2010 - 2011,0.76
,,2011 - 2012,0.75
,,2012 - 2013,0.76
,,2013 - 2014,0.72
,,2014 - 2015,0.71
,,2015 - 2016,0.66
,,2016 - 2017,0.71
,,2017 - 2018,0.73
,,2018 - 2019,0.73
,,2019 - 2020,0.74
,,2020 - 2021,0.72
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Sepahijala,2012 - 2013,0.86
,,2013 - 2014,0.83
,,2014 - 2015,0.79
,,2015 - 2016,0.74
,,2016 - 2017,0.75
,,2017 - 2018,0.75
,,2018 - 2019,0.76
,,2019 - 2020,0.77
,,2020 - 2021,0.76
,,2021 - 2022,0.75
,,2022 - 2023,0.78
,South tripura,2004 - 2005,0.62
,,2005 - 2006,0.64
,,2006 - 2007,0.6
,,2007 - 2008,0.66
,,2008 - 2009,0.66
,,2009 - 2010,0.7
,,2010 - 2011,0.77
,,2011 - 2012,0.76
,,2012 - 2013,0.71
,,2013 - 2014,0.62
,,2014 - 2015,0.7
,,2015 - 2016,0.69
,,2016 - 2017,0.69
,,2017 - 2018,0.71
,,2018 - 2019,0.73
,,2019 - 2020,0.79
,,2020 - 2021,0.77
,,2021 - 2022,0.77
,,2022 - 2023,0.78
,Unakoti,2012 - 2013,0.79
,,2013 - 2014,0.8
,,2014 - 2015,0.82
,,2015 - 2016,0.78
,,2016 - 2017,0.73
,,2017 - 2018,0.78
,,2018 - 2019,0.74
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.74
,,2022 - 2023,0.78
,West tripura,2004 - 2005,0.7
,,2005 - 2006,0.72
,,2006 - 2007,0.73
,,2007 - 2008,0.78
,,2008 - 2009,0.73
,,2009 - 2010,0.72
,,2010 - 2011,0.76
,,2011 - 2012,0.75
,,2012 - 2013,0.73
,,2013 - 2014,0.72
,,2014 - 2015,0.63
,,2015 - 2016,0.61
,,2016 - 2017,0.68
,,2017 - 2018,0.71
,,2018 - 2019,0.72
,,2019 - 2020,0.84
,,2020 - 2021,0.83
,,2021 - 2022,0.8
,,2022 - 2023,0.82
Uttar Pradesh,Agra,2000 - 2001,1.61
,,2001 - 2002,1.65
,,2003 - 2004,1.72
,,2006 - 2007,0.53
,,2007 - 2008,1.13
,,2008 - 2009,0.78
,,2009 - 2010,0.66
,,2010 - 2011,0.68
,,2011 - 2012,0.88
,,2012 - 2013,1.13
,,2013 - 2014,1.26
,,2014 - 2015,1.1
,,2015 - 2016,0.85
,,2016 - 2017,0.9
,,2017 - 2018,1.24
,,2018 - 2019,1.12
,,2019 - 2020,1.08
,,2020 - 2021,1.79
,,2021 - 2022,1.66
,,2022 - 2023,1.5
,Aligarh,2000 - 2001,0.87
,,2001 - 2002,0.62
,,2003 - 2004,0.77
,,2006 - 2007,0.66
,,2007 - 2008,0.99
,,2008 - 2009,0.57
,,2009 - 2010,0.82
,,2010 - 2011,0.69
,,2011 - 2012,0.69
,,2012 - 2013,1.14
,,2013 - 2014,1.61
,,2014 - 2015,0.71
,,2015 - 2016,0.79
,,2016 - 2017,0.88
,,2017 - 2018,0.75
,,2018 - 2019,0.72
,,2019 - 2020,0.62
,,2020 - 2021,0.71
,,2021 - 2022,0.61
,,2022 - 2023,0.63
,Allahabad,2000 - 2001,3.44
,,2001 - 2002,2.03
,,2003 - 2004,1.76
,,2006 - 2007,0.84
,,2007 - 2008,1.04
,,2008 - 2009,1.22
,,2009 - 2010,0.41
,,2010 - 2011,0.87
,,2011 - 2012,1.08
,,2012 - 2013,1.17
,,2013 - 2014,0.7
,,2014 - 2015,0.56
,,2015 - 2016,0.72
,,2016 - 2017,1.37
,,2017 - 2018,1.96
,,2018 - 2019,0.92
,,2019 - 2020,0.9
,,2020 - 2021,0.97
,,2021 - 2022,1.49
,,2022 - 2023,1.49
,Ambedkar nagar,2000 - 2001,0.84
,,2001 - 2002,0.94
,,2003 - 2004,0.87
,,2006 - 2007,0.98
,,2007 - 2008,1.16
,,2008 - 2009,0.93
,,2009 - 2010,1.05
,,2010 - 2011,1.63
,,2011 - 2012,1.15
,,2012 - 2013,1.04
,,2013 - 2014,0.77
,,2014 - 2015,0.48
,,2015 - 2016,0.85
,,2016 - 2017,0.84
,,2017 - 2018,0.76
,,2018 - 2019,0.91
,,2019 - 2020,1.39
,,2020 - 2021,1.05
,,2021 - 2022,0.72
,,2022 - 2023,0.83
,Amethi,2011 - 2012,1.12
,,2012 - 2013,0.9
,,2013 - 2014,0.58
,,2014 - 2015,0.48
,,2015 - 2016,0.85
,,2016 - 2017,0.84
,,2017 - 2018,0.76
,,2018 - 2019,0.91
,,2019 - 2020,1.39
,,2020 - 2021,1.43
,,2021 - 2022,1.01
,,2022 - 2023,0.83
,Amroha,2000 - 2001,1.11
,,2001 - 2002,0.91
,,2003 - 2004,0.82
,,2006 - 2007,0.66
,,2007 - 2008,0.84
,,2008 - 2009,0.81
,,2009 - 2010,0.67
,,2010 - 2011,0.72
,,2011 - 2012,0.81
,,2012 - 2013,0.85
,,2013 - 2014,0.9
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,1.08
,,2017 - 2018,0.74
,,2018 - 2019,1.54
,,2019 - 2020,0.74
,,2020 - 2021,0.84
,,2021 - 2022,0.88
,,2022 - 2023,1.25
,Auraiya,2000 - 2001,1.15
,,2001 - 2002,1.77
,,2003 - 2004,0.92
,,2006 - 2007,0.88
,,2007 - 2008,1.15
,,2008 - 2009,1.6
,,2009 - 2010,1.25
,,2010 - 2011,0.91
,,2011 - 2012,1.34
,,2012 - 2013,1.16
,,2013 - 2014,1.02
,,2014 - 2015,0.49
,,2015 - 2016,0.42
,,2016 - 2017,1.42
,,2017 - 2018,1.3
,,2018 - 2019,1.49
,,2019 - 2020,1.81
,,2020 - 2021,1.27
,,2021 - 2022,1.24
,,2022 - 2023,1.24
,Azamgarh,2000 - 2001,0.96
,,2001 - 2002,1.3
,,2003 - 2004,0.88
,,2006 - 2007,0.35
,,2007 - 2008,0.66
,,2008 - 2009,0.48
,,2009 - 2010,0.83
,,2010 - 2011,0.79
,,2011 - 2012,1.09
,,2012 - 2013,1.09
,,2013 - 2014,0.74
,,2014 - 2015,1.28
,,2015 - 2016,1.02
,,2016 - 2017,1.57
,,2017 - 2018,0.79
,,2018 - 2019,0.98
,,2019 - 2020,0.91
,,2020 - 2021,1.27
,,2021 - 2022,1.45
,,2022 - 2023,1.09
,Baghpat,2000 - 2001,0.78
,,2001 - 2002,0.76
,,2003 - 2004,0.85
,,2006 - 2007,0.96
,,2007 - 2008,0.85
,,2008 - 2009,0.76
,,2009 - 2010,0.8
,,2010 - 2011,0.66
,,2011 - 2012,0.7
,,2012 - 2013,0.98
,,2013 - 2014,0.7
,,2014 - 2015,0.77
,,2015 - 2016,0.72
,,2016 - 2017,1.22
,,2017 - 2018,1.66
,,2018 - 2019,0.75
,,2019 - 2020,0.9
,,2020 - 2021,0.72
,,2021 - 2022,0.89
,,2022 - 2023,1.25
,Bahraich,2000 - 2001,0.56
,,2001 - 2002,0.54
,,2003 - 2004,0.62
,,2006 - 2007,0.65
,,2007 - 2008,0.77
,,2008 - 2009,0.66
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.4
,,2012 - 2013,0.56
,,2013 - 2014,0.55
,,2014 - 2015,0.47
,,2015 - 2016,0.71
,,2016 - 2017,0.63
,,2017 - 2018,0.64
,,2018 - 2019,0.74
,,2019 - 2020,0.36
,,2020 - 2021,0.63
,,2021 - 2022,0.66
,,2022 - 2023,0.72
,Ballia,2000 - 2001,1.02
,,2001 - 2002,1.06
,,2003 - 2004,0.65
,,2006 - 2007,0.43
,,2007 - 2008,0.69
,,2008 - 2009,0.2
,,2009 - 2010,0.75
,,2010 - 2011,1.46
,,2011 - 2012,0.57
,,2012 - 2013,1.12
,,2013 - 2014,0.72
,,2014 - 2015,1.1
,,2015 - 2016,0.89
,,2016 - 2017,1.06
,,2017 - 2018,1.17
,,2018 - 2019,1.1
,,2019 - 2020,0.68
,,2020 - 2021,0.93
,,2021 - 2022,1.38
,,2022 - 2023,1.38
,Balrampur,2000 - 2001,0.46
,,2001 - 2002,0.48
,,2003 - 2004,0.47
,,2006 - 2007,0.65
,,2007 - 2008,0.77
,,2008 - 2009,0.66
,,2009 - 2010,0.43
,,2010 - 2011,0.4
,,2011 - 2012,0.39
,,2012 - 2013,0.56
,,2013 - 2014,0.54
,,2014 - 2015,0.59
,,2015 - 2016,0.65
,,2016 - 2017,0.62
,,2017 - 2018,0.74
,,2018 - 2019,0.65
,,2019 - 2020,0.42
,,2020 - 2021,0.65
,,2021 - 2022,0.58
,,2022 - 2023,0.72
,Banda,2000 - 2001,1.71
,,2001 - 2002,1.08
,,2003 - 2004,1.94
,,2006 - 2007,0.8
,,2007 - 2008,0.68
,,2008 - 2009,0.93
,,2009 - 2010,0.5
,,2010 - 2011,0.81
,,2011 - 2012,1.38
,,2012 - 2013,1.07
,,2013 - 2014,0.93
,,2014 - 2015,0.2
,,2015 - 2016,0.45
,,2016 - 2017,1.13
,,2017 - 2018,1.51
,,2018 - 2019,1.44
,,2019 - 2020,1.83
,,2020 - 2021,2.08
,,2021 - 2022,2.1
,,2022 - 2023,1.59
,Barabanki,2000 - 2001,1.01
,,2001 - 2002,1.05
,,2003 - 2004,0.95
,,2006 - 2007,0.71
,,2007 - 2008,1.16
,,2008 - 2009,0.93
,,2009 - 2010,1.05
,,2010 - 2011,0.9
,,2011 - 2012,1.09
,,2012 - 2013,1.04
,,2013 - 2014,0.77
,,2014 - 2015,0.49
,,2015 - 2016,0.81
,,2016 - 2017,0.84
,,2017 - 2018,0.76
,,2018 - 2019,0.91
,,2019 - 2020,1.19
,,2020 - 2021,1.29
,,2021 - 2022,1.05
,,2022 - 2023,0.83
,Bareilly,2000 - 2001,0.86
,,2001 - 2002,1.03
,,2003 - 2004,1.0
,,2006 - 2007,0.84
,,2007 - 2008,0.87
,,2008 - 2009,0.86
,,2009 - 2010,0.8
,,2010 - 2011,0.76
,,2011 - 2012,0.91
,,2012 - 2013,0.98
,,2013 - 2014,0.88
,,2014 - 2015,0.71
,,2015 - 2016,0.6
,,2016 - 2017,0.82
,,2017 - 2018,0.92
,,2018 - 2019,0.78
,,2019 - 2020,1.01
,,2020 - 2021,1.25
,,2021 - 2022,1.3
,,2022 - 2023,1.25
,Basti,2000 - 2001,0.9
,,2001 - 2002,0.61
,,2003 - 2004,0.31
,,2006 - 2007,0.65
,,2007 - 2008,0.76
,,2008 - 2009,0.65
,,2009 - 2010,0.65
,,2010 - 2011,0.63
,,2011 - 2012,0.75
,,2012 - 2013,0.85
,,2013 - 2014,0.87
,,2014 - 2015,0.63
,,2015 - 2016,0.65
,,2016 - 2017,0.75
,,2017 - 2018,0.71
,,2018 - 2019,0.73
,,2019 - 2020,0.59
,,2020 - 2021,0.59
,,2021 - 2022,0.88
,,2022 - 2023,1.25
,Bijnor,2000 - 2001,1.11
,,2001 - 2002,0.91
,,2003 - 2004,0.82
,,2006 - 2007,0.66
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,0.67
,,2010 - 2011,0.7
,,2011 - 2012,0.81
,,2012 - 2013,0.89
,,2013 - 2014,0.83
,,2014 - 2015,0.64
,,2015 - 2016,0.63
,,2016 - 2017,1.08
,,2017 - 2018,0.75
,,2018 - 2019,1.5
,,2019 - 2020,0.75
,,2020 - 2021,1.0
