state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2001 - 2002,0.84
,,2002 - 2003,0.84
,,2003 - 2004,0.84
,,2004 - 2005,0.84
,,2005 - 2006,0.84
,,2006 - 2007,0.84
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.94
,,2012 - 2013,0.93
,,2013 - 2014,0.95
,,2014 - 2015,1.06
,,2015 - 2016,0.83
,,2016 - 2017,1.12
,,2017 - 2018,0.82
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.82
,Cachar,2000 - 2001,0.71
,,2001 - 2002,0.71
,,2002 - 2003,0.71
,,2003 - 2004,0.71
,,2004 - 2005,0.71
,,2005 - 2006,0.7
,,2006 - 2007,0.71
,,2007 - 2008,0.71
,,2008 - 2009,0.7
,,2009 - 2010,0.71
,,2010 - 2011,0.71
,,2011 - 2012,0.76
,,2012 - 2013,0.85
,,2013 - 2014,0.85
,,2014 - 2015,0.97
,,2015 - 2016,0.71
,,2016 - 2017,0.71
,,2017 - 2018,0.72
,,2018 - 2019,0.75
,,2019 - 2020,0.76
,,2020 - 2021,0.76
,,2021 - 2022,0.76
,,2022 - 2023,0.7
,Charaideo,2020 - 2021,0.81
,,2021 - 2022,0.82
,,2022 - 2023,0.82
,Chirang,2005 - 2006,0.84
,,2006 - 2007,0.83
,,2007 - 2008,0.83
,,2008 - 2009,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.88
,,2012 - 2013,0.93
,,2013 - 2014,0.82
,,2014 - 2015,1.06
,,2015 - 2016,0.82
,,2016 - 2017,0.91
,,2017 - 2018,0.82
,,2018 - 2019,0.9
,,2019 - 2020,0.92
,,2020 - 2021,0.92
,,2021 - 2022,0.85
,,2022 - 2023,0.76
,Darrang,2000 - 2001,0.58
,,2001 - 2002,0.58
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2004 - 2005,0.59
,,2005 - 2006,0.57
,,2006 - 2007,0.58
,,2007 - 2008,0.59
,,2008 - 2009,0.58
,,2009 - 2010,0.58
,,2010 - 2011,0.58
,,2011 - 2012,0.66
,,2012 - 2013,0.65
,,2013 - 2014,2.1
