state,district,year,black_pepper_whole_year_yield_tonne_per_hectare
,,2014 - 2015,1.0
,,2015 - 2016,1.05
,,2016 - 2017,0.87
,,2017 - 2018,0.93
,,2018 - 2019,0.76
,,2019 - 2020,0.3
,,2020 - 2021,0.54
,,2021 - 2022,0.55
,,2022 - 2023,0.39
,Chitradurga,2013 - 2014,2.5
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.6
,,2017 - 2018,0.66
,,2018 - 2019,0.63
,,2019 - 2020,0.39
,,2020 - 2021,0.47
,,2021 - 2022,0.55
,,2022 - 2023,0.9
,Dakshin kannad,2000 - 2001,2.32
,,2001 - 2002,2.32
,,2002 - 2003,2.32
,,2003 - 2004,2.32
,,2004 - 2005,2.32
,,2005 - 2006,2.32
,,2006 - 2007,2.32
,,2007 - 2008,2.01
,,2008 - 2009,4.24
,,2009 - 2010,3.55
,,2010 - 2011,0.51
,,2011 - 2012,0.52
,,2012 - 2013,5.18
,,2013 - 2014,4.86
,,2014 - 2015,0.52
,,2015 - 2016,0.38
,,2016 - 2017,0.27
,,2017 - 2018,0.57
,,2018 - 2019,0.2
,,2019 - 2020,0.42
,,2020 - 2021,0.42
,,2021 - 2022,0.55
,,2022 - 2023,0.2
,Davangere,2000 - 2001,2.5
,,2001 - 2002,2.37
,,2002 - 2003,2.0
,,2003 - 2004,2.0
,,2004 - 2005,2.36
,,2005 - 2006,2.33
,,2006 - 2007,2.38
,,2007 - 2008,3.1
,,2008 - 2009,4.27
,,2009 - 2010,3.71
,,2010 - 2011,0.6
,,2011 - 2012,0.28
,,2012 - 2013,3.0
,,2013 - 2014,2.49
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.61
,,2017 - 2018,0.66
,,2018 - 2019,0.63
,,2019 - 2020,0.39
,,2020 - 2021,0.47
,,2021 - 2022,0.55
,,2022 - 2023,0.41
,Dharwad,2004 - 2005,2.33
,,2005 - 2006,2.0
,,2008 - 2009,4.22
,,2017 - 2018,0.7
,,2019 - 2020,0.39
,,2020 - 2021,0.47
,,2021 - 2022,0.53
,,2022 - 2023,0.28
,Gadag,2015 - 2016,0.77
,,2016 - 2017,0.6
,,2019 - 2020,0.39
,,2020 - 2021,0.45
,Gulbarga,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2020 - 2021,0.47
,,2021 - 2022,0.56
,,2022 - 2023,0.39
,Hassan,2000 - 2001,1.1
,,2001 - 2002,1.1
,,2002 - 2003,1.1
,,2003 - 2004,1.1
,,2004 - 2005,1.1
,,2005 - 2006,1.1
,,2006 - 2007,1.1
,,2007 - 2008,3.69
,,2008 - 2009,3.84
,,2009 - 2010,3.84
,,2010 - 2011,0.36
,,2011 - 2012,0.29
,,2012 - 2013,2.91
,,2013 - 2014,1.57
,,2014 - 2015,0.44
,,2015 - 2016,1.33
,,2016 - 2017,0.8
,,2017 - 2018,0.79
