state,district,year,cashewnut_whole_year_yield_tonne_per_hectare
,,2010 - 2011,0.99
,,2011 - 2012,0.99
,,2012 - 2013,1.02
,,2013 - 2014,1.06
,,2014 - 2015,1.08
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,North garo hills,2013 - 2014,1.04
,,2014 - 2015,1.08
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,South garo hills,2002 - 2003,0.98
,,2003 - 2004,0.98
,,2010 - 2011,0.97
,,2011 - 2012,0.98
,,2012 - 2013,1.0
,,2013 - 2014,1.03
,,2014 - 2015,1.05
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,South west garo hills,2013 - 2014,2.54
,,2014 - 2015,2.54
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,West garo hills,2002 - 2003,1.04
,,2003 - 2004,1.05
,,2010 - 2011,2.47
,,2011 - 2012,2.51
,,2012 - 2013,2.57
,,2013 - 2014,2.69
,,2014 - 2015,2.7
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Puducherry,Karaikal,2000 - 2001,0.57
,,2001 - 2002,0.57
,,2002 - 2003,0.67
,,2003 - 2004,0.71
,,2004 - 2005,0.57
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahe,2000 - 2001,0.64
,,2001 - 2002,2.0
,,2002 - 2003,1.8
,,2003 - 2004,1.78
,,2004 - 2005,0.67
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pondicherry,2000 - 2001,0.6
,,2001 - 2002,0.62
,,2002 - 2003,0.7
,,2003 - 2004,0.75
,,2004 - 2005,0.65
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2008 - 2009,0.0
,,2009 - 2010,0.32
,,2011 - 2012,0.22
,,2013 - 2014,0.22
,,2014 - 2015,0.39
,,2015 - 2016,0.07
,,2016 - 2017,0.03
,,2017 - 2018,0.0
,,2018 - 2019,0.23
,,2019 - 2020,0.22
,,2020 - 2021,0.32
,,2021 - 2022,0.28
,,2022 - 2023,0.3
,Chengalpattu,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.32
,Chennai,2021 - 2022,0.38
,,2022 - 2023,0.38
,Coimbatore,2000 - 2001,0.4
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.46
,,2007 - 2008,0.57
,,2008 - 2009,1.18
,,2009 - 2010,0.5
,,2011 - 2012,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.41
,,2015 - 2016,0.3
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.21
,,2019 - 2020,0.29
,,2020 - 2021,0.29
,,2021 - 2022,0.41
,,2022 - 2023,0.32
,Cuddalore,2000 - 2001,0.19
,,2002 - 2003,0.68
,,2003 - 2004,0.78
,,2004 - 2005,0.89
,,2005 - 2006,0.76
,,2006 - 2007,1.0
,,2007 - 2008,1.08
,,2008 - 2009,0.81
,,2009 - 2010,0.8
,,2011 - 2012,0.17
,,2013 - 2014,0.4
,,2014 - 2015,0.38
,,2015 - 2016,0.51
,,2016 - 2017,0.07
,,2017 - 2018,0.0
,,2018 - 2019,0.19
,,2019 - 2020,0.38
,,2020 - 2021,0.34
,,2021 - 2022,0.36
,,2022 - 2023,0.27
,Dharmapuri,2000 - 2001,0.5
,,2002 - 2003,0.31
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,0.57
,,2008 - 2009,1.0
,,2013 - 2014,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,Dindigul,2000 - 2001,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.46
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.31
,,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.32
,Erode,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.46
,,2007 - 2008,0.57
,,2008 - 2009,2.56
,,2009 - 2010,0.52
,,2011 - 2012,0.26
,,2013 - 2014,0.27
,,2014 - 2015,0.4
,,2015 - 2016,0.27
,,2016 - 2017,0.1
,,2017 - 2018,0.0
,,2018 - 2019,0.25
,,2019 - 2020,0.38
,,2020 - 2021,0.25
,,2021 - 2022,0.38
,,2022 - 2023,0.3
,Kallakurichi,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.39
,Kanchipuram,2000 - 2001,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.49
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.28
,,2014 - 2015,0.41
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.41
,,2022 - 2023,0.31
,Kanniyakumari,2000 - 2001,0.46
,,2002 - 2003,0.29
,,2003 - 2004,0.71
,,2004 - 2005,0.2
,,2005 - 2006,0.17
,,2006 - 2007,0.44
,,2007 - 2008,0.4
,,2008 - 2009,0.81
,,2009 - 2010,0.84
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.52
,,2016 - 2017,0.41
,,2017 - 2018,0.0
,,2018 - 2019,0.21
,,2019 - 2020,0.54
,,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.08
,Karur,2000 - 2001,0.29
,,2002 - 2003,0.31
,,2003 - 2004,0.33
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.44
,,2007 - 2008,0.57
,,2008 - 2009,0.53
,,2009 - 2010,0.5
,,2011 - 2012,0.23
,,2013 - 2014,0.27
,,2014 - 2015,0.4
,,2015 - 2016,0.33
,,2016 - 2017,0.13
,,2017 - 2018,0.0
,,2018 - 2019,0.23
,,2019 - 2020,0.25
,,2020 - 2021,0.38
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Krishnagiri,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.43
,,2007 - 2008,0.57
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2011 - 2012,0.29
,,2013 - 2014,0.2
,,2014 - 2015,0.38
,,2016 - 2017,0.17
,,2017 - 2018,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.2
,,2020 - 2021,0.33
,,2021 - 2022,0.5
,,2022 - 2023,0.29
,Madurai,2000 - 2001,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.43
,,2022 - 2023,0.32
,Mayiladuthurai,2020 - 2021,0.78
,,2021 - 2022,0.42
,,2022 - 2023,0.31
,Nagapattinam,2000 - 2001,0.47
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.39
,,2014 - 2015,0.47
,,2015 - 2016,0.3
,,2016 - 2017,1.48
,,2017 - 2018,0.0
,,2018 - 2019,0.26
,,2019 - 2020,0.63
,,2020 - 2021,1.08
,,2021 - 2022,0.67
,,2022 - 2023,0.43
,Namakkal,2000 - 2001,0.0
,,2002 - 2003,0.5
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2011 - 2012,0.28
,,2013 - 2014,0.25
,,2014 - 2015,0.43
,,2015 - 2016,0.29
,,2016 - 2017,0.09
,,2017 - 2018,0.0
,,2018 - 2019,0.33
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.44
,,2022 - 2023,0.33
,Perambalur,2000 - 2001,0.22
,,2002 - 2003,0.26
,,2003 - 2004,0.17
,,2004 - 2005,0.17
,,2005 - 2006,0.22
,,2006 - 2007,0.2
,,2007 - 2008,0.27
,,2008 - 2009,
,,2009 - 2010,0.5
,,2011 - 2012,0.25
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.17
,,2019 - 2020,0.25
,,2020 - 2021,0.5
,,2021 - 2022,0.0
,,2022 - 2023,0.33
,Pudukkottai,2000 - 2001,0.2
,,2002 - 2003,0.1
,,2003 - 2004,0.21
,,2004 - 2005,0.25
,,2005 - 2006,0.23
,,2006 - 2007,0.23
,,2007 - 2008,0.27
,,2008 - 2009,0.34
,,2009 - 2010,0.31
,,2011 - 2012,0.39
,,2013 - 2014,0.1
,,2014 - 2015,0.05
,,2015 - 2016,0.26
,,2016 - 2017,0.04
,,2017 - 2018,0.0
,,2018 - 2019,0.06
,,2019 - 2020,0.1
,,2020 - 2021,0.13
,,2021 - 2022,0.08
,,2022 - 2023,0.31
,Ramanathapuram,2000 - 2001,0.39
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.31
,Ranipet,2020 - 2021,0.3
,,2021 - 2022,0.43
,,2022 - 2023,0.25
,Salem,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.43
,,2007 - 2008,0.58
,,2008 - 2009,0.5
,,2009 - 2010,0.52
,,2011 - 2012,0.29
,,2013 - 2014,0.5
,,2014 - 2015,0.39
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.31
,,2020 - 2021,0.3
,,2021 - 2022,0.43
,,2022 - 2023,0.31
,Sivaganga,2000 - 2001,0.32
,,2002 - 2003,0.19
,,2003 - 2004,0.25
,,2004 - 2005,0.42
,,2005 - 2006,0.39
,,2006 - 2007,0.16
,,2007 - 2008,0.2
,,2008 - 2009,0.22
,,2009 - 2010,0.27
,,2011 - 2012,0.28
,,2013 - 2014,0.07
,,2014 - 2015,0.08
,,2015 - 2016,0.07
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.06
,,2020 - 2021,0.03
,,2021 - 2022,0.04
,,2022 - 2023,0.02
,Thanjavur,2000 - 2001,0.44
,,2002 - 2003,0.15
,,2003 - 2004,0.2
,,2004 - 2005,0.31
,,2005 - 2006,0.15
,,2006 - 2007,0.4
,,2007 - 2008,0.57
,,2008 - 2009,0.4
,,2009 - 2010,0.4
,,2011 - 2012,0.26
,,2013 - 2014,0.23
,,2014 - 2015,3.5
,,2015 - 2016,0.91
,,2016 - 2017,0.24
,,2017 - 2018,0.0
,,2018 - 2019,0.25
,,2019 - 2020,0.22
,,2020 - 2021,0.23
,,2021 - 2022,0.67
,,2022 - 2023,0.58
,The nilgiris,2000 - 2001,0.0
,Theni,2000 - 2001,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,0.47
,,2007 - 2008,0.54
,,2008 - 2009,0.48
,,2009 - 2010,0.5
,,2011 - 2012,1.08
,,2013 - 2014,0.38
,,2014 - 2015,0.22
,,2015 - 2016,0.31
,,2016 - 2017,0.14
,,2017 - 2018,0.0
,,2018 - 2019,0.29
,,2019 - 2020,0.5
,,2020 - 2021,0.07
,,2021 - 2022,0.76
,,2022 - 2023,0.09
,Thenkasi,2020 - 2021,0.14
,,2021 - 2022,0.15
,,2022 - 2023,0.06
,Thiruvallur,2000 - 2001,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.49
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.31
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.31
,,2020 - 2021,0.3
,,2021 - 2022,0.43
,,2022 - 2023,0.31
,Thiruvarur,2000 - 2001,0.0
,,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.38
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.67
,,2008 - 2009,0.67
,,2009 - 2010,0.67
,,2011 - 2012,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2017 - 2018,0.0
,,2018 - 2019,0.25
,,2019 - 2020,0.27
,,2020 - 2021,0.3
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Thoothukudi,2000 - 2001,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.46
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.19
,,2016 - 2017,0.03
,,2017 - 2018,0.0
,,2018 - 2019,0.29
,,2019 - 2020,0.72
,,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.31
,Tiruchirappalli,2000 - 2001,0.31
,,2002 - 2003,0.3
,,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.57
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.28
,,2014 - 2015,0.41
,,2015 - 2016,0.16
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.58
,,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.38
,Tirunelveli,2000 - 2001,0.38
,,2002 - 2003,0.3
,,2003 - 2004,0.25
,,2004 - 2005,0.41
,,2005 - 2006,0.69
,,2006 - 2007,0.8
,,2007 - 2008,0.85
,,2008 - 2009,0.52
,,2009 - 2010,0.3
,,2011 - 2012,0.11
,,2013 - 2014,0.06
,,2014 - 2015,0.17
,,2015 - 2016,0.15
,,2016 - 2017,0.02
,,2017 - 2018,0.0
,,2018 - 2019,0.05
,,2019 - 2020,0.16
,,2020 - 2021,0.1
,,2021 - 2022,0.13
,,2022 - 2023,0.08
,Tirupathur,2021 - 2022,0.0
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,0.5
,,2011 - 2012,0.26
,,2013 - 2014,0.29
,,2014 - 2015,0.41
,,2015 - 2016,0.3
,,2016 - 2017,0.12
,,2017 - 2018,0.0
,,2018 - 2019,0.22
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.42
,,2022 - 2023,0.31
,Tiruvannamalai,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,0.58
,,2008 - 2009,0.57
,,2009 - 2010,0.5
,,2011 - 2012,0.29
,,2013 - 2014,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.17
,,2019 - 2020,0.33
,,2020 - 2021,0.25
,,2021 - 2022,0.44
,,2022 - 2023,0.33
,Vellore,2002 - 2003,0.31
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.39
,,2006 - 2007,0.46
,,2007 - 2008,0.58
,,2008 - 2009,0.54
,,2009 - 2010,0.52
,,2011 - 2012,0.27
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.29
,,2016 - 2017,0.08
,,2017 - 2018,0.0
,,2018 - 2019,0.23
,,2019 - 2020,0.31
,,2020 - 2021,0.33
,,2021 - 2022,0.5
,Villupuram,2000 - 2001,0.26
,,2002 - 2003,0.5
,,2003 - 2004,0.3
,,2004 - 2005,0.2
,,2005 - 2006,0.24
,,2006 - 2007,0.16
,,2007 - 2008,0.23
,,2008 - 2009,0.63
,,2009 - 2010,0.43
,,2011 - 2012,0.13
,,2013 - 2014,0.47
,,2014 - 2015,0.69
,,2015 - 2016,0.68
,,2016 - 2017,0.62
,,2017 - 2018,0.0
,,2018 - 2019,0.87
,,2019 - 2020,0.65
,,2020 - 2021,0.38
,,2021 - 2022,3.0
,,2022 - 2023,1.36
,Virudhunagar,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.38
,,2006 - 2007,0.46
,,2007 - 2008,0.57
,,2008 - 2009,0.52
,,2009 - 2010,0.51
,,2011 - 2012,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.41
,,2015 - 2016,0.3
,,2016 - 2017,0.11
,,2017 - 2018,0.0
,,2018 - 2019,0.24
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.41
,,2022 - 2023,0.3
Telangana,Adilabad,2000 - 2001,0.17
,,2001 - 2002,0.08
,,2002 - 2003,0.22
,,2003 - 2004,0.17
,,2004 - 2005,0.33
,,2005 - 2006,0.35
,,2006 - 2007,0.18
,,2010 - 2011,0.34
,,2011 - 2012,0.79
,,2013 - 2014,
,,2014 - 2015,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,Kamareddy,2021 - 2022,
,Khammam,2000 - 2001,0.16
,,2001 - 2002,0.1
,,2002 - 2003,0.22
,,2003 - 2004,0.18
,,2004 - 2005,0.35
,,2005 - 2006,0.34
,,2006 - 2007,0.18
,,2008 - 2009,0.47
,,2009 - 2010,0.44
,,2010 - 2011,0.31
,,2011 - 2012,0.77
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Komaram bheem asifabad,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,0.0
,,2001 - 2002,0.11
,,2002 - 2003,0.2
,,2003 - 2004,0.0
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.0
,,2008 - 2009,0.44
,Mancherial,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medak,2000 - 2001,0.18
,,2001 - 2002,0.11
,,2002 - 2003,0.2
,,2003 - 2004,0.16
,,2004 - 2005,0.35
,,2005 - 2006,0.33
,,2006 - 2007,0.2
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2021 - 2022,
,,2022 - 2023,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalgonda,2005 - 2006,0.25
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanapet,2022 - 2023,
,Rangareddi,2000 - 2001,0.0
,,2002 - 2003,0.33
,,2003 - 2004,0.0
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2016 - 2017,
,Sangareddy,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2020 - 2021,
,,2021 - 2022,
,Warangal,2021 - 2022,
,,2022 - 2023,
,Yadadri,2021 - 2022,
,,2022 - 2023,
