state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2016 - 2017,0.61
,,2017 - 2018,0.59
,,2018 - 2019,0.82
,,2019 - 2020,0.77
,,2020 - 2021,0.62
,,2021 - 2022,0.43
,,2022 - 2023,0.72
,Kamrup,2000 - 2001,0.49
,,2001 - 2002,0.52
,,2002 - 2003,0.63
,,2003 - 2004,0.67
,,2004 - 2005,0.7
,,2005 - 2006,0.58
,,2006 - 2007,0.55
,,2007 - 2008,0.53
,,2008 - 2009,0.43
,,2009 - 2010,0.59
,,2010 - 2011,0.51
,,2011 - 2012,0.6
,,2012 - 2013,0.61
,,2013 - 2014,0.88
,,2014 - 2015,0.6
,,2015 - 2016,0.77
,,2016 - 2017,0.38
,,2017 - 2018,0.47
,,2018 - 2019,0.56
,,2019 - 2020,0.6
,,2020 - 2021,0.58
,,2021 - 2022,0.55
,,2022 - 2023,0.68
,Kamrup metro,2005 - 2006,0.61
,,2006 - 2007,0.58
,,2007 - 2008,0.63
,,2008 - 2009,0.52
,,2009 - 2010,0.4
,,2010 - 2011,0.43
,,2011 - 2012,0.68
,,2012 - 2013,0.42
,,2013 - 2014,0.51
,,2014 - 2015,0.63
,,2015 - 2016,0.7
,,2016 - 2017,0.54
,,2017 - 2018,0.64
,,2018 - 2019,0.57
,,2019 - 2020,0.41
,,2020 - 2021,0.56
,,2021 - 2022,0.73
,,2022 - 2023,0.75
,Karbi anglong,2000 - 2001,0.52
,,2001 - 2002,0.65
,,2002 - 2003,0.5
,,2003 - 2004,0.41
,,2004 - 2005,0.45
,,2005 - 2006,0.39
,,2006 - 2007,0.56
,,2007 - 2008,0.43
,,2008 - 2009,0.53
,,2009 - 2010,0.45
,,2010 - 2011,0.59
,,2011 - 2012,0.45
,,2012 - 2013,0.68
,,2013 - 2014,0.51
,,2014 - 2015,0.57
,,2015 - 2016,0.47
,,2016 - 2017,0.47
,,2017 - 2018,0.37
,,2018 - 2019,0.58
,,2019 - 2020,0.38
,,2020 - 2021,0.41
,,2021 - 2022,0.37
,,2022 - 2023,0.78
,Karimganj,2000 - 2001,0.47
,,2001 - 2002,0.4
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.4
,,2005 - 2006,0.44
,,2006 - 2007,0.48
,,2007 - 2008,0.4
,,2008 - 2009,0.19
,,2009 - 2010,0.53
,,2010 - 2011,0.44
,,2011 - 2012,0.37
,,2012 - 2013,0.49
,,2013 - 2014,0.65
,,2014 - 2015,0.69
,,2015 - 2016,0.38
,,2016 - 2017,0.63
,,2017 - 2018,0.64
,,2018 - 2019,0.71
,,2019 - 2020,0.51
,,2020 - 2021,0.59
,,2021 - 2022,0.54
,,2022 - 2023,0.37
,Kokrajhar,2000 - 2001,0.58
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.57
,,2005 - 2006,0.57
,,2006 - 2007,0.62
,,2007 - 2008,0.69
,,2008 - 2009,0.52
,,2009 - 2010,0.64
,,2010 - 2011,0.68
,,2011 - 2012,0.68
,,2012 - 2013,0.65
,,2013 - 2014,0.64
,,2014 - 2015,0.69
,,2015 - 2016,0.64
,,2016 - 2017,0.72
,,2017 - 2018,0.66
,,2018 - 2019,0.73
,,2019 - 2020,0.66
,,2020 - 2021,0.75
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Lakhimpur,2000 - 2001,0.52
,,2001 - 2002,0.3
,,2002 - 2003,0.31
,,2003 - 2004,0.43
,,2004 - 2005,0.51
,,2005 - 2006,0.54
,,2006 - 2007,0.41
,,2007 - 2008,0.48
,,2008 - 2009,0.54
,,2009 - 2010,0.48
,,2010 - 2011,0.91
,,2011 - 2012,0.56
,,2012 - 2013,0.68
,,2013 - 2014,0.73
,,2014 - 2015,0.78
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.76
,,2018 - 2019,0.64
,,2019 - 2020,0.58
,,2020 - 2021,0.65
,,2021 - 2022,0.72
,,2022 - 2023,0.98
,Majuli,2020 - 2021,0.84
,,2021 - 2022,0.84
,,2022 - 2023,0.74
,Marigaon,2000 - 2001,0.51
,,2001 - 2002,0.35
,,2002 - 2003,0.39
,,2003 - 2004,0.33
,,2004 - 2005,0.39
,,2005 - 2006,0.34
,,2006 - 2007,0.42
,,2007 - 2008,0.38
,,2008 - 2009,0.49
,,2009 - 2010,0.53
,,2010 - 2011,0.52
,,2011 - 2012,0.45
,,2012 - 2013,0.47
,,2013 - 2014,0.5
,,2014 - 2015,0.54
,,2015 - 2016,0.51
,,2016 - 2017,0.56
,,2017 - 2018,0.78
,,2018 - 2019,0.58
,,2019 - 2020,0.75
,,2020 - 2021,0.68
,,2021 - 2022,0.58
,,2022 - 2023,0.79
,Nagaon,2000 - 2001,0.53
,,2001 - 2002,0.46
,,2002 - 2003,0.48
,,2003 - 2004,0.51
,,2004 - 2005,0.46
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.58
,,2008 - 2009,0.52
,,2009 - 2010,0.62
,,2010 - 2011,0.57
,,2011 - 2012,0.63
,,2012 - 2013,0.68
,,2013 - 2014,0.71
,,2014 - 2015,0.68
,,2015 - 2016,0.83
,,2016 - 2017,0.7
,,2017 - 2018,0.84
,,2018 - 2019,0.73
,,2019 - 2020,0.72
,,2020 - 2021,0.68
,,2021 - 2022,0.63
,,2022 - 2023,0.71
,Nalbari,2000 - 2001,0.53
,,2001 - 2002,0.65
,,2002 - 2003,0.54
,,2003 - 2004,0.6
,,2004 - 2005,0.54
,,2005 - 2006,0.56
,,2006 - 2007,0.59
,,2007 - 2008,0.49
,,2008 - 2009,0.51
,,2009 - 2010,0.65
,,2010 - 2011,0.59
,,2011 - 2012,0.62
,,2012 - 2013,0.84
,,2013 - 2014,0.7
,,2014 - 2015,0.81
,,2015 - 2016,0.79
,,2016 - 2017,0.77
,,2017 - 2018,0.8
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.73
,,2021 - 2022,0.86
,,2022 - 2023,1.14
,Sivasagar,2000 - 2001,0.5
,,2001 - 2002,0.42
,,2002 - 2003,0.51
,,2003 - 2004,0.42
,,2004 - 2005,0.66
,,2005 - 2006,0.64
,,2006 - 2007,0.41
,,2007 - 2008,0.54
,,2008 - 2009,0.58
,,2009 - 2010,0.55
,,2010 - 2011,0.38
,,2011 - 2012,0.51
,,2012 - 2013,0.49
,,2013 - 2014,0.69
,,2014 - 2015,0.56
,,2015 - 2016,0.58
,,2016 - 2017,0.54
,,2017 - 2018,0.48
,,2018 - 2019,0.45
,,2019 - 2020,0.42
,,2020 - 2021,0.61
,,2021 - 2022,0.62
,,2022 - 2023,0.51
,Sonitpur,2000 - 2001,0.6
,,2001 - 2002,0.69
,,2002 - 2003,0.59
,,2003 - 2004,0.55
,,2004 - 2005,0.59
,,2005 - 2006,0.44
,,2006 - 2007,0.47
,,2007 - 2008,0.49
,,2008 - 2009,0.7
,,2009 - 2010,0.53
,,2010 - 2011,0.72
,,2011 - 2012,0.53
,,2012 - 2013,0.63
,,2013 - 2014,0.6
,,2014 - 2015,0.61
,,2015 - 2016,0.59
,,2016 - 2017,0.68
,,2017 - 2018,0.68
,,2018 - 2019,0.71
,,2019 - 2020,0.64
,,2020 - 2021,0.73
,,2021 - 2022,0.75
,,2022 - 2023,0.54
,South salmara mancachar,2020 - 2021,0.59
,,2021 - 2022,0.8
,,2022 - 2023,0.88
,Tinsukia,2000 - 2001,0.5
,,2001 - 2002,0.43
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.4
,,2005 - 2006,0.49
,,2006 - 2007,0.48
,,2007 - 2008,0.52
,,2008 - 2009,0.68
,,2009 - 2010,0.58
,,2010 - 2011,0.71
,,2011 - 2012,0.53
,,2012 - 2013,0.68
,,2013 - 2014,0.69
,,2014 - 2015,0.76
,,2015 - 2016,0.71
,,2016 - 2017,0.52
,,2017 - 2018,0.53
,,2018 - 2019,0.57
,,2019 - 2020,0.44
,,2020 - 2021,0.7
,,2021 - 2022,0.68
,,2022 - 2023,0.68
,Udalguri,2005 - 2006,0.33
,,2006 - 2007,0.31
,,2007 - 2008,0.38
,,2008 - 2009,0.33
,,2009 - 2010,0.31
,,2010 - 2011,0.41
,,2011 - 2012,0.38
,,2012 - 2013,0.28
,,2013 - 2014,0.36
,,2014 - 2015,0.83
,,2015 - 2016,0.69
,,2016 - 2017,0.73
,,2017 - 2018,0.68
,,2018 - 2019,0.63
,,2019 - 2020,0.64
,,2020 - 2021,0.63
,,2021 - 2022,0.64
,,2022 - 2023,0.43
,West karbi anglong,2020 - 2021,0.45
,,2021 - 2022,0.4
,,2022 - 2023,0.96
Bihar,Araria,2000 - 2001,0.36
,,2001 - 2002,0.83
,,2002 - 2003,0.56
,,2003 - 2004,0.46
,,2004 - 2005,1.03
,,2005 - 2006,0.69
,,2006 - 2007,0.73
,,2007 - 2008,0.79
,,2008 - 2009,0.77
,,2009 - 2010,0.76
,,2010 - 2011,1.03
,,2011 - 2012,0.79
,,2012 - 2013,0.88
,,2013 - 2014,1.13
,,2015 - 2016,0.81
,,2016 - 2017,0.84
,,2017 - 2018,0.97
,,2018 - 2019,1.16
,,2020 - 2021,1.31
,,2021 - 2022,1.29
,,2022 - 2023,1.61
,Arwal,2003 - 2004,0.88
,,2004 - 2005,0.92
,,2005 - 2006,0.77
,,2007 - 2008,2.08
,,2008 - 2009,2.24
,,2009 - 2010,1.2
,,2010 - 2011,1.16
,,2011 - 2012,1.5
,,2012 - 2013,1.05
,,2013 - 2014,1.28
,,2014 - 2015,1.29
,,2015 - 2016,0.94
,,2016 - 2017,1.01
,,2017 - 2018,0.93
,,2018 - 2019,1.31
,,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,1.05
,,2022 - 2023,0.99
,Aurangabad,2000 - 2001,0.52
,,2001 - 2002,0.6
,,2002 - 2003,0.57
,,2003 - 2004,0.68
,,2004 - 2005,0.56
,,2005 - 2006,0.74
,,2006 - 2007,0.84
,,2007 - 2008,0.86
,,2008 - 2009,0.73
,,2009 - 2010,1.05
,,2010 - 2011,0.79
,,2011 - 2012,1.0
,,2012 - 2013,0.86
,,2013 - 2014,1.05
,,2014 - 2015,0.74
,,2015 - 2016,0.57
,,2016 - 2017,0.69
,,2017 - 2018,1.0
,,2018 - 2019,0.96
,,2019 - 2020,0.61
,,2020 - 2021,0.92
,,2021 - 2022,0.97
