state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2013 - 2014,1.08
,,2014 - 2015,1.07
,,2015 - 2016,0.95
,Rangareddi,2000 - 2001,0.29
,,2001 - 2002,0.4
,,2008 - 2009,1.29
Tripura,Dhalai,2004 - 2005,0.89
,,2005 - 2006,0.81
,,2006 - 2007,0.92
,,2007 - 2008,0.75
,,2008 - 2009,0.63
,,2009 - 2010,0.68
,,2010 - 2011,0.79
,,2011 - 2012,0.76
,,2012 - 2013,0.83
,,2013 - 2014,0.82
,,2014 - 2015,0.87
,,2015 - 2016,0.83
,,2016 - 2017,0.83
,,2017 - 2018,0.8
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.79
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Gomati,2012 - 2013,0.88
,,2013 - 2014,0.84
,,2014 - 2015,0.87
,,2015 - 2016,0.85
,,2016 - 2017,0.87
,,2017 - 2018,0.92
,,2018 - 2019,0.84
,,2019 - 2020,0.82
,,2020 - 2021,0.84
,,2021 - 2022,0.83
,,2022 - 2023,0.84
,Khowai,2012 - 2013,0.79
,,2013 - 2014,0.85
,,2014 - 2015,0.84
,,2015 - 2016,0.81
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.81
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,North tripura,2004 - 2005,0.67
,,2005 - 2006,0.7
,,2006 - 2007,0.68
,,2007 - 2008,0.71
,,2008 - 2009,0.77
,,2009 - 2010,0.65
,,2010 - 2011,0.76
,,2011 - 2012,0.8
,,2012 - 2013,0.75
,,2013 - 2014,0.92
,,2014 - 2015,0.79
,,2015 - 2016,0.77
,,2016 - 2017,0.85
,,2017 - 2018,0.89
,,2018 - 2019,0.82
,,2019 - 2020,0.85
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Sepahijala,2012 - 2013,0.8
,,2013 - 2014,0.76
,,2014 - 2015,0.88
,,2015 - 2016,0.85
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.8
,,2020 - 2021,0.82
,,2021 - 2022,0.82
,,2022 - 2023,0.82
,South tripura,2004 - 2005,0.84
,,2005 - 2006,0.83
,,2006 - 2007,0.84
,,2007 - 2008,0.77
,,2008 - 2009,0.86
,,2009 - 2010,0.88
,,2010 - 2011,0.8
,,2011 - 2012,0.81
,,2012 - 2013,0.85
,,2013 - 2014,0.85
,,2014 - 2015,0.85
,,2015 - 2016,0.84
,,2016 - 2017,0.85
,,2017 - 2018,0.86
,,2018 - 2019,0.83
,,2019 - 2020,0.86
,,2020 - 2021,0.87
,,2021 - 2022,0.85
,,2022 - 2023,0.87
,Unakoti,2012 - 2013,0.77
,,2013 - 2014,0.71
,,2014 - 2015,0.76
,,2015 - 2016,0.74
,,2016 - 2017,0.77
,,2017 - 2018,0.77
,,2018 - 2019,0.85
,,2019 - 2020,0.84
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,West tripura,2004 - 2005,0.66
,,2005 - 2006,0.61
,,2006 - 2007,0.68
,,2007 - 2008,0.67
,,2008 - 2009,0.68
,,2009 - 2010,0.79
,,2010 - 2011,0.73
,,2011 - 2012,0.77
,,2012 - 2013,0.66
,,2013 - 2014,0.74
,,2014 - 2015,0.72
,,2015 - 2016,0.71
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.87
,,2019 - 2020,1.0
,,2020 - 2021,0.96
,,2021 - 2022,0.94
,,2022 - 2023,0.95
Uttar Pradesh,Agra,2000 - 2001,1.44
,,2001 - 2002,1.32
,,2002 - 2003,1.19
,,2003 - 2004,1.39
,,2004 - 2005,1.23
,,2005 - 2006,1.44
,,2006 - 2007,1.26
,,2007 - 2008,1.4
,,2008 - 2009,1.57
,,2009 - 2010,1.44
,,2010 - 2011,1.76
,,2011 - 2012,1.71
,,2012 - 2013,1.9
,,2013 - 2014,1.43
,,2014 - 2015,1.31
,,2015 - 2016,1.22
,,2016 - 2017,1.77
,,2017 - 2018,2.12
,,2018 - 2019,2.21
,,2019 - 2020,1.73
,,2020 - 2021,2.22
,,2021 - 2022,2.24
,,2022 - 2023,1.92
,Aligarh,2000 - 2001,1.2
,,2001 - 2002,1.23
,,2002 - 2003,1.03
,,2003 - 2004,1.19
,,2004 - 2005,1.35
,,2005 - 2006,1.26
,,2006 - 2007,1.11
,,2007 - 2008,1.26
,,2008 - 2009,1.38
,,2009 - 2010,1.41
,,2010 - 2011,1.46
,,2011 - 2012,1.37
,,2012 - 2013,1.99
,,2013 - 2014,1.46
,,2014 - 2015,1.0
,,2015 - 2016,1.17
,,2016 - 2017,1.39
,,2017 - 2018,1.64
,,2018 - 2019,1.7
,,2019 - 2020,1.43
,,2020 - 2021,1.71
,,2021 - 2022,1.59
,,2022 - 2023,1.96
,Allahabad,2000 - 2001,0.78
,,2001 - 2002,0.95
,,2003 - 2004,0.63
,,2004 - 2005,0.74
,,2005 - 2006,0.84
,,2006 - 2007,0.63
,,2007 - 2008,0.81
,,2008 - 2009,0.9
,,2009 - 2010,0.92
,,2010 - 2011,0.94
,,2011 - 2012,0.94
,,2012 - 2013,1.01
,,2013 - 2014,0.81
,,2014 - 2015,0.41
,,2015 - 2016,0.64
,,2016 - 2017,0.85
,,2017 - 2018,0.91
,,2018 - 2019,1.06
,,2019 - 2020,1.27
,,2020 - 2021,1.31
,,2021 - 2022,1.11
,,2022 - 2023,1.63
,Ambedkar nagar,2000 - 2001,0.67
,,2001 - 2002,0.87
,,2002 - 2003,0.82
,,2003 - 2004,0.7
,,2004 - 2005,0.81
,,2005 - 2006,1.16
,,2006 - 2007,1.26
,,2007 - 2008,1.16
,,2008 - 2009,0.68
,,2009 - 2010,0.78
,,2010 - 2011,1.04
,,2011 - 2012,0.67
,,2012 - 2013,0.74
,,2013 - 2014,0.47
,,2014 - 2015,0.48
,,2015 - 2016,0.76
,,2016 - 2017,0.72
,,2017 - 2018,0.82
,,2018 - 2019,0.85
,,2019 - 2020,0.65
,,2020 - 2021,0.76
,,2021 - 2022,0.74
,,2022 - 2023,1.07
,Amethi,2010 - 2011,0.94
,,2011 - 2012,0.67
,,2012 - 2013,0.74
,,2013 - 2014,0.47
,,2014 - 2015,0.48
,,2015 - 2016,0.76
,,2016 - 2017,0.72
,,2017 - 2018,0.82
,,2018 - 2019,0.85
,,2019 - 2020,0.68
,,2020 - 2021,0.75
,,2021 - 2022,0.74
,,2022 - 2023,1.07
,Amroha,2000 - 2001,0.97
,,2001 - 2002,1.09
,,2002 - 2003,0.9
,,2003 - 2004,0.68
,,2004 - 2005,1.27
,,2005 - 2006,1.0
,,2006 - 2007,0.89
,,2007 - 2008,1.0
,,2008 - 2009,0.93
,,2009 - 2010,0.95
,,2010 - 2011,1.08
,,2011 - 2012,1.09
,,2012 - 2013,1.4
,,2013 - 2014,1.22
,,2014 - 2015,1.05
,,2015 - 2016,1.34
,,2016 - 2017,0.99
,,2017 - 2018,1.34
,,2018 - 2019,1.41
,,2019 - 2020,1.34
,,2020 - 2021,1.28
,,2021 - 2022,1.39
,,2022 - 2023,1.43
,Auraiya,2000 - 2001,1.22
,,2001 - 2002,1.2
,,2002 - 2003,1.18
,,2003 - 2004,1.11
,,2004 - 2005,1.03
,,2005 - 2006,1.18
,,2006 - 2007,1.04
,,2007 - 2008,1.46
,,2008 - 2009,1.53
,,2009 - 2010,1.35
,,2010 - 2011,1.58
,,2011 - 2012,1.45
,,2012 - 2013,1.45
,,2013 - 2014,1.07
,,2014 - 2015,0.82
,,2015 - 2016,1.32
,,2016 - 2017,1.58
,,2017 - 2018,1.6
,,2018 - 2019,1.9
,,2019 - 2020,1.49
,,2020 - 2021,1.71
,,2021 - 2022,1.0
,,2022 - 2023,1.9
,Azamgarh,2000 - 2001,1.0
,,2001 - 2002,1.02
,,2002 - 2003,0.9
,,2003 - 2004,1.0
,,2004 - 2005,0.99
,,2005 - 2006,1.16
,,2006 - 2007,1.03
,,2007 - 2008,1.16
,,2008 - 2009,1.13
,,2009 - 2010,1.12
,,2010 - 2011,1.2
,,2011 - 2012,1.14
,,2012 - 2013,1.26
,,2013 - 2014,1.02
,,2014 - 2015,0.78
,,2015 - 2016,1.02
,,2016 - 2017,1.25
,,2017 - 2018,1.4
,,2018 - 2019,1.49
,,2019 - 2020,1.27
,,2020 - 2021,1.45
,,2021 - 2022,1.37
,,2022 - 2023,1.5
,Baghpat,2000 - 2001,1.23
,,2001 - 2002,1.19
,,2002 - 2003,1.03
,,2003 - 2004,0.85
,,2004 - 2005,1.3
,,2005 - 2006,1.24
,,2006 - 2007,0.99
,,2007 - 2008,1.34
,,2008 - 2009,1.1
,,2009 - 2010,1.31
,,2010 - 2011,1.2
,,2011 - 2012,1.17
,,2012 - 2013,1.32
,,2013 - 2014,1.49
,,2014 - 2015,0.97
,,2015 - 2016,1.1
,,2016 - 2017,1.4
,,2017 - 2018,1.26
,,2018 - 2019,1.31
,,2019 - 2020,1.44
,,2020 - 2021,1.37
,,2021 - 2022,1.34
,,2022 - 2023,1.67
,Bahraich,2000 - 2001,0.69
,,2001 - 2002,0.67
,,2002 - 2003,0.54
,,2003 - 2004,0.69
,,2004 - 2005,0.64
,,2005 - 2006,0.94
,,2006 - 2007,0.85
,,2007 - 2008,0.93
,,2008 - 2009,0.85
,,2009 - 2010,0.74
,,2010 - 2011,0.77
,,2011 - 2012,0.76
,,2012 - 2013,0.79
,,2013 - 2014,0.64
,,2014 - 2015,0.56
,,2015 - 2016,0.75
,,2016 - 2017,0.81
,,2017 - 2018,0.96
,,2018 - 2019,0.9
,,2019 - 2020,0.71
,,2020 - 2021,0.83
,,2021 - 2022,0.82
,,2022 - 2023,0.82
,Ballia,2000 - 2001,1.0
,,2001 - 2002,1.02
,,2002 - 2003,0.9
,,2003 - 2004,1.0
,,2004 - 2005,0.99
,,2005 - 2006,1.16
,,2006 - 2007,1.03
,,2007 - 2008,1.16
,,2008 - 2009,1.13
,,2009 - 2010,1.12
,,2010 - 2011,1.2
,,2011 - 2012,1.14
,,2012 - 2013,1.26
,,2013 - 2014,1.02
,,2014 - 2015,0.78
,,2015 - 2016,1.02
,,2016 - 2017,1.25
,,2017 - 2018,1.4
,,2018 - 2019,1.49
,,2019 - 2020,1.26
,,2020 - 2021,1.45
,,2021 - 2022,1.37
,,2022 - 2023,1.5
,Balrampur,2000 - 2001,0.73
,,2001 - 2002,0.63
,,2002 - 2003,0.59
,,2003 - 2004,0.62
,,2004 - 2005,0.73
,,2005 - 2006,0.96
,,2006 - 2007,0.97
,,2007 - 2008,0.85
,,2008 - 2009,0.64
,,2009 - 2010,0.65
,,2010 - 2011,0.82
,,2011 - 2012,0.74
,,2012 - 2013,0.82
,,2013 - 2014,0.87
,,2014 - 2015,0.71
,,2015 - 2016,0.83
,,2016 - 2017,0.77
,,2017 - 2018,0.91
,,2018 - 2019,0.82
,,2019 - 2020,0.71
,,2020 - 2021,0.81
,,2021 - 2022,0.78
,,2022 - 2023,1.14
,Banda,2000 - 2001,0.47
,,2001 - 2002,0.51
,,2002 - 2003,0.47
,,2003 - 2004,0.61
,,2004 - 2005,0.39
,,2005 - 2006,0.49
,,2006 - 2007,0.36
,,2007 - 2008,0.31
,,2008 - 2009,0.68
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.59
,,2013 - 2014,0.26
,,2014 - 2015,0.08
,,2015 - 2016,0.25
,,2016 - 2017,0.56
,,2017 - 2018,0.67
,,2018 - 2019,1.0
,,2019 - 2020,0.89
,,2020 - 2021,0.78
,,2021 - 2022,0.77
,,2022 - 2023,0.9
,Barabanki,2000 - 2001,0.88
,,2001 - 2002,0.87
,,2002 - 2003,0.82
,,2003 - 2004,0.79
,,2004 - 2005,0.81
,,2005 - 2006,1.16
,,2006 - 2007,1.26
,,2007 - 2008,1.16
,,2008 - 2009,0.69
,,2009 - 2010,0.79
,,2010 - 2011,1.04
,,2011 - 2012,0.65
,,2012 - 2013,0.74
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.76
,,2016 - 2017,0.71
,,2017 - 2018,0.82
,,2018 - 2019,0.85
,,2019 - 2020,0.65
,,2020 - 2021,0.76
,,2021 - 2022,0.77
,,2022 - 2023,1.07
,Bareilly,2000 - 2001,0.8
,,2001 - 2002,0.83
,,2002 - 2003,0.67
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.81
,,2006 - 2007,0.8
,,2007 - 2008,0.85
,,2008 - 2009,0.8
,,2009 - 2010,0.85
,,2010 - 2011,0.9
,,2011 - 2012,0.83
,,2012 - 2013,0.88
,,2013 - 2014,0.76
,,2014 - 2015,0.51
,,2015 - 2016,0.88
,,2016 - 2017,0.89
,,2017 - 2018,1.78
,,2018 - 2019,1.73
,,2019 - 2020,0.7
,,2020 - 2021,0.92
,,2021 - 2022,1.05
,,2022 - 2023,1.24
,Basti,2000 - 2001,1.08
,,2001 - 2002,0.81
,,2002 - 2003,0.62
,,2003 - 2004,0.58
,,2004 - 2005,0.99
,,2005 - 2006,1.16
,,2006 - 2007,1.03
,,2007 - 2008,1.16
,,2008 - 2009,1.13
,,2009 - 2010,1.12
,,2010 - 2011,1.2
,,2011 - 2012,1.14
,,2012 - 2013,1.26
,,2013 - 2014,1.02
,,2014 - 2015,0.78
,,2015 - 2016,1.02
,,2016 - 2017,1.09
,,2017 - 2018,1.1
,,2018 - 2019,1.13
,,2019 - 2020,0.83
,,2020 - 2021,1.04
,,2021 - 2022,1.37
,,2022 - 2023,1.5
,Bijnor,2000 - 2001,0.97
,,2001 - 2002,1.09
,,2002 - 2003,0.87
,,2003 - 2004,0.95
,,2004 - 2005,1.27
,,2005 - 2006,1.19
,,2006 - 2007,1.03
,,2007 - 2008,1.11
,,2008 - 2009,1.04
,,2009 - 2010,1.07
,,2010 - 2011,1.13
,,2011 - 2012,1.14
,,2012 - 2013,1.37
,,2013 - 2014,1.27
,,2014 - 2015,0.88
,,2015 - 2016,1.17
,,2016 - 2017,1.28
,,2017 - 2018,0.75
,,2018 - 2019,1.41
,,2019 - 2020,1.25
,,2020 - 2021,0.95
,,2021 - 2022,0.92
,,2022 - 2023,1.19
,Budaun,2000 - 2001,0.84
,,2001 - 2002,0.9
,,2002 - 2003,0.96
,,2003 - 2004,1.1
,,2004 - 2005,1.08
,,2005 - 2006,1.34
,,2006 - 2007,1.16
,,2007 - 2008,1.18
,,2008 - 2009,0.99
,,2009 - 2010,1.42
,,2010 - 2011,1.31
,,2011 - 2012,1.36
,,2012 - 2013,1.47
,,2013 - 2014,1.29
,,2014 - 2015,1.23
,,2015 - 2016,1.54
,,2016 - 2017,1.04
,,2017 - 2018,1.62
,,2018 - 2019,2.31
,,2019 - 2020,1.82
,,2020 - 2021,1.76
,,2021 - 2022,1.25
,,2022 - 2023,1.42
,Bulandshahr,2000 - 2001,1.19
,,2001 - 2002,1.06
,,2002 - 2003,1.04
,,2003 - 2004,0.95
,,2004 - 2005,1.22
,,2005 - 2006,1.13
,,2006 - 2007,0.95
,,2007 - 2008,1.31
,,2008 - 2009,1.07
,,2009 - 2010,1.25
,,2010 - 2011,1.19
,,2011 - 2012,1.17
,,2012 - 2013,1.32
,,2013 - 2014,1.49
,,2014 - 2015,0.92
,,2015 - 2016,1.27
,,2016 - 2017,1.31
,,2017 - 2018,1.72
,,2018 - 2019,1.86
,,2019 - 2020,1.35
,,2020 - 2021,1.72
,,2021 - 2022,1.49
,,2022 - 2023,1.6
,Chandauli,2000 - 2001,1.0
,,2001 - 2002,1.02
,,2002 - 2003,0.9
,,2003 - 2004,1.0
,,2004 - 2005,0.99
,,2005 - 2006,1.16
,,2006 - 2007,1.03
,,2007 - 2008,1.16
,,2008 - 2009,1.13
,,2009 - 2010,1.11
,,2010 - 2011,1.2
,,2011 - 2012,1.37
,,2012 - 2013,1.26
,,2013 - 2014,1.01
,,2014 - 2015,0.77
,,2015 - 2016,0.4
,,2016 - 2017,1.94
,,2017 - 2018,1.16
,,2018 - 2019,0.49
,,2019 - 2020,0.33
,,2020 - 2021,0.91
,,2021 - 2022,0.85
,,2022 - 2023,1.5
,Chitrakoot,2000 - 2001,0.47
,,2001 - 2002,0.55
,,2002 - 2003,0.57
,,2003 - 2004,0.6
,,2004 - 2005,0.35
,,2005 - 2006,0.34
,,2006 - 2007,0.24
,,2007 - 2008,0.11
,,2008 - 2009,0.47
,,2009 - 2010,0.56
,,2010 - 2011,0.49
,,2011 - 2012,0.7
,,2012 - 2013,0.51
,,2013 - 2014,0.32
,,2014 - 2015,0.58
,,2015 - 2016,0.17
,,2016 - 2017,0.76
,,2017 - 2018,0.62
,,2018 - 2019,0.84
,,2019 - 2020,0.58
,,2020 - 2021,0.79
,,2021 - 2022,0.86
,,2022 - 2023,1.13
,Deoria,2000 - 2001,0.64
,,2001 - 2002,0.66
,,2002 - 2003,0.6
,,2003 - 2004,0.83
,,2004 - 2005,0.68
,,2005 - 2006,0.63
,,2006 - 2007,0.62
,,2007 - 2008,0.73
,,2008 - 2009,0.62
,,2009 - 2010,0.75
,,2010 - 2011,0.77
,,2011 - 2012,0.7
,,2012 - 2013,0.66
,,2013 - 2014,0.71
,,2014 - 2015,0.45
,,2015 - 2016,0.58
,,2016 - 2017,0.75
,,2017 - 2018,1.17
,,2018 - 2019,1.12
,,2019 - 2020,0.75
,,2020 - 2021,0.96
,,2021 - 2022,1.09
,,2022 - 2023,1.12
,Etah,2000 - 2001,1.26
,,2001 - 2002,1.18
,,2002 - 2003,1.0
,,2003 - 2004,1.17
,,2004 - 2005,1.25
,,2005 - 2006,1.47
,,2006 - 2007,1.08
,,2007 - 2008,1.42
,,2008 - 2009,1.56
,,2009 - 2010,1.73
,,2010 - 2011,1.52
,,2011 - 2012,1.65
,,2012 - 2013,1.9
,,2013 - 2014,1.66
,,2014 - 2015,1.48
,,2015 - 2016,1.46
,,2016 - 2017,1.46
,,2017 - 2018,1.96
,,2018 - 2019,2.07
,,2019 - 2020,1.83
,,2020 - 2021,2.27
,,2021 - 2022,1.92
,,2022 - 2023,2.44
,Etawah,2000 - 2001,1.1
,,2001 - 2002,1.1
,,2002 - 2003,1.0
,,2003 - 2004,1.28
,,2004 - 2005,1.2
,,2005 - 2006,1.5
,,2006 - 2007,1.27
,,2007 - 2008,1.38
,,2008 - 2009,1.42
,,2009 - 2010,1.43
,,2010 - 2011,1.67
,,2011 - 2012,1.6
,,2012 - 2013,1.78
,,2013 - 2014,1.31
,,2014 - 2015,0.42
,,2015 - 2016,1.41
,,2016 - 2017,2.14
,,2017 - 2018,1.92
,,2018 - 2019,2.3
,,2019 - 2020,1.97
,,2020 - 2021,1.93
,,2021 - 2022,1.93
,,2022 - 2023,1.76
,Faizabad,2000 - 2001,0.67
,,2001 - 2002,0.87
,,2002 - 2003,0.82
,,2003 - 2004,0.77
,,2004 - 2005,0.81
,,2005 - 2006,1.16
,,2006 - 2007,1.26
,,2007 - 2008,1.16
,,2008 - 2009,0.68
,,2009 - 2010,0.78
,,2010 - 2011,1.04
,,2011 - 2012,0.67
,,2012 - 2013,0.74
,,2013 - 2014,0.47
,,2014 - 2015,0.48
,,2015 - 2016,0.75
,,2016 - 2017,0.72
,,2017 - 2018,0.82
,,2018 - 2019,0.85
,,2019 - 2020,0.65
,,2020 - 2021,0.76
,,2021 - 2022,0.74
,,2022 - 2023,1.07
,Farrukhabad,2000 - 2001,1.36
,,2001 - 2002,1.32
,,2002 - 2003,0.94
,,2003 - 2004,1.06
,,2004 - 2005,1.31
,,2005 - 2006,1.33
,,2006 - 2007,1.31
,,2007 - 2008,1.47
,,2008 - 2009,1.47
,,2009 - 2010,1.27
,,2010 - 2011,1.5
,,2011 - 2012,1.35
,,2012 - 2013,1.21
,,2013 - 2014,1.37
,,2014 - 2015,0.54
,,2015 - 2016,1.07
,,2016 - 2017,1.58
,,2017 - 2018,1.67
,,2018 - 2019,1.4
,,2019 - 2020,1.24
,,2020 - 2021,1.14
,,2021 - 2022,0.77
,,2022 - 2023,1.44
,Fatehpur,2000 - 2001,0.77
,,2001 - 2002,0.94
,,2002 - 2003,0.73
,,2003 - 2004,0.62
,,2004 - 2005,0.75
,,2005 - 2006,0.83
,,2006 - 2007,0.63
,,2007 - 2008,0.83
,,2008 - 2009,0.89
,,2009 - 2010,0.92
,,2010 - 2011,0.94
,,2011 - 2012,0.94
,,2012 - 2013,1.03
,,2013 - 2014,0.71
,,2014 - 2015,0.54
,,2015 - 2016,0.6
,,2016 - 2017,1.13
,,2017 - 2018,1.23
,,2018 - 2019,1.11
,,2019 - 2020,1.07
,,2020 - 2021,1.18
,,2021 - 2022,1.21
,,2022 - 2023,1.34
,Firozabad,2000 - 2001,1.28
,,2001 - 2002,1.14
,,2002 - 2003,1.04
,,2003 - 2004,1.13
,,2004 - 2005,1.23
,,2005 - 2006,1.35
,,2006 - 2007,1.28
,,2007 - 2008,1.55
,,2008 - 2009,1.53
,,2009 - 2010,1.44
,,2010 - 2011,1.45
,,2011 - 2012,1.45
,,2012 - 2013,1.66
,,2013 - 2014,1.48
,,2014 - 2015,1.24
,,2015 - 2016,1.4
,,2016 - 2017,1.68
,,2017 - 2018,1.71
,,2018 - 2019,1.86
,,2019 - 2020,1.76
,,2020 - 2021,2.18
,,2021 - 2022,2.14
,,2022 - 2023,2.51
,Gautam buddha nagar,2000 - 2001,1.23
,,2001 - 2002,1.81
,,2002 - 2003,0.97
,,2003 - 2004,0.85
,,2004 - 2005,1.3
,,2005 - 2006,1.24
,,2006 - 2007,0.99
,,2007 - 2008,1.34
,,2008 - 2009,1.11
,,2009 - 2010,1.31
,,2010 - 2011,1.19
,,2011 - 2012,1.17
,,2012 - 2013,1.32
,,2013 - 2014,1.49
,,2014 - 2015,0.97
,,2015 - 2016,1.11
,,2016 - 2017,1.4
,,2017 - 2018,1.17
,,2018 - 2019,1.15
,,2019 - 2020,1.44
,,2020 - 2021,1.62
,,2021 - 2022,1.5
,,2022 - 2023,1.61
,Ghaziabad,2000 - 2001,1.23
,,2001 - 2002,1.19
,,2002 - 2003,1.03
,,2003 - 2004,0.85
,,2004 - 2005,1.3
,,2005 - 2006,1.24
,,2006 - 2007,0.99
,,2007 - 2008,1.34
,,2008 - 2009,1.11
,,2009 - 2010,1.31
,,2010 - 2011,1.19
,,2011 - 2012,1.17
,,2012 - 2013,1.32
,,2013 - 2014,1.49
,,2014 - 2015,0.97
,,2015 - 2016,1.1
,,2016 - 2017,1.4
,,2017 - 2018,1.17
,,2018 - 2019,1.15
,,2019 - 2020,1.32
,,2020 - 2021,1.32
,,2021 - 2022,1.13
,,2022 - 2023,1.35
,Ghazipur,2000 - 2001,1.0
,,2001 - 2002,1.02
,,2002 - 2003,0.9
,,2003 - 2004,0.99
,,2004 - 2005,0.99
,,2005 - 2006,1.16
,,2006 - 2007,1.03
,,2007 - 2008,1.16
,,2008 - 2009,1.13
,,2009 - 2010,1.12
,,2010 - 2011,1.2
,,2011 - 2012,1.37
,,2012 - 2013,1.26
,,2013 - 2014,1.01
,,2014 - 2015,0.78
,,2015 - 2016,0.4
,,2016 - 2017,1.94
,,2017 - 2018,1.16
,,2018 - 2019,0.5
,,2019 - 2020,0.33
,,2020 - 2021,0.91
,,2021 - 2022,0.85
,,2022 - 2023,1.5
,Gonda,2000 - 2001,0.61
,,2001 - 2002,0.61
,,2002 - 2003,0.66
,,2003 - 2004,0.72
,,2004 - 2005,0.64
,,2005 - 2006,0.94
,,2006 - 2007,0.93
,,2007 - 2008,0.88
,,2008 - 2009,0.71
,,2009 - 2010,0.95
,,2010 - 2011,0.91
,,2011 - 2012,0.71
,,2012 - 2013,0.96
,,2013 - 2014,0.52
,,2014 - 2015,0.74
,,2015 - 2016,0.98
,,2016 - 2017,1.1
,,2017 - 2018,0.86
,,2018 - 2019,1.0
,,2019 - 2020,1.03
,,2020 - 2021,1.19
,,2021 - 2022,1.23
,,2022 - 2023,1.05
,Gorakhpur,2000 - 2001,0.64
,,2001 - 2002,0.66
,,2002 - 2003,0.6
,,2003 - 2004,0.83
,,2004 - 2005,0.68
,,2005 - 2006,0.63
,,2006 - 2007,0.62
,,2007 - 2008,0.73
,,2008 - 2009,0.62
,,2009 - 2010,0.75
,,2010 - 2011,0.77
,,2011 - 2012,0.7
,,2012 - 2013,0.66
,,2013 - 2014,0.71
,,2014 - 2015,0.45
,,2015 - 2016,0.58
,,2016 - 2017,0.75
,,2017 - 2018,1.17
,,2018 - 2019,1.12
,,2019 - 2020,0.99
,,2020 - 2021,1.41
,,2021 - 2022,1.04
,,2022 - 2023,1.81
,Hamirpur,2000 - 2001,0.46
,,2001 - 2002,0.62
,,2002 - 2003,0.52
,,2003 - 2004,0.72
,,2004 - 2005,0.7
,,2005 - 2006,0.66
,,2006 - 2007,0.45
,,2007 - 2008,0.4
,,2008 - 2009,0.74
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.79
,,2012 - 2013,0.84
,,2013 - 2014,0.5
,,2014 - 2015,0.4
,,2015 - 2016,0.46
,,2016 - 2017,1.14
,,2017 - 2018,1.1
,,2018 - 2019,1.01
,,2019 - 2020,0.85
,,2020 - 2021,0.98
,,2021 - 2022,1.01
,,2022 - 2023,1.0
,Hapur,2012 - 2013,1.32
,,2013 - 2014,1.49
,,2014 - 2015,1.19
,,2015 - 2016,1.43
,,2016 - 2017,1.21
,,2017 - 2018,1.17
,,2018 - 2019,1.4
,,2019 - 2020,1.76
,,2020 - 2021,1.76
,,2021 - 2022,2.22
,,2022 - 2023,1.65
,Hardoi,2000 - 2001,0.87
,,2001 - 2002,0.84
,,2002 - 2003,0.74
,,2003 - 2004,0.82
,,2004 - 2005,0.73
,,2005 - 2006,0.81
,,2006 - 2007,0.78
,,2007 - 2008,1.04
,,2008 - 2009,0.96
,,2009 - 2010,0.98
,,2010 - 2011,0.91
,,2011 - 2012,0.94
,,2012 - 2013,0.94
,,2013 - 2014,0.82
,,2014 - 2015,0.58
,,2015 - 2016,0.9
,,2016 - 2017,1.03
,,2017 - 2018,1.14
,,2018 - 2019,1.24
,,2019 - 2020,0.98
,,2020 - 2021,1.04
,,2021 - 2022,1.21
,,2022 - 2023,1.29
,Hathras,2000 - 2001,1.05
,,2001 - 2002,1.36
,,2002 - 2003,0.96
,,2003 - 2004,1.26
,,2004 - 2005,1.19
,,2005 - 2006,1.34
,,2006 - 2007,1.09
,,2007 - 2008,1.02
,,2008 - 2009,0.85
,,2009 - 2010,1.02
,,2010 - 2011,1.4
,,2011 - 2012,1.33
,,2012 - 2013,1.49
,,2013 - 2014,1.19
,,2014 - 2015,1.25
,,2015 - 2016,1.27
,,2016 - 2017,1.53
,,2017 - 2018,1.57
,,2018 - 2019,1.67
,,2019 - 2020,1.56
,,2020 - 2021,1.96
,,2021 - 2022,2.19
,,2022 - 2023,1.82
,Jalaun,2000 - 2001,0.53
,,2001 - 2002,0.83
,,2002 - 2003,0.58
,,2003 - 2004,0.84
,,2004 - 2005,0.78
,,2005 - 2006,0.76
,,2006 - 2007,0.44
,,2007 - 2008,0.38
,,2008 - 2009,0.86
,,2009 - 2010,0.85
,,2010 - 2011,0.68
,,2011 - 2012,0.75
,,2012 - 2013,0.88
,,2013 - 2014,0.5
,,2014 - 2015,0.31
,,2015 - 2016,0.47
,,2016 - 2017,1.5
,,2017 - 2018,1.16
,,2018 - 2019,1.23
,,2019 - 2020,1.3
,,2020 - 2021,1.1
,,2021 - 2022,1.15
,,2022 - 2023,1.2
,Jaunpur,2000 - 2001,1.0
,,2001 - 2002,1.02
