state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2004 - 2005,0.3
,,2005 - 2006,0.0
,,2006 - 2007,0.31
,,2007 - 2008,0.41
,,2008 - 2009,0.4
,,2009 - 2010,0.39
,,2010 - 2011,0.37
,,2011 - 2012,0.33
,,2012 - 2013,0.35
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.44
,,2021 - 2022,0.5
,Charki dadri,2014 - 2015,0.5
,,2018 - 2019,0.54
,,2021 - 2022,0.5
,Faridabad,2000 - 2001,0.22
,,2001 - 2002,0.18
,,2003 - 2004,0.21
,,2004 - 2005,0.36
,,2005 - 2006,0.32
,,2006 - 2007,0.45
,,2007 - 2008,0.52
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.59
,,2011 - 2012,0.0
,,2012 - 2013,0.39
,,2013 - 2014,0.0
,,2018 - 2019,0.5
,,2021 - 2022,0.5
,Fatehabad,2000 - 2001,0.51
,,2001 - 2002,0.79
,,2002 - 2003,0.59
,,2003 - 2004,0.61
,,2004 - 2005,0.62
,,2005 - 2006,0.56
,,2006 - 2007,0.72
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,6.25
,,2011 - 2012,0.0
,,2012 - 2013,0.55
,,2018 - 2019,0.67
,,2021 - 2022,0.8
,Gurgaon,2000 - 2001,0.19
,,2001 - 2002,0.22
,,2002 - 2003,0.13
,,2003 - 2004,0.14
,,2004 - 2005,0.25
,,2005 - 2006,0.3
,,2006 - 2007,0.21
,,2007 - 2008,0.44
,,2008 - 2009,0.46
,,2009 - 2010,0.46
,,2010 - 2011,0.28
,,2011 - 2012,0.53
,,2012 - 2013,0.42
,,2013 - 2014,0.67
,,2014 - 2015,0.75
,,2015 - 2016,0.5
,,2016 - 2017,0.75
,,2017 - 2018,0.4
,,2018 - 2019,0.5
,,2021 - 2022,0.5
,Hisar,2000 - 2001,0.81
,,2001 - 2002,0.53
,,2002 - 2003,0.67
,,2003 - 2004,0.57
,,2004 - 2005,0.65
,,2005 - 2006,0.45
,,2006 - 2007,0.46
,,2007 - 2008,0.62
,,2008 - 2009,0.48
,,2009 - 2010,0.88
,,2010 - 2011,0.66
,,2011 - 2012,0.71
,,2012 - 2013,0.56
,,2013 - 2014,0.0
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.6
,,2021 - 2022,0.8
,Jhajjar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.41
,,2014 - 2015,0.5
,,2015 - 2016,0.33
,,2016 - 2017,0.2
,,2017 - 2018,0.0
,,2018 - 2019,0.5
,,2021 - 2022,0.5
,Jind,2000 - 2001,0.0
,,2001 - 2002,0.45
,,2002 - 2003,0.21
,,2003 - 2004,0.25
,,2004 - 2005,0.27
,,2005 - 2006,0.0
,,2006 - 2007,0.37
,,2007 - 2008,0.43
,,2008 - 2009,0.56
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.42
,,2013 - 2014,0.0
,,2018 - 2019,0.4
,,2021 - 2022,0.5
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.79
,,2006 - 2007,0.62
,,2007 - 2008,0.74
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.43
,,2018 - 2019,0.5
,,2021 - 2022,0.5
,Karnal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.95
,,2010 - 2011,0.76
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2018 - 2019,0.5
,,2021 - 2022,0.6
,Kurukshetra,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,Mahendragarh,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.33
,,2021 - 2022,0.0
,Mewat,2005 - 2006,0.0
,,2006 - 2007,0.35
,,2007 - 2008,0.23
,,2008 - 2009,0.31
,,2009 - 2010,0.23
,,2010 - 2011,0.0
,,2011 - 2012,0.23
,,2012 - 2013,0.32
,,2013 - 2014,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.4
,,2016 - 2017,0.67
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2021 - 2022,0.5
,Palwal,2008 - 2009,0.37
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,1.08
,,2012 - 2013,0.39
,,2013 - 2014,1.0
,,2014 - 2015,0.33
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.32
,,2021 - 2022,0.5
,Panchkula,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.49
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.24
,,2018 - 2019,0.31
,,2019 - 2020,0.8
,,2021 - 2022,0.5
,Panipat,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2021 - 2022,0.5
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.22
,,2002 - 2003,0.15
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.3
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.55
,,2010 - 2011,0.39
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,2.0
,,2017 - 2018,0.5
,,2018 - 2019,0.39
,,2021 - 2022,0.5
,Rohtak,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.3
,,2015 - 2016,0.2
,,2018 - 2019,0.51
,,2021 - 2022,0.5
,Sirsa,2000 - 2001,0.82
,,2001 - 2002,0.51
,,2002 - 2003,0.65
,,2003 - 2004,0.57
,,2004 - 2005,0.47
,,2005 - 2006,0.48
,,2006 - 2007,0.48
,,2007 - 2008,0.54
,,2008 - 2009,0.56
,,2009 - 2010,0.67
,,2010 - 2011,0.41
,,2011 - 2012,0.77
,,2012 - 2013,0.54
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.0
,,2018 - 2019,0.8
,,2021 - 2022,0.8
,Sonipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.32
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.8
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2018 - 2019,1.0
,,2021 - 2022,0.6
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.37
,,2015 - 2016,1.0
,,2018 - 2019,0.53
,,2019 - 2020,0.67
,,2021 - 2022,0.5
Himachal Pradesh,Bilaspur,2000 - 2001,0.0
,,2001 - 2002,0.11
,,2002 - 2003,0.46
,,2005 - 2006,0.5
,,2006 - 2007,0.56
,,2007 - 2008,0.48
,,2008 - 2009,0.48
,,2009 - 2010,0.12
,,2010 - 2011,0.43
,,2011 - 2012,0.42
,,2012 - 2013,0.52
,,2013 - 2014,0.43
,,2014 - 2015,0.43
,,2015 - 2016,0.29
,,2016 - 2017,0.43
,,2017 - 2018,0.43
,,2018 - 2019,0.44
,,2019 - 2020,0.56
,,2020 - 2021,0.29
,,2021 - 2022,0.31
,,2022 - 2023,0.28
,Chamba,2000 - 2001,0.22
,,2001 - 2002,0.35
,,2002 - 2003,0.14
,,2005 - 2006,0.04
,,2006 - 2007,0.56
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,0.13
,,2010 - 2011,0.44
,,2011 - 2012,0.44
,,2012 - 2013,0.56
,,2013 - 2014,0.47
,,2014 - 2015,0.47
,,2015 - 2016,0.2
,,2016 - 2017,0.47
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.47
,,2020 - 2021,0.25
,,2021 - 2022,0.3
,,2022 - 2023,0.33
,Hamirpur,2000 - 2001,0.47
,,2001 - 2002,0.5
,,2002 - 2003,0.52
,,2005 - 2006,0.5
,,2006 - 2007,0.6
,,2007 - 2008,0.33
,,2008 - 2009,0.29
,,2009 - 2010,0.0
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.5
,,2013 - 2014,0.25
,,2014 - 2015,0.25
,,2015 - 2016,0.25
,,2016 - 2017,0.25
,,2017 - 2018,0.43
,,2018 - 2019,0.43
,,2019 - 2020,0.4
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.33
,Kangra,2000 - 2001,0.46
,,2001 - 2002,0.65
,,2002 - 2003,0.5
,,2005 - 2006,0.43
,,2006 - 2007,0.48
,,2007 - 2008,0.36
,,2008 - 2009,0.36
,,2009 - 2010,0.08
,,2010 - 2011,0.32
,,2011 - 2012,0.32
,,2012 - 2013,0.34
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.42
,,2016 - 2017,0.32
,,2017 - 2018,0.55
,,2018 - 2019,0.51
,,2019 - 2020,0.56
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.29
,Kinnaur,2005 - 2006,0.0
,Mandi,2000 - 2001,0.32
,,2001 - 2002,0.31
,,2002 - 2003,0.19
,,2005 - 2006,0.17
,,2006 - 2007,0.18
,,2007 - 2008,0.17
,,2008 - 2009,0.19
,,2009 - 2010,0.07
,,2010 - 2011,0.2
,,2011 - 2012,0.2
,,2012 - 2013,0.4
,,2013 - 2014,0.21
,,2014 - 2015,0.36
,,2015 - 2016,0.45
,,2016 - 2017,0.21
,,2017 - 2018,0.55
,,2018 - 2019,0.55
,,2019 - 2020,0.56
,,2020 - 2021,0.29
,,2021 - 2022,0.27
,,2022 - 2023,0.29
,Shimla,2000 - 2001,0.21
,,2001 - 2002,0.25
,,2002 - 2003,0.19
,,2005 - 2006,0.17
,,2006 - 2007,0.2
,,2007 - 2008,0.19
,,2008 - 2009,0.2
,,2009 - 2010,0.1
,,2010 - 2011,0.2
,,2011 - 2012,0.2
,,2012 - 2013,0.5
,,2013 - 2014,0.2
,,2014 - 2015,0.3
,,2015 - 2016,0.33
,,2016 - 2017,0.22
,,2017 - 2018,0.44
,,2018 - 2019,0.38
,,2019 - 2020,0.42
,,2020 - 2021,0.33
,,2021 - 2022,0.3
,Sirmaur,2000 - 2001,0.28
,,2001 - 2002,0.42
,,2002 - 2003,0.02
,,2005 - 2006,0.51
,,2006 - 2007,0.5
,,2007 - 2008,0.52
,,2008 - 2009,0.53
,,2009 - 2010,0.12
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.53
,,2013 - 2014,0.53
,,2014 - 2015,0.47
,,2015 - 2016,0.29
,,2016 - 2017,0.47
,,2017 - 2018,0.43
,,2018 - 2019,0.41
,,2019 - 2020,0.49
,,2020 - 2021,0.25
,Solan,2000 - 2001,0.22
,,2001 - 2002,0.28
,,2002 - 2003,0.09
,,2005 - 2006,0.27
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.08
,,2010 - 2011,0.3
,,2011 - 2012,0.3
,,2012 - 2013,0.57
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.33
,,2016 - 2017,0.3
,,2017 - 2018,0.43
,,2018 - 2019,0.43
,,2019 - 2020,0.42
,,2020 - 2021,0.53
,,2021 - 2022,0.52
,,2022 - 2023,0.52
,Una,2000 - 2001,0.19
,,2001 - 2002,0.28
,,2002 - 2003,0.32
,,2005 - 2006,0.35
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.31
,,2009 - 2010,0.06
,,2010 - 2011,0.23
,,2011 - 2012,0.23
,,2012 - 2013,0.23
,,2013 - 2014,0.23
,,2014 - 2015,0.23
,,2015 - 2016,0.27
,,2016 - 2017,0.23
,,2017 - 2018,0.37
,,2018 - 2019,0.43
,,2019 - 2020,0.45
,,2020 - 2021,0.24
,,2021 - 2022,0.24
,,2022 - 2023,0.23
Jammu and Kashmir,Doda,2000 - 2001,0.36
,,2001 - 2002,0.38
,,2003 - 2004,0.35
,Ganderbal,2016 - 2017,0.5
,Jammu,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.58
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2009 - 2010,0.45
,,2010 - 2011,0.45
,,2011 - 2012,0.45
,,2012 - 2013,0.45
,,2014 - 2015,0.45
,,2015 - 2016,0.44
,,2016 - 2017,0.41
,,2017 - 2018,0.41
,,2018 - 2019,0.41
,,2020 - 2021,0.44
,,2021 - 2022,
,,2022 - 2023,
,Kathua,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2014 - 2015,0.4
,,2015 - 2016,0.28
,,2016 - 2017,0.4
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,Leh ladakh,2015 - 2016,0.5
,Rajauri,2000 - 2001,0.36
,,2001 - 2002,0.37
,,2002 - 2003,0.36
,,2003 - 2004,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2009 - 2010,0.36
,,2010 - 2011,0.36
,,2011 - 2012,0.37
,,2012 - 2013,0.37
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,Reasi,2007 - 2008,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,Samba,2007 - 2008,0.45
,,2009 - 2010,0.45
,,2010 - 2011,0.45
,,2011 - 2012,0.45
,,2012 - 2013,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.4
,,2016 - 2017,0.44
,,2017 - 2018,0.44
,,2018 - 2019,0.44
,,2019 - 2020,0.44
,,2020 - 2021,0.44
,Udhampur,2000 - 2001,0.5
,,2001 - 2002,1.25
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2014 - 2015,0.28
,,2015 - 2016,0.5
,,2016 - 2017,0.28
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.28
,,2020 - 2021,0.28
Jharkhand,Bokaro,2017 - 2018,0.42
,,2018 - 2019,0.42
,,2019 - 2020,0.57
,,2021 - 2022,0.35
,Chatra,2017 - 2018,0.36
,,2018 - 2019,0.36
,,2019 - 2020,0.38
,,2020 - 2021,0.39
,,2021 - 2022,0.4
,Deoghar,2017 - 2018,0.34
,,2018 - 2019,0.33
,,2019 - 2020,0.34
,,2020 - 2021,0.35
,,2021 - 2022,0.6
,,2022 - 2023,0.58
,Dhanbad,2017 - 2018,0.44
,,2018 - 2019,0.45
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.41
,Dumka,2017 - 2018,0.52
,,2018 - 2019,0.56
,,2019 - 2020,0.63
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.67
,East singhbum,2017 - 2018,0.48
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.35
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Garhwa,2017 - 2018,0.21
,,2018 - 2019,0.25
,,2019 - 2020,0.25
,,2020 - 2021,0.28
,,2021 - 2022,0.4
,,2022 - 2023,0.35
,Giridih,2017 - 2018,0.62
,,2018 - 2019,0.6
,,2019 - 2020,0.63
,,2020 - 2021,0.45
,,2021 - 2022,0.63
,,2022 - 2023,0.64
,Godda,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.38
,,2020 - 2021,0.4
,,2021 - 2022,0.42
,Gumla,2019 - 2020,0.47
,,2020 - 2021,0.46
,,2021 - 2022,0.21
,,2022 - 2023,0.19
,Hazaribagh,2017 - 2018,0.44
,,2018 - 2019,0.44
,,2020 - 2021,0.44
,,2021 - 2022,0.41
,,2022 - 2023,0.4
,Jamtara,2018 - 2019,0.4
,,2019 - 2020,0.31
,,2021 - 2022,0.6
,,2022 - 2023,0.67
,Khunti,2017 - 2018,0.3
,,2018 - 2019,0.4
,,2020 - 2021,0.35
,,2021 - 2022,0.35
,,2022 - 2023,0.35
,Koderma,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Latehar,2017 - 2018,0.22
,,2018 - 2019,0.22
,,2019 - 2020,0.22
,,2020 - 2021,0.23
,,2021 - 2022,0.22
,,2022 - 2023,0.22
,Lohardaga,2020 - 2021,0.3
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Pakur,2017 - 2018,0.31
,,2018 - 2019,0.21
,,2019 - 2020,0.31
,,2020 - 2021,0.31
,,2021 - 2022,0.31
,Palamu,2017 - 2018,0.45
,,2018 - 2019,0.3
,,2019 - 2020,0.45
,,2020 - 2021,0.5
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Ramgarh,2017 - 2018,0.44
,,2018 - 2019,0.44
,,2020 - 2021,0.44
,,2021 - 2022,0.51
,,2022 - 2023,0.55
,Ranchi,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.45
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.45
,Sahebganj,2017 - 2018,0.36
,,2018 - 2019,0.36
,,2020 - 2021,0.83
,Saraikela kharsawan,2017 - 2018,0.5
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.41
,,2021 - 2022,0.4
,,2022 - 2023,0.4
,Simdega,2017 - 2018,0.7
,,2018 - 2019,0.0
,,2019 - 2020,0.62
,,2020 - 2021,0.62
,,2021 - 2022,0.65
,,2022 - 2023,0.65
,West singhbhum,2017 - 2018,0.49
,,2018 - 2019,0.42
,,2019 - 2020,0.41
,,2020 - 2021,0.41
,,2021 - 2022,0.41
,,2022 - 2023,0.42
Karnataka,Bagalkot,2000 - 2001,0.49
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,,2003 - 2004,0.44
,,2004 - 2005,0.61
,,2005 - 2006,0.49
,,2006 - 2007,0.2
,,2007 - 2008,0.52
,,2008 - 2009,0.2
,,2009 - 2010,0.34
,,2010 - 2011,0.67
,,2011 - 2012,0.23
,,2012 - 2013,0.38
,,2013 - 2014,0.37
,,2014 - 2015,0.46
,,2015 - 2016,0.21
,,2016 - 2017,0.44
,,2017 - 2018,1.01
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.84
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Bangalore rural,2000 - 2001,0.67
,,2001 - 2002,0.37
,,2002 - 2003,0.33
,,2003 - 2004,0.51
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.51
,,2007 - 2008,0.58
,,2008 - 2009,0.5
,,2009 - 2010,0.4
,,2010 - 2011,0.58
,,2011 - 2012,0.5
,,2012 - 2013,0.3
,,2013 - 2014,0.6
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.67
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Belgaum,2000 - 2001,0.41
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.43
,,2007 - 2008,0.27
,,2008 - 2009,0.21
,,2009 - 2010,0.04
,,2010 - 2011,0.18
,,2011 - 2012,0.13
,,2012 - 2013,0.09
,,2013 - 2014,0.23
,,2014 - 2015,0.86
,,2015 - 2016,0.35
,,2016 - 2017,0.76
,,2017 - 2018,0.62
,,2018 - 2019,1.39
,,2019 - 2020,0.85
,,2020 - 2021,0.23
,,2021 - 2022,0.3
,,2022 - 2023,0.65
,Bellary,2000 - 2001,0.42
,,2001 - 2002,0.28
,,2002 - 2003,0.47
,,2003 - 2004,0.12
,,2004 - 2005,0.34
,,2005 - 2006,0.47
,,2006 - 2007,0.25
,,2007 - 2008,0.46
,,2008 - 2009,0.29
,,2009 - 2010,0.18
,,2010 - 2011,0.32
,,2011 - 2012,0.26
,,2012 - 2013,0.33
,,2013 - 2014,0.44
,,2014 - 2015,0.37
,,2015 - 2016,0.25
,,2016 - 2017,0.47
,,2017 - 2018,1.9
,,2018 - 2019,1.33
,,2019 - 2020,0.89
,,2020 - 2021,1.42
,,2021 - 2022,0.84
,,2022 - 2023,0.61
,Bengaluru urban,2000 - 2001,0.41
,,2001 - 2002,0.38
,,2002 - 2003,0.43
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.59
,,2007 - 2008,0.57
,,2008 - 2009,0.53
,,2009 - 2010,0.41
,,2010 - 2011,0.56
,,2011 - 2012,0.5
,,2012 - 2013,0.31
,,2013 - 2014,0.6
,,2014 - 2015,0.54
,,2015 - 2016,0.5
,,2016 - 2017,0.57
,,2017 - 2018,0.89
,,2018 - 2019,0.57
,,2019 - 2020,0.8
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Bidar,2000 - 2001,0.38
,,2001 - 2002,0.23
,,2002 - 2003,0.56
,,2003 - 2004,0.57
,,2004 - 2005,0.46
,,2005 - 2006,0.38
,,2006 - 2007,0.5
,,2007 - 2008,0.51
,,2008 - 2009,0.39
,,2009 - 2010,0.17
,,2010 - 2011,0.44
,,2011 - 2012,0.38
,,2012 - 2013,0.55
,,2013 - 2014,0.46
,,2014 - 2015,0.25
,,2015 - 2016,0.25
,,2016 - 2017,0.7
,,2017 - 2018,1.15
,,2018 - 2019,0.69
,,2019 - 2020,0.99
,,2020 - 2021,1.01
,,2021 - 2022,0.82
,,2022 - 2023,0.86
,Bijapur,2000 - 2001,0.49
,,2001 - 2002,0.19
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.59
,,2007 - 2008,0.56
,,2008 - 2009,0.51
,,2009 - 2010,0.41
,,2010 - 2011,0.35
,,2011 - 2012,0.12
,,2012 - 2013,0.1
,,2013 - 2014,0.17
,,2014 - 2015,0.11
,,2015 - 2016,0.49
,,2016 - 2017,0.72
,,2017 - 2018,0.75
,,2018 - 2019,0.64
,,2019 - 2020,0.53
,,2020 - 2021,0.92
,,2021 - 2022,2.76
,,2022 - 2023,0.66
,Chamarajanagar,2000 - 2001,0.41
,,2001 - 2002,0.1
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,1.23
,,2006 - 2007,0.34
,,2007 - 2008,0.44
,,2008 - 2009,0.35
,,2009 - 2010,0.29
,,2010 - 2011,0.3
,,2011 - 2012,0.46
,,2012 - 2013,0.23
,,2013 - 2014,0.38
,,2014 - 2015,0.25
,,2015 - 2016,0.21
,,2016 - 2017,0.23
,,2017 - 2018,0.51
,,2018 - 2019,0.63
,,2019 - 2020,0.43
,,2020 - 2021,0.56
,,2021 - 2022,0.58
,,2022 - 2023,0.54
,Chikballapur,2017 - 2018,0.88
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,0.86
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Chikmagalur,2000 - 2001,0.67
,,2001 - 2002,0.37
,,2002 - 2003,0.28
,,2003 - 2004,0.42
,,2004 - 2005,0.62
,,2005 - 2006,1.28
,,2006 - 2007,0.92
,,2007 - 2008,0.75
,,2008 - 2009,0.74
,,2009 - 2010,0.68
,,2010 - 2011,0.82
,,2011 - 2012,0.55
,,2012 - 2013,0.36
,,2013 - 2014,0.63
,,2014 - 2015,0.49
,,2015 - 2016,0.89
,,2016 - 2017,0.88
,,2017 - 2018,0.68
,,2018 - 2019,0.88
,,2019 - 2020,0.91
,,2020 - 2021,1.11
,,2021 - 2022,1.03
,,2022 - 2023,0.98
,Chitradurga,2000 - 2001,0.45
,,2001 - 2002,0.65
,,2002 - 2003,0.49
,,2003 - 2004,0.09
,,2004 - 2005,0.57
,,2005 - 2006,1.12
,,2006 - 2007,0.95
,,2007 - 2008,0.87
,,2008 - 2009,0.62
,,2009 - 2010,0.76
,,2010 - 2011,0.71
,,2011 - 2012,0.85
,,2012 - 2013,0.27
,,2013 - 2014,0.45
,,2014 - 2015,0.67
,,2015 - 2016,0.52
,,2016 - 2017,0.44
,,2017 - 2018,0.42
,,2018 - 2019,0.9
,,2019 - 2020,1.27
,,2020 - 2021,1.45
,,2021 - 2022,1.03
,,2022 - 2023,0.76
,Dakshin kannad,2000 - 2001,0.41
,,2001 - 2002,0.37
,,2002 - 2003,0.39
,,2003 - 2004,0.44
,,2004 - 2005,0.54
,,2005 - 2006,0.87
,,2006 - 2007,0.59
,,2007 - 2008,0.56
,,2008 - 2009,0.51
,,2009 - 2010,0.41
,,2010 - 2011,0.57
