state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Longleng,2009 - 2010,0.5
,Mokokchung,2000 - 2001,0.67
,,2009 - 2010,0.63
,,2010 - 2011,0.75
,,2011 - 2012,0.8
,,2012 - 2013,0.83
,,2013 - 2014,0.83
,,2014 - 2015,0.86
,,2015 - 2016,0.86
,,2016 - 2017,0.86
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,Mon,2000 - 2001,0.92
,,2009 - 2010,0.4
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Peren,2009 - 2010,0.57
,,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2012 - 2013,0.75
,,2013 - 2014,0.75
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,0.75
,,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,Phek,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,,2022 - 2023,0.5
,Tuensang,2000 - 2001,0.79
,,2009 - 2010,0.4
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Wokha,2000 - 2001,0.65
,,2009 - 2010,0.5
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Zunheboto,2009 - 2010,0.5
,,2010 - 2011,0.67
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.67
Odisha,Anugul,2000 - 2001,0.45
,,2002 - 2003,0.43
,,2003 - 2004,0.46
,,2004 - 2005,0.55
,,2019 - 2020,1.0
,Balangir,2000 - 2001,0.47
,,2001 - 2002,0.34
,,2002 - 2003,0.28
,,2003 - 2004,0.48
,,2004 - 2005,0.38
,,2019 - 2020,
,Baleshwar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.56
,,2003 - 2004,0.45
,,2004 - 2005,0.54
,,2019 - 2020,
,Bargarh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,0.37
,Bhadrak,2000 - 2001,0.67
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,Boudh,2000 - 2001,0.83
,,2001 - 2002,1.0
,,2002 - 2003,0.75
,,2003 - 2004,0.6
,,2004 - 2005,0.83
,,2019 - 2020,0.5
,Cuttack,2000 - 2001,
,,2001 - 2002,0.5
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.54
,,2019 - 2020,1.0
,Deogarh,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.4
,Dhenkanal,2000 - 2001,0.5
,,2002 - 2003,0.46
,,2003 - 2004,0.45
,,2004 - 2005,0.5
,,2019 - 2020,0.63
,Gajapati,2000 - 2001,0.69
,,2001 - 2002,0.58
,,2002 - 2003,0.71
,,2003 - 2004,0.6
,,2004 - 2005,0.57
,,2019 - 2020,0.64
,Ganjam,2000 - 2001,0.59
,,2001 - 2002,0.55
,,2002 - 2003,0.38
,,2003 - 2004,0.51
,,2004 - 2005,0.62
,,2019 - 2020,0.63
,Jagatsinghapur,2000 - 2001,0.45
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,0.33
,,2004 - 2005,
,Jajapur,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,
,,2003 - 2004,0.4
,,2004 - 2005,0.44
,,2019 - 2020,5.0
,Jharsuguda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.34
,Kalahandi,2000 - 2001,0.77
,,2001 - 2002,0.87
,,2002 - 2003,0.64
,,2003 - 2004,0.83
,,2004 - 2005,0.8
,,2019 - 2020,0.62
,Kandhamal,2000 - 2001,0.78
,,2001 - 2002,0.76
,,2002 - 2003,0.82
,,2003 - 2004,0.77
,,2004 - 2005,0.78
,,2019 - 2020,0.64
,Kendrapara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Kendujhar,2000 - 2001,0.64
,,2001 - 2002,0.67
,,2002 - 2003,0.71
,,2003 - 2004,0.73
,,2004 - 2005,0.75
,Khordha,2000 - 2001,0.67
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,Koraput,2000 - 2001,0.24
,,2001 - 2002,0.22
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,,2004 - 2005,0.24
,,2019 - 2020,0.63
,Malkangiri,2000 - 2001,0.29
,,2001 - 2002,0.21
,,2002 - 2003,0.31
,,2003 - 2004,0.31
,,2004 - 2005,0.24
,,2019 - 2020,0.64
,Mayurbhanj,2000 - 2001,0.46
,,2001 - 2002,0.46
,,2002 - 2003,0.48
,,2003 - 2004,0.47
,,2004 - 2005,0.46
,,2019 - 2020,0.6
,Nabarangpur,2000 - 2001,0.73
,,2001 - 2002,0.92
,,2002 - 2003,0.57
,,2003 - 2004,0.3
,,2004 - 2005,0.59
,,2019 - 2020,0.63
,Nayagarh,2000 - 2001,0.63
,,2001 - 2002,0.63
,,2002 - 2003,0.5
,,2003 - 2004,0.4
,,2004 - 2005,0.36
,,2019 - 2020,0.6
,Nuapada,2000 - 2001,0.44
,,2001 - 2002,0.17
,,2002 - 2003,0.11
,,2003 - 2004,0.18
,,2004 - 2005,0.18
,,2019 - 2020,0.63
,Puri,2004 - 2005,0.0
,,2019 - 2020,1.0
,Rayagada,2000 - 2001,0.31
,,2001 - 2002,0.35
,,2002 - 2003,0.24
,,2003 - 2004,0.31
,,2004 - 2005,0.31
,,2019 - 2020,0.62
,Sambalpur,2000 - 2001,0.27
,,2001 - 2002,0.33
,,2002 - 2003,0.38
,,2003 - 2004,0.44
,,2004 - 2005,0.42
,,2019 - 2020,1.0
,Sonepur,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.36
,,2019 - 2020,0.67
,Sundargarh,2000 - 2001,0.45
,,2001 - 2002,0.4
,,2002 - 2003,0.32
,,2003 - 2004,0.46
,,2004 - 2005,0.34
,,2019 - 2020,0.5
Rajasthan,Ajmer,2000 - 2001,0.16
,,2001 - 2002,0.63
,,2002 - 2003,0.0
,,2003 - 2004,0.76
,,2004 - 2005,0.39
,,2005 - 2006,0.0
,,2006 - 2007,1.0
,,2007 - 2008,0.84
,,2008 - 2009,0.72
,,2009 - 2010,0.14
,,2010 - 2011,0.32
,,2011 - 2012,0.06
,,2012 - 2013,1.68
,,2013 - 2014,0.76
,,2014 - 2015,1.47
,,2015 - 2016,1.85
,,2016 - 2017,2.25
,,2017 - 2018,1.02
,,2018 - 2019,1.01
,,2019 - 2020,0.3
,,2020 - 2021,1.01
,,2021 - 2022,0.58
,,2022 - 2023,1.47
,Alwar,2000 - 2001,0.0
,,2001 - 2002,0.33
,,2005 - 2006,1.0
,,2012 - 2013,0.0
,,2013 - 2014,0.57
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2018 - 2019,0.6
,,2019 - 2020,0.13
,,2020 - 2021,2.5
,Banswara,2000 - 2001,0.28
,,2001 - 2002,0.38
,,2002 - 2003,0.0
,,2003 - 2004,0.36
,,2004 - 2005,0.38
,,2005 - 2006,0.23
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.2
,,2009 - 2010,0.4
,,2010 - 2011,0.19
,,2011 - 2012,0.0
,,2012 - 2013,0.43
,,2013 - 2014,0.0
,,2014 - 2015,0.17
,,2015 - 2016,0.33
,,2016 - 2017,0.44
,,2017 - 2018,0.43
,,2018 - 2019,0.38
,,2019 - 2020,0.43
,,2020 - 2021,0.31
,,2021 - 2022,0.28
,,2022 - 2023,0.35
,Baran,2000 - 2001,0.25
,,2001 - 2002,0.0
,,2003 - 2004,1.31
,,2004 - 2005,1.0
,,2009 - 2010,4.0
,,2011 - 2012,1.0
,,2013 - 2014,0.33
,,2016 - 2017,2.0
,Barmer,2000 - 2001,0.65
,,2001 - 2002,0.9
,,2002 - 2003,1.0
,,2003 - 2004,1.24
,,2004 - 2005,0.88
,,2005 - 2006,0.48
,,2006 - 2007,0.8
,,2007 - 2008,0.81
,,2008 - 2009,0.8
,,2009 - 2010,0.51
,,2010 - 2011,0.81
,,2011 - 2012,0.78
,,2012 - 2013,0.67
,,2013 - 2014,1.33
,,2014 - 2015,0.85
,,2015 - 2016,1.14
,,2016 - 2017,0.7
,,2017 - 2018,1.38
,,2018 - 2019,1.3
,,2019 - 2020,1.19
,,2020 - 2021,1.26
,,2021 - 2022,1.04
,,2022 - 2023,1.2
,Bharatpur,2000 - 2001,0.73
,,2001 - 2002,0.67
,,2002 - 2003,0.33
,,2003 - 2004,0.92
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.75
,,2007 - 2008,0.13
,,2008 - 2009,0.64
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.83
,,2013 - 2014,2.22
,,2014 - 2015,2.29
,,2015 - 2016,2.4
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,Bhilwara,2000 - 2001,0.47
,,2001 - 2002,0.25
,,2002 - 2003,0.08
,,2003 - 2004,0.84
,,2004 - 2005,0.94
,,2005 - 2006,1.71
,,2006 - 2007,0.23
,,2007 - 2008,0.14
,,2008 - 2009,0.69
,,2009 - 2010,0.0
,,2010 - 2011,0.4
,,2011 - 2012,0.51
,,2012 - 2013,0.85
,,2013 - 2014,0.56
,,2014 - 2015,0.49
,,2015 - 2016,0.48
,,2016 - 2017,0.97
,,2017 - 2018,0.33
,,2018 - 2019,1.0
,,2019 - 2020,0.52
,,2020 - 2021,0.93
,,2021 - 2022,0.43
,,2022 - 2023,1.0
,Bikaner,2000 - 2001,0.45
,,2001 - 2002,0.5
,,2002 - 2003,0.44
,,2003 - 2004,0.46
,,2004 - 2005,0.25
,,2005 - 2006,0.84
,,2006 - 2007,0.85
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.44
,,2010 - 2011,0.99
,,2011 - 2012,0.99
,,2012 - 2013,0.96
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.96
,,2016 - 2017,1.2
,,2017 - 2018,1.3
,,2018 - 2019,1.06
,,2019 - 2020,0.56
,,2020 - 2021,0.72
,,2021 - 2022,1.43
,,2022 - 2023,3.82
,Bundi,2000 - 2001,0.2
,,2002 - 2003,0.26
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2017 - 2018,1.0
,,2019 - 2020,2.0
,,2020 - 2021,1.5
,,2021 - 2022,2.0
,Chittorgarh,2000 - 2001,0.26
,,2001 - 2002,0.56
,,2002 - 2003,0.13
,,2003 - 2004,0.62
,,2004 - 2005,1.0
,,2005 - 2006,0.86
,,2006 - 2007,0.8
,,2007 - 2008,0.0
,,2009 - 2010,0.48
,,2010 - 2011,0.83
,,2011 - 2012,1.42
,,2012 - 2013,1.0
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,Churu,2000 - 2001,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.06
,,2005 - 2006,0.39
,,2006 - 2007,0.21
,,2007 - 2008,0.0
,,2011 - 2012,0.36
,,2012 - 2013,0.83
,,2014 - 2015,2.0
,,2015 - 2016,1.33
,,2018 - 2019,2.0
,,2019 - 2020,0.76
,,2020 - 2021,1.25
,,2021 - 2022,2.29
,,2022 - 2023,1.36
,Dausa,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2009 - 2010,1.0
,,2012 - 2013,2.0
,,2017 - 2018,1.0
,Dholpur,2000 - 2001,2.18
,,2001 - 2002,1.5
,,2002 - 2003,0.67
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2009 - 2010,0.0
,,2010 - 2011,1.0
,,2013 - 2014,1.22
,,2014 - 2015,1.25
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Dungarpur,2000 - 2001,0.16
,,2001 - 2002,0.15
,,2002 - 2003,0.0
,,2003 - 2004,1.0
,,2004 - 2005,0.47
,,2005 - 2006,0.17
,,2006 - 2007,0.2
,,2007 - 2008,1.0
,,2008 - 2009,0.17
,,2009 - 2010,0.02
,,2010 - 2011,0.75
,,2011 - 2012,0.23
,,2012 - 2013,1.0
,,2013 - 2014,0.91
,,2014 - 2015,0.93
,,2015 - 2016,0.96
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.09
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.86
,Ganganagar,2000 - 2001,0.0
,,2001 - 2002,0.49
,,2002 - 2003,0.86
,,2003 - 2004,0.69
,,2004 - 2005,1.84
,,2005 - 2006,0.19
,,2006 - 2007,1.34
,,2007 - 2008,1.25
,,2008 - 2009,1.38
,,2009 - 2010,0.7
,,2010 - 2011,0.69
,,2011 - 2012,0.52
,,2012 - 2013,0.55
,,2013 - 2014,3.91
,,2014 - 2015,2.85
,,2015 - 2016,1.85
,,2016 - 2017,1.98
,,2017 - 2018,2.6
,,2018 - 2019,2.1
,,2019 - 2020,1.85
,,2020 - 2021,2.18
,,2021 - 2022,1.74
,,2022 - 2023,4.99
,Hanumangarh,2000 - 2001,0.52
,,2001 - 2002,0.74
,,2002 - 2003,0.38
,,2003 - 2004,1.27
,,2004 - 2005,0.79
,,2005 - 2006,1.78
,,2006 - 2007,1.39
,,2007 - 2008,2.01
,,2008 - 2009,1.87
,,2009 - 2010,1.36
,,2010 - 2011,1.74
,,2011 - 2012,1.88
,,2012 - 2013,1.89
,,2013 - 2014,1.44
,,2014 - 2015,2.08
,,2015 - 2016,1.97
,,2016 - 2017,2.68
,,2017 - 2018,2.55
,,2018 - 2019,2.24
,,2019 - 2020,1.41
,,2020 - 2021,1.36
,,2021 - 2022,2.57
,,2022 - 2023,2.37
,Jaipur,2000 - 2001,0.5
,,2001 - 2002,0.93
,,2002 - 2003,0.06
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,0.6
,,2006 - 2007,1.0
,,2007 - 2008,0.95
,,2008 - 2009,0.58
,,2009 - 2010,0.01
,,2010 - 2011,1.0
,,2011 - 2012,0.93
,,2012 - 2013,1.0
,,2013 - 2014,0.86
,,2014 - 2015,0.5
,,2015 - 2016,0.56
,,2016 - 2017,1.0
,,2019 - 2020,0.0
,,2021 - 2022,0.67
,Jaisalmer,2000 - 2001,0.29
,,2001 - 2002,0.21
,,2002 - 2003,0.06
,,2003 - 2004,0.28
,,2004 - 2005,0.29
,,2005 - 2006,0.64
,,2006 - 2007,0.4
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.19
,,2010 - 2011,0.29
,,2011 - 2012,0.28
,,2012 - 2013,0.28
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,2.0
,,2018 - 2019,1.97
,,2019 - 2020,1.98
,,2020 - 2021,1.5
,,2021 - 2022,1.46
,,2022 - 2023,1.5
,Jalore,2000 - 2001,0.35
,,2001 - 2002,1.26
,,2002 - 2003,1.77
,,2003 - 2004,1.61
,,2004 - 2005,1.11
,,2005 - 2006,0.15
,,2006 - 2007,1.09
,,2007 - 2008,1.82
,,2008 - 2009,1.69
,,2009 - 2010,1.16
,,2010 - 2011,1.99
,,2011 - 2012,1.99
,,2012 - 2013,2.25
,,2013 - 2014,2.17
,,2014 - 2015,2.05
,,2015 - 2016,1.89
,,2016 - 2017,1.86
,,2017 - 2018,1.82
,,2018 - 2019,1.98
,,2019 - 2020,1.65
,,2020 - 2021,1.95
,,2021 - 2022,1.83
,,2022 - 2023,1.78
,Jhalawar,2001 - 2002,1.0
,,2011 - 2012,0.5
,,2016 - 2017,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,Jhunjhunu,2000 - 2001,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.66
,,2005 - 2006,0.48
,,2006 - 2007,0.49
,,2007 - 2008,0.5
,,2008 - 2009,0.46
,,2009 - 2010,0.13
,,2010 - 2011,0.42
,,2011 - 2012,0.44
,,2012 - 2013,0.45
,,2013 - 2014,0.5
,,2014 - 2015,0.78
,,2015 - 2016,0.98
,,2016 - 2017,0.71
,,2017 - 2018,0.61
,,2018 - 2019,0.51
,,2019 - 2020,0.62
,,2020 - 2021,0.59
,,2021 - 2022,1.07
,,2022 - 2023,0.48
,Jodhpur,2000 - 2001,0.68
,,2001 - 2002,0.79
,,2002 - 2003,0.57
,,2003 - 2004,0.79
,,2004 - 2005,0.8
,,2005 - 2006,0.56
,,2006 - 2007,0.57
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.18
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.48
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.6
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.98
,Karauli,2000 - 2001,0.67
,,2001 - 2002,0.0
,,2006 - 2007,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,Kota,2000 - 2001,1.67
,,2001 - 2002,1.89
,,2002 - 2003,0.0
,,2003 - 2004,2.0
,,2004 - 2005,2.0
,,2006 - 2007,6.0
,,2007 - 2008,1.0
,,2008 - 2009,0.6
,,2009 - 2010,0.5
,,2012 - 2013,0.91
,,2020 - 2021,0.0
,,2022 - 2023,0.0
,Nagaur,2000 - 2001,0.87
,,2001 - 2002,0.6
,,2002 - 2003,1.21
,,2003 - 2004,0.92
,,2004 - 2005,0.7
,,2005 - 2006,0.58
,,2006 - 2007,2.09
,,2007 - 2008,1.02
,,2008 - 2009,0.68
,,2009 - 2010,0.98
,,2010 - 2011,1.43
,,2011 - 2012,1.17
,,2012 - 2013,0.72
,,2013 - 2014,1.2
,,2014 - 2015,1.36
,,2015 - 2016,0.95
,,2016 - 2017,1.27
,,2017 - 2018,1.12
,,2018 - 2019,0.82
,,2019 - 2020,0.49
,,2020 - 2021,0.76
,,2021 - 2022,1.16
,,2022 - 2023,0.9
,Pali,2000 - 2001,0.1
,,2001 - 2002,2.6
,,2002 - 2003,0.05
,,2003 - 2004,0.73
,,2004 - 2005,0.4
,,2005 - 2006,0.42
,,2006 - 2007,0.88
,,2007 - 2008,0.37
,,2008 - 2009,0.65
,,2009 - 2010,0.03
,,2010 - 2011,0.66
,,2011 - 2012,0.77
,,2012 - 2013,0.82
,,2013 - 2014,0.34
,,2014 - 2015,0.79
,,2015 - 2016,0.61
,,2016 - 2017,0.5
,,2017 - 2018,0.51
,,2018 - 2019,0.98
,,2019 - 2020,0.92
,,2020 - 2021,0.69
,,2021 - 2022,0.75
,,2022 - 2023,0.94
,Pratapgarh,2010 - 2011,0.31
,,2011 - 2012,0.5
,,2012 - 2013,1.0
,,2014 - 2015,1.0
,,2017 - 2018,0.0
,,2018 - 2019,1.25
,,2022 - 2023,1.0
,Rajsamand,2000 - 2001,0.0
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,0.5
,,2015 - 2016,3.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Sawai madhopur,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2005 - 2006,1.0
,,2007 - 2008,0.88
,,2008 - 2009,0.5
,,2011 - 2012,1.0
,Sikar,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.4
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,0.71
,,2009 - 2010,0.32
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,0.5
,,2013 - 2014,2.0
,,2015 - 2016,1.0
,,2019 - 2020,2.0
,Sirohi,2000 - 2001,0.37
,,2001 - 2002,1.77
,,2002 - 2003,0.17
,,2003 - 2004,1.7
,,2004 - 2005,0.94
,,2005 - 2006,1.7
,,2006 - 2007,1.72
,,2007 - 2008,1.88
,,2008 - 2009,1.48
,,2009 - 2010,0.26
,,2010 - 2011,1.81
,,2011 - 2012,1.99
,,2012 - 2013,2.06
,,2013 - 2014,1.38
,,2014 - 2015,1.84
,,2015 - 2016,1.83
,,2016 - 2017,1.8
,,2017 - 2018,0.49
,,2018 - 2019,1.45
,,2019 - 2020,1.77
,,2020 - 2021,1.81
,,2021 - 2022,1.44
,,2022 - 2023,1.74
,Tonk,2000 - 2001,1.11
,,2001 - 2002,2.33
,,2002 - 2003,0.5
,,2003 - 2004,0.67
,,2004 - 2005,0.59
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.5
,,2009 - 2010,0.0
,,2010 - 2011,0.47
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.56
,,2015 - 2016,0.61
,,2016 - 2017,0.44
,,2017 - 2018,0.53
,,2018 - 2019,0.49
,,2019 - 2020,0.24
,,2020 - 2021,0.79
,,2021 - 2022,0.5
,,2022 - 2023,0.47
,Udaipur,2000 - 2001,0.41
,,2001 - 2002,0.63
,,2002 - 2003,0.47
,,2003 - 2004,0.96
,,2004 - 2005,0.59
,,2005 - 2006,0.53
,,2006 - 2007,0.33
,,2007 - 2008,1.0
,,2008 - 2009,0.93
,,2009 - 2010,0.05
,,2010 - 2011,0.82
,,2011 - 2012,0.53
,,2012 - 2013,0.85
,,2013 - 2014,0.82
,,2014 - 2015,0.86
,,2015 - 2016,0.93
,,2016 - 2017,0.85
,,2017 - 2018,1.0
,,2018 - 2019,0.82
,,2019 - 2020,0.34
,,2020 - 2021,1.15
,,2021 - 2022,1.0
,,2022 - 2023,1.01
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,
,,2012 - 2013,0.22
,,2013 - 2014,0.32
,,2014 - 2015,0.32
,,2015 - 2016,0.32
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.34
,,2019 - 2020,0.33
,,2020 - 2021,0.32
,,2021 - 2022,0.32
,,2022 - 2023,0.31
,Chengalpattu,2020 - 2021,0.0
,Coimbatore,2000 - 2001,0.36
,,2002 - 2003,0.37
,,2003 - 2004,0.37
,,2004 - 2005,0.37
,,2005 - 2006,0.37
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,1.84
,,2011 - 2012,
,,2012 - 2013,0.18
,,2013 - 2014,0.35
,,2014 - 2015,0.38
,,2015 - 2016,0.35
,,2016 - 2017,0.35
,,2017 - 2018,0.4
,,2018 - 2019,0.36
,,2019 - 2020,0.35
,,2020 - 2021,0.33
,,2021 - 2022,0.36
,,2022 - 2023,0.33
,Cuddalore,2000 - 2001,0.51
,,2002 - 2003,0.69
,,2003 - 2004,0.71
,,2004 - 2005,0.67
,,2005 - 2006,0.7
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.37
,,2011 - 2012,
,,2012 - 2013,0.2
,,2013 - 2014,0.67
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2017 - 2018,0.69
,,2018 - 2019,0.69
,,2019 - 2020,0.71
,,2020 - 2021,0.33
,,2021 - 2022,0.67
,,2022 - 2023,0.33
,Dharmapuri,2000 - 2001,0.34
,,2002 - 2003,0.34
,,2003 - 2004,0.34
,,2004 - 2005,0.34
,,2005 - 2006,0.35
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.17
,,2011 - 2012,
,,2012 - 2013,0.06
,,2013 - 2014,0.34
,,2014 - 2015,0.34
,,2015 - 2016,0.34
,,2016 - 2017,0.34
,,2017 - 2018,0.34
,,2018 - 2019,0.34
,,2019 - 2020,0.34
,,2020 - 2021,0.31
,,2021 - 2022,0.34
,,2022 - 2023,0.31
,Dindigul,2000 - 2001,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,
,,2012 - 2013,0.07
,,2013 - 2014,0.37
,,2014 - 2015,0.35
,,2015 - 2016,0.37
,,2016 - 2017,0.35
,,2017 - 2018,0.36
,,2018 - 2019,0.38
,,2019 - 2020,0.36
,,2020 - 2021,0.29
,,2021 - 2022,0.37
,,2022 - 2023,0.3
,Erode,2000 - 2001,0.28
,,2002 - 2003,0.28
,,2003 - 2004,0.28
,,2004 - 2005,0.28
,,2005 - 2006,0.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,0.39
,,2011 - 2012,
,,2012 - 2013,0.1
,,2013 - 2014,0.29
,,2014 - 2015,0.29
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,0.31
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.31
,,2021 - 2022,0.3
,,2022 - 2023,0.31
,Kallakurichi,2019 - 2020,0.31
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,,2022 - 2023,0.5
,Kanchipuram,2000 - 2001,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.25
,,2005 - 2006,0.17
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,0.0
,Kanniyakumari,2005 - 2006,0.31
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,Karur,2000 - 2001,0.31
,,2002 - 2003,0.5
,,2003 - 2004,0.45
,,2004 - 2005,0.43
,,2005 - 2006,0.45
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
