state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Sivasagar,2000 - 2001,0.42
,,2001 - 2002,0.42
,,2002 - 2003,0.38
,,2003 - 2004,0.4
,,2004 - 2005,0.38
,,2005 - 2006,0.44
,,2006 - 2007,0.6
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.6
,,2012 - 2013,0.33
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,0.6
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Sonitpur,2000 - 2001,0.43
,,2001 - 2002,0.43
,,2002 - 2003,0.43
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2005 - 2006,0.42
,,2006 - 2007,0.41
,,2007 - 2008,0.44
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.48
,,2013 - 2014,0.46
,,2014 - 2015,0.36
,,2015 - 2016,0.43
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Tinsukia,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.43
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,0.33
,,2010 - 2011,0.43
,,2011 - 2012,0.57
,,2012 - 2013,0.56
,,2013 - 2014,0.5
,,2014 - 2015,0.6
,,2015 - 2016,0.5
,,2017 - 2018,0.33
,,2018 - 2019,0.5
,Udalguri,2005 - 2006,0.4
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2008 - 2009,0.39
,,2009 - 2010,0.39
,,2010 - 2011,0.43
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2014 - 2015,0.55
,,2015 - 2016,0.42
,,2017 - 2018,0.62
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.5
,,2021 - 2022,0.39
,,2022 - 2023,0.47
,West karbi anglong,2020 - 2021,0.39
,,2021 - 2022,0.39
,,2022 - 2023,0.4
Bihar,Arwal,2011 - 2012,1.0
,,2012 - 2013,1.0
,Aurangabad,2002 - 2003,0.99
,Begusarai,2002 - 2003,1.0
,,2003 - 2004,0.99
,,2004 - 2005,0.94
,,2005 - 2006,0.93
,,2011 - 2012,1.0
,Bhagalpur,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.88
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Gaya,2003 - 2004,1.0
,,2013 - 2014,0.96
,Gopalganj,2022 - 2023,0.97
,Jamui,2002 - 2003,1.0
,Jehanabad,2003 - 2004,1.0
,Katihar,2002 - 2003,1.0
,Khagaria,2003 - 2004,1.0
,,2004 - 2005,0.95
,,2015 - 2016,1.0
,Kishanganj,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.94
,Madhepura,2008 - 2009,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Madhubani,2007 - 2008,0.95
,,2008 - 2009,0.95
,,2010 - 2011,0.96
,,2011 - 2012,0.96
,,2012 - 2013,0.96
,,2013 - 2014,0.95
,,2014 - 2015,0.95
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Nalanda,2014 - 2015,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Nawada,2005 - 2006,0.94
,Patna,2002 - 2003,1.0
,,2004 - 2005,0.91
,Purbi champaran,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,Rohtas,2004 - 2005,1.0
,Samastipur,2002 - 2003,0.96
,,2003 - 2004,1.0
,,2004 - 2005,0.92
,,2005 - 2006,0.92
,,2007 - 2008,0.96
,,2008 - 2009,1.0
,,2013 - 2014,0.96
,,2015 - 2016,0.96
,Sitamarhi,2016 - 2017,0.95
,,2018 - 2019,0.96
,,2019 - 2020,0.96
,,2020 - 2021,0.97
,,2021 - 2022,0.97
,,2022 - 2023,0.97
,Siwan,2005 - 2006,1.0
,Vaishali,2003 - 2004,1.0
,,2004 - 2005,1.0
Chhattisgarh,Baloda bazar,2011 - 2012,0.33
,,2017 - 2018,0.33
,Balrampur,2019 - 2020,0.43
,Bastar,2000 - 2001,0.43
,,2001 - 2002,0.27
,,2002 - 2003,0.33
,,2003 - 2004,0.4
,,2004 - 2005,0.33
,,2005 - 2006,0.36
,,2006 - 2007,0.33
,,2007 - 2008,0.25
,,2008 - 2009,0.33
,,2009 - 2010,0.2
,,2010 - 2011,0.4
,,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.33
,,2018 - 2019,0.33
,Bemetara,2012 - 2013,0.32
,Bilaspur,2001 - 2002,0.2
,,2002 - 2003,0.29
,,2003 - 2004,0.27
,,2004 - 2005,0.27
,,2005 - 2006,0.26
,,2006 - 2007,0.33
,,2007 - 2008,0.29
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.35
,,2016 - 2017,0.28
,Dantewada,2000 - 2001,0.0
,,2002 - 2003,0.0
,,2004 - 2005,0.35
,Dhamtari,2004 - 2005,0.25
,,2005 - 2006,0.0
,,2006 - 2007,0.33
,,2007 - 2008,0.27
,,2009 - 2010,0.38
,,2010 - 2011,0.33
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,
,,2015 - 2016,
,Durg,2000 - 2001,0.3
,,2001 - 2002,0.3
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,0.36
,,2006 - 2007,0.38
,,2007 - 2008,0.42
,,2008 - 2009,0.33
,,2009 - 2010,0.29
,,2010 - 2011,0.5
,,2018 - 2019,0.44
,Gariyaband,2011 - 2012,0.67
,,2013 - 2014,
,,2015 - 2016,
,,2020 - 2021,1.0
,Janjgir-champa,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.24
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.3
,,2008 - 2009,0.32
,,2009 - 2010,0.3
,,2010 - 2011,0.33
,,2011 - 2012,0.3
,,2012 - 2013,0.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.29
,,2017 - 2018,0.33
,,2018 - 2019,0.33
,,2019 - 2020,0.0
,Kabirdham,2000 - 2001,0.29
,,2001 - 2002,0.28
,,2003 - 2004,0.36
,,2007 - 2008,0.39
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,0.0
,Kanker,2003 - 2004,0.33
,Kondagaon,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.0
,Mahasamund,2019 - 2020,0.0
,Mungeli,2011 - 2012,0.25
,,2012 - 2013,0.4
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.2
,Raigarh,2002 - 2003,0.0
,,2003 - 2004,1.0
,,2019 - 2020,1.0
,Raipur,2000 - 2001,0.27
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.28
,,2004 - 2005,0.28
,,2005 - 2006,0.27
,,2006 - 2007,0.29
,,2007 - 2008,0.3
,,2008 - 2009,0.33
,,2009 - 2010,0.22
,,2010 - 2011,0.33
,Rajnandgaon,2001 - 2002,0.0
,,2002 - 2003,0.33
,,2003 - 2004,0.38
,,2004 - 2005,0.5
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2018 - 2019,0.33
,Surguja,2006 - 2007,0.0
,,2007 - 2008,5.0
