state,district,year,guar_seed_whole_year_yield_tonne_per_hectare
,,2017 - 2018,0.38
,,2018 - 2019,0.27
,,2019 - 2020,0.3
,,2020 - 2021,0.27
,,2021 - 2022,0.32
,,2022 - 2023,0.56
,Bundi,2000 - 2001,0.1
,,2001 - 2002,0.67
,,2002 - 2003,0.19
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.47
,,2006 - 2007,0.86
,,2007 - 2008,1.28
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.52
,,2011 - 2012,0.6
,,2012 - 2013,0.45
,,2013 - 2014,0.56
,,2014 - 2015,0.59
,,2015 - 2016,0.46
,,2016 - 2017,1.2
,,2017 - 2018,0.37
,,2018 - 2019,0.33
,,2019 - 2020,0.45
,,2020 - 2021,0.46
,,2021 - 2022,0.42
,,2022 - 2023,0.54
,Chittorgarh,2000 - 2001,0.24
,,2001 - 2002,5.01
,,2002 - 2003,0.14
,,2003 - 2004,0.0
,,2004 - 2005,0.65
,,2005 - 2006,0.83
,,2006 - 2007,0.99
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.32
,,2010 - 2011,0.44
,,2011 - 2012,0.78
,,2012 - 2013,0.65
,,2013 - 2014,0.89
,,2014 - 2015,0.77
,,2015 - 2016,0.53
,,2016 - 2017,0.48
,,2017 - 2018,0.66
,,2018 - 2019,0.33
,,2019 - 2020,0.45
,,2020 - 2021,0.91
,,2021 - 2022,0.7
,,2022 - 2023,0.78
,Churu,2000 - 2001,0.07
,,2001 - 2002,0.17
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.05
,,2005 - 2006,0.09
,,2006 - 2007,0.05
,,2007 - 2008,0.19
,,2008 - 2009,0.2
,,2009 - 2010,0.0
,,2010 - 2011,0.38
,,2011 - 2012,0.51
,,2012 - 2013,0.2
,,2013 - 2014,0.4
,,2014 - 2015,0.43
,,2015 - 2016,0.22
,,2016 - 2017,0.29
,,2017 - 2018,0.3
,,2018 - 2019,0.32
,,2019 - 2020,0.34
,,2020 - 2021,0.44
,,2021 - 2022,0.49
,,2022 - 2023,0.48
,Dausa,2000 - 2001,0.21
,,2001 - 2002,0.78
,,2002 - 2003,0.1
,,2003 - 2004,0.0
,,2004 - 2005,0.71
,,2005 - 2006,0.75
,,2006 - 2007,0.81
,,2007 - 2008,0.92
,,2008 - 2009,0.62
,,2009 - 2010,0.42
,,2010 - 2011,0.89
,,2011 - 2012,0.85
,,2012 - 2013,1.05
,,2013 - 2014,1.06
,,2014 - 2015,0.97
,,2015 - 2016,0.77
,,2016 - 2017,1.05
,,2017 - 2018,0.87
,,2018 - 2019,1.06
,,2019 - 2020,1.15
,,2020 - 2021,1.14
,,2021 - 2022,1.2
,,2022 - 2023,1.15
,Dholpur,2000 - 2001,0.81
,,2001 - 2002,0.81
,,2002 - 2003,0.18
,,2003 - 2004,0.0
,,2004 - 2005,1.4
,,2005 - 2006,1.3
,,2006 - 2007,1.3
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.52
,,2011 - 2012,0.6
,,2012 - 2013,0.45
,,2013 - 2014,0.56
,,2014 - 2015,0.59
,,2015 - 2016,0.46
,,2016 - 2017,1.29
,,2017 - 2018,1.1
,,2018 - 2019,1.25
,,2019 - 2020,0.45
,,2020 - 2021,0.46
,,2021 - 2022,0.42
,,2022 - 2023,0.55
