state,district,year,urad_rabi_yield_tonne_per_hectare
,,2017 - 2018,0.76
,,2018 - 2019,1.21
,,2019 - 2020,1.27
,,2020 - 2021,1.27
,,2021 - 2022,1.19
,,2022 - 2023,1.19
Assam,Baksa,2005 - 2006,0.55
,,2006 - 2007,0.51
,,2007 - 2008,0.47
,,2008 - 2009,0.58
,,2009 - 2010,0.59
,,2010 - 2011,0.51
,,2011 - 2012,0.54
,,2012 - 2013,0.52
,,2013 - 2014,0.57
,,2014 - 2015,0.63
,,2015 - 2016,0.69
,,2016 - 2017,0.66
,,2017 - 2018,0.63
,,2018 - 2019,0.63
,,2019 - 2020,0.53
,,2020 - 2021,0.66
,,2021 - 2022,0.93
,,2022 - 2023,0.81
,Barpeta,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.53
,,2004 - 2005,0.59
,,2005 - 2006,0.55
,,2006 - 2007,0.54
,,2007 - 2008,0.8
,,2008 - 2009,0.57
,,2009 - 2010,0.6
,,2010 - 2011,0.58
,,2011 - 2012,0.41
,,2012 - 2013,0.62
,,2013 - 2014,0.51
,,2014 - 2015,0.73
,,2015 - 2016,0.76
,,2016 - 2017,0.62
,,2017 - 2018,0.66
,,2018 - 2019,0.71
,,2019 - 2020,0.72
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.59
,Biswanath,2020 - 2021,0.76
,,2021 - 2022,0.61
,,2022 - 2023,0.74
,Bongaigaon,2001 - 2002,0.49
,,2002 - 2003,0.53
,,2003 - 2004,0.45
,,2004 - 2005,0.73
,,2005 - 2006,0.45
,,2006 - 2007,0.49
,,2007 - 2008,0.53
,,2008 - 2009,0.7
,,2009 - 2010,0.56
,,2010 - 2011,0.54
,,2011 - 2012,0.77
,,2012 - 2013,0.41
,,2013 - 2014,0.48
,,2014 - 2015,0.6
,,2015 - 2016,0.68
,,2016 - 2017,0.69
,,2017 - 2018,0.66
,,2018 - 2019,0.59
,,2019 - 2020,0.95
,,2020 - 2021,0.89
,,2021 - 2022,0.8
,,2022 - 2023,0.68
,Cachar,2001 - 2002,0.56
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.58
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Charaideo,2020 - 2021,0.66
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Chirang,2005 - 2006,0.34
,,2006 - 2007,0.51
,,2007 - 2008,0.74
,,2008 - 2009,0.59
,,2009 - 2010,0.27
,,2010 - 2011,0.47
,,2011 - 2012,0.48
,,2012 - 2013,0.35
,,2013 - 2014,0.49
,,2014 - 2015,0.42
,,2015 - 2016,0.5
,,2016 - 2017,0.6
,,2017 - 2018,0.49
,,2018 - 2019,0.59
,,2019 - 2020,0.36
,,2020 - 2021,0.38
,,2021 - 2022,0.54
,,2022 - 2023,1.06
,Darrang,2001 - 2002,0.57
,,2002 - 2003,0.5
,,2003 - 2004,0.56
,,2004 - 2005,0.86
,,2005 - 2006,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.34
,,2008 - 2009,0.4
,,2009 - 2010,0.43
,,2010 - 2011,0.34
,,2011 - 2012,0.34
,,2012 - 2013,0.39
,,2013 - 2014,0.55
,,2014 - 2015,0.53
,,2015 - 2016,0.67
,,2016 - 2017,0.64
,,2017 - 2018,0.69
,,2018 - 2019,0.79
,,2019 - 2020,0.81
,,2020 - 2021,0.75
,,2021 - 2022,0.86
,,2022 - 2023,0.69
,Dhemaji,2001 - 2002,0.54
,,2002 - 2003,0.46
,,2003 - 2004,0.43
,,2004 - 2005,0.58
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.42
,,2008 - 2009,1.02
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Dhubri,2001 - 2002,0.61
,,2002 - 2003,0.46
,,2003 - 2004,0.52
,,2004 - 2005,0.45
,,2005 - 2006,0.47
,,2006 - 2007,0.49
,,2007 - 2008,0.46
,,2008 - 2009,0.58
,,2009 - 2010,0.63
,,2010 - 2011,0.63
,,2011 - 2012,0.64
,,2012 - 2013,0.64
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.66
,,2016 - 2017,0.74
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.81
,,2021 - 2022,0.72
,,2022 - 2023,0.81
,Dibrugarh,2001 - 2002,0.44
,,2002 - 2003,0.45
,,2003 - 2004,1.05
,,2004 - 2005,0.62
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.66
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Dima hasao,2001 - 2002,0.55
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.58
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Goalpara,2001 - 2002,0.53
,,2002 - 2003,0.47
,,2003 - 2004,0.59
,,2004 - 2005,0.62
,,2005 - 2006,0.53
,,2006 - 2007,0.47
,,2007 - 2008,0.54
,,2008 - 2009,0.59
,,2009 - 2010,0.57
,,2010 - 2011,0.63
,,2011 - 2012,0.73
,,2012 - 2013,0.51
,,2013 - 2014,0.66
,,2014 - 2015,0.4
,,2015 - 2016,0.64
,,2016 - 2017,0.59
,,2017 - 2018,0.57
,,2018 - 2019,0.45
,,2019 - 2020,0.47
,,2020 - 2021,0.68
,,2021 - 2022,0.76
,,2022 - 2023,0.43
,Golaghat,2001 - 2002,0.59
,,2002 - 2003,0.47
,,2003 - 2004,0.52
,,2004 - 2005,0.37
,,2005 - 2006,0.53
,,2006 - 2007,0.65
,,2007 - 2008,0.47
,,2008 - 2009,0.56
,,2009 - 2010,0.37
,,2010 - 2011,0.58
,,2011 - 2012,0.56
,,2012 - 2013,0.53
,,2013 - 2014,0.58
,,2014 - 2015,0.6
,,2015 - 2016,0.65
,,2016 - 2017,0.65
,,2017 - 2018,0.61
,,2018 - 2019,0.66
,,2019 - 2020,0.5
,,2020 - 2021,0.45
,,2021 - 2022,0.6
,,2022 - 2023,0.76
,Hailakandi,2001 - 2002,0.56
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.57
,,2005 - 2006,0.49
,,2006 - 2007,0.51
,,2007 - 2008,0.53
,,2008 - 2009,0.58
,,2009 - 2010,0.57
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.65
,,2015 - 2016,0.66
,,2016 - 2017,0.68
,,2017 - 2018,0.65
,,2018 - 2019,0.67
,,2019 - 2020,0.6
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Hojai,2020 - 2021,0.91
,,2021 - 2022,0.7
,,2022 - 2023,0.77
,Jorhat,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.27
,,2004 - 2005,0.34
,,2005 - 2006,0.35
,,2006 - 2007,0.35
,,2007 - 2008,0.36
,,2008 - 2009,0.46
,,2009 - 2010,0.43
,,2010 - 2011,0.3
,,2011 - 2012,0.41
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.35
,,2015 - 2016,0.36
,,2016 - 2017,0.42
,,2017 - 2018,0.42
,,2018 - 2019,0.4
,,2019 - 2020,0.37
,,2020 - 2021,0.41
,,2021 - 2022,0.74
,,2022 - 2023,0.53
,Kamrup,2001 - 2002,0.67
,,2002 - 2003,0.58
,,2003 - 2004,0.58
,,2004 - 2005,0.67
,,2005 - 2006,0.66
,,2006 - 2007,0.55
,,2007 - 2008,0.6
,,2008 - 2009,0.61
,,2009 - 2010,0.7
,,2010 - 2011,0.72
,,2011 - 2012,0.51
,,2012 - 2013,0.56
,,2013 - 2014,0.54
,,2014 - 2015,0.49
,,2015 - 2016,0.69
,,2016 - 2017,0.69
,,2017 - 2018,0.67
,,2018 - 2019,0.62
,,2019 - 2020,0.66
