State,District,Year,Wheat,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,108,171,1.58,,,,,,,,,,,,
,,2021 - 2022,110,175,1.59,,,,,,,,,,,,
,,2022 - 2023,110,175,1.59,,,,,,,,,,,,
,16. Upper siang,2001 - 2002,300,510,1.7,,,,,,,,,,,,
,17. Upper subansiri,2000 - 2001,300,300,1,,,,,,,,,,,,
,,2001 - 2002,60,75,1.25,,,,,,,,,,,,
,,2002 - 2003,18,22,1.22,,,,,,,,,,,,
,,2003 - 2004,23,27,1.17,,,,,,,,,,,,
,,2004 - 2005,24,28,1.17,,,,,,,,,,,,
,,2005 - 2006,37,43,1.16,,,,,,,,,,,,
,,2006 - 2007,37,43,1.16,,,,,,,,,,,,
,,2007 - 2008,30,45,1.5,,,,,,,,,,,,
,18. West kameng,2000 - 2001,678,766,1.13,,,,,,,,,,,,
,,2001 - 2002,410,385,0.94,,,,,,,,,,,,
,,2002 - 2003,268,380,1.42,,,,,,,,,,,,
,,2003 - 2004,679,767,1.13,,,,,,,,,,,,
,,2004 - 2005,676,764,1.13,,,,,,,,,,,,
,,2005 - 2006,676,764,1.13,,,,,,,,,,,,
,,2006 - 2007,589,673,1.14,,,,,,,,,,,,
,,2007 - 2008,589,673,1.14,,,,,,,,,,,,
,,2008 - 2009,601,717,1.19,,,,,,,,,,,,
,,2009 - 2010,686,785,1.14,,,,,,,,,,,,
,,2010 - 2011,685,790,1.15,,,,,,,,,,,,
,,2011 - 2012,685,874,1.28,,,,,,,,,,,,
,,2012 - 2013,685,790,1.15,,,,,,,,,,,,
,,2013 - 2014,696,805,1.16,,,,,,,,,,,,
,,2014 - 2015,789,"1,139.00",1.44,,,,,,,,,,,,
