State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,5. Cachar,2001 - 2002,,,,360,189,0.53,,,,,,
,,2002 - 2003,,,,380,200,0.53,,,,,,
,,2003 - 2004,,,,418,219,0.52,,,,,,
,,2004 - 2005,,,,564,339,0.6,,,,,,
,,2005 - 2006,,,,544,324,0.6,,,,,,
,,2006 - 2007,,,,585,336,0.57,,,,,,
,,2007 - 2008,,,,446,259,0.58,,,,,,
,,2008 - 2009,,,,380,224,0.59,,,,,,
,,2009 - 2010,,,,428,250,0.58,,,,,,
,,2010 - 2011,,,,360,211,0.59,,,,,,
,,2011 - 2012,,,,365,219,0.6,,,,,,
,,2012 - 2013,,,,378,232,0.61,,,,,,
,,2013 - 2014,,,,498,332,0.67,,,,,,
,,2014 - 2015,,,,422,353,0.84,,,,,,
,,2015 - 2016,,,,406,305,0.75,,,,,,
,,2016 - 2017,,,,422,317,0.75,,,,,,
,,2017 - 2018,,,,444,336,0.76,,,,,,
,,2018 - 2019,,,,445,349,0.78,,,,,,
,,2019 - 2020,,,,408,476,1.17,,,,,,
,,2020 - 2021,,,,398,92,0.23,,,,,,
,,2021 - 2022,,,,401,146,0.36,,,,,,
,,2022 - 2023,,,,829,291,0.35,,,,,,
,6. Charaideo,2020 - 2021,,,,74,48,0.65,,,,,,
,,2021 - 2022,,,,85,55,0.65,,,,,,
,,2022 - 2023,,,,108,70,0.65,,,,,,
,7. Chirang,2005 - 2006,,,,313,232,0.74,,,,,,
,,2006 - 2007,,,,348,258,0.74,,,,,,
,,2007 - 2008,,,,352,268,0.76,,,,,,
,,2008 - 2009,,,,365,273,0.75,,,,,,
,,2009 - 2010,,,,355,266,0.75,,,,,,
,,2010 - 2011,,,,317,242,0.76,,,,,,
,,2011 - 2012,,,,249,192,0.77,,,,,,
,,2012 - 2013,,,,241,194,0.8,,,,,,
,,2013 - 2014,,,,397,272,0.69,,,,,,
,,2014 - 2015,,,,419,458,1.09,,,,,,
,,2015 - 2016,,,,205,189,0.92,,,,,,
