State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,"5,721.00","5,218.00",0.91,,,,,,
,,2016 - 2017,,,,"6,337.00","9,278.00",1.46,,,,,,
,,2017 - 2018,,,,"5,601.00","5,724.00",1.02,,,,,,
,,2018 - 2019,,,,"6,434.00","8,287.00",1.29,,,,,,
,,2019 - 2020,,,,"6,337.00","8,865.00",1.4,,,,,,
,,2020 - 2021,,,,"6,242.00","7,334.00",1.17,,,,,,
,,2021 - 2022,,,,"6,911.00","12,571.00",1.82,,,,,,
,,2022 - 2023,,,,"7,574.00","11,444.00",1.51,,,,,,
,9. Baghpat,2000 - 2001,,,,102,105,1.03,,,,,,
,,2001 - 2002,,,,97,117,1.21,,,,,,
,,2002 - 2003,,,,51,63,1.24,,,,,,
,,2003 - 2004,,,,64,88,1.38,,,,,,
,,2010 - 2011,,,,24,28,1.17,,,,,,
,,2011 - 2012,,,,7,10,1.43,,,,,,
,,2012 - 2013,,,,8,12,1.5,,,,,,
,,2013 - 2014,,,,13,13,1,,,,,,
,,2014 - 2015,,,,14,11,0.79,,,,,,
,,2015 - 2016,,,,18,18,1,,,,,,
,,2016 - 2017,,,,13,18,1.38,,,,,,
,,2017 - 2018,,,,90,132,1.47,,,,,,
,,2018 - 2019,,,,10,16,1.6,,,,,,
,,2019 - 2020,,,,5,8,1.6,,,,,,
,,2020 - 2021,,,,13,20,1.54,,,,,,
,,2021 - 2022,,,,136,221,1.63,,,,,,
,,2022 - 2023,,,,149,231,1.55,,,,,,
,10. Bahraich,2000 - 2001,,,,"1,389.00","1,371.00",0.99,,,,,,
,,2001 - 2002,,,,"1,523.00","1,631.00",1.07,,,,,,
,,2002 - 2003,,,,"2,598.00","1,922.00",0.74,,,,,,
,,2003 - 2004,,,,"1,633.00","2,241.00",1.37,,,,,,
,,2008 - 2009,,,,"1,682.00","2,030.00",1.21,,,,,,
,,2009 - 2010,,,,"1,090.00","1,399.00",1.28,,,,,,
,,2010 - 2011,,,,"1,404.00","1,635.00",1.16,,,,,,
,,2011 - 2012,,,,"1,988.00","2,847.00",1.43,,,,,,
,,2012 - 2013,,,,"1,243.00","1,857.00",1.49,,,,,,
,,2013 - 2014,,,,"1,276.00","1,266.00",0.99,,,,,,
,,2014 - 2015,,,,"1,364.00","1,030.00",0.76,,,,,,
,,2015 - 2016,,,,"1,193.00","1,187.00",0.99,,,,,,
,,2016 - 2017,,,,"1,587.00","2,185.00",1.38,,,,,,
,,2017 - 2018,,,,"1,194.00","1,754.00",1.47,,,,,,
,,2018 - 2019,,,,"1,162.00","1,880.00",1.62,,,,,,
,,2019 - 2020,,,,"1,409.00","2,318.00",1.65,,,,,,
,,2020 - 2021,,,,"1,306.00","2,032.00",1.56,,,,,,
,,2021 - 2022,,,,"1,488.00","2,421.00",1.63,,,,,,
,,2022 - 2023,,,,"1,630.00","2,525.00",1.55,,,,,,
,11. Ballia,2000 - 2001,,,,"2,138.00","2,963.00",1.39,,,,,,
,,2001 - 2002,,,,"2,289.00","2,248.00",0.98,,,,,,
,,2002 - 2003,,,,"2,228.00","2,201.00",0.99,,,,,,
,,2003 - 2004,,,,"2,487.00","2,975.00",1.2,,,,,,
,,2008 - 2009,,,,"2,161.00","2,714.00",1.26,,,,,,
,,2009 - 2010,,,,"3,294.00","3,982.00",1.21,,,,,,
,,2010 - 2011,,,,"2,922.00","3,708.00",1.27,,,,,,
,,2011 - 2012,,,,"5,116.00","6,973.00",1.36,,,,,,
,,2012 - 2013,,,,"3,041.00","4,504.00",1.48,,,,,,
,,2013 - 2014,,,,"2,888.00","1,643.00",0.57,,,,,,
,,2014 - 2015,,,,756,544,0.72,,,,,,
,,2015 - 2016,,,,973,887,0.91,,,,,,
,,2016 - 2017,,,,"2,843.00","4,162.00",1.46,,,,,,
,,2017 - 2018,,,,"2,886.00","4,915.00",1.7,,,,,,
,,2018 - 2019,,,,"2,907.00","6,209.00",2.14,,,,,,
,,2019 - 2020,,,,"2,779.00","5,625.00",2.02,,,,,,
,,2020 - 2021,,,,"2,844.00","6,262.00",2.2,,,,,,
,,2021 - 2022,,,,"3,104.00","4,417.00",1.42,,,,,,
,,2022 - 2023,,,,"3,840.00","5,676.00",1.48,,,,,,
,12. Balrampur,2000 - 2001,,,,"2,366.00","2,335.00",0.99,,,,,,
,,2001 - 2002,,,,"2,307.00","2,471.00",1.07,,,,,,
,,2002 - 2003,,,,"2,270.00","1,680.00",0.74,,,,,,
,,2003 - 2004,,,,"1,833.00","2,515.00",1.37,,,,,,
,,2008 - 2009,,,,"2,208.00","2,665.00",1.21,,,,,,
,,2009 - 2010,,,,"1,526.00","1,958.00",1.28,,,,,,
,,2010 - 2011,,,,"1,180.00","1,375.00",1.17,,,,,,
,,2011 - 2012,,,,"1,565.00","2,241.00",1.43,,,,,,
,,2012 - 2013,,,,"1,776.00","2,653.00",1.49,,,,,,
,,2013 - 2014,,,,"1,897.00","1,882.00",0.99,,,,,,
,,2014 - 2015,,,,"1,756.00","1,325.00",0.75,,,,,,
,,2015 - 2016,,,,"1,496.00","1,489.00",1,,,,,,
,,2016 - 2017,,,,"1,789.00","2,463.00",1.38,,,,,,
,,2017 - 2018,,,,"1,749.00","2,569.00",1.47,,,,,,
,,2018 - 2019,,,,"1,616.00","2,615.00",1.62,,,,,,
,,2019 - 2020,,,,"1,720.00","2,829.00",1.64,,,,,,
,,2020 - 2021,,,,"1,676.00","2,608.00",1.56,,,,,,
,,2021 - 2022,,,,"1,739.00","2,829.00",1.63,,,,,,
,,2022 - 2023,,,,"2,021.00","3,131.00",1.55,,,,,,
,13. Banda,2000 - 2001,,,,965,583,0.6,,,,,,
,,2001 - 2002,,,,960,"1,022.00",1.06,,,,,,
,,2002 - 2003,,,,"1,179.00","1,053.00",0.89,,,,,,
,,2003 - 2004,,,,"1,825.00","1,916.00",1.05,,,,,,
,,2008 - 2009,,,,"2,303.00","3,234.00",1.4,,,,,,
,,2009 - 2010,,,,"1,314.00","1,188.00",0.9,,,,,,
,,2010 - 2011,,,,"1,727.00","1,045.00",0.61,,,,,,
,,2011 - 2012,,,,"1,432.00","1,400.00",0.98,,,,,,
,,2012 - 2013,,,,"2,199.00","2,214.00",1.01,,,,,,
,,2013 - 2014,,,,"3,351.00","1,850.00",0.55,,,,,,
,,2014 - 2015,,,,"7,530.00","5,007.00",0.66,,,,,,
,,2015 - 2016,,,,"6,724.00","3,470.00",0.52,,,,,,
,,2016 - 2017,,,,"3,433.00","3,817.00",1.11,,,,,,
,,2017 - 2018,,,,"1,543.00","1,478.00",0.96,,,,,,
,,2018 - 2019,,,,"1,808.00","2,298.00",1.27,,,,,,
,,2019 - 2020,,,,"4,685.00","6,700.00",1.43,,,,,,
,,2020 - 2021,,,,"3,322.00","4,724.00",1.42,,,,,,
,,2021 - 2022,,,,"2,857.00","3,080.00",1.08,,,,,,
,,2022 - 2023,,,,"4,185.00","5,809.00",1.39,,,,,,
,14. Barabanki,2000 - 2001,,,,"3,893.00","3,935.00",1.01,,,,,,
,,2001 - 2002,,,,"3,645.00","3,103.00",0.85,,,,,,
,,2002 - 2003,,,,"3,409.00","2,704.00",0.79,,,,,,
,,2003 - 2004,,,,"3,800.00","3,681.00",0.97,,,,,,
,,2008 - 2009,,,,"2,579.00","3,113.00",1.21,,,,,,
,,2009 - 2010,,,,"2,942.00","3,776.00",1.28,,,,,,
,,2010 - 2011,,,,"2,750.00","3,278.00",1.19,,,,,,
,,2011 - 2012,,,,"2,772.00","2,999.00",1.08,,,,,,
,,2012 - 2013,,,,"2,684.00","2,324.00",0.87,,,,,,
,,2013 - 2014,,,,"2,697.00",685,0.25,,,,,,
,,2014 - 2015,,,,"2,665.00","1,727.00",0.65,,,,,,
,,2015 - 2016,,,,"2,198.00","2,187.00",0.99,,,,,,
,,2016 - 2017,,,,"2,409.00","1,465.00",0.61,,,,,,
,,2017 - 2018,,,,"2,685.00","3,944.00",1.47,,,,,,
,,2018 - 2019,,,,"2,809.00","4,545.00",1.62,,,,,,
,,2019 - 2020,,,,"2,552.00","4,198.00",1.64,,,,,,
,,2020 - 2021,,,,"2,740.00","4,263.00",1.56,,,,,,
,,2021 - 2022,,,,"3,561.00","5,794.00",1.63,,,,,,
,,2022 - 2023,,,,"3,992.00","5,780.00",1.45,,,,,,
,15. Bareilly,2000 - 2001,,,,"1,173.00","2,168.00",1.85,,,,,,
,,2001 - 2002,,,,"1,833.00","2,944.00",1.61,,,,,,
,,2002 - 2003,,,,"1,460.00","1,794.00",1.23,,,,,,
,,2003 - 2004,,,,"1,171.00","1,606.00",1.37,,,,,,
,,2008 - 2009,,,,699,844,1.21,,,,,,
,,2009 - 2010,,,,"1,248.00","1,602.00",1.28,,,,,,
,,2010 - 2011,,,,"1,130.00","2,446.00",2.16,,,,,,
,,2011 - 2012,,,,"1,732.00","3,010.00",1.74,,,,,,
,,2012 - 2013,,,,"1,206.00","2,559.00",2.12,,,,,,
,,2013 - 2014,,,,822,"1,774.00",2.16,,,,,,
,,2014 - 2015,,,,"2,882.00","2,824.00",0.98,,,,,,
,,2015 - 2016,,,,374,370,0.99,,,,,,
,,2016 - 2017,,,,"2,106.00","2,900.00",1.38,,,,,,
,,2017 - 2018,,,,"1,928.00","4,544.00",2.36,,,,,,
,,2018 - 2019,,,,"2,146.00","5,893.00",2.75,,,,,,
,,2019 - 2020,,,,"3,532.00","6,245.00",1.77,,,,,,
,,2020 - 2021,,,,"2,056.00","6,209.00",3.02,,,,,,
,,2021 - 2022,,,,"7,433.00","12,153.00",1.64,,,,,,
,,2022 - 2023,,,,"8,133.00","7,832.00",0.96,,,,,,
,16. Basti,2000 - 2001,,,,"7,617.00","8,537.00",1.12,,,,,,
,,2001 - 2002,,,,"6,954.00","5,584.00",0.8,,,,,,
,,2002 - 2003,,,,"6,762.00","5,917.00",0.88,,,,,,
,,2003 - 2004,,,,"6,697.00","4,768.00",0.71,,,,,,
,,2008 - 2009,,,,"5,084.00","6,136.00",1.21,,,,,,
,,2009 - 2010,,,,"5,385.00","6,911.00",1.28,,,,,,
,,2010 - 2011,,,,"5,476.00","6,380.00",1.17,,,,,,
,,2011 - 2012,,,,"4,783.00","6,849.00",1.43,,,,,,
,,2012 - 2013,,,,"4,326.00","6,463.00",1.49,,,,,,
,,2013 - 2014,,,,"3,368.00","3,341.00",0.99,,,,,,
,,2014 - 2015,,,,"4,669.00","3,525.00",0.75,,,,,,
,,2015 - 2016,,,,"2,952.00","2,937.00",0.99,,,,,,
,,2016 - 2017,,,,"4,311.00","4,766.00",1.11,,,,,,
,,2017 - 2018,,,,"4,262.00","5,856.00",1.37,,,,,,
,,2018 - 2019,,,,"4,222.00","3,323.00",0.79,,,,,,
,,2019 - 2020,,,,"4,384.00","3,893.00",0.89,,,,,,
,,2020 - 2021,,,,"4,390.00","4,460.00",1.02,,,,,,
,,2021 - 2022,,,,"4,976.00","5,016.00",1.01,,,,,,
,,2022 - 2023,,,,"5,446.00","6,089.00",1.12,,,,,,
,17. Bijnor,2000 - 2001,,,,357,368,1.03,,,,,,
,,2001 - 2002,,,,294,355,1.21,,,,,,
,,2002 - 2003,,,,209,257,1.23,,,,,,
,,2003 - 2004,,,,155,213,1.37,,,,,,
,,2008 - 2009,,,,148,179,1.21,,,,,,
,,2009 - 2010,,,,113,145,1.28,,,,,,
,,2010 - 2011,,,,91,106,1.16,,,,,,
,,2011 - 2012,,,,92,152,1.65,,,,,,
,,2012 - 2013,,,,89,114,1.28,,,,,,
,,2013 - 2014,,,,209,209,1,,,,,,
,,2014 - 2015,,,,51,49,0.96,,,,,,
,,2015 - 2016,,,,24,21,0.88,,,,,,
,,2016 - 2017,,,,70,67,0.96,,,,,,
,,2017 - 2018,,,,156,148,0.95,,,,,,
,,2018 - 2019,,,,38,39,1.03,,,,,,
,,2019 - 2020,,,,99,121,1.22,,,,,,
,,2020 - 2021,,,,82,90,1.1,,,,,,
,,2021 - 2022,,,,54,249,4.61,,,,,,
,,2022 - 2023,,,,59,91,1.54,,,,,,
,18. Budaun,2000 - 2001,,,,"2,272.00","4,199.00",1.85,,,,,,
,,2001 - 2002,,,,"2,274.00","3,652.00",1.61,,,,,,
,,2002 - 2003,,,,"1,904.00","2,340.00",1.23,,,,,,
,,2003 - 2004,,,,"1,164.00","1,597.00",1.37,,,,,,
,,2008 - 2009,,,,579,699,1.21,,,,,,
,,2009 - 2010,,,,836,"1,073.00",1.28,,,,,,
,,2010 - 2011,,,,"1,272.00","2,754.00",2.17,,,,,,
,,2011 - 2012,,,,890,"1,547.00",1.74,,,,,,
,,2012 - 2013,,,,879,"1,865.00",2.12,,,,,,
,,2013 - 2014,,,,903,"1,948.00",2.16,,,,,,
,,2014 - 2015,,,,"1,078.00","1,057.00",0.98,,,,,,
,,2015 - 2016,,,,957,947,0.99,,,,,,
,,2016 - 2017,,,,819,"1,127.00",1.38,,,,,,
,,2017 - 2018,,,,"1,149.00","2,708.00",2.36,,,,,,
,,2018 - 2019,,,,817,"2,243.00",2.75,,,,,,
,,2019 - 2020,,,,803,"1,420.00",1.77,,,,,,
,,2020 - 2021,,,,933,"2,818.00",3.02,,,,,,
,,2021 - 2022,,,,"1,026.00","1,678.00",1.64,,,,,,
,,2022 - 2023,,,,882,849,0.96,,,,,,
,19. Bulandshahr,2000 - 2001,,,,841,868,1.03,,,,,,
,,2001 - 2002,,,,873,"1,055.00",1.21,,,,,,
,,2002 - 2003,,,,871,"1,070.00",1.23,,,,,,
,,2003 - 2004,,,,870,"1,193.00",1.37,,,,,,
,,2008 - 2009,,,,430,519,1.21,,,,,,
,,2009 - 2010,,,,682,875,1.28,,,,,,
,,2010 - 2011,,,,666,776,1.17,,,,,,
,,2011 - 2012,,,,457,654,1.43,,,,,,
,,2012 - 2013,,,,381,569,1.49,,,,,,
,,2013 - 2014,,,,434,431,0.99,,,,,,
,,2014 - 2015,,,,390,294,0.75,,,,,,
,,2015 - 2016,,,,247,246,1,,,,,,
,,2016 - 2017,,,,533,734,1.38,,,,,,
,,2017 - 2018,,,,752,"1,105.00",1.47,,,,,,
,,2018 - 2019,,,,613,992,1.62,,,,,,
,,2019 - 2020,,,,448,737,1.65,,,,,,
,,2020 - 2021,,,,"1,049.00","1,632.00",1.56,,,,,,
,,2021 - 2022,,,,530,862,1.63,,,,,,
,,2022 - 2023,,,,581,900,1.55,,,,,,
,20. Chandauli,2000 - 2001,,,,"1,192.00","1,414.00",1.19,,,,,,
,,2001 - 2002,,,,"2,550.00","2,068.00",0.81,,,,,,
,,2002 - 2003,,,,"2,360.00","2,905.00",1.23,,,,,,
,,2003 - 2004,,,,"2,387.00","2,995.00",1.25,,,,,,
,,2008 - 2009,,,,"2,348.00","2,688.00",1.14,,,,,,
,,2009 - 2010,,,,"1,889.00","1,770.00",0.94,,,,,,
,,2010 - 2011,,,,"1,508.00","2,491.00",1.65,,,,,,
,,2011 - 2012,,,,"1,674.00","2,378.00",1.42,,,,,,
,,2012 - 2013,,,,"1,491.00","1,743.00",1.17,,,,,,
,,2013 - 2014,,,,"1,610.00","1,365.00",0.85,,,,,,
,,2014 - 2015,,,,"1,472.00","1,415.00",0.96,,,,,,
,,2015 - 2016,,,,"1,280.00","1,093.00",0.85,,,,,,
,,2016 - 2017,,,,"1,381.00","1,291.00",0.93,,,,,,
,,2017 - 2018,,,,"1,509.00","2,336.00",1.55,,,,,,
,,2018 - 2019,,,,"1,356.00","1,961.00",1.45,,,,,,
,,2019 - 2020,,,,"1,385.00","1,920.00",1.39,,,,,,
,,2020 - 2021,,,,"1,275.00","1,673.00",1.31,,,,,,
,,2021 - 2022,,,,"1,609.00","2,216.00",1.38,,,,,,
,,2022 - 2023,,,,"1,764.00","1,619.00",0.92,,,,,,
,21. Chitrakoot,2000 - 2001,,,,261,158,0.61,,,,,,
,,2001 - 2002,,,,209,222,1.06,,,,,,
,,2002 - 2003,,,,324,290,0.9,,,,,,
,,2003 - 2004,,,,365,383,1.05,,,,,,
,,2008 - 2009,,,,341,479,1.4,,,,,,
,,2009 - 2010,,,,508,459,0.9,,,,,,
,,2010 - 2011,,,,419,62,0.15,,,,,,
,,2011 - 2012,,,,524,569,1.09,,,,,,
,,2012 - 2013,,,,247,273,1.11,,,,,,
,,2013 - 2014,,,,490,345,0.7,,,,,,
,,2014 - 2015,,,,442,78,0.18,,,,,,
,,2015 - 2016,,,,257,145,0.56,,,,,,
,,2016 - 2017,,,,"1,120.00",773,0.69,,,,,,
,,2017 - 2018,,,,527,449,0.85,,,,,,
,,2018 - 2019,,,,460,479,1.04,,,,,,
,,2019 - 2020,,,,580,295,0.51,,,,,,
,,2020 - 2021,,,,736,732,0.99,,,,,,
,,2021 - 2022,,,,714,690,0.97,,,,,,
,,2022 - 2023,,,,782,949,1.21,,,,,,
,22. Deoria,2000 - 2001,,,,"2,685.00","3,722.00",1.39,,,,,,
,,2001 - 2002,,,,"2,788.00","3,371.00",1.21,,,,,,
,,2002 - 2003,,,,"2,332.00","2,866.00",1.23,,,,,,
,,2003 - 2004,,,,"2,453.00","3,366.00",1.37,,,,,,
,,2008 - 2009,,,,"1,910.00","2,305.00",1.21,,,,,,
,,2009 - 2010,,,,"2,078.00","2,667.00",1.28,,,,,,
,,2010 - 2011,,,,"1,977.00","2,303.00",1.16,,,,,,
,,2011 - 2012,,,,"1,712.00","1,852.00",1.08,,,,,,
,,2012 - 2013,,,,"1,565.00","1,626.00",1.04,,,,,,
,,2013 - 2014,,,,"1,506.00",877,0.58,,,,,,
,,2014 - 2015,,,,"1,499.00",727,0.48,,,,,,
,,2015 - 2016,,,,"1,437.00","1,430.00",1,,,,,,
,,2016 - 2017,,,,"1,364.00","1,878.00",1.38,,,,,,
,,2017 - 2018,,,,"1,485.00","2,181.00",1.47,,,,,,
,,2018 - 2019,,,,"1,319.00","2,134.00",1.62,,,,,,
,,2019 - 2020,,,,"1,427.00","2,347.00",1.64,,,,,,
,,2020 - 2021,,,,"1,474.00","2,294.00",1.56,,,,,,
,,2021 - 2022,,,,"1,542.00","2,509.00",1.63,,,,,,
,,2022 - 2023,,,,"1,688.00","2,615.00",1.55,,,,,,
,23. Etah,2000 - 2001,,,,49,94,1.92,,,,,,
,,2001 - 2002,,,,35,62,1.77,,,,,,
,,2002 - 2003,,,,960,"1,599.00",1.67,,,,,,
,,2003 - 2004,,,,874,"1,774.00",2.03,,,,,,
,,2008 - 2009,,,,257,310,1.21,,,,,,
,,2013 - 2014,,,,579,574,0.99,,,,,,
,,2014 - 2015,,,,634,822,1.3,,,,,,
,,2015 - 2016,,,,14,14,1,,,,,,
,,2017 - 2018,,,,165,242,1.47,,,,,,
,,2018 - 2019,,,,387,626,1.62,,,,,,
,,2019 - 2020,,,,284,467,1.64,,,,,,
,,2020 - 2021,,,,733,"1,141.00",1.56,,,,,,
,,2022 - 2023,,,,37,57,1.54,,,,,,
,24. Etawah,2000 - 2001,,,,"3,260.00","5,770.00",1.77,,,,,,
,,2001 - 2002,,,,"3,055.00","5,566.00",1.82,,,,,,
,,2002 - 2003,,,,"3,290.00","5,840.00",1.78,,,,,,
,,2003 - 2004,,,,"2,270.00","4,125.00",1.82,,,,,,
,,2008 - 2009,,,,683,"1,156.00",1.69,,,,,,
,,2009 - 2010,,,,431,599,1.39,,,,,,
,,2010 - 2011,,,,136,199,1.46,,,,,,
,,2011 - 2012,,,,197,302,1.53,,,,,,
,,2012 - 2013,,,,146,235,1.61,,,,,,
,,2013 - 2014,,,,177,310,1.75,,,,,,
,,2014 - 2015,,,,170,93,0.55,,,,,,
,,2015 - 2016,,,,104,138,1.33,,,,,,
,,2016 - 2017,,,,227,356,1.57,,,,,,
,,2017 - 2018,,,,203,335,1.65,,,,,,
,,2018 - 2019,,,,120,180,1.5,,,,,,
,,2019 - 2020,,,,205,198,0.97,,,,,,
,,2020 - 2021,,,,635,817,1.29,,,,,,
,,2021 - 2022,,,,270,439,1.63,,,,,,
,,2022 - 2023,,,,302,468,1.55,,,,,,
,25. Faizabad,2000 - 2001,,,,"3,595.00","3,633.00",1.01,,,,,,
,,2001 - 2002,,,,"3,753.00","3,195.00",0.85,,,,,,
,,2002 - 2003,,,,"3,673.00","2,913.00",0.79,,,,,,
,,2003 - 2004,,,,"2,236.00","2,457.00",1.1,,,,,,
,,2008 - 2009,,,,"2,513.00","3,033.00",1.21,,,,,,
,,2009 - 2010,,,,"2,376.00","3,049.00",1.28,,,,,,
,,2010 - 2011,,,,"2,379.00","2,836.00",1.19,,,,,,
,,2011 - 2012,,,,"2,815.00","3,046.00",1.08,,,,,,
,,2012 - 2013,,,,"2,334.00","2,021.00",0.87,,,,,,
,,2013 - 2014,,,,"3,684.00",936,0.25,,,,,,
,,2014 - 2015,,,,"2,236.00","1,449.00",0.65,,,,,,
,,2015 - 2016,,,,"2,289.00","2,278.00",1,,,,,,
,,2016 - 2017,,,,"1,922.00","1,169.00",0.61,,,,,,
,,2017 - 2018,,,,"2,266.00","3,329.00",1.47,,,,,,
,,2018 - 2019,,,,"1,855.00","3,001.00",1.62,,,,,,
,,2019 - 2020,,,,"2,389.00","3,930.00",1.65,,,,,,
,,2020 - 2021,,,,"2,383.00","3,708.00",1.56,,,,,,
,,2021 - 2022,,,,"2,471.00","4,020.00",1.63,,,,,,
,,2022 - 2023,,,,"2,930.00","4,539.00",1.55,,,,,,
,26. Farrukhabad,2000 - 2001,,,,"1,227.00","2,172.00",1.77,,,,,,
,,2001 - 2002,,,,"1,304.00","2,168.00",1.66,,,,,,
,,2002 - 2003,,,,"1,237.00","2,069.00",1.67,,,,,,
,,2003 - 2004,,,,987,"1,824.00",1.85,,,,,,
,,2008 - 2009,,,,624,"1,057.00",1.69,,,,,,
,,2009 - 2010,,,,742,"1,031.00",1.39,,,,,,
,,2010 - 2011,,,,581,850,1.46,,,,,,
,,2011 - 2012,,,,786,"1,206.00",1.53,,,,,,
,,2012 - 2013,,,,998,"1,606.00",1.61,,,,,,
,,2013 - 2014,,,,"1,015.00","1,776.00",1.75,,,,,,
,,2014 - 2015,,,,852,469,0.55,,,,,,
,,2015 - 2016,,,,488,645,1.32,,,,,,
,,2016 - 2017,,,,810,"1,270.00",1.57,,,,,,
,,2017 - 2018,,,,809,"1,334.00",1.65,,,,,,
,,2018 - 2019,,,,817,"1,228.00",1.5,,,,,,
,,2019 - 2020,,,,804,776,0.97,,,,,,
,,2020 - 2021,,,,874,"1,125.00",1.29,,,,,,
,,2021 - 2022,,,,926,"1,507.00",1.63,,,,,,
,,2022 - 2023,,,,"1,014.00","1,571.00",1.55,,,,,,
,27. Fatehpur,2000 - 2001,,,,"2,062.00","2,264.00",1.1,,,,,,
,,2001 - 2002,,,,"1,853.00","1,929.00",1.04,,,,,,
,,2002 - 2003,,,,"1,757.00","1,712.00",0.97,,,,,,
,,2003 - 2004,,,,"1,778.00","1,923.00",1.08,,,,,,
,,2008 - 2009,,,,"1,561.00","1,284.00",0.82,,,,,,
,,2009 - 2010,,,,"1,499.00","1,228.00",0.82,,,,,,
,,2010 - 2011,,,,"1,576.00","1,424.00",0.9,,,,,,
,,2011 - 2012,,,,"1,673.00","1,970.00",1.18,,,,,,
,,2012 - 2013,,,,"1,463.00","1,565.00",1.07,,,,,,
,,2013 - 2014,,,,"1,396.00","1,480.00",1.06,,,,,,
,,2014 - 2015,,,,"2,481.00","1,813.00",0.73,,,,,,
,,2015 - 2016,,,,"1,268.00","1,209.00",0.95,,,,,,
,,2016 - 2017,,,,"1,625.00","2,337.00",1.44,,,,,,
,,2017 - 2018,,,,"1,573.00","2,048.00",1.3,,,,,,
,,2018 - 2019,,,,"1,467.00","1,442.00",0.98,,,,,,
,,2019 - 2020,,,,"1,673.00","2,233.00",1.33,,,,,,
,,2020 - 2021,,,,"1,512.00","1,855.00",1.23,,,,,,
,,2021 - 2022,,,,"2,160.00","2,553.00",1.18,,,,,,
,,2022 - 2023,,,,"2,369.00","3,075.00",1.3,,,,,,
,28. Firozabad,2000 - 2001,,,,"1,569.00","2,992.00",1.91,,,,,,
,,2001 - 2002,,,,"1,780.00","2,531.00",1.42,,,,,,
,,2002 - 2003,,,,"1,610.00","2,682.00",1.67,,,,,,
,,2003 - 2004,,,,"1,463.00","3,052.00",2.09,,,,,,
,,2008 - 2009,,,,572,691,1.21,,,,,,
,,2009 - 2010,,,,719,923,1.28,,,,,,
,,2010 - 2011,,,,587,"1,401.00",2.39,,,,,,
,,2011 - 2012,,,,254,420,1.65,,,,,,
,,2012 - 2013,,,,335,692,2.07,,,,,,
,,2013 - 2014,,,,335,733,2.19,,,,,,
,,2014 - 2015,,,,336,150,0.45,,,,,,
,,2015 - 2016,,,,316,315,1,,,,,,
,,2016 - 2017,,,,468,"1,318.00",2.82,,,,,,
,,2017 - 2018,,,,263,611,2.32,,,,,,
,,2018 - 2019,,,,501,811,1.62,,,,,,
,,2019 - 2020,,,,417,"1,151.00",2.76,,,,,,
,,2020 - 2021,,,,667,"2,156.00",3.23,,,,,,
,,2021 - 2022,,,,441,"1,425.00",3.23,,,,,,
,,2022 - 2023,,,,483,748,1.55,,,,,,
,29. Gautam buddha nagar,2000 - 2001,,,,197,204,1.04,,,,,,
,,2001 - 2002,,,,189,229,1.21,,,,,,
,,2002 - 2003,,,,203,249,1.23,,,,,,
,,2003 - 2004,,,,99,136,1.37,,,,,,
,,2008 - 2009,,,,74,90,1.22,,,,,,
,,2009 - 2010,,,,62,79,1.27,,,,,,
,,2010 - 2011,,,,19,22,1.16,,,,,,
,,2011 - 2012,,,,61,87,1.43,,,,,,
,,2012 - 2013,,,,84,125,1.49,,,,,,
,,2013 - 2014,,,,59,59,1,,,,,,
,,2014 - 2015,,,,41,31,0.76,,,,,,
,,2015 - 2016,,,,21,21,1,,,,,,
,,2016 - 2017,,,,14,19,1.36,,,,,,
,,2017 - 2018,,,,59,87,1.47,,,,,,
,,2018 - 2019,,,,130,210,1.62,,,,,,
,,2019 - 2020,,,,59,97,1.64,,,,,,
,,2020 - 2021,,,,59,92,1.56,,,,,,
,,2021 - 2022,,,,65,106,1.63,,,,,,
,,2022 - 2023,,,,75,116,1.55,,,,,,
,30. Ghaziabad,2000 - 2001,,,,351,362,1.03,,,,,,
,,2001 - 2002,,,,736,890,1.21,,,,,,
,,2002 - 2003,,,,540,664,1.23,,,,,,
,,2003 - 2004,,,,769,"1,055.00",1.37,,,,,,
,,2008 - 2009,,,,127,153,1.2,,,,,,
,,2009 - 2010,,,,10,13,1.3,,,,,,
,,2011 - 2012,,,,2,3,1.5,,,,,,
,,2013 - 2014,,,,2,2,1,,,,,,
,,2014 - 2015,,,,7,5,0.71,,,,,,
,,2015 - 2016,,,,3,3,1,,,,,,
,,2016 - 2017,,,,42,58,1.38,,,,,,
,,2022 - 2023,,,,5,8,1.6,,,,,,
,31. Ghazipur,2000 - 2001,,,,"5,675.00","6,730.00",1.19,,,,,,
,,2001 - 2002,,,,"5,503.00","4,463.00",0.81,,,,,,
,,2002 - 2003,,,,"5,021.00","6,226.00",1.24,,,,,,
,,2003 - 2004,,,,"4,034.00","4,470.00",1.11,,,,,,
,,2008 - 2009,,,,"4,726.00","5,411.00",1.14,,,,,,
,,2009 - 2010,,,,"4,953.00","5,592.00",1.13,,,,,,
,,2010 - 2011,,,,"3,581.00","5,916.00",1.65,,,,,,
,,2011 - 2012,,,,"3,687.00","6,460.00",1.75,,,,,,
,,2012 - 2013,,,,"3,573.00","4,548.00",1.27,,,,,,
