State,District,Year,Horse-gram,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,253,177.4,0.7,,,,,,,,,
,,2018 - 2019,,,,185,129.7,0.7,,,,,,,,,
,,2019 - 2020,,,,1,0.3,0.3,,,,,,,,,
,,2020 - 2021,,,,86,25.8,0.3,,,,,,,,,
,,2021 - 2022,1,0.3,0.3,,,,,,,,,,,,
,3. Kathua,2001 - 2002,,,,122,34,0.28,,,,,,,,,
,,2006 - 2007,,,,219,61.4,0.28,,,,,,,,,
,,2009 - 2010,,,,301,84.4,0.28,,,,,,,,,
,,2010 - 2011,,,,284,79.6,0.28,,,,,,,,,
,,2011 - 2012,,,,258,72.3,0.28,,,,,,,,,
,,2012 - 2013,,,,89,24.9,0.28,,,,,,,,,
,,2015 - 2016,4,1.6,0.4,101,28.1,0.28,,,,,,,,,
,,2016 - 2017,,,,138,38.4,0.28,,,,,,,,,
,,2017 - 2018,,,,166,46.2,0.28,,,,,,,,,
,,2018 - 2019,,,,137,38.1,0.28,,,,,,,,,
,,2019 - 2020,,,,139,38.7,0.28,,,,,,,,,
,,2020 - 2021,,,,169,47.1,0.28,,,,,,,,,
,4. Kishtwar,2009 - 2010,,,,2,0.7,0.35,,,,,,,,,
,,2010 - 2011,,,,7,2.5,0.36,,,,,,,,,
,,2012 - 2013,,,,46,14,0.3,,,,,,,,,
,,2015 - 2016,,,,4,1.2,0.3,,,,,,,,,
,,2016 - 2017,,,,3,0.9,0.3,,,,,,,,,
,,2017 - 2018,,,,4,1.2,0.3,,,,,,,,,
,,2018 - 2019,,,,3,1,0.33,,,,,,,,,
,,2019 - 2020,,,,5,1.7,0.34,,,,,,,,,
,,2020 - 2021,,,,4,1.4,0.35,,,,,,,,,
,5. Leh ladakh,2010 - 2011,17,8.1,0.48,,,,,,,,,,,,
,,2018 - 2019,8,10.4,1.3,,,,,,,,,,,,
,6. Rajauri,2001 - 2002,,,,13,7,0.54,,,,,,,,,
,,2015 - 2016,,,,4,1.2,0.3,,,,,,,,,
,7. Reasi,2009 - 2010,,,,58,27,0.47,,,,,,,,,
,,2010 - 2011,,,,29,13.5,0.47,,,,,,,,,
,,2011 - 2012,,,,28,13,0.46,,,,,,,,,
,,2012 - 2013,,,,57,26.5,0.46,,,,,,,,,
,,2015 - 2016,,,,12,5.6,0.47,,,,,,,,,
,,2016 - 2017,,,,26,12.1,0.47,,,,,,,,,
,,2017 - 2018,,,,15,7,0.47,,,,,,,,,
,,2018 - 2019,,,,24,11.2,0.47,,,,,,,,,
,,2019 - 2020,,,,13,6.1,0.47,,,,,,,,,
,,2020 - 2021,,,,13,6.1,0.47,,,,,,,,,
,8. Samba,2009 - 2010,,,,7,1.9,0.27,,,,,,,,,
,,2010 - 2011,,,,7,1.9,0.27,,,,,,,,,
,,2011 - 2012,,,,4,1.1,0.28,,,,,,,,,
,,2012 - 2013,,,,4,1.1,0.28,,,,,,,,,
,,2015 - 2016,,,,2,0.9,0.45,,,,,,,,,
,,2020 - 2021,,,,73,21.9,0.3,,,,,,,,,
,9. Udhampur,2001 - 2002,,,,213,99,0.46,,,,,,,,,
,,2006 - 2007,,,,172,80,0.47,,,,,,,,,
,,2009 - 2010,,,,50,23.3,0.47,,,,,,,,,
,,2010 - 2011,,,,74,34.9,0.47,,,,,,,,,
,,2011 - 2012,,,,49,23.1,0.47,,,,,,,,,
,,2012 - 2013,,,,97,45.7,0.47,,,,,,,,,
,,2015 - 2016,,,,69,30,0.43,,,,,,,,,
,,2016 - 2017,,,,98,42.6,0.43,,,,,,,,,
,,2017 - 2018,,,,98,42.7,0.44,,,,,,,,,
,,2018 - 2019,,,,60,26.1,0.44,,,,,,,,,
,,2019 - 2020,,,,98,42.6,0.43,,,,,,,,,
,,2020 - 2021,,,,75,32.6,0.43,,,,,,,,,
7. Jharkhand,1. Bokaro,2017 - 2018,,,,990,693,0.7,,,,,,,,,
,,2018 - 2019,,,,576,403,0.7,,,,,,,,,
,,2019 - 2020,,,,673,606,0.9,,,,,,,,,
,,2020 - 2021,,,,480,432,0.9,,,,,,,,,
,,2021 - 2022,,,,675,405,0.6,,,,,,,,,
,,2022 - 2023,,,,720,648,0.9,,,,,,,,,
,2. Chatra,2017 - 2018,,,,798,575,0.72,,,,,,,,,
,,2018 - 2019,,,,771,605,0.78,,,,,,,,,
,,2019 - 2020,,,,"1,404.00","1,130.00",0.8,,,,,,,,,
,,2020 - 2021,,,,"1,296.00","1,024.00",0.79,,,,,,,,,
,,2021 - 2022,,,,"1,224.00",991,0.81,,,,,,,,,
,3. Deoghar,2017 - 2018,,,,643,354,0.55,,,,,,,,,
,,2018 - 2019,,,,166,91,0.55,,,,,,,,,
,,2019 - 2020,,,,165,,0,,,,,,,,,
,,2020 - 2021,,,,449,404,0.9,,,,,,,,,
,,2021 - 2022,,,,36,20,0.56,,,,,,,,,
,,2022 - 2023,,,,80,44,0.55,,,,,,,,,
,4. Dhanbad,2017 - 2018,,,,484,363,0.75,,,,,,,,,
,,2018 - 2019,,,,462,347,0.75,,,,,,,,,
,,2019 - 2020,,,,483,338,0.7,,,,,,,,,
,,2020 - 2021,,,,476,333,0.7,,,,,,,,,
,,2021 - 2022,,,,477,334,0.7,,,,,,,,,
,,2022 - 2023,,,,67,47,0.7,,,,,,,,,
,5. Dumka,2017 - 2018,,,,761,511,0.67,,,,,,,,,
,,2018 - 2019,,,,485,326,0.67,,,,,,,,,
,,2019 - 2020,,,,490,397,0.81,,,,,,,,,
,,2020 - 2021,,,,814,651,0.8,,,,,,,,,
,,2021 - 2022,,,,"1,211.00",969,0.8,,,,,,,,,
,,2022 - 2023,,,,34,27,0.79,,,,,,,,,
,6. East singhbum,2017 - 2018,,,,"1,461.00",763,0.52,,,,,,,,,
,,2018 - 2019,,,,458,252,0.55,,,,,,,,,
,,2019 - 2020,,,,"1,500.00",825,0.55,,,,,,,,,
,,2020 - 2021,,,,911,592,0.65,,,,,,,,,
,,2021 - 2022,,,,"1,480.00",977,0.66,,,,,,,,,
,,2022 - 2023,,,,240,160,0.67,,,,,,,,,
,7. Garhwa,2017 - 2018,,,,166,76,0.46,,,,,,,,,
,,2018 - 2019,,,,178,40,0.22,,,,,,,,,
,,2020 - 2021,,,,637,264,0.41,,,,,,,,,
,,2021 - 2022,,,,160,82,0.51,,,,,,,,,
,8. Giridih,2017 - 2018,,,,"1,144.00",581,0.51,,,,,,,,,
,,2018 - 2019,,,,828,393,0.47,,,,,,,,,
,,2019 - 2020,,,,"1,567.00",755,0.48,,,,,,,,,
,,2020 - 2021,,,,"1,590.00",811,0.51,,,,,,,,,
,,2021 - 2022,,,,"1,471.00",756,0.51,,,,,,,,,
,,2022 - 2023,,,,196,99,0.51,,,,,,,,,
,9. Godda,2017 - 2018,,,,340,238,0.7,,,,,,,,,
,,2018 - 2019,,,,499,354,0.71,,,,,,,,,
,,2019 - 2020,,,,575,408,0.71,,,,,,,,,
,,2020 - 2021,,,,82,61,0.74,,,,,,,,,
,,2021 - 2022,,,,549,401,0.73,,,,,,,,,
,,2022 - 2023,,,,765,344,0.45,,,,,,,,,
,10. Gumla,2017 - 2018,,,,"1,580.00","1,220.00",0.77,,,,,,,,,
,,2018 - 2019,,,,"1,649.00","1,146.00",0.69,,,,,,,,,
,,2019 - 2020,,,,"2,249.00","1,570.00",0.7,,,,,,,,,
,,2020 - 2021,,,,"2,425.00","1,693.00",0.7,,,,,,,,,
,,2021 - 2022,,,,840,336,0.4,,,,,,,,,
,,2022 - 2023,,,,"2,320.00","1,868.00",0.81,,,,,,,,,
,11. Hazaribagh,2017 - 2018,,,,510,377,0.74,,,,,,,,,
,,2018 - 2019,,,,561,415,0.74,,,,,,,,,
,,2019 - 2020,,,,588,435,0.74,,,,,,,,,
,,2020 - 2021,,,,508,376,0.74,,,,,,,,,
,,2021 - 2022,,,,690,587,0.85,,,,,,,,,
,,2022 - 2023,,,,721,613,0.85,,,,,,,,,
,12. Jamtara,2018 - 2019,,,,275,110,0.4,,,,,,,,,
,,2019 - 2020,,,,"1,110.00",594,0.54,,,,,,,,,
,,2021 - 2022,,,,307,200,0.65,,,,,,,,,
,,2022 - 2023,,,,649,519,0.8,,,,,,,,,
,13. Khunti,2018 - 2019,,,,500,326,0.65,,,,,,,,,
,,2020 - 2021,,,,"2,016.00","1,613.00",0.8,,,,,,,,,
,,2021 - 2022,,,,722,505,0.7,,,,,,,,,
,,2022 - 2023,,,,969,678,0.7,,,,,,,,,
,14. Koderma,2017 - 2018,,,,700,420,0.6,,,,,,,,,
,,2018 - 2019,,,,430,258,0.6,,,,,,,,,
,,2019 - 2020,,,,443,266,0.6,,,,,,,,,
,,2020 - 2021,,,,536,322,0.6,,,,,,,,,
,,2021 - 2022,,,,470,376,0.8,,,,,,,,,
,,2022 - 2023,,,,536,429,0.8,,,,,,,,,
,15. Latehar,2017 - 2018,,,,151,111,0.74,,,,,,,,,
,,2018 - 2019,,,,778,568,0.73,,,,,,,,,
,,2019 - 2020,,,,993,618,0.62,,,,,,,,,
,,2020 - 2021,,,,498,311,0.62,,,,,,,,,
,,2021 - 2022,,,,"1,058.00",656,0.62,,,,,,,,,
,,2022 - 2023,,,,48,30,0.63,,,,,,,,,
,16. Lohardaga,2017 - 2018,,,,575,345,0.6,,,,,,,,,
,,2019 - 2020,,,,668,401,0.6,,,,,,,,,
,,2020 - 2021,,,,510,306,0.6,,,,,,,,,
,,2021 - 2022,,,,245,123,0.5,,,,,,,,,
,,2022 - 2023,,,,140,84,0.6,,,,,,,,,
,17. Pakur,2017 - 2018,,,,173,104,0.6,,,,,,,,,
,,2018 - 2019,,,,808,473,0.59,,,,,,,,,
,,2019 - 2020,,,,944,566,0.6,,,,,,,,,
,,2020 - 2021,,,,827,496,0.6,,,,,,,,,
,,2021 - 2022,,,,415,249,0.6,,,,,,,,,
,18. Palamu,2017 - 2018,,,,504,307,0.61,,,,,,,,,
,,2018 - 2019,,,,"1,371.00",768,0.56,,,,,,,,,
,,2019 - 2020,,,,"1,216.00",967,0.8,,,,,,,,,
,,2020 - 2021,,,,80,64,0.8,,,,,,,,,
,,2021 - 2022,,,,355,242,0.68,,,,,,,,,
,19. Ramgarh,2017 - 2018,,,,383,283,0.74,,,,,,,,,
,,2018 - 2019,,,,392,290,0.74,,,,,,,,,
,,2019 - 2020,,,,403,298,0.74,,,,,,,,,
,,2020 - 2021,,,,318,235,0.74,,,,,,,,,
,,2021 - 2022,,,,459,285,0.62,,,,,,,,,
,,2022 - 2023,,,,570,353,0.62,,,,,,,,,
,20. Ranchi,2018 - 2019,,,,"1,715.00",823,0.48,,,,,,,,,
,,2019 - 2020,,,,"1,237.00",619,0.5,,,,,,,,,
,,2020 - 2021,,,,"1,300.00",780,0.6,,,,,,,,,
,,2021 - 2022,,,,"1,080.00",518,0.48,,,,,,,,,
,21. Sahebganj,2017 - 2018,,,,"1,130.00",458,0.41,,,,,,,,,
,22. Saraikela kharsawan,2019 - 2020,,,,509,331,0.65,,,,,,,,,
,,2020 - 2021,,,,120,72,0.6,,,,,,,,,
,,2021 - 2022,,,,815,489,0.6,,,,,,,,,
,,2022 - 2023,,,,"1,986.00","1,192.00",0.6,,,,,,,,,
,23. Simdega,2017 - 2018,,,,7,4,0.57,,,,,,,,,
,,2018 - 2019,,,,"2,330.00","2,097.00",0.9,,,,,,,,,
,,2019 - 2020,,,,"2,530.00","2,151.00",0.85,,,,,,,,,
,,2020 - 2021,,,,"2,194.00","1,865.00",0.85,,,,,,,,,
,,2021 - 2022,,,,"1,946.00","1,751.00",0.9,,,,,,,,,
,,2022 - 2023,,,,649,519,0.8,,,,,,,,,
,24. West singhbhum,2017 - 2018,,,,"1,588.00","1,048.00",0.66,,,,,,,,,
,,2018 - 2019,,,,"1,821.00","1,206.00",0.66,,,,,,,,,
,,2019 - 2020,,,,517,343,0.66,,,,,,,,,
,,2020 - 2021,,,,593,383,0.65,,,,,,,,,
,,2021 - 2022,,,,266,148,0.56,,,,,,,,,
,,2022 - 2023,,,,"1,715.00",954,0.56,,,,,,,,,
8. Karnataka,1. Bagalkot,2000 - 2001,"1,530.00",490,0.32,"2,359.00","2,902.00",1.23,,,,,,,,,
,,2001 - 2002,"9,429.00","5,554.00",0.59,"1,370.00","1,606.00",1.17,,,,,,,,,
,,2002 - 2003,"4,254.00","1,689.00",0.4,"2,660.00","2,075.00",0.78,,,,,,,,,
,,2003 - 2004,"2,879.00",230,0.08,437,112,0.26,,,,,,,,,
,,2004 - 2005,"1,901.00",591,0.31,"1,710.00","1,049.00",0.61,,,,,,,,,
,,2005 - 2006,"2,540.00","1,298.00",0.51,"1,812.00","1,914.00",1.06,,,,,,,,,
,,2006 - 2007,"2,017.00",234,0.12,"1,229.00",207,0.17,,,,,,,,,
,,2007 - 2008,"2,113.00","1,218.00",0.58,"1,829.00","1,390.00",0.76,,,,,,,,,
,,2008 - 2009,"2,989.00","1,698.00",0.57,411,186,0.45,,,,,,,,,
,,2009 - 2010,"1,244.00",474,0.38,810,228,0.28,,,,,,,,,
,,2010 - 2011,"1,045.00",637,0.61,876,514,0.59,,,,,,,,,
,,2011 - 2012,926,262,0.28,730,435,0.6,,,,,,,,,
,,2012 - 2013,946,182,0.19,310,67,0.22,,,,,,,,,
,,2013 - 2014,930,188,0.2,389,92,0.24,,,,,,,,,
,,2014 - 2015,925,332,0.36,337,90,0.27,,,,,,,,,
,,2015 - 2016,792,239,0.3,94,14,0.15,,,,,,,,,
,,2016 - 2017,509,35,0.07,305,40,0.13,,,,,,,,,
,,2017 - 2018,510,179,0.35,420,390,0.93,,,,,,,,,
,,2018 - 2019,434,92,0.21,571,395,0.69,,,,,,,,,
,,2019 - 2020,141,55,0.39,597,590,0.99,,,,,,,,,
,,2020 - 2021,626,305,0.49,755,532,0.7,,,,,,,,,
,,2021 - 2022,539,247,0.46,926,474,0.51,,,,,,,,,
,,2022 - 2023,711,324,0.46,"1,017.00",429,0.42,,,,,,,,,
,2. Bangalore rural,2000 - 2001,"3,597.00",994,0.28,"7,290.00","6,517.00",0.89,,,,,,,,,
,,2001 - 2002,"2,652.00","2,363.00",0.89,"7,256.00","4,701.00",0.65,,,,,,,,,
,,2002 - 2003,"3,456.00","1,395.00",0.4,"11,091.00","6,828.00",0.62,,,,,,,,,
,,2003 - 2004,"4,369.00","2,810.00",0.64,"9,223.00","6,606.00",0.72,,,,,,,,,
,,2004 - 2005,"2,853.00","1,876.00",0.66,"7,914.00","6,270.00",0.79,,,,,,,,,
,,2005 - 2006,"3,567.00","2,104.00",0.59,"5,715.00","4,371.00",0.76,,,,,,,,,
,,2006 - 2007,"4,779.00","2,347.00",0.49,"4,588.00","1,539.00",0.34,,,,,,,,,
,,2007 - 2008,"1,081.00",510,0.47,"1,338.00",933,0.7,,,,,,,,,
,,2008 - 2009,"1,147.00",425,0.37,"1,208.00","1,353.00",1.12,,,,,,,,,
,,2009 - 2010,"1,678.00",786,0.47,"1,553.00","1,217.00",0.78,,,,,,,,,
,,2010 - 2011,803,486,0.61,"1,065.00","1,015.00",0.95,,,,,,,,,
,,2011 - 2012,456,230,0.5,938,791,0.84,,,,,,,,,
,,2012 - 2013,361,138,0.38,"1,224.00",667,0.54,,,,,,,,,
,,2013 - 2014,397,203,0.51,"1,387.00",910,0.66,,,,,,,,,
,,2014 - 2015,452,222,0.49,"1,223.00",754,0.62,,,,,,,,,
,,2015 - 2016,410,198,0.48,"1,320.00",814,0.62,,,,,,,,,
,,2016 - 2017,273,18,0.07,941,389,0.41,,,,,,,,,
,,2017 - 2018,404,255,0.63,988,853,0.86,,,,,,,,,
,,2018 - 2019,998,502,0.5,"1,081.00",602,0.56,,,,,,,,,
,,2019 - 2020,152,101,0.66,937,782,0.83,,,,,,,,,
,,2020 - 2021,153,101,0.66,656,493,0.75,3,2,0.67,,,,,,
,,2021 - 2022,46,28,0.61,383,302,0.79,,,,,,,,,
,,2022 - 2023,54,32,0.59,266,229,0.86,,,,,,,,,
,3. Belgaum,2000 - 2001,"1,752.00",561,0.32,"12,063.00","4,870.00",0.4,,,,,,,,,
,,2001 - 2002,"1,768.00",349,0.2,"5,404.00","1,838.00",0.34,,,,,,,,,
,,2002 - 2003,"2,452.00",974,0.4,"6,345.00","2,001.00",0.32,,,,,,,,,
,,2003 - 2004,"1,901.00",112,0.06,"2,557.00",445,0.17,,,,,,,,,
,,2004 - 2005,"2,539.00",902,0.36,"5,678.00","3,382.00",0.6,,,,,,,,,
,,2005 - 2006,"1,565.00",764,0.49,"6,387.00","3,817.00",0.6,,,,,,,,,
,,2006 - 2007,"1,265.00",340,0.27,"7,270.00","4,247.00",0.58,,,,,,,,,
,,2007 - 2008,"1,441.00",374,0.26,"3,477.00","1,453.00",0.42,,,,,,,,,
,,2008 - 2009,"1,295.00",755,0.58,"3,525.00","1,644.00",0.47,,,,,,,,,
,,2009 - 2010,"1,583.00",326,0.21,"3,431.00","1,287.00",0.38,,,,,,,,,
,,2010 - 2011,"1,497.00",538,0.36,"3,126.00","1,541.00",0.49,,,,,,,,,
,,2011 - 2012,"1,141.00",499,0.44,"2,488.00","1,567.00",0.63,,,,,,,,,
,,2012 - 2013,"1,134.00",179,0.16,"4,045.00","1,333.00",0.33,,,,,,,,,
,,2013 - 2014,837,250,0.3,"2,413.00","1,169.00",0.48,,,,,,,,,
,,2014 - 2015,940,250,0.27,"1,417.00",583,0.41,,,,,,,,,
,,2015 - 2016,"1,010.00",128,0.13,626,105,0.17,,,,,,,,,
,,2016 - 2017,736,249,0.34,"1,112.00",437,0.39,,,,,,,,,
,,2017 - 2018,392,196,0.5,321,276,0.86,,,,,,,,,
,,2018 - 2019,247,103,0.42,468,211,0.45,,,,,,,,,
,,2019 - 2020,295,224,0.76,"1,350.00","1,109.00",0.82,,,,,,,,,
,,2020 - 2021,975,586,0.6,"1,420.00",966,0.68,58,27,0.47,,,,,,
,,2021 - 2022,"1,376.00",665,0.48,890,347,0.39,,,,,,,,,
,,2022 - 2023,619,214,0.35,"1,740.00",642,0.37,,,,,,,,,
,4. Bellary,2000 - 2001,"1,151.00",467,0.41,"8,229.00","3,307.00",0.4,,,,,,,,,
,,2001 - 2002,"2,122.00",478,0.23,"6,645.00","3,731.00",0.56,,,,,,,,,
,,2002 - 2003,443,362,0.82,"6,367.00","1,440.00",0.23,,,,,,,,,
,,2003 - 2004,697,41,0.06,"8,108.00","1,833.00",0.23,,,,,,,,,
,,2004 - 2005,566,192,0.34,"5,320.00","2,911.00",0.55,,,,,,,,,
,,2005 - 2006,875,448,0.51,"7,122.00","3,687.00",0.52,,,,,,,,,
,,2006 - 2007,"1,273.00",483,0.38,"4,818.00","2,632.00",0.55,,,,,,,,,
,,2007 - 2008,"1,145.00",520,0.45,"3,825.00","3,071.00",0.8,,,,,,,,,
,,2008 - 2009,"1,180.00",373,0.32,"4,688.00","2,855.00",0.61,,,,,,,,,
,,2009 - 2010,"3,606.00",894,0.25,"3,692.00","1,926.00",0.52,,,,,,,,,
,,2010 - 2011,"1,482.00","1,067.00",0.72,"3,900.00","2,749.00",0.7,,,,,,,,,
,,2011 - 2012,798,402,0.5,"2,434.00","1,029.00",0.42,,,,,,,,,
,,2012 - 2013,"1,176.00",258,0.22,"2,377.00",980,0.41,,,,,,,,,
,,2013 - 2014,819,343,0.42,"1,924.00","1,029.00",0.53,,,,,,,,,
,,2014 - 2015,443,213,0.48,"1,312.00",609,0.46,,,,,,,,,
,,2015 - 2016,421,264,0.63,"2,162.00",881,0.41,,,,,,,,,
,,2016 - 2017,620,74,0.12,752,326,0.43,,,,,,,,,
,,2017 - 2018,986,760,0.77,944,"1,443.00",1.53,,,,,,,,,
,,2018 - 2019,853,451,0.53,448,450,1,,,,,,,,,
,,2019 - 2020,275,179,0.65,752,"1,069.00",1.42,,,,,,,,,
,,2020 - 2021,544,357,0.66,430,579,1.35,6,6,1,,,,,,
,,2021 - 2022,"1,437.00",881,0.61,439,406,0.92,,,,,,,,,
,,2022 - 2023,145,74,0.51,295,230,0.78,,,,,,,,,
,5. Bengaluru urban,2000 - 2001,"2,589.00","1,535.00",0.59,"1,635.00","1,462.00",0.89,,,,,,,,,
,,2001 - 2002,"1,190.00","1,060.00",0.89,"1,086.00",574,0.53,,,,,,,,,
,,2002 - 2003,"1,502.00","1,266.00",0.84,"2,439.00","1,928.00",0.79,,,,,,,,,
,,2003 - 2004,"1,160.00",564,0.49,781,697,0.89,,,,,,,,,
,,2004 - 2005,480,286,0.6,"1,469.00","1,595.00",1.09,,,,,,,,,
,,2005 - 2006,279,165,0.59,"1,250.00",714,0.57,,,,,,,,,
,,2006 - 2007,607,191,0.31,114,41,0.36,,,,,,,,,
,,2007 - 2008,583,409,0.7,443,227,0.51,,,,,,,,,
,,2008 - 2009,429,164,0.38,488,221,0.45,,,,,,,,,
,,2009 - 2010,302,146,0.48,611,322,0.53,,,,,,,,,
,,2010 - 2011,290,140,0.48,575,330,0.57,,,,,,,,,
,,2011 - 2012,276,151,0.55,391,214,0.55,,,,,,,,,
,,2012 - 2013,196,121,0.62,690,281,0.41,,,,,,,,,
,,2013 - 2014,166,91,0.55,443,223,0.5,,,,,,,,,
,,2014 - 2015,199,135,0.68,403,188,0.47,,,,,,,,,
,,2015 - 2016,170,67,0.39,534,248,0.46,,,,,,,,,
,,2016 - 2017,126,49,0.39,304,92,0.3,,,,,,,,,
,,2017 - 2018,71,45,0.63,307,212,0.69,,,,,,,,,
,,2018 - 2019,550,277,0.5,546,230,0.42,,,,,,,,,
,,2019 - 2020,18,12,0.67,842,641,0.76,,,,,,,,,
,,2020 - 2021,5,3,0.6,261,174,0.67,,,,,,,,,
,,2021 - 2022,13,8,0.62,135,85,0.63,,,,,,,,,
,,2022 - 2023,13,8,0.62,123,78,0.63,,,,,,,,,
,6. Bidar,2000 - 2001,,,,77,44,0.57,,,,,,,,,
,,2001 - 2002,,,,55,29,0.53,,,,,,,,,
,,2002 - 2003,,,,46,18,0.39,,,,,,,,,
,,2003 - 2004,,,,36,13,0.36,,,,,,,,,
,,2004 - 2005,,,,38,20,0.53,,,,,,,,,
,,2005 - 2006,,,,38,22,0.58,,,,,,,,,
,,2006 - 2007,,,,85,31,0.36,,,,,,,,,
,,2007 - 2008,,,,52,27,0.52,,,,,,,,,
,,2013 - 2014,,,,16,8,0.5,,,,,,,,,
,,2016 - 2017,,,,8,2,0.25,,,,,,,,,
,,2017 - 2018,,,,95,66,0.69,,,,,,,,,
,,2018 - 2019,,,,350,147,0.42,,,,,,,,,
,,2019 - 2020,1,1,1,174,132,0.76,,,,,,,,,
,,2020 - 2021,7,5,0.71,202,135,0.67,,,,,,,,,
,,2021 - 2022,8,5,0.63,113,71,0.63,,,,,,,,,
,,2022 - 2023,7,4,0.57,33,21,0.64,,,,,,,,,
,7. Bijapur,2000 - 2001,"1,536.00",623,0.41,"16,226.00","6,906.00",0.43,,,,,,,,,
,,2001 - 2002,"4,423.00","1,580.00",0.36,"5,284.00","1,742.00",0.33,,,,,,,,,
,,2002 - 2003,"3,001.00","2,452.00",0.82,"9,833.00","2,242.00",0.23,,,,,,,,,
,,2003 - 2004,"1,704.00",100,0.06,"6,247.00","1,056.00",0.17,,,,,,,,,
,,2004 - 2005,"1,356.00",528,0.39,"19,297.00","10,174.00",0.53,,,,,,,,,
,,2005 - 2006,"1,167.00",706,0.6,"14,983.00","6,078.00",0.41,,,,,,,,,
,,2006 - 2007,"1,595.00",947,0.59,"14,568.00","4,055.00",0.28,,,,,,,,,
,,2007 - 2008,713,166,0.23,"14,767.00","5,415.00",0.37,,,,,,,,,
,,2008 - 2009,933,197,0.21,"2,780.00",932,0.34,,,,,,,,,
,,2009 - 2010,"1,762.00",403,0.23,"7,343.00","1,207.00",0.16,,,,,,,,,
,,2010 - 2011,618,223,0.36,"9,294.00","2,481.00",0.27,,,,,,,,,
,,2011 - 2012,300,48,0.16,"5,565.00","1,211.00",0.22,,,,,,,,,
,,2012 - 2013,66,9,0.14,"2,825.00",499,0.18,,,,,,,,,
,,2013 - 2014,65,7,0.11,"3,896.00","1,081.00",0.28,,,,,,,,,
,,2014 - 2015,,,,"3,105.00",587,0.19,,,,,,,,,
,,2015 - 2016,,,,513,38,0.07,,,,,,,,,
,,2016 - 2017,,,,151,51,0.34,,,,,,,,,
,,2017 - 2018,,,,657,358,0.54,,,,,,,,,
,,2018 - 2019,,,,198,64,0.32,,,,,,,,,
,,2019 - 2020,10,7,0.7,520,246,0.47,,,,,,,,,
,,2020 - 2021,24,16,0.67,415,211,0.51,,,,,,,,,
,,2021 - 2022,5,3,0.6,250,166,0.66,,,,,,,,,
,,2022 - 2023,26,16,0.62,238,126,0.53,,,,,,,,,
,8. Chamarajanagar,2000 - 2001,"19,659.00","6,313.00",0.32,367,166,0.45,,,,,,,,,
,,2001 - 2002,"26,730.00","5,180.00",0.19,"2,561.00","1,353.00",0.53,,,,,,,,,
,,2002 - 2003,"26,134.00","5,263.00",0.2,"2,505.00",980,0.39,,,,,,,,,
,,2003 - 2004,"20,641.00","3,000.00",0.15,"3,427.00",365,0.11,,,,,,,,,
,,2004 - 2005,"24,663.00","9,185.00",0.37,525,131,0.25,,,,,,,,,
,,2005 - 2006,"23,374.00","8,549.00",0.37,110,46,0.42,,,,,,,,,
,,2006 - 2007,"19,739.00","6,563.00",0.33,,,,,,,,,,,,
,,2007 - 2008,"21,125.00","11,981.00",0.57,501,103,0.21,,,,,,,,,
,,2008 - 2009,"19,014.00","7,225.00",0.38,"2,127.00",725,0.34,,,,,,,,,
,,2009 - 2010,"18,463.00","10,822.00",0.59,"1,278.00",534,0.42,,,,,,,,,
,,2010 - 2011,"25,285.00","15,565.00",0.62,338,160,0.47,,,,,,,,,
,,2011 - 2012,"13,822.00","9,205.00",0.67,70,48,0.69,,,,,,,,,
,,2012 - 2013,"39,632.00","18,825.00",0.47,61,20,0.33,,,,,,,,,
,,2013 - 2014,"17,704.00","10,344.00",0.58,389,210,0.54,,,,,,,,,
,,2014 - 2015,"15,081.00","6,705.00",0.44,288,153,0.53,,,,,,,,,
,,2015 - 2016,"13,072.00","6,967.00",0.53,423,301,0.71,,,,,,,,,
,,2016 - 2017,"22,974.00",524,0.02,,,,,,,,,,,,
,,2017 - 2018,"28,202.00","19,585.00",0.69,612,490,0.8,,,,,,,,,
,,2018 - 2019,"31,294.00","17,094.00",0.55,202,94,0.47,,,,,,,,,
,,2019 - 2020,"20,703.00","15,872.00",0.77,"18,900.00","15,495.00",0.82,,,,,,,,,
,,2020 - 2021,"13,803.00","10,711.00",0.78,"7,061.00","5,719.00",0.81,6,4,0.67,,,,,,
,,2021 - 2022,"23,119.00","16,831.00",0.73,"4,536.00","2,781.00",0.61,,,,,,,,,
,,2022 - 2023,"11,442.00","9,050.00",0.79,"4,234.00","3,387.00",0.8,,,,,,,,,
,9. Chikballapur,2007 - 2008,295,76,0.26,320,163,0.51,,,,,,,,,
,,2008 - 2009,770,299,0.39,"1,341.00",854,0.64,,,,,,,,,
,,2009 - 2010,"2,722.00","1,192.00",0.44,"6,165.00","2,038.00",0.33,,,,,,,,,
,,2010 - 2011,467,254,0.54,"3,131.00","1,817.00",0.58,,,,,,,,,
,,2011 - 2012,327,95,0.29,285,210,0.74,,,,,,,,,
,,2012 - 2013,312,81,0.26,675,266,0.39,,,,,,,,,
,,2013 - 2014,701,298,0.43,"1,212.00",640,0.53,,,,,,,,,
