State,District,Year,Cardamom,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,70,1,0.01,,,
,,2018 - 2019,70,1,0.01,,,
,,2019 - 2020,65,1,0.02,,,
,,2020 - 2021,65,1,0.02,,,
,,2021 - 2022,65,1,0.02,,,
,,2022 - 2023,65,1,0.02,,,
,8. Palakkad,2000 - 2001,"2,921.00",176,0.06,,,
,,2001 - 2002,"2,754.00",190,0.07,,,
,,2002 - 2003,"2,754.00",201,0.07,,,
,,2003 - 2004,"2,754.00",213,0.08,,,
,,2004 - 2005,"2,756.00",229,0.08,,,
,,2005 - 2006,"2,754.00",270,0.1,,,
,,2006 - 2007,"2,754.00",260,0.09,,,
,,2007 - 2008,"2,754.00",274,0.1,,,
,,2008 - 2009,"2,754.00",333,0.12,,,
,,2009 - 2010,"2,754.00",330,0.12,,,
,,2011 - 2012,"2,754.00",333,0.12,,,
,,2012 - 2013,"2,754.00",284,0.1,,,
,,2013 - 2014,"2,755.00",290,0.11,,,
,,2014 - 2015,"2,755.00",290,0.11,,,
,,2015 - 2016,"2,760.00",290,0.11,,,
,,2016 - 2017,"2,755.00",290,0.11,,,
,,2017 - 2018,"2,754.00",69,0.03,,,
,,2018 - 2019,"2,754.00",67,0.02,,,
,,2019 - 2020,"2,754.00",65,0.02,,,
,,2020 - 2021,"2,754.00",68,0.02,,,
,,2021 - 2022,"2,754.00",71,0.03,,,
,,2022 - 2023,"2,753.00",73,0.03,,,
,9. Pathanamthitta,2000 - 2001,664,67,0.1,,,
,,2001 - 2002,664,77,0.12,,,
,,2002 - 2003,664,78,0.12,,,
,,2003 - 2004,664,79,0.12,,,
,,2004 - 2005,664,82,0.12,,,
,,2005 - 2006,664,9,0.01,,,
,,2006 - 2007,664,8,0.01,,,
,,2007 - 2008,664,6,0.01,,,
,,2008 - 2009,664,12,0.02,,,
,,2009 - 2010,664,11,0.02,,,
,,2011 - 2012,664,12,0.02,,,
,,2012 - 2013,664,24,0.04,,,
,,2013 - 2014,665,8,0.01,,,
,,2014 - 2015,665,8,0.01,,,
,,2015 - 2016,665,8,0.01,,,
,,2016 - 2017,665,8,0.01,,,
,,2017 - 2018,664,5,0.01,,,
,,2018 - 2019,664,5,0.01,,,
,,2019 - 2020,"1,328.00",25,0.02,,,
,,2020 - 2021,664,64,0.1,,,
,,2021 - 2022,664,64,0.1,,,
,,2022 - 2023,664,29,0.04,,,
,10. Thiruvananthapuram,2000 - 2001,5,,0,,,
,,2001 - 2002,4,,0,,,
,,2007 - 2008,5,,0,,,
,11. Wayanad,2000 - 2001,"4,108.00",244,0.06,,,
,,2001 - 2002,"4,106.00",300,0.07,,,
,,2002 - 2003,"4,107.00",317,0.08,,,
,,2003 - 2004,"4,106.00",329,0.08,,,
,,2004 - 2005,"4,110.00",345,0.08,,,
,,2005 - 2006,"4,106.00",380,0.09,,,
,,2006 - 2007,"4,106.00",359,0.09,,,
,,2007 - 2008,"4,106.00",324,0.08,,,
,,2008 - 2009,"4,106.00",362,0.09,,,
,,2009 - 2010,"4,106.00",366,0.09,,,
,,2011 - 2012,"4,106.00",362,0.09,,,
,,2012 - 2013,"4,120.00",610,0.15,,,
,,2013 - 2014,"4,125.00",650,0.16,,,
,,2014 - 2015,"4,125.00",690,0.17,,,
,,2015 - 2016,"4,120.00",660,0.16,,,
,,2016 - 2017,"4,120.00",335,0.08,,,
,,2017 - 2018,"4,120.00",355,0.09,,,
,,2018 - 2019,"4,120.00",215,0.05,,,
,,2019 - 2020,"4,103.00",198,0.05,,,
,,2020 - 2021,"4,103.00",510,0.12,,,
,,2021 - 2022,"4,103.00",510,0.12,,,
,,2022 - 2023,"4,104.00",445,0.11,,,
3. Nagaland,1. Dimapur,2006 - 2007,,,,280,430,1.54
,2. Kiphire,2008 - 2009,,,,20,10,0.5
,3. Kohima,2006 - 2007,,,,140,220,1.57
,,2007 - 2008,,,,50,30,0.6
,,2008 - 2009,,,,150,20,0.13
,4. Mokokchung,2006 - 2007,,,,170,280,1.65
,,2007 - 2008,,,,30,10,0.33
,,2008 - 2009,,,,10,10,1
,5. Mon,2008 - 2009,,,,80,20,0.25
,6. Phek,2006 - 2007,,,,160,260,1.63
,,2007 - 2008,,,,100,50,0.5
,,2008 - 2009,,,,400,60,0.15
,7. Tuensang,2008 - 2009,,,,60,10,0.17
,8. Wokha,2006 - 2007,,,,150,250,1.67
,,2007 - 2008,,,,20,10,0.5
,,2008 - 2009,,,,20,10,0.5
,9. Zunheboto,2008 - 2009,,,,60,10,0.17
4. Tamil Nadu,1. Coimbatore,2000 - 2001,6,,0,,,
,,2003 - 2004,813,63,0.08,,,
,,2004 - 2005,813,63,0.08,,,
,,2005 - 2006,869,68,0.08,,,
,,2006 - 2007,869,68,0.08,,,
,,2007 - 2008,808,63,0.08,,,
,,2008 - 2009,808,63,0.08,,,
,,2009 - 2010,808,63,0.08,,,
,,2011 - 2012,808,63,0.08,,,
,,2013 - 2014,808,63,0.08,,,
,,2014 - 2015,808,63,0.08,,,
,,2015 - 2016,808,26,0.03,,,
,,2016 - 2017,808,63,0.08,,,
,,2017 - 2018,808,63,0.08,,,
,,2018 - 2019,808,63,0.08,,,
,,2019 - 2020,808,63,0.08,,,
,,2020 - 2021,813,74,0.09,,,
,,2021 - 2022,813,66,0.08,,,
,,2022 - 2023,810,66,0.08,,,
,2. Dharmapuri,2013 - 2014,4,,0,,,
,3. Dindigul,2000 - 2001,9,1,0.11,,,
,,2003 - 2004,260,26,0.1,,,
,,2004 - 2005,282,28,0.1,,,
,,2005 - 2006,289,29,0.1,,,
,,2006 - 2007,286,28,0.1,,,
,,2007 - 2008,284,28,0.1,,,
,,2008 - 2009,268,27,0.1,,,
,,2009 - 2010,285,28,0.1,,,
,,2011 - 2012,320,32,0.1,,,
,,2013 - 2014,274,27,0.1,,,
,,2014 - 2015,259,26,0.1,,,
,,2015 - 2016,231,2,0.01,,,
,,2016 - 2017,248,25,0.1,,,
,,2017 - 2018,240,24,0.1,,,
,,2018 - 2019,241,24,0.1,,,
,,2019 - 2020,270,27,0.1,,,
,,2020 - 2021,240,22,0.09,,,
,,2021 - 2022,293,29,0.1,,,
,,2022 - 2023,303,30,0.1,,,
,4. Erode,2004 - 2005,1,,0,,,
,,2005 - 2006,3,,0,,,
,,2006 - 2007,3,,0,,,
