State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,134,143,1.07,,,,,,,,,
,,2002 - 2003,164,199,1.21,,,,,,,,,
,,2003 - 2004,150,254,1.69,,,,,,,,,
,,2004 - 2005,213,318,1.49,,,,,,,,,
,,2005 - 2006,92,140,1.52,,,,,,,,,
,,2006 - 2007,82,87,1.06,,,,,,,,,
,,2007 - 2008,112,165,1.47,,,,,,,,,
,,2008 - 2009,72,79,1.1,,,,,,,,,
,,2009 - 2010,77,87,1.13,,,,,,,,,
,,2010 - 2011,25,33,1.32,,,,,,,,,
,,2011 - 2012,15,23,1.53,,,,,,,,,
,,2022 - 2023,"1,228.00","2,121.00",1.73,,,,,,,,,
,12. Jamui,2000 - 2001,691,658,0.95,,,,,,,,,
,,2001 - 2002,668,399,0.6,,,,,,,,,
,,2002 - 2003,"1,313.00","1,142.00",0.87,,,,,,,,,
,,2003 - 2004,"1,335.00","1,179.00",0.88,,,,,,,,,
,,2004 - 2005,"1,263.00","1,331.00",1.05,,,,,,,,,
,,2005 - 2006,291,251,0.86,,,,,,,,,
,,2006 - 2007,462,705,1.53,,,,,,,,,
,,2007 - 2008,537,612,1.14,,,,,,,,,
,,2008 - 2009,562,371,0.66,,,,,,,,,
,,2009 - 2010,24,19,0.79,,,,,,,,,
,,2010 - 2011,51,47,0.92,,,,,,,,,
,,2011 - 2012,51,35,0.69,,,,,,,,,
,,2012 - 2013,47,69,1.47,,,,,,,,,
,,2013 - 2014,44,62,1.41,,,,,,,,,
,,2014 - 2015,141,156,1.11,,,,,,,,,
,,2015 - 2016,345,450,1.3,,,,,,,,,
,,2016 - 2017,208,313,1.5,,,,,,,,,
,,2017 - 2018,186,295,1.59,,,,,,,,,
,,2018 - 2019,306,609,1.99,,,,,,,,,
,,2019 - 2020,152,208,1.37,,,,,,,,,
,,2020 - 2021,187,220,1.18,,,,,,,,,
,,2021 - 2022,55,47,0.85,,,,,,,,,
,,2022 - 2023,146,252,1.73,,,,,,,,,
,13. Jehanabad,2000 - 2001,703,766,1.09,,,,,,,,,
,,2001 - 2002,457,527,1.15,,,,,,,,,
,,2002 - 2003,"1,212.00","1,116.00",0.92,,,,,,,,,
,,2003 - 2004,195,200,1.03,,,,,,,,,
,,2004 - 2005,215,126,0.59,,,,,,,,,
,,2005 - 2006,295,253,0.86,,,,,,,,,
,,2006 - 2007,330,394,1.19,,,,,,,,,
,,2007 - 2008,266,275,1.03,,,,,,,,,
,,2008 - 2009,94,69,0.73,,,,,,,,,
,,2009 - 2010,93,749,8.05,,,,,,,,,
,,2010 - 2011,88,80,0.91,,,,,,,,,
,,2011 - 2012,108,98,0.91,,,,,,,,,
,,2012 - 2013,114,153,1.34,,,,,,,,,
,,2013 - 2014,114,129,1.13,,,,,,,,,
,,2014 - 2015,104,115,1.11,,,,,,,,,
,,2015 - 2016,103,130,1.26,,,,,,,,,
,,2016 - 2017,104,140,1.35,,,,,,,,,
,,2017 - 2018,93,162,1.74,,,,,,,,,
,,2018 - 2019,89,123,1.38,,,,,,,,,
,,2019 - 2020,86,111,1.29,,,,,,,,,
,,2020 - 2021,83,111,1.34,,,,,,,,,
,,2021 - 2022,79,123,1.56,,,,,,,,,
,,2022 - 2023,68,76,1.12,,,,,,,,,
,14. Kaimur (bhabua),2000 - 2001,951,990,1.04,,,,,,,,,
,,2001 - 2002,"1,123.00","1,280.00",1.14,,,,,,,,,
,,2002 - 2003,"1,886.00","2,897.00",1.54,,,,,,,,,
,,2003 - 2004,"1,151.00","1,485.00",1.29,,,,,,,,,
,,2004 - 2005,"1,132.00","1,138.00",1.01,,,,,,,,,
,,2005 - 2006,"1,012.00","1,187.00",1.17,,,,,,,,,
,,2006 - 2007,907,"1,400.00",1.54,,,,,,,,,
,,2007 - 2008,633,699,1.1,,,,,,,,,
,,2008 - 2009,"1,053.00",960,0.91,,,,,,,,,
