State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,"1,250.00","1,903.00",1.52,,,,,,,,,
,,2013 - 2014,"1,231.00","1,290.00",1.05,,,,,,,,,
,,2014 - 2015,"1,072.00","1,004.00",0.94,,,,,,,,,
,,2015 - 2016,"1,057.00","1,399.00",1.32,,,,,,,,,
,,2016 - 2017,"2,785.00","4,047.00",1.45,,,,,,,,,
,,2017 - 2018,"2,312.00","4,656.00",2.01,,,,,,,,,
,,2018 - 2019,"1,493.00","4,276.00",2.86,,,,,,,,,
,,2019 - 2020,"1,264.00","2,130.00",1.69,,,,,,,,,
,,2020 - 2021,"1,087.00","2,338.00",2.15,,,,,,,,,
,,2021 - 2022,"1,188.00","2,807.00",2.36,,,,,,,,,
,,2022 - 2023,893,"1,859.00",2.08,,,,,,,,,
,8. Buxar,2000 - 2001,"1,580.00","2,582.00",1.63,,,,,,,,,
,,2001 - 2002,"1,421.00","2,646.00",1.86,,,,,,,,,
,,2002 - 2003,"1,321.00","1,877.00",1.42,,,,,,,,,
,,2003 - 2004,"1,315.00","1,861.00",1.42,,,,,,,,,
,,2004 - 2005,"1,281.00","1,610.00",1.26,,,,,,,,,
,,2005 - 2006,"1,266.00","1,213.00",0.96,,,,,,,,,
,,2006 - 2007,"1,373.00","1,546.00",1.13,,,,,,,,,
,,2007 - 2008,"1,571.00","2,993.00",1.91,,,,,,,,,
,,2008 - 2009,"1,141.00","2,056.00",1.8,,,,,,,,,
,,2009 - 2010,"1,390.00","1,657.00",1.19,,,,,,,,,
,,2010 - 2011,"1,684.00","2,763.00",1.64,,,,,,,,,
,,2011 - 2012,"1,606.00","2,912.00",1.81,,,,,,,,,
,,2012 - 2013,"1,475.00","1,965.00",1.33,,,,,,,,,
,,2013 - 2014,"1,430.00","2,106.00",1.47,,,,,,,,,
,,2014 - 2015,"1,398.00","1,264.00",0.9,,,,,,,,,
,,2015 - 2016,"1,894.00","2,400.00",1.27,,,,,,,,,
,,2016 - 2017,"1,570.00","3,272.00",2.08,,,,,,,,,
,,2017 - 2018,"1,644.00","3,059.00",1.86,,,,,,,,,
,,2018 - 2019,"6,166.00","13,664.00",2.22,,,,,,,,,
,,2019 - 2020,"1,649.00","2,351.00",1.43,,,,,,,,,
,,2020 - 2021,"1,631.00","3,730.00",2.29,,,,,,,,,
,,2021 - 2022,"1,490.00","3,628.00",2.43,,,,,,,,,
,,2022 - 2023,"1,134.00","2,781.00",2.45,,,,,,,,,
,9. Darbhanga,2000 - 2001,116,136,1.17,,,,,,,,,
,,2001 - 2002,119,149,1.25,,,,,,,,,
,,2002 - 2003,242,164,0.68,,,,,,,,,
,,2003 - 2004,203,227,1.12,,,,,,,,,
,,2004 - 2005,176,186,1.06,,,,,,,,,
,,2005 - 2006,146,151,1.03,,,,,,,,,
,,2006 - 2007,147,157,1.07,,,,,,,,,
,,2007 - 2008,129,155,1.2,,,,,,,,,
,,2008 - 2009,26,28,1.08,,,,,,,,,
,,2009 - 2010,61,69,1.13,,,,,,,,,
,,2010 - 2011,14,19,1.36,,,,,,,,,
,,2011 - 2012,12,19,1.58,,,,,,,,,
,,2012 - 2013,13,19,1.46,,,,,,,,,
,,2013 - 2014,4,6,1.5,,,,,,,,,
,,2014 - 2015,4,4,1,,,,,,,,,
,,2015 - 2016,8,10,1.25,,,,,,,,,
,,2016 - 2017,15,23,1.53,,,,,,,,,
,,2017 - 2018,15,24,1.6,,,,,,,,,
,,2018 - 2019,15,30,2,,,,,,,,,
,10. Gaya,2000 - 2001,"1,485.00","1,693.00",1.14,,,,,,,,,
,,2001 - 2002,"1,351.00","1,808.00",1.34,,,,,,,,,
,,2002 - 2003,"2,113.00","1,557.00",0.74,,,,,,,,,
,,2003 - 2004,"1,609.00","1,660.00",1.03,,,,,,,,,
,,2004 - 2005,"1,320.00","1,012.00",0.77,,,,,,,,,
,,2005 - 2006,"1,237.00","1,055.00",0.85,,,,,,,,,
,,2006 - 2007,856,"1,175.00",1.37,,,,,,,,,
,,2007 - 2008,991,949,0.96,,,,,,,,,
,,2008 - 2009,892,752,0.84,,,,,,,,,
,,2009 - 2010,573,561,0.98,,,,,,,,,
,,2010 - 2011,611,704,1.15,,,,,,,,,
,,2011 - 2012,647,740,1.14,,,,,,,,,
,,2012 - 2013,647,"1,210.00",1.87,,,,,,,,,
,,2013 - 2014,889,828,0.93,,,,,,,,,
,,2014 - 2015,714,743,1.04,,,,,,,,,
,,2015 - 2016,725,954,1.32,,,,,,,,,
,,2016 - 2017,666,"1,009.00",1.52,,,,,,,,,
,,2017 - 2018,682,925,1.36,,,,,,,,,
,,2018 - 2019,615,760,1.24,,,,,,,,,
,,2019 - 2020,180,400,2.22,,,,,,,,,
,,2020 - 2021,191,220,1.15,,,,,,,,,
,,2021 - 2022,192,245,1.28,,,,,,,,,
,,2022 - 2023,193,245,1.27,,,,,,,,,
,11. Gopalganj,2000 - 2001,167,281,1.68,,,,,,,,,
