State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,"3,496.00","3,360.00",0.96,,,,,,
,,2016 - 2017,,,,"6,079.00","5,830.00",0.96,,,,,,
,,2017 - 2018,,,,"3,326.00","2,601.00",0.78,,,,,,
,,2018 - 2019,,,,"3,030.00","2,427.00",0.8,,,,,,
,,2019 - 2020,,,,"4,207.00","4,101.00",0.97,,,,,,
,,2020 - 2021,,,,"4,211.00","3,070.00",0.73,,,,,,
,,2021 - 2022,,,,"4,514.00","2,067.00",0.46,,,,,,
,,2022 - 2023,,,,"4,482.00","2,801.00",0.62,,,,,,
,38. Jalaun,2000 - 2001,,,,"7,472.00","10,342.00",1.38,,,,,,
,,2001 - 2002,,,,"7,242.00","13,493.00",1.86,,,,,,
,,2003 - 2004,,,,"6,697.00","10,399.00",1.55,,,,,,
,,2006 - 2007,,,,"8,677.00","6,019.00",0.69,,,,,,
,,2007 - 2008,,,,"8,509.00","4,480.00",0.53,,,,,,
,,2008 - 2009,,,,"6,683.00","8,277.00",1.24,,,,,,
,,2009 - 2010,,,,"7,975.00","7,869.00",0.99,,,,,,
,,2010 - 2011,,,,"7,313.00","7,963.00",1.09,,,,,,
,,2011 - 2012,,,,"4,575.00","5,072.00",1.11,,,,,,
,,2012 - 2013,,,,"6,431.00","8,934.00",1.39,,,,,,
,,2013 - 2014,,,,"6,663.00","5,490.00",0.82,,,,,,
,,2014 - 2015,,,,"5,366.00","1,750.00",0.33,,,,,,
,,2015 - 2016,,,,"5,247.00",944,0.18,,,,,,
,,2016 - 2017,,,,"6,263.00","7,535.00",1.2,,,,,,
,,2017 - 2018,,,,"3,392.00","5,836.00",1.72,,,,,,
,,2018 - 2019,,,,"2,590.00","1,862.00",0.72,,,,,,
,,2019 - 2020,,,,"4,743.00","4,713.00",0.99,,,,,,
,,2020 - 2021,,,,"5,063.00","9,222.00",1.82,,,,,,
,,2021 - 2022,,,,"7,077.00","11,988.00",1.69,,,,,,
,,2022 - 2023,,,,"5,239.00","8,875.00",1.69,,,,,,
,39. Jaunpur,2000 - 2001,,,,"10,545.00","17,411.00",1.65,,,,,,
,,2001 - 2002,,,,"10,875.00","11,858.00",1.09,,,,,,
,,2003 - 2004,,,,"9,396.00","8,408.00",0.89,,,,,,
,,2006 - 2007,,,,"7,775.00","5,986.00",0.77,,,,,,
,,2007 - 2008,,,,"8,561.00","7,905.00",0.92,,,,,,
,,2008 - 2009,,,,"9,258.00","7,354.00",0.79,,,,,,
,,2009 - 2010,,,,"8,186.00","4,691.00",0.57,,,,,,
,,2010 - 2011,,,,"10,539.00","8,145.00",0.77,,,,,,
,,2011 - 2012,,,,"13,236.00","12,280.00",0.93,,,,,,
,,2012 - 2013,,,,"8,571.00","9,095.00",1.06,,,,,,
,,2013 - 2014,,,,"13,327.00","12,808.00",0.96,,,,,,
,,2014 - 2015,,,,"11,954.00","11,677.00",0.98,,,,,,
,,2015 - 2016,,,,"9,977.00","9,515.00",0.95,,,,,,
,,2016 - 2017,,,,"10,140.00","8,485.00",0.84,,,,,,
,,2017 - 2018,,,,"7,303.00","5,092.00",0.7,,,,,,
,,2018 - 2019,,,,"11,103.00","13,942.00",1.26,,,,,,
,,2019 - 2020,,,,"10,237.00","12,014.00",1.17,,,,,,
,,2020 - 2021,,,,"9,963.00","11,888.00",1.19,,,,,,
,,2021 - 2022,,,,"12,463.00","23,642.00",1.9,,,,,,
,,2022 - 2023,,,,"11,924.00","22,620.00",1.9,,,,,,
,40. Jhansi,2000 - 2001,,,,"2,837.00","3,194.00",1.13,,,,,,
,,2001 - 2002,,,,"2,734.00","4,249.00",1.55,,,,,,
,,2003 - 2004,,,,"2,040.00","2,017.00",0.99,,,,,,
,,2006 - 2007,,,,"3,910.00","1,515.00",0.39,,,,,,
,,2007 - 2008,,,,"2,084.00",179,0.09,,,,,,
,,2008 - 2009,,,,"1,084.00",877,0.81,,,,,,
,,2009 - 2010,,,,"4,046.00","1,230.00",0.3,,,,,,
,,2010 - 2011,,,,"3,836.00","3,045.00",0.79,,,,,,
,,2011 - 2012,,,,"1,913.00","1,854.00",0.97,,,,,,
,,2012 - 2013,,,,786,323,0.41,,,,,,
,,2013 - 2014,,,,"1,036.00",845,0.82,,,,,,
,,2014 - 2015,,,,"3,525.00","1,212.00",0.34,,,,,,
,,2015 - 2016,,,,"2,986.00",389,0.13,,,,,,
,,2016 - 2017,,,,"2,091.00","1,973.00",0.94,,,,,,
,,2017 - 2018,,,,818,540,0.66,,,,,,
,,2018 - 2019,,,,462,309,0.67,,,,,,
,,2019 - 2020,,,,95,67,0.71,,,,,,
,,2020 - 2021,,,,365,530,1.45,,,,,,
,,2021 - 2022,,,,"1,236.00","2,101.00",1.7,,,,,,
,,2022 - 2023,,,,410,695,1.7,,,,,,
,41. Kannauj,2000 - 2001,,,,"2,717.00","3,100.00",1.14,,,,,,
,,2001 - 2002,,,,"3,101.00","3,812.00",1.23,,,,,,
,,2003 - 2004,,,,"2,386.00","2,358.00",0.99,,,,,,
,,2006 - 2007,,,,"2,296.00","1,574.00",0.69,,,,,,
,,2007 - 2008,,,,"1,959.00","2,018.00",1.03,,,,,,
,,2008 - 2009,,,,"1,577.00","2,047.00",1.3,,,,,,
,,2009 - 2010,,,,"1,466.00","1,165.00",0.79,,,,,,
,,2010 - 2011,,,,"1,776.00","1,665.00",0.94,,,,,,
,,2011 - 2012,,,,"1,669.00","2,236.00",1.34,,,,,,
,,2012 - 2013,,,,"1,787.00","2,075.00",1.16,,,,,,
,,2013 - 2014,,,,"1,342.00","1,374.00",1.02,,,,,,
,,2014 - 2015,,,,"1,052.00",520,0.49,,,,,,
,,2015 - 2016,,,,814,339,0.42,,,,,,
,,2016 - 2017,,,,"1,243.00","1,769.00",1.42,,,,,,
,,2017 - 2018,,,,"1,367.00","1,779.00",1.3,,,,,,
,,2018 - 2019,,,,"1,079.00","1,613.00",1.49,,,,,,
,,2019 - 2020,,,,"1,339.00","2,428.00",1.81,,,,,,
,,2020 - 2021,,,,949,"1,208.00",1.27,,,,,,
,,2021 - 2022,,,,"1,584.00","1,532.00",0.97,,,,,,
,,2022 - 2023,,,,"1,155.00","1,855.00",1.61,,,,,,
,42. Kanpur dehat,2003 - 2004,,,,"9,143.00","13,411.00",1.47,,,,,,
,,2006 - 2007,,,,"9,523.00","13,490.00",1.42,,,,,,
,,2007 - 2008,,,,"9,613.00","13,540.00",1.41,,,,,,
,,2008 - 2009,,,,"8,414.00","14,990.00",1.78,,,,,,
,,2009 - 2010,,,,"7,622.00","4,298.00",0.56,,,,,,
,,2010 - 2011,,,,"8,041.00","17,200.00",2.14,,,,,,
,,2011 - 2012,,,,"7,328.00","10,975.00",1.5,,,,,,
,,2012 - 2013,,,,"8,394.00","12,934.00",1.54,,,,,,
,,2013 - 2014,,,,"7,560.00","8,595.00",1.14,,,,,,
,,2014 - 2015,,,,"7,732.00","3,814.00",0.49,,,,,,
,,2015 - 2016,,,,"7,337.00","3,053.00",0.42,,,,,,
,,2016 - 2017,,,,"8,228.00","17,348.00",2.11,,,,,,
,,2017 - 2018,,,,"7,743.00","16,846.00",2.18,,,,,,
,,2018 - 2019,,,,"7,470.00","17,102.00",2.29,,,,,,
,,2019 - 2020,,,,"7,351.00","16,844.00",2.29,,,,,,
,,2020 - 2021,,,,"8,093.00","15,140.00",1.87,,,,,,
,,2021 - 2022,,,,"9,382.00","16,597.00",1.77,,,,,,
,,2022 - 2023,,,,"7,574.00","13,398.00",1.77,,,,,,
,43. Kanpur nagar,2000 - 2001,,,,"20,134.00","46,020.00",2.29,,,,,,
,,2001 - 2002,,,,"17,403.00","36,787.00",2.11,,,,,,
,,2003 - 2004,,,,"6,533.00","12,147.00",1.86,,,,,,
,,2006 - 2007,,,,"7,105.00","8,637.00",1.22,,,,,,
,,2007 - 2008,,,,"5,418.00","10,951.00",2.02,,,,,,
,,2008 - 2009,,,,"5,140.00","10,603.00",2.06,,,,,,
,,2009 - 2010,,,,"5,272.00","6,201.00",1.18,,,,,,
,,2010 - 2011,,,,"5,804.00","9,984.00",1.72,,,,,,
,,2011 - 2012,,,,"6,196.00","16,072.00",2.59,,,,,,
,,2012 - 2013,,,,"6,482.00","14,105.00",2.18,,,,,,
,,2013 - 2014,,,,"4,876.00","13,264.00",2.72,,,,,,
,,2014 - 2015,,,,"4,771.00","3,684.00",0.77,,,,,,
,,2015 - 2016,,,,"4,866.00","2,709.00",0.56,,,,,,
,,2016 - 2017,,,,"5,958.00","6,756.00",1.13,,,,,,
,,2017 - 2018,,,,"5,114.00","12,179.00",2.38,,,,,,
,,2018 - 2019,,,,"4,898.00","9,846.00",2.01,,,,,,
,,2019 - 2020,,,,"5,076.00","6,032.00",1.19,,,,,,
,,2020 - 2021,,,,"5,002.00","10,182.00",2.04,,,,,,
,,2021 - 2022,,,,"6,263.00","13,428.00",2.14,,,,,,
,,2022 - 2023,,,,"5,084.00","8,165.00",1.61,,,,,,
,44. Kasganj,2009 - 2010,,,,"1,336.00","1,196.00",0.9,,,,,,
,,2010 - 2011,,,,"2,071.00","1,672.00",0.81,,,,,,
,,2011 - 2012,,,,"1,284.00","1,056.00",0.82,,,,,,
,,2012 - 2013,,,,"1,516.00","1,729.00",1.14,,,,,,
,,2013 - 2014,,,,"1,661.00","2,302.00",1.39,,,,,,
,,2014 - 2015,,,,"1,143.00","1,323.00",1.16,,,,,,
,,2015 - 2016,,,,"1,411.00","1,334.00",0.95,,,,,,
,,2016 - 2017,,,,"1,680.00","1,507.00",0.9,,,,,,
,,2017 - 2018,,,,"1,315.00",998,0.76,,,,,,
,,2018 - 2019,,,,"1,369.00","1,023.00",0.75,,,,,,
,,2019 - 2020,,,,"1,493.00","1,091.00",0.73,,,,,,
,,2020 - 2021,,,,"1,472.00","1,068.00",0.73,,,,,,
,,2021 - 2022,,,,"1,649.00",925,0.56,,,,,,
,,2022 - 2023,,,,"1,509.00",943,0.62,,,,,,
,45. Kaushambi,2000 - 2001,,,,"7,188.00","21,314.00",2.97,,,,,,
,,2001 - 2002,,,,"6,655.00","17,886.00",2.69,,,,,,
,,2003 - 2004,,,,"6,276.00","17,267.00",2.75,,,,,,
,,2006 - 2007,,,,"11,925.00","7,973.00",0.67,,,,,,
,,2007 - 2008,,,,"12,463.00","17,421.00",1.4,,,,,,
,,2008 - 2009,,,,"7,847.00","9,014.00",1.15,,,,,,
,,2009 - 2010,,,,"3,418.00","1,227.00",0.36,,,,,,
,,2010 - 2011,,,,"10,343.00","8,300.00",0.8,,,,,,
,,2011 - 2012,,,,"9,611.00","11,530.00",1.2,,,,,,
,,2012 - 2013,,,,"7,878.00","9,643.00",1.22,,,,,,
,,2013 - 2014,,,,"6,844.00","4,172.00",0.61,,,,,,
,,2014 - 2015,,,,"8,962.00","5,232.00",0.58,,,,,,
,,2015 - 2016,,,,"9,227.00","7,180.00",0.78,,,,,,
,,2016 - 2017,,,,"8,012.00","14,076.00",1.76,,,,,,
,,2017 - 2018,,,,"8,783.00","13,795.00",1.57,,,,,,
,,2018 - 2019,,,,"3,201.00","5,826.00",1.82,,,,,,
,,2019 - 2020,,,,"5,435.00","4,630.00",0.85,,,,,,
,,2020 - 2021,,,,"8,046.00","11,231.00",1.4,,,,,,
,,2021 - 2022,,,,"10,675.00","18,852.00",1.77,,,,,,
,,2022 - 2023,,,,"9,985.00","17,634.00",1.77,,,,,,
,46. Kheri,2000 - 2001,,,,"2,871.00","2,492.00",0.87,,,,,,
,,2001 - 2002,,,,"2,322.00","1,726.00",0.74,,,,,,
,,2003 - 2004,,,,"1,709.00","1,138.00",0.67,,,,,,
,,2006 - 2007,,,,"1,260.00","1,007.00",0.8,,,,,,
,,2007 - 2008,,,,"1,374.00","1,390.00",1.01,,,,,,
,,2008 - 2009,,,,"1,298.00","1,293.00",1,,,,,,
,,2009 - 2010,,,,"1,172.00",853,0.73,,,,,,
,,2010 - 2011,,,,"1,103.00",898,0.81,,,,,,
,,2011 - 2012,,,,756,677,0.9,,,,,,
,,2012 - 2013,,,,"1,102.00",894,0.81,,,,,,
,,2013 - 2014,,,,"1,031.00",757,0.73,,,,,,
,,2014 - 2015,,,,829,320,0.39,,,,,,
,,2015 - 2016,,,,577,508,0.88,,,,,,
,,2016 - 2017,,,,"1,882.00","1,856.00",0.99,,,,,,
,,2017 - 2018,,,,867,"1,020.00",1.18,,,,,,
,,2018 - 2019,,,,888,650,0.73,,,,,,
,,2019 - 2020,,,,741,379,0.51,,,,,,
,,2020 - 2021,,,,"1,450.00","1,212.00",0.84,,,,,,
,,2021 - 2022,,,,"1,386.00",980,0.71,,,,,,
,,2022 - 2023,,,,"1,770.00","1,096.00",0.62,,,,,,
,47. Kushi nagar,2000 - 2001,,,,"1,363.00","1,093.00",0.8,,,,,,
,,2001 - 2002,,,,"1,363.00",702,0.52,,,,,,
,,2003 - 2004,,,,"1,065.00",552,0.52,,,,,,
,,2006 - 2007,,,,"1,272.00",686,0.54,,,,,,
,,2007 - 2008,,,,"1,006.00",604,0.6,,,,,,
,,2008 - 2009,,,,877,574,0.65,,,,,,
,,2009 - 2010,,,,597,386,0.65,,,,,,
,,2010 - 2011,,,,570,388,0.68,,,,,,
,,2011 - 2012,,,,946,773,0.82,,,,,,
,,2012 - 2013,,,,684,490,0.72,,,,,,
,,2013 - 2014,,,,"1,058.00",982,0.93,,,,,,
,,2014 - 2015,,,,720,262,0.36,,,,,,
,,2015 - 2016,,,,564,372,0.66,,,,,,
,,2016 - 2017,,,,"1,068.00",994,0.93,,,,,,
,,2017 - 2018,,,,771,417,0.54,,,,,,
,,2018 - 2019,,,,634,397,0.63,,,,,,
,,2019 - 2020,,,,826,182,0.22,,,,,,
,,2020 - 2021,,,,698,447,0.64,,,,,,
,,2021 - 2022,,,,"1,001.00",618,0.62,,,,,,
,,2022 - 2023,,,,849,558,0.66,,,,,,
,48. Lalitpur,2000 - 2001,,,,92,104,1.13,,,,,,
,,2001 - 2002,,,,38,26,0.68,,,,,,
,,2003 - 2004,,,,27,31,1.15,,,,,,
,,2008 - 2009,,,,45,53,1.18,,,,,,
,,2009 - 2010,,,,93,56,0.6,,,,,,
,,2010 - 2011,,,,220,147,0.67,,,,,,
,,2011 - 2012,,,,15,10,0.67,,,,,,
,,2012 - 2013,,,,53,34,0.64,,,,,,
,,2013 - 2014,,,,8,7,0.88,,,,,,
,,2014 - 2015,,,,10,3,0.3,,,,,,
,,2018 - 2019,,,,6,4,0.67,,,,,,
,,2020 - 2021,,,,5,4,0.8,,,,,,
,,2021 - 2022,,,,12,13,1.08,,,,,,
,49. Lucknow,2000 - 2001,,,,"3,638.00","3,158.00",0.87,,,,,,
,,2001 - 2002,,,,"3,399.00","3,346.00",0.98,,,,,,
,,2003 - 2004,,,,"2,260.00","1,504.00",0.67,,,,,,
,,2006 - 2007,,,,"1,055.00",844,0.8,,,,,,
,,2007 - 2008,,,,"1,414.00","1,430.00",1.01,,,,,,
,,2008 - 2009,,,,"1,113.00","1,109.00",1,,,,,,
,,2009 - 2010,,,,752,548,0.73,,,,,,
,,2010 - 2011,,,,855,696,0.81,,,,,,
,,2011 - 2012,,,,931,835,0.9,,,,,,
,,2012 - 2013,,,,802,651,0.81,,,,,,
,,2013 - 2014,,,,812,596,0.73,,,,,,
,,2014 - 2015,,,,532,206,0.39,,,,,,
,,2015 - 2016,,,,509,448,0.88,,,,,,
,,2016 - 2017,,,,604,596,0.99,,,,,,
,,2017 - 2018,,,,751,884,1.18,,,,,,
,,2018 - 2019,,,,242,177,0.73,,,,,,
,,2019 - 2020,,,,757,388,0.51,,,,,,
,,2020 - 2021,,,,997,965,0.97,,,,,,
,,2021 - 2022,,,,972,642,0.66,,,,,,
,,2022 - 2023,,,,"1,214.00",752,0.62,,,,,,
,50. Maharajganj,2000 - 2001,,,,"1,314.00","1,053.00",0.8,,,,,,
,,2001 - 2002,,,,"1,353.00",697,0.52,,,,,,
,,2003 - 2004,,,,846,439,0.52,,,,,,
,,2006 - 2007,,,,734,396,0.54,,,,,,
,,2007 - 2008,,,,862,517,0.6,,,,,,
,,2008 - 2009,,,,567,371,0.65,,,,,,
,,2009 - 2010,,,,633,409,0.65,,,,,,
,,2010 - 2011,,,,396,269,0.68,,,,,,
,,2011 - 2012,,,,661,540,0.82,,,,,,
,,2012 - 2013,,,,397,285,0.72,,,,,,
,,2013 - 2014,,,,467,434,0.93,,,,,,
,,2014 - 2015,,,,301,109,0.36,,,,,,
,,2015 - 2016,,,,238,157,0.66,,,,,,
,,2016 - 2017,,,,447,416,0.93,,,,,,
,,2017 - 2018,,,,315,170,0.54,,,,,,
,,2018 - 2019,,,,401,251,0.63,,,,,,
,,2019 - 2020,,,,451,99,0.22,,,,,,
,,2020 - 2021,,,,463,275,0.59,,,,,,
,,2021 - 2022,,,,474,268,0.57,,,,,,
,,2022 - 2023,,,,563,370,0.66,,,,,,
,51. Mahoba,2000 - 2001,,,,"3,073.00","2,377.00",0.77,,,,,,
,,2001 - 2002,,,,"2,643.00","3,086.00",1.17,,,,,,
,,2003 - 2004,,,,"3,431.00","4,081.00",1.19,,,,,,
,,2006 - 2007,,,,"4,843.00","3,056.00",0.63,,,,,,
,,2007 - 2008,,,,"4,931.00","2,274.00",0.46,,,,,,
,,2008 - 2009,,,,"4,130.00","3,337.00",0.81,,,,,,
,,2009 - 2010,,,,"5,718.00","3,454.00",0.6,,,,,,
,,2010 - 2011,,,,"3,948.00","1,894.00",0.48,,,,,,
,,2011 - 2012,,,,"4,293.00","3,661.00",0.85,,,,,,
,,2012 - 2013,,,,"4,012.00","3,170.00",0.79,,,,,,
,,2013 - 2014,,,,"6,710.00","6,189.00",0.92,,,,,,
,,2014 - 2015,,,,"2,609.00","1,292.00",0.5,,,,,,
,,2015 - 2016,,,,"2,024.00",908,0.45,,,,,,
,,2016 - 2017,,,,"4,079.00","4,203.00",1.03,,,,,,
,,2017 - 2018,,,,"3,052.00","2,685.00",0.88,,,,,,
,,2018 - 2019,,,,"3,341.00","4,003.00",1.2,,,,,,
,,2019 - 2020,,,,"3,591.00","2,230.00",0.62,,,,,,
,,2020 - 2021,,,,"3,591.00","2,664.00",0.74,,,,,,
,,2021 - 2022,,,,"4,010.00","4,150.00",1.03,,,,,,
,,2022 - 2023,,,,"4,376.00","5,404.00",1.23,,,,,,
,52. Mainpuri,2000 - 2001,,,,"1,531.00","1,332.00",0.87,,,,,,
,,2001 - 2002,,,,"1,654.00","1,137.00",0.69,,,,,,
,,2003 - 2004,,,,"1,109.00","1,075.00",0.97,,,,,,
,,2006 - 2007,,,,"1,240.00","1,050.00",0.85,,,,,,
,,2007 - 2008,,,,802,780,0.97,,,,,,
,,2008 - 2009,,,,701,550,0.78,,,,,,
,,2009 - 2010,,,,629,418,0.66,,,,,,
,,2010 - 2011,,,,980,670,0.68,,,,,,
,,2011 - 2012,,,,804,709,0.88,,,,,,
,,2012 - 2013,,,,750,844,1.13,,,,,,
,,2013 - 2014,,,,"1,185.00","1,495.00",1.26,,,,,,
,,2014 - 2015,,,,634,696,1.1,,,,,,
,,2015 - 2016,,,,710,601,0.85,,,,,,
,,2016 - 2017,,,,"1,114.00","1,003.00",0.9,,,,,,
,,2017 - 2018,,,,"1,083.00","1,341.00",1.24,,,,,,
,,2018 - 2019,,,,"1,004.00","1,122.00",1.12,,,,,,
,,2019 - 2020,,,,"1,070.00","1,152.00",1.08,,,,,,
,,2020 - 2021,,,,776,"1,439.00",1.85,,,,,,
,,2021 - 2022,,,,864,"1,371.00",1.59,,,,,,
,,2022 - 2023,,,,815,"1,223.00",1.5,,,,,,
,53. Mathura,2000 - 2001,,,,"4,418.00","3,844.00",0.87,,,,,,
,,2001 - 2002,,,,"5,777.00","3,508.00",0.61,,,,,,
,,2003 - 2004,,,,"3,366.00","2,898.00",0.86,,,,,,
,,2006 - 2007,,,,"3,372.00","2,857.00",0.85,,,,,,
,,2007 - 2008,,,,"3,049.00","2,965.00",0.97,,,,,,
,,2008 - 2009,,,,"1,822.00","1,428.00",0.78,,,,,,
,,2009 - 2010,,,,"1,758.00","1,167.00",0.66,,,,,,
,,2010 - 2011,,,,"2,911.00","1,816.00",0.62,,,,,,
,,2011 - 2012,,,,"2,266.00","1,997.00",0.88,,,,,,
,,2012 - 2013,,,,"1,752.00","1,973.00",1.13,,,,,,
,,2013 - 2014,,,,"1,822.00","2,299.00",1.26,,,,,,
,,2014 - 2015,,,,"2,067.00","2,296.00",1.11,,,,,,
,,2015 - 2016,,,,"2,049.00","2,098.00",1.02,,,,,,
,,2016 - 2017,,,,"3,675.00","2,759.00",0.75,,,,,,
,,2017 - 2018,,,,"1,280.00",955,0.75,,,,,,
,,2018 - 2019,,,,"1,978.00","1,795.00",0.91,,,,,,
,,2019 - 2020,,,,"2,283.00","2,408.00",1.05,,,,,,
,,2020 - 2021,,,,"2,322.00","4,437.00",1.91,,,,,,
,,2021 - 2022,,,,"2,265.00","3,604.00",1.59,,,,,,
,,2022 - 2023,,,,"2,206.00","3,311.00",1.5,,,,,,
,54. Mau,2000 - 2001,,,,"3,634.00","3,489.00",0.96,,,,,,
,,2001 - 2002,,,,"3,236.00","2,834.00",0.88,,,,,,
,,2003 - 2004,,,,"3,219.00","3,292.00",1.02,,,,,,
,,2006 - 2007,,,,"2,507.00",885,0.35,,,,,,
,,2007 - 2008,,,,"1,496.00",993,0.66,,,,,,
,,2008 - 2009,,,,"1,942.00",396,0.2,,,,,,
,,2009 - 2010,,,,"1,579.00","1,306.00",0.83,,,,,,
,,2010 - 2011,,,,"2,549.00","2,025.00",0.79,,,,,,
,,2011 - 2012,,,,"2,463.00","2,679.00",1.09,,,,,,
,,2012 - 2013,,,,"2,402.00","2,629.00",1.09,,,,,,
,,2013 - 2014,,,,"2,375.00","1,747.00",0.74,,,,,,
,,2014 - 2015,,,,"2,289.00","2,938.00",1.28,,,,,,
,,2015 - 2016,,,,"2,429.00","2,430.00",1,,,,,,
,,2016 - 2017,,,,"2,401.00","3,319.00",1.38,,,,,,
,,2017 - 2018,,,,"2,409.00","2,369.00",0.98,,,,,,
,,2018 - 2019,,,,"1,853.00","1,905.00",1.03,,,,,,
,,2019 - 2020,,,,"2,183.00","1,757.00",0.8,,,,,,
,,2020 - 2021,,,,"2,149.00","2,399.00",1.12,,,,,,
,,2021 - 2022,,,,"2,783.00","4,013.00",1.44,,,,,,
,,2022 - 2023,,,,"2,710.00","3,748.00",1.38,,,,,,
,55. Meerut,2000 - 2001,,,,750,583,0.78,,,,,,
,,2001 - 2002,,,,861,654,0.76,,,,,,
,,2003 - 2004,,,,918,785,0.86,,,,,,
,,2006 - 2007,,,,762,731,0.96,,,,,,
,,2007 - 2008,,,,705,602,0.85,,,,,,
,,2008 - 2009,,,,898,683,0.76,,,,,,
,,2009 - 2010,,,,"1,011.00",810,0.8,,,,,,
,,2010 - 2011,,,,"1,126.00",739,0.66,,,,,,
,,2011 - 2012,,,,"1,117.00",780,0.7,,,,,,
,,2012 - 2013,,,,"1,198.00","1,175.00",0.98,,,,,,
,,2013 - 2014,,,,965,675,0.7,,,,,,
,,2014 - 2015,,,,963,743,0.77,,,,,,
,,2015 - 2016,,,,957,693,0.72,,,,,,
,,2016 - 2017,,,,"1,023.00","1,248.00",1.22,,,,,,
,,2017 - 2018,,,,979,"1,626.00",1.66,,,,,,
,,2018 - 2019,,,,603,449,0.74,,,,,,
,,2019 - 2020,,,,945,849,0.9,,,,,,
,,2020 - 2021,,,,176,128,0.73,,,,,,
,,2021 - 2022,,,,"1,147.00","1,014.00",0.88,,,,,,
,,2022 - 2023,,,,218,273,1.25,,,,,,
,56. Mirzapur,2000 - 2001,,,,"13,449.00","11,989.00",0.89,,,,,,
,,2001 - 2002,,,,"14,065.00","15,211.00",1.08,,,,,,
,,2003 - 2004,,,,"13,576.00","14,202.00",1.05,,,,,,
,,2006 - 2007,,,,"13,646.00","10,748.00",0.79,,,,,,
,,2007 - 2008,,,,"12,732.00","8,964.00",0.7,,,,,,
,,2008 - 2009,,,,"13,812.00","13,265.00",0.96,,,,,,
,,2009 - 2010,,,,"13,659.00","5,178.00",0.38,,,,,,
,,2010 - 2011,,,,"13,063.00","11,080.00",0.85,,,,,,
,,2011 - 2012,,,,"10,546.00","10,384.00",0.98,,,,,,
,,2012 - 2013,,,,"12,968.00","13,863.00",1.07,,,,,,
,,2013 - 2014,,,,"11,810.00","11,270.00",0.95,,,,,,
,,2014 - 2015,,,,"12,636.00","10,257.00",0.81,,,,,,
,,2015 - 2016,,,,"10,868.00","8,554.00",0.79,,,,,,
,,2016 - 2017,,,,"16,096.00","19,591.00",1.22,,,,,,
,,2017 - 2018,,,,"12,427.00","14,062.00",1.13,,,,,,
,,2018 - 2019,,,,"11,124.00","11,625.00",1.05,,,,,,
,,2019 - 2020,,,,"12,172.00","8,619.00",0.71,,,,,,
,,2020 - 2021,,,,"12,698.00","13,042.00",1.03,,,,,,
,,2021 - 2022,,,,"15,987.00","16,003.00",1,,,,,,
,,2022 - 2023,,,,"16,595.00","16,612.00",1,,,,,,
,57. Moradabad,2000 - 2001,,,,735,815,1.11,,,,,,
,,2001 - 2002,,,,"1,339.00","1,221.00",0.91,,,,,,
,,2003 - 2004,,,,799,659,0.82,,,,,,
,,2006 - 2007,,,,"8,283.00","5,478.00",0.66,,,,,,
,,2007 - 2008,,,,617,520,0.84,,,,,,
,,2008 - 2009,,,,196,159,0.81,,,,,,
,,2009 - 2010,,,,735,494,0.67,,,,,,
,,2010 - 2011,,,,458,331,0.72,,,,,,
,,2011 - 2012,,,,453,366,0.81,,,,,,
,,2012 - 2013,,,,57,49,0.86,,,,,,
,,2013 - 2014,,,,25,23,0.92,,,,,,
,,2014 - 2015,,,,83,54,0.65,,,,,,
,,2015 - 2016,,,,582,384,0.66,,,,,,
,,2016 - 2017,,,,3,3,1,,,,,,
,,2017 - 2018,,,,21,15,0.71,,,,,,
,,2018 - 2019,,,,61,94,1.54,,,,,,
,,2021 - 2022,,,,77,68,0.88,,,,,,
,58. Muzaffarnagar,2000 - 2001,,,,116,96,0.83,,,,,,
,,2001 - 2002,,,,126,91,0.72,,,,,,
,,2003 - 2004,,,,124,80,0.65,,,,,,
,,2006 - 2007,,,,118,77,0.65,,,,,,
,,2007 - 2008,,,,56,47,0.84,,,,,,
,,2008 - 2009,,,,95,62,0.65,,,,,,
,,2009 - 2010,,,,155,104,0.67,,,,,,
,,2010 - 2011,,,,115,86,0.75,,,,,,
,,2011 - 2012,,,,64,52,0.81,,,,,,
,,2012 - 2013,,,,32,27,0.84,,,,,,
,,2013 - 2014,,,,101,88,0.87,,,,,,
,,2014 - 2015,,,,20,13,0.65,,,,,,
,,2015 - 2016,,,,28,18,0.64,,,,,,
,,2016 - 2017,,,,46,37,0.8,,,,,,
,,2017 - 2018,,,,59,43,0.73,,,,,,
,,2018 - 2019,,,,63,48,0.76,,,,,,
,,2019 - 2020,,,,24,17,0.71,,,,,,
,59. Pilibhit,2000 - 2001,,,,241,208,0.86,,,,,,
,,2001 - 2002,,,,173,179,1.03,,,,,,
,,2003 - 2004,,,,112,112,1,,,,,,
,,2006 - 2007,,,,106,90,0.85,,,,,,
,,2007 - 2008,,,,41,36,0.88,,,,,,
,,2008 - 2009,,,,22,19,0.86,,,,,,
,,2009 - 2010,,,,19,15,0.79,,,,,,
,,2010 - 2011,,,,7,5,0.71,,,,,,
,,2011 - 2012,,,,20,18,0.9,,,,,,
