State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,45,41,0.91,"53,584.00","48,922.00",0.91,,,,,,
,,2014 - 2015,10,7,0.7,"43,123.00","30,962.00",0.72,,,,,,
,,2015 - 2016,79,68,0.86,"76,569.00","66,156.00",0.86,,,,,,
,,2016 - 2017,"2,044.00",903,0.44,"92,838.00","41,034.00",0.44,,,,,,
,,2017 - 2018,299,116,0.39,"85,884.00","33,409.00",0.39,,,,,,
,,2018 - 2019,314,42,0.13,"93,144.00","12,388.00",0.13,,,,,,
,,2019 - 2020,54,27,0.5,"98,085.00","48,846.00",0.5,,,,,,
,,2020 - 2021,990,362,0.37,"80,912.00","29,614.00",0.37,,,,,,
,,2021 - 2022,581,145,0.25,"80,135.00","20,034.00",0.25,,,,,,
,,2022 - 2023,419,150,0.36,"58,668.00","8,859.00",0.15,,,,,,
,20. Spsr nellore,2000 - 2001,894,495,0.55,"2,063.00","1,143.00",0.55,,,,,,
,,2001 - 2002,108,63,0.58,643,375,0.58,,,,,,
,,2002 - 2003,579,203,0.35,402,141,0.35,,,,,,
,,2003 - 2004,586,248,0.42,"2,628.00","1,112.00",0.42,,,,,,
,,2004 - 2005,562,372,0.66,975,645,0.66,,,,,,
,,2005 - 2006,,,,"1,967.00","1,192.00",0.61,,,,,,
,,2006 - 2007,,,,363,175,0.48,,,,,,
,,2007 - 2008,,,,"1,000.00","1,000.00",1,,,,,,
,,2008 - 2009,334,159,0.48,712,340,0.48,,,,,,
,,2009 - 2010,87,58,0.67,"1,846.00","1,222.00",0.66,,,,,,
,,2010 - 2011,363,184,0.51,"3,110.00","1,574.00",0.51,,,,,,
,,2011 - 2012,119,63,0.53,578,306,0.53,,,,,,
,,2012 - 2013,,,,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,220,211,0.96,"1,119.00","1,075.00",0.96,,,,,,
,,2014 - 2015,102,85,0.83,457,382,0.84,,,,,,
,,2015 - 2016,205,204,1,737,734,1,,,,,,
,,2016 - 2017,109,65,0.6,"1,753.00","1,050.00",0.6,,,,,,
,,2017 - 2018,180,114,0.63,"1,192.00",756,0.63,,,,,,
,,2018 - 2019,84,43,0.51,50,26,0.52,,,,,,
,,2019 - 2020,131,82,0.63,757,472,0.62,,,,,,
,,2020 - 2021,306,66,0.22,810,175,0.22,,,,,,
,,2021 - 2022,299,77,0.26,512,132,0.26,,,,,,
,,2022 - 2023,225,81,0.36,335,88,0.26,,,,,,
,21. Sri sathya sai,2022 - 2023,,,,"39,615.00","3,565.00",0.09,,,,,,
,22. Srikakulam,2000 - 2001,,,,"1,758.00",974,0.55,,,,,,
,,2001 - 2002,,,,"1,395.00",813,0.58,,,,,,
,,2002 - 2003,,,,"1,523.00",533,0.35,,,,,,
,,2003 - 2004,,,,"1,573.00",665,0.42,,,,,,
,,2004 - 2005,,,,"1,432.00",948,0.66,,,,,,
,,2005 - 2006,,,,"1,439.00",872,0.61,,,,,,
,,2006 - 2007,,,,"1,640.00",789,0.48,,,,,,
,,2007 - 2008,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2008 - 2009,,,,"1,334.00",636,0.48,,,,,,
,,2009 - 2010,,,,"1,084.00",718,0.66,,,,,,
,,2010 - 2011,,,,"1,645.00",832,0.51,,,,,,
,,2011 - 2012,25,13,0.52,"1,185.00",628,0.53,,,,,,
,,2012 - 2013,,,,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,16,15,0.94,706,678,0.96,,,,,,
,,2014 - 2015,12,10,0.83,646,539,0.83,,,,,,
,,2015 - 2016,14,3,0.21,634,144,0.23,,,,,,
,,2016 - 2017,4,2,0.5,657,311,0.47,,,,,,
,,2017 - 2018,42,24,0.57,610,343,0.56,,,,,,
,,2018 - 2019,,,,692,190,0.27,,,,,,
,,2019 - 2020,3,1,0.33,498,201,0.4,,,,,,
,,2020 - 2021,,,,477,209,0.44,,,,,,
,,2021 - 2022,,,,243,112,0.46,,,,,,
,,2022 - 2023,,,,67,24,0.36,,,,,,
,23. Tirupati,2022 - 2023,25,8,0.32,154,47,0.31,,,,,,
,24. Visakhapatanam,2000 - 2001,42,14,0.33,"6,121.00","2,032.00",0.33,,,,,,
,,2001 - 2002,47,15,0.32,"4,847.00","1,507.00",0.31,,,,,,
,,2002 - 2003,,,,"4,701.00","1,575.00",0.34,,,,,,
