State,District,Year,Moth,,,,,
,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,"1,92,428.00","52,055.00",0.27,,,
,,2006 - 2007,"1,96,481.00","41,501.00",0.21,,,
,,2007 - 2008,"2,15,208.00","68,423.00",0.32,,,
,,2008 - 2009,"1,99,620.00","74,481.00",0.37,,,
,,2009 - 2010,"2,07,394.00","10,759.00",0.05,,,
,,2010 - 2011,"2,23,804.00","94,796.00",0.42,,,
,,2011 - 2012,"1,86,467.00","58,345.00",0.31,,,
,,2012 - 2013,"1,51,936.00","10,852.00",0.07,,,
,,2013 - 2014,"1,49,677.00","26,052.00",0.17,,,
,,2014 - 2015,"1,32,559.00","46,346.00",0.35,,,
,,2015 - 2016,"1,21,356.00","37,917.00",0.31,,,
,,2016 - 2017,"98,175.00","38,627.00",0.39,,,
,,2017 - 2018,"72,855.00","22,065.00",0.3,,,
,,2018 - 2019,"61,198.00","26,540.00",0.43,,,
,,2019 - 2020,"56,905.00","23,284.00",0.41,,,
,,2020 - 2021,"48,505.00","18,909.00",0.39,,,
,,2021 - 2022,"45,979.00","14,022.00",0.3,,,
,,2022 - 2023,"29,420.00","9,244.00",0.31,,,
,26. Pali,2000 - 2001,"3,258.00",259,0.08,,,
,,2001 - 2002,"3,554.00",634,0.18,,,
,,2002 - 2003,760,,0,,,
,,2003 - 2004,"3,615.00",921,0.25,,,
,,2004 - 2005,"2,574.00",439,0.17,,,
,,2005 - 2006,"3,103.00",308,0.1,,,
,,2006 - 2007,"2,920.00",761,0.26,,,
,,2007 - 2008,"3,274.00",782,0.24,,,
,,2008 - 2009,"2,913.00",294,0.1,,,
,,2009 - 2010,"2,568.00",50,0.02,,,
,,2010 - 2011,"3,569.00",938,0.26,,,
,,2011 - 2012,"1,943.00",449,0.23,,,
,,2012 - 2013,559,103,0.18,,,
,,2013 - 2014,568,25,0.04,,,
,,2014 - 2015,929,331,0.36,,,
,,2015 - 2016,524,153,0.29,,,
,,2016 - 2017,497,156,0.31,,,
,,2017 - 2018,311,96,0.31,,,
,,2018 - 2019,214,49,0.23,,,
,,2019 - 2020,384,127,0.33,,,
,,2020 - 2021,202,67,0.33,,,
,,2021 - 2022,91,18,0.2,,,
,,2022 - 2023,86,43,0.5,,,
,27. Pratapgarh,2013 - 2014,1,,0,,,
,,2015 - 2016,59,16,0.27,,,
,28. Rajsamand,2000 - 2001,17,2,0.12,,,
,,2001 - 2002,22,5,0.23,,,
,,2002 - 2003,9,,0,,,
,,2003 - 2004,17,9,0.53,,,
,,2004 - 2005,2,,0,,,
,,2005 - 2006,20,2,0.1,,,
,,2006 - 2007,7,1,0.14,,,
,,2007 - 2008,34,11,0.32,,,
,,2008 - 2009,6,2,0.33,,,
,,2009 - 2010,12,,0,,,
,,2010 - 2011,26,13,0.5,,,
,,2011 - 2012,4,1,0.25,,,
,,2012 - 2013,8,2,0.25,,,
