State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,2. Vellore,2011 - 2012,1,,0,,,,,,
10. Tripura,1. Dhalai,2004 - 2005,90,682,7.58,,,,,,
,,2005 - 2006,65,510,7.85,,,,,,
,,2006 - 2007,72,618,8.58,,,,,,
,,2007 - 2008,68,525,7.72,,,,,,
,,2008 - 2009,61,465,7.62,,,,,,
,,2009 - 2010,79,653,8.27,,,,,,
,,2010 - 2011,58,505,8.71,,,,,,
,,2011 - 2012,71,606,8.54,,,,,,
,,2012 - 2013,75,618,8.24,,,,,,
,,2013 - 2014,48,430,8.96,,,,,,
,,2014 - 2015,102,895,8.77,,,,,,
,,2015 - 2016,102,860,8.43,,,,,,
,,2016 - 2017,122,"1,148.00",9.41,,,,,,
,,2017 - 2018,88,878,9.98,,,,,,
,,2018 - 2019,85,931.38,10.96,,,,,,
,,2019 - 2020,130,"1,445.95",11.12,,,,,,
,,2020 - 2021,89,906,10.18,,,,,,
,,2021 - 2022,82,861,10.5,,,,,,
,,2022 - 2023,62,681,10.98,,,,,,
,2. Gomati,2012 - 2013,159,"1,369.00",8.61,,,,,,
,,2013 - 2014,253,"2,217.00",8.76,,,,,,
,,2014 - 2015,186,"1,654.00",8.89,,,,,,
,,2015 - 2016,170,"1,420.00",8.35,,,,,,
,,2016 - 2017,102,918,9,,,,,,
,,2017 - 2018,109,"1,098.00",10.07,,,,,,
,,2018 - 2019,117,999.8,8.55,,,,,,
,,2019 - 2020,110,913.95,8.31,,,,,,
,,2020 - 2021,61,524,8.59,,,,,,
,,2021 - 2022,67,574,8.57,,,,,,
,,2022 - 2023,30,257,8.57,,,,,,
,3. Khowai,2012 - 2013,31,258,8.32,,,,,,
,,2013 - 2014,38,340,8.95,,,,,,
,,2014 - 2015,42,373,8.88,,,,,,
,,2015 - 2016,47,410,8.72,,,,,,
,,2016 - 2017,45,426,9.47,,,,,,
,,2017 - 2018,40,363,9.08,,,,,,
,,2018 - 2019,48,427.5,8.91,,,,,,
,,2019 - 2020,43,416.13,9.68,,,,,,
,,2020 - 2021,47,441,9.38,,,,,,
,,2021 - 2022,41,376,9.17,,,,,,
,,2022 - 2023,34,317,9.32,,,,,,
,4. North tripura,2004 - 2005,170,"1,484.00",8.73,,,,,,
,,2005 - 2006,101,768,7.6,,,,,,
,,2006 - 2007,89,728,8.18,,,,,,
,,2007 - 2008,84,718,8.55,,,,,,
,,2008 - 2009,123,944,7.67,,,,,,
,,2009 - 2010,133,"1,074.00",8.08,,,,,,
,,2010 - 2011,129,"1,098.00",8.51,,,,,,
,,2011 - 2012,168,"1,437.00",8.55,,,,,,
,,2012 - 2013,150,"1,234.00",8.23,,,,,,
,,2013 - 2014,76,673,8.86,,,,,,
,,2014 - 2015,111,983,8.86,,,,,,
,,2015 - 2016,109,925,8.49,,,,,,
,,2016 - 2017,125,"1,160.00",9.28,,,,,,
,,2017 - 2018,119,"1,054.00",8.86,,,,,,
,,2018 - 2019,111,984.36,8.87,,,,,,
,,2019 - 2020,103,905,8.79,,,,,,
,,2020 - 2021,56,479,8.55,,,,,,
,,2021 - 2022,82,716,8.73,,,,,,
,,2022 - 2023,37,324,8.76,,,,,,
,5. Sepahijala,2012 - 2013,25,212,8.48,,,,,,
,,2013 - 2014,21,187,8.9,,,,,,
,,2014 - 2015,29,258,8.9,,,,,,
,,2015 - 2016,21,185,8.81,,,,,,
,,2016 - 2017,22,209,9.5,,,,,,
,,2017 - 2018,19,169,8.89,,,,,,
,,2018 - 2019,8,70.5,8.81,,,,,,
,,2019 - 2020,15,115,7.67,,,,,,
,,2020 - 2021,9,79,8.78,,,,,,
,,2021 - 2022,18,149,8.28,,,,,,
,,2022 - 2023,18,159,8.83,,,,,,
,6. South tripura,2004 - 2005,423,"3,610.00",8.53,,,,,,
,,2005 - 2006,315,"2,535.00",8.05,,,,,,
,,2006 - 2007,146,"1,172.00",8.03,,,,,,
,,2007 - 2008,160,"1,270.00",7.94,,,,,,
,,2008 - 2009,147,"1,251.00",8.51,,,,,,
,,2009 - 2010,196,"1,577.00",8.05,,,,,,
,,2010 - 2011,193,"1,643.00",8.51,,,,,,
,,2011 - 2012,300,"2,581.00",8.6,,,,,,
,,2012 - 2013,71,561,7.9,,,,,,
,,2013 - 2014,79,660,8.35,,,,,,
,,2014 - 2015,75,606,8.08,,,,,,
,,2015 - 2016,90,738,8.2,,,,,,
,,2016 - 2017,97,824,8.49,,,,,,
,,2017 - 2018,127,"1,025.00",8.07,,,,,,
,,2018 - 2019,131,"1,062.45",8.11,,,,,,
,,2019 - 2020,98,784,8,,,,,,
,,2020 - 2021,95,760,8,,,,,,
,,2021 - 2022,83,673,8.11,,,,,,
,,2022 - 2023,85,693,8.15,,,,,,
,7. Unakoti,2012 - 2013,85,688,8.09,,,,,,
,,2013 - 2014,105,694,6.61,,,,,,
,,2014 - 2015,86,648,7.53,,,,,,
,,2015 - 2016,85,668,7.86,,,,,,
,,2016 - 2017,42,380,9.05,,,,,,
,,2017 - 2018,18,152,8.44,,,,,,
,,2018 - 2019,125,"1,072.75",8.58,,,,,,
,,2019 - 2020,73,584,8,,,,,,
,,2020 - 2021,55,440,8,,,,,,
,,2021 - 2022,35,291,8.31,,,,,,
,,2022 - 2023,40,335,8.38,,,,,,
,8. West tripura,2004 - 2005,295,"1,972.00",6.68,,,,,,
,,2005 - 2006,204,"1,597.00",7.83,,,,,,
,,2006 - 2007,159,"1,448.00",9.11,,,,,,
,,2007 - 2008,146,"1,222.00",8.37,,,,,,
,,2008 - 2009,119,"1,005.00",8.45,,,,,,
,,2009 - 2010,60,474,7.9,,,,,,
,,2010 - 2011,118,997,8.45,,,,,,
,,2011 - 2012,100,859,8.59,,,,,,
,,2012 - 2013,44,321,7.3,,,,,,
,,2013 - 2014,23,169,7.35,,,,,,
,,2014 - 2015,19,147,7.74,,,,,,
,,2015 - 2016,26,195,7.5,,,,,,
,,2016 - 2017,35,304,8.69,,,,,,
,,2017 - 2018,31,259,8.35,,,,,,
,,2018 - 2019,31,289.23,9.33,,,,,,
,,2019 - 2020,51,567.48,11.13,,,,,,
,,2020 - 2021,24,236,9.83,,,,,,
,,2021 - 2022,25,252,10.08,,,,,,
,,2022 - 2023,7,74,10.57,,,,,,
11. Uttar Pradesh,1. Kannauj,2000 - 2001,7,6,0.86,,,,,,
,2. Kheri,2000 - 2001,6,5,0.83,,,,,,
,3. Shravasti,2000 - 2001,16,13,0.81,,,,,,
,4. Unnao,2000 - 2001,1,1,1,,,,,,
12. West Bengal,1. 24 paraganas north,2000 - 2001,"55,824.00","7,76,920.00",13.92,,,,,,
,,2001 - 2002,"61,405.00","8,86,561.00",14.44,,,,,,
,,2002 - 2003,"60,581.00","9,73,220.00",16.06,,,,,,
,,2003 - 2004,"54,776.00","9,65,155.00",17.62,,,,,,
,,2004 - 2005,"50,888.00","8,88,510.00",17.46,,,,,,
,,2005 - 2006,"48,189.00","8,21,829.00",17.05,,,,,,
,,2006 - 2007,"60,388.00","11,18,763.00",18.53,,,,,,
,,2007 - 2008,"55,339.00","9,81,028.00",17.73,,,,,,
,,2008 - 2009,"54,250.00","9,20,163.00",16.96,,,,,,
,,2009 - 2010,"53,654.00","10,94,852.00",20.41,,,,,,
,,2010 - 2011,"50,154.00","9,55,031.00",19.04,,,,,,
,,2011 - 2012,"56,734.00","10,19,477.00",17.97,,,,,,
,,2012 - 2013,"47,442.00","7,54,344.00",15.9,,,,,,
,,2013 - 2014,"48,855.00","9,10,676.00",18.64,,,,,,
,,2014 - 2015,"50,694.00","8,82,884.00",17.42,,,,,,
,,2015 - 2016,"51,274.00","8,52,203.00",16.62,,,,,,
,,2016 - 2017,"53,233.00","8,39,822.00",15.78,,,,,,
,,2017 - 2018,"54,914.00","9,17,642.00",16.71,,,,,,
,,2018 - 2019,"59,637.00","8,903.00",0.15,,,,,,
,,2019 - 2020,"59,599.00","10,38,280.00",17.42,,,,,,
,,2020 - 2021,"59,472.00","10,27,603.00",17.28,,,,,,
,,2021 - 2022,"59,370.00","11,65,565.00",19.63,,,,,,
,,2022 - 2023,"57,209.00","11,52,953.00",20.15,,,,,,
,2. 24 paraganas south,2000 - 2001,"1,751.00","18,120.00",10.35,,,,,,
,,2001 - 2002,"1,160.00","16,565.00",14.28,,,,,,
,,2002 - 2003,"1,353.00","16,692.00",12.34,,,,,,
,,2003 - 2004,"3,188.00","50,665.00",15.89,,,,,,
,,2004 - 2005,821,"12,227.00",14.89,,,,,,
,,2005 - 2006,"1,424.00","19,645.00",13.8,,,,,,
,,2006 - 2007,628,"7,781.00",12.39,,,,,,
,,2007 - 2008,667,"7,636.00",11.45,,,,,,
,,2008 - 2009,"1,286.00","15,959.00",12.41,,,,,,
,,2009 - 2010,"2,521.00","30,857.00",12.24,,,,,,
,,2010 - 2011,"2,044.00","23,608.00",11.55,,,,,,
,,2011 - 2012,"3,310.00","42,401.00",12.81,,,,,,
,,2012 - 2013,"2,554.00","49,392.00",19.34,,,,,,
,,2013 - 2014,"1,494.00","31,600.00",21.15,,,,,,
,,2014 - 2015,527,"10,997.00",20.87,,,,,,
,,2015 - 2016,641,"9,386.00",14.64,,,,,,
,,2016 - 2017,486,"8,539.00",17.57,,,,,,
,,2017 - 2018,295,"6,308.00",21.38,,,,,,
,,2018 - 2019,349,"62,922.00",180.29,,,,,,
,,2019 - 2020,674,"18,339.00",27.21,,,,,,
,,2020 - 2021,778,"21,474.00",27.6,,,,,,
,,2021 - 2022,475,"12,482.00",26.28,,,,,,
,,2022 - 2023,446,"13,871.00",31.1,,,,,,
,3. Alipurduar,2016 - 2017,"12,669.00","1,81,870.00",14.36,,,,,,
,,2017 - 2018,"12,748.00","1,85,500.00",14.55,,,,,,
,,2018 - 2019,"14,423.00","1,81,374.00",12.58,,,,,,
,,2019 - 2020,"13,833.00","1,91,159.00",13.82,,,,,,
,,2020 - 2021,"13,946.00","1,83,900.00",13.19,,,,,,
,,2021 - 2022,"13,837.00","1,63,126.00",11.79,,,,,,
,,2022 - 2023,"14,814.00","1,84,281.00",12.44,,,,,,
,4. Bankura,2000 - 2001,368,"6,920.00",18.8,,,,,,
,,2001 - 2002,114,"2,374.00",20.82,,,,,,
,,2002 - 2003,32,590,18.44,,,,,,
,,2003 - 2004,10,180,18,,,,,,
,,2004 - 2005,295,"5,251.00",17.8,,,,,,
,,2005 - 2006,3,54,18,,,,,,
,,2006 - 2007,35,622,17.77,,,,,,
,,2007 - 2008,45,752,16.71,,,,,,
,,2008 - 2009,2,33,16.5,,,,,,
,,2010 - 2011,6,117,19.5,,,,,,
,,2011 - 2012,24,450,18.75,,,,,,
,,2013 - 2014,4,78,19.5,,,,,,
,,2014 - 2015,290,"6,018.00",20.75,,,,,,
,,2015 - 2016,14,253,18.07,,,,,,
,,2016 - 2017,12,212,17.67,,,,,,
,,2017 - 2018,51,699,13.71,,,,,,
,,2018 - 2019,2,34,17,,,,,,
,,2019 - 2020,40,646,16.15,,,,,,
,,2020 - 2021,19,308,16.21,,,,,,
,,2021 - 2022,20,355,17.75,,,,,,
,,2022 - 2023,25,444,17.76,,,,,,
,5. Birbhum,2000 - 2001,106,"1,990.00",18.77,,,,,,
,,2001 - 2002,370,"7,706.00",20.83,,,,,,
,,2002 - 2003,535,"9,855.00",18.42,,,,,,
,,2003 - 2004,91,"1,641.00",18.03,,,,,,
,,2004 - 2005,391,"6,960.00",17.8,,,,,,
,,2005 - 2006,179,"3,251.00",18.16,,,,,,
,,2006 - 2007,353,"6,269.00",17.76,,,,,,
,,2007 - 2008,109,"1,821.00",16.71,,,,,,
,,2008 - 2009,780,"12,886.00",16.52,,,,,,
,,2009 - 2010,174,"3,055.00",17.56,,,,,,
,,2010 - 2011,2,39,19.5,,,,,,
,,2011 - 2012,293,"5,488.00",18.73,,,,,,
,,2012 - 2013,321,"6,077.00",18.93,,,,,,
,,2013 - 2014,871,"17,028.00",19.55,,,,,,
,,2014 - 2015,323,"6,702.00",20.75,,,,,,
,,2015 - 2016,174,"3,149.00",18.1,,,,,,
,,2016 - 2017,161,"3,156.00",19.6,,,,,,
,,2017 - 2018,171,"3,129.00",18.3,,,,,,
,,2018 - 2019,15,34,2.27,,,,,,
,,2019 - 2020,268,"5,631.00",21.01,,,,,,
,,2020 - 2021,262,"5,261.00",20.08,,,,,,
,,2021 - 2022,150,"3,179.00",21.19,,,,,,
,,2022 - 2023,148,"3,121.00",21.09,,,,,,
,6. Coochbehar,2000 - 2001,"84,092.00","7,82,630.00",9.31,,,,,,
,,2001 - 2002,"85,645.00","9,04,290.00",10.56,,,,,,
,,2002 - 2003,"71,732.00","7,39,346.00",10.31,,,,,,
,,2003 - 2004,"62,539.00","6,52,324.00",10.43,,,,,,
,,2004 - 2005,"65,850.00","6,23,168.00",9.46,,,,,,
,,2005 - 2006,"69,989.00","7,64,207.00",10.92,,,,,,
,,2006 - 2007,"73,101.00","7,61,987.00",10.42,,,,,,
,,2007 - 2008,"87,694.00","9,85,124.00",11.23,,,,,,
,,2008 - 2009,"85,203.00","9,77,935.00",11.48,,,,,,
,,2009 - 2010,"87,208.00","10,84,117.00",12.43,,,,,,
,,2010 - 2011,"75,091.00","7,12,680.00",9.49,,,,,,
,,2011 - 2012,"79,356.00","10,28,825.00",12.96,,,,,,
,,2012 - 2013,"75,928.00","9,87,393.00",13,,,,,,
,,2013 - 2014,"76,238.00","9,17,138.00",12.03,,,,,,
,,2014 - 2015,"72,734.00","10,03,106.00",13.79,,,,,,
,,2015 - 2016,"67,788.00","7,86,954.00",11.61,,,,,,
,,2016 - 2017,"60,051.00","8,11,762.00",13.52,,,,,,
,,2017 - 2018,"58,051.00","7,69,216.00",13.25,,,,,,
,,2018 - 2019,"61,328.00","7,93,958.00",12.95,,,,,,
,,2019 - 2020,"60,160.00","8,19,353.00",13.62,,,,,,
,,2020 - 2021,"59,254.00","7,17,008.00",12.1,,,,,,
,,2021 - 2022,"59,121.00","9,65,231.00",16.33,,,,,,
,,2022 - 2023,"55,022.00","6,16,732.00",11.21,,,,,,
,7. Darjeeling,2000 - 2001,"2,227.00","18,110.00",8.13,,,,,,
,,2001 - 2002,"2,866.00","30,923.00",10.79,,,,,,
,,2002 - 2003,"2,997.00","28,750.00",9.59,,,,,,
,,2003 - 2004,"2,750.00","29,069.00",10.57,,,,,,
,,2004 - 2005,"2,425.00","27,368.00",11.29,,,,,,
,,2005 - 2006,"2,545.00","31,003.00",12.18,,,,,,
,,2006 - 2007,"2,481.00","31,435.00",12.67,,,,,,
,,2007 - 2008,"2,645.00","28,265.00",10.69,,,,,,
,,2008 - 2009,"2,923.00","33,879.00",11.59,,,,,,
,,2009 - 2010,"2,980.00","36,852.00",12.37,,,,,,
,,2010 - 2011,"3,046.00","30,150.00",9.9,,,,,,
,,2011 - 2012,"3,039.00","33,694.00",11.09,,,,,,
,,2012 - 2013,"3,037.00","36,911.00",12.15,,,,,,
,,2013 - 2014,"2,950.00","37,987.00",12.88,,,,,,
,,2014 - 2015,"3,372.00","47,047.00",13.95,,,,,,
,,2015 - 2016,"2,996.00","34,688.00",11.58,,,,,,
,,2016 - 2017,"2,814.00","31,833.00",11.31,,,,,,
,,2017 - 2018,"3,047.00","34,581.00",11.35,,,,,,
,,2018 - 2019,"3,102.00","34,680.00",11.18,,,,,,
,,2019 - 2020,"2,550.00","35,117.00",13.77,,,,,,
,,2020 - 2021,"2,801.00","35,637.00",12.72,,,,,,
,,2021 - 2022,"2,716.00","38,697.00",14.25,,,,,,
,,2022 - 2023,"2,543.00","30,539.00",12.01,,,,,,
,8. Dinajpur dakshin,2000 - 2001,"15,090.00","1,46,090.00",9.68,,,,,,
,,2001 - 2002,"17,159.00","1,82,517.00",10.64,,,,,,
,,2002 - 2003,"17,220.00","1,84,008.00",10.69,,,,,,
,,2003 - 2004,"18,833.00","2,20,519.00",11.71,,,,,,
,,2004 - 2005,"18,289.00","2,08,902.00",11.42,,,,,,
,,2005 - 2006,"16,331.00","1,85,583.00",11.36,,,,,,
,,2006 - 2007,"17,616.00","2,04,598.00",11.61,,,,,,
,,2007 - 2008,"19,727.00","2,50,864.00",12.72,,,,,,
,,2008 - 2009,"19,587.00","2,50,891.00",12.81,,,,,,
,,2009 - 2010,"18,005.00","2,34,179.00",13.01,,,,,,
,,2010 - 2011,"18,133.00","2,47,133.00",13.63,,,,,,
,,2011 - 2012,"21,096.00","2,93,995.00",13.94,,,,,,
,,2012 - 2013,"18,268.00","2,72,815.00",14.93,,,,,,
,,2013 - 2014,"19,679.00","2,99,959.00",15.24,,,,,,
,,2014 - 2015,"19,926.00","2,80,075.00",14.06,,,,,,
,,2015 - 2016,"19,583.00","2,57,265.00",13.14,,,,,,
,,2016 - 2017,"16,898.00","2,39,401.00",14.17,,,,,,
,,2017 - 2018,"17,172.00","2,48,907.00",14.49,,,,,,
,,2018 - 2019,"17,696.00","2,90,898.00",16.44,,,,,,
,,2019 - 2020,"19,255.00","2,85,319.00",14.82,,,,,,
,,2020 - 2021,"20,871.00","3,20,948.00",15.38,,,,,,
,,2021 - 2022,"19,108.00","3,46,803.00",18.15,,,,,,
,,2022 - 2023,"18,608.00","2,79,239.00",15.01,,,,,,
,9. Dinajpur uttar,2000 - 2001,"59,005.00","4,57,490.00",7.75,,,,,,
,,2001 - 2002,"63,088.00","6,11,114.00",9.69,,,,,,
,,2002 - 2003,"62,490.00","5,84,278.00",9.35,,,,,,
,,2003 - 2004,"64,881.00","6,66,471.00",10.27,,,,,,
,,2004 - 2005,"63,504.00","6,32,717.00",9.96,,,,,,
,,2005 - 2006,"53,861.00","6,44,914.00",11.97,,,,,,
,,2006 - 2007,"53,219.00","6,50,019.00",12.21,,,,,,
,,2007 - 2008,"50,656.00","6,09,564.00",12.03,,,,,,
,,2008 - 2009,"45,710.00","5,66,470.00",12.39,,,,,,
,,2009 - 2010,"43,705.00","5,46,477.00",12.5,,,,,,
,,2010 - 2011,"43,571.00","5,64,310.00",12.95,,,,,,
,,2011 - 2012,"45,019.00","6,04,701.00",13.43,,,,,,
,,2012 - 2013,"44,513.00","5,78,141.00",12.99,,,,,,
,,2013 - 2014,"43,818.00","5,86,501.00",13.38,,,,,,
,,2014 - 2015,"50,326.00","8,27,175.00",16.44,,,,,,
,,2015 - 2016,"43,475.00","5,44,281.00",12.52,,,,,,
,,2016 - 2017,"37,977.00","5,15,873.00",13.58,,,,,,
,,2017 - 2018,"36,877.00","4,92,522.00",13.36,,,,,,
,,2018 - 2019,"19,454.00","2,61,173.00",13.43,,,,,,
,,2019 - 2020,"26,720.00","3,85,826.00",14.44,,,,,,
,,2020 - 2021,"26,286.00","3,62,190.00",13.78,,,,,,
,,2021 - 2022,"27,183.00","4,34,313.00",15.98,,,,,,
,,2022 - 2023,"36,010.00","5,28,254.00",14.67,,,,,,
,10. Hooghly,2000 - 2001,"29,900.00","5,31,980.00",17.79,,,,,,
,,2001 - 2002,"32,728.00","6,23,481.00",19.05,,,,,,
,,2002 - 2003,"34,011.00","6,48,244.00",19.06,,,,,,
,,2003 - 2004,"34,736.00","6,50,045.00",18.71,,,,,,
,,2004 - 2005,"31,364.00","6,33,619.00",20.2,,,,,,
,,2005 - 2006,"31,005.00","6,03,883.00",19.48,,,,,,
,,2006 - 2007,"31,614.00","5,85,847.00",18.53,,,,,,
,,2007 - 2008,"28,657.00","5,16,911.00",18.04,,,,,,
,,2008 - 2009,"24,570.00","4,44,807.00",18.1,,,,,,
,,2009 - 2010,"29,040.00","5,10,424.00",17.58,,,,,,
,,2010 - 2011,"26,856.00","5,73,241.00",21.34,,,,,,
,,2011 - 2012,"26,897.00","4,44,494.00",16.53,,,,,,
,,2012 - 2013,"26,665.00","5,26,374.00",19.74,,,,,,
,,2013 - 2014,"19,953.00","4,21,854.00",21.14,,,,,,
,,2014 - 2015,"22,933.00","5,22,038.00",22.76,,,,,,
,,2015 - 2016,"13,312.00","2,54,433.00",19.11,,,,,,
,,2016 - 2017,"11,394.00","2,16,855.00",19.03,,,,,,
,,2017 - 2018,"12,683.00","2,33,110.00",18.38,,,,,,
,,2018 - 2019,"15,966.00","1,64,077.00",10.28,,,,,,
,,2019 - 2020,"12,445.00","2,64,504.00",21.25,,,,,,
,,2020 - 2021,"12,897.00","2,68,231.00",20.8,,,,,,
,,2021 - 2022,"12,910.00","2,76,672.00",21.43,,,,,,
,,2022 - 2023,"11,643.00","2,56,229.00",22.01,,,,,,
,11. Howrah,2000 - 2001,"6,771.00","1,01,330.00",14.97,,,,,,
,,2001 - 2002,"4,680.00","80,881.00",17.28,,,,,,
,,2002 - 2003,"4,046.00","69,518.00",17.18,,,,,,
,,2003 - 2004,"7,068.00","1,31,182.00",18.56,,,,,,
,,2004 - 2005,"6,220.00","1,08,127.00",17.38,,,,,,
,,2005 - 2006,"3,321.00","61,372.00",18.48,,,,,,
,,2006 - 2007,"3,845.00","70,248.00",18.27,,,,,,
,,2007 - 2008,"3,583.00","63,306.00",17.67,,,,,,
,,2008 - 2009,"3,502.00","52,946.00",15.12,,,,,,
,,2009 - 2010,"2,996.00","54,610.00",18.23,,,,,,
,,2010 - 2011,"3,193.00","64,650.00",20.25,,,,,,
,,2011 - 2012,"4,979.00","85,564.00",17.18,,,,,,
,,2012 - 2013,"2,369.00","43,188.00",18.23,,,,,,
,,2013 - 2014,"1,877.00","40,819.00",21.75,,,,,,
,,2014 - 2015,"2,237.00","39,378.00",17.6,,,,,,
,,2015 - 2016,"4,954.00","1,14,767.00",23.17,,,,,,
,,2016 - 2017,"3,639.00","94,005.00",25.83,,,,,,
,,2017 - 2018,"3,867.00","12,961.00",3.35,,,,,,
,,2018 - 2019,"4,245.00","3,52,272.00",82.99,,,,,,
,,2019 - 2020,"4,220.00","92,120.00",21.83,,,,,,
,,2020 - 2021,"4,506.00","94,578.00",20.99,,,,,,
,,2021 - 2022,"4,481.00","85,664.00",19.12,,,,,,
,,2022 - 2023,"3,449.00","88,493.00",25.66,,,,,,
,12. Jalpaiguri,2000 - 2001,"44,330.00","4,01,470.00",9.06,,,,,,
,,2001 - 2002,"46,314.00","5,10,260.00",11.02,,,,,,
,,2002 - 2003,"42,750.00","4,83,759.00",11.32,,,,,,
,,2003 - 2004,"39,433.00","3,94,714.00",10.01,,,,,,
,,2004 - 2005,"39,860.00","3,97,161.00",9.96,,,,,,
,,2005 - 2006,"40,146.00","5,05,057.00",12.58,,,,,,
,,2006 - 2007,"42,359.00","4,46,734.00",10.55,,,,,,
,,2007 - 2008,"41,166.00","5,18,822.00",12.6,,,,,,
,,2008 - 2009,"39,871.00","5,21,253.00",13.07,,,,,,
,,2009 - 2010,"39,296.00","5,15,442.00",13.12,,,,,,
,,2010 - 2011,"40,021.00","4,82,755.00",12.06,,,,,,
,,2011 - 2012,"35,685.00","4,47,188.00",12.53,,,,,,
,,2012 - 2013,"35,076.00","4,37,309.00",12.47,,,,,,
,,2013 - 2014,"35,232.00","4,23,601.00",12.02,,,,,,
,,2014 - 2015,"35,322.00","4,74,594.00",13.44,,,,,,
,,2015 - 2016,"37,246.00","4,84,161.00",13,,,,,,
,,2016 - 2017,"23,248.00","2,91,794.00",12.55,,,,,,
,,2017 - 2018,"25,918.00","3,54,661.00",13.68,,,,,,
,,2018 - 2019,"27,714.00","4,36,250.00",15.74,,,,,,
,,2019 - 2020,"26,024.00","4,05,295.00",15.57,,,,,,
,,2020 - 2021,"26,434.00","3,74,620.00",14.17,,,,,,
,,2021 - 2022,"25,903.00","4,34,695.00",16.78,,,,,,
,,2022 - 2023,"24,398.00","3,02,884.00",12.41,,,,,,
,13. Maldah,2000 - 2001,"23,987.00","2,48,150.00",10.35,,,,,,
,,2001 - 2002,"27,730.00","3,70,816.00",13.37,,,,,,
,,2002 - 2003,"27,913.00","3,72,451.00",13.34,,,,,,
,,2003 - 2004,"27,816.00","3,41,931.00",12.29,,,,,,
,,2004 - 2005,"23,698.00","3,24,075.00",13.68,,,,,,
,,2005 - 2006,"22,153.00","2,98,134.00",13.46,,,,,,
,,2006 - 2007,"23,209.00","3,41,289.00",14.71,,,,,,
,,2007 - 2008,"22,480.00","2,89,173.00",12.86,,,,,,
,,2008 - 2009,"21,744.00","2,79,761.00",12.87,,,,,,
,,2009 - 2010,"18,231.00","3,07,834.00",16.89,,,,,,
,,2010 - 2011,"18,021.00","2,55,584.00",14.18,,,,,,
,,2011 - 2012,"21,514.00","3,13,205.00",14.56,,,,,,
,,2012 - 2013,"23,769.00","3,94,590.00",16.6,,,,,,
,,2013 - 2014,"24,637.00","3,96,145.00",16.08,,,,,,
,,2014 - 2015,"22,195.00","3,82,438.00",17.23,,,,,,
,,2015 - 2016,"22,585.00","3,75,579.00",16.63,,,,,,
,,2016 - 2017,"24,178.00","3,79,595.00",15.7,,,,,,
,,2017 - 2018,"25,078.00","3,91,028.00",15.59,,,,,,
,,2018 - 2019,"25,715.00","4,17,902.00",16.25,,,,,,
,,2019 - 2020,"22,865.00","3,75,420.00",16.42,,,,,,
,,2020 - 2021,"22,910.00","3,54,992.00",15.5,,,,,,
,,2021 - 2022,"28,912.00","4,58,068.00",15.84,,,,,,
,,2022 - 2023,"27,330.00","4,25,497.00",15.57,,,,,,
,14. Medinipur east,2000 - 2001,"4,869.00","92,980.00",19.1,,,,,,
,,2001 - 2002,"5,373.00","1,18,920.00",22.13,,,,,,
,,2002 - 2003,"1,767.00","27,563.00",15.6,,,,,,
,,2003 - 2004,"2,116.00","31,176.00",14.73,,,,,,
,,2004 - 2005,887,"11,743.00",13.24,,,,,,
,,2005 - 2006,"1,455.00","21,039.00",14.46,,,,,,
,,2006 - 2007,"1,494.00","26,533.00",17.76,,,,,,
,,2007 - 2008,500,"8,355.00",16.71,,,,,,
,,2008 - 2009,455,"7,517.00",16.52,,,,,,
,,2009 - 2010,501,"6,914.00",13.8,,,,,,
,,2010 - 2011,671,"11,736.00",17.49,,,,,,
,,2011 - 2012,521,"9,758.00",18.73,,,,,,
,,2012 - 2013,488,"7,643.00",15.66,,,,,,
,,2013 - 2014,367,"4,969.00",13.54,,,,,,
,,2014 - 2015,557,"7,099.00",12.75,,,,,,
,,2015 - 2016,215,"3,297.00",15.33,,,,,,
,,2016 - 2017,288,"4,744.00",16.47,,,,,,
,,2017 - 2018,193,"3,108.00",16.1,,,,,,
,,2018 - 2019,122,"2,493.00",20.43,,,,,,
,,2019 - 2020,140,"2,594.00",18.53,,,,,,
,,2020 - 2021,160,"1,314.00",8.21,,,,,,
,,2021 - 2022,236,"3,790.00",16.06,,,,,,
,,2022 - 2023,131,"2,327.00",17.76,,,,,,
,15. Medinipur west,2000 - 2001,"2,876.00","49,600.00",17.25,,,,,,
,,2001 - 2002,"2,793.00","48,240.00",17.27,,,,,,
,,2002 - 2003,"7,286.00","1,18,387.00",16.25,,,,,,
,,2003 - 2004,"5,888.00","77,912.00",13.23,,,,,,
,,2004 - 2005,"5,473.00","72,470.00",13.24,,,,,,
,,2005 - 2006,"5,209.00","74,916.00",14.38,,,,,,
,,2006 - 2007,"5,178.00","70,826.00",13.68,,,,,,
,,2007 - 2008,"4,760.00","53,120.00",11.16,,,,,,
,,2008 - 2009,"5,504.00","54,488.00",9.9,,,,,,
,,2009 - 2010,"3,716.00","42,654.00",11.48,,,,,,
,,2010 - 2011,"2,737.00","41,582.00",15.19,,,,,,
,,2011 - 2012,"3,463.00","37,788.00",10.91,,,,,,
,,2012 - 2013,"2,703.00","42,722.00",15.81,,,,,,
,,2013 - 2014,"4,144.00","64,657.00",15.6,,,,,,
,,2014 - 2015,"3,313.00","54,042.00",16.31,,,,,,
