State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2013 - 2014,"4,079.00","35,805.00",8.78,,,,,,
,,2014 - 2015,"4,299.00","45,878.00",10.67,,,,,,
,,2015 - 2016,"4,254.00","68,371.00",16.07,,,,,,
,,2016 - 2017,"4,025.00","64,333.00",15.98,,,,,,
,,2017 - 2018,"4,019.00","47,268.00",11.76,,,,,,
,,2018 - 2019,"3,988.00","56,408.00",14.14,,,,,,
,,2019 - 2020,"3,986.00","65,946.00",16.54,,,,,,
,,2020 - 2021,"3,822.00","48,306.00",12.64,,,,,,
,,2021 - 2022,"3,093.00","41,910.00",13.55,,,,,,
,,2022 - 2023,"3,295.00","39,503.00",11.99,,,,,,
,9. Dhemaji,2000 - 2001,171,"1,643.00",9.61,,,,,,
,,2001 - 2002,165,"1,633.00",9.9,,,,,,
,,2002 - 2003,173,"1,759.00",10.17,,,,,,
,,2003 - 2004,164,"1,704.00",10.39,,,,,,
,,2004 - 2005,161,"1,140.00",7.08,,,,,,
,,2005 - 2006,91,928,10.2,,,,,,
,,2006 - 2007,91,881,9.68,,,,,,
,,2007 - 2008,95,"1,043.00",10.98,,,,,,
,,2008 - 2009,80,862,10.78,,,,,,
,,2009 - 2010,101,"1,104.00",10.93,,,,,,
,,2010 - 2011,84,844,10.05,,,,,,
,,2011 - 2012,87,807,9.28,,,,,,
,,2012 - 2013,86,739,8.59,,,,,,
,,2013 - 2014,87,894,10.28,,,,,,
,,2014 - 2015,82,895,10.91,,,,,,
,,2015 - 2016,73,876,12,,,,,,
,,2016 - 2017,70,748,10.69,,,,,,
,,2017 - 2018,69,830,12.03,,,,,,
,,2018 - 2019,68,788,11.59,,,,,,
,,2019 - 2020,61,752,12.33,,,,,,
,,2020 - 2021,70,861,12.3,,,,,,
,,2021 - 2022,62,750,12.1,,,,,,
,,2022 - 2023,71,843,11.87,,,,,,
,10. Dhubri,2000 - 2001,"15,634.00","1,42,714.00",9.13,,,,,,
,,2001 - 2002,"16,150.00","1,31,068.00",8.12,,,,,,
,,2002 - 2003,"15,890.00","1,17,473.00",7.39,,,,,,
,,2003 - 2004,"13,528.00","86,626.00",6.4,,,,,,
,,2004 - 2005,"12,170.00","73,162.00",6.01,,,,,,
,,2005 - 2006,"10,992.00","90,619.00",8.24,,,,,,
,,2006 - 2007,"10,049.00","87,318.00",8.69,,,,,,
,,2007 - 2008,"12,202.00","1,14,084.00",9.35,,,,,,
,,2008 - 2009,"11,176.00","1,00,813.00",9.02,,,,,,
,,2009 - 2010,"12,725.00","1,07,232.00",8.43,,,,,,
,,2010 - 2011,"12,195.00","93,229.00",7.64,,,,,,
,,2011 - 2012,"12,750.00","1,22,184.00",9.58,,,,,,
,,2012 - 2013,"13,075.00","1,08,922.00",8.33,,,,,,
,,2013 - 2014,"13,800.00","1,40,340.00",10.17,,,,,,
,,2014 - 2015,"12,690.00","1,28,294.00",10.11,,,,,,
,,2015 - 2016,"13,420.00","1,30,565.00",9.73,,,,,,
,,2016 - 2017,"13,304.00","1,39,007.00",10.45,,,,,,
,,2017 - 2018,"13,304.00","2,16,494.00",16.27,,,,,,
,,2018 - 2019,"9,585.00","1,28,694.00",13.43,,,,,,
,,2019 - 2020,"10,267.00","1,50,242.00",14.63,,,,,,
,,2020 - 2021,"7,260.00","1,07,800.00",14.85,,,,,,
,,2021 - 2022,"7,167.00","91,313.00",12.74,,,,,,
,,2022 - 2023,"6,297.00","79,115.00",12.56,,,,,,
,11. Dibrugarh,2000 - 2001,19,183,9.63,,,,,,
,,2001 - 2002,16,158,9.88,,,,,,
,,2002 - 2003,15,153,10.2,,,,,,
,,2003 - 2004,10,104,10.4,,,,,,
,,2004 - 2005,10,71,7.1,,,,,,
,,2005 - 2006,26,265,10.19,,,,,,
,,2006 - 2007,18,174,9.67,,,,,,
,,2007 - 2008,8,88,11,,,,,,
,,2008 - 2009,8,86,10.75,,,,,,
,,2009 - 2010,6,66,11,,,,,,
,,2010 - 2011,5,50,10,,,,,,
,,2011 - 2012,6,56,9.33,,,,,,
,,2012 - 2013,8,67,8.38,,,,,,
,,2013 - 2014,5,51,10.2,,,,,,
,,2014 - 2015,7,78,11.14,,,,,,
,,2015 - 2016,7,84,12,,,,,,
,,2016 - 2017,11,118,10.73,,,,,,
,,2017 - 2018,11,132,12,,,,,,
,,2018 - 2019,10,116,11.6,,,,,,
,,2019 - 2020,12,148,12.33,,,,,,
,,2020 - 2021,12,148,12.33,,,,,,
,,2021 - 2022,14,169,12.07,,,,,,
,,2022 - 2023,9,107,11.89,,,,,,
,12. Dima hasao,2000 - 2001,61,586,9.61,,,,,,
,,2001 - 2002,62,613,9.89,,,,,,
,,2002 - 2003,58,590,10.17,,,,,,
,,2003 - 2004,54,561,10.39,,,,,,
,,2004 - 2005,55,389,7.07,,,,,,
,,2005 - 2006,51,520,10.2,,,,,,
,,2006 - 2007,49,475,9.69,,,,,,
,,2007 - 2008,47,516,10.98,,,,,,
,,2008 - 2009,48,517,10.77,,,,,,
,,2009 - 2010,55,601,10.93,,,,,,
,,2010 - 2011,61,613,10.05,,,,,,
,,2011 - 2012,60,556,9.27,,,,,,
,,2012 - 2013,59,506,8.58,,,,,,
,,2013 - 2014,27,277,10.26,,,,,,
,,2014 - 2015,27,294,10.89,,,,,,
,,2015 - 2016,91,"1,093.00",12.01,,,,,,
,,2016 - 2017,95,"1,015.00",10.68,,,,,,
,,2017 - 2018,95,"1,143.00",12.03,,,,,,
,,2018 - 2019,75,868,11.57,,,,,,
,,2019 - 2020,88,"1,084.00",12.32,,,,,,
,,2020 - 2021,88,"1,083.00",12.31,,,,,,
,,2021 - 2022,16,193,12.06,,,,,,
,,2022 - 2023,10,119,11.9,,,,,,
,13. Goalpara,2000 - 2001,"3,500.00","44,431.00",12.69,,,,,,
,,2001 - 2002,"3,800.00","23,940.00",6.3,,,,,,
,,2002 - 2003,"2,500.00","18,611.00",7.44,,,,,,
,,2003 - 2004,"2,300.00","18,055.00",7.85,,,,,,
,,2004 - 2005,"2,300.00","22,655.00",9.85,,,,,,
,,2005 - 2006,"2,371.00","23,460.00",9.89,,,,,,
,,2006 - 2007,"2,750.00","24,964.00",9.08,,,,,,
,,2007 - 2008,"3,000.00","38,200.00",12.73,,,,,,
,,2008 - 2009,"3,370.00","51,954.00",15.42,,,,,,
,,2009 - 2010,"3,200.00","43,040.00",13.45,,,,,,
,,2010 - 2011,"3,010.00","48,913.00",16.25,,,,,,
,,2011 - 2012,"3,300.00","31,570.00",9.57,,,,,,
,,2012 - 2013,"4,150.00","38,828.00",9.36,,,,,,
,,2013 - 2014,"4,300.00","31,318.00",7.28,,,,,,
,,2014 - 2015,"5,233.00","46,222.00",8.83,,,,,,
,,2015 - 2016,"4,611.00","61,249.00",13.28,,,,,,
,,2016 - 2017,"3,278.00","27,171.00",8.29,,,,,,
,,2017 - 2018,"3,508.00","31,553.00",8.99,,,,,,
,,2018 - 2019,"3,538.00","35,223.00",9.96,,,,,,
,,2019 - 2020,"3,532.00","31,866.00",9.02,,,,,,
,,2020 - 2021,"3,303.00","28,920.00",8.76,,,,,,
,,2021 - 2022,"3,313.00","28,068.00",8.47,,,,,,
,,2022 - 2023,"3,144.00","30,479.00",9.69,,,,,,
,14. Golaghat,2000 - 2001,929,"9,272.00",9.98,,,,,,
,,2001 - 2002,935,"8,979.00",9.6,,,,,,
,,2002 - 2003,701,"6,697.00",9.55,,,,,,
,,2003 - 2004,687,"5,932.00",8.63,,,,,,
,,2004 - 2005,685,"5,858.00",8.55,,,,,,
,,2005 - 2006,700,"7,712.00",11.02,,,,,,
,,2006 - 2007,551,"3,608.00",6.55,,,,,,
,,2007 - 2008,418,"3,741.00",8.95,,,,,,
,,2008 - 2009,303,"2,777.00",9.17,,,,,,
,,2009 - 2010,362,"3,956.00",10.93,,,,,,
,,2010 - 2011,316,"3,175.00",10.05,,,,,,
,,2011 - 2012,310,"2,875.00",9.27,,,,,,
,,2012 - 2013,350,"3,000.00",8.57,,,,,,
,,2013 - 2014,332,"3,410.00",10.27,,,,,,
,,2014 - 2015,279,"3,039.00",10.89,,,,,,
,,2015 - 2016,294,"3,530.00",12.01,,,,,,
,,2016 - 2017,292,"3,120.00",10.68,,,,,,
,,2017 - 2018,289,"3,476.00",12.03,,,,,,
,,2018 - 2019,209,"2,420.00",11.58,,,,,,
,,2019 - 2020,207,"2,551.00",12.32,,,,,,
,,2020 - 2021,229,"2,819.00",12.31,,,,,,
,,2021 - 2022,198,"2,392.00",12.08,,,,,,
,,2022 - 2023,113,"1,342.00",11.88,,,,,,
,15. Hailakandi,2000 - 2001,30,288,9.6,,,,,,
,,2001 - 2002,30,297,9.9,,,,,,
,,2002 - 2003,30,305,10.17,,,,,,
,,2003 - 2004,30,512,17.07,,,,,,
,,2004 - 2005,25,177,7.08,,,,,,
,,2005 - 2006,25,255,10.2,,,,,,
,,2006 - 2007,35,339,9.69,,,,,,
,,2007 - 2008,30,329,10.97,,,,,,
,,2008 - 2009,35,377,10.77,,,,,,
,,2009 - 2010,35,382,10.91,,,,,,
,,2010 - 2011,40,402,10.05,,,,,,
,,2011 - 2012,35,325,9.29,,,,,,
,,2012 - 2013,25,217,8.68,,,,,,
,,2013 - 2014,50,514,10.28,,,,,,
,,2014 - 2015,30,328,10.93,,,,,,
,,2015 - 2016,28,336,12,,,,,,
,,2016 - 2017,28,299,10.68,,,,,,
,,2017 - 2018,14,168,12,,,,,,
,,2018 - 2019,15,174,11.6,,,,,,
,,2019 - 2020,16,197,12.31,,,,,,
,,2020 - 2021,15,185,12.33,,,,,,
,,2021 - 2022,14,169,12.07,,,,,,
,,2022 - 2023,12,142,11.83,,,,,,
,16. Hojai,2020 - 2021,438,"5,042.00",11.51,,,,,,
,,2021 - 2022,437,"7,123.00",16.3,,,,,,
,,2022 - 2023,437,"7,109.00",16.27,,,,,,
,17. Jorhat,2000 - 2001,113,"1,086.00",9.61,,,,,,
,,2001 - 2002,163,"1,613.00",9.9,,,,,,
,,2002 - 2003,135,"1,373.00",10.17,,,,,,
,,2003 - 2004,143,"1,485.00",10.38,,,,,,
,,2004 - 2005,109,772,7.08,,,,,,
,,2005 - 2006,145,"1,479.00",10.2,,,,,,
,,2006 - 2007,136,"1,317.00",9.68,,,,,,
,,2007 - 2008,121,"1,328.00",10.98,,,,,,
,,2008 - 2009,140,"1,508.00",10.77,,,,,,
,,2009 - 2010,93,"1,016.00",10.92,,,,,,
,,2010 - 2011,73,734,10.05,,,,,,
,,2011 - 2012,89,832,9.35,,,,,,
,,2012 - 2013,55,472,8.58,,,,,,
,,2013 - 2014,54,555,10.28,,,,,,
,,2014 - 2015,53,577,10.89,,,,,,
,,2015 - 2016,49,588,12,,,,,,
,,2016 - 2017,48,513,10.69,,,,,,
,,2017 - 2018,45,541,12.02,,,,,,
,,2018 - 2019,16,186,11.63,,,,,,
,,2019 - 2020,17,210,12.35,,,,,,
,,2020 - 2021,11,135,12.27,,,,,,
,,2021 - 2022,11,133,12.09,,,,,,
,,2022 - 2023,10,119,11.9,,,,,,
,18. Kamrup,2000 - 2001,"4,559.00","48,442.00",10.63,,,,,,
,,2001 - 2002,"3,646.00","38,726.00",10.62,,,,,,
,,2002 - 2003,"3,459.00","32,223.00",9.32,,,,,,
,,2003 - 2004,"3,351.00","28,204.00",8.42,,,,,,
,,2004 - 2005,"3,335.00","18,463.00",5.54,,,,,,
,,2005 - 2006,"3,322.00","45,923.00",13.82,,,,,,
,,2006 - 2007,"3,401.00","49,780.00",14.64,,,,,,
,,2007 - 2008,"3,616.00","54,942.00",15.19,,,,,,
,,2008 - 2009,"3,449.00","52,748.00",15.29,,,,,,
,,2009 - 2010,"3,077.00","44,012.00",14.3,,,,,,
,,2010 - 2011,"3,359.00","51,505.00",15.33,,,,,,
,,2011 - 2012,"3,843.00","31,855.00",8.29,,,,,,
,,2012 - 2013,"3,987.00","25,533.00",6.4,,,,,,
,,2013 - 2014,"3,912.00","27,363.00",6.99,,,,,,
,,2014 - 2015,"5,006.00","49,501.00",9.89,,,,,,
,,2015 - 2016,"4,810.00","60,962.00",12.67,,,,,,
,,2016 - 2017,"4,931.00","31,584.00",6.41,,,,,,
,,2017 - 2018,"4,623.00","29,819.00",6.45,,,,,,
,,2018 - 2019,"4,470.00","39,167.00",8.76,,,,,,
,,2019 - 2020,"4,428.00","23,326.00",5.27,,,,,,
,,2020 - 2021,"4,422.00","41,004.00",9.27,,,,,,
,,2021 - 2022,"5,842.00","54,506.00",9.33,,,,,,
,,2022 - 2023,"5,317.00","51,179.00",9.63,,,,,,
