State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"23,608.00","20,728.00",0.88,,,,,,,,,
,,2008 - 2009,"28,772.00","27,790.00",0.97,,,,,,,,,
,,2009 - 2010,"28,390.00","33,898.00",1.19,,,,,,,,,
,,2010 - 2011,"19,642.00","21,119.00",1.08,,,,,,,,,
,,2011 - 2012,"21,247.00","25,900.00",1.22,,,,,,,,,
,,2012 - 2013,"22,327.00","32,819.00",1.47,,,,,,,,,
,,2013 - 2014,"19,101.00","8,729.00",0.46,,,,,,,,,
,,2014 - 2015,"13,216.00","9,740.00",0.74,,,,,,,,,
,,2015 - 2016,"3,589.00","2,659.00",0.74,,,,,,,,,
,,2016 - 2017,"20,124.00","31,594.00",1.57,,,,,,,,,
,,2017 - 2018,"13,725.00","17,774.00",1.3,,,,,,,,,
,,2018 - 2019,"20,550.00","34,647.00",1.69,,,,,,,,,
,,2019 - 2020,"20,504.00","32,191.00",1.57,,,,,,,,,
,,2020 - 2021,"20,124.00","27,691.00",1.38,,,,,,,,,
,,2021 - 2022,"18,211.00","31,286.00",1.72,,,,,,,,,
,,2022 - 2023,"16,038.00","25,565.00",1.59,,,,,,,,,
,49. Lucknow,2000 - 2001,"2,739.00","2,596.00",0.95,,,,,,,,,
,,2001 - 2002,"2,480.00","2,327.00",0.94,,,,,,,,,
,,2002 - 2003,"2,326.00","2,131.00",0.92,,,,,,,,,
,,2003 - 2004,"2,232.00","1,942.00",0.87,,,,,,,,,
,,2004 - 2005,"2,131.00","2,001.00",0.94,,,,,,,,,
,,2005 - 2006,"1,831.00","2,090.00",1.14,,,,,,,,,
,,2006 - 2007,"1,627.00","1,275.00",0.78,,,,,,,,,
,,2007 - 2008,"2,900.00","2,862.00",0.99,,,,,,,,,
,,2008 - 2009,318,365,1.15,,,,,,,,,
,,2009 - 2010,"1,243.00","1,089.00",0.88,,,,,,,,,
,,2010 - 2011,"1,227.00",728,0.59,,,,,,,,,
,,2011 - 2012,"1,070.00","1,376.00",1.29,,,,,,,,,
,,2012 - 2013,938,"1,110.00",1.18,,,,,,,,,
,,2013 - 2014,"1,172.00",556,0.47,,,,,,,,,
,,2014 - 2015,646,346,0.54,,,,,,,,,
,,2015 - 2016,621,311,0.5,,,,,,,,,
,,2016 - 2017,879,660,0.75,,,,,,,,,
,,2017 - 2018,934,880,0.94,,,,,,,,,
,,2018 - 2019,202,230,1.14,,,,,,,,,
,,2019 - 2020,"1,210.00",849,0.7,,,,,,,,,
,,2020 - 2021,"5,114.00","7,241.00",1.42,,,,,,,,,
,,2021 - 2022,"1,111.00","1,091.00",0.98,,,,,,,,,
,,2022 - 2023,"1,307.00",968,0.74,,,,,,,,,
,50. Maharajganj,2000 - 2001,144,113,0.78,,,,,,,,,
,,2001 - 2002,168,149,0.89,,,,,,,,,
,,2002 - 2003,82,68,0.83,,,,,,,,,
,,2003 - 2004,83,76,0.92,,,,,,,,,
,,2004 - 2005,96,82,0.85,,,,,,,,,
,,2005 - 2006,43,38,0.88,,,,,,,,,
,,2006 - 2007,49,35,0.71,,,,,,,,,
,,2007 - 2008,8,6,0.75,,,,,,,,,
,,2008 - 2009,52,49,0.94,,,,,,,,,
,,2009 - 2010,7,5,0.71,,,,,,,,,
,,2010 - 2011,17,16,0.94,,,,,,,,,
,,2011 - 2012,52,56,1.08,,,,,,,,,
,,2012 - 2013,20,19,0.95,,,,,,,,,
,,2013 - 2014,123,81,0.66,,,,,,,,,
,,2014 - 2015,24,9,0.38,,,,,,,,,
,,2015 - 2016,79,47,0.59,,,,,,,,,
,,2016 - 2017,5,5,1,,,,,,,,,
,,2017 - 2018,4,4,1,,,,,,,,,
,,2021 - 2022,32,43,1.34,,,,,,,,,
,,2022 - 2023,31,42,1.35,,,,,,,,,
,51. Mahoba,2000 - 2001,"48,082.00","25,925.00",0.54,,,,,,,,,
,,2001 - 2002,"66,801.00","54,188.00",0.81,,,,,,,,,
,,2002 - 2003,"82,785.00","53,142.00",0.64,,,,,,,,,
,,2003 - 2004,"72,727.00","61,048.00",0.84,,,,,,,,,
,,2004 - 2005,"67,115.00","63,068.00",0.94,,,,,,,,,
,,2005 - 2006,"72,607.00","44,053.00",0.61,,,,,,,,,
,,2006 - 2007,"70,133.00","40,146.00",0.57,,,,,,,,,
,,2007 - 2008,"48,273.00","19,090.00",0.4,,,,,,,,,
,,2008 - 2009,"43,154.00","47,388.00",1.1,,,,,,,,,
,,2009 - 2010,"73,161.00","47,098.00",0.64,,,,,,,,,
,,2010 - 2011,"61,648.00","41,964.00",0.68,,,,,,,,,
,,2011 - 2012,"62,972.00","63,971.00",1.02,,,,,,,,,
,,2012 - 2013,"63,321.00","57,995.00",0.92,,,,,,,,,
,,2013 - 2014,"61,370.00","25,198.00",0.41,,,,,,,,,
,,2014 - 2015,"54,605.00","9,576.00",0.18,,,,,,,,,
,,2015 - 2016,"11,438.00","2,283.00",0.2,,,,,,,,,
,,2016 - 2017,"27,842.00","21,734.00",0.78,,,,,,,,,
,,2017 - 2018,"27,027.00","18,627.00",0.69,,,,,,,,,
,,2018 - 2019,"84,865.00","99,200.00",1.17,,,,,,,,,
,,2019 - 2020,"78,961.00","1,30,413.00",1.65,,,,,,,,,
,,2020 - 2021,"64,524.00","65,944.00",1.02,,,,,,,,,
,,2021 - 2022,"73,054.00","93,071.00",1.27,,,,,,,,,
,,2022 - 2023,"73,054.00","1,16,813.00",1.6,,,,,,,,,
,52. Mainpuri,2000 - 2001,"1,306.00","1,508.00",1.15,,,,,,,,,
,,2001 - 2002,"1,365.00","1,631.00",1.19,,,,,,,,,
,,2002 - 2003,"1,406.00","1,355.00",0.96,,,,,,,,,
,,2003 - 2004,"1,080.00","1,473.00",1.36,,,,,,,,,
,,2004 - 2005,921,"1,143.00",1.24,,,,,,,,,
,,2005 - 2006,"1,124.00","1,464.00",1.3,,,,,,,,,
,,2006 - 2007,919,762,0.83,,,,,,,,,
,,2007 - 2008,"1,059.00","1,428.00",1.35,,,,,,,,,
,,2008 - 2009,"1,134.00","1,141.00",1.01,,,,,,,,,
,,2009 - 2010,973,804,0.83,,,,,,,,,
,,2010 - 2011,917,"1,790.00",1.95,,,,,,,,,
,,2011 - 2012,853,"1,327.00",1.56,,,,,,,,,
,,2012 - 2013,921,"1,660.00",1.8,,,,,,,,,
,,2013 - 2014,987,"1,858.00",1.88,,,,,,,,,
,,2014 - 2015,813,911,1.12,,,,,,,,,
,,2015 - 2016,942,669,0.71,,,,,,,,,
,,2016 - 2017,891,"1,666.00",1.87,,,,,,,,,
,,2017 - 2018,793,"1,507.00",1.9,,,,,,,,,
,,2018 - 2019,"1,068.00","1,700.00",1.59,,,,,,,,,
,,2019 - 2020,890,"1,375.00",1.54,,,,,,,,,
,,2020 - 2021,983,"3,057.00",3.11,,,,,,,,,
,,2021 - 2022,"1,156.00","3,648.00",3.16,,,,,,,,,
,,2022 - 2023,"1,156.00","1,450.00",1.25,,,,,,,,,
,53. Mathura,2000 - 2001,273,315,1.15,,,,,,,,,
,,2001 - 2002,238,284,1.19,,,,,,,,,
,,2002 - 2003,157,151,0.96,,,,,,,,,
,,2003 - 2004,134,183,1.37,,,,,,,,,
,,2004 - 2005,84,104,1.24,,,,,,,,,
,,2005 - 2006,134,175,1.31,,,,,,,,,
,,2006 - 2007,84,70,0.83,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,
,,2008 - 2009,14,14,1,,,,,,,,,
,,2009 - 2010,26,22,0.85,,,,,,,,,
,,2010 - 2011,32,62,1.94,,,,,,,,,
,,2011 - 2012,10,15,1.5,,,,,,,,,
,,2012 - 2013,18,33,1.83,,,,,,,,,
,,2013 - 2014,18,34,1.89,,,,,,,,,
,,2014 - 2015,16,18,1.13,,,,,,,,,
,,2015 - 2016,19,13,0.68,,,,,,,,,
,,2017 - 2018,29,55,1.9,,,,,,,,,
,,2018 - 2019,453,721,1.59,,,,,,,,,
,,2021 - 2022,22,57,2.59,,,,,,,,,
,,2022 - 2023,22,28,1.27,,,,,,,,,
,54. Mau,2000 - 2001,"2,118.00","2,685.00",1.27,,,,,,,,,
,,2001 - 2002,"1,836.00","1,708.00",0.93,,,,,,,,,
,,2002 - 2003,"1,738.00","1,564.00",0.9,,,,,,,,,
,,2003 - 2004,"1,610.00","1,870.00",1.16,,,,,,,,,
,,2004 - 2005,"1,437.00","1,160.00",0.81,,,,,,,,,
,,2005 - 2006,"1,632.00","1,724.00",1.06,,,,,,,,,
,,2006 - 2007,529,557,1.05,,,,,,,,,
,,2007 - 2008,517,656,1.27,,,,,,,,,
,,2008 - 2009,"1,438.00","1,976.00",1.37,,,,,,,,,
,,2009 - 2010,"1,326.00","1,368.00",1.03,,,,,,,,,
,,2010 - 2011,"1,348.00","1,612.00",1.2,,,,,,,,,
,,2011 - 2012,932,"1,215.00",1.3,,,,,,,,,
,,2012 - 2013,"1,463.00","2,430.00",1.66,,,,,,,,,
,,2013 - 2014,"1,403.00","1,120.00",0.8,,,,,,,,,
,,2014 - 2015,"1,171.00","1,661.00",1.42,,,,,,,,,
,,2015 - 2016,"1,460.00","1,359.00",0.93,,,,,,,,,
,,2016 - 2017,"1,469.00","2,405.00",1.64,,,,,,,,,
,,2017 - 2018,"1,426.00","1,500.00",1.05,,,,,,,,,
,,2018 - 2019,924,881,0.95,,,,,,,,,
,,2019 - 2020,"1,397.00","1,536.00",1.1,,,,,,,,,
,,2020 - 2021,"1,344.00","2,052.00",1.53,,,,,,,,,
,,2021 - 2022,"1,791.00","2,439.00",1.36,,,,,,,,,
,,2022 - 2023,"1,791.00","2,527.00",1.41,,,,,,,,,
,55. Meerut,2000 - 2001,204,174,0.85,,,,,,,,,
,,2001 - 2002,176,176,1,,,,,,,,,
,,2002 - 2003,114,104,0.91,,,,,,,,,
,,2003 - 2004,112,117,1.04,,,,,,,,,
,,2004 - 2005,68,63,0.93,,,,,,,,,
,,2005 - 2006,88,78,0.89,,,,,,,,,
,,2006 - 2007,122,89,0.73,,,,,,,,,
,,2007 - 2008,25,19,0.76,,,,,,,,,
,,2008 - 2009,35,34,0.97,,,,,,,,,
,,2009 - 2010,92,76,0.83,,,,,,,,,
,,2010 - 2011,225,198,0.88,,,,,,,,,
,,2011 - 2012,26,31,1.19,,,,,,,,,
,,2012 - 2013,21,23,1.1,,,,,,,,,
,,2013 - 2014,23,18,0.78,,,,,,,,,
,,2014 - 2015,6,2,0.33,,,,,,,,,
,,2015 - 2016,17,10,0.59,,,,,,,,,
,,2016 - 2017,3,3,1,,,,,,,,,
,,2017 - 2018,5,5,1,,,,,,,,,
,,2018 - 2019,12,14,1.17,,,,,,,,,
,,2020 - 2021,7,8,1.14,,,,,,,,,
,,2021 - 2022,11,15,1.36,,,,,,,,,
,,2022 - 2023,12,16,1.33,,,,,,,,,
,56. Mirzapur,2000 - 2001,"15,778.00","13,492.00",0.86,,,,,,,,,
,,2001 - 2002,"17,396.00","16,128.00",0.93,,,,,,,,,
,,2002 - 2003,"17,815.00","19,242.00",1.08,,,,,,,,,
,,2003 - 2004,"16,853.00","18,934.00",1.12,,,,,,,,,
,,2004 - 2005,"14,864.00","14,517.00",0.98,,,,,,,,,
,,2005 - 2006,"22,774.00","18,342.00",0.81,,,,,,,,,
,,2006 - 2007,"13,209.00","13,905.00",1.05,,,,,,,,,
,,2007 - 2008,"11,613.00","10,085.00",0.87,,,,,,,,,
,,2008 - 2009,"14,223.00","13,631.00",0.96,,,,,,,,,
,,2009 - 2010,"14,136.00","12,639.00",0.89,,,,,,,,,
,,2010 - 2011,"13,222.00","13,372.00",1.01,,,,,,,,,
,,2011 - 2012,"13,326.00","14,559.00",1.09,,,,,,,,,
,,2012 - 2013,"13,516.00","15,544.00",1.15,,,,,,,,,
,,2013 - 2014,"9,852.00","11,116.00",1.13,,,,,,,,,
,,2014 - 2015,"12,948.00","12,987.00",1,,,,,,,,,
,,2015 - 2016,"12,458.00","10,224.00",0.82,,,,,,,,,
,,2016 - 2017,"13,382.00","15,366.00",1.15,,,,,,,,,
,,2017 - 2018,"13,800.00","19,558.00",1.42,,,,,,,,,
,,2018 - 2019,"12,817.00","16,224.00",1.27,,,,,,,,,
,,2019 - 2020,"13,313.00","11,266.00",0.85,,,,,,,,,
,,2020 - 2021,"13,676.00","18,847.00",1.38,,,,,,,,,
,,2021 - 2022,"13,868.00","17,668.00",1.27,,,,,,,,,
,,2022 - 2023,"15,122.00","19,825.00",1.31,,,,,,,,,
,57. Moradabad,2000 - 2001,125,107,0.86,,,,,,,,,
,,2001 - 2002,115,115,1,,,,,,,,,
,,2002 - 2003,44,40,0.91,,,,,,,,,
,,2003 - 2004,36,38,1.06,,,,,,,,,
,,2004 - 2005,40,37,0.93,,,,,,,,,
,,2005 - 2006,26,23,0.88,,,,,,,,,
,,2006 - 2007,41,30,0.73,,,,,,,,,
,,2007 - 2008,28,21,0.75,,,,,,,,,
,,2008 - 2009,54,53,0.98,,,,,,,,,
,,2009 - 2010,22,18,0.82,,,,,,,,,
,,2010 - 2011,25,22,0.88,,,,,,,,,
,,2011 - 2012,10,12,1.2,,,,,,,,,
,,2012 - 2013,44,49,1.11,,,,,,,,,
,,2013 - 2014,30,12,0.4,,,,,,,,,
,,2014 - 2015,161,48,0.3,,,,,,,,,
,,2015 - 2016,48,21,0.44,,,,,,,,,
,,2016 - 2017,19,21,1.11,,,,,,,,,
,,2017 - 2018,4,5,1.25,,,,,,,,,
,,2019 - 2020,20,27,1.35,,,,,,,,,
,,2020 - 2021,21,25,1.19,,,,,,,,,
,,2021 - 2022,24,32,1.33,,,,,,,,,
,,2022 - 2023,22,30,1.36,,,,,,,,,
,58. Muzaffarnagar,2000 - 2001,221,188,0.85,,,,,,,,,
,,2001 - 2002,147,147,1,,,,,,,,,
,,2002 - 2003,142,129,0.91,,,,,,,,,
,,2003 - 2004,127,134,1.06,,,,,,,,,
,,2004 - 2005,95,88,0.93,,,,,,,,,
,,2005 - 2006,58,52,0.9,,,,,,,,,
,,2006 - 2007,66,48,0.73,,,,,,,,,
,,2007 - 2008,78,58,0.74,,,,,,,,,
,,2008 - 2009,88,87,0.99,,,,,,,,,
,,2009 - 2010,39,32,0.82,,,,,,,,,
,,2010 - 2011,34,33,0.97,,,,,,,,,
,,2011 - 2012,165,194,1.18,,,,,,,,,
,,2012 - 2013,13,14,1.08,,,,,,,,,
,,2013 - 2014,15,6,0.4,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,8,5,0.63,,,,,,,,,
,,2016 - 2017,27,29,1.07,,,,,,,,,
,,2017 - 2018,16,17,1.06,,,,,,,,,
,,2018 - 2019,20,25,1.25,,,,,,,,,
,,2019 - 2020,128,172,1.34,,,,,,,,,
,,2020 - 2021,18,22,1.22,,,,,,,,,
,,2021 - 2022,20,27,1.35,,,,,,,,,
,,2022 - 2023,19,26,1.37,,,,,,,,,
,59. Pilibhit,2000 - 2001,25,21,0.84,,,,,,,,,
,,2001 - 2002,16,16,1,,,,,,,,,
,,2002 - 2003,11,10,0.91,,,,,,,,,
,,2003 - 2004,13,14,1.08,,,,,,,,,
,,2004 - 2005,6,5,0.83,,,,,,,,,
,,2005 - 2006,17,15,0.88,,,,,,,,,
,,2006 - 2007,13,9,0.69,,,,,,,,,
,,2007 - 2008,17,13,0.76,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,3,3,1,,,,,,,,,
,,2012 - 2013,3,3,1,,,,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,,,,
,,2014 - 2015,1,,0,,,,,,,,,
,,2016 - 2017,4,4,1,,,,,,,,,
,,2017 - 2018,103,108,1.05,,,,,,,,,
,,2018 - 2019,50,63,1.26,,,,,,,,,
,,2019 - 2020,41,55,1.34,,,,,,,,,
,,2020 - 2021,5,6,1.2,,,,,,,,,
,,2021 - 2022,5,7,1.4,,,,,,,,,
,,2022 - 2023,5,7,1.4,,,,,,,,,
,60. Pratapgarh,2000 - 2001,"7,615.00","6,540.00",0.86,,,,,,,,,
,,2001 - 2002,"5,660.00","4,841.00",0.86,,,,,,,,,
,,2002 - 2003,"4,937.00","4,690.00",0.95,,,,,,,,,
,,2003 - 2004,"4,702.00","4,165.00",0.89,,,,,,,,,
,,2004 - 2005,"4,740.00","4,483.00",0.95,,,,,,,,,
,,2005 - 2006,"4,315.00","4,082.00",0.95,,,,,,,,,
,,2006 - 2007,"4,744.00","4,493.00",0.95,,,,,,,,,
,,2007 - 2008,"3,361.00","3,291.00",0.98,,,,,,,,,
,,2008 - 2009,"3,353.00","2,808.00",0.84,,,,,,,,,
,,2009 - 2010,"3,867.00","2,408.00",0.62,,,,,,,,,
,,2010 - 2011,"3,794.00","3,375.00",0.89,,,,,,,,,
,,2011 - 2012,"3,666.00","3,895.00",1.06,,,,,,,,,
,,2012 - 2013,"3,769.00","3,387.00",0.9,,,,,,,,,
,,2013 - 2014,"3,317.00","2,643.00",0.8,,,,,,,,,
,,2014 - 2015,"2,945.00","1,676.00",0.57,,,,,,,,,
,,2015 - 2016,"2,862.00","2,353.00",0.82,,,,,,,,,
,,2016 - 2017,"3,452.00","3,123.00",0.9,,,,,,,,,
,,2017 - 2018,"3,351.00","3,929.00",1.17,,,,,,,,,
,,2018 - 2019,"3,443.00","4,210.00",1.22,,,,,,,,,
,,2019 - 2020,"3,556.00","3,895.00",1.1,,,,,,,,,
,,2020 - 2021,"4,075.00","4,271.00",1.05,,,,,,,,,
,,2021 - 2022,"3,857.00","3,845.00",1,,,,,,,,,
,,2022 - 2023,"3,857.00","4,239.00",1.1,,,,,,,,,
,61. Rae bareli,2000 - 2001,"8,871.00","8,975.00",1.01,,,,,,,,,
,,2001 - 2002,"7,220.00","7,448.00",1.03,,,,,,,,,
,,2002 - 2003,"6,806.00","5,733.00",0.84,,,,,,,,,
,,2003 - 2004,"6,690.00","5,717.00",0.85,,,,,,,,,
,,2004 - 2005,"6,684.00","6,959.00",1.04,,,,,,,,,
,,2005 - 2006,"6,988.00","8,617.00",1.23,,,,,,,,,
,,2006 - 2007,"6,834.00","5,561.00",0.81,,,,,,,,,
,,2007 - 2008,"12,479.00","12,243.00",0.98,,,,,,,,,
,,2008 - 2009,"6,972.00","8,035.00",1.15,,,,,,,,,
,,2009 - 2010,"6,455.00","6,079.00",0.94,,,,,,,,,
,,2010 - 2011,"3,318.00","2,056.00",0.62,,,,,,,,,
,,2011 - 2012,"5,520.00","6,339.00",1.15,,,,,,,,,
,,2012 - 2013,"4,631.00","5,533.00",1.19,,,,,,,,,
,,2013 - 2014,"6,002.00","2,947.00",0.49,,,,,,,,,
,,2014 - 2015,"4,705.00",972,0.21,,,,,,,,,
,,2015 - 2016,"5,003.00",255,0.05,,,,,,,,,
,,2016 - 2017,"7,862.00","6,964.00",0.89,,,,,,,,,
,,2017 - 2018,"5,417.00","4,999.00",0.92,,,,,,,,,
,,2018 - 2019,"5,400.00","4,867.00",0.9,,,,,,,,,
,,2019 - 2020,"5,699.00","4,360.00",0.77,,,,,,,,,
,,2020 - 2021,"5,730.00","3,924.00",0.68,,,,,,,,,
,,2021 - 2022,"6,324.00","4,250.00",0.67,,,,,,,,,
,,2022 - 2023,"6,055.00","5,431.00",0.9,,,,,,,,,
,62. Rampur,2000 - 2001,88,75,0.85,,,,,,,,,
,,2001 - 2002,96,96,1,,,,,,,,,
,,2002 - 2003,48,44,0.92,,,,,,,,,
,,2003 - 2004,50,53,1.06,,,,,,,,,
,,2004 - 2005,50,46,0.92,,,,,,,,,
,,2005 - 2006,54,48,0.89,,,,,,,,,
,,2006 - 2007,6,4,0.67,,,,,,,,,
,,2007 - 2008,78,59,0.76,,,,,,,,,
,,2008 - 2009,9,9,1,,,,,,,,,
,,2011 - 2012,13,15,1.15,,,,,,,,,
,,2017 - 2018,19,23,1.21,,,,,,,,,
,,2020 - 2021,30,36,1.2,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,33,45,1.36,,,,,,,,,
,63. Saharanpur,2000 - 2001,53,45,0.85,,,,,,,,,
,,2001 - 2002,61,61,1,,,,,,,,,
,,2002 - 2003,68,62,0.91,,,,,,,,,
,,2003 - 2004,39,41,1.05,,,,,,,,,
,,2004 - 2005,39,36,0.92,,,,,,,,,
,,2005 - 2006,33,29,0.88,,,,,,,,,
,,2006 - 2007,50,37,0.74,,,,,,,,,
,,2007 - 2008,91,68,0.75,,,,,,,,,
,,2008 - 2009,37,36,0.97,,,,,,,,,
,,2009 - 2010,20,17,0.85,,,,,,,,,
,,2010 - 2011,18,18,1,,,,,,,,,
,,2011 - 2012,13,15,1.15,,,,,,,,,
,,2012 - 2013,18,20,1.11,,,,,,,,,
,,2013 - 2014,10,4,0.4,,,,,,,,,
,,2014 - 2015,14,4,0.29,,,,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,,,,
,,2016 - 2017,27,29,1.07,,,,,,,,,
,,2017 - 2018,10,10,1,,,,,,,,,
,,2018 - 2019,4,5,1.25,,,,,,,,,
,,2019 - 2020,6,8,1.33,,,,,,,,,
,,2020 - 2021,3,4,1.33,,,,,,,,,
,,2021 - 2022,13,17,1.31,,,,,,,,,
,,2022 - 2023,12,16,1.33,,,,,,,,,
,64. Sambhal,2012 - 2013,9,10,1.11,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2014 - 2015,5,1,0.2,,,,,,,,,
,,2019 - 2020,3,4,1.33,,,,,,,,,
,,2020 - 2021,4,5,1.25,,,,,,,,,
,,2021 - 2022,4,5,1.25,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,65. Sant kabeer nagar,2000 - 2001,"1,083.00","1,261.00",1.16,,,,,,,,,
,,2001 - 2002,956,812,0.85,,,,,,,,,
,,2002 - 2003,769,430,0.56,,,,,,,,,
,,2003 - 2004,683,119,0.17,,,,,,,,,
,,2004 - 2005,655,598,0.91,,,,,,,,,
,,2005 - 2006,255,228,0.89,,,,,,,,,
,,2006 - 2007,656,478,0.73,,,,,,,,,
,,2007 - 2008,442,331,0.75,,,,,,,,,
,,2008 - 2009,365,360,0.99,,,,,,,,,
,,2009 - 2010,377,310,0.82,,,,,,,,,
,,2010 - 2011,494,440,0.89,,,,,,,,,
,,2011 - 2012,370,436,1.18,,,,,,,,,
,,2012 - 2013,305,338,1.11,,,,,,,,,
,,2013 - 2014,401,170,0.42,,,,,,,,,
,,2014 - 2015,402,121,0.3,,,,,,,,,
,,2015 - 2016,307,189,0.62,,,,,,,,,
,,2016 - 2017,425,469,1.1,,,,,,,,,
,,2017 - 2018,414,444,1.07,,,,,,,,,
,,2018 - 2019,477,596,1.25,,,,,,,,,
,,2019 - 2020,368,496,1.35,,,,,,,,,
,,2020 - 2021,488,597,1.22,,,,,,,,,
,,2021 - 2022,483,650,1.35,,,,,,,,,
,,2022 - 2023,432,583,1.35,,,,,,,,,
,66. Sant ravidas nagar,2000 - 2001,"1,831.00","1,287.00",0.7,,,,,,,,,
,,2001 - 2002,"1,306.00","1,206.00",0.92,,,,,,,,,
,,2002 - 2003,"1,201.00","1,244.00",1.04,,,,,,,,,
,,2003 - 2004,986,995,1.01,,,,,,,,,
,,2004 - 2005,967,790,0.82,,,,,,,,,
,,2005 - 2006,"2,141.00","1,550.00",0.72,,,,,,,,,
,,2006 - 2007,"1,646.00","1,724.00",1.05,,,,,,,,,
,,2007 - 2008,755,645,0.85,,,,,,,,,
,,2008 - 2009,838,693,0.83,,,,,,,,,
,,2009 - 2010,840,770,0.92,,,,,,,,,
,,2010 - 2011,639,616,0.96,,,,,,,,,
,,2011 - 2012,725,739,1.02,,,,,,,,,
,,2012 - 2013,793,863,1.09,,,,,,,,,
,,2013 - 2014,722,648,0.9,,,,,,,,,
,,2014 - 2015,806,723,0.9,,,,,,,,,
,,2015 - 2016,641,497,0.78,,,,,,,,,
,,2016 - 2017,693,750,1.08,,,,,,,,,
,,2017 - 2018,688,731,1.06,,,,,,,,,
,,2018 - 2019,765,845,1.1,,,,,,,,,
,,2019 - 2020,560,482,0.86,,,,,,,,,
,,2020 - 2021,686,841,1.23,,,,,,,,,
,,2021 - 2022,789,978,1.24,,,,,,,,,
,,2022 - 2023,760,"1,061.00",1.4,,,,,,,,,
,67. Shahjahanpur,2000 - 2001,556,476,0.86,,,,,,,,,
,,2001 - 2002,435,435,1,,,,,,,,,
,,2002 - 2003,674,614,0.91,,,,,,,,,
,,2003 - 2004,408,430,1.05,,,,,,,,,
,,2004 - 2005,324,299,0.92,,,,,,,,,
,,2005 - 2006,543,483,0.89,,,,,,,,,
,,2006 - 2007,324,236,0.73,,,,,,,,,
,,2007 - 2008,368,275,0.75,,,,,,,,,
,,2008 - 2009,"2,384.00","2,372.00",0.99,,,,,,,,,
,,2009 - 2010,173,142,0.82,,,,,,,,,
,,2010 - 2011,44,39,0.89,,,,,,,,,
,,2011 - 2012,32,38,1.19,,,,,,,,,
,,2012 - 2013,77,85,1.1,,,,,,,,,
,,2013 - 2014,95,41,0.43,,,,,,,,,
,,2014 - 2015,67,20,0.3,,,,,,,,,
,,2015 - 2016,128,77,0.6,,,,,,,,,
,,2016 - 2017,62,67,1.08,,,,,,,,,
,,2017 - 2018,189,198,1.05,,,,,,,,,
,,2018 - 2019,47,59,1.26,,,,,,,,,
,,2019 - 2020,60,81,1.35,,,,,,,,,
,,2020 - 2021,82,101,1.23,,,,,,,,,
,,2021 - 2022,109,147,1.35,,,,,,,,,
,,2022 - 2023,98,132,1.35,,,,,,,,,
,68. Shamli,2012 - 2013,4,5,1.25,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2016 - 2017,6,7,1.17,,,,,,,,,
,,2017 - 2018,122,128,1.05,,,,,,,,,
,,2018 - 2019,2,3,1.5,,,,,,,,,
,,2019 - 2020,3,4,1.33,,,,,,,,,
,,2020 - 2021,14,17,1.21,,,,,,,,,
,,2021 - 2022,6,8,1.33,,,,,,,,,
,,2022 - 2023,5,7,1.4,,,,,,,,,
,69. Shravasti,2000 - 2001,"1,950.00","1,124.00",0.58,,,,,,,,,
,,2001 - 2002,380,247,0.65,,,,,,,,,
,,2002 - 2003,142,73,0.51,,,,,,,,,
,,2003 - 2004,148,101,0.68,,,,,,,,,
,,2004 - 2005,147,136,0.93,,,,,,,,,
,,2005 - 2006,7,7,1,,,,,,,,,
,,2006 - 2007,139,105,0.76,,,,,,,,,
,,2007 - 2008,262,196,0.75,,,,,,,,,
,,2008 - 2009,461,457,0.99,,,,,,,,,
,,2009 - 2010,403,333,0.83,,,,,,,,,
,,2010 - 2011,116,107,0.92,,,,,,,,,
,,2011 - 2012,139,164,1.18,,,,,,,,,
,,2012 - 2013,122,135,1.11,,,,,,,,,
,,2013 - 2014,39,17,0.44,,,,,,,,,
,,2014 - 2015,123,37,0.3,,,,,,,,,
,,2015 - 2016,168,165,0.98,,,,,,,,,
,,2016 - 2017,39,42,1.08,,,,,,,,,
,,2017 - 2018,36,38,1.06,,,,,,,,,
,,2018 - 2019,100,125,1.25,,,,,,,,,
,,2019 - 2020,126,170,1.35,,,,,,,,,
,,2020 - 2021,47,57,1.21,,,,,,,,,
,,2021 - 2022,36,48,1.33,,,,,,,,,
,,2022 - 2023,36,49,1.36,,,,,,,,,
