State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2003 - 2004,"13,709.00","13,61,60,080.00","9,932.17",,,
,,2004 - 2005,"13,744.00","9,96,16,798.00","7,248.02",,,
,,2005 - 2006,"13,749.00","10,80,20,616.00","7,856.62",,,
,,2006 - 2007,"14,228.00","12,47,88,642.00","8,770.64",,,
,,2008 - 2009,"14,615.00","11,08,93,120.00","7,587.62",,,
,,2009 - 2010,"14,619.00","14,26,45,888.00","9,757.57",,,
,,2010 - 2011,"14,619.00","14,75,32,000.00","10,091.80",,,
,,2011 - 2012,"14,636.00","16,96,96,800.00","11,594.48",,,
,,2012 - 2013,"14,421.00","30,69,51,000.00","21,285.00",,,
,,2013 - 2014,"13,812.00","24,98,59,000.00","18,089.99",,,
,,2014 - 2015,"13,811.00","16,78,00,000.00","12,149.74",,,
,,2015 - 2016,"14,753.00","17,51,00,000.00","11,868.77",,,
,,2016 - 2017,"14,777.00","20,39,00,000.00","13,798.47",,,
,,2017 - 2018,"14,508.00","9,87,00,000.00","6,803.14",,,
,,2018 - 2019,"14,706.00","20,97,00,000.00","14,259.49",,,
,,2019 - 2020,"14,735.00","10,81,99,000.00","7,342.99",,,
,,2020 - 2021,"15,066.00","10,86,41,000.00","7,211.00",,,
,,2021 - 2022,"15,010.00","7,71,51,000.00","5,139.97",,,
,,2022 - 2023,"14,976.00","14,72,74,000.00","9,834.00",,,
,23. Tirupati,2022 - 2023,172,"31,51,000.00","18,319.77",,,
,24. Visakhapatanam,2000 - 2001,"7,229.00","6,00,16,968.00","8,302.25",,,
,,2001 - 2002,"7,232.00","5,61,50,010.00","7,764.11",,,
,,2002 - 2003,"7,230.00","3,09,87,756.00","4,286.00",,,
,,2003 - 2004,"7,045.00","4,59,65,248.00","6,524.52",,,
,,2004 - 2005,"6,928.00","5,69,71,676.00","8,223.39",,,
,,2005 - 2006,"6,979.00","6,21,96,030.00","8,911.88",,,
,,2006 - 2007,"6,924.00","8,01,39,794.00","11,574.20",,,
,,2008 - 2009,"7,528.00","8,12,64,760.00","10,795.00",,,
,,2009 - 2010,"7,377.00","8,29,32,234.00","11,242.00",,,
,,2010 - 2011,"7,763.00","6,92,87,000.00","8,925.29",,,
,,2011 - 2012,"7,054.00","7,22,95,470.00","10,248.86",,,
,,2012 - 2013,"6,116.00","9,98,38,000.00","16,324.07",,,
,,2013 - 2014,"5,999.00","7,67,21,000.00","12,788.96",,,
,,2014 - 2015,"7,416.00","13,05,00,000.00","17,597.09",,,
,,2015 - 2016,"7,300.00","10,22,00,000.00","14,000.00",,,
,,2016 - 2017,"7,548.00","10,42,00,000.00","13,804.98",,,
,,2017 - 2018,"7,226.00","11,32,00,000.00","15,665.65",,,
,,2018 - 2019,"7,359.00","10,60,00,000.00","14,404.13",,,
,,2019 - 2020,"7,420.00","9,86,12,000.00","13,290.03",,,
,,2020 - 2021,"7,658.00","10,49,30,000.00","13,702.01",,,
,,2021 - 2022,"7,936.00","10,49,54,000.00","13,225.05",,,
,,2022 - 2023,478,"87,57,000.00","18,320.08",,,
,25. Vizianagaram,2000 - 2001,"2,962.00","3,17,04,750.00","10,703.83",,,
,,2001 - 2002,"3,102.00","3,42,98,640.00","11,056.94",,,
,,2002 - 2003,"3,169.00","3,56,63,076.00","11,253.73",,,
,,2003 - 2004,"3,153.00","3,72,85,560.00","11,825.42",,,
,,2004 - 2005,"3,084.00","3,62,43,114.00","11,751.98",,,
,,2005 - 2006,"3,048.00","2,65,96,248.00","8,725.80",,,
,,2006 - 2007,"3,048.00","3,92,42,347.00","12,874.79",,,
,,2008 - 2009,"2,992.00","2,73,23,308.00","9,132.12",,,
,,2009 - 2010,"3,154.00","3,56,09,532.00","11,290.28",,,
,,2010 - 2011,"1,909.00","2,26,43,000.00","11,861.18",,,
,,2011 - 2012,"2,689.00","3,76,57,088.00","14,004.12",,,
,,2012 - 2013,"2,549.00","4,35,52,000.00","17,085.92",,,
,,2013 - 2014,"2,630.00","4,35,92,000.00","16,574.90",,,
,,2014 - 2015,"2,534.00","2,79,00,000.00","11,010.26",,,
,,2015 - 2016,"2,793.00","2,79,30,000.00","10,000.00",,,
,,2016 - 2017,"2,870.00","3,96,00,000.00","13,797.91",,,
,,2017 - 2018,"2,913.00","3,50,00,000.00","12,015.10",,,
,,2018 - 2019,"2,913.00","4,10,00,000.00","14,074.84",,,
,,2019 - 2020,"2,859.00","4,00,26,000.00","14,000.00",,,
,,2020 - 2021,"3,141.00","4,41,47,000.00","14,055.08",,,
,,2021 - 2022,"3,079.00","5,27,00,000.00","17,115.95",,,
,,2022 - 2023,"3,250.00","5,88,12,000.00","18,096.00",,,
,26. West godavari,2000 - 2001,"21,657.00","25,06,28,448.00","11,572.63",,,
,,2001 - 2002,"22,287.00","20,80,41,750.00","9,334.67",,,
,,2002 - 2003,"22,093.00","22,41,01,800.00","10,143.57",,,
,,2003 - 2004,"21,985.00","22,60,58,352.00","10,282.39",,,
,,2004 - 2005,"21,868.00","24,95,96,424.00","11,413.77",,,
,,2005 - 2006,"22,564.00","27,61,83,360.00","12,240.00",,,
,,2006 - 2007,"22,664.00","38,38,06,080.00","16,934.61",,,
,,2008 - 2009,"22,435.00","17,71,86,204.00","7,897.76",,,
,,2009 - 2010,"20,504.00","28,94,43,441.00","14,116.44",,,
,,2010 - 2011,"20,437.00","29,27,04,000.00","14,322.26",,,
,,2011 - 2012,"20,551.00","34,34,23,125.00","16,710.77",,,
,,2012 - 2013,"20,196.00","40,52,13,000.00","20,064.02",,,
,,2013 - 2014,"21,355.00","44,89,04,000.00","21,021.03",,,
,,2014 - 2015,"21,729.00","32,03,00,000.00","14,740.67",,,
,,2015 - 2016,"21,818.00","29,62,00,000.00","13,575.95",,,
,,2016 - 2017,"21,258.00","29,34,00,000.00","13,801.86",,,
,,2017 - 2018,"22,947.00","32,63,00,000.00","14,219.72",,,
,,2018 - 2019,"23,546.00","34,77,00,000.00","14,766.84",,,
,,2019 - 2020,"23,316.00","69,41,64,000.00","29,772.00",,,
,,2020 - 2021,"24,423.00","59,54,33,000.00","24,380.01",,,
,,2021 - 2022,"26,639.00","74,30,15,000.00","27,892.00",,,
,,2022 - 2023,"7,585.00","25,87,93,000.00","34,119.05",,,
3. Assam,1. Baksa,2006 - 2007,"1,456.00","1,11,13,000.00","7,632.55",,,
,,2007 - 2008,"1,288.00","1,00,01,000.00","7,764.75",,,
,,2008 - 2009,"1,323.00","1,24,08,000.00","9,378.68",,,
,,2009 - 2010,"1,050.00","96,34,000.00","9,175.24",,,
,,2010 - 2011,530,"43,15,000.00","8,141.51",,,
,,2011 - 2012,"1,100.00","51,83,000.00","4,711.82",,,
,,2012 - 2013,550,"33,94,000.00","6,170.91",,,
,,2013 - 2014,"1,150.00","79,84,000.00","6,942.61",,,
,,2014 - 2015,560,"37,92,000.00","6,771.43",,,
,,2015 - 2016,"1,130.00","84,32,000.00","7,461.95",,,
,,2016 - 2017,561,"39,87,000.00","7,106.95",,,
,,2017 - 2018,561,"39,77,000.00","7,089.13",,,
,,2018 - 2019,980,"70,73,000.00","7,217.35",,,
,,2019 - 2020,950,"67,40,000.00","7,094.74",,,
,,2020 - 2021,943,"66,85,000.00","7,089.08",,,
,,2021 - 2022,943,"66,85,000.00","7,089.08",,,
,,2022 - 2023,"1,030.00","73,02,000.00","7,089.32",,,
,2. Barpeta,2000 - 2001,"1,125.00","86,27,000.00","7,668.44",,,
,,2001 - 2002,"1,130.00","82,18,000.00","7,272.57",,,
,,2002 - 2003,957,"49,97,000.00","5,221.53",,,
,,2003 - 2004,951,"60,10,000.00","6,319.66",,,
,,2005 - 2006,982,"42,64,000.00","4,342.16",,,
,,2006 - 2007,609,"43,50,000.00","7,142.86",,,
,,2007 - 2008,"1,554.00","1,20,58,000.00","7,759.33",,,
,,2008 - 2009,"1,154.00","1,09,49,000.00","9,487.87",,,
,,2009 - 2010,"1,924.00","1,69,93,000.00","8,832.12",,,
,,2010 - 2011,"1,951.00","1,56,83,000.00","8,038.44",,,
,,2011 - 2012,"1,941.00","3,14,88,000.00","16,222.57",,,
,,2012 - 2013,"1,945.00","84,09,000.00","4,323.39",,,
,,2013 - 2014,"1,930.00","2,49,96,000.00","12,951.30",,,
,,2014 - 2015,"1,694.00","1,61,49,000.00","9,533.06",,,
,,2015 - 2016,"1,691.00","1,76,71,000.00","10,450.03",,,
,,2016 - 2017,"1,622.00","2,27,97,000.00","14,054.87",,,
,,2017 - 2018,"1,622.00","2,98,02,000.00","18,373.61",,,
,,2018 - 2019,"1,631.00","2,45,52,000.00","15,053.34",,,
,,2019 - 2020,"1,636.00","2,62,07,000.00","16,018.95",,,
,,2020 - 2021,"1,640.00","2,28,29,000.00","13,920.12",,,
,,2021 - 2022,"1,640.00","2,28,29,000.00","13,920.12",,,
,,2022 - 2023,"1,634.00","2,15,25,000.00","13,173.19",,,
,3. Biswanath,2019 - 2020,498,"56,06,000.00","11,257.03",,,
,,2020 - 2021,550,"46,15,000.00","8,390.91",,,
,,2021 - 2022,550,"46,15,000.00","8,390.91",,,
,,2022 - 2023,960,"92,40,000.00","9,625.00",,,
,4. Bongaigaon,2000 - 2001,598,"34,29,000.00","5,734.11",,,
,,2001 - 2002,633,"50,06,000.00","7,908.37",,,
,,2002 - 2003,661,"55,34,000.00","8,372.16",,,
,,2003 - 2004,718,"59,25,000.00","8,252.09",,,
,,2005 - 2006,694,"47,83,000.00","6,891.93",,,
