State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,151,108,0.72,,,
,,2019 - 2020,,,,157,113,0.72,,,
,,2020 - 2021,,,,156,112,0.72,,,
,,2021 - 2022,,,,154,111,0.72,,,
,,2022 - 2023,,,,132,95,0.72,,,
,2. Aligarh,2004 - 2005,,,,,,,162,137,0.85
,,2005 - 2006,,,,,,,104,84,0.81
,,2006 - 2007,,,,,,,145,122,0.84
,,2007 - 2008,,,,144,121,0.84,,,
,,2008 - 2009,,,,94,79,0.84,,,
,,2009 - 2010,,,,130,109,0.84,,,
,,2010 - 2011,,,,123,102,0.83,,,
,,2011 - 2012,,,,57,47,0.82,,,
,,2012 - 2013,,,,110,90,0.82,,,
,,2013 - 2014,,,,365,301,0.82,,,
,,2014 - 2015,,,,27,22,0.81,,,
,,2015 - 2016,,,,115,95,0.83,,,
,,2016 - 2017,,,,135,96,0.71,,,
,,2017 - 2018,,,,150,108,0.72,,,
,,2018 - 2019,,,,158,113,0.72,,,
,,2019 - 2020,,,,117,84,0.72,,,
,,2020 - 2021,,,,135,97,0.72,,,
,,2021 - 2022,,,,139,100,0.72,,,
,,2022 - 2023,,,,140,101,0.72,,,
,3. Allahabad,2004 - 2005,,,,,,,23,19,0.83
,,2005 - 2006,,,,,,,36,29,0.81
,,2006 - 2007,,,,,,,35,29,0.83
,,2007 - 2008,,,,22,18,0.82,,,
,,2008 - 2009,,,,26,22,0.85,,,
,,2009 - 2010,,,,48,40,0.83,,,
,,2010 - 2011,,,,33,28,0.85,,,
,,2011 - 2012,,,,8,7,0.88,,,
,,2012 - 2013,,,,27,22,0.81,,,
,,2013 - 2014,,,,90,74,0.82,,,
,,2014 - 2015,,,,2,2,1,,,
,,2015 - 2016,,,,16,13,0.81,,,
,,2016 - 2017,,,,29,21,0.72,,,
,,2017 - 2018,,,,33,24,0.73,,,
,,2018 - 2019,,,,30,22,0.73,,,
,,2019 - 2020,,,,22,16,0.73,,,
,,2020 - 2021,,,,26,19,0.73,,,
,,2021 - 2022,,,,24,17,0.71,,,
,,2022 - 2023,,,,27,19,0.7,,,
,4. Ambedkar nagar,2004 - 2005,,,,,,,7,6,0.86
,,2006 - 2007,,,,,,,4,3,0.75
,,2007 - 2008,,,,1,1,1,,,
,,2008 - 2009,,,,55,46,0.84,,,
,,2009 - 2010,,,,11,9,0.82,,,
,,2010 - 2011,,,,12,10,0.83,,,
,,2011 - 2012,,,,16,13,0.81,,,
,,2012 - 2013,,,,19,15,0.79,,,
,,2013 - 2014,,,,23,19,0.83,,,
,,2014 - 2015,,,,16,13,0.81,,,
,,2016 - 2017,,,,15,11,0.73,,,
,,2017 - 2018,,,,15,11,0.73,,,
,,2019 - 2020,,,,9,6,0.67,,,
,,2020 - 2021,,,,8,6,0.75,,,
,,2021 - 2022,,,,9,6,0.67,,,
,,2022 - 2023,,,,8,6,0.75,,,
,5. Amethi,2012 - 2013,,,,1,1,1,,,
,,2014 - 2015,,,,14,12,0.86,,,
,,2016 - 2017,,,,3,2,0.67,,,
,,2017 - 2018,,,,4,3,0.75,,,
,,2019 - 2020,,,,27,19,0.7,,,
,,2020 - 2021,,,,7,5,0.71,,,
,,2021 - 2022,,,,8,6,0.75,,,
,,2022 - 2023,,,,9,6,0.67,,,
,6. Amroha,2013 - 2014,,,,3,3,1,,,
,,2015 - 2016,,,,4,3,0.75,,,
,,2016 - 2017,,,,1,1,1,,,
,,2017 - 2018,,,,2,1,0.5,,,
,7. Auraiya,2004 - 2005,,,,,,,7,6,0.86
,,2005 - 2006,,,,,,,9,7,0.78
,,2006 - 2007,,,,,,,34,29,0.85
,,2007 - 2008,,,,15,13,0.87,,,
,,2008 - 2009,,,,151,127,0.84,,,
,,2009 - 2010,,,,43,36,0.84,,,
,,2010 - 2011,,,,50,42,0.84,,,
,,2011 - 2012,,,,59,48,0.81,,,
,,2012 - 2013,,,,64,52,0.81,,,
,,2013 - 2014,,,,20,16,0.8,,,
,,2014 - 2015,,,,47,39,0.83,,,
,,2015 - 2016,,,,48,39,0.81,,,
,,2016 - 2017,,,,48,35,0.73,,,
,,2017 - 2018,,,,45,32,0.71,,,
,,2020 - 2021,,,,28,20,0.71,,,
,,2021 - 2022,,,,24,17,0.71,,,
,,2022 - 2023,,,,19,14,0.74,,,
,8. Azamgarh,2004 - 2005,,,,,,,35,30,0.86
,,2005 - 2006,,,,,,,13,10,0.77
,,2006 - 2007,,,,,,,24,20,0.83
,,2007 - 2008,,,,8,7,0.88,,,
,,2008 - 2009,,,,25,21,0.84,,,
,,2009 - 2010,,,,44,37,0.84,,,
,,2010 - 2011,,,,29,24,0.83,,,
,,2011 - 2012,,,,30,24,0.8,,,
,,2012 - 2013,,,,47,38,0.81,,,
,,2013 - 2014,,,,24,20,0.83,,,
,,2014 - 2015,,,,35,29,0.83,,,
,,2015 - 2016,,,,18,15,0.83,,,
,,2016 - 2017,,,,31,22,0.71,,,
,,2017 - 2018,,,,31,22,0.71,,,
,,2018 - 2019,,,,26,19,0.73,,,
,,2019 - 2020,,,,29,21,0.72,,,
,,2020 - 2021,,,,27,19,0.7,,,
,,2021 - 2022,,,,29,21,0.72,,,
,,2022 - 2023,,,,25,18,0.72,,,
,9. Bahraich,2004 - 2005,,,,,,,41,35,0.85
,,2005 - 2006,,,,,,,36,29,0.81
,,2006 - 2007,,,,,,,30,25,0.83
,,2007 - 2008,,,,29,24,0.83,,,
,,2008 - 2009,,,,38,32,0.84,,,
,,2009 - 2010,,,,32,27,0.84,,,
,,2010 - 2011,,,,33,27,0.82,,,
,,2011 - 2012,,,,32,26,0.81,,,
,,2012 - 2013,,,,33,27,0.82,,,
,,2013 - 2014,,,,34,28,0.82,,,
,,2014 - 2015,,,,33,27,0.82,,,
,,2015 - 2016,,,,136,112,0.82,,,
,,2016 - 2017,,,,42,30,0.71,,,
,,2017 - 2018,,,,56,40,0.71,,,
,,2018 - 2019,,,,108,77,0.71,,,
,,2019 - 2020,,,,77,55,0.71,,,
,,2020 - 2021,,,,45,32,0.71,,,
,,2021 - 2022,,,,66,47,0.71,,,
,,2022 - 2023,,,,70,50,0.71,,,
,10. Ballia,2004 - 2005,,,,,,,13,11,0.85
,,2006 - 2007,,,,,,,59,50,0.85
,,2007 - 2008,,,,18,15,0.83,,,
,,2008 - 2009,,,,18,15,0.83,,,
,,2009 - 2010,,,,22,18,0.82,,,
,,2010 - 2011,,,,23,19,0.83,,,
,,2011 - 2012,,,,28,23,0.82,,,
,,2012 - 2013,,,,22,18,0.82,,,
,,2013 - 2014,,,,23,18,0.78,,,
,,2014 - 2015,,,,24,19,0.79,,,
,,2016 - 2017,,,,19,14,0.74,,,
,,2017 - 2018,,,,18,13,0.72,,,
,,2018 - 2019,,,,84,60,0.71,,,
,,2019 - 2020,,,,29,21,0.72,,,
,,2020 - 2021,,,,30,22,0.73,,,
,,2021 - 2022,,,,36,26,0.72,,,
,,2022 - 2023,,,,21,15,0.71,,,
,11. Balrampur,2005 - 2006,,,,,,,12,10,0.83
,,2006 - 2007,,,,,,,36,30,0.83
,,2007 - 2008,,,,22,19,0.86,,,
,,2008 - 2009,,,,20,17,0.85,,,
,,2009 - 2010,,,,33,27,0.82,,,
,,2010 - 2011,,,,25,21,0.84,,,
,,2011 - 2012,,,,27,22,0.81,,,
,,2012 - 2013,,,,25,20,0.8,,,
,,2013 - 2014,,,,26,21,0.81,,,
,,2014 - 2015,,,,27,22,0.81,,,
,,2016 - 2017,,,,21,15,0.71,,,
,,2017 - 2018,,,,20,14,0.7,,,
,,2018 - 2019,,,,29,21,0.72,,,
,,2019 - 2020,,,,19,14,0.74,,,
,,2020 - 2021,,,,18,13,0.72,,,
,,2021 - 2022,,,,21,15,0.71,,,
,,2022 - 2023,,,,21,15,0.71,,,
,12. Banda,2004 - 2005,,,,,,,28,24,0.86
,,2005 - 2006,,,,,,,27,22,0.81
,,2006 - 2007,,,,,,,14,12,0.86
,,2007 - 2008,,,,26,22,0.85,,,
,,2008 - 2009,,,,25,21,0.84,,,
,,2009 - 2010,,,,24,20,0.83,,,
,,2010 - 2011,,,,22,18,0.82,,,
,,2011 - 2012,,,,20,16,0.8,,,
,,2012 - 2013,,,,62,51,0.82,,,
,,2013 - 2014,,,,31,26,0.84,,,
,,2014 - 2015,,,,32,26,0.81,,,
,,2016 - 2017,,,,29,21,0.72,,,
,,2017 - 2018,,,,31,22,0.71,,,
,,2018 - 2019,,,,47,34,0.72,,,
,,2019 - 2020,,,,28,20,0.71,,,
,,2020 - 2021,,,,27,19,0.7,,,
,,2021 - 2022,,,,32,23,0.72,,,
,,2022 - 2023,,,,33,24,0.73,,,
,13. Barabanki,2005 - 2006,,,,,,,20,16,0.8
,,2007 - 2008,,,,53,44,0.83,,,
,,2008 - 2009,,,,20,17,0.85,,,
,,2009 - 2010,,,,19,16,0.84,,,
,,2010 - 2011,,,,22,18,0.82,,,
,,2011 - 2012,,,,23,19,0.83,,,
,,2012 - 2013,,,,27,22,0.81,,,
,,2013 - 2014,,,,22,18,0.82,,,
,,2014 - 2015,,,,4,3,0.75,,,
,,2015 - 2016,,,,8,6,0.75,,,
,,2016 - 2017,,,,17,12,0.71,,,
,,2017 - 2018,,,,16,11,0.69,,,
,,2019 - 2020,,,,15,11,0.73,,,
,,2020 - 2021,,,,11,8,0.73,,,
,,2021 - 2022,,,,12,9,0.75,,,
,,2022 - 2023,,,,11,8,0.73,,,
,14. Bareilly,2004 - 2005,,,,,,,26,22,0.85
,,2005 - 2006,,,,,,,4,3,0.75
,,2006 - 2007,,,,,,,28,24,0.86
,,2007 - 2008,,,,4,3,0.75,,,
,,2008 - 2009,,,,13,11,0.85,,,
,,2009 - 2010,,,,15,13,0.87,,,
,,2010 - 2011,,,,13,11,0.85,,,
,,2011 - 2012,,,,14,11,0.79,,,
,,2013 - 2014,,,,11,9,0.82,,,
,,2014 - 2015,,,,102,83,0.81,,,
,,2016 - 2017,,,,25,18,0.72,,,
,,2017 - 2018,,,,28,20,0.71,,,
,,2019 - 2020,,,,31,22,0.71,,,
,,2020 - 2021,,,,17,12,0.71,,,
,,2021 - 2022,,,,20,14,0.7,,,
,,2022 - 2023,,,,19,13,0.68,,,
,15. Basti,2004 - 2005,,,,,,,19,16,0.84
,,2005 - 2006,,,,,,,22,18,0.82
,,2006 - 2007,,,,,,,64,54,0.84
,,2007 - 2008,,,,35,30,0.86,,,
,,2008 - 2009,,,,33,28,0.85,,,
,,2009 - 2010,,,,35,29,0.83,,,
,,2010 - 2011,,,,21,18,0.86,,,
,,2011 - 2012,,,,42,34,0.81,,,
,,2012 - 2013,,,,34,28,0.82,,,
,,2014 - 2015,,,,26,21,0.81,,,
,,2015 - 2016,,,,25,21,0.84,,,
,,2016 - 2017,,,,25,18,0.72,,,
,,2017 - 2018,,,,22,16,0.73,,,
,,2018 - 2019,,,,26,19,0.73,,,
,,2019 - 2020,,,,25,18,0.72,,,
,,2020 - 2021,,,,25,18,0.72,,,
,,2021 - 2022,,,,25,18,0.72,,,
,,2022 - 2023,,,,25,18,0.72,,,
,16. Bijnor,2004 - 2005,,,,,,,12,10,0.83
,,2005 - 2006,,,,,,,3,2,0.67
,,2006 - 2007,,,,,,,42,35,0.83
,,2007 - 2008,,,,62,52,0.84,,,
,,2008 - 2009,,,,22,19,0.86,,,
,,2009 - 2010,,,,47,39,0.83,,,
,,2010 - 2011,,,,35,29,0.83,,,
,,2011 - 2012,,,,43,35,0.81,,,
,,2012 - 2013,,,,19,16,0.84,,,
,,2013 - 2014,,,,33,27,0.82,,,
,,2014 - 2015,,,,22,18,0.82,,,
,,2015 - 2016,,,,30,25,0.83,,,
,,2016 - 2017,,,,29,21,0.72,,,
,,2017 - 2018,,,,27,19,0.7,,,
,,2019 - 2020,,,,22,16,0.73,,,
,,2020 - 2021,,,,22,16,0.73,,,
,,2021 - 2022,,,,20,14,0.7,,,
,,2022 - 2023,,,,18,13,0.72,,,
,17. Budaun,2004 - 2005,,,,,,,7,6,0.86
,,2005 - 2006,,,,,,,19,16,0.84
,,2006 - 2007,,,,,,,22,18,0.82
,,2007 - 2008,,,,11,9,0.82,,,
,,2008 - 2009,,,,16,13,0.81,,,
,,2009 - 2010,,,,15,12,0.8,,,
,,2010 - 2011,,,,24,20,0.83,,,
,,2011 - 2012,,,,18,15,0.83,,,
,,2012 - 2013,,,,10,8,0.8,,,
,,2013 - 2014,,,,40,33,0.83,,,
,,2015 - 2016,,,,6,5,0.83,,,
,,2016 - 2017,,,,15,11,0.73,,,
,,2017 - 2018,,,,14,10,0.71,,,
,,2019 - 2020,,,,7,5,0.71,,,
,,2020 - 2021,,,,8,6,0.75,,,
,,2021 - 2022,,,,9,6,0.67,,,
,,2022 - 2023,,,,8,6,0.75,,,
,18. Bulandshahr,2004 - 2005,,,,,,,110,93,0.85
,,2005 - 2006,,,,,,,99,80,0.81
,,2006 - 2007,,,,,,,87,73,0.84
,,2007 - 2008,,,,91,76,0.84,,,
,,2008 - 2009,,,,81,68,0.84,,,
,,2009 - 2010,,,,94,78,0.83,,,
,,2010 - 2011,,,,90,75,0.83,,,
,,2011 - 2012,,,,89,73,0.82,,,
,,2012 - 2013,,,,89,73,0.82,,,
,,2013 - 2014,,,,10,8,0.8,,,
,,2014 - 2015,,,,7,6,0.86,,,
,,2016 - 2017,,,,39,27,0.69,,,
,,2017 - 2018,,,,29,21,0.72,,,
,,2018 - 2019,,,,2,1,0.5,,,
,,2019 - 2020,,,,15,11,0.73,,,
,,2020 - 2021,,,,17,12,0.71,,,
,,2021 - 2022,,,,20,14,0.7,,,
,,2022 - 2023,,,,17,12,0.71,,,
,19. Chandauli,2004 - 2005,,,,,,,32,27,0.84
,,2005 - 2006,,,,,,,25,20,0.8
,,2006 - 2007,,,,,,,15,13,0.87
,,2007 - 2008,,,,17,14,0.82,,,
,,2008 - 2009,,,,18,15,0.83,,,
,,2009 - 2010,,,,10,8,0.8,,,
,,2010 - 2011,,,,19,16,0.84,,,
,,2011 - 2012,,,,11,9,0.82,,,
,,2012 - 2013,,,,16,13,0.81,,,
,,2013 - 2014,,,,16,13,0.81,,,
,,2014 - 2015,,,,16,13,0.81,,,
,,2015 - 2016,,,,6,5,0.83,,,
,,2016 - 2017,,,,13,9,0.69,,,
,,2017 - 2018,,,,13,9,0.69,,,
,,2019 - 2020,,,,10,7,0.7,,,
,,2020 - 2021,,,,8,6,0.75,,,
,,2021 - 2022,,,,9,6,0.67,,,
,,2022 - 2023,,,,8,6,0.75,,,
,20. Chitrakoot,2004 - 2005,,,,,,,27,23,0.85
,,2005 - 2006,,,,,,,32,26,0.81
,,2006 - 2007,,,,,,,32,27,0.84
,,2007 - 2008,,,,61,51,0.84,,,
,,2008 - 2009,,,,30,25,0.83,,,
,,2009 - 2010,,,,36,30,0.83,,,
,,2010 - 2011,,,,20,17,0.85,,,
,,2011 - 2012,,,,36,30,0.83,,,
,,2012 - 2013,,,,37,30,0.81,,,
,,2013 - 2014,,,,32,27,0.84,,,
,,2014 - 2015,,,,7,6,0.86,,,
,,2015 - 2016,,,,50,41,0.82,,,
,,2016 - 2017,,,,32,23,0.72,,,
,,2017 - 2018,,,,32,23,0.72,,,
,,2018 - 2019,,,,144,103,0.72,,,
,,2019 - 2020,,,,53,38,0.72,,,
,,2020 - 2021,,,,62,44,0.71,,,
,,2021 - 2022,,,,28,20,0.71,,,
,,2022 - 2023,,,,64,46,0.72,,,
,21. Deoria,2004 - 2005,,,,,,,2,2,1
,,2006 - 2007,,,,,,,6,5,0.83
,,2007 - 2008,,,,2,2,1,,,
,,2008 - 2009,,,,3,3,1,,,
,,2009 - 2010,,,,5,4,0.8,,,
,,2010 - 2011,,,,3,3,1,,,
,,2011 - 2012,,,,10,8,0.8,,,
,,2012 - 2013,,,,5,4,0.8,,,
,,2014 - 2015,,,,10,8,0.8,,,
,,2016 - 2017,,,,5,4,0.8,,,
,,2017 - 2018,,,,5,4,0.8,,,
,,2018 - 2019,,,,4,3,0.75,,,
,,2019 - 2020,,,,8,6,0.75,,,
,,2020 - 2021,,,,4,3,0.75,,,
,,2021 - 2022,,,,5,4,0.8,,,
,,2022 - 2023,,,,5,3,0.6,,,
,22. Etah,2004 - 2005,,,,,,,35,29,0.83
,,2005 - 2006,,,,,,,102,83,0.81
,,2006 - 2007,,,,,,,97,81,0.84
,,2007 - 2008,,,,80,67,0.84,,,
,,2008 - 2009,,,,76,64,0.84,,,
,,2009 - 2010,,,,78,65,0.83,,,
,,2010 - 2011,,,,87,73,0.84,,,
,,2011 - 2012,,,,53,43,0.81,,,
,,2012 - 2013,,,,10,8,0.8,,,
,,2013 - 2014,,,,27,22,0.81,,,
,,2014 - 2015,,,,18,15,0.83,,,
,,2015 - 2016,,,,59,49,0.83,,,
,,2016 - 2017,,,,33,24,0.73,,,
,,2017 - 2018,,,,29,21,0.72,,,
,,2020 - 2021,,,,12,9,0.75,,,
,,2021 - 2022,,,,15,11,0.73,,,
,,2022 - 2023,,,,4,3,0.75,,,
,23. Etawah,2004 - 2005,,,,,,,14,12,0.86
,,2005 - 2006,,,,,,,8,7,0.88
,,2006 - 2007,,,,,,,9,8,0.89
,,2007 - 2008,,,,11,9,0.82,,,
,,2008 - 2009,,,,8,7,0.88,,,
,,2009 - 2010,,,,12,10,0.83,,,
,,2010 - 2011,,,,9,7,0.78,,,
,,2011 - 2012,,,,23,19,0.83,,,
,,2012 - 2013,,,,13,11,0.85,,,
,,2013 - 2014,,,,16,13,0.81,,,
,,2014 - 2015,,,,15,12,0.8,,,
,,2015 - 2016,,,,2,2,1,,,
,,2016 - 2017,,,,14,10,0.71,,,
,,2017 - 2018,,,,12,9,0.75,,,
,,2018 - 2019,,,,50,36,0.72,,,
,,2019 - 2020,,,,19,14,0.74,,,
,,2020 - 2021,,,,19,14,0.74,,,
,,2021 - 2022,,,,23,17,0.74,,,
,,2022 - 2023,,,,12,9,0.75,,,
,24. Faizabad,2004 - 2005,,,,,,,95,80,0.84
,,2005 - 2006,,,,,,,55,45,0.82
,,2006 - 2007,,,,,,,52,44,0.85
,,2007 - 2008,,,,16,13,0.81,,,
,,2008 - 2009,,,,13,11,0.85,,,
,,2009 - 2010,,,,46,38,0.83,,,
,,2010 - 2011,,,,36,30,0.83,,,
,,2011 - 2012,,,,89,73,0.82,,,
,,2012 - 2013,,,,40,33,0.83,,,
,,2013 - 2014,,,,45,37,0.82,,,
,,2014 - 2015,,,,51,42,0.82,,,
,,2015 - 2016,,,,8,7,0.88,,,
,,2016 - 2017,,,,47,34,0.72,,,
,,2017 - 2018,,,,38,27,0.71,,,
,,2018 - 2019,,,,18,13,0.72,,,
,,2019 - 2020,,,,32,23,0.72,,,
,,2020 - 2021,,,,29,21,0.72,,,
,,2021 - 2022,,,,33,24,0.73,,,
,,2022 - 2023,,,,30,22,0.73,,,
,25. Farrukhabad,2004 - 2005,,,,,,,20,17,0.85
,,2005 - 2006,,,,,,,20,16,0.8
,,2006 - 2007,,,,,,,25,21,0.84
,,2007 - 2008,,,,6,5,0.83,,,
,,2008 - 2009,,,,14,12,0.86,,,
,,2009 - 2010,,,,17,14,0.82,,,
,,2010 - 2011,,,,16,13,0.81,,,
,,2011 - 2012,,,,16,13,0.81,,,
,,2012 - 2013,,,,15,12,0.8,,,
,,2013 - 2014,,,,8,7,0.88,,,
,,2014 - 2015,,,,15,12,0.8,,,
,,2016 - 2017,,,,11,8,0.73,,,
,,2017 - 2018,,,,10,7,0.7,,,
,,2018 - 2019,,,,6,4,0.67,,,
,,2019 - 2020,,,,8,6,0.75,,,
,,2020 - 2021,,,,7,5,0.71,,,
,,2021 - 2022,,,,8,6,0.75,,,
,,2022 - 2023,,,,8,6,0.75,,,
,26. Fatehpur,2004 - 2005,,,,,,,14,12,0.86
,,2005 - 2006,,,,,,,2,2,1
,,2007 - 2008,,,,10,9,0.9,,,
,,2009 - 2010,,,,5,4,0.8,,,
,,2010 - 2011,,,,4,3,0.75,,,
,,2011 - 2012,,,,4,3,0.75,,,
,,2012 - 2013,,,,55,45,0.82,,,
,,2013 - 2014,,,,18,15,0.83,,,
,,2014 - 2015,,,,3,3,1,,,
,,2015 - 2016,,,,39,32,0.82,,,
,,2016 - 2017,,,,24,17,0.71,,,
,,2017 - 2018,,,,28,20,0.71,,,
,,2018 - 2019,,,,136,97,0.71,,,
,,2019 - 2020,,,,46,33,0.72,,,
,,2020 - 2021,,,,55,39,0.71,,,
,,2021 - 2022,,,,58,42,0.72,,,
,,2022 - 2023,,,,65,47,0.72,,,
,27. Firozabad,2004 - 2005,,,,,,,34,29,0.85
,,2005 - 2006,,,,,,,8,6,0.75
,,2006 - 2007,,,,,,,1,1,1
,,2008 - 2009,,,,58,48,0.83,,,
,,2009 - 2010,,,,167,139,0.83,,,
,,2010 - 2011,,,,210,175,0.83,,,
,,2011 - 2012,,,,210,172,0.82,,,
,,2012 - 2013,,,,39,32,0.82,,,
,,2013 - 2014,,,,165,136,0.82,,,
,,2014 - 2015,,,,167,137,0.82,,,
,,2015 - 2016,,,,7,6,0.86,,,
,,2016 - 2017,,,,118,85,0.72,,,
,,2017 - 2018,,,,99,71,0.72,,,
,,2018 - 2019,,,,23,16,0.7,,,
,,2019 - 2020,,,,83,59,0.71,,,
,,2020 - 2021,,,,66,47,0.71,,,
,,2021 - 2022,,,,78,56,0.72,,,
,,2022 - 2023,,,,70,50,0.71,,,
,28. Gautam buddha nagar,2004 - 2005,,,,,,,8,7,0.88
,,2008 - 2009,,,,3,2,0.67,,,
,,2009 - 2010,,,,2,2,1,,,
,,2010 - 2011,,,,1,1,1,,,
,,2012 - 2013,,,,1,1,1,,,
,,2014 - 2015,,,,50,40,0.8,,,
,,2015 - 2016,,,,7,6,0.86,,,
,,2016 - 2017,,,,12,9,0.75,,,
,,2017 - 2018,,,,14,10,0.71,,,
,,2019 - 2020,,,,17,12,0.71,,,
,,2020 - 2021,,,,10,7,0.7,,,
,,2021 - 2022,,,,11,8,0.73,,,
,,2022 - 2023,,,,10,7,0.7,,,
,29. Ghaziabad,2007 - 2008,,,,1,1,1,,,
,30. Ghazipur,2004 - 2005,,,,,,,21,18,0.86
,,2005 - 2006,,,,,,,23,19,0.83
,,2006 - 2007,,,,,,,22,18,0.82
,,2007 - 2008,,,,6,5,0.83,,,
,,2008 - 2009,,,,24,20,0.83,,,
,,2009 - 2010,,,,19,16,0.84,,,
,,2010 - 2011,,,,19,16,0.84,,,
,,2011 - 2012,,,,16,13,0.81,,,
,,2012 - 2013,,,,15,12,0.8,,,
,,2013 - 2014,,,,17,14,0.82,,,
,,2014 - 2015,,,,16,13,0.81,,,
,,2015 - 2016,,,,71,58,0.82,,,
,,2016 - 2017,,,,27,19,0.7,,,
,,2017 - 2018,,,,29,21,0.72,,,
,,2018 - 2019,,,,2,1,0.5,,,
,,2019 - 2020,,,,29,21,0.72,,,
,,2020 - 2021,,,,32,23,0.72,,,
,,2021 - 2022,,,,24,17,0.71,,,
,,2022 - 2023,,,,23,16,0.7,,,
,31. Gonda,2005 - 2006,,,,,,,47,38,0.81
,,2006 - 2007,,,,,,,37,32,0.86
,,2007 - 2008,,,,4,3,0.75,,,
,,2008 - 2009,,,,26,22,0.85,,,
,,2009 - 2010,,,,23,19,0.83,,,
,,2010 - 2011,,,,27,22,0.81,,,
,,2011 - 2012,,,,23,19,0.83,,,
,,2012 - 2013,,,,12,10,0.83,,,
,,2013 - 2014,,,,22,18,0.82,,,
,,2014 - 2015,,,,21,17,0.81,,,
,,2015 - 2016,,,,14,12,0.86,,,
,,2016 - 2017,,,,18,13,0.72,,,
,,2017 - 2018,,,,17,12,0.71,,,
,,2019 - 2020,,,,14,10,0.71,,,
,,2020 - 2021,,,,13,9,0.69,,,
,,2021 - 2022,,,,12,9,0.75,,,
,,2022 - 2023,,,,11,8,0.73,,,
,32. Gorakhpur,2004 - 2005,,,,,,,38,32,0.84
,,2005 - 2006,,,,,,,24,19,0.79
,,2006 - 2007,,,,,,,21,17,0.81
,,2007 - 2008,,,,3,2,0.67,,,
,,2008 - 2009,,,,17,14,0.82,,,
,,2009 - 2010,,,,17,14,0.82,,,
,,2010 - 2011,,,,16,13,0.81,,,
,,2011 - 2012,,,,18,15,0.83,,,
,,2012 - 2013,,,,14,11,0.79,,,
,,2013 - 2014,,,,15,13,0.87,,,
,,2014 - 2015,,,,16,13,0.81,,,
,,2015 - 2016,,,,16,13,0.81,,,
,,2016 - 2017,,,,13,9,0.69,,,
,,2017 - 2018,,,,13,9,0.69,,,
,,2018 - 2019,,,,7,5,0.71,,,
,,2019 - 2020,,,,13,9,0.69,,,
,,2020 - 2021,,,,12,9,0.75,,,
,,2021 - 2022,,,,12,9,0.75,,,
,,2022 - 2023,,,,11,8,0.73,,,
,33. Hamirpur,2004 - 2005,,,,,,,6,5,0.83
,,2006 - 2007,,,,,,,29,24,0.83
,,2008 - 2009,,,,8,7,0.88,,,
,,2009 - 2010,,,,9,7,0.78,,,
,,2010 - 2011,,,,9,8,0.89,,,
,,2011 - 2012,,,,4,3,0.75,,,
,,2012 - 2013,,,,11,9,0.82,,,
,,2013 - 2014,,,,9,7,0.78,,,
,,2014 - 2015,,,,5,4,0.8,,,
,,2016 - 2017,,,,6,4,0.67,,,
,,2017 - 2018,,,,6,4,0.67,,,
,,2019 - 2020,,,,3,2,0.67,,,
,,2020 - 2021,,,,3,2,0.67,,,
,,2021 - 2022,,,,4,3,0.75,,,
,,2022 - 2023,,,,3,2,0.67,,,
,34. Hardoi,2004 - 2005,,,,,,,22,19,0.86
,,2005 - 2006,,,,,,,23,19,0.83
,,2006 - 2007,,,,,,,34,29,0.85
,,2007 - 2008,,,,25,21,0.84,,,
,,2008 - 2009,,,,26,22,0.85,,,
,,2009 - 2010,,,,26,22,0.85,,,
,,2010 - 2011,,,,27,22,0.81,,,
,,2011 - 2012,,,,19,16,0.84,,,
,,2012 - 2013,,,,25,20,0.8,,,
,,2013 - 2014,,,,52,43,0.83,,,
,,2014 - 2015,,,,30,25,0.83,,,
,,2016 - 2017,,,,26,18,0.69,,,
,,2017 - 2018,,,,27,19,0.7,,,
,,2018 - 2019,,,,43,31,0.72,,,
,,2019 - 2020,,,,27,19,0.7,,,
,,2020 - 2021,,,,25,18,0.72,,,
,,2021 - 2022,,,,30,22,0.73,,,
,,2022 - 2023,,,,30,22,0.73,,,
,35. Hathras,2005 - 2006,,,,,,,23,19,0.83
,,2006 - 2007,,,,,,,28,24,0.86
,,2008 - 2009,,,,86,72,0.84,,,
,,2009 - 2010,,,,27,23,0.85,,,
,,2010 - 2011,,,,33,27,0.82,,,
,,2011 - 2012,,,,35,29,0.83,,,
,,2012 - 2013,,,,36,29,0.81,,,
,,2013 - 2014,,,,188,155,0.82,,,
,,2014 - 2015,,,,59,48,0.81,,,
,,2015 - 2016,,,,14,11,0.79,,,
,,2016 - 2017,,,,5,4,0.8,,,
,,2017 - 2018,,,,60,43,0.72,,,
,,2018 - 2019,,,,45,32,0.71,,,
,,2019 - 2020,,,,88,63,0.72,,,
,,2020 - 2021,,,,42,30,0.71,,,
,,2021 - 2022,,,,48,34,0.71,,,
,,2022 - 2023,,,,57,41,0.72,,,
,36. Jalaun,2004 - 2005,,,,,,,69,58,0.84
,,2005 - 2006,,,,,,,74,60,0.81
,,2006 - 2007,,,,,,,81,68,0.84
,,2007 - 2008,,,,81,68,0.84,,,
,,2008 - 2009,,,,75,63,0.84,,,
,,2009 - 2010,,,,70,58,0.83,,,
,,2010 - 2011,,,,76,63,0.83,,,
