State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,28. Surat,2008 - 2009,,,,,,,100,100,1
,,2010 - 2011,,,,,,,100,100,1
,,2011 - 2012,,,,,,,"2,200.00","1,300.00",0.59
,,2013 - 2014,,,,,,,45,40,0.89
,,2014 - 2015,,,,,,,70,54,0.77
,,2015 - 2016,,,,,,,"1,725.00","1,067.00",0.62
,,2016 - 2017,,,,,,,95,63,0.66
,,2017 - 2018,,,,,,,95,63,0.66
,,2018 - 2019,,,,,,,95,62,0.65
,,2019 - 2020,,,,133,97,0.73,,,
,,2020 - 2021,,,,32,21,0.66,,,
,,2021 - 2022,,,,40,26,0.65,,,
,,2022 - 2023,,,,21,15,0.71,,,
,29. Surendranagar,2012 - 2013,,,,,,,"1,100.00",600,0.55
,,2013 - 2014,,,,,,,"36,482.00","32,323.00",0.89
,,2014 - 2015,,,,,,,"19,229.00","14,874.00",0.77
,,2015 - 2016,,,,,,,"10,831.00","6,697.00",0.62
,,2016 - 2017,,,,,,,"1,735.00","1,231.00",0.71
,,2017 - 2018,,,,,,,822,547,0.67
,,2018 - 2019,,,,,,,"2,172.00",869,0.4
,,2019 - 2020,,,,65,47,0.72,,,
,,2020 - 2021,,,,210,137,0.65,,,
,,2021 - 2022,,,,436,285,0.65,,,
,,2022 - 2023,,,,191,136,0.71,,,
,30. Tapi,2020 - 2021,,,,35,23,0.66,,,
,31. Vadodara,2000 - 2001,,,,,,,"1,700.00",400,0.24
,,2001 - 2002,,,,,,,"1,400.00",600,0.43
,,2002 - 2003,,,,,,,200,100,0.5
,,2003 - 2004,,,,,,,800,600,0.75
,,2004 - 2005,,,,,,,500,400,0.8
,,2005 - 2006,,,,,,,400,200,0.5
,,2006 - 2007,,,,,,,400,200,0.5
,,2007 - 2008,,,,,,,700,500,0.71
,,2009 - 2010,,,,,,,400,100,0.25
,,2010 - 2011,,,,,,,300,200,0.67
,,2011 - 2012,,,,,,,500,300,0.6
,,2012 - 2013,,,,,,,600,400,0.67
,,2013 - 2014,,,,,,,"4,506.00","3,992.00",0.89
,,2014 - 2015,,,,,,,325,251,0.77
,,2015 - 2016,,,,,,,"1,435.00",887,0.62
,,2016 - 2017,,,,,,,140,93,0.66
,,2017 - 2018,,,,,,,546,363,0.66
,,2018 - 2019,,,,,,,636,445,0.7
,,2019 - 2020,,,,263,192,0.73,,,
,,2020 - 2021,,,,303,197,0.65,,,
,,2021 - 2022,,,,165,108,0.65,,,
