State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,,,,8,16,2,753,"2,091.00",2.78,,,,,,
,,2011 - 2012,,,,18,23,1.28,624,"2,497.00",4,,,,,,
,,2012 - 2013,,,,,,,"1,000.00","3,000.00",3,,,,,,
,,2013 - 2014,,,,78,155,1.99,679,"2,463.00",3.63,,,,,,
,,2014 - 2015,,,,5,16,3.2,830,"4,150.00",5,,,,,,
,,2015 - 2016,,,,145,399,2.75,"1,133.00","5,155.00",4.55,,,,,,
,,2016 - 2017,,,,146,328,2.25,"1,410.00","11,690.00",8.29,,,,,,
,,2017 - 2018,,,,198,571,2.88,701,"4,019.00",5.73,,,,,,
,,2018 - 2019,,,,132,391,2.96,890,"4,078.00",4.58,,,,,,
,,2019 - 2020,,,,10,32,3.2,719,"5,187.00",7.21,,,,,,
,,2020 - 2021,,,,667,"2,909.00",4.36,"1,297.00","1,840.00",1.42,,,,,,
,,2021 - 2022,,,,21,35,1.67,"1,745.00","5,450.00",3.12,,,,,,
,,2022 - 2023,,,,168,813,4.84,"1,828.00","6,829.00",3.74,,,,,,
,11. Kakinada,2022 - 2023,,,,,,,161,986,6.12,,,,,,
,12. Krishna,2000 - 2001,,,,"1,987.00","4,099.00",2.06,"8,952.00","30,016.00",3.35,,,,,,
,,2001 - 2002,,,,"1,417.00","2,850.00",2.01,"9,791.00","34,885.00",3.56,,,,,,
,,2002 - 2003,,,,"1,000.00","1,663.00",1.66,"12,584.00","31,573.00",2.51,,,,,,
,,2003 - 2004,,,,"1,365.00","2,882.00",2.11,"11,962.00","36,939.00",3.09,,,,,,
,,2004 - 2005,,,,"1,702.00","4,391.00",2.58,"9,629.00","39,344.00",4.09,,,,,,
,,2005 - 2006,,,,"1,184.00","2,579.00",2.18,"4,951.00","17,215.00",3.48,,,,,,
,,2006 - 2007,,,,698,"2,085.00",2.99,"6,470.00","28,682.00",4.43,,,,,,
,,2007 - 2008,,,,"1,000.00","3,000.00",3,"8,000.00","29,000.00",3.63,,,,,,
,,2008 - 2009,,,,688,"2,429.00",3.53,"7,931.00","29,186.00",3.68,,,,,,
,,2009 - 2010,,,,"1,023.00","4,024.00",3.93,"9,512.00","27,813.00",2.92,,,,,,
,,2010 - 2011,,,,"1,533.00","6,327.00",4.13,"9,375.00","30,853.00",3.29,,,,,,
,,2011 - 2012,,,,"1,568.00","6,830.00",4.36,"12,656.00","37,462.00",2.96,,,,,,
,,2012 - 2013,,,,"1,000.00","5,000.00",5,"10,000.00","33,000.00",3.3,,,,,,
,,2013 - 2014,,,,"1,001.00","4,690.00",4.69,"9,752.00","48,350.00",4.96,,,,,,
,,2014 - 2015,,,,827,"4,179.00",5.05,"8,456.00","49,485.00",5.85,,,,,,
,,2015 - 2016,,,,663,"2,596.00",3.92,"9,588.00","58,295.00",6.08,,,,,,
,,2016 - 2017,,,,624,"2,638.00",4.23,"16,355.00","1,07,338.00",6.56,,,,,,
,,2017 - 2018,,,,497,"2,183.00",4.39,"6,661.00","46,381.00",6.96,,,,,,
,,2018 - 2019,,,,826,"4,338.00",5.25,"13,130.00","71,046.00",5.41,,,,,,
,,2019 - 2020,,,,663,"4,404.00",6.64,"12,943.00","96,671.00",7.47,,,,,,
