State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,19,112,5.89,13,70,5.38,,,,,,
,,2020 - 2021,,,,13,82,6.31,24,144,6,,,,,,
,,2021 - 2022,,,,101,515,5.1,102,288,2.82,,,,,,
,,2022 - 2023,,,,114,580,5.09,179,669,3.74,,,,,,
,11. Mahabubabad,2016 - 2017,,,,"1,548.00","5,921.00",3.82,"18,667.00","84,282.00",4.52,,,,,,
,,2017 - 2018,,,,"2,676.00","11,889.00",4.44,"9,742.00","43,761.00",4.49,,,,,,
,,2018 - 2019,,,,512,"2,152.00",4.2,"11,728.00","44,824.00",3.82,,,,,,
,,2019 - 2020,,,,40,117,2.93,"13,679.00","52,842.00",3.86,,,,,,
,,2020 - 2021,,,,551,"4,433.00",8.05,"16,900.00","65,859.00",3.9,,,,,,
,,2021 - 2022,,,,68,347,5.1,"33,297.00","68,758.00",2.06,,,,,,
,,2022 - 2023,,,,6,31,5.17,"22,705.00","84,077.00",3.7,,,,,,
,12. Mahbubnagar,2000 - 2001,,,,"1,848.00","4,273.00",2.31,"10,193.00","11,488.00",1.13,,,,,,
,,2001 - 2002,,,,"1,981.00","5,458.00",2.76,"8,942.00","7,538.00",0.84,,,,,,
,,2002 - 2003,,,,"2,057.00","5,114.00",2.49,"9,076.00","10,174.00",1.12,,,,,,
,,2003 - 2004,,,,"2,117.00","6,908.00",3.26,"8,097.00","24,251.00",3,,,,,,
,,2004 - 2005,,,,"1,380.00","4,129.00",2.99,"8,389.00","15,184.00",1.81,,,,,,
,,2005 - 2006,,,,"1,522.00","4,574.00",3.01,"6,214.00","18,344.00",2.95,,,,,,
,,2006 - 2007,,,,"1,590.00","5,191.00",3.26,"6,150.00","20,480.00",3.33,,,,,,
,,2007 - 2008,,,,"2,000.00","5,000.00",2.5,"7,000.00","25,000.00",3.57,,,,,,
,,2008 - 2009,,,,286,"1,125.00",3.93,"7,349.00","18,740.00",2.55,,,,,,
,,2009 - 2010,,,,178,673,3.78,"6,780.00","23,194.00",3.42,,,,,,
,,2010 - 2011,,,,261,780,2.99,"6,993.00","29,329.00",4.19,,,,,,
,,2011 - 2012,,,,115,374,3.25,"9,986.00","17,745.00",1.78,,,,,,
,,2012 - 2013,,,,,,,"8,000.00","24,000.00",3,,,,,,
,,2013 - 2014,,,,36,158,4.39,"8,995.00","29,027.00",3.23,,,,,,
,,2014 - 2015,,,,121,496,4.1,"9,883.00","33,800.00",3.42,,,,,,
,,2015 - 2016,,,,185,506,2.74,"10,866.00","25,068.00",2.31,,,,,,
,,2016 - 2017,,,,53,294,5.55,486,"1,113.00",2.29,,,,,,
,,2017 - 2018,,,,47,273,5.81,301,"1,330.00",4.42,,,,,,
,,2018 - 2019,,,,,,,148,636,4.3,,,,,,
,,2019 - 2020,,,,12,71,5.92,89,477,5.36,,,,,,
,,2020 - 2021,,,,37,220,5.95,58,346,5.97,,,,,,
,,2021 - 2022,,,,38,194,5.11,186,520,2.8,,,,,,
,,2022 - 2023,,,,15,76,5.07,191,279,1.46,,,,,,
,13. Mancherial,2016 - 2017,,,,,,,"1,297.00","4,507.00",3.47,,,,,,
,,2017 - 2018,,,,,,,470,"1,523.00",3.24,,,,,,
,,2018 - 2019,,,,,,,486,"1,747.00",3.59,,,,,,
,,2019 - 2020,,,,7,41,5.86,391,"1,748.00",4.47,,,,,,
,,2020 - 2021,,,,52,315,6.06,348,"3,965.00",11.39,,,,,,
,,2021 - 2022,,,,121,617,5.1,573,"2,634.00",4.6,,,,,,
,,2022 - 2023,,,,166,844,5.08,390,"2,420.00",6.21,,,,,,
,14. Medak,2000 - 2001,,,,"1,424.00","3,292.00",2.31,"6,989.00","6,661.00",0.95,,,,,,
,,2001 - 2002,,,,"1,749.00","4,818.00",2.75,"6,037.00","5,035.00",0.83,,,,,,
,,2002 - 2003,,,,"2,505.00","6,227.00",2.49,"4,948.00","4,354.00",0.88,,,,,,
,,2003 - 2004,,,,"1,739.00","5,674.00",3.26,"6,395.00","9,381.00",1.47,,,,,,
,,2004 - 2005,,,,"1,739.00","5,203.00",2.99,"3,914.00","4,478.00",1.14,,,,,,
,,2005 - 2006,,,,"1,583.00","4,757.00",3.01,"4,320.00","5,154.00",1.19,,,,,,
,,2006 - 2007,,,,"1,287.00","4,202.00",3.26,"3,597.00","2,180.00",0.61,,,,,,
,,2007 - 2008,,,,"1,000.00","4,000.00",4,"3,000.00","3,000.00",1,,,,,,
,,2008 - 2009,,,,"1,039.00","4,088.00",3.93,"2,851.00","1,867.00",0.65,,,,,,
,,2009 - 2010,,,,967,"3,656.00",3.78,"1,450.00","1,527.00",1.05,,,,,,
,,2010 - 2011,,,,"1,181.00","3,531.00",2.99,"1,490.00","1,490.00",1,,,,,,
,,2011 - 2012,,,,335,"1,090.00",3.25,"1,492.00","1,771.00",1.19,,,,,,
,,2012 - 2013,,,,,,,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,,,,,,,358,286,0.8,,,,,,
,,2014 - 2015,,,,,,,291,134,0.46,,,,,,
,,2015 - 2016,,,,3,8,2.67,366,208,0.57,,,,,,
,,2016 - 2017,,,,30,166,5.53,12,43,3.58,,,,,,
,,2017 - 2018,,,,11,64,5.82,10,44,4.4,,,,,,
,,2018 - 2019,,,,10,61,6.1,11,47,4.27,,,,,,
,,2019 - 2020,,,,,,,2,11,5.5,,,,,,
,,2020 - 2021,,,,5,29,5.8,10,58,5.8,,,,,,
,,2021 - 2022,,,,18,92,5.11,10,28,2.8,,,,,,
,,2022 - 2023,,,,6,31,5.17,6,22,3.67,,,,,,
,15. Medchal,2016 - 2017,,,,,,,3,11,3.67,,,,,,
,,2019 - 2020,,,,5,29,5.8,,,,,,,,,
,,2021 - 2022,,,,5,25,5,,,,,,,,,
,,2022 - 2023,,,,3,15,5,,,,,,,,,
,16. Mulugu,2018 - 2019,,,,"3,256.00","21,389.00",6.57,"4,040.00","16,564.00",4.1,,,,,,
,,2019 - 2020,,,,"3,815.00","27,415.00",7.19,"4,027.00","20,485.00",5.09,,,,,,
,,2020 - 2021,,,,"5,120.00","31,104.00",6.08,"2,964.00","17,441.00",5.88,,,,,,
,,2021 - 2022,,,,"6,184.00","36,683.00",5.93,"3,839.00","10,638.00",2.77,,,,,,
,,2022 - 2023,,,,"7,873.00","36,909.00",4.69,352,"1,120.00",3.18,,,,,,
,17. Nagarkurnool,2016 - 2017,,,,453,"2,511.00",5.54,813,"1,862.00",2.29,,,,,,
,,2017 - 2018,,,,152,882,5.8,303,868,2.86,,,,,,
,,2018 - 2019,,,,84,516,6.14,761,"3,268.00",4.29,,,,,,
,,2019 - 2020,,,,84,495,5.89,702,"3,763.00",5.36,,,,,,
,,2020 - 2021,,,,456,"2,736.00",6,"1,039.00","4,304.00",4.14,,,,,,
,,2021 - 2022,,,,121,617,5.1,"1,972.00","11,909.00",6.04,,,,,,
,,2022 - 2023,,,,172,728,4.23,"2,534.00","11,302.00",4.46,,,,,,
,18. Nalgonda,2000 - 2001,,,,"1,314.00","3,038.00",2.31,"7,944.00","8,230.00",1.04,,,,,,
,,2001 - 2002,,,,845,"2,328.00",2.76,"7,460.00","20,731.00",2.78,,,,,,
,,2002 - 2003,,,,"1,342.00","3,336.00",2.49,"7,376.00","5,451.00",0.74,,,,,,
,,2003 - 2004,,,,"2,128.00","6,944.00",3.26,"7,007.00","17,742.00",2.53,,,,,,
,,2004 - 2005,,,,"2,292.00","6,858.00",2.99,"7,706.00","12,430.00",1.61,,,,,,
,,2005 - 2006,,,,"1,478.00","4,441.00",3,"4,876.00","9,664.00",1.98,,,,,,
,,2006 - 2007,,,,922,"3,010.00",3.26,"4,962.00","11,884.00",2.4,,,,,,
,,2007 - 2008,,,,"2,000.00","5,000.00",2.5,"6,000.00","14,000.00",2.33,,,,,,
,,2008 - 2009,,,,"1,034.00","4,069.00",3.94,"6,498.00","18,194.00",2.8,,,,,,
,,2009 - 2010,,,,"1,445.00","5,464.00",3.78,"4,834.00","8,252.00",1.71,,,,,,
,,2010 - 2011,,,,"1,102.00","3,295.00",2.99,"5,334.00","11,020.00",2.07,,,,,,
,,2011 - 2012,,,,"1,664.00","5,416.00",3.25,"7,754.00","20,447.00",2.64,,,,,,
,,2012 - 2013,,,,"1,000.00","4,000.00",4,"5,000.00","11,000.00",2.2,,,,,,
,,2013 - 2014,,,,713,"3,130.00",4.39,"4,827.00","14,578.00",3.02,,,,,,
,,2014 - 2015,,,,968,"3,969.00",4.1,"3,360.00","9,401.00",2.8,,,,,,
,,2015 - 2016,,,,482,"1,318.00",2.73,"4,804.00","9,377.00",1.95,,,,,,
,,2016 - 2017,,,,215,"1,192.00",5.54,"5,879.00","13,857.00",2.36,,,,,,
,,2017 - 2018,,,,52,302,5.81,"1,556.00","4,506.00",2.9,,,,,,
,,2018 - 2019,,,,60,369,6.15,"1,506.00","5,211.00",3.46,,,,,,
,,2019 - 2020,,,,63,371,5.89,"1,070.00","7,839.00",7.33,,,,,,
,,2020 - 2021,,,,9,56,6.22,808,"5,749.00",7.12,,,,,,
,,2021 - 2022,,,,150,765,5.1,"1,498.00","7,056.00",4.71,,,,,,
,,2022 - 2023,,,,247,"1,256.00",5.09,"1,054.00","5,180.00",4.91,,,,,,
,19. Narayanapet,2018 - 2019,,,,,,,53,228,4.3,,,,,,
,,2019 - 2020,,,,,,,9,48,5.33,,,,,,
,,2020 - 2021,,,,,,,27,166,6.15,,,,,,
,,2021 - 2022,,,,46,234,5.09,102,285,2.79,,,,,,
,,2022 - 2023,,,,41,209,5.1,96,359,3.74,,,,,,
,20. Nirmal,2016 - 2017,,,,,,,616,"2,141.00",3.48,,,,,,
,,2017 - 2018,,,,1,6,6,239,809,3.38,,,,,,
,,2018 - 2019,,,,,,,236,834,3.53,,,,,,
,,2019 - 2020,,,,10,59,5.9,78,183,2.35,,,,,,
,,2020 - 2021,,,,19,116,6.11,107,622,5.81,,,,,,
,,2021 - 2022,,,,18,92,5.11,88,422,4.8,,,,,,
,,2022 - 2023,,,,6,31,5.17,75,280,3.73,,,,,,
,21. Nizamabad,2000 - 2001,,,,"1,276.00","2,950.00",2.31,"1,424.00","2,767.00",1.94,,,,,,
,,2001 - 2002,,,,"1,120.00","3,086.00",2.76,"1,528.00","3,279.00",2.15,,,,,,
,,2002 - 2003,,,,995,"2,474.00",2.49,"1,664.00","2,601.00",1.56,,,,,,
,,2003 - 2004,,,,"1,017.00","3,318.00",3.26,"1,861.00","4,241.00",2.28,,,,,,
,,2004 - 2005,,,,"2,325.00","6,956.00",2.99,"1,443.00","3,706.00",2.57,,,,,,
,,2005 - 2006,,,,"1,519.00","4,565.00",3.01,"1,076.00","2,887.00",2.68,,,,,,
,,2006 - 2007,,,,"1,637.00","5,345.00",3.27,"1,029.00","3,063.00",2.98,,,,,,
,,2007 - 2008,,,,"1,000.00","4,000.00",4,"1,000.00","3,000.00",3,,,,,,
,,2008 - 2009,,,,"1,272.00","5,005.00",3.93,"1,157.00","3,886.00",3.36,,,,,,
,,2009 - 2010,,,,"1,338.00","5,059.00",3.78,791,"2,745.00",3.47,,,,,,
,,2010 - 2011,,,,"1,252.00","3,743.00",2.99,"1,069.00","3,373.00",3.16,,,,,,
,,2011 - 2012,,,,"1,085.00","3,532.00",3.26,"1,098.00","2,636.00",2.4,,,,,,
,,2012 - 2013,,,,"1,000.00","4,000.00",4,"1,000.00","2,000.00",2,,,,,,
,,2013 - 2014,,,,865,"3,797.00",4.39,498,"1,575.00",3.16,,,,,,
,,2014 - 2015,,,,539,"2,210.00",4.1,497,"1,615.00",3.25,,,,,,
,,2015 - 2016,,,,277,757,2.73,246,690,2.8,,,,,,
,,2016 - 2017,,,,212,"1,175.00",5.54,223,799,3.58,,,,,,
,,2017 - 2018,,,,220,"1,277.00",5.8,92,407,4.42,,,,,,
,,2018 - 2019,,,,231,"1,419.00",6.14,94,404,4.3,,,,,,
,,2019 - 2020,,,,37,218,5.89,20,107,5.35,,,,,,
,,2020 - 2021,,,,64,393,6.14,15,88,5.87,,,,,,
,,2021 - 2022,,,,68,347,5.1,20,56,2.8,,,,,,
,,2022 - 2023,,,,25,127,5.08,6,22,3.67,,,,,,
,22. Peddapalli,2016 - 2017,,,,315,"1,746.00",5.54,415,"1,149.00",2.77,,,,,,
,,2017 - 2018,,,,,,,259,"1,145.00",4.42,,,,,,
,,2018 - 2019,,,,,,,407,"1,748.00",4.29,,,,,,
,,2019 - 2020,,,,,,,316,"1,694.00",5.36,,,,,,
,,2020 - 2021,,,,,,,375,"2,017.00",5.38,,,,,,
,,2021 - 2022,,,,44,224,5.09,496,899,1.81,,,,,,
,,2022 - 2023,,,,13,66,5.08,306,"1,077.00",3.52,,,,,,
,23. Rajanna,2016 - 2017,,,,,,,122,338,2.77,,,,,,
,,2017 - 2018,,,,,,,47,208,4.43,,,,,,
,,2018 - 2019,,,,,,,52,223,4.29,,,,,,
,,2019 - 2020,,,,,,,6,32,5.33,,,,,,
,,2020 - 2021,,,,,,,35,207,5.91,,,,,,
,,2021 - 2022,,,,25,127,5.08,71,198,2.79,,,,,,
,,2022 - 2023,,,,12,61,5.08,87,325,3.74,,,,,,
,24. Rangareddi,2000 - 2001,,,,733,"1,695.00",2.31,"2,369.00","4,603.00",1.94,,,,,,
,,2001 - 2002,,,,813,"2,240.00",2.76,"2,163.00","4,642.00",2.15,,,,,,
,,2002 - 2003,,,,820,"2,039.00",2.49,"1,903.00","2,974.00",1.56,,,,,,
,,2003 - 2004,,,,605,"1,974.00",3.26,"1,613.00","3,676.00",2.28,,,,,,
,,2004 - 2005,,,,592,"1,771.00",2.99,"1,502.00","3,857.00",2.57,,,,,,
,,2005 - 2006,,,,757,"2,275.00",3.01,"1,500.00","4,025.00",2.68,,,,,,
,,2006 - 2007,,,,634,"2,070.00",3.26,"1,346.00","4,007.00",2.98,,,,,,
,,2007 - 2008,,,,"1,000.00","2,000.00",2,"1,000.00","4,000.00",4,,,,,,
,,2008 - 2009,,,,370,"1,456.00",3.94,914,"3,070.00",3.36,,,,,,
,,2009 - 2010,,,,427,"1,614.00",3.78,850,"2,950.00",3.47,,,,,,
,,2010 - 2011,,,,405,"1,211.00",2.99,802,"2,530.00",3.15,,,,,,
,,2011 - 2012,,,,182,592,3.25,"1,147.00","2,754.00",2.4,,,,,,
,,2012 - 2013,,,,,,,"1,000.00","2,000.00",2,,,,,,
,,2013 - 2014,,,,162,711,4.39,444,"1,404.00",3.16,,,,,,
,,2014 - 2015,,,,206,845,4.1,290,943,3.25,,,,,,
,,2015 - 2016,,,,118,323,2.74,247,692,2.8,,,,,,
,,2016 - 2017,,,,44,244,5.55,22,79,3.59,,,,,,
,,2017 - 2018,,,,29,168,5.79,40,177,4.43,,,,,,
,,2018 - 2019,,,,24,147,6.13,19,82,4.32,,,,,,
,,2019 - 2020,,,,43,253,5.88,13,70,5.38,,,,,,
,,2020 - 2021,,,,19,119,6.26,50,309,6.18,,,,,,
,,2021 - 2022,,,,115,586,5.1,205,573,2.8,,,,,,
,,2022 - 2023,,,,41,209,5.1,186,695,3.74,,,,,,
,25. Sangareddy,2016 - 2017,,,,67,371,5.54,182,652,3.58,,,,,,
,,2017 - 2018,,,,,,,82,362,4.41,,,,,,
,,2018 - 2019,,,,2,12,6,104,447,4.3,,,,,,
,,2019 - 2020,,,,12,71,5.92,45,241,5.36,,,,,,
,,2020 - 2021,,,,20,126,6.3,129,775,6.01,,,,,,
,,2021 - 2022,,,,55,280,5.09,73,204,2.79,,,,,,
,,2022 - 2023,,,,52,264,5.08,47,176,3.74,,,,,,
,26. Siddipet,2016 - 2017,,,,12,67,5.58,124,444,3.58,,,,,,
,,2017 - 2018,,,,,,,4,18,4.5,,,,,,
,,2018 - 2019,,,,3,18,6,31,133,4.29,,,,,,
,,2019 - 2020,,,,17,100,5.88,40,214,5.35,,,,,,
,,2020 - 2021,,,,22,124,5.64,34,209,6.15,,,,,,
,,2021 - 2022,,,,52,265,5.1,42,117,2.79,,,,,,
,,2022 - 2023,,,,32,163,5.09,16,60,3.75,,,,,,
,27. Suryapet,2016 - 2017,,,,841,"4,662.00",5.54,"5,939.00","13,998.00",2.36,,,,,,
,,2017 - 2018,,,,674,"3,911.00",5.8,"2,981.00","8,552.00",2.87,,,,,,
,,2018 - 2019,,,,489,"3,005.00",6.15,"4,167.00","20,018.00",4.8,,,,,,
,,2019 - 2020,,,,709,"4,177.00",5.89,"5,908.00","33,327.00",5.64,,,,,,
,,2020 - 2021,,,,265,"2,985.00",11.26,"5,028.00","27,438.00",5.46,,,,,,
,,2021 - 2022,,,,157,574,3.66,"8,618.00","31,697.00",3.68,,,,,,
,,2022 - 2023,,,,82,304,3.71,"5,435.00","21,017.00",3.87,,,,,,
,28. Vikarabad,2016 - 2017,,,,94,521,5.54,130,466,3.58,,,,,,
,,2017 - 2018,,,,,,,134,592,4.42,,,,,,
,,2018 - 2019,,,,,,,159,683,4.3,,,,,,
,,2019 - 2020,,,,,,,126,675,5.36,,,,,,
,,2020 - 2021,,,,,,,170,"1,033.00",6.08,,,,,,
,,2021 - 2022,,,,11,56,5.09,30,84,2.8,,,,,,
,,2022 - 2023,,,,36,183,5.08,60,224,3.73,,,,,,
,29. Wanaparthy,2016 - 2017,,,,33,183,5.55,578,"1,324.00",2.29,,,,,,
,,2017 - 2018,,,,,,,344,850,2.47,,,,,,
,,2018 - 2019,,,,48,295,6.15,333,"1,430.00",4.29,,,,,,
,,2019 - 2020,,,,,,,406,"2,176.00",5.36,,,,,,
,,2020 - 2021,,,,24,143,5.96,494,"3,137.00",6.35,,,,,,
,,2021 - 2022,,,,126,642,5.1,862,"3,178.00",3.69,,,,,,
,,2022 - 2023,,,,22,112,5.09,"1,114.00","4,859.00",4.36,,,,,,
,30. Warangal,2000 - 2001,,,,"10,179.00","24,297.00",2.39,"18,493.00","43,717.00",2.36,,,,,,
,,2001 - 2002,,,,"11,818.00","26,047.00",2.2,"15,720.00","29,506.00",1.88,,,,,,
,,2002 - 2003,,,,"9,480.00","18,334.00",1.93,"15,045.00","28,841.00",1.92,,,,,,
,,2003 - 2004,,,,"8,160.00","18,360.00",2.25,"20,737.00","40,126.00",1.93,,,,,,
,,2004 - 2005,,,,"9,115.00","24,009.00",2.63,"18,280.00","49,009.00",2.68,,,,,,
,,2005 - 2006,,,,"8,268.00","18,950.00",2.29,"13,994.00","37,546.00",2.68,,,,,,
,,2006 - 2007,,,,"10,957.00","30,899.00",2.82,"16,379.00","42,029.00",2.57,,,,,,
,,2007 - 2008,,,,"8,000.00","18,000.00",2.25,"15,000.00","40,000.00",2.67,,,,,,
,,2008 - 2009,,,,"8,645.00","24,949.00",2.89,"13,889.00","54,459.00",3.92,,,,,,
,,2009 - 2010,,,,"11,209.00","37,449.00",3.34,"15,749.00","58,350.00",3.7,,,,,,
,,2010 - 2011,,,,"9,042.00","32,045.00",3.54,"11,855.00","33,360.00",2.81,,,,,,
,,2011 - 2012,,,,"8,091.00","19,467.00",2.41,"14,980.00","31,773.00",2.12,,,,,,
,,2012 - 2013,,,,"12,000.00","48,000.00",4,"14,000.00","49,000.00",3.5,,,,,,
,,2013 - 2014,,,,"12,127.00","45,306.00",3.74,"12,883.00","35,956.00",2.79,,,,,,
,,2014 - 2015,,,,"9,647.00","27,668.00",2.87,"14,614.00","44,324.00",3.03,,,,,,
,,2015 - 2016,,,,"9,366.00","26,805.00",2.86,"18,860.00","55,543.00",2.95,,,,,,
,,2016 - 2017,,,,"2,863.00","11,532.00",4.03,"5,253.00","23,717.00",4.51,,,,,,
,,2017 - 2018,,,,736,"2,888.00",3.92,"4,772.00","19,947.00",4.18,,,,,,
,,2018 - 2019,,,,809,"4,364.00",5.39,"5,480.00","31,921.00",5.83,,,,,,
,,2019 - 2020,,,,"1,475.00","6,185.00",4.19,"4,421.00","18,551.00",4.2,,,,,,
,,2020 - 2021,,,,968,"4,723.00",4.88,"5,433.00","29,311.00",5.39,,,,,,
,,2021 - 2022,,,,758,704,0.93,"7,518.00","8,240.00",1.1,,,,,,
,,2022 - 2023,,,,"2,163.00","4,410.00",2.04,"2,509.00","5,497.00",2.19,,,,,,
,31. Warangal urban,2016 - 2017,,,,25,139,5.56,504,"2,276.00",4.52,,,,,,
,,2017 - 2018,,,,,,,121,221,1.83,,,,,,
,,2018 - 2019,,,,,,,192,824,4.29,,,,,,
,,2019 - 2020,,,,6,35,5.83,108,579,5.36,,,,,,
,,2020 - 2021,,,,70,422,6.03,193,"1,164.00",6.03,,,,,,
,,2021 - 2022,,,,117,596,5.09,"3,896.00","11,493.00",2.95,,,,,,
,,2022 - 2023,,,,198,"1,007.00",5.09,"1,959.00","10,224.00",5.22,,,,,,
,32. Yadadri,2016 - 2017,,,,5,28,5.6,77,181,2.35,,,,,,
,,2017 - 2018,,,,,,,12,53,4.42,,,,,,
,,2018 - 2019,,,,,,,64,275,4.3,,,,,,
,,2019 - 2020,,,,2,12,6,57,306,5.37,,,,,,
,,2020 - 2021,,,,35,211,6.03,37,229,6.19,,,,,,
,,2021 - 2022,,,,65,331,5.09,75,210,2.8,,,,,,
,,2022 - 2023,,,,29,147,5.07,61,228,3.74,,,,,,
21. Uttar Pradesh,1. Agra,2004 - 2005,109,102,0.94,,,,,,,,,,,,
,,2005 - 2006,105,96,0.91,,,,,,,,,,,,
,,2006 - 2007,100,95,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,57,55,0.96,,,,,,
,,2008 - 2009,,,,,,,79,79,1,,,,,,
,,2009 - 2010,,,,,,,90,79,0.88,,,,,,
,,2010 - 2011,,,,,,,348,304,0.87,,,,,,
,,2011 - 2012,,,,,,,135,112,0.83,,,,,,
,,2012 - 2013,,,,,,,695,558,0.8,,,,,,
,,2013 - 2014,,,,,,,213,172,0.81,,,,,,
,,2014 - 2015,,,,,,,350,289,0.83,,,,,,
,,2015 - 2016,,,,,,,348,263,0.76,,,,,,
,,2016 - 2017,,,,,,,348,321,0.92,,,,,,
,,2017 - 2018,,,,,,,391,361,0.92,,,,,,
,,2018 - 2019,,,,,,,330,305,0.92,,,,,,
,,2019 - 2020,,,,,,,353,308,0.87,,,,,,
,,2020 - 2021,,,,,,,354,314,0.89,,,,,,
,,2021 - 2022,,,,,,,355,314,0.88,,,,,,
,,2022 - 2023,,,,,,,357,332,0.93,,,,,,
,2. Aligarh,2004 - 2005,78,73,0.94,,,,,,,,,,,,
,,2005 - 2006,55,50,0.91,,,,,,,,,,,,
,,2006 - 2007,60,57,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,46,44,0.96,,,,,,
,,2008 - 2009,,,,,,,30,30,1,,,,,,
,,2009 - 2010,,,,,,,54,48,0.89,,,,,,
,,2010 - 2011,,,,,,,49,43,0.88,,,,,,
,,2011 - 2012,,,,,,,48,40,0.83,,,,,,
,,2012 - 2013,,,,,,,41,33,0.8,,,,,,
,,2013 - 2014,,,,,,,27,22,0.81,,,,,,
,,2014 - 2015,,,,,,,18,15,0.83,,,,,,
,,2015 - 2016,,,,,,,49,37,0.76,,,,,,
,,2016 - 2017,,,,,,,37,34,0.92,,,,,,
,,2017 - 2018,,,,,,,25,23,0.92,,,,,,
,,2018 - 2019,,,,,,,31,29,0.94,,,,,,
,,2019 - 2020,,,,,,,25,22,0.88,,,,,,
,,2020 - 2021,,,,,,,24,21,0.88,,,,,,
,,2021 - 2022,,,,,,,39,34,0.87,,,,,,
,,2022 - 2023,,,,,,,24,22,0.92,,,,,,
,3. Allahabad,2004 - 2005,176,165,0.94,,,,,,,,,,,,
,,2005 - 2006,115,105,0.91,,,,,,,,,,,,
,,2006 - 2007,135,128,0.95,,,,,,,,,,,,
,,2007 - 2008,,,,,,,255,246,0.96,,,,,,
,,2008 - 2009,,,,,,,65,65,1,,,,,,
,,2009 - 2010,,,,,,,72,64,0.89,,,,,,
,,2010 - 2011,,,,,,,106,93,0.88,,,,,,
,,2011 - 2012,,,,,,,127,105,0.83,,,,,,
,,2012 - 2013,,,,,,,119,96,0.81,,,,,,
,,2013 - 2014,,,,,,,122,99,0.81,,,,,,
,,2014 - 2015,,,,,,,133,110,0.83,,,,,,
,,2015 - 2016,,,,,,,114,86,0.75,,,,,,
,,2016 - 2017,,,,,,,123,113,0.92,,,,,,
,,2017 - 2018,,,,,,,122,113,0.93,,,,,,
,,2018 - 2019,,,,,,,123,113,0.92,,,,,,
,,2019 - 2020,,,,,,,123,107,0.87,,,,,,
,,2020 - 2021,,,,,,,121,107,0.88,,,,,,
,,2021 - 2022,,,,,,,122,108,0.89,,,,,,
,,2022 - 2023,,,,,,,122,113,0.93,,,,,,
,4. Ambedkar nagar,2004 - 2005,25,23,0.92,,,,,,,,,,,,
,,2005 - 2006,11,10,0.91,,,,,,,,,,,,
,,2006 - 2007,6,6,1,,,,,,,,,,,,
,,2007 - 2008,,,,,,,15,14,0.93,,,,,,
,,2008 - 2009,,,,,,,3,3,1,,,,,,
,,2009 - 2010,,,,,,,12,11,0.92,,,,,,
,,2010 - 2011,,,,,,,19,17,0.89,,,,,,
,,2011 - 2012,,,,,,,11,9,0.82,,,,,,
,,2012 - 2013,,,,,,,32,26,0.81,,,,,,
,,2013 - 2014,,,,,,,13,11,0.85,,,,,,
,,2014 - 2015,,,,,,,39,32,0.82,,,,,,
,,2015 - 2016,,,,,,,60,45,0.75,,,,,,
,,2016 - 2017,,,,,,,31,29,0.94,,,,,,
,,2017 - 2018,,,,,,,35,32,0.91,,,,,,
,,2018 - 2019,,,,,,,36,33,0.92,,,,,,
,,2019 - 2020,,,,,,,40,35,0.88,,,,,,
,,2020 - 2021,,,,,,,40,36,0.9,,,,,,
,,2021 - 2022,,,,,,,32,28,0.88,,,,,,
,,2022 - 2023,,,,,,,37,34,0.92,,,,,,
,5. Amethi,2011 - 2012,,,,,,,34,28,0.82,,,,,,
,,2012 - 2013,,,,,,,29,23,0.79,,,,,,
,,2013 - 2014,,,,,,,64,52,0.81,,,,,,
,,2014 - 2015,,,,,,,29,24,0.83,,,,,,
,,2016 - 2017,,,,,,,31,29,0.94,,,,,,
,,2017 - 2018,,,,,,,31,29,0.94,,,,,,
,,2018 - 2019,,,,,,,31,29,0.94,,,,,,
,,2019 - 2020,,,,,,,24,21,0.88,,,,,,
,,2020 - 2021,,,,,,,23,20,0.87,,,,,,
,,2021 - 2022,,,,,,,28,25,0.89,,,,,,
,,2022 - 2023,,,,,,,39,36,0.92,,,,,,
,6. Amroha,2004 - 2005,80,75,0.94,,,,,,,,,,,,
,,2005 - 2006,78,71,0.91,,,,,,,,,,,,
,,2006 - 2007,127,120,0.94,,,,,,,,,,,,
,,2007 - 2008,,,,,,,119,115,0.97,,,,,,
,,2008 - 2009,,,,,,,76,75,0.99,,,,,,
,,2009 - 2010,,,,,,,96,85,0.89,,,,,,
,,2010 - 2011,,,,,,,92,81,0.88,,,,,,
,,2011 - 2012,,,,,,,102,85,0.83,,,,,,
,,2012 - 2013,,,,,,,62,50,0.81,,,,,,
,,2013 - 2014,,,,,,,39,31,0.79,,,,,,
,,2014 - 2015,,,,,,,78,64,0.82,,,,,,
,,2015 - 2016,,,,,,,80,60,0.75,,,,,,
,,2016 - 2017,,,,,,,72,66,0.92,,,,,,
,,2017 - 2018,,,,,,,51,47,0.92,,,,,,
,,2018 - 2019,,,,,,,64,59,0.92,,,,,,
,,2019 - 2020,,,,,,,69,60,0.87,,,,,,
