State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,13,19,1.46,,,,,,
,,2003 - 2004,23,34,1.48,,,,,,
,,2004 - 2005,37,55,1.49,,,,,,
,,2005 - 2006,11,16,1.45,,,,,,
,,2007 - 2008,6,9,1.5,,,,,,
,30. Samastipur,2000 - 2001,273,408,1.49,,,,,,
,,2001 - 2002,298,438,1.47,,,,,,
,,2002 - 2003,268,396,1.48,,,,,,
,,2003 - 2004,248,373,1.5,,,,,,
,,2004 - 2005,245,369,1.51,,,,,,
,,2005 - 2006,152,225,1.48,,,,,,
,,2007 - 2008,276,400,1.45,,,,,,
,,2008 - 2009,197,314,1.59,,,,,,
,,2016 - 2017,188,287,1.53,,,,,,
,,2017 - 2018,300,459,1.53,,,,,,
,,2018 - 2019,283,433,1.53,,,,,,
,,2019 - 2020,237,362,1.53,,,,,,
,,2020 - 2021,237,362,1.53,,,,,,
,,2021 - 2022,240,375,1.56,,,,,,
,,2022 - 2023,244,376,1.54,,,,,,
,31. Saran,2000 - 2001,8,8,1,,,,,,
,,2001 - 2002,42,41,0.98,,,,,,
,,2002 - 2003,24,35,1.46,,,,,,
,,2003 - 2004,51,77,1.51,,,,,,
,,2004 - 2005,39,59,1.51,,,,,,
,,2005 - 2006,40,59,1.48,,,,,,
,,2007 - 2008,41,59,1.44,,,,,,
,,2008 - 2009,46,73,1.59,,,,,,
,32. Sheikhpura,2016 - 2017,12,17,1.42,,,,,,
,33. Sheohar,2000 - 2001,25,38,1.52,,,,,,
,,2001 - 2002,20,30,1.5,,,,,,
,,2002 - 2003,20,30,1.5,,,,,,
,,2003 - 2004,22,33,1.5,,,,,,
,,2004 - 2005,21,32,1.52,,,,,,
,,2005 - 2006,24,35,1.46,,,,,,
,,2007 - 2008,30,44,1.47,,,,,,
,,2016 - 2017,85,125,1.47,,,,,,
,,2017 - 2018,80,118,1.48,,,,,,
,,2018 - 2019,71,104,1.46,,,,,,
,,2019 - 2020,37,54,1.46,,,,,,
,,2020 - 2021,38,56,1.47,,,,,,
,,2021 - 2022,36,56,1.56,,,,,,
,,2022 - 2023,35,53,1.51,,,,,,
,34. Sitamarhi,2000 - 2001,51,77,1.51,,,,,,
,,2001 - 2002,11,17,1.55,,,,,,
,,2002 - 2003,11,16,1.45,,,,,,
,,2003 - 2004,30,45,1.5,,,,,,
,,2004 - 2005,23,36,1.57,,,,,,
,,2005 - 2006,18,27,1.5,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,
,,2008 - 2009,13,23,1.77,,,,,,
,,2016 - 2017,38,58,1.53,,,,,,
,,2017 - 2018,39,59,1.51,,,,,,
,,2018 - 2019,39,60,1.54,,,,,,
,,2019 - 2020,40,61,1.53,,,,,,
,,2020 - 2021,41,63,1.54,,,,,,
,,2021 - 2022,41,64,1.56,,,,,,
,,2022 - 2023,42,65,1.55,,,,,,
,35. Siwan,2000 - 2001,58,57,0.98,,,,,,
,,2002 - 2003,119,176,1.48,,,,,,
,,2003 - 2004,106,159,1.5,,,,,,
,,2004 - 2005,119,179,1.5,,,,,,
,,2005 - 2006,101,149,1.48,,,,,,
,,2007 - 2008,122,176,1.44,,,,,,
,,2008 - 2009,123,196,1.59,,,,,,
,,2016 - 2017,123,187,1.52,,,,,,
,,2017 - 2018,127,193,1.52,,,,,,
,,2018 - 2019,127,193,1.52,,,,,,
,,2019 - 2020,127,193,1.52,,,,,,
,,2020 - 2021,127,193,1.52,,,,,,
,,2021 - 2022,127,208,1.64,,,,,,
,,2022 - 2023,127,198,1.56,,,,,,
,36. Supaul,2000 - 2001,221,333,1.51,,,,,,
,,2001 - 2002,66,97,1.47,,,,,,
,,2002 - 2003,211,313,1.48,,,,,,
,,2003 - 2004,272,405,1.49,,,,,,
,,2004 - 2005,141,210,1.49,,,,,,
,,2005 - 2006,134,199,1.49,,,,,,
,,2007 - 2008,93,138,1.48,,,,,,
,,2016 - 2017,154,215,1.4,,,,,,
,,2017 - 2018,128,180,1.41,,,,,,
,,2018 - 2019,143,202,1.41,,,,,,
,,2019 - 2020,144,202,1.4,,,,,,
,,2020 - 2021,143,238,1.66,,,,,,
,,2021 - 2022,136,213,1.57,,,,,,
,,2022 - 2023,131,213,1.63,,,,,,
,37. Vaishali,2000 - 2001,53,80,1.51,,,,,,
,,2001 - 2002,52,79,1.52,,,,,,
,,2002 - 2003,38,56,1.47,,,,,,
,,2003 - 2004,68,103,1.51,,,,,,
,,2004 - 2005,91,138,1.52,,,,,,
,,2005 - 2006,76,112,1.47,,,,,,
,,2007 - 2008,69,100,1.45,,,,,,
,,2008 - 2009,152,268,1.76,,,,,,
,,2016 - 2017,56,83,1.48,,,,,,
3. Chhattisgarh,1. Baloda bazar,2011 - 2012,7,18,2.57,,,,,,
,,2012 - 2013,5,13,2.6,,,,,,
,,2013 - 2014,5,15,3,,,,,,
,,2014 - 2015,6,17,2.83,,,,,,
,,2015 - 2016,6,17,2.83,,,,,,
,,2016 - 2017,7,18,2.57,,,,,,
,,2017 - 2018,10,23,2.3,,,,,,
,2. Balrampur,2011 - 2012,166,490,2.95,,,,,,
,,2012 - 2013,172,358,2.08,,,,,,
,,2013 - 2014,188,438,2.33,41,240,5.85,,,
,,2014 - 2015,156,363,2.33,,,,,,
,,2015 - 2016,190,411,2.16,,,,,,
,,2016 - 2017,180,411,2.28,,,,,,
,,2017 - 2018,206,479,2.33,,,,,,
,,2018 - 2019,224,521,2.33,,,,,,
,,2019 - 2020,262,654,2.5,,,,,,
,,2020 - 2021,237,595,2.51,,,,,,
,,2021 - 2022,229,536,2.34,,,,,,
,,2022 - 2023,19,47,2.47,,,,,,
,3. Bastar,2000 - 2001,10,33,3.3,,,,,,
,,2001 - 2002,6,21,3.5,,,,,,
,,2002 - 2003,4,14,3.5,,,,,,
,,2003 - 2004,4,14,3.5,,,,,,
,,2004 - 2005,11,38,3.45,,,,,,
,,2005 - 2006,6,21,3.5,,,,,,
,,2006 - 2007,5,17,3.4,,,,,,
,,2007 - 2008,6,21,3.5,,,,,,
,,2008 - 2009,3,10,3.33,,,,,,
,,2009 - 2010,5,17,3.4,,,,,,
,,2010 - 2011,4,14,3.5,,,,,,
,,2015 - 2016,1,3,3,,,,,,
,,2017 - 2018,2,6,3,,,,,,
,,2018 - 2019,1,,0,,,,,,
,4. Bemetara,2013 - 2014,36,102,2.83,,,,,,
,,2014 - 2015,36,105,2.92,,,,,,
,,2016 - 2017,24,70,2.92,,,,,,
,,2017 - 2018,1,3,3,,,,,,
,,2018 - 2019,1,3,3,,,,,,
,,2021 - 2022,1,4,4,,,,,,
