State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,,,,1,5,5,,,
,,2020 - 2021,,,,1,0,0,,,
,,2021 - 2022,,,,,,,1,4,4
,2. Jagitial,2021 - 2022,,,,1,4,4,,,
,,2022 - 2023,,,,3,9,3,,,
,3. Kamareddy,2019 - 2020,,,,2,9,4.5,,,
,,2020 - 2021,,,,9,0,0,,,
,4. Karimnagar,2004 - 2005,84,,0,,,,,,
,,2005 - 2006,107,,0,,,,,,
,,2009 - 2010,40,118,2.95,,,,,,
,,2010 - 2011,12,25,2.08,,,,,,
,,2011 - 2012,12,26,2.17,,,,,,
,,2015 - 2016,,,,6,21,3.5,,,
,,2021 - 2022,,,,1,4,4,,,
,5. Khammam,2020 - 2021,,,,12,0,0,1,0,0
,6. Mahbubnagar,2021 - 2022,,,,1,4,4,,,
,7. Mancherial,2021 - 2022,,,,2,8,4,,,
,8. Medak,2004 - 2005,187,,0,,,,,,
,,2005 - 2006,276,,0,,,,,,
,,2009 - 2010,359,"1,305.00",3.64,,,,,,
,,2010 - 2011,313,765,2.44,,,,,,
,,2011 - 2012,161,361,2.24,,,,,,
,,2015 - 2016,,,,109,555,5.09,,,
,,2019 - 2020,,,,2,9,4.5,,,
,9. Narayanapet,2021 - 2022,,,,3,12,4,,,
,10. Nirmal,2016 - 2017,,,,112,95,0.85,,,
,,2017 - 2018,,,,69,97,1.41,,,
,,2018 - 2019,,,,20,51,2.55,,,
,,2019 - 2020,,,,5,24,4.8,,,
,,2020 - 2021,,,,5,0,0,,,
,11. Nizamabad,2004 - 2005,143,,0,,,,,,
,,2005 - 2006,252,,0,,,,,,
,,2009 - 2010,131,142,1.08,,,,,,
,,2010 - 2011,104,114,1.1,,,,,,
,,2011 - 2012,165,346,2.1,,,,,,
,,2015 - 2016,,,,63,223,3.54,,,
,,2016 - 2017,,,,42,268,6.38,,,
,,2017 - 2018,,,,22,31,1.41,,,
,,2018 - 2019,,,,32,82,2.56,,,
,,2019 - 2020,,,,3,11,3.67,,,
,,2020 - 2021,,,,2,0,0,,,
,,2021 - 2022,,,,1,4,4,,,
,12. Peddapalli,2021 - 2022,,,,1,4,4,,,
,13. Rajanna,2020 - 2021,,,,4,0,0,,,
,,2021 - 2022,,,,1,4,4,,,
,14. Rangareddi,2020 - 2021,,,,,,,2,0,0
,15. Sangareddy,2016 - 2017,,,,14,39,2.79,,,
,,2017 - 2018,,,,5,7,1.4,,,
,,2018 - 2019,,,,2,5,2.5,,,
,,2020 - 2021,,,,26,0,0,,,
,,2021 - 2022,,,,28,91,3.25,,,
,,2022 - 2023,,,,2,6,3,1,3,3
,16. Siddipet,2016 - 2017,,,,15,42,2.8,,,
,,2017 - 2018,,,,36,50,1.39,,,
,,2018 - 2019,,,,21,54,2.57,,,
,,2019 - 2020,,,,10,50,5,,,
,,2020 - 2021,,,,18,0,0,,,
,,2021 - 2022,,,,15,79,5.27,,,
,17. Vikarabad,2020 - 2021,,,,5,0,0,,,
,,2021 - 2022,,,,2,8,4,2,4,2
,18. Wanaparthy,2020 - 2021,,,,,,,1,0,0
,19. Warangal,2020 - 2021,,,,1,0,0,,,
,20. Warangal urban,2017 - 2018,,,,54,76,1.41,,,
,,2018 - 2019,,,,1,2,2,,,
16. Uttar Pradesh,1. Agra,2004 - 2005,33,143,4.33,,,,,,
,,2005 - 2006,12,52,4.33,,,,,,
,,2006 - 2007,,,,26,114,4.38,,,
,,2008 - 2009,,,,36,212,5.89,,,
,,2009 - 2010,,,,26,139,5.35,,,
,,2011 - 2012,,,,44,227,5.16,,,
,,2012 - 2013,,,,50,260,5.2,,,
,,2013 - 2014,,,,29,170,5.86,,,
,,2014 - 2015,,,,9,52,5.78,,,
,,2015 - 2016,,,,5,29,5.8,,,
,,2016 - 2017,,,,6,38,6.33,,,
,,2017 - 2018,,,,20,107,5.35,,,
,,2018 - 2019,,,,13,86,6.62,,,
,,2019 - 2020,,,,6,36,6,,,
,,2020 - 2021,,,,10,59,5.9,,,
,,2021 - 2022,,,,11,68,6.18,,,
,,2022 - 2023,,,,12,73,6.08,,,
,2. Aligarh,2004 - 2005,86,373,4.34,,,,,,
,,2005 - 2006,170,741,4.36,,,,,,
,,2006 - 2007,,,,93,409,4.4,,,
,,2008 - 2009,,,,165,972,5.89,,,
,,2009 - 2010,,,,158,839,5.31,,,
,,2011 - 2012,,,,218,"1,127.00",5.17,,,
,,2012 - 2013,,,,276,"1,434.00",5.2,,,
,,2013 - 2014,,,,209,"1,225.00",5.86,,,
,,2014 - 2015,,,,329,"1,906.00",5.79,,,
,,2015 - 2016,,,,102,588,5.76,,,
,,2016 - 2017,,,,201,"1,278.00",6.36,,,
,,2017 - 2018,,,,223,"1,194.00",5.35,,,
,,2018 - 2019,,,,213,"1,411.00",6.62,,,
,,2019 - 2020,,,,212,"1,272.00",6,,,
,,2020 - 2021,,,,190,"1,128.00",5.94,,,
,,2021 - 2022,,,,179,"1,101.00",6.15,,,
,,2022 - 2023,,,,203,"1,231.00",6.06,,,
,3. Allahabad,2004 - 2005,11,48,4.36,,,,,,
,,2005 - 2006,7,31,4.43,,,,,,
,,2006 - 2007,,,,47,207,4.4,,,
,,2008 - 2009,,,,25,147,5.88,,,
,,2009 - 2010,,,,51,271,5.31,,,
,,2011 - 2012,,,,10,52,5.2,,,
,,2012 - 2013,,,,10,52,5.2,,,
,,2013 - 2014,,,,18,105,5.83,,,
,,2014 - 2015,,,,22,128,5.82,,,
,,2015 - 2016,,,,2,12,6,,,
,,2016 - 2017,,,,16,102,6.38,,,
,,2017 - 2018,,,,16,86,5.38,,,
,,2018 - 2019,,,,16,106,6.63,,,
,,2019 - 2020,,,,13,78,6,,,
,,2020 - 2021,,,,11,65,5.91,,,
,,2021 - 2022,,,,13,80,6.15,,,
,,2022 - 2023,,,,14,85,6.07,,,
,4. Ambedkar nagar,2004 - 2005,4,17,4.25,,,,,,
,,2005 - 2006,19,83,4.37,,,,,,
,,2006 - 2007,,,,8,85,10.63,,,
,,2008 - 2009,,,,16,94,5.88,,,
,,2009 - 2010,,,,45,239,5.31,,,
,,2011 - 2012,,,,39,202,5.18,,,
,,2012 - 2013,,,,26,135,5.19,,,
,,2013 - 2014,,,,94,551,5.86,,,
,,2014 - 2015,,,,157,910,5.8,,,
,,2015 - 2016,,,,6,34,5.67,,,
,,2016 - 2017,,,,64,407,6.36,,,
,,2017 - 2018,,,,69,370,5.36,,,
,,2018 - 2019,,,,78,517,6.63,,,
,,2019 - 2020,,,,99,594,6,,,
,,2020 - 2021,,,,63,374,5.94,,,
,,2021 - 2022,,,,75,461,6.15,,,
,,2022 - 2023,,,,77,467,6.06,,,
,5. Amethi,2012 - 2013,,,,15,78,5.2,,,
,,2013 - 2014,,,,23,135,5.87,,,
,,2014 - 2015,,,,37,214,5.78,,,
,,2015 - 2016,,,,1,6,6,,,
,,2016 - 2017,,,,49,312,6.37,,,
,,2017 - 2018,,,,28,150,5.36,,,
,,2018 - 2019,,,,28,185,6.61,,,
,,2019 - 2020,,,,32,192,6,,,
,,2020 - 2021,,,,36,214,5.94,,,
,,2021 - 2022,,,,38,234,6.16,,,
,,2022 - 2023,,,,50,303,6.06,,,
,6. Amroha,2008 - 2009,,,,3,18,6,,,
,,2009 - 2010,,,,2,11,5.5,,,
,7. Auraiya,2004 - 2005,41,178,4.34,,,,,,
,,2005 - 2006,"1,841.00","8,022.00",4.36,,,,,,
,,2006 - 2007,,,,"2,681.00","11,788.00",4.4,,,
,,2008 - 2009,,,,"2,538.00","14,949.00",5.89,,,
,,2009 - 2010,,,,"2,092.00","11,114.00",5.31,,,
,,2011 - 2012,,,,"2,130.00","11,008.00",5.17,,,
,,2012 - 2013,,,,"2,213.00","11,494.00",5.19,,,
,,2013 - 2014,,,,"2,886.00","16,909.00",5.86,,,
,,2014 - 2015,,,,"2,473.00","14,325.00",5.79,,,
,,2015 - 2016,,,,"2,485.00","14,320.00",5.76,,,
,,2016 - 2017,,,,"2,437.00","15,498.00",6.36,,,
,,2017 - 2018,,,,"2,499.00","13,383.00",5.36,,,
,,2018 - 2019,,,,"2,315.00","17,363.00",7.5,,,
,,2019 - 2020,,,,"2,442.00","14,656.00",6,,,
,,2020 - 2021,,,,"2,436.00","14,461.00",5.94,,,
,,2021 - 2022,,,,"2,426.00","14,923.00",6.15,,,
,,2022 - 2023,,,,"2,424.00","14,696.00",6.06,,,
,8. Azamgarh,2004 - 2005,21,91,4.33,,,,,,
,,2005 - 2006,25,109,4.36,,,,,,
,,2006 - 2007,,,,57,251,4.4,,,
,,2008 - 2009,,,,36,212,5.89,,,
,,2009 - 2010,,,,28,149,5.32,,,
,,2011 - 2012,,,,33,171,5.18,,,
,,2012 - 2013,,,,31,161,5.19,,,
,,2013 - 2014,,,,35,205,5.86,,,
,,2014 - 2015,,,,64,371,5.8,,,
,,2015 - 2016,,,,19,110,5.79,,,
,,2016 - 2017,,,,34,216,6.35,,,
,,2017 - 2018,,,,37,198,5.35,,,
,,2018 - 2019,,,,36,239,6.64,,,
,,2019 - 2020,,,,30,180,6,,,
,,2020 - 2021,,,,32,190,5.94,,,
,,2021 - 2022,,,,29,178,6.14,,,
,,2022 - 2023,,,,41,249,6.07,,,
,9. Bahraich,2004 - 2005,1,4,4,,,,,,
,,2005 - 2006,94,410,4.36,,,,,,
,,2006 - 2007,,,,86,378,4.4,,,
,,2008 - 2009,,,,125,736,5.89,,,
,,2009 - 2010,,,,77,409,5.31,,,
,,2011 - 2012,,,,149,770,5.17,,,
,,2012 - 2013,,,,135,701,5.19,,,
,,2013 - 2014,,,,154,902,5.86,,,
,,2014 - 2015,,,,172,996,5.79,,,
,,2015 - 2016,,,,174,"1,003.00",5.76,,,
,,2016 - 2017,,,,145,922,6.36,,,
,,2017 - 2018,,,,156,835,5.35,,,
,,2018 - 2019,,,,158,"1,047.00",6.63,,,
,,2019 - 2020,,,,147,883,6.01,,,
,,2020 - 2021,,,,156,926,5.94,,,
,,2021 - 2022,,,,127,781,6.15,,,
,,2022 - 2023,,,,149,903,6.06,,,
,10. Ballia,2004 - 2005,28,121,4.32,,,,,,
,,2005 - 2006,31,135,4.35,,,,,,
,,2006 - 2007,,,,58,255,4.4,,,
,,2008 - 2009,,,,53,312,5.89,,,
,,2009 - 2010,,,,48,255,5.31,,,
,,2011 - 2012,,,,42,217,5.17,,,
,,2012 - 2013,,,,75,389,5.19,,,
,,2013 - 2014,,,,105,615,5.86,,,
,,2014 - 2015,,,,98,567,5.79,,,
,,2015 - 2016,,,,74,426,5.76,,,
,,2016 - 2017,,,,79,502,6.35,,,
,,2017 - 2018,,,,92,493,5.36,,,
,,2018 - 2019,,,,90,596,6.62,,,
,,2019 - 2020,,,,64,384,6,,,
,,2020 - 2021,,,,80,475,5.94,,,
,,2021 - 2022,,,,90,554,6.16,,,
,,2022 - 2023,,,,83,503,6.06,,,
,11. Balrampur,2004 - 2005,4,18,4.5,,,,,,
,,2005 - 2006,77,335,4.35,,,,,,
,,2006 - 2007,,,,39,172,4.41,,,
,,2008 - 2009,,,,29,171,5.9,,,
,,2009 - 2010,,,,56,298,5.32,,,
,,2011 - 2012,,,,43,222,5.16,,,
,,2012 - 2013,,,,46,239,5.2,,,
,,2013 - 2014,,,,41,240,5.85,,,
,,2014 - 2015,,,,25,145,5.8,,,
,,2016 - 2017,,,,31,197,6.35,,,
,,2017 - 2018,,,,29,155,5.34,,,
,,2018 - 2019,,,,25,166,6.64,,,
,,2019 - 2020,,,,33,198,6,,,
,,2020 - 2021,,,,24,142,5.92,,,
,,2021 - 2022,,,,28,172,6.14,,,
,,2022 - 2023,,,,28,170,6.07,,,
,12. Banda,2005 - 2006,1,5,5,,,,,,
,,2008 - 2009,,,,10,59,5.9,,,
,,2009 - 2010,,,,11,58,5.27,,,
,,2011 - 2012,,,,3,16,5.33,,,
,,2012 - 2013,,,,3,16,5.33,,,
,,2013 - 2014,,,,2,12,6,,,
,,2015 - 2016,,,,22,127,5.77,,,
,,2016 - 2017,,,,1,6,6,,,
,,2017 - 2018,,,,3,16,5.33,,,
,,2018 - 2019,,,,6,40,6.67,,,
,,2019 - 2020,,,,5,30,6,,,
,,2020 - 2021,,,,4,24,6,,,
,,2021 - 2022,,,,2,12,6,,,
,,2022 - 2023,,,,4,24,6,,,
,13. Barabanki,2004 - 2005,426,"1,845.00",4.33,,,,,,
,,2005 - 2006,214,932,4.36,,,,,,
,,2006 - 2007,,,,267,"1,174.00",4.4,,,
,,2008 - 2009,,,,269,"1,585.00",5.89,,,
,,2009 - 2010,,,,307,"1,631.00",5.31,,,
,,2011 - 2012,,,,335,"1,731.00",5.17,,,
,,2012 - 2013,,,,319,"1,657.00",5.19,,,
,,2013 - 2014,,,,359,"2,103.00",5.86,,,
,,2014 - 2015,,,,467,"2,705.00",5.79,,,
,,2015 - 2016,,,,325,"1,873.00",5.76,,,
,,2016 - 2017,,,,373,"2,372.00",6.36,,,
,,2017 - 2018,,,,369,"1,976.00",5.36,,,
,,2018 - 2019,,,,275,"1,822.00",6.63,,,
,,2019 - 2020,,,,362,"2,173.00",6,,,
,,2020 - 2021,,,,374,"2,220.00",5.94,,,
,,2021 - 2022,,,,313,"1,925.00",6.15,,,
,,2022 - 2023,,,,331,"2,007.00",6.06,,,
,14. Bareilly,2004 - 2005,19,82,4.32,,,,,,
,,2005 - 2006,155,675,4.35,,,,,,
,,2006 - 2007,,,,152,668,4.39,,,
,,2008 - 2009,,,,186,"1,096.00",5.89,,,
,,2009 - 2010,,,,169,898,5.31,,,
,,2011 - 2012,,,,105,543,5.17,,,
,,2012 - 2013,,,,159,826,5.19,,,
,,2013 - 2014,,,,91,533,5.86,,,
,,2014 - 2015,,,,80,463,5.79,,,
,,2015 - 2016,,,,75,432,5.76,,,
,,2016 - 2017,,,,102,649,6.36,,,
,,2017 - 2018,,,,101,541,5.36,,,
,,2018 - 2019,,,,90,596,6.62,,,
,,2019 - 2020,,,,90,540,6,,,
,,2020 - 2021,,,,116,689,5.94,,,
,,2021 - 2022,,,,100,615,6.15,,,
,,2022 - 2023,,,,99,600,6.06,,,
,15. Basti,2004 - 2005,2,9,4.5,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,20,88,4.4,,,
,,2008 - 2009,,,,26,153,5.88,,,
,,2009 - 2010,,,,41,218,5.32,,,
,,2011 - 2012,,,,36,186,5.17,,,
,,2012 - 2013,,,,36,187,5.19,,,
,,2013 - 2014,,,,41,240,5.85,,,
,,2014 - 2015,,,,47,272,5.79,,,
,,2015 - 2016,,,,13,75,5.77,,,
,,2016 - 2017,,,,38,242,6.37,,,
,,2017 - 2018,,,,35,187,5.34,,,
,,2018 - 2019,,,,35,232,6.63,,,
,,2019 - 2020,,,,38,228,6,,,
,,2020 - 2021,,,,42,249,5.93,,,
,,2021 - 2022,,,,30,185,6.17,,,
,,2022 - 2023,,,,36,218,6.06,,,
,16. Bijnor,2006 - 2007,,,,1,4,4,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,2,11,5.5,,,
,17. Budaun,2004 - 2005,307,"1,330.00",4.33,,,,,,
,,2005 - 2006,560,"2,440.00",4.36,,,,,,
,,2006 - 2007,,,,427,"1,878.00",4.4,,,
,,2008 - 2009,,,,762,"4,488.00",5.89,,,
,,2009 - 2010,,,,752,"3,996.00",5.31,,,
,,2011 - 2012,,,,846,"4,372.00",5.17,,,
,,2012 - 2013,,,,683,"3,548.00",5.19,,,
,,2013 - 2014,,,,738,"4,324.00",5.86,,,
,,2014 - 2015,,,,770,"4,460.00",5.79,,,
,,2015 - 2016,,,,799,"4,604.00",5.76,,,
,,2016 - 2017,,,,800,"5,088.00",6.36,,,
,,2017 - 2018,,,,758,"4,059.00",5.35,,,
,,2018 - 2019,,,,773,"5,121.00",6.62,,,
,,2019 - 2020,,,,639,"3,835.00",6,,,
,,2020 - 2021,,,,754,"4,476.00",5.94,,,
,,2021 - 2022,,,,745,"4,583.00",6.15,,,
,,2022 - 2023,,,,734,"4,450.00",6.06,,,
,18. Bulandshahr,2004 - 2005,21,91,4.33,,,,,,
,,2005 - 2006,17,74,4.35,,,,,,
,,2006 - 2007,,,,83,365,4.4,,,
,,2008 - 2009,,,,23,135,5.87,,,
,,2009 - 2010,,,,13,69,5.31,,,
,,2011 - 2012,,,,84,434,5.17,,,
,,2012 - 2013,,,,28,146,5.21,,,
,,2013 - 2014,,,,15,88,5.87,,,
,,2014 - 2015,,,,23,133,5.78,,,
,,2015 - 2016,,,,48,277,5.77,,,
,,2016 - 2017,,,,60,382,6.37,,,
,,2017 - 2018,,,,35,187,5.34,,,
,,2018 - 2019,,,,36,238,6.61,,,
,,2019 - 2020,,,,39,234,6,,,
,,2020 - 2021,,,,44,261,5.93,,,
,,2021 - 2022,,,,47,289,6.15,,,
,,2022 - 2023,,,,40,243,6.08,,,
,19. Chandauli,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,15,66,4.4,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,1,5,5,,,
,,2014 - 2015,,,,2,12,6,,,
,,2015 - 2016,,,,2,12,6,,,
,,2017 - 2018,,,,1,5,5,,,
,,2018 - 2019,,,,1,7,7,,,
,,2019 - 2020,,,,1,6,6,,,
,,2020 - 2021,,,,2,12,6,,,
,,2021 - 2022,,,,1,6,6,,,
,,2022 - 2023,,,,1,6,6,,,
,20. Chitrakoot,2009 - 2010,,,,1,5,5,,,
,,2011 - 2012,,,,1,5,5,,,
,21. Deoria,2005 - 2006,8,34,4.25,,,,,,
,,2006 - 2007,,,,25,110,4.4,,,
,,2008 - 2009,,,,8,47,5.88,,,
,,2009 - 2010,,,,10,53,5.3,,,
,,2011 - 2012,,,,7,36,5.14,,,
,,2012 - 2013,,,,5,26,5.2,,,
,,2013 - 2014,,,,6,35,5.83,,,
,,2014 - 2015,,,,14,81,5.79,,,
,,2015 - 2016,,,,4,23,5.75,,,
,,2016 - 2017,,,,8,51,6.38,,,
,,2017 - 2018,,,,7,37,5.29,,,
,,2018 - 2019,,,,8,53,6.63,,,
,,2019 - 2020,,,,7,42,6,,,
,,2020 - 2021,,,,8,47,5.88,,,
,,2021 - 2022,,,,7,43,6.14,,,
,,2022 - 2023,,,,6,36,6,,,
,22. Etah,2004 - 2005,"10,490.00","45,431.00",4.33,,,,,,
,,2005 - 2006,"7,298.00","31,799.00",4.36,,,,,,
,,2006 - 2007,,,,"8,101.00","35,620.00",4.4,,,
,,2008 - 2009,,,,"7,664.00","45,141.00",5.89,,,
,,2009 - 2010,,,,"4,318.00","22,942.00",5.31,,,
,,2011 - 2012,,,,"4,961.00","25,638.00",5.17,,,
,,2012 - 2013,,,,"4,364.00","22,667.00",5.19,,,
,,2013 - 2014,,,,"4,695.00","27,508.00",5.86,,,
,,2014 - 2015,,,,"4,314.00","24,988.00",5.79,,,
,,2015 - 2016,,,,"4,733.00","27,275.00",5.76,,,
,,2016 - 2017,,,,"4,276.00","27,194.00",6.36,,,
,,2017 - 2018,,,,"4,476.00","23,970.00",5.36,,,
,,2018 - 2019,,,,"4,499.00","29,807.00",6.63,,,
,,2019 - 2020,,,,"4,460.00","26,768.00",6,,,
,,2020 - 2021,,,,"4,489.00","26,648.00",5.94,,,
,,2021 - 2022,,,,"4,440.00","27,312.00",6.15,,,
,,2022 - 2023,,,,"4,473.00","27,118.00",6.06,,,
,23. Etawah,2004 - 2005,"1,578.00","6,834.00",4.33,,,,,,
,,2005 - 2006,"2,443.00","10,645.00",4.36,,,,,,
,,2006 - 2007,,,,"2,889.00","12,703.00",4.4,,,
,,2008 - 2009,,,,"3,408.00","20,073.00",5.89,,,
,,2009 - 2010,,,,"3,092.00","16,427.00",5.31,,,
,,2011 - 2012,,,,"3,088.00","15,959.00",5.17,,,
,,2012 - 2013,,,,"4,304.00","22,355.00",5.19,,,
,,2013 - 2014,,,,"4,240.00","24,842.00",5.86,,,
,,2014 - 2015,,,,"4,214.00","24,409.00",5.79,,,
,,2015 - 2016,,,,"3,884.00","22,382.00",5.76,,,
,,2016 - 2017,,,,"4,124.00","26,227.00",6.36,,,
,,2017 - 2018,,,,"4,153.00","22,241.00",5.36,,,
,,2018 - 2019,,,,"3,980.00","24,344.00",6.12,,,
,,2019 - 2020,,,,"4,218.00","25,315.00",6,,,
,,2020 - 2021,,,,"4,072.00","24,172.00",5.94,,,
,,2021 - 2022,,,,"4,109.00","25,276.00",6.15,,,
,,2022 - 2023,,,,"4,106.00","24,894.00",6.06,,,
,24. Faizabad,2004 - 2005,14,61,4.36,,,,,,
,,2005 - 2006,166,723,4.36,,,,,,
,,2006 - 2007,,,,65,236,3.63,,,
,,2008 - 2009,,,,79,465,5.89,,,
,,2009 - 2010,,,,30,160,5.33,,,
,,2011 - 2012,,,,151,780,5.17,,,
,,2012 - 2013,,,,110,571,5.19,,,
,,2013 - 2014,,,,161,943,5.86,,,
,,2014 - 2015,,,,6,35,5.83,,,
,,2015 - 2016,,,,133,766,5.76,,,
,,2016 - 2017,,,,112,712,6.36,,,
,,2017 - 2018,,,,104,557,5.36,,,
,,2018 - 2019,,,,103,682,6.62,,,
,,2019 - 2020,,,,134,804,6,,,
,,2020 - 2021,,,,117,695,5.94,,,
,,2021 - 2022,,,,114,701,6.15,,,
,,2022 - 2023,,,,114,691,6.06,,,
,25. Farrukhabad,2004 - 2005,"1,084.00","4,695.00",4.33,,,,,,
,,2005 - 2006,"1,160.00","5,054.00",4.36,,,,,,
,,2006 - 2007,,,,994,"4,371.00",4.4,,,
,,2008 - 2009,,,,"1,208.00","7,115.00",5.89,,,
,,2009 - 2010,,,,"1,270.00","6,748.00",5.31,,,
,,2011 - 2012,,,,262,"1,354.00",5.17,,,
,,2012 - 2013,,,,"1,227.00","6,373.00",5.19,,,
,,2013 - 2014,,,,"1,373.00","8,045.00",5.86,,,
,,2014 - 2015,,,,"1,125.00","6,516.00",5.79,,,
,,2015 - 2016,,,,"1,164.00","6,708.00",5.76,,,
,,2016 - 2017,,,,"1,273.00","8,096.00",6.36,,,
,,2017 - 2018,,,,"1,253.00","6,710.00",5.36,,,
,,2018 - 2019,,,,"1,238.00","8,202.00",6.63,,,
,,2019 - 2020,,,,"1,252.00","7,514.00",6,,,
,,2020 - 2021,,,,"1,330.00","7,895.00",5.94,,,
,,2021 - 2022,,,,"1,236.00","7,603.00",6.15,,,
,,2022 - 2023,,,,"1,262.00","7,651.00",6.06,,,
,26. Fatehpur,2004 - 2005,308,"1,334.00",4.33,,,,,,
,,2005 - 2006,389,"1,695.00",4.36,,,,,,
,,2006 - 2007,,,,352,"1,548.00",4.4,,,
,,2008 - 2009,,,,398,"2,344.00",5.89,,,
,,2009 - 2010,,,,611,"3,246.00",5.31,,,
,,2011 - 2012,,,,819,"4,232.00",5.17,,,
,,2012 - 2013,,,,951,"4,940.00",5.19,,,
,,2013 - 2014,,,,"1,009.00","5,912.00",5.86,,,
,,2014 - 2015,,,,817,"4,732.00",5.79,,,
,,2015 - 2016,,,,706,"4,068.00",5.76,,,
,,2016 - 2017,,,,"1,131.00","7,193.00",6.36,,,
,,2017 - 2018,,,,923,"4,943.00",5.36,,,
,,2018 - 2019,,,,917,"6,075.00",6.62,,,
,,2019 - 2020,,,,899,"5,396.00",6,,,
,,2020 - 2021,,,,915,"5,432.00",5.94,,,
,,2021 - 2022,,,,957,"5,887.00",6.15,,,
,,2022 - 2023,,,,922,"5,590.00",6.06,,,
,27. Firozabad,2004 - 2005,"1,180.00","5,110.00",4.33,,,,,,
,,2005 - 2006,"3,834.00","16,706.00",4.36,,,,,,
,,2006 - 2007,,,,"4,724.00","20,771.00",4.4,,,
,,2008 - 2009,,,,"4,276.00","25,186.00",5.89,,,
,,2009 - 2010,,,,"4,062.00","21,581.00",5.31,,,
,,2011 - 2012,,,,"3,963.00","20,481.00",5.17,,,
,,2012 - 2013,,,,"4,811.00","24,989.00",5.19,,,
,,2013 - 2014,,,,"4,676.00","27,397.00",5.86,,,
,,2014 - 2015,,,,"3,927.00","22,747.00",5.79,,,
,,2015 - 2016,,,,"4,083.00","23,529.00",5.76,,,
,,2016 - 2017,,,,"4,433.00","28,192.00",6.36,,,
,,2017 - 2018,,,,"4,386.00","23,489.00",5.36,,,
,,2018 - 2019,,,,"4,301.00","28,496.00",6.63,,,
,,2019 - 2020,,,,"4,226.00","25,363.00",6,,,
,,2020 - 2021,,,,"4,286.00","25,443.00",5.94,,,
,,2021 - 2022,,,,"4,326.00","26,611.00",6.15,,,
,,2022 - 2023,,,,"4,305.00","26,100.00",6.06,,,
,28. Gautam buddha nagar,2005 - 2006,2,9,4.5,,,,,,
,,2008 - 2009,,,,1,6,6,,,
,,2009 - 2010,,,,2,11,5.5,,,
,29. Ghaziabad,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,1,4,4,,,
,,2008 - 2009,,,,20,118,5.9,,,
,,2009 - 2010,,,,6,32,5.33,,,
,,2011 - 2012,,,,3,15,5,,,
,30. Ghazipur,2005 - 2006,12,52,4.33,,,,,,
,,2006 - 2007,,,,38,167,4.39,,,
,,2008 - 2009,,,,11,65,5.91,,,
,,2009 - 2010,,,,12,64,5.33,,,
,,2011 - 2012,,,,10,52,5.2,,,
,,2012 - 2013,,,,8,41,5.13,,,
,,2013 - 2014,,,,13,76,5.85,,,
,,2014 - 2015,,,,7,41,5.86,,,
,,2015 - 2016,,,,8,46,5.75,,,
,,2016 - 2017,,,,9,57,6.33,,,
,,2017 - 2018,,,,10,54,5.4,,,
,,2018 - 2019,,,,9,60,6.67,,,
,,2019 - 2020,,,,11,66,6,,,
,,2020 - 2021,,,,12,71,5.92,,,
,,2021 - 2022,,,,10,62,6.2,,,
,,2022 - 2023,,,,36,218,6.06,,,
,31. Gonda,2004 - 2005,30,130,4.33,,,,,,
,,2005 - 2006,13,56,4.31,,,,,,
,,2006 - 2007,,,,13,57,4.38,,,
,,2008 - 2009,,,,44,259,5.89,,,
,,2009 - 2010,,,,86,457,5.31,,,
,,2011 - 2012,,,,54,279,5.17,,,
,,2012 - 2013,,,,61,317,5.2,,,
,,2013 - 2014,,,,68,399,5.87,,,
,,2014 - 2015,,,,47,272,5.79,,,
,,2015 - 2016,,,,34,196,5.76,,,
,,2016 - 2017,,,,53,337,6.36,,,
,,2017 - 2018,,,,53,284,5.36,,,
,,2018 - 2019,,,,47,311,6.62,,,
,,2019 - 2020,,,,47,282,6,,,
,,2020 - 2021,,,,76,451,5.93,,,
,,2021 - 2022,,,,55,338,6.15,,,
,,2022 - 2023,,,,56,340,6.07,,,
,32. Gorakhpur,2004 - 2005,2,9,4.5,,,,,,
,,2005 - 2006,2,9,4.5,,,,,,
,,2006 - 2007,,,,3,13,4.33,,,
,,2008 - 2009,,,,2,12,6,,,
,,2009 - 2010,,,,3,16,5.33,,,
,,2011 - 2012,,,,26,134,5.15,,,
,,2012 - 2013,,,,2,11,5.5,,,
,,2013 - 2014,,,,1,6,6,,,
,,2014 - 2015,,,,1,6,6,,,
,,2015 - 2016,,,,2,12,6,,,
,,2016 - 2017,,,,1,6,6,,,
,,2017 - 2018,,,,1,5,5,,,
,,2018 - 2019,,,,1,7,7,,,
,,2019 - 2020,,,,1,6,6,,,
,,2020 - 2021,,,,1,6,6,,,
,,2021 - 2022,,,,1,6,6,,,
,,2022 - 2023,,,,1,6,6,,,
,33. Hamirpur,2005 - 2006,1,4,4,,,,,,
,,2008 - 2009,,,,20,118,5.9,,,
