State,District,Year,Cashewnut,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,"1,764.00",441,0.25,,,,,,
,,2019 - 2020,"1,482.00",330,0.22,,,,,,
,,2020 - 2021,"1,705.00",400,0.23,,,,,,
,,2021 - 2022,"1,681.00","1,134.00",0.67,,,,,,
,,2022 - 2023,"1,634.00",944,0.58,,,,,,
,25. The nilgiris,2000 - 2001,4,,0,,,,,,
,26. Theni,2000 - 2001,"2,175.00",836,0.38,,,,,,
,,2002 - 2003,"4,045.00","1,223.00",0.3,,,,,,
,,2003 - 2004,"4,385.00","1,514.00",0.35,,,,,,
,,2004 - 2005,"4,840.00","1,246.00",0.26,,,,,,
,,2005 - 2006,"5,520.00","1,413.00",0.26,,,,,,
,,2006 - 2007,"5,568.00","2,614.00",0.47,,,,,,
,,2007 - 2008,"5,818.00","3,138.00",0.54,,,,,,
,,2008 - 2009,"5,923.00","2,855.00",0.48,,,,,,
,,2009 - 2010,"5,953.00","3,000.00",0.5,,,,,,
,,2011 - 2012,"5,520.00","5,981.00",1.08,,,,,,
,,2013 - 2014,"4,729.00","1,820.00",0.38,,,,,,
,,2014 - 2015,"3,961.00",860,0.22,,,,,,
,,2015 - 2016,"3,548.00","1,114.00",0.31,,,,,,
,,2016 - 2017,"3,502.00",499,0.14,,,,,,
,,2017 - 2018,"3,418.00",,0,,,,,,
,,2018 - 2019,"3,499.00","1,019.00",0.29,,,,,,
,,2019 - 2020,"3,054.00","1,514.00",0.5,,,,,,
,,2020 - 2021,"2,835.00",210,0.07,,,,,,
,,2021 - 2022,"3,211.00","2,455.00",0.76,,,,,,
,,2022 - 2023,"3,202.00",280,0.09,,,,,,
,27. Thenkasi,2020 - 2021,"1,767.00",240,0.14,,,,,,
,,2021 - 2022,"1,615.00",240,0.15,,,,,,
,,2022 - 2023,"1,379.00",83,0.06,,,,,,
,28. Thiruvallur,2000 - 2001,133,44,0.33,,,,,,
,,2002 - 2003,222,67,0.3,,,,,,
,,2003 - 2004,195,67,0.34,,,,,,
,,2004 - 2005,234,85,0.36,,,,,,
,,2005 - 2006,365,138,0.38,,,,,,
,,2006 - 2007,346,170,0.49,,,,,,
,,2007 - 2008,240,137,0.57,,,,,,
,,2008 - 2009,246,128,0.52,,,,,,
,,2009 - 2010,188,94,0.5,,,,,,
,,2011 - 2012,146,38,0.26,,,,,,
,,2013 - 2014,104,30,0.29,,,,,,
,,2014 - 2015,102,42,0.41,,,,,,
,,2015 - 2016,90,28,0.31,,,,,,
,,2016 - 2017,161,19,0.12,,,,,,
,,2017 - 2018,157,,0,,,,,,
,,2018 - 2019,166,37,0.22,,,,,,
,,2019 - 2020,147,45,0.31,,,,,,
,,2020 - 2021,98,29,0.3,,,,,,
,,2021 - 2022,167,71,0.43,,,,,,
,,2022 - 2023,156,49,0.31,,,,,,
,29. Thiruvarur,2000 - 2001,1,,0,,,,,,
,,2002 - 2003,21,6,0.29,,,,,,
,,2003 - 2004,20,7,0.35,,,,,,
,,2004 - 2005,16,6,0.38,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,
,,2006 - 2007,5,2,0.4,,,,,,
,,2007 - 2008,3,2,0.67,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,3,1,0.33,,,,,,
,,2017 - 2018,4,,0,,,,,,
,,2018 - 2019,8,2,0.25,,,,,,
,,2019 - 2020,11,3,0.27,,,,,,
,,2020 - 2021,10,3,0.3,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,
,,2022 - 2023,12,4,0.33,,,,,,
,30. Thoothukudi,2000 - 2001,139,53,0.38,,,,,,
,,2002 - 2003,911,275,0.3,,,,,,
,,2003 - 2004,749,259,0.35,,,,,,
,,2004 - 2005,824,298,0.36,,,,,,
,,2005 - 2006,811,307,0.38,,,,,,
,,2006 - 2007,839,382,0.46,,,,,,
,,2007 - 2008,789,451,0.57,,,,,,
,,2008 - 2009,817,426,0.52,,,,,,
,,2009 - 2010,713,357,0.5,,,,,,
,,2011 - 2012,733,193,0.26,,,,,,
,,2013 - 2014,722,206,0.29,,,,,,
,,2014 - 2015,693,285,0.41,,,,,,
,,2015 - 2016,592,112,0.19,,,,,,
,,2016 - 2017,594,20,0.03,,,,,,
,,2017 - 2018,548,,0,,,,,,
,,2018 - 2019,502,147,0.29,,,,,,
,,2019 - 2020,487,350,0.72,,,,,,
,,2020 - 2021,426,128,0.3,,,,,,
,,2021 - 2022,433,184,0.42,,,,,,
,,2022 - 2023,417,131,0.31,,,,,,
,31. Tiruchirappalli,2000 - 2001,102,32,0.31,,,,,,
,,2002 - 2003,770,233,0.3,,,,,,
,,2003 - 2004,786,271,0.34,,,,,,
,,2004 - 2005,800,289,0.36,,,,,,
,,2005 - 2006,781,295,0.38,,,,,,
,,2006 - 2007,781,355,0.45,,,,,,
,,2007 - 2008,801,458,0.57,,,,,,
,,2008 - 2009,776,390,0.5,,,,,,
,,2009 - 2010,711,356,0.5,,,,,,
,,2011 - 2012,633,167,0.26,,,,,,
,,2013 - 2014,604,172,0.28,,,,,,
,,2014 - 2015,593,244,0.41,,,,,,
,,2015 - 2016,582,94,0.16,,,,,,
,,2016 - 2017,573,,0,,,,,,
,,2017 - 2018,636,,0,,,,,,
,,2018 - 2019,658,145,0.22,,,,,,
,,2019 - 2020,671,387,0.58,,,,,,
,,2020 - 2021,738,221,0.3,,,,,,
,,2021 - 2022,772,328,0.42,,,,,,
,,2022 - 2023,752,285,0.38,,,,,,
,32. Tirunelveli,2000 - 2001,"1,150.00",442,0.38,,,,,,
,,2002 - 2003,"4,354.00","1,317.00",0.3,,,,,,
,,2003 - 2004,"4,577.00","1,124.00",0.25,,,,,,
,,2004 - 2005,"5,114.00","2,105.00",0.41,,,,,,
,,2005 - 2006,"5,019.00","3,458.00",0.69,,,,,,
,,2006 - 2007,"5,054.00","4,050.00",0.8,,,,,,
,,2007 - 2008,"5,107.00","4,328.00",0.85,,,,,,
,,2008 - 2009,"4,992.00","2,601.00",0.52,,,,,,
,,2009 - 2010,"4,833.00","1,460.00",0.3,,,,,,
,,2011 - 2012,"4,368.00",467,0.11,,,,,,
,,2013 - 2014,"3,795.00",243,0.06,,,,,,
,,2014 - 2015,"3,785.00",658,0.17,,,,,,
,,2015 - 2016,"3,869.00",588,0.15,,,,,,
,,2016 - 2017,"3,312.00",67,0.02,,,,,,
,,2017 - 2018,"3,087.00",,0,,,,,,
,,2018 - 2019,"2,990.00",143,0.05,,,,,,
,,2019 - 2020,"2,927.00",467,0.16,,,,,,
,,2020 - 2021,991,97,0.1,,,,,,
,,2021 - 2022,939,118,0.13,,,,,,
,,2022 - 2023,801,63,0.08,,,,,,
,33. Tirupathur,2021 - 2022,1,0,0,,,,,,
,34. Tiruppur,2008 - 2009,247,,0,,,,,,
,,2009 - 2010,239,120,0.5,,,,,,
,,2011 - 2012,262,69,0.26,,,,,,
,,2013 - 2014,203,58,0.29,,,,,,
,,2014 - 2015,221,91,0.41,,,,,,
,,2015 - 2016,184,56,0.3,,,,,,
,,2016 - 2017,165,19,0.12,,,,,,
,,2017 - 2018,162,,0,,,,,,
,,2018 - 2019,143,32,0.22,,,,,,
,,2019 - 2020,93,28,0.3,,,,,,
,,2020 - 2021,93,28,0.3,,,,,,
,,2021 - 2022,88,37,0.42,,,,,,
,,2022 - 2023,49,15,0.31,,,,,,
,35. Tiruvannamalai,2004 - 2005,12,4,0.33,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2007 - 2008,12,7,0.58,,,,,,
,,2008 - 2009,7,4,0.57,,,,,,
,,2009 - 2010,10,5,0.5,,,,,,
,,2011 - 2012,7,2,0.29,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,4,,0,,,,,,
,,2017 - 2018,8,,0,,,,,,
,,2018 - 2019,6,1,0.17,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,,2020 - 2021,4,1,0.25,,,,,,
,,2021 - 2022,25,11,0.44,,,,,,
,,2022 - 2023,18,6,0.33,,,,,,
,36. Vellore,2002 - 2003,29,9,0.31,,,,,,
,,2003 - 2004,37,13,0.35,,,,,,
,,2004 - 2005,45,16,0.36,,,,,,
,,2005 - 2006,23,9,0.39,,,,,,
,,2006 - 2007,24,11,0.46,,,,,,
,,2007 - 2008,26,15,0.58,,,,,,
,,2008 - 2009,26,14,0.54,,,,,,
,,2009 - 2010,23,12,0.52,,,,,,
,,2011 - 2012,11,3,0.27,,,,,,
,,2013 - 2014,9,3,0.33,,,,,,
,,2014 - 2015,6,2,0.33,,,,,,
,,2015 - 2016,17,5,0.29,,,,,,
,,2016 - 2017,12,1,0.08,,,,,,
,,2017 - 2018,15,,0,,,,,,
,,2018 - 2019,13,3,0.23,,,,,,
,,2019 - 2020,16,5,0.31,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,37. Villupuram,2000 - 2001,401,103,0.26,,,,,,
,,2002 - 2003,"4,606.00","2,299.00",0.5,,,,,,
,,2003 - 2004,"4,613.00","1,369.00",0.3,,,,,,
,,2004 - 2005,"4,788.00",949,0.2,,,,,,
,,2005 - 2006,"4,797.00","1,163.00",0.24,,,,,,
,,2006 - 2007,"4,849.00",768,0.16,,,,,,
,,2007 - 2008,"5,047.00","1,142.00",0.23,,,,,,
,,2008 - 2009,"5,256.00","3,317.00",0.63,,,,,,
,,2009 - 2010,"5,282.00","2,261.00",0.43,,,,,,
,,2011 - 2012,"4,715.00",610,0.13,,,,,,
,,2013 - 2014,"5,103.00","2,409.00",0.47,,,,,,
,,2014 - 2015,"4,893.00","3,363.00",0.69,,,,,,
,,2015 - 2016,"4,423.00","3,008.00",0.68,,,,,,
,,2016 - 2017,"4,216.00","2,605.00",0.62,,,,,,
,,2017 - 2018,"4,201.00",,0,,,,,,
,,2018 - 2019,"3,785.00","3,310.00",0.87,,,,,,
,,2019 - 2020,"3,633.00","2,358.00",0.65,,,,,,
,,2020 - 2021,"3,031.00","1,145.00",0.38,,,,,,
,,2021 - 2022,"3,260.00","9,773.00",3,,,,,,
,,2022 - 2023,"3,325.00","4,516.00",1.36,,,,,,
,38. Virudhunagar,2002 - 2003,34,10,0.29,,,,,,
,,2003 - 2004,66,23,0.35,,,,,,
,,2004 - 2005,72,26,0.36,,,,,,
,,2005 - 2006,82,31,0.38,,,,,,
,,2006 - 2007,63,29,0.46,,,,,,
,,2007 - 2008,69,39,0.57,,,,,,
,,2008 - 2009,73,38,0.52,,,,,,
,,2009 - 2010,65,33,0.51,,,,,,
,,2011 - 2012,67,18,0.27,,,,,,
,,2013 - 2014,36,10,0.28,,,,,,
,,2014 - 2015,41,17,0.41,,,,,,
,,2015 - 2016,46,14,0.3,,,,,,
,,2016 - 2017,35,4,0.11,,,,,,
,,2017 - 2018,49,,0,,,,,,
,,2018 - 2019,34,8,0.24,,,,,,
,,2019 - 2020,40,12,0.3,,,,,,
,,2020 - 2021,40,12,0.3,,,,,,
,,2021 - 2022,29,12,0.41,,,,,,
,,2022 - 2023,23,7,0.3,,,,,,
12. Telangana,1. Adilabad,2000 - 2001,24,4,0.17,,,,,,
,,2001 - 2002,24,2,0.08,,,,,,
,,2002 - 2003,86,19,0.22,,,,,,
,,2003 - 2004,24,4,0.17,,,,,,
,,2004 - 2005,24,8,0.33,,,,,,
,,2005 - 2006,60,21,0.35,,,,,,
,,2006 - 2007,62,11,0.18,,,,,,
,,2010 - 2011,29,10,0.34,,,,,,
,,2011 - 2012,29,23,0.79,,,,,,
,,2013 - 2014,,,,,,,27,17,0.63
,,2014 - 2015,,,,,,,12,7,0.58
,2. Bhadradri,2016 - 2017,,,,,,,"1,726.00",725,0.42
,,2017 - 2018,,,,,,,"1,476.00",447,0.3
,,2018 - 2019,,,,,,,"1,408.00",346,0.25
,,2019 - 2020,,,,,,,"1,399.00",428,0.31
,,2020 - 2021,,,,,,,"1,280.00",398,0.31
,,2021 - 2022,,,,,,,"5,477.00","3,407.00",0.62
,,2022 - 2023,,,,,,,"4,481.00",968,0.22
,3. Jangoan,2022 - 2023,,,,,,,1,0,0
,4. Jayashankar,2016 - 2017,,,,,,,27,11,0.41
,,2017 - 2018,,,,,,,22,7,0.32
,5. Kamareddy,2021 - 2022,,,,,,,2,1,0.5
,6. Khammam,2000 - 2001,"10,041.00","1,623.00",0.16,,,,,,
,,2001 - 2002,"10,314.00","1,082.00",0.1,,,,,,
,,2002 - 2003,"10,618.00","2,334.00",0.22,,,,,,
,,2003 - 2004,"10,477.00","1,836.00",0.18,,,,,,
,,2004 - 2005,"10,393.00","3,615.00",0.35,,,,,,
,,2005 - 2006,"9,276.00","3,195.00",0.34,,,,,,
,,2006 - 2007,"9,324.00","1,650.00",0.18,,,,,,
,,2008 - 2009,"7,903.00","3,680.00",0.47,,,,,,
,,2009 - 2010,"7,532.00","3,314.00",0.44,,,,,,
,,2010 - 2011,"6,564.00","2,046.00",0.31,,,,,,
,,2011 - 2012,"6,581.00","5,049.00",0.77,,,,,,
,,2013 - 2014,,,,,,,"4,208.00","2,693.00",0.64
,,2014 - 2015,,,,,,,"4,077.00","2,283.00",0.56
,,2015 - 2016,,,,,,,"3,036.00","2,146.00",0.71
,,2016 - 2017,,,,,,,85,36,0.42
,,2017 - 2018,,,,,,,76,23,0.3
,,2018 - 2019,,,,,,,76,19,0.25
,,2019 - 2020,,,,,,,76,23,0.3
,,2020 - 2021,,,,,,,160,50,0.31
,,2021 - 2022,,,,,,,204,134,0.66
,,2022 - 2023,,,,,,,180,115,0.64
,7. Komaram bheem asifabad,2018 - 2019,,,,,,,4,1,0.25
,,2019 - 2020,,,,,,,16,5,0.31
,,2020 - 2021,,,,,,,11,3,0.27
,,2021 - 2022,,,,,,,8,5,0.63
,,2022 - 2023,,,,,,,11,3,0.27
,8. Mahbubnagar,2000 - 2001,1,,0,,,,,,
,,2001 - 2002,18,2,0.11,,,,,,
,,2002 - 2003,10,2,0.2,,,,,,
,,2003 - 2004,3,0,0,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,
,,2006 - 2007,3,,0,,,,,,
,,2008 - 2009,9,4,0.44,,,,,,
,9. Mancherial,2017 - 2018,,,,,,,4,1,0.25
,,2018 - 2019,,,,,,,4,1,0.25
,,2019 - 2020,,,,,,,6,2,0.33
,,2020 - 2021,,,,,,,24,7,0.29
,,2021 - 2022,,,,,,,31,12,0.39
,,2022 - 2023,,,,,,,31,28,0.9
,10. Medak,2000 - 2001,22,4,0.18,,,,,,
,,2001 - 2002,18,2,0.11,,,,,,
,,2002 - 2003,15,3,0.2,,,,,,
,,2003 - 2004,19,3,0.16,,,,,,
,,2004 - 2005,23,8,0.35,,,,,,
,,2005 - 2006,21,7,0.33,,,,,,
,,2006 - 2007,20,4,0.2,,,,,,
,,2021 - 2022,,,,,,,1,1,1
,,2022 - 2023,,,,,,,1,0,0
,11. Medchal,2021 - 2022,,,,,,,1,1,1
,,2022 - 2023,,,,,,,1,0,0
,12. Mulugu,2018 - 2019,,,,,,,13,3,0.23
,,2019 - 2020,,,,,,,10,3,0.3
,,2020 - 2021,,,,,,,9,3,0.33
,,2021 - 2022,,,,,,,3,2,0.67
,,2022 - 2023,,,,,,,6,1,0.17
,13. Nalgonda,2005 - 2006,4,1,0.25,,,,,,
,,2020 - 2021,,,,,,,6,2,0.33
,,2021 - 2022,,,,,,,10,6,0.6
,,2022 - 2023,,,,,,,11,3,0.27
,14. Narayanapet,2022 - 2023,,,,,,,1,0,0
,15. Rangareddi,2000 - 2001,2,,0,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,3,0,0,,,,,,
,,2004 - 2005,4,1,0.25,,,,,,
,,2005 - 2006,4,1,0.25,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,
,,2016 - 2017,,,,,,,3,1,0.33
,16. Sangareddy,2018 - 2019,,,,,,,4,1,0.25
,,2019 - 2020,,,,,,,14,4,0.29
,,2020 - 2021,,,,,,,15,5,0.33
,,2021 - 2022,,,,,,,23,14,0.61
,,2022 - 2023,,,,,,,15,16,1.07
,17. Siddipet,2020 - 2021,,,,,,,2,1,0.5
,,2021 - 2022,,,,,,,1,1,1
,18. Warangal,2021 - 2022,,,,,,,1,1,1
,,2022 - 2023,,,,,,,2,0,0
,19. Yadadri,2021 - 2022,,,,,,,3,2,0.67
,,2022 - 2023,,,,,,,1,0,0
