State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,"2,592.00","1,00,704.00",38.85,,,,,,,,,
,,2020 - 2021,"2,424.00","94,091.00",38.82,,,,,,,,,
,,2021 - 2022,"2,555.00","1,13,845.00",44.56,,,,,,,,,
,,2022 - 2023,"2,665.00","1,04,401.00",39.17,,,,,,,,,
,18. Perambalur,2000 - 2001,270,"9,625.00",35.65,,,,,,,,,
,,2002 - 2003,277,"10,236.00",36.95,,,,,,,,,
,,2003 - 2004,304,"10,754.00",35.38,,,,,,,,,
,,2004 - 2005,344,"14,612.00",42.48,,,,,,,,,
,,2005 - 2006,332,"16,303.00",49.11,,,,,,,,,
,,2006 - 2007,335,"17,951.00",53.59,,,,,,,,,
,,2007 - 2008,350,"16,709.00",47.74,,,,,,,,,
,,2008 - 2009,196,"17,159.00",87.55,,,,,,,,,
,,2009 - 2010,214,"9,201.00",43,,,,,,,,,
,,2011 - 2012,188,"8,215.00",43.7,,,,,,,,,
,,2013 - 2014,182,"7,559.00",41.53,,,,,,,,,
,,2014 - 2015,169,"6,879.00",40.7,,,,,,,,,
,,2015 - 2016,178,"6,821.00",38.32,,,,,,,,,
,,2016 - 2017,203,"6,750.00",33.25,,,,,,,,,
,,2017 - 2018,176,"6,827.00",38.79,,,,,,,,,
,,2018 - 2019,219,"8,725.00",39.84,,,,,,,,,
,,2019 - 2020,231,"9,948.00",43.06,,,,,,,,,
,,2020 - 2021,236,"9,430.00",39.96,,,,,,,,,
,,2021 - 2022,165,"6,379.00",38.66,,,,,,,,,
,,2022 - 2023,266,"10,468.00",39.35,,,,,,,,,
,19. Pudukkottai,2000 - 2001,"2,550.00","76,537.00",30.01,,,,,,,,,
,,2002 - 2003,"3,443.00","1,70,257.00",49.45,,,,,,,,,
,,2003 - 2004,"3,519.00","1,77,570.00",50.46,,,,,,,,,
,,2004 - 2005,"3,996.00","1,87,780.00",46.99,,,,,,,,,
,,2005 - 2006,"4,050.00","2,04,626.00",50.52,,,,,,,,,
,,2006 - 2007,"3,736.00","2,38,141.00",63.74,,,,,,,,,
,,2007 - 2008,"3,135.00","1,74,881.00",55.78,,,,,,,,,
,,2008 - 2009,"3,617.00","1,65,895.00",45.87,,,,,,,,,
,,2009 - 2010,"3,426.00","2,19,614.00",64.1,,,,,,,,,
,,2011 - 2012,"3,123.00","2,06,796.00",66.22,,,,,,,,,
,,2013 - 2014,"2,303.00","94,696.00",41.12,,,,,,,,,
,,2014 - 2015,"2,255.00","1,08,837.00",48.26,,,,,,,,,
,,2015 - 2016,"2,209.00","1,06,032.00",48,,,,,,,,,
,,2016 - 2017,"1,704.00","69,305.00",40.67,,,,,,,,,
,,2017 - 2018,"1,662.00","82,106.00",49.4,,,,,,,,,
,,2018 - 2019,"2,439.00","97,117.00",39.82,,,,,,,,,
,,2019 - 2020,"2,550.00","1,37,473.00",53.91,,,,,,,,,
,,2020 - 2021,"2,208.00","1,34,321.00",60.83,,,,,,,,,
,,2021 - 2022,"2,127.00","1,30,024.00",61.13,,,,,,,,,
,,2022 - 2023,"2,019.00","1,31,901.00",65.33,,,,,,,,,
,20. Ramanathapuram,2000 - 2001,74,"2,642.00",35.7,,,,,,,,,
,,2002 - 2003,169,"6,245.00",36.95,,,,,,,,,
,,2003 - 2004,147,"5,200.00",35.37,,,,,,,,,
,,2004 - 2005,131,"5,563.00",42.47,,,,,,,,,
,,2005 - 2006,88,"4,321.00",49.1,,,,,,,,,
,,2006 - 2007,115,"6,162.00",53.58,,,,,,,,,
,,2007 - 2008,115,"5,490.00",47.74,,,,,,,,,
,,2008 - 2009,384,"17,070.00",44.45,,,,,,,,,
,,2009 - 2010,73,"3,139.00",43,,,,,,,,,
,,2011 - 2012,106,"4,632.00",43.7,,,,,,,,,
,,2013 - 2014,155,"6,438.00",41.54,,,,,,,,,
,,2014 - 2015,338,"13,758.00",40.7,,,,,,,,,
,,2015 - 2016,132,"5,058.00",38.32,,,,,,,,,
,,2016 - 2017,109,"3,633.00",33.33,,,,,,,,,
,,2017 - 2018,141,"5,469.00",38.79,,,,,,,,,
,,2018 - 2019,136,"5,416.00",39.82,,,,,,,,,
,,2019 - 2020,148,"6,377.00",43.09,,,,,,,,,
,,2020 - 2021,101,"4,033.00",39.93,,,,,,,,,
,,2021 - 2022,150,"5,803.00",38.69,,,,,,,,,
,,2022 - 2023,177,"6,966.00",39.36,,,,,,,,,
,21. Ranipet,2020 - 2021,"1,199.00","47,835.00",39.9,,,,,,,,,
,,2021 - 2022,991,"38,250.00",38.6,,,,,,,,,
,,2022 - 2023,824,"42,363.00",51.41,,,,,,,,,
,22. Salem,2000 - 2001,839,"18,294.00",21.8,,,,,,,,,
,,2002 - 2003,613,"22,652.00",36.95,,,,,,,,,
,,2003 - 2004,"1,249.00","44,183.00",35.37,,,,,,,,,
,,2004 - 2005,"1,335.00","56,707.00",42.48,,,,,,,,,
,,2005 - 2006,"1,367.00","67,126.00",49.1,,,,,,,,,
,,2006 - 2007,"2,413.00","1,29,298.00",53.58,,,,,,,,,
,,2007 - 2008,"2,918.00","1,39,308.00",47.74,,,,,,,,,
,,2008 - 2009,"3,630.00","1,61,363.00",44.45,,,,,,,,,
,,2009 - 2010,"3,368.00","1,44,811.00",43,,,,,,,,,
,,2011 - 2012,"2,374.00","1,03,949.00",43.79,,,,,,,,,
,,2013 - 2014,"1,658.00","68,864.00",41.53,,,,,,,,,
,,2014 - 2015,"1,525.00","62,075.00",40.7,,,,,,,,,
,,2015 - 2016,"1,572.00","43,230.00",27.5,,,,,,,,,
,,2016 - 2017,"1,263.00","30,734.00",24.33,,,,,,,,,
,,2017 - 2018,988,"26,814.00",27.14,,,,,,,,,
,,2018 - 2019,"1,322.00","64,009.00",48.42,,,,,,,,,
,,2019 - 2020,"1,711.00","53,182.00",31.08,,,,,,,,,
,,2020 - 2021,"2,324.00","71,155.00",30.62,,,,,,,,,
,,2021 - 2022,"2,847.00","1,05,245.00",36.97,,,,,,,,,
,,2022 - 2023,"3,175.00","1,07,902.00",33.98,,,,,,,,,
,23. Sivaganga,2000 - 2001,127,"4,445.00",35,,,,,,,,,
,,2002 - 2003,690,"25,498.00",36.95,,,,,,,,,
,,2003 - 2004,678,"23,984.00",35.37,,,,,,,,,
,,2004 - 2005,990,"42,052.00",42.48,,,,,,,,,
,,2005 - 2006,936,"45,962.00",49.1,,,,,,,,,
,,2006 - 2007,624,"33,436.00",53.58,,,,,,,,,
,,2007 - 2008,666,"31,795.00",47.74,,,,,,,,,
,,2008 - 2009,735,"32,673.00",44.45,,,,,,,,,
,,2009 - 2010,919,"39,513.00",43,,,,,,,,,
,,2011 - 2012,"1,025.00","44,787.00",43.69,,,,,,,,,
,,2013 - 2014,"1,044.00","43,362.00",41.53,,,,,,,,,
,,2014 - 2015,"1,037.00","42,211.00",40.7,,,,,,,,,
,,2015 - 2016,"1,042.00","39,928.00",38.32,,,,,,,,,
,,2016 - 2017,881,"29,331.00",33.29,,,,,,,,,
,,2017 - 2018,969,"37,585.00",38.79,,,,,,,,,
,,2018 - 2019,"1,128.00","44,897.00",39.8,,,,,,,,,
,,2019 - 2020,"1,166.00","50,311.00",43.15,,,,,,,,,
,,2020 - 2021,"1,352.00","60,283.00",44.59,,,,,,,,,
,,2021 - 2022,"1,366.00","52,721.00",38.6,,,,,,,,,
,,2022 - 2023,"1,502.00","42,150.00",28.06,,,,,,,,,
,24. Thanjavur,2000 - 2001,"2,471.00","63,196.00",25.58,,,,,,,,,
,,2002 - 2003,"3,726.00","1,02,024.00",27.38,,,,,,,,,
,,2003 - 2004,"4,158.00","1,60,440.00",38.59,,,,,,,,,
,,2004 - 2005,"4,764.00","1,21,550.00",25.51,,,,,,,,,
,,2005 - 2006,"4,921.00","2,42,589.00",49.3,,,,,,,,,
,,2006 - 2007,"4,341.00","1,84,656.00",42.54,,,,,,,,,
,,2007 - 2008,"4,200.00","1,64,686.00",39.21,,,,,,,,,
,,2008 - 2009,"4,179.00","1,83,830.00",43.99,,,,,,,,,
,,2009 - 2010,"3,603.00","1,32,352.00",36.73,,,,,,,,,
,,2011 - 2012,"3,212.00","1,21,277.00",37.76,,,,,,,,,
,,2013 - 2014,"3,176.00","1,61,663.00",50.9,,,,,,,,,
,,2014 - 2015,"3,318.00","1,33,490.00",40.23,,,,,,,,,
,,2015 - 2016,"3,434.00","1,61,089.00",46.91,,,,,,,,,
,,2016 - 2017,"3,335.00","1,41,718.00",42.49,,,,,,,,,
,,2017 - 2018,"3,218.00","2,45,308.00",76.23,,,,,,,,,
,,2018 - 2019,"3,919.00","35,247.00",8.99,,,,,,,,,
,,2019 - 2020,"4,282.00","1,92,416.00",44.94,,,,,,,,,
,,2020 - 2021,"3,989.00","28,780.00",7.21,,,,,,,,,
,,2021 - 2022,"3,811.00","1,78,265.00",46.78,,,,,,,,,
,,2022 - 2023,"3,516.00","1,71,137.00",48.67,,,,,,,,,
,25. The nilgiris,2000 - 2001,147,"4,532.00",30.83,,,,,,,,,
,,2002 - 2003,519,"7,447.00",14.35,,,,,,,,,
,,2003 - 2004,314,"11,108.00",35.38,,,,,,,,,
,,2004 - 2005,545,"23,150.00",42.48,,,,,,,,,
,,2005 - 2006,612,"30,052.00",49.1,,,,,,,,,
,,2006 - 2007,801,"42,921.00",53.58,,,,,,,,,
,,2007 - 2008,755,"36,044.00",47.74,,,,,,,,,
,,2008 - 2009,917,"40,763.00",44.45,,,,,,,,,
,,2009 - 2010,"1,064.00","45,748.00",43,,,,,,,,,
,,2011 - 2012,883,"38,582.00",43.69,,,,,,,,,
,,2013 - 2014,622,"25,834.00",41.53,,,,,,,,,
,,2014 - 2015,939,"38,222.00",40.71,,,,,,,,,
,,2015 - 2016,862,"33,031.00",38.32,,,,,,,,,
,,2016 - 2017,732,"24,378.00",33.3,,,,,,,,,
,,2017 - 2018,619,"24,009.00",38.79,,,,,,,,,
,,2018 - 2019,572,"22,782.00",39.83,,,,,,,,,
,,2019 - 2020,621,"26,782.00",43.13,,,,,,,,,
,,2020 - 2021,597,"23,846.00",39.94,,,,,,,,,
,,2021 - 2022,709,"27,385.00",38.62,,,,,,,,,
,,2022 - 2023,638,"25,068.00",39.29,,,,,,,,,
,26. Theni,2000 - 2001,"1,530.00","26,872.00",17.56,,,,,,,,,
,,2002 - 2003,"3,702.00","1,36,800.00",36.95,,,,,,,,,
,,2003 - 2004,"2,592.00","91,692.00",35.38,,,,,,,,,
,,2004 - 2005,"2,842.00","1,20,720.00",42.48,,,,,,,,,
,,2005 - 2006,"3,328.00","1,63,420.00",49.1,,,,,,,,,
,,2006 - 2007,"4,102.00","2,19,802.00",53.58,,,,,,,,,
,,2007 - 2008,"4,577.00","1,94,517.00",42.5,,,,,,,,,
,,2008 - 2009,"4,846.00","4,32,852.00",89.32,,,,,,,,,
,,2009 - 2010,"5,779.00","4,49,406.00",77.77,,,,,,,,,
,,2011 - 2012,"5,767.00","4,53,756.00",78.68,,,,,,,,,
,,2013 - 2014,"5,996.00","3,98,454.00",66.45,,,,,,,,,
,,2014 - 2015,"6,043.00","3,53,658.00",58.52,,,,,,,,,
,,2015 - 2016,"5,914.00","3,79,005.00",64.09,,,,,,,,,
,,2016 - 2017,"5,613.00","3,11,281.00",55.46,,,,,,,,,
,,2017 - 2018,"5,134.00","3,58,210.00",69.77,,,,,,,,,
,,2018 - 2019,"5,261.00","4,02,381.00",76.48,,,,,,,,,
,,2019 - 2020,"5,966.00","4,09,571.00",68.65,,,,,,,,,
,,2020 - 2021,"6,122.00","4,21,134.00",68.79,,,,,,,,,
,,2021 - 2022,"6,403.00","3,56,865.00",55.73,,,,,,,,,
,,2022 - 2023,"6,732.00","3,17,037.00",47.09,,,,,,,,,
,27. Thenkasi,2020 - 2021,"1,339.00","53,414.00",39.89,,,,,,,,,
,,2021 - 2022,"1,404.00","47,272.00",33.67,,,,,,,,,
,,2022 - 2023,"1,367.00","78,124.00",57.15,,,,,,,,,
,28. Thiruvallur,2000 - 2001,660,"13,673.00",20.72,,,,,,,,,
,,2002 - 2003,917,"33,886.00",36.95,,,,,,,,,
,,2003 - 2004,629,"22,251.00",35.38,,,,,,,,,
,,2004 - 2005,"1,623.00","68,940.00",42.48,,,,,,,,,
,,2005 - 2006,"2,026.00","99,486.00",49.1,,,,,,,,,
,,2006 - 2007,"1,504.00","80,591.00",53.58,,,,,,,,,
,,2007 - 2008,"1,572.00","75,048.00",47.74,,,,,,,,,
,,2008 - 2009,"1,340.00","59,566.00",44.45,,,,,,,,,
,,2009 - 2010,"1,066.00","45,834.00",43,,,,,,,,,
,,2011 - 2012,"1,095.00","47,846.00",43.69,,,,,,,,,
,,2013 - 2014,710,"29,489.00",41.53,,,,,,,,,
,,2014 - 2015,666,"27,110.00",40.71,,,,,,,,,
,,2015 - 2016,641,"24,562.00",38.32,,,,,,,,,
,,2016 - 2017,689,"22,949.00",33.31,,,,,,,,,
,,2017 - 2018,485,"18,812.00",38.79,,,,,,,,,
,,2018 - 2019,442,"17,616.00",39.86,,,,,,,,,
,,2019 - 2020,594,"25,639.00",43.16,,,,,,,,,
,,2020 - 2021,717,"28,612.00",39.91,,,,,,,,,
,,2021 - 2022,712,"27,481.00",38.6,,,,,,,,,
,,2022 - 2023,670,"26,367.00",39.35,,,,,,,,,
,29. Thiruvarur,2000 - 2001,340,"8,696.00",25.58,,,,,,,,,
,,2002 - 2003,300,"11,086.00",36.95,,,,,,,,,
,,2003 - 2004,328,"11,603.00",35.38,,,,,,,,,
,,2004 - 2005,346,"14,697.00",42.48,,,,,,,,,
,,2005 - 2006,420,"20,624.00",49.1,,,,,,,,,
,,2006 - 2007,367,"19,665.00",53.58,,,,,,,,,
,,2007 - 2008,469,"22,390.00",47.74,,,,,,,,,
,,2008 - 2009,402,"17,870.00",44.45,,,,,,,,,
,,2009 - 2010,382,"16,425.00",43,,,,,,,,,
,,2011 - 2012,422,"18,439.00",43.69,,,,,,,,,
,,2013 - 2014,359,"14,911.00",41.53,,,,,,,,,
,,2014 - 2015,355,"14,450.00",40.7,,,,,,,,,
,,2015 - 2016,396,"15,174.00",38.32,,,,,,,,,
,,2016 - 2017,418,"13,924.00",33.31,,,,,,,,,
,,2017 - 2018,413,"16,019.00",38.79,,,,,,,,,
,,2018 - 2019,377,"15,019.00",39.84,,,,,,,,,
,,2019 - 2020,372,"16,043.00",43.13,,,,,,,,,
,,2020 - 2021,385,"15,360.00",39.9,,,,,,,,,
,,2021 - 2022,375,"14,478.00",38.61,,,,,,,,,
,,2022 - 2023,391,"15,387.00",39.35,,,,,,,,,
,30. Thoothukudi,2000 - 2001,"14,911.00","6,01,277.00",40.32,,,,,,,,,
,,2002 - 2003,"8,037.00","4,77,145.00",59.37,,,,,,,,,
,,2003 - 2004,"8,272.00","3,86,862.00",46.77,,,,,,,,,
,,2004 - 2005,"8,995.00","5,01,460.00",55.75,,,,,,,,,
,,2005 - 2006,"9,790.00","6,96,235.00",71.12,,,,,,,,,
,,2006 - 2007,"10,252.00","6,85,773.00",66.89,,,,,,,,,
,,2007 - 2008,"10,260.00","6,10,430.00",59.5,,,,,,,,,
,,2008 - 2009,"9,849.00","4,82,959.00",49.04,,,,,,,,,
,,2009 - 2010,"9,760.00","5,65,224.00",57.91,,,,,,,,,
,,2011 - 2012,"9,586.00","6,21,672.00",64.85,,,,,,,,,
,,2013 - 2014,"9,142.00","4,03,882.00",44.18,,,,,,,,,
,,2014 - 2015,"9,185.00","3,71,136.00",40.41,,,,,,,,,
,,2015 - 2016,"9,379.00","2,42,185.00",25.82,,,,,,,,,
,,2016 - 2017,"9,515.00","2,62,388.00",27.58,,,,,,,,,
,,2017 - 2018,"7,771.00","3,15,735.00",40.63,,,,,,,,,
,,2018 - 2019,"8,697.00","3,73,223.00",42.91,,,,,,,,,
,,2019 - 2020,"8,237.00","4,08,553.00",49.6,,,,,,,,,
,,2020 - 2021,"8,283.00","3,55,313.00",42.9,,,,,,,,,
,,2021 - 2022,"8,365.00","4,02,658.00",48.14,,,,,,,,,
,,2022 - 2023,"8,648.00","4,27,569.00",49.44,,,,,,,,,
,31. Tiruchirappalli,2000 - 2001,"9,348.00","3,33,226.00",35.65,,,,,,,,,
,,2002 - 2003,"9,020.00","3,84,166.00",42.59,,,,,,,,,
,,2003 - 2004,"7,521.00","3,46,490.00",46.07,,,,,,,,,
,,2004 - 2005,"8,520.00","4,17,825.00",49.04,,,,,,,,,
,,2005 - 2006,"8,871.00","4,04,377.00",45.58,,,,,,,,,
,,2006 - 2007,"8,790.00","4,37,633.00",49.79,,,,,,,,,
,,2007 - 2008,"9,191.00","3,94,532.00",42.93,,,,,,,,,
,,2008 - 2009,"8,465.00","3,08,928.00",36.49,,,,,,,,,
,,2009 - 2010,"8,534.00","3,71,673.00",43.55,,,,,,,,,
,,2011 - 2012,"8,767.00","4,83,495.00",55.15,,,,,,,,,
,,2013 - 2014,"7,144.00","3,75,877.00",52.61,,,,,,,,,
,,2014 - 2015,"6,914.00","3,22,600.00",46.66,,,,,,,,,
,,2015 - 2016,"7,002.00","2,74,415.00",39.19,,,,,,,,,
,,2016 - 2017,"6,777.00","3,07,781.00",45.42,,,,,,,,,
,,2017 - 2018,"5,692.00","2,70,960.00",47.6,,,,,,,,,
,,2018 - 2019,"6,649.00","2,40,986.00",36.24,,,,,,,,,
,,2019 - 2020,"6,335.00","3,15,093.00",49.74,,,,,,,,,
,,2020 - 2021,"6,113.00","2,24,065.00",36.65,,,,,,,,,
,,2021 - 2022,"5,724.00","2,79,336.00",48.8,,,,,,,,,
,,2022 - 2023,"5,991.00","2,62,683.00",43.85,,,,,,,,,
,32. Tirunelveli,2000 - 2001,"5,844.00","1,81,153.00",31,,,,,,,,,
,,2002 - 2003,"6,817.00","3,16,393.00",46.41,,,,,,,,,
,,2003 - 2004,"5,924.00","1,97,539.00",33.35,,,,,,,,,
,,2004 - 2005,"5,820.00","2,79,400.00",48.01,,,,,,,,,
,,2005 - 2006,"7,139.00","2,55,705.00",35.82,,,,,,,,,
,,2006 - 2007,"8,121.00","3,75,547.00",46.24,,,,,,,,,
,,2007 - 2008,"10,005.00","3,84,626.00",38.44,,,,,,,,,
,,2008 - 2009,"9,519.00","2,99,114.00",31.42,,,,,,,,,
,,2009 - 2010,"9,446.00","2,35,570.00",24.94,,,,,,,,,
,,2011 - 2012,"8,854.00","2,11,954.00",23.94,,,,,,,,,
,,2013 - 2014,"7,193.00","2,11,773.00",29.44,,,,,,,,,
,,2014 - 2015,"7,180.00","1,54,049.00",21.46,,,,,,,,,
,,2015 - 2016,"7,283.00","2,27,645.00",31.26,,,,,,,,,
,,2016 - 2017,"6,762.00","1,57,049.00",23.23,,,,,,,,,
,,2017 - 2018,"4,338.00","87,889.00",20.26,,,,,,,,,
,,2018 - 2019,"6,493.00","1,66,759.00",25.68,,,,,,,,,
,,2019 - 2020,"5,925.00","1,81,966.00",30.71,,,,,,,,,
,,2020 - 2021,"5,663.00","1,63,082.00",28.8,,,,,,,,,
,,2021 - 2022,"5,768.00","1,32,856.00",23.03,,,,,,,,,
,,2022 - 2023,"6,326.00","1,40,755.00",22.25,,,,,,,,,
,33. Tirupathur,2020 - 2021,"1,080.00","44,662.00",41.35,,,,,,,,,
,,2021 - 2022,"1,226.00","26,829.00",21.88,,,,,,,,,
,,2022 - 2023,"1,348.00","27,938.00",20.73,,,,,,,,,
,34. Tiruppur,2008 - 2009,"3,939.00",,0,,,,,,,,,
,,2009 - 2010,"3,364.00","1,33,145.00",39.58,,,,,,,,,
,,2011 - 2012,"3,057.00","1,12,400.00",36.77,,,,,,,,,
,,2013 - 2014,"1,815.00","86,895.00",47.88,,,,,,,,,
,,2014 - 2015,"1,497.00","60,935.00",40.7,,,,,,,,,
,,2015 - 2016,"1,710.00","52,283.00",30.57,,,,,,,,,
,,2016 - 2017,"1,560.00","30,911.00",19.81,,,,,,,,,
,,2017 - 2018,"1,140.00","20,902.00",18.34,,,,,,,,,
,,2018 - 2019,"1,412.00","46,326.00",32.81,,,,,,,,,
,,2019 - 2020,"1,980.00","78,286.00",39.54,,,,,,,,,
,,2020 - 2021,"1,903.00","92,830.00",48.78,,,,,,,,,
,,2021 - 2022,"2,430.00","93,297.00",38.39,,,,,,,,,
,,2022 - 2023,"3,093.00","1,26,318.00",40.84,,,,,,,,,
,35. Tiruvannamalai,2000 - 2001,"1,622.00","61,817.00",38.11,,,,,,,,,
,,2002 - 2003,"1,032.00","38,134.00",36.95,,,,,,,,,
,,2003 - 2004,664,"23,489.00",35.38,,,,,,,,,
,,2004 - 2005,"2,600.00","1,10,440.00",42.48,,,,,,,,,
,,2005 - 2006,"2,814.00","1,38,180.00",49.1,,,,,,,,,
,,2006 - 2007,"3,132.00","3,04,298.00",97.16,,,,,,,,,
,,2007 - 2008,"3,106.00","2,33,272.00",75.1,,,,,,,,,
,,2008 - 2009,"3,147.00","2,32,515.00",73.88,,,,,,,,,
,,2009 - 2010,"3,044.00","1,30,880.00",43,,,,,,,,,
,,2011 - 2012,"3,205.00","1,40,041.00",43.69,,,,,,,,,
,,2013 - 2014,"2,972.00","1,69,469.00",57.02,,,,,,,,,
,,2014 - 2015,"2,284.00","1,06,617.00",46.68,,,,,,,,,
,,2015 - 2016,"2,582.00","85,247.00",33.02,,,,,,,,,
,,2016 - 2017,"2,510.00","80,084.00",31.91,,,,,,,,,
,,2017 - 2018,"2,533.00","78,797.00",31.11,,,,,,,,,
,,2018 - 2019,"2,405.00","82,248.00",34.2,,,,,,,,,
,,2019 - 2020,"2,685.00","93,183.00",34.71,,,,,,,,,
,,2020 - 2021,"3,282.00","1,00,690.00",30.68,,,,,,,,,
,,2021 - 2022,"2,846.00","68,114.00",23.93,,,,,,,,,
,,2022 - 2023,"3,039.00","74,076.00",24.38,,,,,,,,,
,36. Vellore,2000 - 2001,"3,789.00","1,26,624.00",33.42,,,,,,,,,
,,2002 - 2003,"2,051.00","75,791.00",36.95,,,,,,,,,
,,2003 - 2004,"2,049.00","72,483.00",35.37,,,,,,,,,
,,2004 - 2005,"2,754.00","1,16,982.00",42.48,,,,,,,,,
,,2005 - 2006,"4,926.00","2,41,888.00",49.1,,,,,,,,,
,,2006 - 2007,"6,712.00","3,59,657.00",53.58,,,,,,,,,
,,2007 - 2008,"7,155.00","5,72,173.00",79.97,,,,,,,,,
,,2008 - 2009,"6,918.00","1,92,238.00",27.79,,,,,,,,,
,,2009 - 2010,"6,645.00","2,84,238.00",42.77,,,,,,,,,
,,2011 - 2012,"6,179.00","2,97,556.00",48.16,,,,,,,,,
,,2013 - 2014,"4,206.00","1,28,699.00",30.6,,,,,,,,,
,,2014 - 2015,"3,726.00","1,14,705.00",30.79,,,,,,,,,
,,2015 - 2016,"2,819.00","1,17,955.00",41.84,,,,,,,,,
,,2016 - 2017,"2,684.00","58,628.00",21.84,,,,,,,,,
,,2017 - 2018,"2,904.00","94,985.00",32.71,,,,,,,,,
,,2018 - 2019,"3,482.00","1,28,174.00",36.81,,,,,,,,,
,,2019 - 2020,"3,045.00","1,12,953.00",37.09,,,,,,,,,
,,2020 - 2021,"1,581.00","77,506.00",49.02,,,,,,,,,
,,2021 - 2022,"1,752.00","42,351.00",24.17,,,,,,,,,
,,2022 - 2023,"1,679.00","76,814.00",45.75,,,,,,,,,
,37. Villupuram,2000 - 2001,"1,025.00","30,151.00",29.42,,,,,,,,,
,,2002 - 2003,"1,215.00","22,654.00",18.65,,,,,,,,,
,,2003 - 2004,862,"19,680.00",22.83,,,,,,,,,
,,2004 - 2005,"1,012.00","42,987.00",42.48,,,,,,,,,
,,2005 - 2006,"1,120.00","54,997.00",49.1,,,,,,,,,
,,2006 - 2007,"1,186.00","63,551.00",53.58,,,,,,,,,
,,2007 - 2008,"1,229.00","58,673.00",47.74,,,,,,,,,
,,2008 - 2009,"1,348.00","59,922.00",44.45,,,,,,,,,
,,2009 - 2010,"1,151.00","49,489.00",43,,,,,,,,,
,,2011 - 2012,"1,282.00","56,016.00",43.69,,,,,,,,,
,,2013 - 2014,975,"40,496.00",41.53,,,,,,,,,
,,2014 - 2015,881,"35,861.00",40.7,,,,,,,,,
,,2015 - 2016,"1,156.00","44,297.00",38.32,,,,,,,,,
,,2016 - 2017,973,"32,381.00",33.28,,,,,,,,,
,,2017 - 2018,812,"31,495.00",38.79,,,,,,,,,
,,2018 - 2019,"1,163.00","46,295.00",39.81,,,,,,,,,
,,2019 - 2020,"1,503.00","64,830.00",43.13,,,,,,,,,
,,2020 - 2021,"1,148.00","51,062.00",44.48,,,,,,,,,
,,2021 - 2022,"1,094.00","45,307.00",41.41,,,,,,,,,
,,2022 - 2023,"1,069.00","21,184.00",19.82,,,,,,,,,
,38. Virudhunagar,2000 - 2001,459,"15,764.00",34.34,,,,,,,,,
,,2002 - 2003,934,"34,514.00",36.95,,,,,,,,,
,,2003 - 2004,760,"26,885.00",35.38,,,,,,,,,
,,2004 - 2005,510,"21,663.00",42.48,,,,,,,,,
,,2005 - 2006,791,"38,842.00",49.1,,,,,,,,,
,,2006 - 2007,973,"52,137.00",53.58,,,,,,,,,
,,2007 - 2008,961,"45,879.00",47.74,,,,,,,,,
,,2008 - 2009,863,"38,363.00",44.45,,,,,,,,,
,,2009 - 2010,837,"35,988.00",43,,,,,,,,,
,,2011 - 2012,917,"40,068.00",43.69,,,,,,,,,
,,2013 - 2014,866,"35,969.00",41.53,,,,,,,,,
,,2014 - 2015,759,"30,895.00",40.7,,,,,,,,,
,,2015 - 2016,867,"33,223.00",38.32,,,,,,,,,
,,2016 - 2017,859,"28,601.00",33.3,,,,,,,,,
,,2017 - 2018,809,"31,379.00",38.79,,,,,,,,,
,,2018 - 2019,"1,058.00","42,115.00",39.81,,,,,,,,,
,,2019 - 2020,949,"40,922.00",43.12,,,,,,,,,
,,2020 - 2021,"1,103.00","44,708.00",40.53,,,,,,,,,
,,2021 - 2022,"1,181.00","45,581.00",38.6,,,,,,,,,
,,2022 - 2023,"1,356.00","52,056.00",38.39,,,,,,,,,
19. Telangana,1. Adilabad,2000 - 2001,159,51,0.32,,,,,,,,,
,,2001 - 2002,225,"5,063.00",22.5,,,,,,,,,
,,2002 - 2003,13,317,24.38,,,,,,,,,
,,2003 - 2004,110,"1,540.00",14,,,,,,,,,
,,2004 - 2005,71,"1,757.00",24.75,,,,,,,,,
,,2006 - 2007,41,998,24.34,,,,,,,,,
,,2009 - 2010,188,"5,668.00",30.15,,,,,,,,,
,,2010 - 2011,6,196,32.67,,,,,,,,,
,,2014 - 2015,,,,11,464,42.18,,,,,,
,,2015 - 2016,,,,20,957,47.85,,,,,,
,,2016 - 2017,,,,28,"1,295.00",46.25,,,,,,
,,2017 - 2018,,,,12,773,64.42,,,,,,
,,2018 - 2019,,,,11,677,61.55,,,,,,
,,2019 - 2020,,,,17,"1,005.00",59.12,,,,,,
,,2020 - 2021,,,,17,793,46.65,,,,,,
,,2021 - 2022,,,,17,580,34.12,,,,,,
,,2022 - 2023,,,,17,717,42.18,,,,,,
,2. Bhadradri,2016 - 2017,,,,430,"24,526.00",57.04,,,,,,
,,2017 - 2018,,,,589,"38,472.00",65.32,,,,,,
,,2018 - 2019,,,,351,"20,440.00",58.23,,,,,,
,,2019 - 2020,,,,358,"16,890.00",47.18,,,,,,
,,2020 - 2021,,,,437,"12,136.00",27.77,,,,,,
,,2021 - 2022,,,,759,"25,882.00",34.1,,,,,,
,,2022 - 2023,,,,759,"20,302.00",26.75,,,,,,
