State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,688,"18,068.00",26.26,,,,,,,,,
,,2016 - 2017,401,"10,811.00",26.96,,,,,,,,,
,,2017 - 2018,426,"24,060.00",56.48,,,,,,,,,
,,2018 - 2019,204,"21,000.00",102.94,,,,,,,,,
,,2019 - 2020,380,"22,800.00",60,,,,,,,,,
,9. Spsr nellore,2000 - 2001,567,"8,154.00",14.38,,,,,,,,,
,,2001 - 2002,479,"8,030.00",16.76,,,,,,,,,
,,2002 - 2003,521,"10,099.00",19.38,,,,,,,,,
,,2003 - 2004,485,"4,699.00",9.69,,,,,,,,,
,,2004 - 2005,458,"8,480.00",18.52,,,,,,,,,
,,2005 - 2006,470,"7,887.00",16.78,,,,,,,,,
,,2006 - 2007,667,"13,271.00",19.9,,,,,,,,,
,,2008 - 2009,860,"17,733.00",20.62,,,,,,,,,
,,2009 - 2010,"1,196.00","27,534.00",23.02,,,,,,,,,
,,2010 - 2011,"1,278.00","32,579.00",25.49,,,,,,,,,
,,2011 - 2012,"1,177.00","18,284.00",15.53,,,,,,,,,
,,2013 - 2014,816,"25,764.00",31.57,,,,,,,,,
,,2014 - 2015,551,"11,725.00",21.28,,,,,,,,,
,,2015 - 2016,726,"19,065.00",26.26,,,,,,,,,
,,2016 - 2017,813,"21,919.00",26.96,,,,,,,,,
,,2017 - 2018,763,"92,700.00",121.49,,,,,,,,,
,,2018 - 2019,670,"96,720.00",144.36,,,,,,,,,
,,2019 - 2020,962,"57,720.00",60,,,,,,,,,
,10. Srikakulam,2000 - 2001,"1,226.00","17,335.00",14.14,,,,,,,,,
,,2001 - 2002,"1,132.00","14,223.00",12.56,,,,,,,,,
,,2002 - 2003,765,"14,829.00",19.38,,,,,,,,,
,,2003 - 2004,535,"3,003.00",5.61,,,,,,,,,
,,2004 - 2005,"1,365.00","17,524.00",12.84,,,,,,,,,
,,2005 - 2006,"1,174.00","19,700.00",16.78,,,,,,,,,
,,2006 - 2007,"2,131.00","42,401.00",19.9,,,,,,,,,
,,2008 - 2009,"1,977.00","40,766.00",20.62,,,,,,,,,
,,2009 - 2010,"1,404.00","32,323.00",23.02,,,,,,,,,
,,2010 - 2011,853,"21,745.00",25.49,,,,,,,,,
,,2011 - 2012,"2,039.00","54,319.00",26.64,,,,,,,,,
,,2013 - 2014,"2,422.00","47,549.00",19.63,,,,,,,,,
,,2014 - 2015,"2,487.00",798,0.32,,,,,,,,,
,,2015 - 2016,"2,349.00","50,569.00",21.53,,,,,,,,,
,,2016 - 2017,"1,682.00","55,762.00",33.15,,,,,,,,,
,,2017 - 2018,"1,561.00","1,88,220.00",120.58,,,,,,,,,
,,2018 - 2019,"1,659.00","1,88,220.00",113.45,,,,,,,,,
,,2019 - 2020,"3,152.00","1,89,120.00",60,,,,,,,,,
,11. Visakhapatanam,2000 - 2001,"2,747.00","50,705.00",18.46,,,,,,,,,
,,2001 - 2002,"2,431.00","18,798.00",7.73,,,,,,,,,
,,2002 - 2003,"1,594.00","27,219.00",17.08,,,,,,,,,
,,2003 - 2004,"1,452.00","17,908.00",12.33,,,,,,,,,
,,2004 - 2005,"1,508.00","32,706.00",21.69,,,,,,,,,
,,2005 - 2006,"1,484.00","21,692.00",14.62,,,,,,,,,
,,2006 - 2007,"1,609.00","12,177.00",7.57,,,,,,,,,
,,2008 - 2009,"1,271.00","13,108.00",10.31,,,,,,,,,
,,2009 - 2010,"1,005.00","29,626.00",29.48,,,,,,,,,
,,2010 - 2011,"1,182.00","18,459.00",15.62,,,,,,,,,
,,2011 - 2012,"1,355.00","22,833.00",16.85,,,,,,,,,
,,2013 - 2014,"1,409.00","27,661.00",19.63,,,,,,,,,
,,2014 - 2015,"1,801.00","38,325.00",21.28,,,,,,,,,
,,2015 - 2016,"1,265.00","30,390.00",24.02,,,,,,,,,
,,2016 - 2017,"1,162.00","36,896.00",31.75,,,,,,,,,
,,2017 - 2018,"1,234.00","1,10,400.00",89.47,,,,,,,,,
,,2018 - 2019,"1,169.00","1,10,400.00",94.44,,,,,,,,,
,,2019 - 2020,"1,383.00","82,980.00",60,,,,,,,,,
,12. Vizianagaram,2000 - 2001,"5,985.00","59,183.00",9.89,,,,,,,,,
,,2001 - 2002,"6,173.00","77,495.00",12.55,,,,,,,,,
,,2002 - 2003,"4,684.00","97,277.00",20.77,,,,,,,,,
,,2003 - 2004,"4,645.00","1,06,645.00",22.96,,,,,,,,,
,,2004 - 2005,"5,591.00","1,36,806.00",24.47,,,,,,,,,
,,2005 - 2006,"5,246.00","1,27,446.00",24.29,,,,,,,,,
,,2006 - 2007,"5,137.00","1,03,233.00",20.1,,,,,,,,,
,,2008 - 2009,"7,735.00","1,35,293.00",17.49,,,,,,,,,
,,2009 - 2010,"7,755.00","1,45,608.00",18.78,,,,,,,,,
,,2010 - 2011,"7,835.00","1,67,277.00",21.35,,,,,,,,,
,,2011 - 2012,"7,433.00","1,33,645.00",17.98,,,,,,,,,
,,2013 - 2014,"7,124.00","77,367.00",10.86,,,,,,,,,
,,2014 - 2015,"7,787.00","61,883.00",7.95,,,,,,,,,
,,2015 - 2016,"7,337.00","1,35,595.00",18.48,,,,,,,,,
,,2016 - 2017,"7,099.00","91,371.00",12.87,,,,,,,,,
,,2017 - 2018,"6,666.00","2,35,920.00",35.39,,,,,,,,,
,,2018 - 2019,"6,885.00","6,62,880.00",96.28,,,,,,,,,
,,2019 - 2020,"5,800.00","3,48,000.00",60,,,,,,,,,
,13. West godavari,2000 - 2001,"8,081.00","1,16,102.00",14.37,,,,,,,,,
,,2001 - 2002,"8,264.00","99,790.00",12.08,,,,,,,,,
,,2002 - 2003,"5,547.00","1,23,149.00",22.2,,,,,,,,,
,,2003 - 2004,"5,712.00","24,247.00",4.24,,,,,,,,,
,,2004 - 2005,"6,051.00","1,56,479.00",25.86,,,,,,,,,
,,2005 - 2006,"8,130.00","76,707.00",9.44,,,,,,,,,
,,2006 - 2007,"7,427.00","1,44,648.00",19.48,,,,,,,,,
,,2008 - 2009,"7,334.00","1,42,470.00",19.43,,,,,,,,,
,,2009 - 2010,"7,631.00","2,19,223.00",28.73,,,,,,,,,
,,2010 - 2011,"8,420.00","2,12,967.00",25.29,,,,,,,,,
