State,District,Year,Sannhamp,,,,,,,,,,,
,,2003 - 2004,34,13,0.38,,,,,,,,,
,,2004 - 2005,24,8,0.33,,,,,,,,,
,,2005 - 2006,30,11,0.37,,,,,,,,,
,,2006 - 2007,32,12,0.38,,,,,,,,,
,,2007 - 2008,21,7,0.33,,,,,,,,,
,,2008 - 2009,18,6,0.33,,,,,,,,,
,,2009 - 2010,28,10,0.36,,,,,,,,,
,,2010 - 2011,39,17,0.44,,,,,,,,,
,,2012 - 2013,6,2,0.33,,,,,,,,,
,,2013 - 2014,,,,31,9,0.29,,,,,,
,,2015 - 2016,,,,11,4,0.36,,,,,,
,,2016 - 2017,,,,91,32,0.35,,,,,,
,,2020 - 2021,,,,16,1,0.06,,,,,,
,,2022 - 2023,,,,2,1,0.5,,,,,,
,11. Gariyaband,2011 - 2012,21,41,1.95,,,,,,,,,
,,2012 - 2013,21,8,0.38,,,,,,,,,
,,2013 - 2014,,,,37,11,0.3,,,,,,
,,2014 - 2015,,,,21,7,0.33,,,,,,
,,2015 - 2016,,,,20,12,0.6,,,,,,
,,2016 - 2017,,,,3,2,0.67,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,12. Gaurella-pendra-marwahi,2021 - 2022,,,,1,1,1,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,13. Janjgir-champa,2000 - 2001,62,18,0.29,,,,,,,,,
,,2001 - 2002,72,26,0.36,,,,,,,,,
,,2002 - 2003,84,27,0.32,,,,,,,,,
,,2003 - 2004,74,28,0.38,,,,,,,,,
,,2004 - 2005,74,25,0.34,,,,,,,,,
,,2005 - 2006,72,27,0.38,,,,,,,,,
,,2006 - 2007,66,21,0.32,,,,,,,,,
,,2007 - 2008,58,21,0.36,,,,,,,,,
,,2008 - 2009,50,19,0.38,,,,,,,,,
,,2009 - 2010,26,9,0.35,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,27,56,2.07,,,,,,,,,
,,2012 - 2013,27,8,0.3,,,,,,,,,
,,2013 - 2014,,,,19,7,0.37,,,,,,
,,2014 - 2015,,,,19,7,0.37,,,,,,
,,2015 - 2016,,,,18,8,0.44,,,,,,
,,2016 - 2017,,,,18,9,0.5,,,,,,
,,2017 - 2018,,,,17,7,0.41,,,,,,
,,2018 - 2019,,,,17,8,0.47,,,,,,
,,2019 - 2020,,,,16,7,0.44,,,,,,
,14. Jashpur,2000 - 2001,128,44,0.34,,,,,,,,,
,,2001 - 2002,129,46,0.36,,,,,,,,,
,,2002 - 2003,129,46,0.36,,,,,,,,,
,,2003 - 2004,125,45,0.36,,,,,,,,,
,,2004 - 2005,120,39,0.33,,,,,,,,,
,,2005 - 2006,120,36,0.3,,,,,,,,,
,,2006 - 2007,112,37,0.33,,,,,,,,,
,,2007 - 2008,119,41,0.34,,,,,,,,,
,,2008 - 2009,103,39,0.38,,,,,,,,,
,,2009 - 2010,99,35,0.35,,,,,,,,,
,,2010 - 2011,93,31,0.33,,,,,,,,,
,,2011 - 2012,124,248,2,,,,,,,,,
,,2012 - 2013,93,33,0.35,,,,,,,,,
,,2013 - 2014,,,,80,29,0.36,,,,,,
,,2014 - 2015,,,,97,34,0.35,,,,,,
,,2015 - 2016,,,,94,36,0.38,,,,,,
,,2016 - 2017,,,,79,30,0.38,,,,,,
,,2017 - 2018,,,,77,36,0.47,,,,,,
,,2018 - 2019,,,,77,34,0.44,,,,,,
,,2019 - 2020,,,,59,26,0.44,,,,,,
,,2020 - 2021,,,,58,26,0.45,,,,,,
,,2021 - 2022,,,,65,41,0.63,,,,,,
,,2022 - 2023,,,,55,25,0.45,,,,,,
,15. Kabirdham,2000 - 2001,6,2,0.33,,,,,,,,,
,,2001 - 2002,5,1,0.2,,,,,,,,,
,,2002 - 2003,6,2,0.33,,,,,,,,,
,,2003 - 2004,1,,0,,,,,,,,,
,,2004 - 2005,1,,0,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,
,,2007 - 2008,1,,0,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,16. Kanker,2000 - 2001,98,33,0.34,,,,,,,,,
,,2001 - 2002,101,43,0.43,,,,,,,,,
,,2002 - 2003,99,16,0.16,,,,,,,,,
,,2003 - 2004,121,55,0.45,,,,,,,,,
,,2004 - 2005,111,45,0.41,,,,,,,,,
,,2005 - 2006,108,46,0.43,,,,,,,,,
,,2006 - 2007,82,38,0.46,,,,,,,,,
,,2007 - 2008,97,44,0.45,,,,,,,,,
,,2008 - 2009,96,31,0.32,,,,,,,,,
,,2009 - 2010,97,39,0.4,,,,,,,,,
,,2010 - 2011,83,36,0.43,,,,,,,,,
,,2011 - 2012,57,82,1.44,,,,,,,,,
,,2012 - 2013,33,10,0.3,,,,,,,,,
,,2013 - 2014,,,,38,15,0.39,,,,,,
,,2014 - 2015,,,,31,10,0.32,,,,,,
,,2015 - 2016,,,,19,6,0.32,,,,,,
,,2016 - 2017,,,,9,4,0.44,,,,,,
,,2017 - 2018,,,,8,3,0.38,,,,,,
,,2018 - 2019,,,,5,1,0.2,,,,,,
,,2019 - 2020,,,,12,6,0.5,,,,,,
,,2020 - 2021,,,,8,2,0.25,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,,,,9,5,0.56,,,,,,
,18. Kondagaon,2011 - 2012,33,79,2.39,,,,,,,,,
,,2012 - 2013,33,13,0.39,,,,,,,,,
,,2013 - 2014,,,,34,14,0.41,,,,,,
,,2014 - 2015,,,,31,9,0.29,,,,,,
,,2015 - 2016,,,,28,16,0.57,,,,,,
,,2016 - 2017,,,,19,13,0.68,,,,,,
,,2017 - 2018,,,,22,14,0.64,,,,,,
,,2018 - 2019,,,,9,6,0.67,,,,,,
,,2019 - 2020,,,,5,4,0.8,,,,,,
,,2020 - 2021,,,,6,0,0,,,,,,
,,2021 - 2022,,,,5,4,0.8,,,,,,
,,2022 - 2023,,,,4,3,0.75,,,,,,
,19. Korba,2000 - 2001,26,7,0.27,,,,,,,,,
,,2001 - 2002,29,10,0.34,,,,,,,,,
,,2002 - 2003,6,2,0.33,,,,,,,,,
,,2003 - 2004,16,5,0.31,,,,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,,,,
,,2005 - 2006,33,10,0.3,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,15,4,0.27,,,,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,,,,
,,2009 - 2010,16,5,0.31,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,17,28,1.65,,,,,,,,,
,,2012 - 2013,26,10,0.38,,,,,,,,,
,,2013 - 2014,,,,26,8,0.31,,,,,,
,,2014 - 2015,,,,16,6,0.38,,,,,,
,,2015 - 2016,,,,10,4,0.4,,,,,,
,,2017 - 2018,,,,9,4,0.44,,,,,,
,,2018 - 2019,,,,7,3,0.43,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,20. Korea,2000 - 2001,72,23,0.32,,,,,,,,,
,,2001 - 2002,61,20,0.33,,,,,,,,,
,,2002 - 2003,60,18,0.3,,,,,,,,,
,,2003 - 2004,61,17,0.28,,,,,,,,,
,,2004 - 2005,58,15,0.26,,,,,,,,,
,,2005 - 2006,59,14,0.24,,,,,,,,,
,,2006 - 2007,64,17,0.27,,,,,,,,,
,,2007 - 2008,91,24,0.26,,,,,,,,,
,,2008 - 2009,72,24,0.33,,,,,,,,,
,,2009 - 2010,66,16,0.24,,,,,,,,,
,,2010 - 2011,71,14,0.2,,,,,,,,,
,,2011 - 2012,82,148,1.8,,,,,,,,,
,,2012 - 2013,67,18,0.27,,,,,,,,,
,,2013 - 2014,,,,64,18,0.28,,,,,,
,,2014 - 2015,,,,68,21,0.31,,,,,,
,,2015 - 2016,,,,58,20,0.34,,,,,,
,,2016 - 2017,,,,71,24,0.34,,,,,,
,,2017 - 2018,,,,73,25,0.34,,,,,,
,,2018 - 2019,,,,50,13,0.26,,,,,,
,,2019 - 2020,,,,22,7,0.32,,,,,,
,,2020 - 2021,,,,8,2,0.25,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,2,1,0.5,,,,,,
,21. Mahasamund,2000 - 2001,233,55,0.24,,,,,,,,,
,,2001 - 2002,224,93,0.42,,,,,,,,,
,,2002 - 2003,206,60,0.29,,,,,,,,,
,,2003 - 2004,193,56,0.29,,,,,,,,,
,,2004 - 2005,192,61,0.32,,,,,,,,,
,,2005 - 2006,187,54,0.29,,,,,,,,,
,,2006 - 2007,166,51,0.31,,,,,,,,,
,,2007 - 2008,191,55,0.29,,,,,,,,,
,,2008 - 2009,142,51,0.36,,,,,,,,,
,,2009 - 2010,142,41,0.29,,,,,,,,,
,,2010 - 2011,139,48,0.35,,,,,,,,,
,,2011 - 2012,95,183,1.93,,,,,,,,,
,,2012 - 2013,140,48,0.34,,,,,,,,,
,,2013 - 2014,,,,127,44,0.35,,,,,,
,,2014 - 2015,,,,154,54,0.35,,,,,,
,,2015 - 2016,,,,126,48,0.38,,,,,,
,,2016 - 2017,,,,104,40,0.38,,,,,,
,,2017 - 2018,,,,80,31,0.39,,,,,,
,,2018 - 2019,,,,75,23,0.31,,,,,,
,,2019 - 2020,,,,9,3,0.33,,,,,,
,,2020 - 2021,,,,3,1,0.33,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,,2022 - 2023,,,,14,7,0.5,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,,,,2,1,0.5,,,,,,
,23. Mungeli,2022 - 2023,,,,32,15,0.47,,,,,,
,24. Narayanpur,2010 - 2011,2,,0,,,,,,,,,
,,2011 - 2012,1,3,3,,,,,,,,,
,25. Raigarh,2000 - 2001,382,94,0.25,,,,,,,,,
,,2001 - 2002,358,116,0.32,,,,,,,,,
,,2002 - 2003,351,108,0.31,,,,,,,,,
,,2003 - 2004,337,110,0.33,,,,,,,,,
,,2004 - 2005,338,101,0.3,,,,,,,,,
,,2005 - 2006,298,99,0.33,,,,,,,,,
,,2006 - 2007,258,87,0.34,,,,,,,,,
,,2007 - 2008,248,86,0.35,,,,,,,,,
,,2008 - 2009,245,89,0.36,,,,,,,,,
,,2009 - 2010,386,135,0.35,,,,,,,,,
,,2010 - 2011,261,9,0.03,,,,,,,,,
,,2011 - 2012,302,788,2.61,,,,,,,,,
,,2012 - 2013,285,103,0.36,,,,,,,,,
,,2013 - 2014,,,,256,77,0.3,,,,,,
,,2014 - 2015,,,,259,101,0.39,,,,,,
,,2015 - 2016,,,,229,118,0.52,,,,,,
,,2016 - 2017,,,,213,110,0.52,,,,,,
,,2017 - 2018,,,,189,95,0.5,,,,,,
,,2018 - 2019,,,,181,119,0.66,,,,,,
,,2019 - 2020,,,,138,69,0.5,,,,,,
,,2020 - 2021,,,,129,67,0.52,,,,,,
,,2021 - 2022,,,,118,56,0.47,,,,,,
,,2022 - 2023,,,,97,46,0.47,,,,,,
,26. Raipur,2000 - 2001,43,10,0.23,,,,,,,,,
,,2001 - 2002,87,29,0.33,,,,,,,,,
,,2002 - 2003,40,12,0.3,,,,,,,,,
,,2003 - 2004,44,14,0.32,,,,,,,,,
,,2004 - 2005,71,23,0.32,,,,,,,,,
,,2005 - 2006,95,26,0.27,,,,,,,,,
,,2006 - 2007,73,21,0.29,,,,,,,,,
,,2007 - 2008,60,18,0.3,,,,,,,,,
,,2008 - 2009,60,18,0.3,,,,,,,,,
,,2009 - 2010,72,21,0.29,,,,,,,,,
,,2010 - 2011,31,9,0.29,,,,,,,,,
,,2011 - 2012,2,4,2,,,,,,,,,
,,2012 - 2013,7,4,0.57,,,,,,,,,
,,2013 - 2014,,,,7,3,0.43,,,,,,
,,2014 - 2015,,,,1,,0,,,,,,
,,2015 - 2016,,,,6,2,0.33,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,2,1,0.5,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,2,,0,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,,2022 - 2023,,,,2,2,1,,,,,,
,27. Rajnandgaon,2000 - 2001,39,11,0.28,,,,,,,,,
,,2001 - 2002,38,14,0.37,,,,,,,,,
,,2002 - 2003,43,11,0.26,,,,,,,,,
,,2003 - 2004,38,13,0.34,,,,,,,,,
,,2004 - 2005,34,12,0.35,,,,,,,,,
,,2005 - 2006,42,14,0.33,,,,,,,,,
,,2006 - 2007,50,15,0.3,,,,,,,,,
,,2007 - 2008,26,8,0.31,,,,,,,,,
,,2008 - 2009,30,8,0.27,,,,,,,,,
,,2009 - 2010,22,7,0.32,,,,,,,,,
,,2010 - 2011,28,7,0.25,,,,,,,,,
,,2011 - 2012,22,40,1.82,,,,,,,,,
,,2012 - 2013,24,6,0.25,,,,,,,,,
,,2013 - 2014,,,,25,7,0.28,,,,,,
,,2014 - 2015,,,,9,4,0.44,,,,,,
,,2015 - 2016,,,,1,,0,,,,,,
,,2016 - 2017,,,,1,,0,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2021 - 2022,,,,2,1,0.5,,,,,,
,28. Sakti,2022 - 2023,,,,12,7,0.58,,,,,,
,29. Sarangarh bilaigarh,2022 - 2023,,,,1,1,1,,,,,,
,30. Sukma,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2013 - 2014,,,,1,,0,,,,,,
,,2014 - 2015,,,,1,,0,,,,,,
,,2017 - 2018,,,,1,,0,,,,,,
,,2018 - 2019,,,,2,1,0.5,,,,,,
,31. Surajpur,2011 - 2012,129,233,1.81,,,,,,,,,
,,2012 - 2013,107,35,0.33,,,,,,,,,
,,2013 - 2014,,,,183,53,0.29,,,,,,
,,2014 - 2015,,,,188,52,0.28,,,,,,
,,2015 - 2016,,,,187,97,0.52,,,,,,
,,2016 - 2017,,,,146,83,0.57,,,,,,
,,2017 - 2018,,,,148,100,0.68,,,,,,
,,2018 - 2019,,,,139,94,0.68,,,,,,
,,2019 - 2020,,,,115,78,0.68,,,,,,
,,2020 - 2021,,,,97,67,0.69,,,,,,
,,2021 - 2022,,,,27,18,0.67,,,,,,
,,2022 - 2023,,,,23,19,0.83,,,,,,
,32. Surguja,2000 - 2001,360,107,0.3,,,,,,,,,
,,2001 - 2002,341,112,0.33,,,,,,,,,
,,2002 - 2003,331,99,0.3,,,,,,,,,
,,2003 - 2004,405,136,0.34,,,,,,,,,
,,2004 - 2005,372,109,0.29,,,,,,,,,
,,2005 - 2006,375,112,0.3,,,,,,,,,
,,2006 - 2007,389,127,0.33,,,,,,,,,
,,2007 - 2008,460,150,0.33,,,,,,,,,
,,2008 - 2009,428,139,0.32,,,,,,,,,
,,2009 - 2010,373,101,0.27,,,,,,,,,
,,2010 - 2011,374,71,0.19,,,,,,,,,
,,2011 - 2012,75,135,1.8,,,,,,,,,
,,2012 - 2013,80,24,0.3,,,,,,,,,
,,2013 - 2014,,,,91,26,0.29,,,,,,
,,2014 - 2015,,,,96,27,0.28,,,,,,
,,2015 - 2016,,,,92,28,0.3,,,,,,
,,2016 - 2017,,,,79,23,0.29,,,,,,
,,2017 - 2018,,,,55,15,0.27,,,,,,
,,2018 - 2019,,,,107,37,0.35,,,,,,
,,2019 - 2020,,,,49,15,0.31,,,,,,
,,2020 - 2021,,,,25,9,0.36,,,,,,
,,2021 - 2022,,,,19,6,0.32,,,,,,
,,2022 - 2023,,,,16,6,0.38,,,,,,
4. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2000 - 2001,,,,29,17,0.59,,,,,,
,,2001 - 2002,,,,10,6,0.6,,,,,,
,,2002 - 2003,,,,24,14,0.58,,,,,,
,,2003 - 2004,,,,12,7,0.58,,,,,,
,,2004 - 2005,,,,67,40,0.6,,,,,,
,,2005 - 2006,,,,60,36,0.6,,,,,,
,,2006 - 2007,,,,57,34,0.6,,,,,,
,,2010 - 2011,,,,104,62,0.6,,,,160,112,0.7
,,2011 - 2012,,,,,,,,,,124,90,0.73
,,2012 - 2013,,,,,,,,,,100,73,0.73
5. Haryana,1. Ambala,2006 - 2007,2,,0,,,,,,,,,
,2. Bhiwani,2000 - 2001,61,100,1.64,,,,,,,,,
,,2001 - 2002,84,0,0,,,,,,,,,
,,2002 - 2003,22,0,0,,,,,,,,,
,,2003 - 2004,65,0,0,,,,,,,,,
,,2005 - 2006,52,,0,,,,,,,,,
,,2006 - 2007,52,,0,,,,,,,,,
,,2007 - 2008,19,,0,,,,,,,,,
,,2008 - 2009,92,,0,,,,,,,,,
,,2010 - 2011,27,,0,,,,,,,,,
,,2011 - 2012,,,,15,,0,,,,,,
,,2012 - 2013,,,,19,9,0.47,,,,,,
,,2013 - 2014,,,,13,,0,,,,,,
,3. Faridabad,2000 - 2001,1,0,0,,,,,,,,,
,,2001 - 2002,"1,496.00",600,0.4,,,,,,,,,
,4. Fatehabad,2000 - 2001,3,0,0,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,5. Gurgaon,2000 - 2001,1,0,0,,,,,,,,,
,,2001 - 2002,2,0,0,,,,,,,,,
,,2002 - 2003,9,0,0,,,,,,,,,
,,2004 - 2005,14,,0,,,,,,,,,
,,2005 - 2006,2,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,6. Hisar,2000 - 2001,62,0,0,,,,,,,,,
,,2001 - 2002,4,0,0,,,,,,,,,
,,2002 - 2003,8,0,0,,,,,,,,,
,,2003 - 2004,5,0,0,,,,,,,,,
,,2004 - 2005,5,,0,,,,,,,,,
,,2005 - 2006,5,,0,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,
,,2007 - 2008,3,,0,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,7. Jhajjar,2000 - 2001,122,0,0,,,,,,,,,
,,2001 - 2002,124,0,0,,,,,,,,,
,,2002 - 2003,128,0,0,,,,,,,,,
,,2003 - 2004,122,0,0,,,,,,,,,
,,2004 - 2005,144,,0,,,,,,,,,
,,2005 - 2006,116,,0,,,,,,,,,
,,2006 - 2007,85,,0,,,,,,,,,
,,2007 - 2008,44,,0,,,,,,,,,
,,2008 - 2009,44,,0,,,,,,,,,
,,2010 - 2011,16,,0,,,,,,,,,
,,2011 - 2012,,,,4,,0,,,,,,
,,2012 - 2013,,,,17,6,0.35,,,,,,
,,2013 - 2014,,,,5,,0,,,,,,
,8. Jind,2000 - 2001,43,0,0,,,,,,,,,
,,2001 - 2002,22,0,0,,,,,,,,,
,,2002 - 2003,28,0,0,,,,,,,,,
,,2003 - 2004,28,0,0,,,,,,,,,
,,2004 - 2005,42,,0,,,,,,,,,
,,2005 - 2006,15,,0,,,,,,,,,
,,2006 - 2007,5,,0,,,,,,,,,
,,2007 - 2008,7,,0,,,,,,,,,
,,2008 - 2009,3,,0,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,
,,2011 - 2012,,,,2,,0,,,,,,
,,2012 - 2013,,,,4,1,0.25,,,,,,
,9. Kaithal,2006 - 2007,294,100,0.34,,,,,,,,,
,,2007 - 2008,6,,0,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,
,10. Karnal,2000 - 2001,2,0,0,,,,,,,,,
,,2008 - 2009,2,,0,,,,,,,,,
,11. Kurukshetra,2007 - 2008,1,,0,,,,,,,,,
,,2011 - 2012,,,,1,,0,,,,,,
,12. Mahendragarh,2001 - 2002,5,0,0,,,,,,,,,
,,2003 - 2004,8,0,0,,,,,,,,,
,,2007 - 2008,3,,0,,,,,,,,,
,,2008 - 2009,4,,0,,,,,,,,,
,,2010 - 2011,3,,0,,,,,,,,,
,13. Panchkula,2004 - 2005,75,,0,,,,,,,,,
,14. Panipat,2002 - 2003,27,0,0,,,,,,,,,
,,2003 - 2004,28,0,0,,,,,,,,,
,,2005 - 2006,2,,0,,,,,,,,,
,,2006 - 2007,3,,0,,,,,,,,,
,,2007 - 2008,4,,0,,,,,,,,,
,,2008 - 2009,5,,0,,,,,,,,,
,,2013 - 2014,,,,5,,0,,,,,,
,15. Rewari,2000 - 2001,3,0,0,,,,,,,,,
,,2001 - 2002,10,0,0,,,,,,,,,
,,2002 - 2003,11,0,0,,,,,,,,,
,,2003 - 2004,11,0,0,,,,,,,,,
,,2004 - 2005,16,,0,,,,,,,,,
,,2005 - 2006,5,,0,,,,,,,,,
,,2006 - 2007,14,,0,,,,,,,,,
,,2007 - 2008,8,,0,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2011 - 2012,,,,1,,0,,,,,,
,,2013 - 2014,,,,1,,0,,,,,,
,16. Rohtak,2000 - 2001,96,0,0,,,,,,,,,
,,2001 - 2002,130,100,0.77,,,,,,,,,
,,2002 - 2003,274,100,0.36,,,,,,,,,
,,2003 - 2004,178,100,0.56,,,,,,,,,
,,2004 - 2005,155,100,0.65,,,,,,,,,
,,2005 - 2006,112,,0,,,,,,,,,
,,2006 - 2007,87,100,1.15,,,,,,,,,
,,2007 - 2008,117,100,0.85,,,,,,,,,
,,2008 - 2009,62,100,1.61,,,,,,,,,
,,2010 - 2011,27,,0,,,,,,,,,
,,2011 - 2012,,,,30,,0,,,,,,
,,2012 - 2013,,,,38,13,0.34,,,,,,
,,2013 - 2014,,,,8,,0,,,,,,
,17. Sirsa,2000 - 2001,2,0,0,,,,,,,,,
,,2003 - 2004,3,0,0,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2007 - 2008,1,,0,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,,,,1,,0,,,,,,
,18. Sonipat,2000 - 2001,56,0,0,,,,,,,,,
,,2001 - 2002,18,0,0,,,,,,,,,
,,2002 - 2003,9,0,0,,,,,,,,,
,,2003 - 2004,14,0,0,,,,,,,,,
,,2004 - 2005,14,,0,,,,,,,,,
,,2005 - 2006,129,100,0.78,,,,,,,,,
,,2006 - 2007,75,,0,,,,,,,,,
,,2007 - 2008,60,,0,,,,,,,,,
,,2008 - 2009,23,,0,,,,,,,,,
,,2010 - 2011,24,,0,,,,,,,,,
,,2011 - 2012,,,,11,,0,,,,,,
6. Himachal Pradesh,1. Bilaspur,2001 - 2002,1,1,1,,,,,,,,,
,,2005 - 2006,,,,1,1,1,,,,,,
,2. Hamirpur,2008 - 2009,,,,1,,0,,,,,,
,,2016 - 2017,,,,1,,0,,,,,,
,3. Kangra,2001 - 2002,10,10,1,,,,,,,,,
,,2005 - 2006,,,,19,8,0.42,,,,,,
,,2006 - 2007,,,,17,3,0.18,,,,,,
,,2007 - 2008,,,,11,2,0.18,,,,,,
,4. Sirmaur,2005 - 2006,,,,2,1,0.5,,,,,,
,,2008 - 2009,,,,5,1,0.2,,,,,,
,,2016 - 2017,,,,4,1,0.25,,,,,,
,5. Solan,2018 - 2019,,,,2,0.5,0.25,,,,,,
,6. Una,2001 - 2002,27,27,1,,,,,,,,,
,,2005 - 2006,,,,15,8,0.53,,,,,,
,,2006 - 2007,,,,59,11,0.19,,,,,,
,,2007 - 2008,,,,21,4,0.19,,,,,,
,,2018 - 2019,,,,6,1.5,0.25,,,,,,
7. Jammu and Kashmir,1. Anantnag,2014 - 2015,,,,2,0.7,0.35,,,,,,
,2. Jammu,2000 - 2001,194,97,0.5,,,,,,,,,
,,2001 - 2002,190,95,0.5,,,,,,,,,
,,2003 - 2004,61,30,0.49,,,,,,,,,
,,2005 - 2006,,,,184,92,0.5,,,,,,
,,2006 - 2007,,,,335,167.5,0.5,,,,,,
,,2007 - 2008,,,,306,153,0.5,,,,,,
,,2009 - 2010,,,,100,50,0.5,,,,,,
,,2010 - 2011,,,,114,57,0.5,,,,,,
,,2011 - 2012,,,,39,19.5,0.5,,,,,,
,,2012 - 2013,,,,17,8.5,0.5,,,,,,
,,2014 - 2015,,,,18,9,0.5,,,,,,
,,2016 - 2017,,,,15,13,0.87,,,,,,
,,2017 - 2018,,,,24,21.1,0.88,,,,,,
,3. Kathua,2000 - 2001,24,12,0.5,,,,,,,,,
,,2001 - 2002,20,10,0.5,,,,,,,,,
,,2003 - 2004,14,7,0.5,,,,,,,,,
,,2005 - 2006,,,,11,5.5,0.5,,,,,,
,,2007 - 2008,,,,8,4,0.5,,,,,,
,,2009 - 2010,,,,2,1.1,0.55,,,,,,
,,2010 - 2011,,,,3,1.6,0.53,,,,,,
,,2011 - 2012,,,,1,0.6,0.6,,,,,,
,,2012 - 2013,,,,1,0.6,0.6,,,,,,
,,2014 - 2015,,,,2,1,0.5,,,,,,
,4. Poonch,2000 - 2001,4,2,0.5,,,,,,,,,
,,2001 - 2002,4,2,0.5,,,,,,,,,
,,2003 - 2004,2,0.1,0.05,,,,,,,,,
,5. Rajauri,2000 - 2001,2,1,0.5,,,,,,,,,
,,2001 - 2002,15,7,0.47,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2005 - 2006,,,,2,1,0.5,,,,,,
,,2011 - 2012,,,,2,2.1,1.05,,,,,,
,6. Reasi,2007 - 2008,,,,11,11.5,1.05,,,,,,
,,2012 - 2013,,,,3,3.2,1.07,,,,,,
,7. Samba,2007 - 2008,,,,53,26.5,0.5,,,,,,
,,2009 - 2010,,,,35,17.5,0.5,,,,,,
,,2010 - 2011,,,,22,11,0.5,,,,,,
,,2011 - 2012,,,,17,8.5,0.5,,,,,,
,,2012 - 2013,,,,17,8.5,0.5,,,,,,
,,2015 - 2016,,,,2,1,0.5,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,
,,2017 - 2018,,,,3,1.5,0.5,,,,,,
,8. Udhampur,2000 - 2001,51,24,0.47,,,,,,,,,
,,2001 - 2002,42,20,0.48,,,,,,,,,
,,2003 - 2004,44,21,0.48,,,,,,,,,
,,2005 - 2006,,,,28,29.3,1.05,,,,,,
,,2007 - 2008,,,,13,13.6,1.05,,,,,,
,,2009 - 2010,,,,11,11.6,1.05,,,,,,
,,2010 - 2011,,,,17,17.9,1.05,,,,,,
,,2011 - 2012,,,,27,28.5,1.06,,,,,,
,,2012 - 2013,,,,17,17.9,1.05,,,,,,
,,2014 - 2015,,,,8,8.4,1.05,,,,,,
,,2015 - 2016,,,,4,4.2,1.05,,,,,,
,,2016 - 2017,,,,8,8.4,1.05,,,,,,
,,2017 - 2018,,,,8,8.6,1.08,,,,,,
8. Karnataka,1. Bagalkot,2000 - 2001,35,9,0.26,,,,,,,,,
,,2001 - 2002,22,5,0.23,,,,,,,,,
,,2002 - 2003,22,5,0.23,,,,,,,,,
,,2003 - 2004,19,5,0.26,,,,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,,,,
,,2018 - 2019,12,3,0.25,,,,,,,,,
,,2019 - 2020,122,72,0.59,,,,,,,,,
,,2020 - 2021,,,,156,39,0.25,,,,,,
,,2021 - 2022,,,,98,36,0.37,,,,,,
,,2022 - 2023,,,,140,57,0.41,,,,,,
,2. Bangalore rural,2019 - 2020,2,1,0.5,,,,,,,,,
,,2020 - 2021,,,,2,1,0.5,,,,,,
,,2021 - 2022,,,,17,6,0.35,,,,,,
,3. Belgaum,2000 - 2001,"1,071.00",266,0.25,,,,,,,,,
,,2001 - 2002,"2,117.00",526,0.25,,,,,,,,,
,,2013 - 2014,213,53,0.25,,,,,,,,,
,,2014 - 2015,77,19,0.25,,,,,,,,,
,,2015 - 2016,17,4,0.24,,,,,,,,,
,,2016 - 2017,1,,0,,,,,,,,,
,,2018 - 2019,19,5,0.26,,,,,,,,,
,,2019 - 2020,195,116,0.59,,,,,,,,,
