State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,"39,824.00","23,217.00",0.58,"1,251.00",627,0.5,,,,,,,,,,,,
,,2012 - 2013,"44,000.00","22,000.00",0.5,"1,000.00",,0,,,,,,,,,,,,
,,2013 - 2014,"42,445.00","23,897.00",0.56,640,400,0.63,,,,,,,,,,,,
,,2014 - 2015,"42,634.00","22,084.00",0.52,465,477,1.03,,,,,,,,,,,,
,,2015 - 2016,"41,443.00","26,524.00",0.64,143,90,0.63,,,,,,,,,,,,
,,2016 - 2017,"47,283.00","23,547.00",0.5,194,124,0.64,,,,,,,,,,,,
,,2017 - 2018,"50,009.00","26,355.00",0.53,130,109,0.84,,,,,,,,,,,,
,,2018 - 2019,"45,441.00","25,356.00",0.56,269,208,0.77,,,,,,,,,,,,
,,2019 - 2020,"41,190.00","19,648.00",0.48,165,166,1.01,,,,,,,,,,,,
,,2020 - 2021,"36,623.00","18,678.00",0.51,35,27,0.77,,,,,,,,,,,,
,,2021 - 2022,"40,080.00","22,605.00",0.56,101,70,0.69,,,,,,,,,,,,
,,2022 - 2023,"20,543.00","15,079.00",0.73,30,32,1.07,,,,,,,,,,,,
,23. Tirupati,2022 - 2023,746,379,0.51,32,24,0.75,,,,,,,,,,,,
,24. Visakhapatanam,2000 - 2001,"2,755.00","2,215.00",0.8,"2,359.00",139,0.06,,,,,,,,,,,,
,,2001 - 2002,"2,816.00","1,915.00",0.68,"2,845.00","1,027.00",0.36,,,,,,,,,,,,
,,2002 - 2003,"2,284.00","1,322.00",0.58,"2,885.00",150,0.05,,,,,,,,,,,,
,,2003 - 2004,"3,913.00","1,514.00",0.39,"3,210.00","1,977.00",0.62,,,,,,,,,,,,
,,2004 - 2005,"2,342.00","1,485.00",0.63,"2,465.00","1,188.00",0.48,,,,,,,,,,,,
,,2005 - 2006,"2,206.00","1,388.00",0.63,"1,986.00",683,0.34,,,,,,,,,,,,
,,2006 - 2007,"2,906.00","2,272.00",0.78,"2,095.00",802,0.38,,,,,,,,,,,,
,,2007 - 2008,"4,000.00","2,000.00",0.5,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,"4,364.00","2,924.00",0.67,"1,962.00",824,0.42,,,,,,,,,,,,
,,2009 - 2010,"2,435.00","1,802.00",0.74,"1,576.00",511,0.32,,,,,,,,,,,,
,,2010 - 2011,"5,187.00","2,770.00",0.53,"1,875.00","1,238.00",0.66,,,,,,,,,,,,
,,2011 - 2012,"3,904.00","2,737.00",0.7,"1,396.00",621,0.44,,,,,,,,,,,,
,,2012 - 2013,"5,000.00","4,000.00",0.8,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"7,385.00","5,805.00",0.79,"1,187.00",647,0.55,,,,,,,,,,,,
,,2014 - 2015,"6,257.00","3,322.00",0.53,959,636,0.66,,,,,,,,,,,,
,,2015 - 2016,"7,127.00","2,694.00",0.38,888,440,0.5,,,,,,,,,,,,
,,2016 - 2017,"5,801.00","4,699.00",0.81,837,515,0.62,,,,,,,,,,,,
,,2017 - 2018,"6,264.00","2,330.00",0.37,642,408,0.64,,,,,,,,,,,,
,,2018 - 2019,"4,229.00","2,317.00",0.55,674,231,0.34,,,,,,,,,,,,
,,2019 - 2020,"6,999.00","3,045.00",0.44,446,190,0.43,,,,,,,,,,,,
,,2020 - 2021,"7,013.00","2,742.00",0.39,308,205,0.67,,,,,,,,,,,,
,,2021 - 2022,"8,296.00","3,750.00",0.45,296,181,0.61,,,,,,,,,,,,
,,2022 - 2023,232,293,1.26,27,29,1.07,,,,,,,,,,,,
,25. Vizianagaram,2000 - 2001,"7,099.00","5,708.00",0.8,329,19,0.06,,,,,,,,,,,,
,,2001 - 2002,"12,038.00","4,683.00",0.39,310,112,0.36,,,,,,,,,,,,
,,2002 - 2003,"6,986.00","1,523.00",0.22,447,23,0.05,,,,,,,,,,,,
,,2003 - 2004,"12,120.00","3,891.00",0.32,"1,541.00",949,0.62,,,,,,,,,,,,
,,2004 - 2005,"13,099.00","4,179.00",0.32,671,323,0.48,,,,,,,,,,,,
,,2005 - 2006,"10,010.00","3,704.00",0.37,773,266,0.34,,,,,,,,,,,,
,,2006 - 2007,"11,557.00","5,686.00",0.49,702,269,0.38,,,,,,,,,,,,
,,2007 - 2008,"16,000.00","7,000.00",0.44,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"13,338.00","7,016.00",0.53,"1,672.00",607,0.36,,,,,,,,,,,,
,,2009 - 2010,"15,759.00","7,722.00",0.49,"2,022.00",596,0.29,,,,,,,,,,,,
,,2010 - 2011,"17,475.00","7,305.00",0.42,"2,075.00",876,0.42,,,,,,,,,,,,
,,2011 - 2012,"13,409.00","7,455.00",0.56,"1,783.00",893,0.5,,,,,,,,,,,,
,,2012 - 2013,"17,000.00","10,000.00",0.59,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"17,077.00","9,170.00",0.54,950,594,0.63,,,,,,,,,,,,
,,2014 - 2015,"17,755.00","9,890.00",0.56,510,523,1.03,,,,,,,,,,,,
,,2015 - 2016,"22,513.00","14,431.00",0.64,476,131,0.28,,,,,,,,,,,,
,,2016 - 2017,"26,282.00","12,405.00",0.47,806,516,0.64,,,,,,,,,,,,
,,2017 - 2018,"24,763.00","14,982.00",0.61,405,339,0.84,,,,,,,,,,,,
,,2018 - 2019,"11,430.00","4,755.00",0.42,348,269,0.77,,,,,,,,,,,,
,,2019 - 2020,"18,378.00","11,780.00",0.64,185,115,0.62,,,,,,,,,,,,
,,2020 - 2021,"19,421.00","11,769.00",0.61,222,108,0.49,,,,,,,,,,,,
,,2021 - 2022,"21,675.00","13,417.00",0.62,257,117,0.46,,,,,,,,,,,,
,,2022 - 2023,"19,881.00","13,996.00",0.7,123,133,1.08,,,,,,,,,,,,
,26. West godavari,2000 - 2001,"5,997.00","2,351.00",0.39,151,9,0.06,,,,,,,,,,,,
,,2001 - 2002,"7,335.00","4,988.00",0.68,540,195,0.36,,,,,,,,,,,,
,,2002 - 2003,"23,873.00","13,822.00",0.58,"1,909.00",99,0.05,,,,,,,,,,,,
,,2003 - 2004,"12,077.00","4,674.00",0.39,983,606,0.62,,,,,,,,,,,,
,,2004 - 2005,"9,829.00","6,743.00",0.69,189,91,0.48,,,,,,,,,,,,
,,2005 - 2006,"6,155.00","4,493.00",0.73,"1,585.00",545,0.34,,,,,,,,,,,,
,,2006 - 2007,"11,572.00","7,314.00",0.63,"1,167.00",447,0.38,,,,,,,,,,,,
,,2007 - 2008,"7,000.00","4,000.00",0.57,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"4,732.00","1,883.00",0.4,"1,222.00",444,0.36,,,,,,,,,,,,
,,2009 - 2010,"25,236.00","5,779.00",0.23,"4,654.00","1,373.00",0.3,,,,,,,,,,,,
,,2010 - 2011,"6,121.00","1,616.00",0.26,861,363,0.42,,,,,,,,,,,,
,,2011 - 2012,"51,696.00","16,233.00",0.31,"1,071.00",537,0.5,,,,,,,,,,,,
,,2012 - 2013,"7,000.00","6,000.00",0.86,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2013 - 2014,"6,987.00","7,239.00",1.04,"1,872.00","1,170.00",0.63,,,,,,,,,,,,
,,2014 - 2015,"5,418.00","4,833.00",0.89,"3,095.00","3,172.00",1.02,,,,,,,,,,,,
,,2015 - 2016,"11,274.00","10,722.00",0.95,"3,744.00","4,781.00",1.28,,,,,,,,,,,,
,,2016 - 2017,"20,503.00","4,060.00",0.2,"5,667.00","7,299.00",1.29,,,,,,,,,,,,
,,2017 - 2018,"25,132.00","20,558.00",0.82,"1,652.00","2,686.00",1.63,,,,,,,,,,,,
,,2018 - 2019,"6,356.00","7,926.00",1.25,"1,912.00","2,216.00",1.16,,,,,,,,,,,,
,,2019 - 2020,"3,368.00","1,879.00",0.56,"1,718.00","1,871.00",1.09,,,,,,,,,,,,
,,2020 - 2021,"2,040.00","1,924.00",0.94,"1,578.00","1,570.00",0.99,,,,,,,,,,,,
,,2021 - 2022,"2,802.00","3,640.00",1.3,"2,804.00","2,479.00",0.88,,,,,,,,,,,,
,,2022 - 2023,91,130,1.43,10,11,1.1,,,,,,,,,,,,
3. Arunachal Pradesh,1. Anjaw,2016 - 2017,32,31,0.97,24,20,0.83,,,,,,,,,,,,
,,2017 - 2018,23,32,1.39,17,21,1.24,,,,,,,,,,,,
,,2018 - 2019,23,32,1.39,17,21,1.24,,,,,,,,,,,,
,,2019 - 2020,23,32,1.39,17,21,1.24,,,,,,,,,,,,
,,2020 - 2021,23,32,1.39,17,21,1.24,,,,,,,,,,,,
,,2021 - 2022,22,20,0.91,18,16,0.89,,,,,,,,,,,,
,,2022 - 2023,22,20,0.91,23,16,0.7,,,,,,,,,,,,
,2. Changlang,2016 - 2017,247,226,0.91,164,169,1.03,,,,,,,,,,,,
,,2017 - 2018,252,230,0.91,167,172,1.03,,,,,,,,,,,,
,,2018 - 2019,252,230,0.91,167,172,1.03,,,,,,,,,,,,
,,2019 - 2020,252,230,0.91,167,172,1.03,,,,,,,,,,,,
,,2020 - 2021,252,230,0.91,167,172,1.03,,,,,,,,,,,,
,,2021 - 2022,255,240,0.94,168,175,1.04,,,,,,,,,,,,
,,2022 - 2023,255,243,0.95,171,179,1.05,,,,,,,,,,,,
,3. Dibang valley,2016 - 2017,44,27,0.61,32,20,0.63,,,,,,,,,,,,
,,2017 - 2018,38,27,0.71,28,18,0.64,,,,,,,,,,,,
,,2018 - 2019,38,27,0.71,28,18,0.64,,,,,,,,,,,,
,,2019 - 2020,38,29,0.76,28,18,0.64,,,,,,,,,,,,
,,2020 - 2021,38,29,0.76,28,18,0.64,,,,,,,,,,,,
,,2021 - 2022,37,29,0.78,29,19,0.66,,,,,,,,,,,,
,,2022 - 2023,37,29,0.78,32,19,0.59,,,,,,,,,,,,
,4. East kameng,2016 - 2017,112,89,0.79,82,67,0.82,,,,,,,,,,,,
,,2017 - 2018,127,109,0.86,90,77,0.86,,,,,,,,,,,,
,,2018 - 2019,127,109,0.86,90,77,0.86,,,,,,,,,,,,
,,2019 - 2020,90,76,0.84,64,54,0.84,,,,,,,,,,,,
,,2020 - 2021,90,76,0.84,64,54,0.84,,,,,,,,,,,,
,,2021 - 2022,91,76,0.84,65,56,0.86,,,,,,,,,,,,
,,2022 - 2023,91,78,0.86,70,57,0.81,,,,,,,,,,,,
,5. East siang,2016 - 2017,84,72,0.86,86,63,0.73,,,,,,,,,,,,
,,2017 - 2018,93,72,0.77,91,64,0.7,,,,,,,,,,,,
,,2018 - 2019,82,70,0.85,68,64,0.94,,,,,,,,,,,,
,,2019 - 2020,83,71,0.86,68,66,0.97,,,,,,,,,,,,
,,2020 - 2021,83,71,0.86,68,66,0.97,,,,,,,,,,,,
,,2021 - 2022,85,90,1.06,69,68,0.99,,,,,,,,,,,,
,,2022 - 2023,85,90,1.06,72,71,0.99,,,,,,,,,,,,
,6. Kamle,2018 - 2019,28,49,1.75,20,20,1,,,,,,,,,,,,
,,2019 - 2020,29,49,1.69,20,21,1.05,,,,,,,,,,,,
,,2020 - 2021,29,49,1.69,20,21,1.05,,,,,,,,,,,,
,,2021 - 2022,29,35,1.21,21,22,1.05,,,,,,,,,,,,
,,2022 - 2023,29,35,1.21,26,24,0.92,,,,,,,,,,,,
,7. Kra daadi,2016 - 2017,9,5,0.56,10,6,0.6,,,,,,,,,,,,
,,2017 - 2018,9,5,0.56,3,6,2,,,,,,,,,,,,
,,2018 - 2019,9,5,0.56,3,6,2,,,,,,,,,,,,
,,2019 - 2020,9,8,0.89,3,6,2,,,,,,,,,,,,
,,2020 - 2021,9,8,0.89,3,6,2,,,,,,,,,,,,
,,2021 - 2022,9,8,0.89,4,5,1.25,,,,,,,,,,,,
,,2022 - 2023,13,12,0.92,6,6,1,,,,,,,,,,,,
,8. Kurung kumey,2016 - 2017,7,4,0.57,9,5,0.56,,,,,,,,,,,,
,,2017 - 2018,7,4,0.57,9,5,0.56,,,,,,,,,,,,
,,2018 - 2019,7,4,0.57,9,5,0.56,,,,,,,,,,,,
,,2019 - 2020,8,5,0.63,9,7,0.78,,,,,,,,,,,,
,,2020 - 2021,8,5,0.63,9,7,0.78,,,,,,,,,,,,
,,2021 - 2022,8,5,0.63,10,9,0.9,,,,,,,,,,,,
,,2022 - 2023,12,9,0.75,11,11,1,,,,,,,,,,,,
,9. Leparada,2019 - 2020,13,16,1.23,15,13,0.87,,,,,,,,,,,,
,,2020 - 2021,13,16,1.23,15,13,0.87,,,,,,,,,,,,
,,2021 - 2022,13,16,1.23,16,14,0.88,,,,,,,,,,,,
,,2022 - 2023,13,16,1.23,21,16,0.76,,,,,,,,,,,,
,10. Lohit,2016 - 2017,168,138,0.82,163,90,0.55,,,,,,,,,,,,
,,2017 - 2018,146,139,0.95,152,91,0.6,,,,,,,,,,,,
,,2018 - 2019,146,139,0.95,152,91,0.6,,,,,,,,,,,,
,,2019 - 2020,146,141,0.97,152,91,0.6,,,,,,,,,,,,
,,2020 - 2021,146,141,0.97,152,91,0.6,,,,,,,,,,,,
,,2021 - 2022,149,148,0.99,153,94,0.61,,,,,,,,,,,,
,,2022 - 2023,149,148,0.99,153,103,0.67,,,,,,,,,,,,
,11. Longding,2016 - 2017,25,21,0.84,19,16,0.84,,,,,,,,,,,,
,,2017 - 2018,17,19,1.12,15,16,1.07,,,,,,,,,,,,
,,2018 - 2019,17,19,1.12,15,16,1.07,,,,,,,,,,,,
,,2019 - 2020,17,19,1.12,15,16,1.07,,,,,,,,,,,,
,,2020 - 2021,17,19,1.12,15,16,1.07,,,,,,,,,,,,
,,2021 - 2022,16,16,1,16,17,1.06,,,,,,,,,,,,
,,2022 - 2023,16,16,1,21,17,0.81,,,,,,,,,,,,
,12. Lower dibang valley,2016 - 2017,108,99,0.92,80,70,0.88,,,,,,,,,,,,
,,2017 - 2018,117,111,0.95,86,78,0.91,,,,,,,,,,,,
,,2018 - 2019,117,111,0.95,86,78,0.91,,,,,,,,,,,,
,,2019 - 2020,117,112,0.96,86,80,0.93,,,,,,,,,,,,
,,2020 - 2021,117,112,0.96,86,80,0.93,,,,,,,,,,,,
,,2021 - 2022,119,114,0.96,87,82,0.94,,,,,,,,,,,,
,,2022 - 2023,119,116,0.97,89,88,0.99,,,,,,,,,,,,
,13. Lower siang,2018 - 2019,41,55,1.34,66,34,0.52,,,,,,,,,,,,
,,2019 - 2020,37,49,1.32,59,31,0.53,,,,,,,,,,,,
,,2020 - 2021,37,49,1.32,59,31,0.53,,,,,,,,,,,,
,,2021 - 2022,38,49,1.29,60,33,0.55,,,,,,,,,,,,
,,2022 - 2023,38,49,1.29,59,36,0.61,,,,,,,,,,,,
,14. Lower subansiri,2016 - 2017,46,43,0.93,34,30,0.88,,,,,,,,,,,,
,,2017 - 2018,59,42,0.71,42,29,0.69,,,,,,,,,,,,
,,2018 - 2019,45,40,0.89,32,29,0.91,,,,,,,,,,,,
,,2019 - 2020,45,41,0.91,33,30,0.91,,,,,,,,,,,,
,,2020 - 2021,45,41,0.91,33,30,0.91,,,,,,,,,,,,
,,2021 - 2022,45,41,0.91,34,31,0.91,,,,,,,,,,,,
,,2022 - 2023,45,41,0.91,33,33,1,,,,,,,,,,,,
,15. Namsai,2016 - 2017,236,201,0.85,163,178,1.09,,,,,,,,,,,,
,,2017 - 2018,266,207,0.78,178,171,0.96,,,,,,,,,,,,
,,2018 - 2019,266,207,0.78,178,171,0.96,,,,,,,,,,,,
,,2019 - 2020,266,207,0.78,178,171,0.96,,,,,,,,,,,,
,,2020 - 2021,266,207,0.78,178,171,0.96,,,,,,,,,,,,
,,2021 - 2022,268,231,0.86,179,180,1.01,,,,,,,,,,,,
,,2022 - 2023,268,234,0.87,177,186,1.05,,,,,,,,,,,,
,16. Pakke kessang,2019 - 2020,38,33,0.87,28,23,0.82,,,,,,,,,,,,
,,2020 - 2021,38,33,0.87,28,23,0.82,,,,,,,,,,,,
,,2021 - 2022,38,33,0.87,29,24,0.83,,,,,,,,,,,,
,,2022 - 2023,38,35,0.92,29,26,0.9,,,,,,,,,,,,
,17. Papum pare,2016 - 2017,59,67,1.14,43,39,0.91,,,,,,,,,,,,
,,2017 - 2018,72,67,0.93,51,40,0.78,,,,,,,,,,,,
,,2018 - 2019,72,67,0.93,51,40,0.78,,,,,,,,,,,,
,,2019 - 2020,72,69,0.96,51,41,0.8,,,,,,,,,,,,
,,2020 - 2021,72,69,0.96,51,41,0.8,,,,,,,,,,,,
,,2021 - 2022,73,75,1.03,52,43,0.83,,,,,,,,,,,,
,,2022 - 2023,73,75,1.03,50,45,0.9,,,,,,,,,,,,
,18. Shi yomi,2019 - 2020,10,12,1.2,10,12,1.2,,,,,,,,,,,,
,,2020 - 2021,10,12,1.2,10,12,1.2,,,,,,,,,,,,
,,2021 - 2022,10,12,1.2,11,10,0.91,,,,,,,,,,,,
,,2022 - 2023,10,12,1.2,12,10,0.83,,,,,,,,,,,,
,19. Siang,2016 - 2017,47,45,0.96,49,43,0.88,,,,,,,,,,,,
,,2017 - 2018,38,44,1.16,43,42,0.98,,,,,,,,,,,,
,,2018 - 2019,38,44,1.16,43,42,0.98,,,,,,,,,,,,
,,2019 - 2020,38,44,1.16,43,42,0.98,,,,,,,,,,,,
,,2020 - 2021,38,44,1.16,43,42,0.98,,,,,,,,,,,,
,,2021 - 2022,40,47,1.18,44,44,1,,,,,,,,,,,,
,,2022 - 2023,40,47,1.18,46,45,0.98,,,,,,,,,,,,
,20. Tirap,2016 - 2017,20,19,0.95,19,15,0.79,,,,,,,,,,,,
,,2017 - 2018,10,20,2,13,15,1.15,,,,,,,,,,,,
,,2018 - 2019,10,20,2,13,15,1.15,,,,,,,,,,,,
,,2019 - 2020,10,20,2,13,15,1.15,,,,,,,,,,,,
,,2020 - 2021,10,20,2,13,15,1.15,,,,,,,,,,,,
,,2021 - 2022,10,12,1.2,14,17,1.21,,,,,,,,,,,,
,,2022 - 2023,10,12,1.2,21,21,1,,,,,,,,,,,,
,21. Upper siang,2016 - 2017,45,38,0.84,35,30,0.86,,,,,,,,,,,,
,,2017 - 2018,40,37,0.93,32,30,0.94,,,,,,,,,,,,
,,2018 - 2019,40,37,0.93,32,30,0.94,,,,,,,,,,,,
,,2019 - 2020,42,38,0.9,32,31,0.97,,,,,,,,,,,,
,,2020 - 2021,42,38,0.9,32,31,0.97,,,,,,,,,,,,
,,2021 - 2022,43,43,1,33,36,1.09,,,,,,,,,,,,
,,2022 - 2023,43,43,1,33,38,1.15,,,,,,,,,,,,
,22. Upper subansiri,2016 - 2017,71,68,0.96,44,50,1.14,,,,,,,,,,,,
,,2017 - 2018,65,79,1.22,51,59,1.16,,,,,,,,,,,,
,,2018 - 2019,56,79,1.41,41,59,1.44,,,,,,,,,,,,
,,2019 - 2020,56,80,1.43,42,60,1.43,,,,,,,,,,,,
,,2020 - 2021,56,80,1.43,42,60,1.43,,,,,,,,,,,,
,,2021 - 2022,56,80,1.43,43,62,1.44,,,,,,,,,,,,
,,2022 - 2023,56,80,1.43,42,64,1.52,,,,,,,,,,,,
,23. West siang,2016 - 2017,48,42,0.88,62,55,0.89,,,,,,,,,,,,
,,2017 - 2018,54,41,0.76,66,54,0.82,,,,,,,,,,,,
,,2018 - 2019,34,41,1.21,33,40,1.21,,,,,,,,,,,,
,,2019 - 2020,15,19,1.27,15,18,1.2,,,,,,,,,,,,
,,2020 - 2021,15,19,1.27,15,18,1.2,,,,,,,,,,,,
,,2021 - 2022,16,19,1.19,16,19,1.19,,,,,,,,,,,,
,,2022 - 2023,16,19,1.19,24,21,0.88,,,,,,,,,,,,
4. Assam,1. Baksa,2005 - 2006,"1,322.00",733,0.55,,,,,,,,,,,,,,,
,,2006 - 2007,"1,380.00",709,0.51,,,,,,,,,,,,,,,
,,2007 - 2008,"1,401.00",656,0.47,,,,,,,,,,,,,,,
,,2008 - 2009,"1,345.00",780,0.58,,,,,,,,,,,,,,,
,,2009 - 2010,"1,375.00",807,0.59,,,,,,,,,,,,,,,
,,2010 - 2011,"1,615.00",817,0.51,,,,,,,,,,,,,,,
,,2011 - 2012,"2,088.00","1,119.00",0.54,,,,,,,,,,,,,,,
,,2012 - 2013,"2,124.00","1,109.00",0.52,,,,,,,,,,,,,,,
,,2013 - 2014,"2,124.00","1,210.00",0.57,,,,,,,,,,,,,,,
,,2014 - 2015,"1,828.00","1,151.00",0.63,,,,,,,,,,,,,,,
,,2015 - 2016,"1,790.00","1,231.00",0.69,,,,,,,,,,,,,,,
,,2016 - 2017,"1,800.00","1,187.00",0.66,,,,,,,,,,,,,,,
,,2017 - 2018,"1,850.00","1,163.00",0.63,,,,,,,,,,,,,,,
,,2018 - 2019,"1,850.00","1,164.00",0.63,,,,,,,,,,,,,,,
,,2019 - 2020,"1,948.00","1,035.00",0.53,,,,,,,,,,,,,,,
,,2020 - 2021,"1,540.00","1,013.00",0.66,,,,,,,,,,,,,,,
,,2021 - 2022,"1,450.00","1,347.00",0.93,,,,,,,,,,,,,,,
,,2022 - 2023,"1,465.00","1,186.00",0.81,,,,,,,,,,,,,,,
,2. Barpeta,2001 - 2002,"4,355.00","2,200.00",0.51,,,,,,,,,,,,,,,
,,2002 - 2003,"4,225.00","2,161.00",0.51,,,,,,,,,,,,,,,
,,2003 - 2004,"4,380.00","2,321.00",0.53,,,,,,,,,,,,,,,
,,2004 - 2005,"4,195.00","2,484.00",0.59,,,,,,,,,,,,,,,
,,2005 - 2006,"3,171.00","1,737.00",0.55,,,,,,,,,,,,,,,
,,2006 - 2007,"3,569.00","1,941.00",0.54,,,,,,,,,,,,,,,
,,2007 - 2008,"3,672.00","2,954.00",0.8,,,,,,,,,,,,,,,
,,2008 - 2009,"4,391.00","2,491.00",0.57,,,,,,,,,,,,,,,
,,2009 - 2010,"4,739.00","2,866.00",0.6,,,,,,,,,,,,,,,
,,2010 - 2011,"5,262.00","3,076.00",0.58,,,,,,,,,,,,,,,
,,2011 - 2012,"5,438.00","2,248.00",0.41,,,,,,,,,,,,,,,
,,2012 - 2013,"5,424.00","3,387.00",0.62,,,,,,,,,,,,,,,
,,2013 - 2014,"5,333.00","2,732.00",0.51,,,,,,,,,,,,,,,
,,2014 - 2015,"5,412.00","3,969.00",0.73,,,,,,,,,,,,,,,
,,2015 - 2016,"5,344.00","4,045.00",0.76,,,,,,,,,,,,,,,
,,2016 - 2017,"5,339.00","3,292.00",0.62,,,,,,,,,,,,,,,
,,2017 - 2018,"5,295.00","3,475.00",0.66,,,,,,,,,,,,,,,
,,2018 - 2019,"5,124.00","3,660.00",0.71,,,,,,,,,,,,,,,
,,2019 - 2020,"4,972.00","3,580.00",0.72,,,,,,,,,,,,,,,
,,2020 - 2021,"5,019.00","3,658.00",0.73,,,,,,,,,,,,,,,
,,2021 - 2022,"4,972.00","3,586.00",0.72,,,,,,,,,,,,,,,
,,2022 - 2023,"4,880.00","2,883.00",0.59,,,,,,,,,,,,,,,
,3. Biswanath,2020 - 2021,"1,186.00",904,0.76,,,,,,,,,,,,,,,
,,2021 - 2022,"1,456.00",891,0.61,,,,,,,,,,,,,,,
,,2022 - 2023,"1,582.00","1,175.00",0.74,,,,,,,,,,,,,,,
,4. Bongaigaon,2001 - 2002,"2,680.00","1,323.00",0.49,,,,,,,,,,,,,,,
,,2002 - 2003,"2,810.00","1,477.00",0.53,,,,,,,,,,,,,,,
,,2003 - 2004,"2,795.00","1,258.00",0.45,,,,,,,,,,,,,,,
,,2004 - 2005,"2,718.00","1,976.00",0.73,,,,,,,,,,,,,,,
,,2005 - 2006,"2,021.00",911,0.45,,,,,,,,,,,,,,,
,,2006 - 2007,"2,047.00","1,008.00",0.49,,,,,,,,,,,,,,,
,,2007 - 2008,"2,100.00","1,109.00",0.53,,,,,,,,,,,,,,,
,,2008 - 2009,"2,091.00","1,457.00",0.7,,,,,,,,,,,,,,,
,,2009 - 2010,"2,041.00","1,148.00",0.56,,,,,,,,,,,,,,,
,,2010 - 2011,"2,107.00","1,133.00",0.54,,,,,,,,,,,,,,,
,,2011 - 2012,"2,115.00","1,628.00",0.77,,,,,,,,,,,,,,,
,,2012 - 2013,"2,275.00",933,0.41,,,,,,,,,,,,,,,
,,2013 - 2014,"2,127.00","1,025.00",0.48,,,,,,,,,,,,,,,
,,2014 - 2015,"2,090.00","1,252.00",0.6,,,,,,,,,,,,,,,
,,2015 - 2016,"2,317.00","1,577.00",0.68,,,,,,,,,,,,,,,
,,2016 - 2017,"2,490.00","1,707.00",0.69,,,,,,,,,,,,,,,
,,2017 - 2018,"2,295.00","1,523.00",0.66,,,,,,,,,,,,,,,
,,2018 - 2019,"2,367.00","1,387.00",0.59,,,,,,,,,,,,,,,
,,2019 - 2020,"2,286.00","2,171.00",0.95,,,,,,,,,,,,,,,
,,2020 - 2021,"2,157.00","1,914.00",0.89,,,,,,,,,,,,,,,
,,2021 - 2022,"2,553.00","2,050.00",0.8,,,,,,,,,,,,,,,
,,2022 - 2023,"2,686.00","1,821.00",0.68,,,,,,,,,,,,,,,
,5. Cachar,2001 - 2002,700,389,0.56,,,,,,,,,,,,,,,
,,2002 - 2003,710,354,0.5,,,,,,,,,,,,,,,
,,2003 - 2004,780,408,0.52,,,,,,,,,,,,,,,
,,2004 - 2005,934,538,0.58,,,,,,,,,,,,,,,
,,2005 - 2006,896,439,0.49,,,,,,,,,,,,,,,
,,2006 - 2007,980,504,0.51,,,,,,,,,,,,,,,
,,2007 - 2008,958,508,0.53,,,,,,,,,,,,,,,
,,2008 - 2009,897,521,0.58,,,,,,,,,,,,,,,
,,2009 - 2010,914,518,0.57,,,,,,,,,,,,,,,
,,2010 - 2011,850,475,0.56,,,,,,,,,,,,,,,
,,2011 - 2012,815,453,0.56,,,,,,,,,,,,,,,
,,2012 - 2013,835,460,0.55,,,,,,,,,,,,,,,
,,2013 - 2014,847,491,0.58,,,,,,,,,,,,,,,
,,2014 - 2015,917,595,0.65,,,,,,,,,,,,,,,
,,2015 - 2016,916,603,0.66,,,,,,,,,,,,,,,
,,2016 - 2017,917,620,0.68,,,,,,,,,,,,,,,
,,2017 - 2018,920,596,0.65,,,,,,,,,,,,,,,
,,2018 - 2019,869,578,0.67,,,,,,,,,,,,,,,
,,2019 - 2020,907,543,0.6,,,,,,,,,,,,,,,
,,2020 - 2021,966,629,0.65,,,,,,,,,,,,,,,
,,2021 - 2022,974,644,0.66,,,,,,,,,,,,,,,
,,2022 - 2023,"1,120.00",752,0.67,,,,,,,,,,,,,,,
,6. Charaideo,2020 - 2021,67,44,0.66,,,,,,,,,,,,,,,
,,2021 - 2022,75,50,0.67,,,,,,,,,,,,,,,
,,2022 - 2023,102,68,0.67,,,,,,,,,,,,,,,
,7. Chirang,2005 - 2006,777,264,0.34,,,,,,,,,,,,,,,
,,2006 - 2007,958,492,0.51,,,,,,,,,,,,,,,
,,2007 - 2008,747,553,0.74,,,,,,,,,,,,,,,
,,2008 - 2009,727,430,0.59,,,,,,,,,,,,,,,
,,2009 - 2010,"1,064.00",286,0.27,,,,,,,,,,,,,,,
,,2010 - 2011,806,377,0.47,,,,,,,,,,,,,,,
,,2011 - 2012,770,368,0.48,,,,,,,,,,,,,,,
,,2012 - 2013,756,265,0.35,,,,,,,,,,,,,,,
