State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,"18,500.00","7,641.00",0.41,"2,605.00","2,670.00",1.02,,,,,,,,,,,,
,,2015 - 2016,"27,891.00","14,782.00",0.53,"1,812.00","1,946.00",1.07,,,,,,,,,,,,
,,2016 - 2017,"33,727.00","22,057.00",0.65,"6,087.00","5,533.00",0.91,,,,,,,,,,,,
,,2017 - 2018,"21,982.00","17,256.00",0.79,"2,558.00","3,072.00",1.2,,,,,,,,,,,,
,,2018 - 2019,"15,641.00","10,104.00",0.65,"3,734.00","4,305.00",1.15,,,,,,,,,,,,
,,2019 - 2020,"11,190.00","9,556.00",0.85,"3,101.00","3,303.00",1.07,,,,,,,,,,,,
,,2020 - 2021,"8,864.00","8,235.00",0.93,"2,874.00","3,455.00",1.2,,,,,,,,,,,,
,,2021 - 2022,"10,115.00","12,745.00",1.26,"4,879.00","4,523.00",0.93,,,,,,,,,,,,
,,2022 - 2023,389,470,1.21,"2,876.00","4,553.00",1.58,,,,,,,,,,,,
,8. Eluru,2022 - 2023,"9,584.00","14,069.00",1.47,"2,457.00","3,285.00",1.34,,,,,,,,,,,,
,9. Guntur,2000 - 2001,"1,65,179.00","1,28,840.00",0.78,"9,324.00",550,0.06,,,,,,,,,,,,
,,2001 - 2002,"1,54,060.00","1,18,164.00",0.77,"9,551.00","3,448.00",0.36,,,,,,,,,,,,
,,2002 - 2003,"1,76,210.00","1,16,827.00",0.66,"3,217.00",167,0.05,,,,,,,,,,,,
,,2003 - 2004,"65,589.00","17,119.00",0.26,"1,615.00",995,0.62,,,,,,,,,,,,
,,2004 - 2005,"67,026.00","45,041.00",0.67,"1,039.00",501,0.48,,,,,,,,,,,,
,,2005 - 2006,"1,00,125.00","78,298.00",0.78,"1,243.00",428,0.34,,,,,,,,,,,,
,,2006 - 2007,"1,18,159.00","1,11,424.00",0.94,"1,104.00",531,0.48,,,,,,,,,,,,
,,2007 - 2008,"1,07,000.00","31,000.00",0.29,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"40,024.00","22,373.00",0.56,222,71,0.32,,,,,,,,,,,,
,,2009 - 2010,"62,373.00","35,989.00",0.58,342,320,0.94,,,,,,,,,,,,
,,2010 - 2011,"69,752.00","38,922.00",0.56,277,14,0.05,,,,,,,,,,,,
,,2011 - 2012,"55,286.00","60,759.00",1.1,172,189,1.1,,,,,,,,,,,,
,,2012 - 2013,"50,000.00","53,000.00",1.06,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"36,768.00","40,077.00",1.09,223,150,0.67,,,,,,,,,,,,
,,2014 - 2015,"30,401.00","31,799.00",1.05,"1,057.00","1,517.00",1.44,,,,,,,,,,,,
,,2015 - 2016,"53,367.00","57,423.00",1.08,"1,624.00","2,387.00",1.47,,,,,,,,,,,,
,,2016 - 2017,"87,304.00","46,533.00",0.53,"12,656.00","4,708.00",0.37,,,,,,,,,,,,
,,2017 - 2018,"41,470.00","46,778.00",1.13,"12,454.00","9,440.00",0.76,,,,,,,,,,,,
,,2018 - 2019,"30,396.00","30,031.00",0.99,"3,979.00","1,802.00",0.45,,,,,,,,,,,,
,,2019 - 2020,"31,058.00","40,406.00",1.3,"1,845.00","1,292.00",0.7,,,,,,,,,,,,
,,2020 - 2021,"31,999.00","35,423.00",1.11,"4,837.00","3,691.00",0.76,,,,,,,,,,,,
,,2021 - 2022,"34,150.00","34,082.00",1,"5,227.00","2,535.00",0.48,,,,,,,,,,,,
