State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,"1,863.00",778,0.42,,,
,,2007 - 2008,,,,,,,,,,,,,"1,853.00",660,0.36,,,
,,2008 - 2009,,,,,,,,,,,,,"2,528.00",412,0.16,,,
,,2009 - 2010,,,,,,,,,,,,,"2,521.00",391,0.16,,,
,,2010 - 2011,,,,,,,,,,,,,"2,248.00",444,0.2,,,
,,2011 - 2012,,,,,,,,,,,,,"1,569.00",526,0.34,,,
,,2012 - 2013,,,,,,,,,,,,,"1,021.00",210,0.21,,,
,,2013 - 2014,,,,835,238,0.29,625,114,0.18,,,,,,,,,
,,2014 - 2015,,,,"1,435.00","1,926.00",1.34,69,27,0.39,,,,,,,,,
,,2015 - 2016,,,,412,95,0.23,108,36,0.33,,,,,,,,,
,,2016 - 2017,,,,582,52,0.09,115,45,0.39,,,,,,,,,
,,2017 - 2018,,,,775,476,0.61,86,37,0.43,,,,,,,,,
,,2018 - 2019,,,,"1,005.00",344,0.34,140,66,0.47,,,,,,,,,
,,2019 - 2020,,,,870,84,0.1,450,249,0.55,,,,,,,,,
,,2020 - 2021,,,,"1,045.00",288,0.28,601,360,0.6,,,,,,,,,
,,2021 - 2022,,,,717,145,0.2,318,216,0.68,,,,,,,,,
,,2022 - 2023,,,,"1,143.00",300,0.26,528,244,0.46,,,,,,,,,
26. Telangana,1. Adilabad,2000 - 2001,,,,"11,710.00","2,272.00",0.19,"2,396.00",206,0.09,,,,,,,,,
,,2001 - 2002,,,,"12,841.00","2,478.00",0.19,"2,126.00",272,0.13,,,,,,,,,
,,2002 - 2003,,,,"8,651.00","1,540.00",0.18,"2,690.00",627,0.23,,,,,,,,,
,,2003 - 2004,,,,"10,243.00","2,120.00",0.21,"2,071.00",362,0.17,,,,,,,,,
,,2004 - 2005,,,,"11,598.00","4,546.00",0.39,"1,222.00",314,0.26,,,,,,,,,
,,2005 - 2006,,,,"8,314.00","2,020.00",0.24,"1,951.00",576,0.3,,,,,,,,,
,,2006 - 2007,,,,"10,012.00","2,493.00",0.25,"2,280.00",429,0.19,,,,,,,,,
,,2007 - 2008,,,,"2,000.00","1,000.00",0.5,"1,000.00",,0,,,,,,,,,
,,2008 - 2009,,,,"7,381.00","1,380.00",0.19,175,43,0.25,,,,,,,,,
,,2009 - 2010,,,,"3,539.00",973,0.27,"1,889.00",193,0.1,,,,,,,,,
,,2010 - 2011,,,,"3,286.00",979,0.3,868,156,0.18,,,,,,,,,
,,2011 - 2012,,,,"1,930.00",944,0.49,574,170,0.3,,,,,,,,,
,,2012 - 2013,,,,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2013 - 2014,,,,"4,760.00","1,842.00",0.39,117,27,0.23,,,,,,,,,
,,2014 - 2015,,,,"4,199.00","2,024.00",0.48,622,123,0.2,,,,,,,,,
,,2015 - 2016,,,,"3,807.00",997,0.26,386,14,0.04,,,,,,,,,
,,2016 - 2017,,,,177,142,0.8,107,15,0.14,,,,,,,,,
,,2017 - 2018,,,,190,108,0.57,80,19,0.24,,,,,,,,,
,,2018 - 2019,,,,226,158,0.7,30,5,0.17,,,,,,,,,
,,2019 - 2020,,,,295,188,0.64,2,,0,,,,,,,,,
,,2020 - 2021,,,,486,331,0.68,28,3,0.11,,,,,,,,,
,,2021 - 2022,,,,307,86,0.28,37,8,0.22,,,,,,,,,
,,2022 - 2023,,,,216,104,0.48,,,,,,,,,,,,
,2. Bhadradri,2016 - 2017,,,,95,76,0.8,412,124,0.3,,,,,,,,,
,,2017 - 2018,,,,67,38,0.57,45,11,0.24,,,,,,,,,
,,2018 - 2019,,,,63,44,0.7,27,5,0.19,,,,,,,,,
,,2019 - 2020,,,,82,52,0.63,39,6,0.15,,,,,,,,,
,,2020 - 2021,,,,137,93,0.68,105,10,0.1,,,,,,,,,
,,2021 - 2022,,,,448,348,0.78,91,20,0.22,,,,,,,,,
,,2022 - 2023,,,,100,76,0.76,26,13,0.5,,,,,,,,,
,3. Jagitial,2016 - 2017,,,,"7,536.00","7,378.00",0.98,,,,,,,,,,,,
,,2017 - 2018,,,,"6,898.00","3,566.00",0.52,,,,,,,,,,,,
,,2018 - 2019,,,,"6,395.00","2,750.00",0.43,,,,,,,,,,,,
,,2019 - 2020,,,,"6,644.00","4,717.00",0.71,,,,,,,,,,,,
,,2020 - 2021,,,,"8,031.00","6,112.00",0.76,,,,,,,,,,,,
,,2021 - 2022,,,,"11,616.00","9,316.00",0.8,,,,,,,,,,,,
,,2022 - 2023,,,,"4,862.00","3,812.00",0.78,,,,,,,,,,,,
,4. Jangoan,2016 - 2017,,,,44,35,0.8,"1,284.00",136,0.11,,,,,,,,,
,,2017 - 2018,,,,5,3,0.6,174,32,0.18,,,,,,,,,
,,2018 - 2019,,,,6,4,0.67,110,25,0.23,,,,,,,,,
,,2019 - 2020,,,,6,4,0.67,1,,0,,,,,,,,,
,,2020 - 2021,,,,67,47,0.7,96,9,0.09,,,,,,,,,
,,2021 - 2022,,,,188,146,0.78,43,10,0.23,,,,,,,,,
,,2022 - 2023,,,,4,3,0.75,5,2,0.4,,,,,,,,,
,5. Jayashankar,2016 - 2017,,,,35,28,0.8,81,9,0.11,,,,,,,,,
,,2017 - 2018,,,,78,44,0.56,,,,,,,,,,,,
,,2019 - 2020,,,,26,17,0.65,,,,,,,,,,,,
,,2020 - 2021,,,,54,37,0.69,39,4,0.1,,,,,,,,,
,,2021 - 2022,,,,57,44,0.77,4,1,0.25,,,,,,,,,
,,2022 - 2023,,,,29,22,0.76,,,,,,,,,,,,
,6. Jogulamba,2017 - 2018,,,,2,1,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,11,7,0.64,1,,0,,,,,,,,,
,,2020 - 2021,,,,12,8,0.67,2,0,0,,,,,,,,,
,,2021 - 2022,,,,36,28,0.78,,,,,,,,,,,,
,,2022 - 2023,,,,7,5,0.71,4,1,0.25,,,,,,,,,
,7. Kamareddy,2016 - 2017,,,,39,31,0.79,,,,,,,,,,,,
,,2017 - 2018,,,,29,17,0.59,,,,,,,,,,,,
,,2018 - 2019,,,,23,16,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,209,133,0.64,3,,0,,,,,,,,,
,,2020 - 2021,,,,604,409,0.68,8,1,0.13,,,,,,,,,
,,2021 - 2022,,,,"1,330.00","1,033.00",0.78,14,3,0.21,,,,,,,,,
,,2022 - 2023,,,,81,11,0.14,1,0,0,,,,,,,,,
,8. Karimnagar,2000 - 2001,,,,"3,095.00",600,0.19,415,64,0.15,,,,,,,,,
,,2001 - 2002,,,,"3,211.00",620,0.19,308,60,0.19,,,,,,,,,
,,2002 - 2003,,,,"2,098.00",373,0.18,304,57,0.19,,,,,,,,,
,,2003 - 2004,,,,"3,365.00",697,0.21,157,45,0.29,,,,,,,,,
,,2004 - 2005,,,,"3,657.00","1,327.00",0.36,145,39,0.27,,,,,,,,,
,,2005 - 2006,,,,"4,612.00","2,790.00",0.6,178,43,0.24,,,,,,,,,
,,2006 - 2007,,,,"4,549.00","2,238.00",0.49,299,56,0.19,,,,,,,,,
,,2007 - 2008,,,,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2008 - 2009,,,,"2,374.00","1,023.00",0.43,,,,,,,,,,,,
,,2009 - 2010,,,,"4,516.00","2,136.00",0.47,154,16,0.1,,,,,,,,,
,,2010 - 2011,,,,"6,252.00","2,726.00",0.44,27,5,0.19,,,,,,,,,
,,2011 - 2012,,,,"5,739.00","2,169.00",0.38,,,,,,,,,,,,
,,2012 - 2013,,,,"8,000.00","4,000.00",0.5,,,,,,,,,,,,
,,2013 - 2014,,,,"6,083.00","3,048.00",0.5,,,,,,,,,,,,
,,2014 - 2015,,,,"7,269.00","3,664.00",0.5,10,2,0.2,,,,,,,,,
,,2015 - 2016,,,,"3,332.00","1,003.00",0.3,,,,,,,,,,,,
,,2016 - 2017,,,,5,4,0.8,3,1,0.33,,,,,,,,,
,,2017 - 2018,,,,9,5,0.56,,,,,,,,,,,,
,,2019 - 2020,,,,4,3,0.75,1,,0,,,,,,,,,
,,2020 - 2021,,,,66,45,0.68,10,1,0.1,,,,,,,,,
,,2021 - 2022,,,,161,125,0.78,2,0,0,,,,,,,,,
,,2022 - 2023,,,,13,10,0.77,,,,,,,,,,,,
,9. Khammam,2000 - 2001,,,,967,188,0.19,"7,554.00","1,186.00",0.16,,,,,,,,,
,,2001 - 2002,,,,920,178,0.19,"7,164.00","1,075.00",0.15,,,,,,,,,
,,2002 - 2003,,,,583,104,0.18,"8,899.00","1,255.00",0.14,,,,,,,,,
,,2003 - 2004,,,,"3,592.00",744,0.21,"9,897.00","1,376.00",0.14,,,,,,,,,
,,2004 - 2005,,,,"2,495.00",961,0.39,"5,616.00",949,0.17,,,,,,,,,
,,2005 - 2006,,,,"2,998.00","1,115.00",0.37,"4,561.00",816,0.18,,,,,,,,,
,,2006 - 2007,,,,"2,633.00",856,0.33,"2,897.00",382,0.13,,,,,,,,,
,,2007 - 2008,,,,"3,000.00","1,000.00",0.33,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2008 - 2009,,,,"3,534.00",937,0.27,"1,550.00",625,0.4,,,,,,,,,
,,2009 - 2010,,,,"3,052.00",552,0.18,"1,317.00",207,0.16,,,,,,,,,
,,2010 - 2011,,,,"4,202.00",815,0.19,"1,071.00",222,0.21,,,,,,,,,
,,2011 - 2012,,,,"1,860.00",385,0.21,555,113,0.2,,,,,,,,,
,,2012 - 2013,,,,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2013 - 2014,,,,"3,179.00",731,0.23,493,178,0.36,,,,,,,,,
,,2014 - 2015,,,,864,79,0.09,262,80,0.31,,,,,,,,,
,,2015 - 2016,,,,317,94,0.3,133,32,0.24,,,,,,,,,
,,2016 - 2017,,,,173,139,0.8,50,15,0.3,,,,,,,,,
,,2017 - 2018,,,,150,85,0.57,,,,,,,,,,,,
,,2018 - 2019,,,,116,81,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,121,77,0.64,5,1,0.2,,,,,,,,,
,,2020 - 2021,,,,640,433,0.68,22,2,0.09,,,,,,,,,
,,2021 - 2022,,,,617,268,0.43,21,5,0.24,,,,,,,,,
,,2022 - 2023,,,,172,78,0.45,3,1,0.33,,,,,,,,,
,10. Komaram bheem asifabad,2016 - 2017,,,,24,19,0.79,80,11,0.14,,,,,,,,,
,,2017 - 2018,,,,4,2,0.5,127,30,0.24,,,,,,,,,
,,2018 - 2019,,,,3,2,0.67,55,9,0.16,,,,,,,,,
,,2019 - 2020,,,,16,10,0.63,9,1,0.11,,,,,,,,,
,,2020 - 2021,,,,14,10,0.71,22,2,0.09,,,,,,,,,
,,2021 - 2022,,,,56,44,0.79,8,2,0.25,,,,,,,,,
,,2022 - 2023,,,,45,34,0.76,3,1,0.33,,,,,,,,,
,11. Mahabubabad,2016 - 2017,,,,11,9,0.82,151,16,0.11,,,,,,,,,
,,2017 - 2018,,,,9,5,0.56,35,8,0.23,,,,,,,,,
,,2018 - 2019,,,,9,6,0.67,27,5,0.19,,,,,,,,,
,,2019 - 2020,,,,38,24,0.63,26,4,0.15,,,,,,,,,
,,2020 - 2021,,,,81,55,0.68,53,5,0.09,,,,,,,,,
,,2021 - 2022,,,,78,61,0.78,29,6,0.21,,,,,,,,,
,,2022 - 2023,,,,35,26,0.74,9,3,0.33,,,,,,,,,
,12. Mahbubnagar,2000 - 2001,,,,,,,"1,508.00",232,0.15,,,,,,,,,
,,2001 - 2002,,,,,,,"1,022.00",199,0.19,,,,,,,,,
,,2002 - 2003,,,,,,,883,166,0.19,,,,,,,,,
,,2003 - 2004,,,,,,,877,252,0.29,,,,,,,,,
,,2004 - 2005,,,,69,27,0.39,817,221,0.27,,,,,,,,,
,,2005 - 2006,,,,,,,734,178,0.24,,,,,,,,,
,,2006 - 2007,,,,25,8,0.32,340,64,0.19,,,,,,,,,
,,2007 - 2008,,,,,,,"1,000.00",,0,,,,,,,,,
,,2008 - 2009,,,,,,,257,62,0.24,,,,,,,,,
,,2009 - 2010,,,,21,7,0.33,841,86,0.1,,,,,,,,,
,,2010 - 2011,,,,,,,724,130,0.18,,,,,,,,,
,,2011 - 2012,,,,,,,589,175,0.3,,,,,,,,,
,,2012 - 2013,,,,,,,"1,000.00",,0,,,,,,,,,
,,2013 - 2014,,,,,,,390,89,0.23,,,,,,,,,
,,2014 - 2015,,,,338,158,0.47,747,148,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,509,19,0.04,,,,,,,,,
,,2016 - 2017,,,,,,,241,33,0.14,,,,,,,,,
,,2017 - 2018,,,,33,19,0.58,333,95,0.29,,,,,,,,,
,,2018 - 2019,,,,,,,281,43,0.15,,,,,,,,,
,,2019 - 2020,,,,3,2,0.67,118,14,0.12,,,,,,,,,
,,2020 - 2021,,,,2,2,1,134,13,0.1,,,,,,,,,
,,2021 - 2022,,,,9,7,0.78,65,4,0.06,,,,,,,,,
,,2022 - 2023,,,,,,,45,1,0.02,,,,,,,,,
,13. Mancherial,2016 - 2017,,,,56,45,0.8,125,17,0.14,,,,,,,,,
,,2017 - 2018,,,,33,19,0.58,39,9,0.23,,,,,,,,,
,,2018 - 2019,,,,25,18,0.72,5,1,0.2,,,,,,,,,
,,2019 - 2020,,,,24,15,0.63,1,,0,,,,,,,,,
,,2020 - 2021,,,,91,62,0.68,67,6,0.09,,,,,,,,,
,,2021 - 2022,,,,434,337,0.78,25,6,0.24,,,,,,,,,
,,2022 - 2023,,,,49,37,0.76,3,1,0.33,,,,,,,,,
,14. Medak,2000 - 2001,,,,175,34,0.19,"2,949.00",454,0.15,,,,,,,,,
,,2001 - 2002,,,,178,34,0.19,"2,261.00",441,0.2,,,,,,,,,
,,2002 - 2003,,,,194,34,0.18,"1,998.00",376,0.19,,,,,,,,,
,,2003 - 2004,,,,114,24,0.21,"2,156.00",619,0.29,,,,,,,,,
,,2004 - 2005,,,,147,57,0.39,"1,338.00",361,0.27,,,,,,,,,
,,2005 - 2006,,,,146,54,0.37,"1,614.00",392,0.24,,,,,,,,,
,,2006 - 2007,,,,154,50,0.32,"1,340.00",252,0.19,,,,,,,,,
,,2007 - 2008,,,,,,,"1,000.00",,0,,,,,,,,,
,,2008 - 2009,,,,73,18,0.25,975,237,0.24,,,,,,,,,
,,2009 - 2010,,,,146,48,0.33,685,70,0.1,,,,,,,,,
,,2010 - 2011,,,,105,35,0.33,647,116,0.18,,,,,,,,,
,,2011 - 2012,,,,61,22,0.36,463,138,0.3,,,,,,,,,
,,2013 - 2014,,,,108,43,0.4,162,37,0.23,,,,,,,,,
,,2014 - 2015,,,,246,115,0.47,364,72,0.2,,,,,,,,,
,,2015 - 2016,,,,86,24,0.28,201,7,0.03,,,,,,,,,
,,2016 - 2017,,,,11,9,0.82,,,,,,,,,,,,
,,2017 - 2018,,,,3,2,0.67,,,,,,,,,,,,
,,2018 - 2019,,,,13,9,0.69,1,,0,,,,,,,,,
,,2019 - 2020,,,,26,17,0.65,2,,0,,,,,,,,,
,,2020 - 2021,,,,25,16,0.64,16,2,0.13,,,,,,,,,
,,2021 - 2022,,,,321,249,0.78,4,1,0.25,,,,,,,,,
,,2022 - 2023,,,,3,2,0.67,,,,,,,,,,,,
,15. Medchal,2018 - 2019,,,,26,18,0.69,,,,,,,,,,,,
,,2019 - 2020,,,,,,,1,,0,,,,,,,,,
,,2020 - 2021,,,,,,,6,1,0.17,,,,,,,,,
,,2021 - 2022,,,,4,3,0.75,5,1,0.2,,,,,,,,,
,16. Mulugu,2018 - 2019,,,,19,13,0.68,,,,,,,,,,,,
,,2019 - 2020,,,,22,14,0.64,,,,,,,,,,,,
,,2020 - 2021,,,,4,3,0.75,2,0,0,,,,,,,,,
,,2021 - 2022,,,,259,201,0.78,2,0,0,,,,,,,,,
,,2022 - 2023,,,,14,11,0.79,,,,,,,,,,,,
,17. Nagarkurnool,2016 - 2017,,,,34,27,0.79,,,,,,,,,,,,
,,2017 - 2018,,,,5,3,0.6,,,,,,,,,,,,
,,2018 - 2019,,,,35,25,0.71,,,,,,,,,,,,
,,2019 - 2020,,,,48,31,0.65,58,9,0.16,,,,,,,,,
,,2020 - 2021,,,,102,69,0.68,80,8,0.1,,,,,,,,,
,,2021 - 2022,,,,32,25,0.78,32,7,0.22,,,,,,,,,
,,2022 - 2023,,,,5,4,0.8,7,1,0.14,,,,,,,,,
,18. Nalgonda,2000 - 2001,,,,,,,"7,834.00",987,0.13,,,,,,,,,
,,2001 - 2002,,,,,,,"6,205.00",372,0.06,,,,,,,,,
,,2002 - 2003,,,,,,,"7,992.00",496,0.06,,,,,,,,,
,,2003 - 2004,,,,145,30,0.21,"12,887.00","3,132.00",0.24,,,,,,,,,
,,2004 - 2005,,,,20,8,0.4,"12,665.00","1,760.00",0.14,,,,,,,,,
,,2005 - 2006,,,,26,10,0.38,"10,463.00","2,794.00",0.27,,,,,,,,,
,,2006 - 2007,,,,62,20,0.32,"7,456.00","1,312.00",0.18,,,,,,,,,
,,2007 - 2008,,,,,,,"7,000.00","1,000.00",0.14,,,,,,,,,
,,2008 - 2009,,,,31,8,0.26,"2,885.00",462,0.16,,,,,,,,,
,,2009 - 2010,,,,40,13,0.33,"1,382.00",240,0.17,,,,,,,,,
,,2010 - 2011,,,,,,,"1,964.00",291,0.15,,,,,,,,,
,,2011 - 2012,,,,,,,"1,419.00",213,0.15,,,,,,,,,
,,2012 - 2013,,,,,,,"1,000.00",,0,,,,,,,,,
,,2013 - 2014,,,,7,3,0.43,"1,542.00",327,0.21,,,,,,,,,
,,2014 - 2015,,,,,,,608,57,0.09,,,,,,,,,
,,2015 - 2016,,,,1,0,0,381,32,0.08,,,,,,,,,
,,2016 - 2017,,,,98,79,0.81,,,,,,,,,,,,
,,2018 - 2019,,,,12,8,0.67,,,,,,,,,,,,
,,2019 - 2020,,,,2,1,0.5,,,,,,,,,,,,
,,2020 - 2021,,,,2,1,0.5,2,0,0,,,,,,,,,
,,2021 - 2022,,,,27,21,0.78,4,1,0.25,,,,,,,,,
,,2022 - 2023,,,,4,3,0.75,,,,,,,,,,,,
,19. Narayanapet,2018 - 2019,,,,,,,102,16,0.16,,,,,,,,,
,,2019 - 2020,,,,5,3,0.6,77,15,0.19,,,,,,,,,
,,2020 - 2021,,,,26,18,0.69,49,5,0.1,,,,,,,,,
,,2021 - 2022,,,,16,12,0.75,28,8,0.29,,,,,,,,,
,,2022 - 2023,,,,3,2,0.67,67,37,0.55,,,,,,,,,
,20. Nirmal,2016 - 2017,,,,"5,568.00","2,194.00",0.39,,,,,,,,,,,,
,,2017 - 2018,,,,"3,649.00","1,427.00",0.39,,,,,,,,,,,,
,,2018 - 2019,,,,"4,129.00","2,932.00",0.71,,,,,,,,,,,,
,,2019 - 2020,,,,"6,402.00","2,535.00",0.4,,,,,,,,,,,,
,,2020 - 2021,,,,"7,110.00","2,969.00",0.42,,,,,,,,,,,,
,,2021 - 2022,,,,"8,246.00","5,714.00",0.69,2,0,0,,,,,,,,,
,,2022 - 2023,,,,"2,414.00","1,523.00",0.63,,,,,,,,,,,,
,21. Nizamabad,2000 - 2001,,,,"1,397.00",271,0.19,125,19,0.15,,,,,,,,,
,,2001 - 2002,,,,"1,346.00",260,0.19,104,20,0.19,,,,,,,,,
,,2002 - 2003,,,,864,154,0.18,12,2,0.17,,,,,,,,,
,,2003 - 2004,,,,982,203,0.21,19,5,0.26,,,,,,,,,
,,2004 - 2005,,,,"1,900.00",732,0.39,58,16,0.28,,,,,,,,,
,,2005 - 2006,,,,"2,739.00","1,019.00",0.37,45,11,0.24,,,,,,,,,
,,2006 - 2007,,,,"1,994.00",648,0.32,62,12,0.19,,,,,,,,,
,,2007 - 2008,,,,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,,,,"2,270.00",570,0.25,3,1,0.33,,,,,,,,,
,,2009 - 2010,,,,"1,765.00",582,0.33,39,4,0.1,,,,,,,,,
,,2010 - 2011,,,,"1,787.00",588,0.33,,,,,,,,,,,,
,,2011 - 2012,,,,"3,563.00","1,308.00",0.37,,,,,,,,,,,,
,,2012 - 2013,,,,"5,000.00","2,000.00",0.4,,,,,,,,,,,,
,,2013 - 2014,,,,"4,047.00","1,623.00",0.4,,,,,,,,,,,,
,,2014 - 2015,,,,"5,159.00","2,409.00",0.47,,,,,,,,,,,,
,,2015 - 2016,,,,"2,193.00",616,0.28,,,,,,,,,,,,
,,2016 - 2017,,,,"3,225.00","3,548.00",1.1,,,,,,,,,,,,
,,2017 - 2018,,,,"3,853.00","3,202.00",0.83,,,,,,,,,,,,
,,2018 - 2019,,,,"5,303.00","5,404.00",1.02,,,,,,,,,,,,
,,2019 - 2020,,,,"5,595.00","4,610.00",0.82,,,,,,,,,,,,
,,2020 - 2021,,,,"3,868.00","3,786.00",0.98,,,,,,,,,,,,
,,2021 - 2022,,,,"6,027.00","5,442.00",0.9,,,,,,,,,,,,
,,2022 - 2023,,,,"5,201.00","4,280.00",0.82,,,,,,,,,,,,
,22. Peddapalli,2016 - 2017,,,,188,151,0.8,20,3,0.15,,,,,,,,,
,,2017 - 2018,,,,33,19,0.58,,,,,,,,,,,,
,,2018 - 2019,,,,277,194,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,26,17,0.65,1,,0,,,,,,,,,
,,2020 - 2021,,,,115,79,0.69,10,1,0.1,,,,,,,,,
,,2021 - 2022,,,,369,287,0.78,10,2,0.2,,,,,,,,,
,,2022 - 2023,,,,76,57,0.75,1,0,0,,,,,,,,,
,23. Rajanna,2016 - 2017,,,,151,121,0.8,,,,,,,,,,,,
,,2017 - 2018,,,,126,72,0.57,,,,,,,,,,,,
,,2018 - 2019,,,,151,106,0.7,,,,,,,,,,,,
,,2019 - 2020,,,,56,36,0.64,,,,,,,,,,,,
,,2020 - 2021,,,,196,134,0.68,,,,,,,,,,,,
,,2021 - 2022,,,,759,590,0.78,2,0,0,,,,,,,,,
,,2022 - 2023,,,,85,36,0.42,,,,,,,,,,,,
,24. Rangareddi,2000 - 2001,,,,,,,"1,665.00",291,0.17,,,,,,,,,
,,2001 - 2002,,,,,,,"1,401.00",273,0.19,,,,,,,,,
,,2002 - 2003,,,,,,,"1,231.00",231,0.19,,,,,,,,,
,,2003 - 2004,,,,,,,"1,239.00",356,0.29,,,,,,,,,
,,2004 - 2005,,,,,,,"1,507.00",407,0.27,,,,,,,,,
,,2005 - 2006,,,,,,,"1,240.00",301,0.24,,,,,,,,,
,,2006 - 2007,,,,,,,912,171,0.19,,,,,,,,,
,,2007 - 2008,,,,,,,"1,000.00",,0,,,,,,,,,
,,2008 - 2009,,,,,,,590,143,0.24,,,,,,,,,
,,2009 - 2010,,,,,,,586,60,0.1,,,,,,,,,
,,2010 - 2011,,,,2,1,0.5,453,82,0.18,,,,,,,,,
,,2011 - 2012,,,,12,4,0.33,226,67,0.3,,,,,,,,,
,,2013 - 2014,,,,,,,214,49,0.23,,,,,,,,,
,,2014 - 2015,,,,,,,236,47,0.2,,,,,,,,,
,,2015 - 2016,,,,,,,173,6,0.03,,,,,,,,,
,,2016 - 2017,,,,7,6,0.86,32,4,0.13,,,,,,,,,
,,2017 - 2018,,,,,,,1,,0,,,,,,,,,
,,2019 - 2020,,,,3,2,0.67,23,3,0.13,,,,,,,,,
,,2020 - 2021,,,,17,11,0.65,75,7,0.09,,,,,,,,,
,,2021 - 2022,,,,15,12,0.8,30,7,0.23,,,,,,,,,
,,2022 - 2023,,,,,,,4,1,0.25,,,,,,,,,
,25. Sangareddy,2016 - 2017,,,,10,8,0.8,119,17,0.14,,,,,,,,,
,,2017 - 2018,,,,7,4,0.57,29,7,0.24,,,,,,,,,
,,2018 - 2019,,,,,,,48,8,0.17,,,,,,,,,
,,2019 - 2020,,,,17,11,0.65,62,9,0.15,,,,,,,,,
,,2020 - 2021,,,,47,33,0.7,117,11,0.09,,,,,,,,,
,,2021 - 2022,,,,222,172,0.77,37,8,0.22,,,,,,,,,
,,2022 - 2023,,,,33,25,0.76,13,4,0.31,,,,,,,,,
,26. Siddipet,2016 - 2017,,,,68,55,0.81,,,,,,,,,,,,
,,2017 - 2018,,,,31,18,0.58,,,,,,,,,,,,
,,2018 - 2019,,,,36,25,0.69,,,,,,,,,,,,
,,2019 - 2020,,,,29,18,0.62,,,,,,,,,,,,
,,2020 - 2021,,,,96,66,0.69,17,2,0.12,,,,,,,,,
,,2021 - 2022,,,,572,444,0.78,15,3,0.2,,,,,,,,,
,,2022 - 2023,,,,18,14,0.78,2,1,0.5,,,,,,,,,
,27. Suryapet,2016 - 2017,,,,,,,119,6,0.05,,,,,,,,,
,,2017 - 2018,,,,,,,28,7,0.25,,,,,,,,,
,,2018 - 2019,,,,,,,7,1,0.14,,,,,,,,,
,,2020 - 2021,,,,24,16,0.67,10,1,0.1,,,,,,,,,
,,2021 - 2022,,,,14,11,0.79,4,1,0.25,,,,,,,,,
,,2022 - 2023,,,,11,8,0.73,,,,,,,,,,,,
,28. Vikarabad,2016 - 2017,,,,,,,33,5,0.15,,,,,,,,,
,,2017 - 2018,,,,,,,78,18,0.23,,,,,,,,,
,,2018 - 2019,,,,14,10,0.71,58,10,0.17,,,,,,,,,
,,2019 - 2020,,,,16,10,0.63,43,6,0.14,,,,,,,,,
,,2020 - 2021,,,,4,3,0.75,110,10,0.09,,,,,,,,,
,,2021 - 2022,,,,18,14,0.78,61,22,0.36,,,,,,,,,
,,2022 - 2023,,,,17,13,0.76,30,8,0.27,,,,,,,,,
,29. Wanaparthy,2019 - 2020,,,,3,2,0.67,6,1,0.17,,,,,,,,,
,,2020 - 2021,,,,18,12,0.67,2,0,0,,,,,,,,,
,,2021 - 2022,,,,39,30,0.77,1,0,0,,,,,,,,,
,,2022 - 2023,,,,3,2,0.67,,,,,,,,,,,,
,30. Warangal,2000 - 2001,,,,382,74,0.19,"27,080.00","4,495.00",0.17,,,,,,,,,
,,2001 - 2002,,,,413,80,0.19,"19,278.00","5,051.00",0.26,,,,,,,,,
,,2002 - 2003,,,,190,34,0.18,"21,148.00","5,266.00",0.25,,,,,,,,,
,,2003 - 2004,,,,224,46,0.21,"24,744.00","9,353.00",0.38,,,,,,,,,
,,2004 - 2005,,,,221,85,0.38,"21,076.00","7,925.00",0.38,,,,,,,,,
,,2005 - 2006,,,,305,113,0.37,"18,336.00","4,382.00",0.24,,,,,,,,,
,,2006 - 2007,,,,232,75,0.32,"14,999.00","3,060.00",0.2,,,,,,,,,
,,2007 - 2008,,,,,,,"14,000.00","3,000.00",0.21,,,,,,,,,
,,2008 - 2009,,,,356,89,0.25,"7,296.00","1,758.00",0.24,,,,,,,,,
,,2009 - 2010,,,,213,70,0.33,"9,495.00",798,0.08,,,,,,,,,
,,2010 - 2011,,,,78,26,0.33,"5,767.00","1,073.00",0.19,,,,,,,,,
,,2011 - 2012,,,,140,51,0.36,"2,507.00","1,005.00",0.4,,,,,,,,,
,,2012 - 2013,,,,,,,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2013 - 2014,,,,300,120,0.4,"2,795.00",593,0.21,,,,,,,,,
