State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2011 - 2012,,,,"1,345.00",291,0.22,174,39,0.22,,,,,,,,,
,,2012 - 2013,,,,"1,000.00",,0,,,,,,,,,,,,
,,2013 - 2014,,,,860,181,0.21,217,97,0.45,,,,,,,,,
,,2014 - 2015,,,,"1,279.00",242,0.19,70,19,0.27,,,,,,,,,
,,2015 - 2016,,,,360,166,0.46,61,11,0.18,,,,,,,,,
,,2016 - 2017,,,,189,24,0.13,60,14,0.23,,,,,,,,,
,,2017 - 2018,,,,282,64,0.23,14,3,0.21,,,,,,,,,
,,2018 - 2019,,,,465,79,0.17,11,3,0.27,,,,,,,,,
,,2019 - 2020,,,,506,82,0.16,,,,,,,,,,,,
,,2020 - 2021,,,,883,264,0.3,27,6,0.22,,,,,,,,,
,,2021 - 2022,,,,782,179,0.23,15,3,0.2,,,,,,,,,
,,2022 - 2023,,,,247,74,0.3,,,,,,,,,,,,
,14. Kurnool,2000 - 2001,,,,126,26,0.21,365,85,0.23,,,,,,,,,
,,2001 - 2002,,,,74,36,0.49,113,19,0.17,,,,,,,,,
,,2002 - 2003,,,,154,50,0.32,93,9,0.1,,,,,,,,,
,,2003 - 2004,,,,78,14,0.18,429,126,0.29,,,,,,,,,
,,2004 - 2005,,,,114,74,0.65,199,19,0.1,,,,,,,,,
,,2005 - 2006,,,,117,79,0.68,162,27,0.17,,,,,,,,,
,,2006 - 2007,,,,659,373,0.57,198,51,0.26,,,,,,,,,
,,2008 - 2009,,,,332,144,0.43,107,21,0.2,,,,,,,,,
,,2009 - 2010,,,,639,213,0.33,33,8,0.24,,,,,,,,,
,,2010 - 2011,,,,615,216,0.35,66,11,0.17,,,,,,,,,
,,2011 - 2012,,,,425,218,0.51,19,4,0.21,,,,,,,,,
,,2013 - 2014,,,,"1,473.00",532,0.36,44,20,0.45,,,,,,,,,
,,2014 - 2015,,,,"3,033.00","2,172.00",0.72,78,21,0.27,,,,,,,,,
,,2015 - 2016,,,,561,182,0.32,11,7,0.64,,,,,,,,,
,,2016 - 2017,,,,203,65,0.32,29,7,0.24,,,,,,,,,
,,2017 - 2018,,,,977,282,0.29,8,2,0.25,,,,,,,,,
,,2018 - 2019,,,,560,136,0.24,,,,,,,,,,,,
,,2019 - 2020,,,,"1,013.00",264,0.26,4,1,0.25,,,,,,,,,
,,2020 - 2021,,,,667,232,0.35,2,0,0,,,,,,,,,
,,2021 - 2022,,,,437,122,0.28,5,1,0.2,,,,,,,,,
,,2022 - 2023,,,,8,3,0.38,1,0.35,0.35,,,,,,,,,
,15. Nandyal,2022 - 2023,,,,479,205,0.43,,,,,,,,,,,,
,16. Ntr,2022 - 2023,,,,157,46,0.29,4,1,0.25,,,,,,,,,
