State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,"2,000.00","4,000.00",2,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"2,230.00","1,708.00",0.77,609,671,1.1,,,,,,,,,,,,
,,2014 - 2015,"1,488.00","1,244.00",0.84,726,"1,318.00",1.82,,,,,,,,,,,,
,,2015 - 2016,"1,627.00","1,440.00",0.89,599,"1,406.00",2.35,,,,,,,,,,,,
,,2016 - 2017,"1,583.00","1,505.00",0.95,472,968,2.05,,,,,,,,,,,,
,,2017 - 2018,"1,809.00","1,530.00",0.85,675,"1,730.00",2.56,,,,,,,,,,,,
,,2018 - 2019,"1,026.00",855,0.83,"1,009.00","2,208.00",2.19,,,,,,,,,,,,
,,2019 - 2020,998,"1,258.00",1.26,657,"1,261.00",1.92,,,,,,,,,,,,
,,2020 - 2021,908,"1,299.00",1.43,377,559,1.48,,,,,,,,,,,,
,,2021 - 2022,506,526,1.04,691,"1,077.00",1.56,,,,,,,,,,,,
,,2022 - 2023,32,33,1.03,"1,036.00","1,304.00",1.26,,,,,,,,,,,,
,23. West godavari,2003 - 2004,,,,10,18,1.8,,,,,,,,,,,,
,,2013 - 2014,206,173,0.84,,,,,,,,,,,,,,,
,,2016 - 2017,2,2,1,7,11,1.57,,,,,,,,,,,,
2. Bihar,1. Araria,2000 - 2001,839,"2,179.00",2.6,,,,,,,,,,,,,,,
,,2001 - 2002,661,494,0.75,,,,,,,,,,,,,,,
,,2002 - 2003,"1,025.00",870,0.85,,,,,,,,,,,,,,,
,,2003 - 2004,881,209,0.24,,,,,,,,,,,,,,,
,,2004 - 2005,856,733,0.86,,,,,,,,,,,,,,,
,,2005 - 2006,792,611,0.77,,,,,,,,,,,,,,,
,,2006 - 2007,824,491,0.6,,,,,,,,,,,,,,,
,,2007 - 2008,824,529,0.64,,,,,,,,,,,,,,,
,,2008 - 2009,799,650,0.81,,,,,,,,,,,,,,,
,,2009 - 2010,382,227,0.59,,,,,,,,,,,,,,,
,,2010 - 2011,267,252,0.94,,,,,,,,,,,,,,,
,,2011 - 2012,344,528,1.53,,,,,,,,,,,,,,,
,,2012 - 2013,344,406,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,249,253,1.02,,,,,,,,,,,,,,,
,,2014 - 2015,187,276,1.48,,,,,,,,,,,,,,,
,,2016 - 2017,145,105,0.72,,,,,,,,,,,,,,,
,2. Arwal,2003 - 2004,17,11,0.65,,,,,,,,,,,,,,,
,,2004 - 2005,45,30,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,47,42,0.89,,,,,,,,,,,,,,,
,,2007 - 2008,55,33,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,50,41,0.82,,,,,,,,,,,,,,,
,,2009 - 2010,37,30,0.81,,,,,,,,,,,,,,,
,,2010 - 2011,37,36,0.97,,,,,,,,,,,,,,,
,,2011 - 2012,40,49,1.23,,,,,,,,,,,,,,,
,,2012 - 2013,40,47,1.18,,,,,,,,,,,,,,,
,,2013 - 2014,39,40,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,38,56,1.47,,,,,,,,,,,,,,,
,,2015 - 2016,38,54,1.42,,,,,,,,,,,,,,,
,,2016 - 2017,38,27,0.71,,,,,,,,,,,,,,,
,,2017 - 2018,37,37,1,,,,,,,,,,,,,,,
,,2018 - 2019,5,5,1,,,,,,,,,,,,,,,
,,2019 - 2020,5,4,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,5,5,1,,,,,,,,,,,,,,,
,,2021 - 2022,3,3,1,,,,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,,,,
,3. Aurangabad,2000 - 2001,33,36,1.09,,,,,,,,,,,,,,,
,,2001 - 2002,28,25,0.89,,,,,,,,,,,,,,,
,,2002 - 2003,47,32,0.68,,,,,,,,,,,,,,,
,,2003 - 2004,35,24,0.69,,,,,,,,,,,,,,,
,,2004 - 2005,36,24,0.67,,,,,,,,,,,,,,,
,,2005 - 2006,15,14,0.93,,,,,,,,,,,,,,,
,,2006 - 2007,13,11,0.85,,,,,,,,,,,,,,,
,,2007 - 2008,14,8,0.57,,,,,,,,,,,,,,,
,,2008 - 2009,14,11,0.79,,,,,,,,,,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,,,,,,,
,,2012 - 2013,10,12,1.2,,,,,,,,,,,,,,,
,,2013 - 2014,9,9,1,,,,,,,,,,,,,,,
,,2014 - 2015,9,13,1.44,,,,,,,,,,,,,,,
,,2015 - 2016,3,4,1.33,,,,,,,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,,,,,,,
,,2017 - 2018,13,13,1,,,,,,,,,,,,,,,
,,2018 - 2019,4,4,1,,,,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,,,,
,4. Banka,2002 - 2003,1,1,1,,,,,,,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,,,,,,,
,5. Begusarai,2000 - 2001,41,45,1.1,,,,,,,,,,,,,,,
,,2001 - 2002,73,64,0.88,,,,,,,,,,,,,,,
,,2002 - 2003,51,35,0.69,,,,,,,,,,,,,,,
,,2003 - 2004,25,17,0.68,,,,,,,,,,,,,,,
,,2004 - 2005,31,21,0.68,,,,,,,,,,,,,,,
,,2005 - 2006,48,43,0.9,,,,,,,,,,,,,,,
,,2006 - 2007,41,36,0.88,,,,,,,,,,,,,,,
,,2007 - 2008,40,24,0.6,,,,,,,,,,,,,,,
,,2008 - 2009,13,11,0.85,,,,,,,,,,,,,,,
,,2009 - 2010,26,21,0.81,,,,,,,,,,,,,,,
