State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,10,30,3,1,4,4,,,,,,,,,,,,
,,2015 - 2016,16,48,3,6,22,3.67,,,,,,,,,,,,
,,2016 - 2017,4,7,1.75,5,16,3.2,,,,,,,,,,,,
,,2017 - 2018,5,17,3.4,1,4,4,,,,,,,,,,,,
,,2018 - 2019,13,43,3.31,2,6,3,,,,,,,,,,,,
,,2019 - 2020,24,71,2.96,10,41,4.1,,,,,,,,,,,,
,,2020 - 2021,9,30,3.33,16,63,3.94,,,,,,,,,,,,
,,2021 - 2022,25,71,2.84,,,,,,,,,,,,,,,
,,2022 - 2023,,,,12,47,3.92,,,,,,,,,,,,
,4. Cuddalore,2000 - 2001,"1,421.00","1,624.00",1.14,,,,,,,,,,,,,,,
,,2001 - 2002,246,610,2.48,,,,,,,,,,,,,,,
,,2002 - 2003,333,585,1.76,,,,,,,,,,,,,,,
,,2003 - 2004,277,563,2.03,,,,,,,,,,,,,,,
,,2004 - 2005,201,409,2.03,,,,,,,,,,,,,,,
,,2005 - 2006,149,290,1.95,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,98,262,2.67,,,
,,2007 - 2008,,,,,,,,,,,,,181,426,2.35,,,
,,2008 - 2009,,,,,,,,,,,,,105,265,2.52,,,
,,2009 - 2010,,,,,,,,,,,,,139,330,2.37,,,
,,2010 - 2011,150,332,2.21,,,,,,,,,,,,,,,
,,2011 - 2012,43,113,2.63,25,78,3.12,,,,,,,,,,,,
,,2012 - 2013,80,178,2.23,,,,,,,,,,,,,,,
,,2013 - 2014,120,328,2.73,79,313,3.96,,,,,,,,,,,,
,,2014 - 2015,61,183,3,75,315,4.2,,,,,,,,,,,,
,,2015 - 2016,34,101,2.97,56,203,3.63,,,,,,,,,,,,
,,2016 - 2017,141,232,1.65,18,56,3.11,,,,,,,,,,,,
,,2017 - 2018,97,332,3.42,82,366,4.46,,,,,,,,,,,,
,,2018 - 2019,63,198,3.14,20,71,3.55,,,,,,,,,,,,
,,2019 - 2020,69,208,3.01,4,18,4.5,,,,,,,,,,,,
,,2020 - 2021,38,124,3.26,14,56,4,,,,,,,,,,,,
,,2021 - 2022,39,109,2.79,4,18,4.5,,,,,,,,,,,,
,,2022 - 2023,37,96,2.59,6,25,4.17,,,,,,,,,,,,
,5. Dharmapuri,2000 - 2001,"89,722.00","1,62,669.00",1.81,,,,,,,,,,,,,,,
,,2001 - 2002,"74,452.00","1,17,590.00",1.58,,,,,,,,,,,,,,,
,,2002 - 2003,"67,187.00","78,871.00",1.17,,,,,,,,,,,,,,,
,,2003 - 2004,"73,175.00","98,495.00",1.35,,,,,,,,,,,,,,,
,,2004 - 2005,"17,798.00","25,796.00",1.45,,,,,,,,,,,,,,,
,,2005 - 2006,"20,532.00","29,554.00",1.44,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,"18,232.00","37,470.00",2.06,,,
,,2007 - 2008,,,,,,,,,,,,,"17,039.00","37,993.00",2.23,,,
,,2008 - 2009,,,,,,,,,,,,,"14,846.00","32,692.00",2.2,,,
,,2009 - 2010,,,,,,,,,,,,,"16,383.00","31,912.00",1.95,,,
,,2010 - 2011,"12,508.00","21,620.00",1.73,,,,,,,,,,,,,,,
,,2011 - 2012,"13,641.00","40,258.00",2.95,"3,559.00","11,568.00",3.25,,,,,,,,,,,,
,,2012 - 2013,"8,753.00","21,017.00",2.4,,,,,,,,,,,,,,,
,,2013 - 2014,"20,268.00","60,152.00",2.97,"8,339.00","34,782.00",4.17,,,,,,,,,,,,
,,2014 - 2015,"18,289.00","54,302.00",2.97,"5,634.00","27,508.00",4.88,,,,,,,,,,,,
,,2015 - 2016,"15,726.00","46,832.00",2.98,"5,169.00","21,332.00",4.13,,,,,,,,,,,,
,,2016 - 2017,"9,357.00","19,101.00",2.04,938,"2,555.00",2.72,,,,,,,,,,,,
,,2017 - 2018,"10,562.00","33,788.00",3.2,"6,161.00","28,513.00",4.63,,,,,,,,,,,,
,,2018 - 2019,"9,720.00","21,983.00",2.26,"1,787.00","8,220.00",4.6,,,,,,,,,,,,
,,2019 - 2020,"11,870.00","41,591.00",3.5,"3,812.00","17,182.00",4.51,,,,,,,,,,,,
,,2020 - 2021,"12,473.00","41,486.00",3.33,"4,948.00","20,101.00",4.06,,,,,,,,,,,,
,,2021 - 2022,"12,722.00","34,011.00",2.67,"1,811.00","8,790.00",4.85,,,,,,,,,,,,
,,2022 - 2023,"11,793.00","31,622.00",2.68,"2,056.00","8,598.00",4.18,,,,,,,,,,,,
,6. Dindigul,2000 - 2001,604,"1,094.00",1.81,,,,,,,,,,,,,,,
,,2001 - 2002,286,550,1.92,,,,,,,,,,,,,,,
,,2002 - 2003,369,522,1.41,,,,,,,,,,,,,,,
,,2003 - 2004,233,342,1.47,,,,,,,,,,,,,,,
,,2004 - 2005,112,163,1.46,,,,,,,,,,,,,,,
,,2005 - 2006,76,98,1.29,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,79,133,1.68,,,
,,2007 - 2008,,,,,,,,,,,,,48,104,2.17,,,
,,2008 - 2009,,,,,,,,,,,,,18,35,1.94,,,
,,2009 - 2010,,,,,,,,,,,,,268,836,3.12,,,
,,2010 - 2011,9,19,2.11,,,,,,,,,,,,,,,
,,2011 - 2012,7,18,2.57,1,3,3,,,,,,,,,,,,
,,2012 - 2013,2,5,2.5,,,,,,,,,,,,,,,
,,2013 - 2014,5,14,2.8,11,44,4,,,,,,,,,,,,
,,2014 - 2015,43,129,3,7,29,4.14,,,,,,,,,,,,
,,2015 - 2016,5,15,3,9,33,3.67,,,,,,,,,,,,
,,2016 - 2017,,,,2,6,3,,,,,,,,,,,,
,,2017 - 2018,9,31,3.44,9,40,4.44,,,,,,,,,,,,
,,2018 - 2019,1,4,4,9,31,3.44,,,,,,,,,,,,
,,2019 - 2020,1,4,4,15,59,3.93,,,,,,,,,,,,
,,2020 - 2021,7,23,3.29,10,40,4,,,,,,,,,,,,
,,2021 - 2022,3,6,2,8,31,3.88,,,,,,,,,,,,
,,2022 - 2023,,,,3,16,5.33,,,,,,,,,,,,
,7. Erode,2000 - 2001,"10,018.00","8,297.00",0.83,,,,,,,,,,,,,,,
,,2001 - 2002,"10,483.00","11,700.00",1.12,,,,,,,,,,,,,,,
,,2002 - 2003,"9,574.00","10,599.00",1.11,,,,,,,,,,,,,,,
,,2003 - 2004,"8,429.00","6,804.00",0.81,,,,,,,,,,,,,,,
,,2004 - 2005,"8,065.00","9,463.00",1.17,,,,,,,,,,,,,,,
,,2005 - 2006,"7,069.00","7,092.00",1,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,"8,289.00","14,709.00",1.77,,,
,,2007 - 2008,,,,,,,,,,,,,"5,907.00","5,540.00",0.94,,,
,,2008 - 2009,,,,,,,,,,,,,"6,146.00","8,434.00",1.37,,,
,,2009 - 2010,,,,,,,,,,,,,"6,726.00","8,325.00",1.24,,,
,,2010 - 2011,"6,441.00","9,950.00",1.54,,,,,,,,,,,,,,,
,,2011 - 2012,"5,459.00","10,594.00",1.94,,,,,,,,,,,,,,,
,,2012 - 2013,"5,099.00","9,337.00",1.83,,,,,,,,,,,,,,,
,,2013 - 2014,"5,626.00","13,425.00",2.39,,,,,,,,,,,,,,,
,,2014 - 2015,"5,374.00","12,276.00",2.28,277,"1,163.00",4.2,,,,,,,,,,,,
,,2015 - 2016,"4,714.00","12,690.00",2.69,612,"2,216.00",3.62,,,,,,,,,,,,
,,2016 - 2017,"3,123.00",662,0.21,167,522,3.13,,,,,,,,,,,,
,,2017 - 2018,"5,458.00","15,894.00",2.91,30,134,4.47,,,,,,,,,,,,
,,2018 - 2019,"3,280.00","9,988.00",3.05,"2,346.00","8,331.00",3.55,,,,,,,,,,,,
,,2019 - 2020,"5,274.00","13,420.00",2.54,3,11,3.67,,,,,,,,,,,,
,,2020 - 2021,"3,968.00","14,524.00",3.66,44,183,4.16,,,,,,,,,,,,
,,2021 - 2022,"4,096.00","15,784.00",3.85,6,23,3.83,,,,,,,,,,,,
,,2022 - 2023,"3,371.00","11,286.00",3.35,1,5,5,,,,,,,,,,,,
,8. Kallakurichi,2020 - 2021,53,171,3.23,90,372,4.13,,,,,,,,,,,,
,,2021 - 2022,24,68,2.83,116,472,4.07,,,,,,,,,,,,
,,2022 - 2023,76,201,2.64,38,157,4.13,,,,,,,,,,,,
,9. Kanchipuram,2000 - 2001,"5,113.00","10,164.00",1.99,,,,,,,,,,,,,,,
,,2001 - 2002,844,"3,070.00",3.64,,,,,,,,,,,,,,,
,,2002 - 2003,929,"1,754.00",1.89,,,,,,,,,,,,,,,
,,2003 - 2004,"1,362.00","3,035.00",2.23,,,,,,,,,,,,,,,
,,2004 - 2005,855,"1,578.00",1.85,,,,,,,,,,,,,,,
,,2005 - 2006,603,993,1.65,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,197,398,2.02,,,
,,2007 - 2008,,,,,,,,,,,,,157,329,2.1,,,
,,2008 - 2009,,,,,,,,,,,,,52,138,2.65,,,
,,2009 - 2010,,,,,,,,,,,,,55,156,2.84,,,
,,2010 - 2011,324,990,3.06,,,,,,,,,,,,,,,
,,2011 - 2012,75,198,2.64,55,171,3.11,,,,,,,,,,,,
,,2012 - 2013,58,116,2,,,,,,,,,,,,,,,
,,2013 - 2014,213,583,2.74,294,"1,166.00",3.97,,,,,,,,,,,,
,,2014 - 2015,73,219,3,142,596,4.2,,,,,,,,,,,,
,,2015 - 2016,102,304,2.98,124,449,3.62,,,,,,,,,,,,
,,2016 - 2017,198,326,1.65,132,412,3.12,,,,,,,,,,,,
,,2017 - 2018,75,257,3.43,97,433,4.46,,,,,,,,,,,,
,,2018 - 2019,46,146,3.17,168,593,3.53,,,,,,,,,,,,
,,2019 - 2020,41,125,3.05,90,364,4.04,,,,,,,,,,,,
,,2020 - 2021,36,117,3.25,18,74,4.11,,,,,,,,,,,,
,,2021 - 2022,19,53,2.79,8,33,4.13,,,,,,,,,,,,
,,2022 - 2023,24,63,2.63,10,41,4.1,,,,,,,,,,,,
,10. Karur,2001 - 2002,14,40,2.86,,,,,,,,,,,,,,,
,,2002 - 2003,11,22,2,,,,,,,,,,,,,,,
,,2003 - 2004,17,40,2.35,,,,,,,,,,,,,,,
,,2004 - 2005,16,37,2.31,,,,,,,,,,,,,,,
,,2005 - 2006,12,23,1.92,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,3,9,3,,,
,,2007 - 2008,,,,,,,,,,,,,1,3,3,,,
,,2008 - 2009,,,,,,,,,,,,,3,9,3,,,
,,2009 - 2010,,,,,,,,,,,,,10,27,2.7,,,
,,2010 - 2011,7,15,2.14,,,,,,,,,,,,,,,
,,2012 - 2013,9,17,1.89,,,,,,,,,,,,,,,
,,2013 - 2014,12,33,2.75,,,,,,,,,,,,,,,
,,2014 - 2015,124,372,3,26,109,4.19,,,,,,,,,,,,
,,2015 - 2016,6,18,3,51,185,3.63,,,,,,,,,,,,
,,2017 - 2018,2,7,3.5,11,49,4.45,,,,,,,,,,,,
,,2018 - 2019,1,4,4,1,4,4,,,,,,,,,,,,
,,2019 - 2020,,,,2,6,3,,,,,,,,,,,,
,,2020 - 2021,,,,3,14,4.67,,,,,,,,,,,,
,,2021 - 2022,1,4,4,6,24,4,,,,,,,,,,,,
,11. Krishnagiri,2004 - 2005,"57,732.00","73,348.00",1.27,,,,,,,,,,,,,,,
,,2005 - 2006,"47,045.00","53,277.00",1.13,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,"47,211.00","54,163.00",1.15,,,
,,2007 - 2008,,,,,,,,,,,,,"48,443.00","90,351.00",1.87,,,
,,2008 - 2009,,,,,,,,,,,,,"47,616.00","80,962.00",1.7,,,
,,2009 - 2010,,,,,,,,,,,,,"42,136.00","85,424.00",2.03,,,
,,2010 - 2011,"40,298.00","94,143.00",2.34,,,,,,,,,,,,,,,
,,2011 - 2012,"41,587.00","1,10,866.00",2.67,"2,792.00","7,102.00",2.54,,,,,,,,,,,,
,,2012 - 2013,"44,309.00","80,401.00",1.81,,,,,,,,,,,,,,,
,,2013 - 2014,"49,446.00","1,27,728.00",2.58,"7,203.00","26,083.00",3.62,,,,,,,,,,,,
,,2014 - 2015,"37,213.00","1,06,302.00",2.86,"5,337.00","17,165.00",3.22,,,,,,,,,,,,
,,2015 - 2016,"38,104.00","1,14,807.00",3.01,"3,336.00","12,457.00",3.73,,,,,,,,,,,,
,,2016 - 2017,"32,113.00","53,113.00",1.65,"2,048.00","6,399.00",3.12,,,,,,,,,,,,
,,2017 - 2018,"36,166.00","1,33,742.00",3.7,"5,106.00","26,704.00",5.23,,,,,,,,,,,,
,,2018 - 2019,"36,688.00","1,30,180.00",3.55,"6,112.00","20,299.00",3.32,,,,,,,,,,,,
,,2019 - 2020,"37,268.00","1,07,893.00",2.9,"4,328.00","18,810.00",4.35,,,,,,,,,,,,
,,2020 - 2021,"36,033.00","1,15,844.00",3.21,"4,381.00","21,861.00",4.99,,,,,,,,,,,,
,,2021 - 2022,"35,588.00","98,109.00",2.76,"2,731.00","11,551.00",4.23,,,,,,,,,,,,
,,2022 - 2023,"33,134.00","84,516.00",2.55,"3,844.00","15,041.00",3.91,,,,,,,,,,,,
,12. Madurai,2000 - 2001,156,237,1.52,,,,,,,,,,,,,,,
,,2001 - 2002,134,270,2.01,,,,,,,,,,,,,,,
,,2002 - 2003,209,312,1.49,,,,,,,,,,,,,,,
,,2003 - 2004,178,274,1.54,,,,,,,,,,,,,,,
,,2004 - 2005,122,187,1.53,,,,,,,,,,,,,,,
,,2005 - 2006,237,330,1.39,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,163,229,1.4,,,
,,2007 - 2008,,,,,,,,,,,,,144,269,1.87,,,
,,2008 - 2009,,,,,,,,,,,,,63,135,2.14,,,
,,2009 - 2010,,,,,,,,,,,,,50,91,1.82,,,
,,2010 - 2011,51,118,2.31,,,,,,,,,,,,,,,
,,2011 - 2012,69,182,2.64,1,3,3,,,,,,,,,,,,
,,2012 - 2013,12,23,1.92,,,,,,,,,,,,,,,
,,2013 - 2014,44,120,2.73,16,63,3.94,,,,,,,,,,,,
,,2014 - 2015,10,30,3,3,13,4.33,,,,,,,,,,,,
,,2015 - 2016,22,66,3,7,25,3.57,,,,,,,,,,,,
,,2016 - 2017,1,2,2,45,141,3.13,,,,,,,,,,,,
,,2017 - 2018,8,27,3.38,2,9,4.5,,,,,,,,,,,,
,,2018 - 2019,13,39,3,5,19,3.8,,,,,,,,,,,,
,,2019 - 2020,9,28,3.11,11,41,3.73,,,,,,,,,,,,
,,2020 - 2021,27,86,3.19,7,29,4.14,,,,,,,,,,,,
,,2021 - 2022,6,18,3,4,15,3.75,,,,,,,,,,,,
,,2022 - 2023,3,7,2.33,6,25,4.17,,,,,,,,,,,,
,13. Mayiladuthurai,2020 - 2021,10,32,3.2,2,8,4,,,,,,,,,,,,
,,2021 - 2022,,,,8,31,3.88,,,,,,,,,,,,
,14. Nagapattinam,2003 - 2004,2,5,2.5,,,,,,,,,,,,,,,
,,2016 - 2017,,,,1,3,3,,,,,,,,,,,,
,,2017 - 2018,,,,1,4,4,,,,,,,,,,,,
,,2019 - 2020,,,,2,6,3,,,,,,,,,,,,
,,2021 - 2022,,,,1,3,3,,,,,,,,,,,,
,,2022 - 2023,2,6,3,,,,,,,,,,,,,,,
,15. Namakkal,2000 - 2001,"1,315.00","2,260.00",1.72,,,,,,,,,,,,,,,
,,2001 - 2002,"1,037.00","1,760.00",1.7,,,,,,,,,,,,,,,
,,2002 - 2003,850,"1,410.00",1.66,,,,,,,,,,,,,,,
,,2003 - 2004,595,"1,096.00",1.84,,,,,,,,,,,,,,,
,,2004 - 2005,132,247,1.87,,,,,,,,,,,,,,,
,,2005 - 2006,260,782,3.01,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,193,493,2.55,,,
,,2007 - 2008,,,,,,,,,,,,,277,660,2.38,,,
,,2008 - 2009,,,,,,,,,,,,,216,382,1.77,,,
,,2009 - 2010,,,,,,,,,,,,,245,442,1.8,,,
,,2010 - 2011,274,573,2.09,,,,,,,,,,,,,,,
,,2011 - 2012,190,501,2.64,1,3,3,,,,,,,,,,,,
,,2012 - 2013,104,219,2.11,,,,,,,,,,,,,,,
,,2013 - 2014,80,219,2.74,101,401,3.97,,,,,,,,,,,,
,,2014 - 2015,294,883,3,81,340,4.2,,,,,,,,,,,,
,,2015 - 2016,378,"1,126.00",2.98,97,351,3.62,,,,,,,,,,,,
,,2016 - 2017,499,821,1.65,14,44,3.14,,,,,,,,,,,,
,,2017 - 2018,408,"1,397.00",3.42,130,580,4.46,,,,,,,,,,,,
,,2018 - 2019,446,"1,403.00",3.15,40,142,3.55,,,,,,,,,,,,
,,2019 - 2020,324,970,2.99,35,141,4.03,,,,,,,,,,,,
,,2020 - 2021,328,"1,064.00",3.24,137,569,4.15,,,,,,,,,,,,
,,2021 - 2022,320,900,2.81,36,146,4.06,,,,,,,,,,,,
,,2022 - 2023,320,846,2.64,79,329,4.16,,,,,,,,,,,,
,16. Perambalur,2000 - 2001,535,793,1.48,,,,,,,,,,,,,,,
,,2001 - 2002,77,160,2.08,,,,,,,,,,,,,,,
,,2002 - 2003,76,107,1.41,,,,,,,,,,,,,,,
,,2003 - 2004,153,225,1.47,,,,,,,,,,,,,,,
,,2004 - 2005,79,116,1.47,,,,,,,,,,,,,,,
,,2005 - 2006,51,72,1.41,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,117,208,1.78,,,
,,2007 - 2008,,,,,,,,,,,,,59,117,1.98,,,
,,2008 - 2009,,,,,,,,,,,,,4,39,9.75,,,
,,2009 - 2010,,,,,,,,,,,,,10,24,2.4,,,
,,2010 - 2011,2,4,2,,,,,,,,,,,,,,,
,,2011 - 2012,8,21,2.63,8,25,3.13,,,,,,,,,,,,
,,2012 - 2013,4,7,1.75,,,,,,,,,,,,,,,
,,2013 - 2014,1,3,3,,,,,,,,,,,,,,,
,,2014 - 2015,5,15,3,2,8,4,,,,,,,,,,,,
,,2015 - 2016,5,15,3,1,4,4,,,,,,,,,,,,
,,2016 - 2017,3,5,1.67,,,,,,,,,,,,,,,
,,2017 - 2018,2,7,3.5,,,,,,,,,,,,,,,
,,2018 - 2019,2,4,2,,,,,,,,,,,,,,,
,,2019 - 2020,7,18,2.57,,,,,,,,,,,,,,,
,,2020 - 2021,3,8,2.67,,,,,,,,,,,,,,,
,,2021 - 2022,3,10,3.33,,,,,,,,,,,,,,,
,,2022 - 2023,2,4,2,,,,,,,,,,,,,,,
,17. Pudukkottai,2000 - 2001,689,877,1.27,,,,,,,,,,,,,,,
,,2001 - 2002,278,620,2.23,,,,,,,,,,,,,,,
,,2002 - 2003,276,394,1.43,,,,,,,,,,,,,,,
,,2003 - 2004,203,349,1.72,,,,,,,,,,,,,,,
,,2004 - 2005,356,574,1.61,,,,,,,,,,,,,,,
,,2005 - 2006,181,275,1.52,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,213,493,2.31,,,
,,2007 - 2008,,,,,,,,,,,,,63,112,1.78,,,
,,2008 - 2009,,,,,,,,,,,,,61,112,1.84,,,
,,2009 - 2010,,,,,,,,,,,,,24,47,1.96,,,
,,2010 - 2011,38,80,2.11,,,,,,,,,,,,,,,
,,2011 - 2012,37,98,2.65,3,9,3,,,,,,,,,,,,
,,2012 - 2013,22,41,1.86,,,,,,,,,,,,,,,
,,2013 - 2014,32,88,2.75,3,12,4,,,,,,,,,,,,
,,2014 - 2015,37,111,3,3,13,4.33,,,,,,,,,,,,
,,2015 - 2016,6,18,3,10,36,3.6,,,,,,,,,,,,
,,2016 - 2017,11,18,1.64,8,25,3.13,,,,,,,,,,,,
,,2017 - 2018,9,31,3.44,4,18,4.5,,,,,,,,,,,,
,,2018 - 2019,14,45,3.21,16,58,3.63,,,,,,,,,,,,
,,2019 - 2020,52,157,3.02,9,34,3.78,,,,,,,,,,,,
,,2020 - 2021,72,230,3.19,9,36,4,,,,,,,,,,,,
,,2021 - 2022,25,69,2.76,1,7,7,,,,,,,,,,,,
,,2022 - 2023,10,26,2.6,1,4,4,,,,,,,,,,,,
,18. Ramanathapuram,2000 - 2001,641,561,0.88,,,,,,,,,,,,,,,
,,2001 - 2002,"1,023.00","1,830.00",1.79,,,,,,,,,,,,,,,
,,2002 - 2003,"1,012.00","1,354.00",1.34,,,,,,,,,,,,,,,
,,2003 - 2004,"2,109.00","3,259.00",1.55,,,,,,,,,,,,,,,
,,2004 - 2005,"1,705.00","2,843.00",1.67,,,,,,,,,,,,,,,
,,2005 - 2006,"1,683.00","1,090.00",0.65,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,"1,068.00","1,455.00",1.36,,,
,,2007 - 2008,,,,,,,,,,,,,877,"1,319.00",1.5,,,
,,2008 - 2009,,,,,,,,,,,,,671,"1,269.00",1.89,,,
,,2009 - 2010,,,,,,,,,,,,,544,899,1.65,,,
,,2010 - 2011,370,529,1.43,,,,,,,,,,,,,,,
,,2011 - 2012,2,5,2.5,284,484,1.7,,,,,,,,,,,,
,,2012 - 2013,291,128,0.44,,,,,,,,,,,,,,,
,,2013 - 2014,,,,401,402,1,,,,,,,,,,,,
,,2014 - 2015,1,3,3,498,"1,514.00",3.04,,,,,,,,,,,,
,,2015 - 2016,,,,270,555,2.06,,,,,,,,,,,,
,,2016 - 2017,,,,152,475,3.13,,,,,,,,,,,,
,,2017 - 2018,1,3,3,329,"1,468.00",4.46,,,,,,,,,,,,
,,2018 - 2019,,,,515,"1,831.00",3.56,,,,,,,,,,,,
,,2019 - 2020,,,,706,"2,837.00",4.02,,,,,,,,,,,,
,,2020 - 2021,2,7,3.5,352,"1,461.00",4.15,,,,,,,,,,,,
,,2021 - 2022,,,,202,822,4.07,,,,,,,,,,,,
,,2022 - 2023,,,,154,640,4.16,,,,,,,,,,,,
,19. Ranipet,2020 - 2021,74,242,3.27,554,"2,293.00",4.14,,,,,,,,,,,,
,,2021 - 2022,79,225,2.85,617,"2,505.00",4.06,,,,,,,,,,,,
,,2022 - 2023,192,540,2.81,612,"2,537.00",4.15,,,,,,,,,,,,
,20. Salem,2000 - 2001,"16,057.00","28,779.00",1.79,,,,,,,,,,,,,,,
,,2001 - 2002,"14,616.00","42,720.00",2.92,,,,,,,,,,,,,,,
,,2002 - 2003,"9,471.00","15,660.00",1.65,,,,,,,,,,,,,,,
,,2003 - 2004,"12,076.00","20,233.00",1.68,,,,,,,,,,,,,,,
,,2004 - 2005,"10,421.00","18,004.00",1.73,,,,,,,,,,,,,,,
,,2005 - 2006,"10,335.00","19,769.00",1.91,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,"9,320.00","16,493.00",1.77,,,
,,2007 - 2008,,,,,,,,,,,,,"9,615.00","15,225.00",1.58,,,
,,2008 - 2009,,,,,,,,,,,,,"9,000.00","18,412.00",2.05,,,
,,2009 - 2010,,,,,,,,,,,,,"7,110.00","12,290.00",1.73,,,
,,2010 - 2011,"8,142.00","22,054.00",2.71,,,,,,,,,,,,,,,
,,2011 - 2012,"4,481.00","10,846.00",2.42,"2,695.00","9,660.00",3.58,,,,,,,,,,,,
,,2012 - 2013,"4,856.00","9,628.00",1.98,,,,,,,,,,,,,,,
,,2013 - 2014,"5,869.00","17,995.00",3.07,"2,757.00","12,950.00",4.7,,,,,,,,,,,,
,,2014 - 2015,"6,386.00","29,009.00",4.54,"2,907.00","14,624.00",5.03,,,,,,,,,,,,
,,2015 - 2016,"5,915.00","17,615.00",2.98,"2,287.00","8,553.00",3.74,,,,,,,,,,,,
,,2016 - 2017,"4,110.00","6,628.00",1.61,902,"2,928.00",3.25,,,,,,,,,,,,
,,2017 - 2018,"4,619.00","13,252.00",2.87,"2,688.00","12,373.00",4.6,,,,,,,,,,,,
,,2018 - 2019,"3,006.00","7,169.00",2.38,"2,138.00","7,092.00",3.32,,,,,,,,,,,,
,,2019 - 2020,"4,888.00","16,198.00",3.31,"2,691.00","10,011.00",3.72,,,,,,,,,,,,
,,2020 - 2021,"4,614.00","15,179.00",3.29,"2,987.00","14,121.00",4.73,,,,,,,,,,,,
,,2021 - 2022,"3,663.00","10,783.00",2.94,"2,325.00","10,082.00",4.34,,,,,,,,,,,,
,,2022 - 2023,"3,445.00","9,914.00",2.88,"2,574.00","12,422.00",4.83,,,,,,,,,,,,
,21. Sivaganga,2000 - 2001,796,"1,195.00",1.5,,,,,,,,,,,,,,,
,,2001 - 2002,218,420,1.93,,,,,,,,,,,,,,,
,,2002 - 2003,312,457,1.46,,,,,,,,,,,,,,,
,,2003 - 2004,376,616,1.64,,,,,,,,,,,,,,,
,,2004 - 2005,706,"1,146.00",1.62,,,,,,,,,,,,,,,
,,2005 - 2006,241,368,1.53,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,131,204,1.56,,,
,,2007 - 2008,,,,,,,,,,,,,108,210,1.94,,,
,,2008 - 2009,,,,,,,,,,,,,54,107,1.98,,,
,,2009 - 2010,,,,,,,,,,,,,61,131,2.15,,,
,,2010 - 2011,62,191,3.08,,,,,,,,,,,,,,,
,,2011 - 2012,45,119,2.64,18,56,3.11,,,,,,,,,,,,
,,2012 - 2013,50,110,2.2,,,,,,,,,,,,,,,
,,2013 - 2014,29,79,2.72,109,432,3.96,,,,,,,,,,,,
,,2014 - 2015,67,201,3,205,861,4.2,,,,,,,,,,,,
,,2015 - 2016,13,39,3,105,380,3.62,,,,,,,,,,,,
,,2016 - 2017,17,28,1.65,25,78,3.12,,,,,,,,,,,,
,,2017 - 2018,49,168,3.43,35,156,4.46,,,,,,,,,,,,
,,2018 - 2019,19,61,3.21,123,436,3.54,,,,,,,,,,,,
,,2019 - 2020,445,"1,332.00",2.99,423,"1,702.00",4.02,,,,,,,,,,,,
,,2020 - 2021,159,518,3.26,166,691,4.16,,,,,,,,,,,,
,,2021 - 2022,82,232,2.83,114,463,4.06,,,,,,,,,,,,
,,2022 - 2023,75,200,2.67,93,387,4.16,,,,,,,,,,,,
,22. Thanjavur,2000 - 2001,5,14,2.8,,,,,,,,,,,,,,,
,,2001 - 2002,3,10,3.33,,,,,,,,,,,,,,,
,,2002 - 2003,9,19,2.11,,,,,,,,,,,,,,,
,,2003 - 2004,20,48,2.4,,,,,,,,,,,,,,,
,,2004 - 2005,35,80,2.29,,,,,,,,,,,,,,,
,,2005 - 2006,5,10,2,,,,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,2,6,3,,,
,,2007 - 2008,,,,,,,,,,,,,4,10,2.5,,,
,,2008 - 2009,,,,,,,,,,,,,4,8,2,,,
,,2009 - 2010,,,,,,,,,,,,,3,10,3.33,,,
,,2010 - 2011,4,8,2,,,,,,,,,,,,,,,
,,2011 - 2012,1,3,3,,,,,,,,,,,,,,,
,,2012 - 2013,17,35,2.06,,,,,,,,,,,,,,,
,,2013 - 2014,8,22,2.75,,,,,,,,,,,,,,,
,,2015 - 2016,5,15,3,,,,,,,,,,,,,,,
,,2016 - 2017,4,7,1.75,1,3,3,,,,,,,,,,,,
