State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,"69,500.00","1,57,900.00",2.27,,,,,,
,,2013 - 2014,"54,245.00","1,36,236.00",2.51,,,,,,
,,2014 - 2015,"66,900.00","1,07,348.00",1.6,,,,,,
,,2015 - 2016,"77,996.00","1,34,730.00",1.73,,,,,,
,,2016 - 2017,"43,572.00","74,948.00",1.72,,,,,,
,,2017 - 2018,"26,833.00","53,778.00",2,,,,,,
,,2018 - 2019,"58,112.00","23,457.00",0.4,,,,,,
,,2019 - 2020,"69,725.00","1,25,672.00",1.8,,,,,,
,,2020 - 2021,"64,889.00","1,00,635.00",1.55,,,,,,
,,2021 - 2022,"75,013.00","1,43,908.00",1.92,,,,,,
,,2022 - 2023,"68,868.00","1,44,071.00",2.09,,,,,,
,30. Tapi,2008 - 2009,200,400,2,,,,,,
,,2009 - 2010,600,"1,200.00",2,,,,,,
,,2011 - 2012,400,800,2,,,,,,
,,2012 - 2013,300,600,2,,,,,,
,,2013 - 2014,356,772,2.17,,,,,,
,,2014 - 2015,916,"2,052.00",2.24,,,,,,
,,2015 - 2016,875,"1,734.00",1.98,,,,,,
,,2016 - 2017,152,315,2.07,,,,,,
,,2017 - 2018,159,404,2.54,,,,,,
,,2018 - 2019,115,208,1.81,,,,,,
,,2019 - 2020,137,344,2.51,,,,,,
,,2020 - 2021,113,233,2.06,,,,,,
,,2021 - 2022,76,164,2.16,,,,,,
,,2022 - 2023,831,"1,862.00",2.24,,,,,,
,31. Vadodara,2000 - 2001,"15,300.00","11,100.00",0.73,,,,,,
,,2001 - 2002,"7,500.00","9,400.00",1.25,,,,,,
,,2002 - 2003,"8,100.00","10,500.00",1.3,,,,,,
,,2003 - 2004,"5,800.00","8,700.00",1.5,,,,,,
,,2004 - 2005,"9,700.00","10,200.00",1.05,,,,,,
,,2005 - 2006,"14,000.00","21,500.00",1.54,,,,,,
,,2006 - 2007,"11,500.00","15,100.00",1.31,,,,,,
,,2007 - 2008,"16,600.00","22,700.00",1.37,,,,,,
,,2008 - 2009,"18,200.00","27,900.00",1.53,,,,,,
,,2009 - 2010,"15,600.00","25,400.00",1.63,,,,,,
,,2010 - 2011,"14,800.00","26,100.00",1.76,,,,,,
,,2011 - 2012,"25,000.00","50,600.00",2.02,,,,,,
,,2012 - 2013,"32,500.00","74,600.00",2.3,,,,,,
,,2013 - 2014,"38,818.00","71,006.00",1.83,,,,,,
,,2014 - 2015,"28,473.00","53,230.00",1.87,,,,,,
,,2015 - 2016,"27,950.00","51,246.00",1.83,,,,,,
,,2016 - 2017,"19,590.00","35,376.00",1.81,,,,,,
,,2017 - 2018,"37,811.00","76,753.00",2.03,,,,,,
,,2018 - 2019,"48,719.00","99,225.00",2.04,,,,,,
,,2019 - 2020,"49,840.00","97,043.00",1.95,,,,,,
,,2020 - 2021,"40,840.00","79,604.00",1.95,,,,,,
,,2021 - 2022,"37,274.00","76,160.00",2.04,,,,,,
,,2022 - 2023,"40,484.00","91,899.00",2.27,,,,,,
6. Haryana,1. Bhiwani,2006 - 2007,133,100,0.75,,,,,,
,,2007 - 2008,68,100,1.47,,,,,,
,,2008 - 2009,41,,0,,,,,,
,,2009 - 2010,9,,0,,,,,,
,,2010 - 2011,27,,0,,,,,,
,,2011 - 2012,17,,0,,,,,,
,,2012 - 2013,36,17,0.47,,,,,,
,,2018 - 2019,27,18,0.67,,,,,,
,,2019 - 2020,35,23,0.66,,,,,,
,,2020 - 2021,35,233,6.66,,,,,,
,,2021 - 2022,15,10.01,0.67,,,,,,
,2. Charki dadri,2018 - 2019,6,5,0.83,,,,,,
,,2019 - 2020,7,6,0.86,,,,,,
,,2020 - 2021,5,42,8.4,,,,,,
,,2021 - 2022,3,2.5,0.83,,,,,,
,3. Fatehabad,2006 - 2007,414,200,0.48,,,,,,
,,2007 - 2008,147,100,0.68,,,,,,
,,2008 - 2009,162,200,1.23,,,,,,
,,2009 - 2010,130,100,0.77,,,,,,
,,2010 - 2011,104,,0,,,,,,
,,2011 - 2012,159,100,0.63,,,,,,
,,2012 - 2013,88,40,0.45,,,,,,
,,2013 - 2014,100,,0,,,,,,
,,2014 - 2015,100,,0,,,,,,
,,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,100,100,1,,,,,,
,,2018 - 2019,303,231,0.76,,,,,,
,,2019 - 2020,762,581,0.76,,,,,,
,,2020 - 2021,468,"3,566.00",7.62,,,,,,
,,2021 - 2022,157,119.63,0.76,,,,,,
,4. Gurgaon,2018 - 2019,2,1,0.5,,,,,,
,,2020 - 2021,556,"2,780.00",5,,,,,,
,5. Hisar,2006 - 2007,897,300,0.33,,,,,,
,,2007 - 2008,430,300,0.7,,,,,,
,,2008 - 2009,372,400,1.08,,,,,,
,,2009 - 2010,50,100,2,,,,,,
,,2010 - 2011,299,100,0.33,,,,,,
,,2011 - 2012,603,200,0.33,,,,,,
,,2012 - 2013,208,83,0.4,,,,,,
,,2013 - 2014,100,100,1,,,,,,
,,2014 - 2015,100,100,1,,,,,,
,,2015 - 2016,100,100,1,,,,,,
,,2016 - 2017,900,"1,100.00",1.22,,,,,,
,,2017 - 2018,400,400,1,,,,,,
,,2018 - 2019,719,446,0.62,,,,,,
,,2019 - 2020,"2,819.00","1,748.00",0.62,,,,,,
,,2020 - 2021,436,"2,703.00",6.2,,,,,,
,,2021 - 2022,367,227.54,0.62,,,,,,
,6. Jhajjar,2019 - 2020,1,1,1,,,,,,
,7. Jind,2021 - 2022,2,0,0,,,,,,
,8. Mahendragarh,2007 - 2008,1,,0,,,,,,
,,2010 - 2011,17,,0,,,,,,
,,2011 - 2012,78,100,1.28,,,,,,
,,2012 - 2013,6,3,0.5,,,,,,
,,2018 - 2019,5,4,0.8,,,,,,
,,2021 - 2022,7,0,0,,,,,,
,9. Mewat,2018 - 2019,26,17,0.65,,,,,,
,,2019 - 2020,4,3,0.75,,,,,,
,,2020 - 2021,4,26,6.5,,,,,,
,10. Rewari,2010 - 2011,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2018 - 2019,10,8,0.8,,,,,,
,,2019 - 2020,34,27,0.79,,,,,,
,,2020 - 2021,34,272,8,,,,,,
,,2021 - 2022,8,6.4,0.8,,,,,,
,11. Rohtak,2018 - 2019,4,2,0.5,,,,,,
,12. Sirsa,2006 - 2007,"4,099.00","1,800.00",0.44,,,,,,
,,2007 - 2008,"1,452.00","1,400.00",0.96,,,,,,
,,2008 - 2009,"1,248.00","1,500.00",1.2,,,,,,
,,2009 - 2010,823,900,1.09,,,,,,
,,2010 - 2011,"1,206.00",600,0.5,,,,,,
,,2011 - 2012,"2,074.00",900,0.43,,,,,,
,,2012 - 2013,924,463,0.5,,,,,,
,,2013 - 2014,500,600,1.2,,,,,,
,,2014 - 2015,300,500,1.67,,,,,,
,,2015 - 2016,400,300,0.75,,,,,,
,,2016 - 2017,800,800,1,,,,,,
,,2017 - 2018,400,400,1,,,,,,
,,2018 - 2019,"1,124.00",768,0.68,,,,,,
,,2019 - 2020,"3,023.00","2,065.00",0.68,,,,,,
,,2020 - 2021,555,"3,791.00",6.83,,,,,,
,,2021 - 2022,449,306.67,0.68,,,,,,
,13. Yamunanagar,2018 - 2019,6,5,0.83,,,,,,
7. Jharkhand,1. Bokaro,2017 - 2018,20,2,0.1,,,,,,
,,2018 - 2019,2,,0,,,,,,
,2. Deoghar,2017 - 2018,20,8,0.4,,,,,,
,,2022 - 2023,19,11,0.58,,,,,,
,3. Dumka,2017 - 2018,4,2,0.5,,,,,,
,,2018 - 2019,21,13,0.62,,,,,,
,,2019 - 2020,15,9,0.6,,,,,,
,,2020 - 2021,14,8,0.57,,,,,,
,,2022 - 2023,6,4,0.67,,,,,,
,4. East singhbum,2017 - 2018,8,4,0.5,,,,,,
,,2018 - 2019,7,3,0.43,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,
,,2022 - 2023,98,36,0.37,,,,,,
,5. Giridih,2020 - 2021,4,3,0.75,,,,,,
,,2021 - 2022,6,5,0.83,,,,,,
,6. Godda,2019 - 2020,30,20,0.67,,,,,,
,7. Gumla,2022 - 2023,26,5,0.19,,,,,,
,8. Hazaribagh,2022 - 2023,25,10,0.4,,,,,,
,9. Khunti,2022 - 2023,55,55,1,,,,,,
,10. Pakur,2021 - 2022,16,10,0.63,,,,,,
,11. Palamu,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,11,10,0.91,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,12. Saraikela kharsawan,2021 - 2022,15,10,0.67,,,,,,
,13. Simdega,2017 - 2018,100,40,0.4,,,,,,
,14. West singhbhum,2021 - 2022,40,18,0.45,,,,,,
,,2022 - 2023,53,19,0.36,,,,,,
8. Karnataka,1. Bagalkot,2000 - 2001,52,67,1.29,,,,,,
,,2001 - 2002,19,14,0.74,,,,,,
,,2002 - 2003,10,9,0.9,,,,,,
,,2003 - 2004,1,1,1,,,,,,
,,2004 - 2005,2,2,1,,,,,,
,,2011 - 2012,20,17,0.85,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2019 - 2020,9,8,0.89,,,,,,
,,2020 - 2021,40,36,0.9,,,,,,
,,2021 - 2022,11,10,0.91,,,,,,
,,2022 - 2023,16,10,0.63,,,,,,
,2. Bangalore rural,2000 - 2001,"3,701.00","5,974.00",1.61,,,,,,
,,2001 - 2002,"2,931.00","4,967.00",1.69,,,,,,
,,2002 - 2003,"1,622.00","4,364.00",2.69,,,,,,
,,2003 - 2004,"2,049.00","6,813.00",3.33,,,,,,
,,2004 - 2005,"1,568.00","2,640.00",1.68,,,,,,
,,2005 - 2006,"2,137.00","7,396.00",3.46,,,,,,
,,2006 - 2007,"1,568.00","2,990.00",1.91,,,,,,
,,2007 - 2008,382,256,0.67,,,,,,
,,2008 - 2009,340,322,0.95,,,,,,
,,2009 - 2010,303,196,0.65,,,,,,
,,2010 - 2011,315,264,0.84,,,,,,
,,2011 - 2012,203,170,0.84,,,,,,
,,2012 - 2013,162,101,0.62,,,,,,
,,2013 - 2014,167,149,0.89,,,,,,
,,2014 - 2015,233,142,0.61,,,,,,
,,2015 - 2016,106,56,0.53,,,,,,
,,2016 - 2017,77,38,0.49,,,,,,
,,2017 - 2018,97,62,0.64,,,,,,
,,2018 - 2019,12,7,0.58,,,,,,
,,2019 - 2020,20,18,0.9,,,,,,
,,2020 - 2021,19,17,0.89,,,,,,
,,2021 - 2022,4,4,1,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,
,3. Belgaum,2000 - 2001,"1,066.00","1,365.00",1.28,,,,,,
,,2001 - 2002,347,257,0.74,,,,,,
,,2002 - 2003,295,139,0.47,,,,,,
,,2003 - 2004,121,109,0.9,,,,,,
,,2004 - 2005,205,178,0.87,,,,,,
,,2005 - 2006,127,132,1.04,,,,,,
,,2006 - 2007,270,216,0.8,,,,,,
,,2007 - 2008,197,132,0.67,,,,,,
,,2008 - 2009,131,124,0.95,,,,,,
,,2009 - 2010,129,83,0.64,,,,,,
,,2010 - 2011,374,313,0.84,,,,,,
,,2011 - 2012,140,117,0.84,,,,,,
,,2012 - 2013,100,62,0.62,,,,,,
,,2013 - 2014,531,475,0.89,,,,,,
,,2014 - 2015,81,49,0.6,,,,,,
,,2015 - 2016,23,12,0.52,,,,,,
,,2016 - 2017,23,11,0.48,,,,,,
,,2017 - 2018,4,3,0.75,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2020 - 2021,21,19,0.9,,,,,,
,,2021 - 2022,12,11,0.92,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,4. Bellary,2000 - 2001,795,"1,018.00",1.28,,,,,,
,,2001 - 2002,620,459,0.74,,,,,,
,,2002 - 2003,326,301,0.92,,,,,,
,,2003 - 2004,166,149,0.9,,,,,,
,,2004 - 2005,209,181,0.87,,,,,,
,,2005 - 2006,225,234,1.04,,,,,,
,,2006 - 2007,185,148,0.8,,,,,,
,,2007 - 2008,184,123,0.67,,,,,,
,,2008 - 2009,118,112,0.95,,,,,,
,,2009 - 2010,122,79,0.65,,,,,,
,,2010 - 2011,145,121,0.83,,,,,,
,,2011 - 2012,265,222,0.84,,,,,,
,,2012 - 2013,508,317,0.62,,,,,,
,,2013 - 2014,486,435,0.9,,,,,,
,,2014 - 2015,64,39,0.61,,,,,,
,,2015 - 2016,27,14,0.52,,,,,,
,,2016 - 2017,162,80,0.49,,,,,,
,,2017 - 2018,60,39,0.65,,,,,,
,,2018 - 2019,75,43,0.57,,,,,,
,,2019 - 2020,274,252,0.92,,,,,,
,,2020 - 2021,145,130,0.9,,,,,,
,,2021 - 2022,143,131,0.92,,,,,,
,,2022 - 2023,237,150,0.63,,,,,,
,5. Bengaluru urban,2000 - 2001,585,749,1.28,,,,,,
,,2001 - 2002,465,344,0.74,,,,,,
,,2002 - 2003,308,284,0.92,,,,,,
,,2003 - 2004,399,358,0.9,,,,,,
,,2004 - 2005,457,396,0.87,,,,,,
,,2005 - 2006,512,533,1.04,,,,,,
,,2006 - 2007,248,198,0.8,,,,,,
,,2007 - 2008,277,186,0.67,,,,,,
,,2008 - 2009,288,273,0.95,,,,,,
,,2009 - 2010,235,152,0.65,,,,,,
,,2010 - 2011,265,222,0.84,,,,,,
,,2011 - 2012,288,242,0.84,,,,,,
,,2012 - 2013,99,62,0.63,,,,,,
,,2013 - 2014,57,51,0.89,,,,,,
,,2014 - 2015,52,32,0.62,,,,,,
,,2015 - 2016,113,59,0.52,,,,,,
,,2016 - 2017,95,47,0.49,,,,,,
,,2017 - 2018,65,42,0.65,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,8,7,0.88,,,,,,
,,2020 - 2021,6,5,0.83,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,6. Bidar,2013 - 2014,8,7,0.88,,,,,,
,,2014 - 2015,11,7,0.64,,,,,,
,,2016 - 2017,27,13,0.48,,,,,,
,,2017 - 2018,13,8,0.62,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2020 - 2021,3,3,1,,,,,,
,,2021 - 2022,4,4,1,,,,,,
,7. Bijapur,2000 - 2001,45,58,1.29,,,,,,
,,2002 - 2003,24,22,0.92,,,,,,
,,2003 - 2004,6,5,0.83,,,,,,
,,2005 - 2006,8,8,1,,,,,,
,,2006 - 2007,77,62,0.81,,,,,,
,,2007 - 2008,104,70,0.67,,,,,,
,,2008 - 2009,104,99,0.95,,,,,,
,,2009 - 2010,24,16,0.67,,,,,,
,,2010 - 2011,2,2,1,,,,,,
,,2011 - 2012,5,4,0.8,,,,,,
,,2019 - 2020,19,18,0.95,,,,,,
,,2020 - 2021,8,7,0.88,,,,,,
,,2021 - 2022,9,8,0.89,,,,,,
,,2022 - 2023,6,4,0.67,,,,,,
,8. Chamarajanagar,2000 - 2001,427,547,1.28,,,,,,
,,2001 - 2002,778,576,0.74,,,,,,
,,2002 - 2003,836,772,0.92,,,,,,
,,2003 - 2004,540,484,0.9,,,,,,
,,2004 - 2005,629,546,0.87,,,,,,
,,2005 - 2006,854,888,1.04,,,,,,
,,2006 - 2007,"1,169.00",934,0.8,,,,,,
,,2007 - 2008,946,135,0.14,,,,,,
,,2008 - 2009,"1,272.00","2,756.00",2.17,,,,,,
,,2009 - 2010,599,461,0.77,,,,,,
,,2010 - 2011,407,280,0.69,,,,,,
,,2011 - 2012,508,160,0.31,,,,,,
,,2012 - 2013,298,79,0.27,,,,,,
,,2013 - 2014,542,132,0.24,,,,,,
,,2014 - 2015,629,128,0.2,,,,,,
,,2015 - 2016,465,124,0.27,,,,,,
,,2016 - 2017,360,44,0.12,,,,,,
,,2017 - 2018,366,226,0.62,,,,,,
,,2018 - 2019,89,51,0.57,,,,,,
,,2019 - 2020,236,217,0.92,,,,,,
,,2020 - 2021,206,185,0.9,,,,,,
,,2021 - 2022,105,96,0.91,,,,,,
,,2022 - 2023,64,40,0.63,,,,,,
,9. Chikballapur,2007 - 2008,582,390,0.67,,,,,,
,,2008 - 2009,730,692,0.95,,,,,,
,,2009 - 2010,246,159,0.65,,,,,,
,,2010 - 2011,330,276,0.84,,,,,,
,,2011 - 2012,118,99,0.84,,,,,,
,,2012 - 2013,53,33,0.62,,,,,,
,,2013 - 2014,56,50,0.89,,,,,,
,,2014 - 2015,73,44,0.6,,,,,,
,,2015 - 2016,84,44,0.52,,,,,,
,,2016 - 2017,70,35,0.5,,,,,,
,,2017 - 2018,303,195,0.64,,,,,,
,,2018 - 2019,21,5,0.24,,,,,,
,,2019 - 2020,50,18,0.36,,,,,,
,,2020 - 2021,56,16,0.29,,,,,,
,,2021 - 2022,32,7,0.22,,,,,,
,,2022 - 2023,20,5,0.25,,,,,,
,10. Chikmagalur,2000 - 2001,698,"1,127.00",1.61,,,,,,
,,2001 - 2002,738,496,0.67,,,,,,
,,2002 - 2003,694,641,0.92,,,,,,
,,2003 - 2004,743,666,0.9,,,,,,
,,2004 - 2005,537,466,0.87,,,,,,
,,2005 - 2006,851,885,1.04,,,,,,
,,2006 - 2007,698,558,0.8,,,,,,
,,2007 - 2008,979,657,0.67,,,,,,
,,2008 - 2009,570,540,0.95,,,,,,
,,2009 - 2010,667,431,0.65,,,,,,
,,2010 - 2011,587,491,0.84,,,,,,
,,2011 - 2012,632,530,0.84,,,,,,
,,2012 - 2013,245,153,0.62,,,,,,
,,2013 - 2014,189,169,0.89,,,,,,
,,2014 - 2015,239,145,0.61,,,,,,
,,2015 - 2016,418,220,0.53,,,,,,
,,2016 - 2017,289,143,0.49,,,,,,
,,2017 - 2018,88,57,0.65,,,,,,
,,2018 - 2019,37,21,0.57,,,,,,
,,2019 - 2020,37,34,0.92,,,,,,
,,2020 - 2021,33,30,0.91,,,,,,
,,2021 - 2022,23,21,0.91,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,
,11. Chitradurga,2000 - 2001,"3,681.00","5,759.00",1.56,,,,,,
,,2001 - 2002,"1,838.00","1,234.00",0.67,,,,,,
,,2002 - 2003,"1,478.00","2,334.00",1.58,,,,,,
,,2003 - 2004,"1,085.00","1,068.00",0.98,,,,,,
,,2004 - 2005,"1,335.00","2,443.00",1.83,,,,,,
,,2005 - 2006,"2,188.00","2,276.00",1.04,,,,,,
,,2006 - 2007,"2,142.00","1,711.00",0.8,,,,,,
,,2007 - 2008,"3,074.00","2,062.00",0.67,,,,,,
,,2008 - 2009,"1,069.00",846,0.79,,,,,,
,,2009 - 2010,"1,581.00","1,576.00",1,,,,,,
,,2010 - 2011,"1,963.00","1,975.00",1.01,,,,,,
,,2011 - 2012,952,719,0.76,,,,,,
,,2012 - 2013,777,576,0.74,,,,,,
,,2013 - 2014,685,526,0.77,,,,,,
,,2014 - 2015,652,587,0.9,,,,,,
,,2015 - 2016,767,477,0.62,,,,,,
,,2016 - 2017,657,"1,170.00",1.78,,,,,,
,,2017 - 2018,208,162,0.78,,,,,,
,,2018 - 2019,305,175,0.57,,,,,,
,,2019 - 2020,511,471,0.92,,,,,,
,,2020 - 2021,383,362,0.95,,,,,,
,,2021 - 2022,282,295,1.05,,,,,,
,,2022 - 2023,537,347,0.65,,,,,,
,12. Dakshin kannad,2020 - 2021,1,1,1,,,,,,
,13. Davangere,2000 - 2001,550,704,1.28,,,,,,
,,2001 - 2002,349,258,0.74,,,,,,
,,2002 - 2003,237,219,0.92,,,,,,
,,2003 - 2004,225,202,0.9,,,,,,
,,2004 - 2005,222,193,0.87,,,,,,
,,2005 - 2006,205,213,1.04,,,,,,
,,2006 - 2007,190,152,0.8,,,,,,
,,2007 - 2008,45,30,0.67,,,,,,
,,2008 - 2009,90,85,0.94,,,,,,
,,2009 - 2010,105,68,0.65,,,,,,
,,2010 - 2011,254,213,0.84,,,,,,
,,2011 - 2012,128,107,0.84,,,,,,
,,2012 - 2013,196,122,0.62,,,,,,
,,2013 - 2014,358,320,0.89,,,,,,
,,2014 - 2015,202,123,0.61,,,,,,
,,2015 - 2016,41,22,0.54,,,,,,
,,2016 - 2017,206,102,0.5,,,,,,
,,2017 - 2018,79,51,0.65,,,,,,
,,2018 - 2019,9,5,0.56,,,,,,
,,2019 - 2020,24,22,0.92,,,,,,
,,2020 - 2021,9,8,0.89,,,,,,
,,2021 - 2022,27,25,0.93,,,,,,
,,2022 - 2023,18,11,0.61,,,,,,
,14. Dharwad,2000 - 2001,6,8,1.33,,,,,,
,,2006 - 2007,43,34,0.79,,,,,,
,,2007 - 2008,15,10,0.67,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2020 - 2021,17,15,0.88,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,15. Gadag,2000 - 2001,278,356,1.28,,,,,,
,,2001 - 2002,117,87,0.74,,,,,,
,,2002 - 2003,58,54,0.93,,,,,,
,,2003 - 2004,100,90,0.9,,,,,,
,,2004 - 2005,102,88,0.86,,,,,,
,,2005 - 2006,292,304,1.04,,,,,,
,,2006 - 2007,83,66,0.8,,,,,,
,,2007 - 2008,280,188,0.67,,,,,,
,,2008 - 2009,32,30,0.94,,,,,,
,,2009 - 2010,62,40,0.65,,,,,,
,,2010 - 2011,68,57,0.84,,,,,,
,,2011 - 2012,7,6,0.86,,,,,,
,,2013 - 2014,23,21,0.91,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2016 - 2017,10,5,0.5,,,,,,
,,2017 - 2018,28,18,0.64,,,,,,
,,2018 - 2019,13,7,0.54,,,,,,
,,2019 - 2020,10,9,0.9,,,,,,
,,2020 - 2021,14,13,0.93,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,5,3,0.6,,,,,,
,16. Gulbarga,2000 - 2001,116,149,1.28,,,,,,
,,2001 - 2002,65,48,0.74,,,,,,
,,2002 - 2003,32,30,0.94,,,,,,
,,2003 - 2004,54,48,0.89,,,,,,
,,2004 - 2005,70,61,0.87,,,,,,
,,2005 - 2006,332,345,1.04,,,,,,
,,2006 - 2007,180,144,0.8,,,,,,
,,2007 - 2008,88,59,0.67,,,,,,
,,2008 - 2009,83,79,0.95,,,,,,
,,2009 - 2010,128,83,0.65,,,,,,
,,2010 - 2011,68,57,0.84,,,,,,
,,2011 - 2012,108,91,0.84,,,,,,
,,2012 - 2013,11,7,0.64,,,,,,
,,2014 - 2015,79,48,0.61,,,,,,
,,2016 - 2017,10,5,0.5,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,
,,2019 - 2020,14,13,0.93,,,,,,
,,2021 - 2022,14,13,0.93,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,17. Hassan,2000 - 2001,"4,008.00","1,489.00",0.37,,,,,,
,,2001 - 2002,"3,711.00","1,685.00",0.45,,,,,,
,,2002 - 2003,"2,040.00",802,0.39,,,,,,
,,2003 - 2004,"2,548.00",663,0.26,,,,,,
,,2004 - 2005,"2,435.00","1,131.00",0.46,,,,,,
,,2005 - 2006,"2,923.00","2,072.00",0.71,,,,,,
,,2006 - 2007,"2,584.00","1,404.00",0.54,,,,,,
,,2007 - 2008,"2,504.00","1,246.00",0.5,,,,,,
,,2008 - 2009,"2,766.00","1,553.00",0.56,,,,,,
,,2009 - 2010,"2,020.00","1,075.00",0.53,,,,,,
,,2010 - 2011,"2,075.00","1,644.00",0.79,,,,,,
,,2011 - 2012,"1,820.00","1,483.00",0.81,,,,,,
,,2012 - 2013,909,459,0.5,,,,,,
,,2013 - 2014,"1,181.00","1,266.00",1.07,,,,,,
,,2014 - 2015,"1,314.00","1,247.00",0.95,,,,,,
,,2015 - 2016,"1,017.00",704,0.69,,,,,,
,,2016 - 2017,797,402,0.5,,,,,,
,,2017 - 2018,555,516,0.93,,,,,,
,,2018 - 2019,150,86,0.57,,,,,,
,,2019 - 2020,377,347,0.92,,,,,,
,,2020 - 2021,211,189,0.9,,,,,,
,,2021 - 2022,77,71,0.92,,,,,,
,,2022 - 2023,38,24,0.63,,,,,,
,18. Haveri,2000 - 2001,298,382,1.28,,,,,,
,,2001 - 2002,262,194,0.74,,,,,,
,,2002 - 2003,100,92,0.92,,,,,,
,,2003 - 2004,43,39,0.91,,,,,,
,,2004 - 2005,133,115,0.86,,,,,,
,,2005 - 2006,89,93,1.04,,,,,,
,,2006 - 2007,59,47,0.8,,,,,,
,,2007 - 2008,63,42,0.67,,,,,,
,,2008 - 2009,60,57,0.95,,,,,,
,,2009 - 2010,13,8,0.62,,,,,,
,,2010 - 2011,11,9,0.82,,,,,,
,,2011 - 2012,16,13,0.81,,,,,,
,,2012 - 2013,5,3,0.6,,,,,,
,,2013 - 2014,27,24,0.89,,,,,,
,,2014 - 2015,13,8,0.62,,,,,,
,,2015 - 2016,12,6,0.5,,,,,,
,,2016 - 2017,9,4,0.44,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,3,3,1,,,,,,
,,2020 - 2021,11,10,0.91,,,,,,
,,2021 - 2022,8,7,0.88,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,19. Kodagu,2005 - 2006,125,130,1.04,,,,,,
,,2006 - 2007,125,100,0.8,,,,,,
,,2007 - 2008,108,72,0.67,,,,,,
,,2008 - 2009,78,74,0.95,,,,,,
,20. Kolar,2000 - 2001,292,374,1.28,,,,,,
,,2001 - 2002,124,92,0.74,,,,,,
,,2002 - 2003,140,129,0.92,,,,,,
,,2003 - 2004,671,602,0.9,,,,,,
,,2004 - 2005,297,258,0.87,,,,,,
,,2005 - 2006,497,517,1.04,,,,,,
,,2006 - 2007,497,397,0.8,,,,,,
,,2007 - 2008,45,30,0.67,,,,,,
,,2008 - 2009,69,65,0.94,,,,,,
,,2009 - 2010,72,47,0.65,,,,,,
,,2010 - 2011,80,67,0.84,,,,,,
,,2011 - 2012,87,73,0.84,,,,,,
,,2012 - 2013,104,65,0.63,,,,,,
,,2013 - 2014,104,93,0.89,,,,,,
,,2014 - 2015,57,35,0.61,,,,,,
,,2015 - 2016,55,29,0.53,,,,,,
,,2016 - 2017,60,30,0.5,,,,,,
,,2017 - 2018,57,37,0.65,,,,,,
,,2018 - 2019,30,17,0.57,,,,,,
,,2019 - 2020,4,4,1,,,,,,
,,2020 - 2021,34,30,0.88,,,,,,
,,2021 - 2022,28,26,0.93,,,,,,
,,2022 - 2023,15,9,0.6,,,,,,
,21. Koppal,2000 - 2001,"1,966.00","3,076.00",1.56,,,,,,
,,2001 - 2002,"1,180.00",444,0.38,,,,,,
,,2002 - 2003,"1,238.00",582,0.47,,,,,,
,,2003 - 2004,"1,430.00","1,027.00",0.72,,,,,,
,,2004 - 2005,"1,392.00",581,0.42,,,,,,
,,2005 - 2006,"1,532.00","2,225.00",1.45,,,,,,
,,2006 - 2007,"1,278.00","1,958.00",1.53,,,,,,
,,2007 - 2008,"1,112.00",637,0.57,,,,,,
,,2008 - 2009,"1,206.00","1,028.00",0.85,,,,,,
,,2009 - 2010,"1,513.00",614,0.41,,,,,,
,,2010 - 2011,922,"1,359.00",1.47,,,,,,
,,2011 - 2012,717,"1,008.00",1.41,,,,,,
,,2012 - 2013,332,457,1.38,,,,,,
,,2013 - 2014,324,560,1.73,,,,,,
,,2014 - 2015,"1,050.00",659,0.63,,,,,,
,,2015 - 2016,928,247,0.27,,,,,,
,,2016 - 2017,"1,414.00",701,0.5,,,,,,
,,2017 - 2018,308,173,0.56,,,,,,
