State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,14,9,0.64,,,,,,
,,2014 - 2015,13,10,0.77,,,,,,
,,2015 - 2016,13,8,0.62,,,,,,
,,2016 - 2017,13,8,0.62,,,,,,
,,2017 - 2018,12,8,0.67,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,
,,2019 - 2020,12,5,0.42,,,,,,
,,2020 - 2021,11,5,0.45,,,,,,
,,2021 - 2022,12,4,0.33,,,,,,
,,2022 - 2023,11,4,0.36,,,,,,
,3. Biswanath,2020 - 2021,4,3,0.75,,,,,,
,,2022 - 2023,5,2,0.4,,,,,,
,4. Bongaigaon,2000 - 2001,37,15,0.41,,,,,,
,,2001 - 2002,36,14,0.39,,,,,,
,,2002 - 2003,31,12,0.39,,,,,,
,,2003 - 2004,34,14,0.41,,,,,,
,,2004 - 2005,41,17,0.41,,,,,,
,,2005 - 2006,16,6,0.38,,,,,,
,,2006 - 2007,14,6,0.43,,,,,,
,,2007 - 2008,9,4,0.44,,,,,,
,,2008 - 2009,8,3,0.38,,,,,,
,,2009 - 2010,7,3,0.43,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,
,,2012 - 2013,6,3,0.5,,,,,,
,,2013 - 2014,5,3,0.6,,,,,,
,,2014 - 2015,7,4,0.57,,,,,,
,,2015 - 2016,7,5,0.71,,,,,,
,,2016 - 2017,7,4,0.57,,,,,,
,,2017 - 2018,7,4,0.57,,,,,,
,,2018 - 2019,7,3,0.43,,,,,,
,,2019 - 2020,8,4,0.5,,,,,,
,,2020 - 2021,8,4,0.5,,,,,,
,,2021 - 2022,10,5,0.5,,,,,,
,,2022 - 2023,13,8,0.62,,,,,,
,5. Cachar,2015 - 2016,1,1,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,6. Chirang,2005 - 2006,28,12,0.43,,,,,,
,,2006 - 2007,26,11,0.42,,,,,,
,,2007 - 2008,16,7,0.44,,,,,,
,,2008 - 2009,14,4,0.29,,,,,,
,,2009 - 2010,19,7,0.37,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,
,,2011 - 2012,13,7,0.54,,,,,,
,,2012 - 2013,6,3,0.5,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,
,,2015 - 2016,9,5,0.56,,,,,,
,,2016 - 2017,13,8,0.62,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,
,,2018 - 2019,8,4,0.5,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,
,,2022 - 2023,10,6,0.6,,,,,,
,7. Darrang,2000 - 2001,73,29,0.4,,,,,,
,,2001 - 2002,61,24,0.39,,,,,,
,,2002 - 2003,56,22,0.39,,,,,,
,,2003 - 2004,23,9,0.39,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2005 - 2006,4,2,0.5,,,,,,
,,2006 - 2007,4,2,0.5,,,,,,
,,2007 - 2008,4,2,0.5,,,,,,
,,2008 - 2009,5,2,0.4,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,,2013 - 2014,3,2,0.67,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,1,1,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,8. Dhemaji,2000 - 2001,130,58,0.45,,,,,,
,,2001 - 2002,125,56,0.45,,,,,,
,,2002 - 2003,123,55,0.45,,,,,,
,,2003 - 2004,117,52,0.44,,,,,,
,,2004 - 2005,109,49,0.45,,,,,,
,,2005 - 2006,125,56,0.45,,,,,,
,,2006 - 2007,95,42,0.44,,,,,,
