State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,,,,"2,543.00","4,438.00",1.75,,,,,,,,,,,,
,,2018 - 2019,,,,"2,552.00","4,475.00",1.75,,,,,,,,,,,,
,,2019 - 2020,,,,"2,556.00","4,528.00",1.77,,,,,,,,,,,,
,,2020 - 2021,,,,"2,558.00","4,572.00",1.79,,,,,,,,,,,,
,,2021 - 2022,,,,"2,728.00","4,856.00",1.78,,,,,,,,,,,,
,,2022 - 2023,,,,"2,747.00","4,895.00",1.78,,,,,,,,,,,,
,18. Shi yomi,2019 - 2020,,,,243,348,1.43,,,,,,,,,,,,
,,2020 - 2021,,,,245,392,1.6,,,,,,,,,,,,
,,2021 - 2022,,,,255,478,1.87,,,,,,,,,,,,
,,2022 - 2023,,,,294,553,1.88,,,,,,,,,,,,
,19. Siang,2015 - 2016,,,,"2,126.00","3,762.00",1.77,,,,,,,,,,,,
,,2016 - 2017,,,,"2,201.00","3,773.00",1.71,,,,,,,,,,,,
,,2017 - 2018,,,,"2,226.00","3,861.00",1.73,,,,,,,,,,,,
,,2018 - 2019,,,,"2,240.00","3,898.00",1.74,,,,,,,,,,,,
,,2019 - 2020,,,,"2,244.00","3,951.00",1.76,,,,,,,,,,,,
,,2020 - 2021,,,,"2,246.00","3,995.00",1.78,,,,,,,,,,,,
,,2021 - 2022,,,,"2,375.00","4,156.00",1.75,,,,,,,,,,,,
,,2022 - 2023,,,,"2,391.00","4,189.00",1.75,,,,,,,,,,,,
,20. Tawang,2000 - 2001,,,,875,"1,645.00",1.88,,,,,,,,,,,,
,,2001 - 2002,,,,875,"1,640.00",1.87,,,,,,,,,,,,
,,2002 - 2003,,,,880,"1,654.00",1.88,,,,,,,,,,,,
,,2003 - 2004,,,,885,"1,682.00",1.9,,,,,,,,,,,,
,,2004 - 2005,,,,883,"1,678.00",1.9,,,,,,,,,,,,
,,2005 - 2006,,,,722,"1,408.00",1.95,,,,,,,,,,,,
,,2006 - 2007,,,,710,"1,420.00",2,,,,,,,,,,,,
,,2007 - 2008,,,,710,"1,420.00",2,,,,,,,,,,,,
,,2008 - 2009,,,,700,"1,470.00",2.1,,,,,,,,,,,,
,,2009 - 2010,,,,695,"1,494.00",2.15,,,,,,,,,,,,
,,2010 - 2011,,,,700,"1,512.00",2.16,,,,,,,,,,,,
,,2011 - 2012,,,,722,"1,600.00",2.22,,,,,,,,,,,,
,,2012 - 2013,,,,800,"1,728.00",2.16,,,,,,,,,,,,
,,2013 - 2014,,,,700,"1,512.00",2.16,,,,,,,,,,,,
,,2014 - 2015,,,,765,"1,914.00",2.5,,,,,,,,,,,,
,,2015 - 2016,,,,810,"1,985.00",2.45,,,,,,,,,,,,
,,2016 - 2017,,,,885,"1,996.00",2.26,,,,,,,,,,,,
,,2017 - 2018,,,,910,"2,090.00",2.3,,,,,,,,,,,,
,,2018 - 2019,,,,919,"2,127.00",2.31,,,,,,,,,,,,
,,2019 - 2020,,,,923,"2,180.00",2.36,,,,,,,,,,,,
,,2020 - 2021,,,,925,"2,224.00",2.4,,,,,,,,,,,,
,,2021 - 2022,,,,930,"2,223.00",2.39,,,,,,,,,,,,
,,2022 - 2023,,,,950,"2,272.00",2.39,,,,,,,,,,,,
,21. Tirap,2000 - 2001,,,,"2,535.00","2,892.00",1.14,,,,,,,,,,,,
,,2001 - 2002,,,,"1,730.00","3,079.00",1.78,,,,,,,,,,,,
,,2002 - 2003,,,,"2,738.00","3,307.00",1.21,,,,,,,,,,,,
,,2003 - 2004,,,,"2,737.00","3,310.00",1.21,,,,,,,,,,,,
,,2004 - 2005,,,,"2,740.00","3,310.00",1.21,,,,,,,,,,,,
,,2005 - 2006,,,,"2,745.00","3,314.00",1.21,,,,,,,,,,,,
,,2006 - 2007,,,,"2,745.00","3,319.00",1.21,,,,,,,,,,,,
,,2007 - 2008,,,,"2,750.00","3,328.00",1.21,,,,,,,,,,,,
,,2008 - 2009,,,,"2,755.00","3,270.00",1.19,,,,,,,,,,,,
,,2009 - 2010,,,,"2,630.00","3,275.00",1.25,,,,,,,,,,,,
,,2010 - 2011,,,,"2,636.00","3,284.00",1.25,,,,,,,,,,,,
,,2011 - 2012,,,,"2,720.00","3,476.00",1.28,,,,,,,,,,,,
,,2012 - 2013,,,,"2,722.00","5,444.00",2,,,,,,,,,,,,
,,2013 - 2014,,,,"1,225.00","2,695.00",2.2,,,,,,,,,,,,
,,2014 - 2015,,,,"3,660.00","4,287.00",1.17,,,,,,,,,,,,
,,2015 - 2016,,,,"3,705.00","4,358.00",1.18,,,,,,,,,,,,
,,2016 - 2017,,,,"3,780.00","4,369.00",1.16,,,,,,,,,,,,
,,2017 - 2018,,,,"3,805.00","4,457.00",1.17,,,,,,,,,,,,
,,2018 - 2019,,,,"3,814.00","4,494.00",1.18,,,,,,,,,,,,
,,2019 - 2020,,,,"3,818.00","4,547.00",1.19,,,,,,,,,,,,
,,2020 - 2021,,,,"3,820.00","4,591.00",1.2,,,,,,,,,,,,
,,2021 - 2022,,,,"4,020.00","4,832.00",1.2,,,,,,,,,,,,
,,2022 - 2023,,,,"4,034.00","4,861.00",1.21,,,,,,,,,,,,
