State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,,,,34,40,1.18,,,,,,,,,,,,
,,2004 - 2005,,,,137,160,1.17,,,,,,,,,,,,
,,2005 - 2006,,,,1,,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,25,133,5.32
,,2007 - 2008,,,,,,,,,,,,,,,,3,8,2.67
,,2008 - 2009,,,,,,,,,,,,,,,,300,"1,733.00",5.78
,,2009 - 2010,,,,,,,,,,,,,,,,152,518,3.41
,,2010 - 2011,,,,216,"1,178.00",5.45,,,,,,,,,,,,
,,2011 - 2012,391,"2,600.00",6.65,,,,,,,,,,,,,,,
,,2012 - 2013,,,,"1,519.00","4,282.00",2.82,,,,,,,,,,,,
,,2013 - 2014,885,"4,427.00",5,,,,,,,,,,,,,,,
,,2014 - 2015,665,"4,987.00",7.5,,,,,,,,,,,,,,,
,,2015 - 2016,676,"4,626.00",6.84,,,,,,,,,,,,,,,
,,2016 - 2017,662,831,1.26,,,,,,,,,,,,,,,
,,2017 - 2018,751,"5,026.00",6.69,,,,,,,,,,,,,,,
,,2018 - 2019,"1,487.00","10,407.00",7,,,,,,,,,,,,,,,
,,2019 - 2020,340,"2,290.00",6.74,,,,,,,,,,,,,,,
,,2020 - 2021,561,"2,967.00",5.29,,,,,,,,,,,,,,,
,,2021 - 2022,441,"2,677.00",6.07,,,,,,,,,,,,,,,
,,2022 - 2023,410,"2,518.00",6.14,41,320,7.8,,,,,,,,,,,,
,20. Ranipet,2020 - 2021,1,7,7,1,7,7,,,,,,,,,,,,
,,2021 - 2022,,,,1,8,8,,,,,,,,,,,,
,,2022 - 2023,1,6,6,1,8,8,,,,,,,,,,,,
,21. Salem,2000 - 2001,,,,"6,115.00","11,376.00",1.86,,,,,,,,,,,,
,,2002 - 2003,,,,"7,018.00","13,053.00",1.86,,,,,,,,,,,,
,,2003 - 2004,,,,"11,207.00","20,845.00",1.86,,,,,,,,,,,,
,,2004 - 2005,,,,"13,785.00","25,639.00",1.86,,,,,,,,,,,,
,,2005 - 2006,,,,"16,146.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"7,825.00","30,187.00",3.86
,,2007 - 2008,,,,,,,,,,,,,,,,"12,150.00","43,405.00",3.57
,,2008 - 2009,,,,,,,,,,,,,,,,"33,410.00","96,374.00",2.88
,,2009 - 2010,,,,,,,,,,,,,,,,"24,632.00","1,21,754.00",4.94
,,2010 - 2011,,,,"24,143.00","1,22,867.00",5.09,,,,,,,,,,,,
,,2011 - 2012,"12,866.00","82,507.00",6.41,"21,800.00","1,15,929.00",5.32,,,,,,,,,,,,
,,2012 - 2013,,,,"29,542.00","1,67,367.00",5.67,,,,,,,,,,,,
,,2013 - 2014,"10,845.00","81,733.00",7.54,"24,805.00","1,86,613.00",7.52,,,,,,,,,,,,
,,2014 - 2015,"14,572.00","1,37,687.00",9.45,"23,433.00","2,38,857.00",10.19,,,,,,,,,,,,
,,2015 - 2016,"12,413.00","1,01,948.00",8.21,"24,721.00","2,75,936.00",11.16,,,,,,,,,,,,
,,2016 - 2017,"2,538.00","8,545.00",3.37,"27,824.00","2,29,165.00",8.24,,,,,,,,,,,,
,,2017 - 2018,"9,331.00","89,970.00",9.64,"25,079.00","2,38,200.00",9.5,,,,,,,,,,,,
,,2018 - 2019,"10,061.00","90,937.00",9.04,"25,165.00","2,67,697.00",10.64,,,,,,,,,,,,
,,2019 - 2020,"7,452.00","49,590.00",6.65,"24,889.00","2,23,114.00",8.96,,,,,,,,,,,,
,,2020 - 2021,"4,507.00","37,812.00",8.39,"32,383.00","3,12,002.00",9.63,,,,,,,,,,,,
,,2021 - 2022,"10,082.00","85,489.00",8.48,"29,835.00","2,32,055.00",7.78,,,,,,,,,,,,
,,2022 - 2023,"14,034.00","1,18,237.00",8.43,"34,259.00","2,78,755.00",8.14,,,,,,,,,,,,
,22. Sivaganga,2000 - 2001,,,,4,6,1.5,,,,,,,,,,,,
,,2003 - 2004,,,,7,14,2,,,,,,,,,,,,
,,2004 - 2005,,,,2,4,2,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,2,11,5.5
,,2007 - 2008,,,,,,,,,,,,,,,,6,15,2.5
,,2008 - 2009,,,,,,,,,,,,,,,,4,15,3.75
,,2009 - 2010,,,,,,,,,,,,,,,,67,241,3.6
,,2010 - 2011,,,,1,5,5,,,,,,,,,,,,
,,2011 - 2012,4,27,6.75,151,858,5.68,,,,,,,,,,,,
,,2012 - 2013,,,,30,104,3.47,,,,,,,,,,,,
,,2013 - 2014,148,740,5,204,"1,334.00",6.54,,,,,,,,,,,,
,,2014 - 2015,98,735,7.5,130,"1,134.00",8.72,,,,,,,,,,,,
,,2015 - 2016,25,171,6.84,70,515,7.36,,,,,,,,,,,,
,,2016 - 2017,1,1,1,18,82,4.56,,,,,,,,,,,,
,,2017 - 2018,12,80,6.67,19,175,9.21,,,,,,,,,,,,
,,2018 - 2019,12,81,6.75,10,77,7.7,,,,,,,,,,,,
,,2019 - 2020,17,113,6.65,12,107,8.92,,,,,,,,,,,,
,,2020 - 2021,9,45,5,14,105,7.5,,,,,,,,,,,,
,,2021 - 2022,23,139,6.04,17,137,8.06,,,,,,,,,,,,
,,2022 - 2023,23,144,6.26,16,124,7.75,,,,,,,,,,,,
,23. Thanjavur,2000 - 2001,,,,152,406,2.67,,,,,,,,,,,,
,,2002 - 2003,,,,187,500,2.67,,,,,,,,,,,,
,,2003 - 2004,,,,735,"1,966.00",2.67,,,,,,,,,,,,
,,2004 - 2005,,,,840,"2,246.00",2.67,,,,,,,,,,,,
,,2005 - 2006,,,,535,,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,762,"4,449.00",5.84
,,2007 - 2008,,,,,,,,,,,,,,,,"1,226.00","4,081.00",3.33
,,2008 - 2009,,,,,,,,,,,,,,,,"2,409.00","12,489.00",5.18
,,2009 - 2010,,,,,,,,,,,,,,,,"1,496.00","8,608.00",5.75
,,2010 - 2011,,,,"1,090.00","6,241.00",5.73,,,,,,,,,,,,
,,2011 - 2012,405,"2,693.00",6.65,886,"5,034.00",5.68,,,,,,,,,,,,
,,2012 - 2013,,,,959,"3,249.00",3.39,,,,,,,,,,,,
,,2013 - 2014,825,"4,127.00",5,650,"4,249.00",6.54,,,,,,,,,,,,
,,2014 - 2015,530,"3,975.00",7.5,754,"6,577.00",8.72,,,,,,,,,,,,
,,2015 - 2016,190,"1,300.00",6.84,440,"3,235.00",7.35,,,,,,,,,,,,
,,2016 - 2017,214,269,1.26,326,"1,484.00",4.55,,,,,,,,,,,,
,,2017 - 2018,307,"2,054.00",6.69,593,"5,467.00",9.22,,,,,,,,,,,,
,,2018 - 2019,156,829,5.31,884,"6,717.00",7.6,,,,,,,,,,,,
,,2019 - 2020,302,"2,031.00",6.73,971,"8,674.00",8.93,,,,,,,,,,,,
,,2020 - 2021,128,676,5.28,782,"5,692.00",7.28,,,,,,,,,,,,
,,2021 - 2022,244,"1,482.00",6.07,686,"5,534.00",8.07,,,,,,,,,,,,
,,2022 - 2023,314,"1,929.00",6.14,698,"5,443.00",7.8,,,,,,,,,,,,
,24. The nilgiris,2000 - 2001,,,,13,21,1.62,,,,,,,,,,,,
,,2019 - 2020,,,,1,11,11,,,,,,,,,,,,
,,2020 - 2021,1,6,6,2,18,9,,,,,,,,,,,,
,,2021 - 2022,,,,3,32,10.67,,,,,,,,,,,,
,,2022 - 2023,2,15,7.5,2,12,6,,,,,,,,,,,,
,25. Theni,2000 - 2001,,,,"15,112.00","24,324.00",1.61,,,,,,,,,,,,
,,2002 - 2003,,,,"7,154.00","14,355.00",2.01,,,,,,,,,,,,
,,2003 - 2004,,,,"6,557.00","13,145.00",2,,,,,,,,,,,,
,,2004 - 2005,,,,"6,172.00","12,377.00",2.01,,,,,,,,,,,,
,,2005 - 2006,,,,"6,650.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"9,164.00","50,454.00",5.51
,,2007 - 2008,,,,,,,,,,,,,,,,"8,665.00","47,376.00",5.47
,,2008 - 2009,,,,,,,,,,,,,,,,"16,306.00","99,743.00",6.12
,,2009 - 2010,,,,,,,,,,,,,,,,"11,655.00","67,134.00",5.76
,,2010 - 2011,,,,"9,006.00","58,382.00",6.48,,,,,,,,,,,,
,,2011 - 2012,"4,906.00","29,845.00",6.08,"6,866.00","46,306.00",6.74,,,,,,,,,,,,
,,2012 - 2013,,,,"9,355.00","57,910.00",6.19,,,,,,,,,,,,
,,2013 - 2014,"4,770.00","41,162.00",8.63,"5,813.00","49,848.00",8.58,,,,,,,,,,,,
,,2014 - 2015,"4,537.00","40,554.00",8.94,"3,655.00","37,640.00",10.3,,,,,,,,,,,,
,,2015 - 2016,"5,248.00","29,767.00",5.67,"4,745.00","40,280.00",8.49,,,,,,,,,,,,
,,2016 - 2017,"5,412.00","6,795.00",1.26,"2,392.00","10,892.00",4.55,,,,,,,,,,,,
,,2017 - 2018,"4,029.00","35,665.00",8.85,"2,943.00","27,132.00",9.22,,,,,,,,,,,,
,,2018 - 2019,"4,328.00","30,288.00",7,"2,207.00","16,768.00",7.6,,,,,,,,,,,,
,,2019 - 2020,"5,042.00","33,865.00",6.72,"1,698.00","15,175.00",8.94,,,,,,,,,,,,
,,2020 - 2021,"4,338.00","22,936.00",5.29,"2,559.00","18,618.00",7.28,,,,,,,,,,,,
,,2021 - 2022,"4,454.00","27,021.00",6.07,"1,578.00","12,705.00",8.05,,,,,,,,,,,,
,,2022 - 2023,"3,976.00","24,415.00",6.14,"1,641.00","12,799.00",7.8,,,,,,,,,,,,
,26. Thenkasi,2020 - 2021,"15,209.00","63,437.00",4.17,79,577,7.3,,,,,,,,,,,,
,,2021 - 2022,"15,301.00","68,542.00",4.48,45,360,8,,,,,,,,,,,,
,,2022 - 2023,"16,433.00","77,171.00",4.7,128,"1,003.00",7.84,,,,,,,,,,,,
,27. Thiruvallur,2006 - 2007,,,,,,,,,,,,,,,,3,16,5.33
,,2009 - 2010,,,,,,,,,,,,,,,,1,3,3
,,2010 - 2011,,,,2,8,4,,,,,,,,,,,,
,,2012 - 2013,,,,4,14,3.5,,,,,,,,,,,,
,,2013 - 2014,55,275,5,26,170,6.54,,,,,,,,,,,,
,,2014 - 2015,415,"3,112.00",7.5,126,"1,099.00",8.72,,,,,,,,,,,,
,,2015 - 2016,6,41,6.83,5,37,7.4,,,,,,,,,,,,
,,2016 - 2017,8,10,1.25,2,9,4.5,,,,,,,,,,,,
,,2017 - 2018,6,40,6.67,,,,,,,,,,,,,,,
,,2018 - 2019,4,32,8,,,,,,,,,,,,,,,
,,2019 - 2020,7,50,7.14,2,19,9.5,,,,,,,,,,,,
,,2020 - 2021,3,14,4.67,,,,,,,,,,,,,,,
,,2021 - 2022,1,7,7,4,29,7.25,,,,,,,,,,,,
,,2022 - 2023,1,5,5,14,109,7.79,,,,,,,,,,,,
,28. Thiruvarur,2002 - 2003,,,,14,40,2.86,,,,,,,,,,,,
,,2003 - 2004,,,,56,164,2.93,,,,,,,,,,,,
,,2004 - 2005,,,,9,27,3,,,,,,,,,,,,
,,2005 - 2006,,,,18,,0,,,,,,,,,,,,
,,2007 - 2008,,,,,,,,,,,,,,,,6,32,5.33
,,2008 - 2009,,,,,,,,,,,,,,,,1,6,6
,,2011 - 2012,3,20,6.67,,,,,,,,,,,,,,,
,,2013 - 2014,1,5,5,,,,,,,,,,,,,,,
,,2018 - 2019,10,70,7,,,,,,,,,,,,,,,
,,2019 - 2020,13,87,6.69,7,61,8.71,,,,,,,,,,,,
,,2020 - 2021,14,74,5.29,3,22,7.33,,,,,,,,,,,,
,,2021 - 2022,11,67,6.09,10,80,8,,,,,,,,,,,,
,,2022 - 2023,,,,13,101,7.77,,,,,,,,,,,,
,29. Thoothukudi,2000 - 2001,,,,"5,718.00","2,555.00",0.45,,,,,,,,,,,,
,,2002 - 2003,,,,"3,931.00","2,709.00",0.69,,,,,,,,,,,,
,,2003 - 2004,,,,"4,588.00","3,380.00",0.74,,,,,,,,,,,,
,,2004 - 2005,,,,"4,203.00","3,339.00",0.79,,,,,,,,,,,,
,,2005 - 2006,,,,"6,884.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"6,509.00","18,319.00",2.81
,,2007 - 2008,,,,,,,,,,,,,,,,"7,444.00","51,833.00",6.96
,,2008 - 2009,,,,,,,,,,,,,,,,"12,650.00","57,210.00",4.52
,,2009 - 2010,,,,,,,,,,,,,,,,"13,321.00","43,151.00",3.24
,,2010 - 2011,,,,"17,495.00","61,816.00",3.53,,,,,,,,,,,,
,,2011 - 2012,"18,687.00","1,09,468.00",5.86,76,433,5.7,,,,,,,,,,,,
,,2012 - 2013,,,,"29,215.00","29,999.00",1.03,,,,,,,,,,,,
,,2013 - 2014,"37,511.00","78,036.00",2.08,26,,0,,,,,,,,,,,,
,,2014 - 2015,"15,638.00","80,517.00",5.15,12,105,8.75,,,,,,,,,,,,
,,2015 - 2016,"23,588.00","89,823.00",3.81,,,,,,,,,,,,,,,
,,2016 - 2017,"33,206.00","8,430.00",0.25,6,27,4.5,,,,,,,,,,,,
,,2017 - 2018,"33,212.00","94,256.00",2.84,,,,,,,,,,,,,,,
,,2018 - 2019,"55,472.00","3,87,920.00",6.99,3,21,7,,,,,,,,,,,,
,,2019 - 2020,"33,233.00","1,29,828.00",3.91,,,,,,,,,,,,,,,
,,2020 - 2021,"47,439.00","1,38,281.00",2.91,3,23,7.67,,,,,,,,,,,,
,,2021 - 2022,"51,121.00","1,78,583.00",3.49,5,43,8.6,,,,,,,,,,,,
,,2022 - 2023,"50,003.00","1,76,557.00",3.53,2,19,9.5,,,,,,,,,,,,
,30. Tiruchirappalli,2000 - 2001,,,,"1,265.00","1,516.00",1.2,,,,,,,,,,,,
,,2002 - 2003,,,,"3,551.00","4,916.00",1.38,,,,,,,,,,,,
,,2003 - 2004,,,,"6,369.00","8,458.00",1.33,,,,,,,,,,,,
,,2004 - 2005,,,,"6,441.00","8,424.00",1.31,,,,,,,,,,,,
,,2005 - 2006,,,,"9,819.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"7,476.00","30,669.00",4.1
,,2007 - 2008,,,,,,,,,,,,,,,,"7,765.00","20,430.00",2.63
,,2008 - 2009,,,,,,,,,,,,,,,,"7,309.00","11,443.00",1.57
,,2009 - 2010,,,,,,,,,,,,,,,,"7,318.00","45,836.00",6.26
,,2010 - 2011,,,,"4,751.00","23,544.00",4.96,,,,,,,,,,,,
,,2011 - 2012,445,"2,959.00",6.65,"5,391.00","28,287.00",5.25,,,,,,,,,,,,
,,2012 - 2013,,,,"7,716.00","19,035.00",2.47,,,,,,,,,,,,
,,2013 - 2014,511,"2,556.00",5,"9,346.00","38,586.00",4.13,,,,,,,,,,,,
,,2014 - 2015,"1,487.00","11,152.00",7.5,"8,516.00","67,001.00",7.87,,,,,,,,,,,,
,,2015 - 2016,"1,029.00","7,041.00",6.84,"11,657.00","80,562.00",6.91,,,,,,,,,,,,
,,2016 - 2017,62,78,1.26,"10,949.00","35,412.00",3.23,,,,,,,,,,,,
,,2017 - 2018,689,"4,611.00",6.69,"11,580.00","1,20,224.00",10.38,,,,,,,,,,,,
,,2018 - 2019,"8,591.00","60,119.00",7,"7,037.00","53,469.00",7.6,,,,,,,,,,,,
,,2019 - 2020,"1,876.00","12,606.00",6.72,"9,685.00","93,520.00",9.66,,,,,,,,,,,,
,,2020 - 2021,"1,345.00","7,108.00",5.28,"17,309.00","91,104.00",5.26,,,,,,,,,,,,
,,2021 - 2022,"4,014.00","24,359.00",6.07,"14,325.00","1,29,313.00",9.03,,,,,,,,,,,,
,,2022 - 2023,"3,535.00","21,710.00",6.14,"14,921.00","1,30,576.00",8.75,,,,,,,,,,,,
,31. Tirunelveli,2000 - 2001,,,,"7,194.00","3,916.00",0.54,,,,,,,,,,,,
,,2002 - 2003,,,,"6,269.00","4,915.00",0.78,,,,,,,,,,,,
,,2003 - 2004,,,,"6,204.00","5,165.00",0.83,,,,,,,,,,,,
,,2004 - 2005,,,,"6,886.00","6,130.00",0.89,,,,,,,,,,,,
,,2005 - 2006,,,,"7,939.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"8,773.00","23,529.00",2.68
,,2007 - 2008,,,,,,,,,,,,,,,,"5,756.00","14,649.00",2.54
,,2008 - 2009,,,,,,,,,,,,,,,,"9,378.00","33,289.00",3.55
,,2009 - 2010,,,,,,,,,,,,,,,,"8,675.00","35,042.00",4.04
,,2010 - 2011,,,,"7,055.00","22,468.00",3.18,,,,,,,,,,,,
,,2011 - 2012,"8,881.00","63,875.00",7.19,335,"1,903.00",5.68,,,,,,,,,,,,
,,2012 - 2013,,,,"11,218.00","35,592.00",3.17,,,,,,,,,,,,
,,2013 - 2014,"12,366.00","55,624.00",4.5,720,"4,707.00",6.54,,,,,,,,,,,,
,,2014 - 2015,"7,502.00","75,585.00",10.08,"1,085.00","9,464.00",8.72,,,,,,,,,,,,
,,2015 - 2016,"9,520.00","65,364.00",6.87,"1,406.00","10,337.00",7.35,,,,,,,,,,,,
,,2016 - 2017,"12,226.00","5,351.00",0.44,288,"1,311.00",4.55,,,,,,,,,,,,
,,2017 - 2018,"9,776.00","53,045.00",5.43,"1,836.00","16,926.00",9.22,,,,,,,,,,,,
,,2018 - 2019,"13,176.00","1,15,769.00",8.79,326,"3,413.00",10.47,,,,,,,,,,,,
,,2019 - 2020,"13,811.00","62,889.00",4.55,79,698,8.84,,,,,,,,,,,,
,,2020 - 2021,336,"1,778.00",5.29,72,527,7.32,,,,,,,,,,,,
,,2021 - 2022,233,"1,414.00",6.07,118,947,8.03,,,,,,,,,,,,
,,2022 - 2023,385,"2,364.00",6.14,119,925,7.77,,,,,,,,,,,,
,32. Tirupathur,2020 - 2021,409,"2,164.00",5.29,852,"6,197.00",7.27,,,,,,,,,,,,
,,2021 - 2022,270,"1,638.00",6.07,988,"7,955.00",8.05,,,,,,,,,,,,
,,2022 - 2023,368,"2,259.00",6.14,729,"5,685.00",7.8,,,,,,,,,,,,
,33. Tiruppur,2008 - 2009,,,,,,,,,,,,,,,,"28,503.00",,0
,,2009 - 2010,,,,,,,,,,,,,,,,"26,079.00","1,79,078.00",6.87
,,2010 - 2011,,,,"24,537.00","1,21,374.00",4.95,,,,,,,,,,,,
,,2011 - 2012,"11,615.00","96,661.00",8.32,"15,024.00","1,22,335.00",8.14,,,,,,,,,,,,
,,2012 - 2013,,,,"18,095.00","1,11,481.00",6.16,,,,,,,,,,,,
,,2013 - 2014,"8,329.00","72,255.00",8.68,"14,495.00","1,12,264.00",7.75,,,,,,,,,,,,
,,2014 - 2015,"15,852.00","89,695.00",5.66,"7,630.00","69,764.00",9.14,,,,,,,,,,,,
,,2015 - 2016,"17,159.00","1,22,498.00",7.14,"5,915.00","70,850.00",11.98,,,,,,,,,,,,
,,2016 - 2017,"15,689.00","49,123.00",3.13,"2,608.00","10,834.00",4.15,,,,,,,,,,,,
,,2017 - 2018,"19,055.00","1,80,927.00",9.49,"2,396.00","25,676.00",10.72,,,,,,,,,,,,
,,2018 - 2019,"17,864.00","1,25,001.00",7,"3,241.00","24,623.00",7.6,,,,,,,,,,,,
,,2019 - 2020,"21,447.00","2,10,611.00",9.82,582,"4,602.00",7.91,,,,,,,,,,,,
,,2020 - 2021,"17,572.00","1,59,448.00",9.07,"3,269.00","34,868.00",10.67,,,,,,,,,,,,
,,2021 - 2022,"18,443.00","1,57,067.00",8.52,"2,518.00","24,627.00",9.78,,,,,,,,,,,,
,,2022 - 2023,"18,092.00","1,63,725.00",9.05,"2,506.00","23,240.00",9.27,,,,,,,,,,,,
,34. Tiruvannamalai,2000 - 2001,,,,256,427,1.67,,,,,,,,,,,,
,,2002 - 2003,,,,16,27,1.69,,,,,,,,,,,,
,,2003 - 2004,,,,127,212,1.67,,,,,,,,,,,,
,,2004 - 2005,,,,286,478,1.67,,,,,,,,,,,,
,,2005 - 2006,,,,237,,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,193,548,2.84
,,2007 - 2008,,,,,,,,,,,,,,,,319,850,2.66
,,2008 - 2009,,,,,,,,,,,,,,,,"4,139.00","23,971.00",5.79
,,2009 - 2010,,,,,,,,,,,,,,,,511,"2,719.00",5.32
,,2010 - 2011,,,,225,842,3.74,,,,,,,,,,,,
,,2011 - 2012,491,"3,265.00",6.65,562,"3,193.00",5.68,,,,,,,,,,,,
,,2012 - 2013,,,,579,"1,909.00",3.3,,,,,,,,,,,,
,,2013 - 2014,697,"3,487.00",5,994,"6,498.00",6.54,,,,,,,,,,,,
,,2014 - 2015,710,"5,325.00",7.5,979,"8,539.00",8.72,,,,,,,,,,,,
,,2015 - 2016,702,"4,804.00",6.84,"1,224.00","8,999.00",7.35,,,,,,,,,,,,
,,2016 - 2017,790,992,1.26,852,"3,880.00",4.55,,,,,,,,,,,,
,,2017 - 2018,"1,564.00","10,466.00",6.69,544,"5,015.00",9.22,,,,,,,,,,,,
,,2018 - 2019,713,"2,988.00",4.19,498,"3,777.00",7.58,,,,,,,,,,,,
,,2019 - 2020,355,"2,391.00",6.74,393,"3,512.00",8.94,,,,,,,,,,,,
,,2020 - 2021,712,"3,765.00",5.29,253,"1,840.00",7.27,,,,,,,,,,,,
,,2021 - 2022,916,"5,555.00",6.06,612,"4,930.00",8.06,,,,,,,,,,,,
,,2022 - 2023,"1,822.00","11,184.00",6.14,813,"6,345.00",7.8,,,,,,,,,,,,
,35. Vellore,2000 - 2001,,,,740,"1,189.00",1.61,,,,,,,,,,,,
,,2002 - 2003,,,,805,"1,335.00",1.66,,,,,,,,,,,,
,,2003 - 2004,,,,670,"1,112.00",1.66,,,,,,,,,,,,
,,2004 - 2005,,,,"1,040.00","1,726.00",1.66,,,,,,,,,,,,
,,2005 - 2006,,,,273,,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,370,"1,710.00",4.62
,,2007 - 2008,,,,,,,,,,,,,,,,511,"1,970.00",3.86
,,2008 - 2009,,,,,,,,,,,,,,,,465,"2,722.00",5.85
,,2009 - 2010,,,,,,,,,,,,,,,,396,"2,528.00",6.38
,,2010 - 2011,,,,336,"1,593.00",4.74,,,,,,,,,,,,
,,2011 - 2012,335,"2,228.00",6.65,559,"3,176.00",5.68,,,,,,,,,,,,
,,2012 - 2013,,,,"1,143.00","3,787.00",3.31,,,,,,,,,,,,
,,2013 - 2014,"3,946.00","19,739.00",5,"1,533.00","10,021.00",6.54,,,,,,,,,,,,
,,2014 - 2015,"4,135.00","31,012.00",7.5,"1,224.00","10,667.00",8.71,,,,,,,,,,,,
,,2015 - 2016,"1,690.00","11,565.00",6.84,"1,899.00","13,961.00",7.35,,,,,,,,,,,,
,,2016 - 2017,773,"3,266.00",4.23,"2,330.00","10,610.00",4.55,,,,,,,,,,,,
,,2017 - 2018,671,"4,490.00",6.69,"2,588.00","23,859.00",9.22,,,,,,,,,,,,
,,2018 - 2019,925,"6,474.00",7,"2,149.00","16,326.00",7.6,,,,,,,,,,,,
,,2019 - 2020,791,"5,313.00",6.72,"1,076.00","9,607.00",8.93,,,,,,,,,,,,
,,2020 - 2021,164,866,5.28,212,"1,536.00",7.25,,,,,,,,,,,,
,,2021 - 2022,228,"1,382.00",6.06,160,"1,288.00",8.05,,,,,,,,,,,,
,,2022 - 2023,198,"1,218.00",6.15,251,"1,952.00",7.78,,,,,,,,,,,,
,36. Villupuram,2000 - 2001,,,,"1,565.00","2,608.00",1.67,,,,,,,,,,,,
,,2002 - 2003,,,,811,"1,180.00",1.45,,,,,,,,,,,,
,,2003 - 2004,,,,"7,006.00","10,190.00",1.45,,,,,,,,,,,,
,,2004 - 2005,,,,"1,713.00","2,491.00",1.45,,,,,,,,,,,,
,,2005 - 2006,,,,"1,377.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"1,209.00","5,954.00",4.92
,,2007 - 2008,,,,,,,,,,,,,,,,"3,422.00","12,739.00",3.72
,,2008 - 2009,,,,,,,,,,,,,,,,"6,022.00","28,390.00",4.71
,,2009 - 2010,,,,,,,,,,,,,,,,"3,811.00","17,527.00",4.6
,,2010 - 2011,,,,"3,015.00","14,227.00",4.72,,,,,,,,,,,,
,,2011 - 2012,374,"2,487.00",6.65,"5,332.00","37,266.00",6.99,,,,,,,,,,,,
,,2012 - 2013,,,,"5,386.00","21,524.00",4,,,,,,,,,,,,
,,2013 - 2014,"13,396.00","67,009.00",5,"19,340.00","1,29,683.00",6.71,,,,,,,,,,,,
,,2014 - 2015,"5,773.00","43,297.00",7.5,"15,403.00","1,19,405.00",7.75,,,,,,,,,,,,
,,2015 - 2016,"8,862.00","60,306.00",6.81,"13,087.00","1,11,148.00",8.49,,,,,,,,,,,,
,,2016 - 2017,"3,568.00","22,903.00",6.42,"10,571.00","1,13,774.00",10.76,,,,,,,,,,,,
,,2017 - 2018,"9,191.00","73,896.00",8.04,"9,669.00","88,007.00",9.1,,,,,,,,,,,,
,,2018 - 2019,"14,130.00","49,315.00",3.49,"6,884.00","52,302.00",7.6,,,,,,,,,,,,
,,2019 - 2020,"10,657.00","87,949.00",8.25,"10,913.00","98,594.00",9.03,,,,,,,,,,,,
,,2020 - 2021,100,527,5.27,334,"2,427.00",7.27,,,,,,,,,,,,
,,2021 - 2022,65,394,6.06,448,"3,609.00",8.06,,,,,,,,,,,,
,,2022 - 2023,217,"1,335.00",6.15,410,"3,198.00",7.8,,,,,,,,,,,,
,37. Virudhunagar,2000 - 2001,,,,"9,266.00","18,816.00",2.03,,,,,,,,,,,,
,,2002 - 2003,,,,"8,899.00","18,011.00",2.02,,,,,,,,,,,,
,,2003 - 2004,,,,"8,429.00","17,077.00",2.03,,,,,,,,,,,,
,,2004 - 2005,,,,"8,236.00","16,693.00",2.03,,,,,,,,,,,,
,,2005 - 2006,,,,"11,186.00",,0,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,,,,,,,"13,293.00","71,841.00",5.4
,,2007 - 2008,,,,,,,,,,,,,,,,"13,246.00","69,618.00",5.26
,,2008 - 2009,,,,,,,,,,,,,,,,"16,466.00","76,838.00",4.67
,,2009 - 2010,,,,,,,,,,,,,,,,"13,868.00","50,337.00",3.63
,,2010 - 2011,,,,"10,775.00","55,456.00",5.15,,,,,,,,,,,,
,,2011 - 2012,"9,775.00","61,510.00",6.29,"7,431.00","51,733.00",6.96,,,,,,,,,,,,
,,2012 - 2013,,,,"23,483.00","52,304.00",2.23,,,,,,,,,,,,
,,2013 - 2014,"21,161.00","96,554.00",4.56,"4,396.00","19,488.00",4.43,,,,,,,,,,,,
,,2014 - 2015,"16,516.00","1,36,847.00",8.29,"1,623.00","11,877.00",7.32,,,,,,,,,,,,
,,2015 - 2016,"21,016.00","1,38,180.00",6.57,784,"5,736.00",7.32,,,,,,,,,,,,
,,2016 - 2017,"26,157.00","16,317.00",0.62,987,"4,494.00",4.55,,,,,,,,,,,,
,,2017 - 2018,"19,765.00","1,10,407.00",5.59,"4,269.00","39,356.00",9.22,,,,,,,,,,,,
