State,District,Year,Khesari,,,,,,,,
,,2013 - 2014,"3,743.00","3,230.00",0.86,,,,,,
,,2014 - 2015,"3,750.00","3,803.00",1.01,,,,,,
,,2015 - 2016,"3,713.00","2,744.00",0.74,,,,,,
,,2016 - 2017,"4,098.00","4,266.00",1.04,,,,,,
,,2017 - 2018,"3,478.00","3,506.00",1.01,,,,,,
,,2018 - 2019,"4,215.00","4,771.00",1.13,,,,,,
,,2019 - 2020,"4,054.00","3,016.00",0.74,,,,,,
,,2020 - 2021,"3,478.00","3,742.00",1.08,,,,,,
,,2021 - 2022,"3,573.00","2,901.00",0.81,,,,,,
,,2022 - 2023,"2,781.00","3,379.00",1.22,,,,,,
,24. Nawada,2000 - 2001,"2,548.00","2,217.00",0.87,,,,,,
,,2001 - 2002,"2,020.00","1,553.00",0.77,,,,,,
,,2002 - 2003,"1,988.00","1,431.00",0.72,,,,,,
,,2003 - 2004,"1,828.00","1,693.00",0.93,,,,,,
,,2004 - 2005,"1,098.00",673,0.61,,,,,,
,,2005 - 2006,633,379,0.6,,,,,,
,,2006 - 2007,976,822,0.84,,,,,,
,,2007 - 2008,"1,013.00",772,0.76,,,,,,
,,2008 - 2009,"1,055.00",698,0.66,,,,,,
,,2009 - 2010,"1,026.00",738,0.72,,,,,,
,,2010 - 2011,"1,130.00",955,0.85,,,,,,
,,2011 - 2012,798,848,1.06,,,,,,
,,2012 - 2013,793,902,1.14,,,,,,
,,2013 - 2014,780,616,0.79,,,,,,
,,2014 - 2015,717,673,0.94,,,,,,
,,2015 - 2016,317,248,0.78,,,,,,
,,2016 - 2017,677,547,0.81,,,,,,
,,2017 - 2018,814,939,1.15,,,,,,
,,2018 - 2019,817,641,0.78,,,,,,
,,2019 - 2020,788,635,0.81,,,,,,
,,2020 - 2021,741,619,0.84,,,,,,
,,2021 - 2022,741,701,0.95,,,,,,
,,2022 - 2023,700,698,1,,,,,,
,25. Pashchim champaran,2000 - 2001,348,213,0.61,,,,,,
,,2001 - 2002,352,288,0.82,,,,,,
,,2002 - 2003,358,219,0.61,,,,,,
,,2003 - 2004,349,295,0.85,,,,,,
,,2004 - 2005,345,179,0.52,,,,,,
,,2005 - 2006,349,168,0.48,,,,,,
,,2006 - 2007,363,286,0.79,,,,,,
,,2007 - 2008,233,195,0.84,,,,,,
,,2008 - 2009,237,195,0.82,,,,,,
,,2009 - 2010,233,241,1.03,,,,,,
,,2010 - 2011,387,381,0.98,,,,,,
,,2011 - 2012,"1,002.00",759,0.76,,,,,,
,,2012 - 2013,"1,281.00","1,006.00",0.79,,,,,,
,,2013 - 2014,"1,224.00","1,366.00",1.12,,,,,,
,,2014 - 2015,"1,110.00","1,099.00",0.99,,,,,,
,,2015 - 2016,860,803,0.93,,,,,,
,,2016 - 2017,22,12,0.55,,,,,,
,,2017 - 2018,18,8,0.44,,,,,,
,,2018 - 2019,9,6,0.67,,,,,,
,,2019 - 2020,6,5,0.83,,,,,,
,,2020 - 2021,7,6,0.86,,,,,,
,26. Patna,2000 - 2001,"21,193.00","28,780.00",1.36,,,,,,
,,2001 - 2002,"20,146.00","19,743.00",0.98,,,,,,
,,2002 - 2003,"19,360.00","24,568.00",1.27,,,,,,
,,2003 - 2004,"18,553.00","23,117.00",1.25,,,,,,
,,2004 - 2005,"17,230.00","18,453.00",1.07,,,,,,
,,2005 - 2006,"15,098.00","17,952.00",1.19,,,,,,
,,2006 - 2007,"13,922.00","10,497.00",0.75,,,,,,
,,2007 - 2008,"16,886.00","17,055.00",1.01,,,,,,
,,2008 - 2009,"16,129.00","14,758.00",0.91,,,,,,
,,2009 - 2010,"10,526.00","13,179.00",1.25,,,,,,
,,2010 - 2011,"9,469.00","13,550.00",1.43,,,,,,
,,2011 - 2012,"9,675.00","20,076.00",2.08,,,,,,
,,2012 - 2013,"11,453.00","14,969.00",1.31,,,,,,
,,2013 - 2014,"10,381.00","18,354.00",1.77,,,,,,
,,2014 - 2015,"10,670.00","17,573.00",1.65,,,,,,
,,2015 - 2016,"10,835.00","12,569.00",1.16,,,,,,
,,2016 - 2017,"10,629.00","14,540.00",1.37,,,,,,
,,2017 - 2018,"7,144.00","10,387.00",1.45,,,,,,
,,2018 - 2019,"11,323.00","18,649.00",1.65,,,,,,
,,2019 - 2020,"7,427.00","6,358.00",0.86,,,,,,
,,2020 - 2021,"8,218.00","9,385.00",1.14,,,,,,
,,2021 - 2022,"9,778.00","11,137.00",1.14,,,,,,
,,2022 - 2023,"9,063.00","10,042.00",1.11,,,,,,
,27. Purbi champaran,2000 - 2001,529,324,0.61,,,,,,
,,2001 - 2002,564,461,0.82,,,,,,
,,2003 - 2004,267,225,0.84,,,,,,
,,2004 - 2005,588,305,0.52,,,,,,
,,2005 - 2006,561,270,0.48,,,,,,
,,2006 - 2007,"1,021.00",806,0.79,,,,,,
,,2007 - 2008,537,451,0.84,,,,,,
,,2008 - 2009,519,426,0.82,,,,,,
,,2009 - 2010,588,609,1.04,,,,,,
,,2010 - 2011,429,422,0.98,,,,,,
,,2011 - 2012,362,274,0.76,,,,,,
,,2012 - 2013,"1,232.00",967,0.78,,,,,,
,,2013 - 2014,688,768,1.12,,,,,,
,,2014 - 2015,642,636,0.99,,,,,,
,,2015 - 2016,316,295,0.93,,,,,,
,,2016 - 2017,247,134,0.54,,,,,,
,,2017 - 2018,"2,192.00",969,0.44,,,,,,
,,2018 - 2019,"2,188.00","1,398.00",0.64,,,,,,
,,2019 - 2020,"2,158.00","1,789.00",0.83,,,,,,
,,2020 - 2021,"2,149.00","1,855.00",0.86,,,,,,
,,2021 - 2022,"2,149.00","2,809.00",1.31,,,,,,
,,2022 - 2023,"1,053.00",881,0.84,,,,,,
,28. Purnia,2000 - 2001,"2,067.00","1,635.00",0.79,,,,,,
,,2001 - 2002,"2,393.00","1,134.00",0.47,,,,,,
,,2002 - 2003,"1,668.00",771,0.46,,,,,,
,,2003 - 2004,"1,587.00",790,0.5,,,,,,
,,2004 - 2005,"1,122.00",352,0.31,,,,,,
,,2005 - 2006,"1,258.00",774,0.62,,,,,,
,,2006 - 2007,"1,139.00",641,0.56,,,,,,
,,2007 - 2008,"1,126.00",756,0.67,,,,,,
,,2008 - 2009,"1,166.00",834,0.72,,,,,,
,,2009 - 2010,"1,161.00","1,203.00",1.04,,,,,,
,,2010 - 2011,"1,210.00","1,191.00",0.98,,,,,,
,,2011 - 2012,896,"1,133.00",1.26,,,,,,
,,2012 - 2013,"1,126.00","1,325.00",1.18,,,,,,
,,2013 - 2014,827,724,0.88,,,,,,
,,2014 - 2015,117,116,0.99,,,,,,
,,2015 - 2016,113,106,0.94,,,,,,
,,2016 - 2017,352,373,1.06,,,,,,
,,2017 - 2018,109,115,1.06,,,,,,
,29. Rohtas,2000 - 2001,"11,661.00","8,862.00",0.76,,,,,,
,,2001 - 2002,"14,869.00","12,758.00",0.86,,,,,,
,,2002 - 2003,"7,973.00","6,235.00",0.78,,,,,,
,,2003 - 2004,"9,557.00","5,706.00",0.6,,,,,,
,,2004 - 2005,"9,072.00","8,764.00",0.97,,,,,,
,,2005 - 2006,"5,825.00","4,980.00",0.85,,,,,,
,,2006 - 2007,"5,791.00","4,187.00",0.72,,,,,,
,,2007 - 2008,"5,753.00","5,695.00",0.99,,,,,,
,,2008 - 2009,"5,545.00","5,246.00",0.95,,,,,,
,,2009 - 2010,"5,320.00","8,762.00",1.65,,,,,,
,,2010 - 2011,"4,871.00","6,420.00",1.32,,,,,,
,,2011 - 2012,"4,648.00","7,525.00",1.62,,,,,,
,,2012 - 2013,"4,648.00","6,345.00",1.37,,,,,,
,,2013 - 2014,"3,972.00","5,684.00",1.43,,,,,,
,,2014 - 2015,"2,561.00","3,163.00",1.24,,,,,,
,,2015 - 2016,"2,036.00","3,221.00",1.58,,,,,,
,,2016 - 2017,"2,856.00","5,161.00",1.81,,,,,,
,,2017 - 2018,"2,836.00","2,189.00",0.77,,,,,,
,,2018 - 2019,"2,834.00","2,681.00",0.95,,,,,,
,,2019 - 2020,"2,833.00","1,895.00",0.67,,,,,,
,,2020 - 2021,302,157,0.52,,,,,,
,,2021 - 2022,132,94,0.71,,,,,,
,,2022 - 2023,338,364,1.08,,,,,,
,30. Saharsa,2000 - 2001,"4,203.00","4,186.00",1,,,,,,
,,2001 - 2002,"3,100.00","2,167.00",0.7,,,,,,
,,2002 - 2003,"2,858.00","1,340.00",0.47,,,,,,
,,2003 - 2004,"2,457.00","1,774.00",0.72,,,,,,
,,2004 - 2005,"2,412.00","1,184.00",0.49,,,,,,
,,2005 - 2006,"2,497.00","1,206.00",0.48,,,,,,
,,2006 - 2007,"2,491.00","1,572.00",0.63,,,,,,
,,2007 - 2008,"1,178.00",749,0.64,,,,,,
,,2008 - 2009,"1,273.00","1,213.00",0.95,,,,,,
,,2009 - 2010,"1,073.00",651,0.61,,,,,,
,,2010 - 2011,405,138,0.34,,,,,,
,,2011 - 2012,420,248,0.59,,,,,,
,,2012 - 2013,108,73,0.68,,,,,,
,,2014 - 2015,125,83,0.66,,,,,,
,,2015 - 2016,204,181,0.89,,,,,,
,,2016 - 2017,208,220,1.06,,,,,,
,,2017 - 2018,212,42,0.2,,,,,,
,,2018 - 2019,198,106,0.54,,,,,,
,,2019 - 2020,171,167,0.98,,,,,,
,,2020 - 2021,177,150,0.85,,,,,,
,,2021 - 2022,155,212,1.37,,,,,,
,,2022 - 2023,137,147,1.07,,,,,,
,31. Samastipur,2000 - 2001,754,647,0.86,,,,,,
,,2001 - 2002,598,312,0.52,,,,,,
,,2002 - 2003,654,379,0.58,,,,,,
,,2003 - 2004,620,296,0.48,,,,,,
,,2004 - 2005,606,396,0.65,,,,,,
,,2005 - 2006,577,339,0.59,,,,,,
,,2006 - 2007,554,324,0.58,,,,,,
,,2007 - 2008,581,336,0.58,,,,,,
,,2008 - 2009,489,401,0.82,,,,,,
,,2009 - 2010,236,244,1.03,,,,,,
,,2010 - 2011,131,129,0.98,,,,,,
,,2011 - 2012,198,250,1.26,,,,,,
,,2012 - 2013,198,233,1.18,,,,,,
,,2013 - 2014,359,401,1.12,,,,,,
,,2014 - 2015,402,398,0.99,,,,,,
,,2015 - 2016,156,146,0.94,,,,,,
,,2016 - 2017,438,464,1.06,,,,,,
,,2017 - 2018,392,443,1.13,,,,,,
,,2018 - 2019,412,366,0.89,,,,,,
,,2019 - 2020,278,211,0.76,,,,,,
,,2020 - 2021,278,301,1.08,,,,,,
,,2021 - 2022,286,297,1.04,,,,,,
,,2022 - 2023,9,10,1.11,,,,,,
,32. Saran,2000 - 2001,370,339,0.92,,,,,,
,,2001 - 2002,293,239,0.82,,,,,,
,,2002 - 2003,186,151,0.81,,,,,,
,,2003 - 2004,204,188,0.92,,,,,,
,,2004 - 2005,215,145,0.67,,,,,,
,,2005 - 2006,214,170,0.79,,,,,,
,,2006 - 2007,213,168,0.79,,,,,,
,,2007 - 2008,180,151,0.84,,,,,,
,,2008 - 2009,102,84,0.82,,,,,,
,,2009 - 2010,139,144,1.04,,,,,,
,,2010 - 2011,83,82,0.99,,,,,,
,,2011 - 2012,104,132,1.27,,,,,,
,,2012 - 2013,126,148,1.17,,,,,,
,,2013 - 2014,117,131,1.12,,,,,,
,,2014 - 2015,118,117,0.99,,,,,,
,,2015 - 2016,47,44,0.94,,,,,,
,,2016 - 2017,10,11,1.1,,,,,,
,,2017 - 2018,17,18,1.06,,,,,,
,,2018 - 2019,23,23,1,,,,,,
,,2019 - 2020,22,17,0.77,,,,,,
,,2020 - 2021,6,6,1,,,,,,
,,2022 - 2023,6,7,1.17,,,,,,
,33. Sheikhpura,2000 - 2001,"2,509.00","2,384.00",0.95,,,,,,
,,2001 - 2002,"1,341.00","1,002.00",0.75,,,,,,
,,2002 - 2003,"2,386.00","2,088.00",0.88,,,,,,
,,2003 - 2004,"2,895.00","2,904.00",1,,,,,,
,,2004 - 2005,"3,330.00","1,685.00",0.51,,,,,,
,,2005 - 2006,"5,732.00","6,890.00",1.2,,,,,,
,,2006 - 2007,"3,736.00","4,162.00",1.11,,,,,,
,,2007 - 2008,"4,492.00","4,483.00",1,,,,,,
,,2008 - 2009,"3,967.00","4,895.00",1.23,,,,,,
,,2009 - 2010,"1,651.00","2,354.00",1.43,,,,,,
,,2010 - 2011,"1,762.00","1,475.00",0.84,,,,,,
,,2011 - 2012,"2,081.00","2,784.00",1.34,,,,,,
,,2012 - 2013,"2,110.00","2,583.00",1.22,,,,,,
,,2013 - 2014,"2,588.00","3,007.00",1.16,,,,,,
,,2014 - 2015,"1,971.00","1,872.00",0.95,,,,,,
,,2015 - 2016,"1,819.00","2,336.00",1.28,,,,,,
,,2016 - 2017,"2,126.00","2,568.00",1.21,,,,,,
,,2017 - 2018,"1,013.00","1,000.00",0.99,,,,,,
,,2018 - 2019,700,825,1.18,,,,,,
,,2019 - 2020,626,624,1,,,,,,
,,2020 - 2021,663,465,0.7,,,,,,
,,2021 - 2022,676,491,0.73,,,,,,
,,2022 - 2023,676,561,0.83,,,,,,
,34. Sheohar,2000 - 2001,473,290,0.61,,,,,,
,,2001 - 2002,203,166,0.82,,,,,,
,,2002 - 2003,203,124,0.61,,,,,,
,,2003 - 2004,203,171,0.84,,,,,,
,,2004 - 2005,198,103,0.52,,,,,,
,,2005 - 2006,235,113,0.48,,,,,,
,,2006 - 2007,188,148,0.79,,,,,,
,,2007 - 2008,189,159,0.84,,,,,,
,,2008 - 2009,453,372,0.82,,,,,,
,,2009 - 2010,87,90,1.03,,,,,,
,,2010 - 2011,232,228,0.98,,,,,,
,,2011 - 2012,526,398,0.76,,,,,,
,,2012 - 2013,216,170,0.79,,,,,,
,,2013 - 2014,197,220,1.12,,,,,,
,,2014 - 2015,151,149,0.99,,,,,,
,,2015 - 2016,142,133,0.94,,,,,,
,,2016 - 2017,142,77,0.54,,,,,,
,,2017 - 2018,102,45,0.44,,,,,,
,,2018 - 2019,93,59,0.63,,,,,,
,,2019 - 2020,35,29,0.83,,,,,,
,,2020 - 2021,34,29,0.85,,,,,,
,,2021 - 2022,34,44,1.29,,,,,,
,,2022 - 2023,33,25,0.76,,,,,,
,35. Sitamarhi,2000 - 2001,"2,806.00","1,720.00",0.61,,,,,,
,,2001 - 2002,"2,623.00","2,143.00",0.82,,,,,,
,,2002 - 2003,"2,676.00","1,638.00",0.61,,,,,,
,,2003 - 2004,"1,931.00","1,630.00",0.84,,,,,,
,,2004 - 2005,"2,315.00","1,201.00",0.52,,,,,,
,,2005 - 2006,"1,790.00",861,0.48,,,,,,
,,2006 - 2007,"2,385.00","1,881.00",0.79,,,,,,
,,2007 - 2008,"2,171.00","1,821.00",0.84,,,,,,
,,2008 - 2009,"2,204.00","1,809.00",0.82,,,,,,
,,2009 - 2010,"1,264.00","1,310.00",1.04,,,,,,
,,2010 - 2011,"1,295.00","1,274.00",0.98,,,,,,
,,2011 - 2012,136,103,0.76,,,,,,
,,2012 - 2013,107,84,0.79,,,,,,
,,2013 - 2014,109,122,1.12,,,,,,
,,2014 - 2015,99,98,0.99,,,,,,
,,2015 - 2016,98,92,0.94,,,,,,
,,2016 - 2017,98,53,0.54,,,,,,
,,2017 - 2018,100,44,0.44,,,,,,
,,2018 - 2019,102,65,0.64,,,,,,
,,2019 - 2020,103,85,0.83,,,,,,
,,2020 - 2021,102,88,0.86,,,,,,
,,2021 - 2022,99,129,1.3,,,,,,
,,2022 - 2023,98,74,0.76,,,,,,
,36. Siwan,2004 - 2005,29,20,0.69,,,,,,
,,2005 - 2006,15,12,0.8,,,,,,
,,2006 - 2007,10,8,0.8,,,,,,
,,2007 - 2008,16,13,0.81,,,,,,
,,2009 - 2010,16,17,1.06,,,,,,
,37. Supaul,2000 - 2001,"4,562.00","2,609.00",0.57,,,,,,
,,2001 - 2002,"4,583.00","2,695.00",0.59,,,,,,
,,2002 - 2003,"3,405.00","1,982.00",0.58,,,,,,
,,2003 - 2004,"4,419.00","2,828.00",0.64,,,,,,
,,2004 - 2005,"3,826.00","1,343.00",0.35,,,,,,
,,2005 - 2006,"3,484.00","1,637.00",0.47,,,,,,
,,2006 - 2007,"2,790.00","2,003.00",0.72,,,,,,
,,2007 - 2008,"2,796.00","1,778.00",0.64,,,,,,
,,2008 - 2009,"2,310.00","2,201.00",0.95,,,,,,
,,2009 - 2010,"2,978.00",971,0.33,,,,,,
,,2010 - 2011,"2,093.00","1,216.00",0.58,,,,,,
,,2011 - 2012,"2,259.00","1,335.00",0.59,,,,,,
,,2012 - 2013,"2,259.00","1,529.00",0.68,,,,,,
,,2013 - 2014,"2,193.00","1,825.00",0.83,,,,,,
,,2014 - 2015,"2,240.00","1,487.00",0.66,,,,,,
,,2015 - 2016,"2,220.00","1,974.00",0.89,,,,,,
,,2016 - 2017,"1,672.00","1,771.00",1.06,,,,,,
,,2017 - 2018,"1,668.00",332,0.2,,,,,,
,,2018 - 2019,"1,846.00",991,0.54,,,,,,
,,2019 - 2020,"1,844.00","1,905.00",1.03,,,,,,
,,2020 - 2021,"1,833.00","1,554.00",0.85,,,,,,
,,2021 - 2022,"1,541.00","2,110.00",1.37,,,,,,
,,2022 - 2023,"1,480.00","1,627.00",1.1,,,,,,
,38. Vaishali,2000 - 2001,545,334,0.61,,,,,,
,,2001 - 2002,146,119,0.82,,,,,,
,,2002 - 2003,83,51,0.61,,,,,,
,,2003 - 2004,60,51,0.85,,,,,,
,,2004 - 2005,41,21,0.51,,,,,,
,,2005 - 2006,63,30,0.48,,,,,,
,,2006 - 2007,46,36,0.78,,,,,,
,,2007 - 2008,69,58,0.84,,,,,,
,,2008 - 2009,101,83,0.82,,,,,,
,,2009 - 2010,64,66,1.03,,,,,,
,,2010 - 2011,56,55,0.98,,,,,,
,,2011 - 2012,83,63,0.76,,,,,,
,,2012 - 2013,79,62,0.78,,,,,,
,,2013 - 2014,36,40,1.11,,,,,,
,,2014 - 2015,29,29,1,,,,,,
,,2015 - 2016,27,25,0.93,,,,,,
,,2016 - 2017,31,17,0.55,,,,,,
,,2017 - 2018,26,11,0.42,,,,,,
,,2018 - 2019,24,15,0.63,,,,,,
,,2019 - 2020,24,20,0.83,,,,,,
,,2020 - 2021,21,18,0.86,,,,,,
,,2021 - 2022,26,34,1.31,,,,,,
,,2022 - 2023,25,19,0.76,,,,,,
2. Chhattisgarh,1. Balod,2011 - 2012,"50,711.00","26,666.00",0.53,,,,,,
,,2012 - 2013,"50,638.00","21,034.00",0.42,,,,,,
,,2013 - 2014,"47,612.00","19,811.00",0.42,,,,,,
,,2014 - 2015,"46,725.00","34,171.00",0.73,,,,,,
,,2015 - 2016,"31,899.00","12,788.00",0.4,,,,,,
,,2016 - 2017,"21,708.00","35,577.00",1.64,,,,,,
,,2017 - 2018,"38,066.00","16,066.00",0.42,,,,,,
,,2018 - 2019,"29,531.00","16,775.00",0.57,,,,,,
,,2019 - 2020,"24,932.00","5,911.00",0.24,,,,,,
,,2020 - 2021,"17,915.00","9,465.00",0.53,,,,,,
,,2021 - 2022,"19,639.00","8,800.00",0.45,,,,,,
,,2022 - 2023,"18,796.00","11,086.00",0.59,,,,,,
,2. Baloda bazar,2011 - 2012,"34,971.00","16,005.00",0.46,,,,,,
,,2012 - 2013,"35,217.00","17,320.00",0.49,,,,,,
,,2013 - 2014,"35,758.00","19,450.00",0.54,,,,,,
,,2014 - 2015,"30,120.00","32,323.00",1.07,,,,,,
,,2015 - 2016,"33,564.00","13,784.00",0.41,,,,,,
,,2016 - 2017,"10,635.00","24,983.00",2.35,,,,,,
,,2017 - 2018,"11,901.00","4,857.00",0.41,,,,,,
,,2018 - 2019,"10,365.00","5,119.00",0.49,,,,,,
,,2019 - 2020,"3,015.00",735,0.24,,,,,,
,,2020 - 2021,"2,586.00","1,217.00",0.47,,,,,,
,,2021 - 2022,"2,240.00",881,0.39,,,,,,
,,2022 - 2023,"1,735.00",989,0.57,,,,,,
,3. Balrampur,2016 - 2017,1,3,3,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,
,,2018 - 2019,45,20,0.44,,,,,,
,,2019 - 2020,29,7,0.24,,,,,,
,,2020 - 2021,6,3,0.5,,,,,,
,,2021 - 2022,9,6,0.67,,,,,,
,4. Bastar,2000 - 2001,11,6,0.55,,,,,,
,,2001 - 2002,16,12,0.75,,,,,,
,,2002 - 2003,18,12,0.67,,,,,,
,,2003 - 2004,13,10,0.77,,,,,,
,,2004 - 2005,12,7,0.58,,,,,,
,,2005 - 2006,13,8,0.62,,,,,,
,,2006 - 2007,21,14,0.67,,,,,,
,,2007 - 2008,20,16,0.8,,,,,,
,,2008 - 2009,18,6,0.33,,,,,,
,,2009 - 2010,11,8,0.73,,,,,,
,,2010 - 2011,12,10,0.83,,,,,,
,,2012 - 2013,7,4,0.57,,,,,,
,,2013 - 2014,8,5,0.63,,,,,,
,,2014 - 2015,8,10,1.25,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,
,,2016 - 2017,2,5,2.5,,,,,,
,,2017 - 2018,10,6,0.6,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2021 - 2022,5,4,0.8,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,5. Bemetara,2011 - 2012,"32,490.00","17,084.00",0.53,,,,,,
,,2012 - 2013,"29,165.00","11,320.00",0.39,,,,,,
,,2013 - 2014,"26,820.00","11,818.00",0.44,,,,,,
,,2014 - 2015,"31,032.00","23,548.00",0.76,,,,,,
,,2015 - 2016,"25,661.00","9,507.00",0.37,,,,,,
,,2016 - 2017,"13,689.00","25,421.00",1.86,,,,,,
,,2017 - 2018,"12,538.00","4,708.00",0.38,,,,,,
,,2018 - 2019,"11,545.00","5,669.00",0.49,,,,,,
,,2019 - 2020,"26,596.00","5,658.00",0.21,,,,,,
,,2020 - 2021,"26,462.00","13,107.00",0.5,,,,,,
,,2021 - 2022,"28,930.00","12,963.00",0.45,,,,,,
,,2022 - 2023,"28,314.00","16,346.00",0.58,,,,,,
,6. Bilaspur,2000 - 2001,"56,000.00","29,538.00",0.53,,,,,,
,,2001 - 2002,"71,236.00","43,482.00",0.61,,,,,,
,,2002 - 2003,"64,033.00","38,655.00",0.6,,,,,,
,,2003 - 2004,"83,557.00","62,089.00",0.74,,,,,,
,,2004 - 2005,"78,084.00","45,005.00",0.58,,,,,,
,,2005 - 2006,"80,259.00","42,707.00",0.53,,,,,,
,,2006 - 2007,"78,024.00","49,923.00",0.64,,,,,,
,,2007 - 2008,"79,529.00","57,030.00",0.72,,,,,,
,,2008 - 2009,"80,624.00","25,449.00",0.32,,,,,,
,,2009 - 2010,"66,076.00","50,941.00",0.77,,,,,,
,,2010 - 2011,"92,179.00","72,482.00",0.79,,,,,,
,,2011 - 2012,"32,385.00","25,027.00",0.77,,,,,,
,,2012 - 2013,"33,253.00","21,528.00",0.65,,,,,,
,,2013 - 2014,"32,992.00","24,106.00",0.73,,,,,,
,,2014 - 2015,"28,122.00","34,747.00",1.24,,,,,,
,,2015 - 2016,"27,467.00","17,440.00",0.63,,,,,,
,,2016 - 2017,"18,134.00","19,564.00",1.08,,,,,,
,,2017 - 2018,"7,702.00","5,055.00",0.66,,,,,,
,,2018 - 2019,"5,423.00","4,146.00",0.76,,,,,,
,,2019 - 2020,"5,374.00","1,817.00",0.34,,,,,,
,,2020 - 2021,"3,358.00","2,239.00",0.67,,,,,,
,,2021 - 2022,"3,153.00","2,107.00",0.67,,,,,,
,,2022 - 2023,"2,912.00","2,259.00",0.78,,,,,,
,7. Dhamtari,2000 - 2001,"20,545.00","10,686.00",0.52,,,,,,
,,2001 - 2002,"19,385.00","11,030.00",0.57,,,,,,
,,2002 - 2003,"21,616.00","13,119.00",0.61,,,,,,
,,2003 - 2004,"27,857.00","17,399.00",0.62,,,,,,
,,2004 - 2005,"26,678.00","11,732.00",0.44,,,,,,
,,2005 - 2006,"23,292.00","10,957.00",0.47,,,,,,
,,2006 - 2007,"18,409.00","10,236.00",0.56,,,,,,
,,2007 - 2008,"22,196.00","27,720.00",1.25,,,,,,
,,2008 - 2009,"27,420.00","15,074.00",0.55,,,,,,
,,2009 - 2010,"24,456.00","16,185.00",0.66,,,,,,
,,2010 - 2011,"21,007.00","13,738.00",0.65,,,,,,
,,2011 - 2012,"19,589.00","12,590.00",0.64,,,,,,
,,2012 - 2013,"16,481.00","8,231.00",0.5,,,,,,
,,2013 - 2014,"14,248.00","8,525.00",0.6,,,,,,
,,2014 - 2015,"15,551.00","15,735.00",1.01,,,,,,
,,2015 - 2016,"12,720.00","8,077.00",0.63,,,,,,
,,2016 - 2017,"16,918.00","19,772.00",1.17,,,,,,
,,2017 - 2018,"24,986.00","16,399.00",0.66,,,,,,
,,2018 - 2019,"14,839.00","9,234.00",0.62,,,,,,
,,2019 - 2020,"11,230.00","4,049.00",0.36,,,,,,
,,2020 - 2021,"8,955.00","6,718.00",0.75,,,,,,
,,2021 - 2022,"9,835.00","6,062.00",0.62,,,,,,
,,2022 - 2023,"9,835.00","7,761.00",0.79,,,,,,
,8. Durg,2000 - 2001,"57,294.00","20,922.00",0.37,,,,,,
,,2001 - 2002,"1,38,648.00","73,858.00",0.53,,,,,,
,,2002 - 2003,"94,683.00","44,830.00",0.47,,,,,,
,,2003 - 2004,"1,43,774.00","79,861.00",0.56,,,,,,
,,2004 - 2005,"1,51,434.00","42,394.00",0.28,,,,,,
,,2005 - 2006,"1,50,476.00","68,474.00",0.46,,,,,,
,,2006 - 2007,"1,41,076.00","72,211.00",0.51,,,,,,
,,2007 - 2008,"1,40,531.00","3,66,818.00",2.61,,,,,,
,,2008 - 2009,"1,14,034.00","1,31,019.00",1.15,,,,,,
,,2009 - 2010,"89,347.00","43,544.00",0.49,,,,,,
,,2010 - 2011,"1,03,023.00","56,041.00",0.54,,,,,,
,,2011 - 2012,"16,577.00","8,717.00",0.53,,,,,,
,,2012 - 2013,"14,820.00","6,156.00",0.42,,,,,,
,,2013 - 2014,"13,639.00","5,676.00",0.42,,,,,,
,,2014 - 2015,"11,165.00","9,243.00",0.83,,,,,,
,,2015 - 2016,"12,383.00","6,355.00",0.51,,,,,,
,,2016 - 2017,"9,544.00","9,856.00",1.03,,,,,,
,,2017 - 2018,"11,416.00","6,663.00",0.58,,,,,,
,,2018 - 2019,"6,554.00","5,005.00",0.76,,,,,,
,,2019 - 2020,"8,551.00",701,0.08,,,,,,
,,2020 - 2021,"10,147.00","5,881.00",0.58,,,,,,
,,2021 - 2022,"9,003.00","4,356.00",0.48,,,,,,
,,2022 - 2023,"8,212.00","5,565.00",0.68,,,,,,
,9. Gariyaband,2011 - 2012,"5,897.00","2,699.00",0.46,,,,,,
,,2012 - 2013,"5,476.00","2,320.00",0.42,,,,,,
,,2013 - 2014,"5,222.00","2,603.00",0.5,,,,,,
,,2014 - 2015,"4,915.00","3,767.00",0.77,,,,,,
,,2015 - 2016,"3,369.00","1,596.00",0.47,,,,,,
,,2016 - 2017,"1,872.00","2,932.00",1.57,,,,,,
,,2017 - 2018,"2,288.00","1,029.00",0.45,,,,,,
,,2018 - 2019,"2,264.00","1,397.00",0.62,,,,,,
,,2019 - 2020,"1,380.00",377,0.27,,,,,,
,,2020 - 2021,833,524,0.63,,,,,,
,,2021 - 2022,809,424,0.52,,,,,,
,,2022 - 2023,"1,153.00",666,0.58,,,,,,
,10. Gaurella-pendra-marwahi,2019 - 2020,270,91,0.34,,,,,,
,,2020 - 2021,682,565,0.83,,,,,,
,,2021 - 2022,657,453,0.69,,,,,,
,,2022 - 2023,332,266,0.8,,,,,,
,11. Janjgir-champa,2000 - 2001,"21,506.00","11,998.00",0.56,,,,,,
,,2001 - 2002,"22,575.00","15,698.00",0.7,,,,,,
,,2002 - 2003,"22,678.00","13,690.00",0.6,,,,,,
