State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,454,"4,959.00",10.92,,,,,,,,,
,,2007 - 2008,347,"1,856.00",5.35,,,,,,,,,
,,2008 - 2009,302,"1,742.00",5.77,,,,,,,,,
,,2009 - 2010,367,"1,860.00",5.07,,,,,,,,,
,,2011 - 2012,"1,246.00","6,826.00",5.48,,,,,,,,,
,,2013 - 2014,638,"2,559.00",4.01,,,,,,,,,
,,2014 - 2015,381,"1,697.00",4.45,,,,,,,,,
,,2015 - 2016,313,634,2.03,,,,,,,,,
,,2016 - 2017,412,"2,828.00",6.86,,,,,,,,,
,,2017 - 2018,346,"2,274.00",6.57,,,,,,,,,
,,2018 - 2019,375,"1,958.00",5.22,,,,,,,,,
,,2019 - 2020,341,"2,646.00",7.76,,,,,,,,,
,,2020 - 2021,294,"1,385.00",4.71,,,,,,,,,
,,2021 - 2022,436,"1,491.00",3.42,,,,,,,,,
,,2022 - 2023,397,"2,188.00",5.51,,,,,,,,,
,35. Vellore,2000 - 2001,445,"2,510.00",5.64,,,,,,,,,
,,2002 - 2003,426,"1,588.00",3.73,,,,,,,,,
,,2003 - 2004,196,814,4.15,,,,,,,,,
,,2004 - 2005,657,"3,600.00",5.48,,,,,,,,,
,,2005 - 2006,718,"3,963.00",5.52,,,,,,,,,
,,2006 - 2007,861,"4,947.00",5.75,,,,,,,,,
,,2007 - 2008,760,"4,064.00",5.35,,,,,,,,,
,,2008 - 2009,683,"3,940.00",5.77,,,,,,,,,
,,2009 - 2010,711,"3,603.00",5.07,,,,,,,,,
,,2011 - 2012,"1,824.00","9,992.00",5.48,,,,,,,,,
,,2013 - 2014,739,"4,713.00",6.38,,,,,,,,,
,,2014 - 2015,455,"2,154.00",4.73,,,,,,,,,
,,2015 - 2016,417,"2,840.00",6.81,,,,,,,,,
,,2016 - 2017,554,"3,126.00",5.64,,,,,,,,,
,,2017 - 2018,375,"1,927.00",5.14,,,,,,,,,
,,2018 - 2019,494,"3,419.00",6.92,,,,,,,,,
,,2019 - 2020,411,"3,285.00",7.99,,,,,,,,,
,,2020 - 2021,172,809,4.7,,,,,,,,,
,,2021 - 2022,195,"1,010.00",5.18,,,,,,,,,
,,2022 - 2023,202,"1,113.00",5.51,,,,,,,,,
,36. Villupuram,2000 - 2001,888,"3,251.00",3.66,,,,,,,,,
,,2002 - 2003,"1,473.00","3,742.00",2.54,,,,,,,,,
,,2003 - 2004,"1,112.00","3,918.00",3.52,,,,,,,,,
,,2004 - 2005,"1,939.00","8,294.00",4.28,,,,,,,,,
,,2005 - 2006,"1,976.00","6,253.00",3.16,,,,,,,,,
,,2006 - 2007,"2,474.00","8,625.00",3.49,,,,,,,,,
,,2007 - 2008,"1,768.00","6,102.00",3.45,,,,,,,,,
,,2008 - 2009,"2,005.00","4,728.00",2.36,,,,,,,,,
,,2009 - 2010,"2,043.00","6,696.00",3.28,,,,,,,,,
,,2011 - 2012,"3,911.00","10,274.00",2.63,,,,,,,,,
,,2013 - 2014,"2,252.00","5,040.00",2.24,,,,,,,,,
,,2014 - 2015,"2,138.00","4,590.00",2.15,,,,,,,,,
,,2015 - 2016,"2,059.00","4,845.00",2.35,,,,,,,,,
,,2016 - 2017,"2,497.00","7,090.00",2.84,,,,,,,,,
,,2017 - 2018,"1,870.00","7,984.00",4.27,,,,,,,,,
,,2018 - 2019,"2,057.00","7,926.00",3.85,,,,,,,,,
,,2019 - 2020,"2,258.00","9,243.00",4.09,,,,,,,,,
,,2020 - 2021,4,11,2.75,,,,,,,,,
,,2021 - 2022,5,28,5.6,,,,,,,,,
,,2022 - 2023,5,28,5.6,,,,,,,,,
,37. Virudhunagar,2002 - 2003,1,4,4,,,,,,,,,
,,2004 - 2005,2,11,5.5,,,,,,,,,
,,2006 - 2007,9,52,5.78,,,,,,,,,
,,2007 - 2008,1,5,5,,,,,,,,,
,,2011 - 2012,1,5,5,,,,,,,,,
,,2013 - 2014,4,15,3.75,,,,,,,,,
,,2015 - 2016,1,4,4,,,,,,,,,
,,2016 - 2017,2,8,4,,,,,,,,,
,,2017 - 2018,1,4,4,,,,,,,,,
,,2018 - 2019,1,2,2,,,,,,,,,
,,2019 - 2020,1,6,6,,,,,,,,,
,,2020 - 2021,2,11,5.5,,,,,,,,,
,,2021 - 2022,1,7,7,,,,,,,,,
20. Telangana,1. Adilabad,2000 - 2001,"7,125.00","26,933.00",3.78,,,,,,,,,
,,2001 - 2002,"7,118.00","21,076.00",2.96,,,,,,,,,
,,2002 - 2003,"6,250.00","26,538.00",4.25,,,,,,,,,
,,2003 - 2004,"6,394.00","24,815.00",3.88,,,,,,,,,
,,2004 - 2005,"6,407.00","28,735.00",4.48,,,,,,,,,
,,2005 - 2006,"6,571.00","33,893.00",5.16,,,,,,,,,
,,2006 - 2007,"6,791.00","30,953.00",4.56,,,,,,,,,
,,2008 - 2009,"5,096.00","19,217.00",3.77,,,,,,,,,
,,2009 - 2010,"5,701.00","20,809.00",3.65,,,,,,,,,
,,2010 - 2011,"6,245.00","43,259.00",6.93,,,,,,,,,
,,2011 - 2012,"7,584.00","34,014.00",4.48,,,,,,,,,
,,2013 - 2014,,,,,,,"6,083.00","40,884.00",6.72,,,
,,2014 - 2015,,,,,,,"7,089.00","45,745.00",6.45,,,
,,2015 - 2016,,,,,,,"7,719.00","41,474.00",5.37,,,
,,2016 - 2017,,,,,,,180,742,4.12,,,
,,2017 - 2018,,,,,,,158,928,5.87,,,
,,2018 - 2019,,,,,,,229,"1,489.00",6.5,,,
,,2019 - 2020,,,,,,,169,"1,178.00",6.97,,,
,,2020 - 2021,,,,,,,60,468,7.8,,,
,,2021 - 2022,,,,1,7,7,76,559,7.36,,,
,,2022 - 2023,,,,,,,53,398,7.51,,,
,2. Bhadradri,2016 - 2017,,,,1,6,6,59,357,6.05,,,
,,2017 - 2018,,,,,,,48,282,5.88,,,
,,2018 - 2019,,,,,,,67,436,6.51,,,
,,2019 - 2020,,,,,,,47,328,6.98,,,
,,2020 - 2021,,,,,,,39,304,7.79,,,
,,2021 - 2022,,,,2,15,7.5,22,162,7.36,,,
,,2022 - 2023,,,,,,,13,98,7.54,,,
,3. Jagitial,2016 - 2017,,,,,,,"12,028.00","1,00,735.00",8.38,,,
,,2017 - 2018,,,,,,,"12,779.00","88,533.00",6.93,,,
,,2018 - 2019,,,,,,,"13,483.00","1,08,120.00",8.02,,,
,,2019 - 2020,,,,,,,"13,918.00","1,20,961.00",8.69,,,
,,2020 - 2021,,,,,,,"8,617.00","1,14,055.00",13.24,,,
,,2021 - 2022,,,,,,,"8,698.00","89,998.00",10.35,,,
,,2022 - 2023,,,,,,,"5,943.00","57,481.00",9.67,,,
,4. Jangoan,2016 - 2017,,,,,,,40,242,6.05,,,
,,2017 - 2018,,,,,,,16,94,5.88,,,
,,2018 - 2019,,,,,,,52,338,6.5,,,
,,2019 - 2020,,,,,,,36,251,6.97,,,
,,2020 - 2021,,,,,,,34,265,7.79,,,
,,2021 - 2022,,,,1,7,7,8,59,7.38,,,
,,2022 - 2023,,,,,,,1,8,8,,,
,5. Jayashankar,2016 - 2017,,,,,,,696,"4,216.00",6.06,,,
,,2017 - 2018,,,,,,,536,"3,148.00",5.87,,,
,,2018 - 2019,,,,,,,706,"4,590.00",6.5,,,
,,2019 - 2020,,,,,,,594,"4,142.00",6.97,,,
,,2020 - 2021,,,,,,,437,"3,407.00",7.8,,,
,,2021 - 2022,,,,6,44,7.33,412,"3,029.00",7.35,,,
,,2022 - 2023,,,,,,,181,"1,361.00",7.52,,,
,6. Kamareddy,2016 - 2017,,,,,,,179,974,5.44,,,
,,2017 - 2018,,,,,,,76,446,5.87,,,
,,2018 - 2019,,,,,,,45,293,6.51,,,
,,2019 - 2020,,,,,,,79,551,6.97,,,
,,2020 - 2021,,,,,,,51,398,7.8,,,
,,2021 - 2022,,,,5,37,7.4,29,213,7.34,,,
,,2022 - 2023,,,,1,8,8,10,75,7.5,,,
,7. Karimnagar,2000 - 2001,"14,963.00","81,144.00",5.42,,,,,,,,,
,,2001 - 2002,"13,979.00","59,439.00",4.25,,,,,,,,,
,,2002 - 2003,"12,350.00","73,371.00",5.94,,,,,,,,,
,,2003 - 2004,"14,422.00","1,08,670.00",7.54,,,,,,,,,
,,2004 - 2005,"15,368.00","1,04,963.00",6.83,,,,,,,,,
,,2005 - 2006,"20,020.00","1,81,101.00",9.05,,,,,,,,,
,,2006 - 2007,"15,765.00","1,26,388.00",8.02,,,,,,,,,
,,2008 - 2009,"19,163.00","1,33,010.00",6.94,,,,,,,,,
,,2009 - 2010,"12,813.00","72,932.00",5.69,,,,,,,,,
,,2010 - 2011,"17,873.00","1,24,021.00",6.94,,,,,,,,,
,,2011 - 2012,"17,883.00","1,06,207.00",5.94,,,,,,,,,
,,2013 - 2014,,,,,,,"14,487.00","91,312.00",6.3,,,
,,2014 - 2015,,,,,,,"10,363.00","64,986.00",6.27,,,
,,2015 - 2016,,,,,,,"10,600.00","53,975.00",5.09,,,
,,2016 - 2017,,,,,,,193,"1,616.00",8.37,,,
,,2017 - 2018,,,,,,,159,934,5.87,,,
,,2018 - 2019,,,,,,,224,"1,456.00",6.5,,,
,,2019 - 2020,,,,,,,255,"1,778.00",6.97,,,
,,2020 - 2021,,,,,,,108,842,7.8,,,
,,2021 - 2022,,,,1,7,7,66,485,7.35,,,
,,2022 - 2023,,,,,,,22,165,7.5,,,
,8. Khammam,2000 - 2001,771,"3,877.00",5.03,,,,,,,,,
,,2001 - 2002,357,"1,403.00",3.93,,,,,,,,,
,,2002 - 2003,144,731,5.08,,,,,,,,,
,,2003 - 2004,182,956,5.25,,,,,,,,,
,,2004 - 2005,257,"1,636.00",6.37,,,,,,,,,
,,2005 - 2006,265,"2,019.00",7.62,,,,,,,,,
,,2006 - 2007,274,"1,683.00",6.14,,,,,,,,,
,,2008 - 2009,196,"1,223.00",6.24,,,,,,,,,
,,2009 - 2010,130,724,5.57,,,,,,,,,
,,2010 - 2011,395,"2,657.00",6.73,,,,,,,,,
,,2011 - 2012,768,"4,209.00",5.48,,,,,,,,,
,,2013 - 2014,,,,,,,252,"1,280.00",5.08,,,
,,2014 - 2015,,,,,,,172,856,4.98,,,
,,2015 - 2016,,,,,,,184,797,4.33,,,
,,2016 - 2017,,,,,,,110,665,6.05,,,
,,2017 - 2018,,,,,,,63,370,5.87,,,
,,2018 - 2019,,,,,,,87,566,6.51,,,
,,2019 - 2020,,,,,,,36,251,6.97,,,
,,2020 - 2021,,,,,,,50,390,7.8,,,
,,2021 - 2022,,,,,,,65,478,7.35,,,
,,2022 - 2023,,,,,,,24,180,7.5,,,
,9. Komaram bheem asifabad,2016 - 2017,,,,,,,8,33,4.13,,,
,,2017 - 2018,,,,,,,27,159,5.89,,,
,,2018 - 2019,,,,,,,21,137,6.52,,,
,,2019 - 2020,,,,,,,32,223,6.97,,,
,,2020 - 2021,,,,,,,21,164,7.81,,,
,,2021 - 2022,,,,3,22,7.33,22,162,7.36,,,
,,2022 - 2023,,,,1,8,8,11,83,7.55,,,
,10. Mahabubabad,2016 - 2017,,,,,,,"5,364.00","32,495.00",6.06,,,
,,2017 - 2018,,,,,,,"4,401.00","32,963.00",7.49,,,
,,2018 - 2019,,,,,,,"4,447.00","28,910.00",6.5,,,
,,2019 - 2020,,,,,,,"3,381.00","21,479.00",6.35,,,
,,2020 - 2021,,,,,,,"3,242.00","16,641.00",5.13,,,
,,2021 - 2022,,,,1,5,5,"1,782.00","9,580.00",5.38,,,
,,2022 - 2023,,,,,,,465,"2,307.00",4.96,,,
,11. Mahbubnagar,2000 - 2001,141,709,5.03,,,,,,,,,
,,2001 - 2002,106,417,3.93,,,,,,,,,
,,2002 - 2003,68,345,5.07,,,,,,,,,
,,2003 - 2004,121,635,5.25,,,,,,,,,
,,2004 - 2005,57,363,6.37,,,,,,,,,
,,2005 - 2006,31,236,7.61,,,,,,,,,
,,2006 - 2007,84,516,6.14,,,,,,,,,
,,2008 - 2009,121,755,6.24,,,,,,,,,
,,2009 - 2010,27,150,5.56,,,,,,,,,
,,2010 - 2011,36,242,6.72,,,,,,,,,
,,2011 - 2012,44,241,5.48,,,,,,,,,
,,2013 - 2014,,,,,,,25,127,5.08,,,
,,2014 - 2015,,,,,,,36,179,4.97,,,
,,2015 - 2016,,,,,,,8,35,4.38,,,
,,2022 - 2023,,,,1,8,8,1,8,8,,,
,12. Mancherial,2016 - 2017,,,,,,,162,668,4.12,,,
,,2017 - 2018,,,,,,,136,799,5.88,,,
,,2018 - 2019,,,,,,,41,267,6.51,,,
,,2019 - 2020,,,,,,,54,377,6.98,,,
,,2020 - 2021,,,,,,,63,491,7.79,,,
,,2021 - 2022,,,,,,,52,382,7.35,,,
,,2022 - 2023,,,,,,,27,203,7.52,,,
,13. Medak,2000 - 2001,"2,382.00","11,979.00",5.03,,,,,,,,,
,,2001 - 2002,"1,966.00","7,729.00",3.93,,,,,,,,,
,,2002 - 2003,"1,377.00","6,991.00",5.08,,,,,,,,,
,,2003 - 2004,"1,176.00","6,176.00",5.25,,,,,,,,,
,,2004 - 2005,"1,382.00","8,799.00",6.37,,,,,,,,,
,,2005 - 2006,"1,532.00","11,672.00",7.62,,,,,,,,,
,,2006 - 2007,"1,774.00","7,387.00",4.16,,,,,,,,,
,,2008 - 2009,"1,872.00","5,594.00",2.99,,,,,,,,,
,,2009 - 2010,"1,384.00","4,198.00",3.03,,,,,,,,,
,,2010 - 2011,"1,216.00","3,416.00",2.81,,,,,,,,,
,,2011 - 2012,"2,091.00","6,566.00",3.14,,,,,,,,,
,,2013 - 2014,,,,,,,"1,385.00","3,974.00",2.87,,,
,,2014 - 2015,,,,,,,"1,566.00","3,715.00",2.37,,,
,,2015 - 2016,,,,,,,"1,179.00","5,109.00",4.33,,,
,,2016 - 2017,,,,,,,2,12,6,,,
,,2018 - 2019,,,,,,,2,13,6.5,,,
,,2020 - 2021,,,,,,,1,8,8,,,
,,2021 - 2022,,,,2,15,7.5,2,15,7.5,,,
,,2022 - 2023,,,,,,,1,8,8,,,
,14. Medchal,2021 - 2022,,,,,,,1,7,7,,,
,15. Mulugu,2018 - 2019,,,,,,,156,"1,014.00",6.5,,,
,,2019 - 2020,,,,,,,155,"1,081.00",6.97,,,
,,2020 - 2021,,,,,,,105,819,7.8,,,
,,2021 - 2022,,,,,,,48,353,7.35,,,
,,2022 - 2023,,,,20,150,7.5,20,150,7.5,,,
,16. Nagarkurnool,2020 - 2021,,,,,,,1,8,8,,,
,,2021 - 2022,,,,,,,1,7,7,,,
,,2022 - 2023,,,,,,,2,15,7.5,,,
,17. Nalgonda,2000 - 2001,47,236,5.02,,,,,,,,,
,,2001 - 2002,86,338,3.93,,,,,,,,,
,,2002 - 2003,36,183,5.08,,,,,,,,,
,,2005 - 2006,7,53,7.57,,,,,,,,,
,,2006 - 2007,5,31,6.2,,,,,,,,,
,,2010 - 2011,2,13,6.5,,,,,,,,,
,,2011 - 2012,213,"1,168.00",5.48,,,,,,,,,
,,2013 - 2014,,,,,,,10,51,5.1,,,
,,2014 - 2015,,,,,,,1,5,5,,,
,,2015 - 2016,,,,,,,2,9,4.5,,,
,,2016 - 2017,,,,,,,6,36,6,,,
,,2017 - 2018,,,,,,,26,153,5.88,,,
,,2022 - 2023,,,,,,,1,8,8,,,
,18. Nirmal,2016 - 2017,,,,,,,"7,873.00","32,453.00",4.12,,,
,,2017 - 2018,,,,,,,"7,328.00","44,342.00",6.05,,,
,,2018 - 2019,,,,,,,"8,120.00","54,981.00",6.77,,,
,,2019 - 2020,,,,,,,"10,481.00","68,525.00",6.54,,,
,,2020 - 2021,,,,,,,"6,273.00","42,757.00",6.82,,,
,,2021 - 2022,,,,8,58,7.25,"5,535.00","40,317.00",7.28,,,
,,2022 - 2023,,,,2,15,7.5,"4,773.00","35,144.00",7.36,,,
,19. Nizamabad,2000 - 2001,"11,308.00","77,652.00",6.87,,,,,,,,,
,,2001 - 2002,"10,317.00","50,909.00",4.93,,,,,,,,,
,,2002 - 2003,"9,954.00","54,787.00",5.5,,,,,,,,,
,,2003 - 2004,"9,568.00","28,321.00",2.96,,,,,,,,,
,,2004 - 2005,"8,760.00","78,866.00",9,,,,,,,,,
,,2005 - 2006,"11,079.00","1,00,331.00",9.06,,,,,,,,,
,,2006 - 2007,"11,044.00","73,155.00",6.62,,,,,,,,,
,,2008 - 2009,"9,409.00","88,840.00",9.44,,,,,,,,,
,,2009 - 2010,"9,778.00","90,231.00",9.23,,,,,,,,,
,,2010 - 2011,"11,015.00","96,381.00",8.75,,,,,,,,,
,,2011 - 2012,"11,943.00","97,933.00",8.2,,,,,,,,,
,,2013 - 2014,,,,,,,"13,250.00","55,359.00",4.18,,,
,,2014 - 2015,,,,,,,"12,458.00","47,004.00",3.77,,,
,,2015 - 2016,,,,,,,"12,242.00","33,825.00",2.76,,,
,,2016 - 2017,,,,,,,"14,211.00","77,322.00",5.44,,,
,,2017 - 2018,,,,,,,"14,178.00","69,543.00",4.9,,,
,,2018 - 2019,,,,,,,"14,580.00","87,495.00",6,,,
,,2019 - 2020,,,,,,,"16,162.00","95,711.00",5.92,,,
,,2020 - 2021,,,,,,,"13,906.00","87,928.00",6.32,,,
,,2021 - 2022,,,,21,119,5.67,"12,646.00","71,715.00",5.67,,,
,,2022 - 2023,,,,1,6,6,"8,868.00","53,784.00",6.06,,,
,20. Peddapalli,2016 - 2017,,,,,,,318,"2,663.00",8.37,,,
,,2017 - 2018,,,,,,,435,"2,555.00",5.87,,,
,,2018 - 2019,,,,,,,428,"2,783.00",6.5,,,
,,2019 - 2020,,,,,,,602,"4,198.00",6.97,,,
,,2020 - 2021,,,,,,,403,"3,142.00",7.8,,,
,,2021 - 2022,,,,6,44,7.33,250,"1,838.00",7.35,,,
,,2022 - 2023,,,,,,,106,797,7.52,,,
,21. Rajanna,2016 - 2017,,,,,,,80,670,8.38,,,
,,2017 - 2018,,,,,,,82,482,5.88,,,
,,2018 - 2019,,,,,,,38,247,6.5,,,
,,2019 - 2020,,,,,,,34,237,6.97,,,
,,2020 - 2021,,,,,,,24,187,7.79,,,
,,2021 - 2022,,,,8,59,7.38,9,66,7.33,,,
,,2022 - 2023,,,,,,,12,90,7.5,,,
,22. Rangareddi,2000 - 2001,"6,843.00","34,413.00",5.03,,,,,,,,,
,,2001 - 2002,"5,449.00","21,420.00",3.93,,,,,,,,,
,,2002 - 2003,"5,132.00","26,055.00",5.08,,,,,,,,,
,,2003 - 2004,"5,221.00","27,421.00",5.25,,,,,,,,,
,,2004 - 2005,"4,710.00","29,989.00",6.37,,,,,,,,,
,,2005 - 2006,"5,056.00","38,522.00",7.62,,,,,,,,,
,,2006 - 2007,"4,826.00","15,757.00",3.27,,,,,,,,,
,,2008 - 2009,"3,744.00","13,928.00",3.72,,,,,,,,,
,,2009 - 2010,"3,517.00","9,911.00",2.82,,,,,,,,,
,,2010 - 2011,"4,045.00","13,988.00",3.46,,,,,,,,,
,,2011 - 2012,"4,636.00","16,439.00",3.55,,,,,,,,,
,,2013 - 2014,,,,,,,"3,740.00","12,028.00",3.22,,,
,,2014 - 2015,,,,,,,"3,303.00","11,336.00",3.43,,,
,,2015 - 2016,,,,,,,"2,253.00","7,822.00",3.47,,,
,,2016 - 2017,,,,,,,31,106,3.42,,,
,,2017 - 2018,,,,,,,15,88,5.87,,,
,,2018 - 2019,,,,,,,12,78,6.5,,,
,,2019 - 2020,,,,,,,4,28,7,,,
,,2020 - 2021,,,,,,,7,55,7.86,,,
,,2021 - 2022,,,,,,,8,59,7.38,,,
,,2022 - 2023,,,,,,,3,23,7.67,,,
,23. Sangareddy,2016 - 2017,,,,,,,"1,134.00","6,854.00",6.04,,,
,,2017 - 2018,,,,,,,"1,006.00","5,908.00",5.87,,,
,,2018 - 2019,,,,,,,850,"1,442.00",1.7,,,
,,2019 - 2020,,,,,,,501,"3,215.00",6.42,,,
,,2020 - 2021,,,,,,,194,"1,478.00",7.62,,,
,,2021 - 2022,,,,22,162,7.36,192,"1,412.00",7.35,,,
,,2022 - 2023,,,,3,23,7.67,76,571,7.51,,,
,24. Siddipet,2016 - 2017,,,,,,,1,6,6,,,
,,2020 - 2021,,,,,,,3,23,7.67,,,
,,2021 - 2022,,,,1,7,7,2,15,7.5,,,
,25. Suryapet,2016 - 2017,,,,8,48,6,3,18,6,,,
,,2019 - 2020,,,,,,,2,14,7,,,
,,2020 - 2021,,,,,,,1,8,8,,,
,,2021 - 2022,,,,,,,1,7,7,,,
,,2022 - 2023,,,,,,,1,8,8,,,
,26. Vikarabad,2016 - 2017,,,,,,,"2,136.00","7,314.00",3.42,,,
,,2017 - 2018,,,,,,,"2,436.00","13,866.00",5.69,,,
,,2018 - 2019,,,,,,,"1,827.00","12,199.00",6.68,,,
,,2019 - 2020,,,,,,,"1,596.00","14,862.00",9.31,,,
,,2020 - 2021,,,,,,,"1,629.00","14,294.00",8.77,,,
,,2021 - 2022,,,,9,101,11.22,"1,269.00","14,305.00",11.27,,,
,,2022 - 2023,,,,3,39,13,722,"9,505.00",13.16,,,
,27. Warangal,2000 - 2001,"14,633.00","55,810.00",3.81,,,,,,,,,
,,2001 - 2002,"9,801.00","30,609.00",3.12,,,,,,,,,
,,2002 - 2003,"8,348.00","32,666.00",3.91,,,,,,,,,
,,2003 - 2004,"9,399.00","47,127.00",5.01,,,,,,,,,
,,2004 - 2005,"10,402.00","48,088.00",4.62,,,,,,,,,
,,2005 - 2006,"11,097.00","56,217.00",5.07,,,,,,,,,
,,2006 - 2007,"9,220.00","49,806.00",5.4,,,,,,,,,
,,2008 - 2009,"9,456.00","43,422.00",4.59,,,,,,,,,
,,2009 - 2010,"12,723.00","57,801.00",4.54,,,,,,,,,
,,2010 - 2011,"9,724.00","56,098.00",5.77,,,,,,,,,
,,2011 - 2012,"9,965.00","35,356.00",3.55,,,,,,,,,
,,2013 - 2014,,,,,,,"10,406.00","47,046.00",4.52,,,
,,2014 - 2015,,,,,,,"8,482.00","42,410.00",5,,,
,,2015 - 2016,,,,,,,"8,348.00","41,239.00",4.94,,,
,,2016 - 2017,,,,,,,"5,168.00","31,308.00",6.06,,,
,,2017 - 2018,,,,,,,"5,871.00","26,748.00",4.56,,,
,,2018 - 2019,,,,,,,"7,241.00","35,503.00",4.9,,,
,,2019 - 2020,,,,,,,"6,860.00","44,096.00",6.43,,,
,,2020 - 2021,,,,,,,"5,481.00","29,570.00",5.4,,,
,,2021 - 2022,,,,10,52,5.2,"2,211.00","11,426.00",5.17,,,
,,2022 - 2023,,,,2,12,6,"1,070.00","6,587.00",6.16,,,
,28. Warangal urban,2016 - 2017,,,,,,,584,"3,538.00",6.06,,,
,,2017 - 2018,,,,,,,378,"2,220.00",5.87,,,
,,2018 - 2019,,,,,,,447,"2,906.00",6.5,,,
,,2019 - 2020,,,,,,,446,"3,110.00",6.97,,,
,,2020 - 2021,,,,,,,264,"2,058.00",7.8,,,
,,2021 - 2022,,,,18,115,6.39,"1,010.00","6,427.00",6.36,,,
,,2022 - 2023,,,,,,,266,"1,365.00",5.13,,,
,29. Yadadri,2018 - 2019,,,,,,,1,7,7,,,
,,2021 - 2022,,,,,,,3,22,7.33,,,
21. Uttar Pradesh,1. Agra,2004 - 2005,,,,1,1,1,,,,,,
,,2006 - 2007,,,,1,3,3,,,,,,
,2. Aligarh,2004 - 2005,,,,1,2,2,,,,,,
,,2006 - 2007,,,,1,4,4,,,,,,
,,2009 - 2010,,,,3,10,3.33,,,,,,
,,2010 - 2011,,,,3,9,3,,,,,,
,,2011 - 2012,,,,1,3,3,,,,,,
,,2012 - 2013,,,,11,31,2.82,,,,,,
,,2013 - 2014,,,,12,35,2.92,,,,,,
,,2014 - 2015,,,,6,17,2.83,,,,,,
,,2015 - 2016,,,,9,10,1.11,,,,,,
,,2016 - 2017,,,,15,20,1.33,,,,,,
,,2017 - 2018,,,,14,18,1.29,,,,,,
,,2020 - 2021,,,,14,20,1.43,,,,,,
,3. Allahabad,2000 - 2001,2,3,1.5,,,,,,,,,
,,2001 - 2002,2,4,2,,,,,,,,,
,,2004 - 2005,,,,1,2,2,,,,,,
,,2006 - 2007,,,,1,4,4,,,,,,
,4. Ambedkar nagar,2000 - 2001,6,11,1.83,,,,,,,,,
,,2004 - 2005,,,,1,1,1,,,,,,
,,2006 - 2007,,,,2,7,3.5,,,,,,
,5. Amethi,2011 - 2012,,,,15,42,2.8,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2013 - 2014,,,,1,3,3,,,,,,
,,2014 - 2015,,,,8,23,2.88,,,,,,
,,2015 - 2016,,,,13,14,1.08,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,,2022 - 2023,,,,1,2,2,,,,,,
,6. Amroha,2000 - 2001,1,2,2,,,,,,,,,
,,2016 - 2017,,,,2,3,1.5,,,,,,
,7. Auraiya,2002 - 2003,1,2,2,,,,,,,,,
,,2004 - 2005,,,,12,21,1.75,,,,,,
,,2006 - 2007,,,,7,24,3.43,,,,,,
,,2007 - 2008,,,,7,22,3.14,,,,,,
,,2009 - 2010,,,,2,6,3,,,,,,
,,2011 - 2012,,,,1,3,3,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,8. Azamgarh,2000 - 2001,2,3,1.5,,,,,,,,,
,,2002 - 2003,2,4,2,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,
,,2005 - 2006,,,,1,4,4,,,,,,
,,2007 - 2008,,,,2,6,3,,,,,,
,,2009 - 2010,,,,7,23,3.29,,,,,,
,,2012 - 2013,,,,1,3,3,,,,,,
,,2013 - 2014,,,,2,6,3,,,,,,
,,2014 - 2015,,,,3,8,2.67,,,,,,
,,2016 - 2017,,,,1,1,1,,,,,,
,,2020 - 2021,,,,2,3,1.5,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,,2022 - 2023,,,,1,2,2,,,,,,
,9. Baghpat,2000 - 2001,4,7,1.75,,,,,,,,,
,,2013 - 2014,,,,3,9,3,,,,,,
,,2014 - 2015,,,,3,8,2.67,,,,,,
,,2015 - 2016,,,,3,3,1,,,,,,
,10. Bahraich,2000 - 2001,207,361,1.74,,,,,,,,,
,,2001 - 2002,218,390,1.79,,,,,,,,,
,,2002 - 2003,224,407,1.82,,,,,,,,,
,,2003 - 2004,156,282,1.81,,,,,,,,,
,,2004 - 2005,,,,241,419,1.74,,,,,,
,,2005 - 2006,,,,156,695,4.46,,,,,,
,,2006 - 2007,,,,241,820,3.4,,,,,,
,,2007 - 2008,,,,104,319,3.07,,,,,,
,,2009 - 2010,,,,154,509,3.31,,,,,,
,,2010 - 2011,,,,125,393,3.14,,,,,,
,,2011 - 2012,,,,114,321,2.82,,,,,,
,,2012 - 2013,,,,100,283,2.83,,,,,,
,,2013 - 2014,,,,69,200,2.9,,,,,,
,,2014 - 2015,,,,60,170,2.83,,,,,,
,,2015 - 2016,,,,2,2,1,,,,,,
,,2016 - 2017,,,,112,148,1.32,,,,,,
,,2017 - 2018,,,,112,143,1.28,,,,,,
,,2018 - 2019,,,,143,193,1.35,,,,,,
,,2019 - 2020,,,,85,120,1.41,,,,,,
,,2020 - 2021,,,,93,130,1.4,,,,,,
