State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,,,,,,,"3,164.00","7,723.00",2.44,,,
,,2017 - 2018,,,,,,,"9,913.00","1,18,956.00",12,,,
,,2018 - 2019,,,,,,,"5,628.00","1,04,556.00",18.58,,,
,,2019 - 2020,,,,,,,"11,286.00","1,35,432.00",12,,,
,12. Vizianagaram,2000 - 2001,33,148,4.48,,,,,,,,,
,,2001 - 2002,33,143,4.33,,,,,,,,,
,,2002 - 2003,63,338,5.37,,,,,,,,,
,,2003 - 2004,46,284,6.17,,,,,,,,,
,,2004 - 2005,35,283,8.09,,,,,,,,,
,,2005 - 2006,110,690,6.27,,,,,,,,,
,,2006 - 2007,155,911,5.88,,,,,,,,,
,,2008 - 2009,221,"1,519.00",6.87,,,,,,,,,
,,2009 - 2010,192,"1,197.00",6.23,,,,,,,,,
,,2010 - 2011,224,"1,368.00",6.11,,,,,,,,,
,,2011 - 2012,203,"1,524.00",7.51,,,,,,,,,
,,2012 - 2013,,,,,,,107,709,6.63,,,
,,2013 - 2014,,,,,,,128,852,6.66,,,
,,2014 - 2015,,,,,,,47,338,7.19,,,
,,2015 - 2016,,,,,,,31,209,6.74,,,
,,2016 - 2017,,,,,,,31,131,4.23,,,
,,2018 - 2019,,,,,,,58,480,8.28,,,
,13. West godavari,2000 - 2001,615,"2,761.00",4.49,,,,,,,,,
,,2001 - 2002,263,"1,137.00",4.32,,,,,,,,,
,,2002 - 2003,254,"1,362.00",5.36,,,,,,,,,
,,2003 - 2004,219,"1,351.00",6.17,,,,,,,,,
,,2004 - 2005,274,"2,215.00",8.08,,,,,,,,,
,,2005 - 2006,429,"2,690.00",6.27,,,,,,,,,
,,2006 - 2007,357,"2,099.00",5.88,,,,,,,,,
,,2008 - 2009,106,728,6.87,,,,,,,,,
,,2009 - 2010,143,891,6.23,,,,,,,,,
,,2010 - 2011,302,"1,844.00",6.11,,,,,,,,,
,,2011 - 2012,897,"6,735.00",7.51,,,,,,,,,
,,2012 - 2013,,,,,,,266,"1,762.00",6.62,,,
,,2013 - 2014,,,,,,,199,"1,325.00",6.66,,,
,,2014 - 2015,,,,,,,197,"1,418.00",7.2,,,
,,2015 - 2016,,,,22,149,6.77,210,"1,418.00",6.75,,,
,,2016 - 2017,,,,,,,318,"1,343.00",4.22,,,
,,2017 - 2018,,,,,,,325,"3,900.00",12,,,
,,2018 - 2019,,,,,,,259,"2,628.00",10.15,,,
,,2019 - 2020,,,,,,,180,"2,160.00",12,,,
3. Arunachal Pradesh,1. Anjaw,2004 - 2005,8,20,2.5,,,,,,,,,
,,2005 - 2006,10,25,2.5,,,,,,,,,
,,2006 - 2007,15,76,5.07,,,,,,,,,
,,2007 - 2008,18,90,5,,,,,,,,,
,,2008 - 2009,19,93,4.89,,,,,,,,,
,,2009 - 2010,22,66,3,,,,,,,,,
,,2010 - 2011,20,50,2.5,,,,,,,,,
,,2011 - 2012,20,51,2.55,,,,,,,,,
,,2012 - 2013,18,41,2.28,,,,,,,,,
,,2013 - 2014,18,40,2.22,,,,,,,,,
,,2014 - 2015,27,613,22.7,,,,,,,,,
,,2015 - 2016,39,156,4,,,,,,,,,
,,2016 - 2017,39,129,3.31,,,,,,,,,
,,2017 - 2018,40,135,3.38,,,,,,,,,
,,2018 - 2019,40,135,3.38,,,,,,,,,
,,2019 - 2020,41,137,3.34,,,,,,,,,
,,2020 - 2021,41,139,3.39,,,,,,,,,
,,2021 - 2022,48,163,3.4,,,,,,,,,
,,2022 - 2023,52,176,3.38,,,,,,,,,
,2. Changlang,2000 - 2001,99,455,4.6,,,,,,,,,
,,2001 - 2002,95,444,4.67,,,,,,,,,
,,2002 - 2003,80,416,5.2,,,,,,,,,
