State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,2,5,2.5,274,"1,293.00",4.72,,,,,,,,,
,,2009 - 2010,585,690,1.18,"2,584.00","9,031.00",3.49,,,,,,,,,
,,2010 - 2011,,,,73,285,3.9,,,,,,,,,
,,2011 - 2012,,,,905,"4,212.00",4.65,,,,,,,,,
,,2013 - 2014,8,14,1.75,145,669,4.61,,,,,,,,,
,,2014 - 2015,,,,524,"2,370.00",4.52,,,,,,,,,
,,2015 - 2016,,,,217,934,4.3,,,,,,,,,
,,2016 - 2017,226,325,1.44,508,"1,749.00",3.44,,,,,,,,,
,,2017 - 2018,16,16,1,"1,335.00","5,674.00",4.25,,,,,,,,,
,,2018 - 2019,,,,263,722,2.75,,,,,,,,,
,,2019 - 2020,28,33,1.18,395,"1,959.00",4.96,,,,,,,,,
,,2020 - 2021,6,8,1.33,"1,472.00","5,794.00",3.94,,,,,,,,,
,,2021 - 2022,8,8,1,"2,158.00","6,858.00",3.18,,,,,,,,,
,,2022 - 2023,1,1,1,"1,922.00","13,921.00",7.24,,,,,,,,,
,13. Kurnool,2000 - 2001,"7,662.00","11,953.00",1.56,"86,644.00","1,05,792.00",1.22,,,,,,,,,
,,2001 - 2002,"6,577.00","6,939.00",1.06,"86,436.00","1,31,901.00",1.53,,,,,,,,,
,,2002 - 2003,"2,112.00","2,063.00",0.98,"1,00,721.00","1,35,067.00",1.34,,,,,,,,,
,,2003 - 2004,"13,685.00","62,280.00",4.55,"1,04,115.00","1,39,618.00",1.34,,,,,,,,,
,,2004 - 2005,"16,448.00","64,871.00",3.94,"86,637.00","1,39,745.00",1.61,,,,,,,,,
,,2005 - 2006,"20,905.00","87,801.00",4.2,"73,299.00","1,40,514.00",1.92,,,,,,,,,
,,2006 - 2007,"4,905.00","9,839.00",2.01,"68,331.00","1,02,838.00",1.5,,,,,,,,,
,,2007 - 2008,"5,000.00","17,000.00",3.4,"63,000.00","1,35,000.00",2.14,,,,,,,,,
,,2008 - 2009,"10,834.00","32,329.00",2.98,"55,426.00","1,34,186.00",2.42,,,,,,,,,
,,2009 - 2010,"12,262.00","31,943.00",2.61,"59,444.00","97,072.00",1.63,,,,,,,,,
,,2010 - 2011,"1,555.00","5,057.00",3.25,"54,101.00","98,410.00",1.82,,,,,,,,,
,,2011 - 2012,"14,115.00","46,368.00",3.29,"70,555.00","1,28,692.00",1.82,,,,,,,,,
,,2012 - 2013,"15,000.00","53,000.00",3.53,"67,000.00","1,15,000.00",1.72,,,,,,,,,
,,2013 - 2014,"10,958.00","32,808.00",2.99,"49,305.00","90,721.00",1.84,,,,,,,,,
,,2014 - 2015,"17,060.00","41,951.00",2.46,"50,107.00","94,001.00",1.88,,,,,,,,,
,,2015 - 2016,"13,518.00","25,644.00",1.9,"73,859.00","1,41,292.00",1.91,,,,,,,,,
,,2016 - 2017,"6,869.00","16,300.00",2.37,"46,921.00","74,229.00",1.58,,,,,,,,,
,,2017 - 2018,"5,940.00","14,113.00",2.38,"47,424.00","83,988.00",1.77,,,,,,,,,
,,2018 - 2019,742,336,0.45,"63,673.00","59,916.00",0.94,,,,,,,,,
,,2019 - 2020,"7,961.00","14,330.00",1.8,"47,460.00","80,160.00",1.69,,,,,,,,,
,,2020 - 2021,255,318,1.25,"42,543.00","82,533.00",1.94,,,,,,,,,
,,2021 - 2022,"1,326.00","1,107.00",0.83,"32,528.00","70,456.00",2.17,,,,,,,,,
,,2022 - 2023,187,158,0.84,"5,476.00","6,965.00",1.27,,,,,,,,,
,14. Nandyal,2022 - 2023,"1,982.00","2,111.00",1.07,"24,561.00","69,876.00",2.84,,,,,,,,,
,15. Ntr,2022 - 2023,1,1,1,749,"3,151.00",4.21,,,,,,,,,
,16. Palnadu,2022 - 2023,11,13,1.18,92,220,2.39,,,,,,,,,
,17. Parvathipuram manyam,2022 - 2023,184,211,1.15,,,,,,,,,,,,
,18. Prakasam,2000 - 2001,"2,992.00","1,110.00",0.37,"6,206.00","4,996.00",0.81,,,,,,,,,
,,2001 - 2002,"1,570.00",898,0.57,"3,490.00","2,576.00",0.74,,,,,,,,,
,,2002 - 2003,792,264,0.33,"8,739.00","7,009.00",0.8,,,,,,,,,
,,2003 - 2004,"2,293.00","6,783.00",2.96,"9,566.00","17,965.00",1.88,,,,,,,,,
,,2004 - 2005,"2,063.00","1,104.00",0.54,"5,047.00","4,280.00",0.85,,,,,,,,,
,,2005 - 2006,722,401,0.56,"2,919.00","2,855.00",0.98,,,,,,,,,
,,2006 - 2007,619,460,0.74,"2,326.00","2,410.00",1.04,,,,,,,,,
,,2007 - 2008,"2,000.00","3,000.00",1.5,"2,000.00","2,000.00",1,,,,,,,,,
,,2008 - 2009,401,"1,025.00",2.56,"4,843.00","11,328.00",2.34,,,,,,,,,
,,2009 - 2010,408,481,1.18,"7,104.00","16,460.00",2.32,,,,,,,,,
,,2010 - 2011,124,179,1.44,"3,803.00","6,199.00",1.63,,,,,,,,,
,,2011 - 2012,66,142,2.15,"10,975.00","23,146.00",2.11,,,,,,,,,
,,2012 - 2013,,,,"20,000.00","39,000.00",1.95,,,,,,,,,
,,2013 - 2014,477,833,1.75,"7,842.00","16,649.00",2.12,,,,,,,,,
,,2014 - 2015,12,18,1.5,"12,887.00","19,627.00",1.52,,,,,,,,,
,,2015 - 2016,66,73,1.11,"12,522.00","27,361.00",2.19,,,,,,,,,
,,2016 - 2017,208,299,1.44,"10,786.00","8,381.00",0.78,,,,,,,,,
,,2017 - 2018,610,621,1.02,"11,615.00","6,946.00",0.6,,,,,,,,,
,,2018 - 2019,375,49,0.13,"20,714.00","3,231.00",0.16,,,,,,,,,
,,2019 - 2020,311,464,1.49,"7,505.00","5,951.00",0.79,,,,,,,,,
,,2020 - 2021,203,326,1.61,"5,781.00","5,486.00",0.95,,,,,,,,,
,,2021 - 2022,249,270,1.08,"3,134.00","4,914.00",1.57,,,,,,,,,
,,2022 - 2023,130,149,1.15,"1,937.00","4,194.00",2.17,,,,,,,,,
,19. Spsr nellore,2000 - 2001,20,7,0.35,"1,190.00","1,484.00",1.25,,,,,,,,,
,,2001 - 2002,,,,162,120,0.74,,,,,,,,,
,,2002 - 2003,10,3,0.3,283,227,0.8,,,,,,,,,
,,2003 - 2004,3,9,3,104,195,1.88,,,,,,,,,
,,2004 - 2005,18,10,0.56,160,300,1.88,,,,,,,,,
,,2005 - 2006,9,5,0.56,49,143,2.92,,,,,,,,,
,,2006 - 2007,5,4,0.8,125,270,2.16,,,,,,,,,
,,2008 - 2009,8,20,2.5,42,198,4.71,,,,,,,,,
