State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,,,,13,,0,,,,,,,,,
,13. Jaipur,2000 - 2001,5,0.1,0.02,,,,,,,,,,,,
,,2001 - 2002,3,3,1,,,,,,,,,,,,
,,2002 - 2003,5,9,1.8,,,,,,,,,,,,
,,2003 - 2004,11,6,0.55,,,,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,,,,
,,2012 - 2013,,,,99,,0,,,,,,,,,
,,2016 - 2017,10,,0,,,,,,,,,,,,
,,2018 - 2019,2,,0,10,10,1,,,,,,,,,
,14. Jalore,2000 - 2001,"1,022.00",4,0,,,,,,,,,,,,
,,2001 - 2002,"1,003.00",368,0.37,,,,,,,,,,,,
,,2002 - 2003,587,0.1,0,,,,,,,,,,,,
,,2003 - 2004,57,40,0.7,,,,,,,,,,,,
,,2004 - 2005,491,15,0.03,26,4,0.15,,,,,,,,,
,,2005 - 2006,"1,081.00",848,0.78,178,267,1.5,,,,,,,,,
,,2006 - 2007,"1,201.00",629,0.52,,,,,,,,,,,,
,,2007 - 2008,696,318,0.46,167,167,1,,,,,,,,,
,,2008 - 2009,710,291,0.41,66,73,1.11,,,,,,,,,
,,2009 - 2010,860,34,0.04,608,669,1.1,,,,,,,,,
,,2010 - 2011,739,601,0.81,759,683,0.9,,,,,,,,,
,,2011 - 2012,527,369,0.7,510,311,0.61,,,,,,,,,
,,2012 - 2013,492,394,0.8,389,545,1.4,,,,,,,,,
,,2013 - 2014,461,208,0.45,798,"1,117.00",1.4,,,,,,,,,
,,2014 - 2015,"2,486.00",351,0.14,,,,,,,,,,,,
,,2015 - 2016,550,276,0.5,"2,379.00","2,378.00",1,,,,,,,,,
,,2016 - 2017,600,215,0.36,"2,754.00","1,953.00",0.71,,,,,,,,,
,,2017 - 2018,724,407,0.56,"1,571.00","1,710.00",1.09,,,,,,,,,
,,2018 - 2019,588,"1,800.00",3.06,"1,546.00","2,857.00",1.85,,,,,,,,,
,,2019 - 2020,549,274,0.5,"2,484.00","2,712.00",1.09,,,,,,,,,
,,2020 - 2021,559,280,0.5,"2,146.00","2,650.00",1.23,,,,,,,,,
,,2021 - 2022,807,0,0,"1,191.00","1,571.00",1.32,,,,,,,,,
,,2022 - 2023,440,264,0.6,"1,536.00","1,566.00",1.02,,,,,,,,,
,15. Jhunjhunu,2013 - 2014,,,,2,10,5,,,,,,,,,
,16. Jodhpur,2007 - 2008,,,,3,1,0.33,,,,,,,,,
,,2008 - 2009,,,,2,1,0.5,,,,,,,,,
,,2009 - 2010,,,,1,1,1,,,,,,,,,
,,2011 - 2012,,,,2,1,0.5,,,,,,,,,
,17. Karauli,2001 - 2002,5,2,0.4,,,,,,,,,,,,
,18. Kota,2013 - 2014,,,,3,2,0.67,,,,,,,,,
,19. Nagaur,2021 - 2022,,,,23,37,1.61,,,,,,,,,
,20. Pali,2000 - 2001,53,0.1,0,,,,,,,,,,,,
,,2001 - 2002,46,22,0.48,,,,,,,,,,,,
,,2002 - 2003,30,6,0.2,,,,,,,,,,,,
,,2003 - 2004,57,32,0.56,,,,,,,,,,,,
,,2004 - 2005,50,25,0.5,,,,,,,,,,,,
,,2005 - 2006,43,13,0.3,,,,,,,,,,,,
,,2006 - 2007,39,23,0.59,,,,,,,,,,,,
,,2007 - 2008,562,274,0.49,,,,,,,,,,,,
,,2008 - 2009,4,3,0.75,,,,,,,,,,,,
,,2010 - 2011,12,2,0.17,,,,,,,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,,,,
,,2013 - 2014,133,21,0.16,,,,,,,,,,,,
,,2014 - 2015,95,57,0.6,,,,,,,,,,,,
,,2015 - 2016,159,94,0.59,,,,,,,,,,,,
,,2016 - 2017,116,72,0.62,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,21. Pratapgarh,2008 - 2009,14,6,0.43,,,,,,,,,,,,
,,2009 - 2010,66,33,0.5,,,,,,,,,,,,
,,2010 - 2011,37,103,2.78,,,,,,,,,,,,
,,2011 - 2012,137,20,0.15,,,,,,,,,,,,
,,2012 - 2013,,,,4,,0,,,,,,,,,
,,2013 - 2014,4,,0,,,,,,,,,,,,
,,2015 - 2016,24,2,0.08,,,,,,,,,,,,
,,2018 - 2019,,,,4,,0,,,,,,,,,
,,2019 - 2020,,,,3,,0,,,,,,,,,
,,2021 - 2022,,,,9,0,0,,,,,,,,,
,22. Rajsamand,2000 - 2001,15,0.1,0.01,,,,,,,,,,,,
,,2001 - 2002,21,13,0.62,,,,,,,,,,,,
,,2002 - 2003,15,0.1,0.01,,,,,,,,,,,,
,,2003 - 2004,10,6,0.6,,,,,,,,,,,,
,,2004 - 2005,619,110,0.18,,,,,,,,,,,,
,,2005 - 2006,27,16,0.59,,,,,,,,,,,,
,,2006 - 2007,23,23,1,,,,,,,,,,,,
,,2007 - 2008,557,557,1,,,,,,,,,,,,
,,2008 - 2009,484,43,0.09,,,,,,,,,,,,
,,2009 - 2010,421,75,0.18,,,,,,,,,,,,
,,2010 - 2011,377,188,0.5,,,,,,,,,,,,
,,2011 - 2012,381,380,1,,,,,,,,,,,,
,,2012 - 2013,336,119,0.35,,,,,,,,,,,,
,,2016 - 2017,274,274,1,,,,,,,,,,,,
,23. Sirohi,2000 - 2001,"4,281.00",26,0.01,,,,,,,,,,,,
,,2001 - 2002,"5,539.00","4,421.00",0.8,,,,,,,,,,,,
,,2002 - 2003,"5,405.00",41,0.01,,,,,,,,,,,,
,,2003 - 2004,"5,571.00","4,436.00",0.8,,,,,,,,,,,,
,,2004 - 2005,"3,781.00","1,129.00",0.3,190,190,1,,,,,,,,,
,,2005 - 2006,"3,900.00","2,921.00",0.75,524,516,0.98,,,,,,,,,
,,2006 - 2007,"4,181.00","2,822.00",0.67,,,,,,,,,,,,
,,2007 - 2008,"2,387.00","1,902.00",0.8,462,231,0.5,,,,,,,,,
,,2008 - 2009,"2,330.00","1,179.00",0.51,343,309,0.9,,,,,,,,,
,,2009 - 2010,"2,202.00",170,0.08,442,398,0.9,,,,,,,,,
,,2010 - 2011,"2,709.00","2,160.00",0.8,569,512,0.9,,,,,,,,,
,,2011 - 2012,"2,050.00","1,640.00",0.8,647,307,0.47,,,,,,,,,
,,2012 - 2013,"1,255.00","1,004.00",0.8,621,932,1.5,,,,,,,,,
,,2013 - 2014,"1,448.00",84,0.06,839,"1,259.00",1.5,,,,,,,,,
,,2014 - 2015,"2,346.00",280,0.12,,,,,,,,,,,,
,,2015 - 2016,"1,092.00",219,0.2,"1,047.00","1,571.00",1.5,,,,,,,,,
,,2016 - 2017,"1,490.00",272,0.18,"1,034.00","1,551.00",1.5,,,,,,,,,
,,2017 - 2018,724,,0,489,705,1.44,,,,,,,,,
,,2018 - 2019,634,272,0.43,897,"1,346.00",1.5,,,,,,,,,
,,2019 - 2020,690,207,0.3,"1,052.00","1,556.00",1.48,,,,,,,,,
,,2020 - 2021,606,184,0.3,"1,162.00","1,743.00",1.5,,,,,,,,,
,,2021 - 2022,508,161,0.32,472,708,1.5,,,,,,,,,
,,2022 - 2023,"1,045.00",145,0.14,764,"1,452.00",1.9,,,,,,,,,
,24. Tonk,2009 - 2010,1,,0,,,,,,,,,,,,
,,2018 - 2019,,,,8,2,0.25,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,,,,
,,2022 - 2023,11,0,0,,,,,,,,,,,,
,25. Udaipur,2000 - 2001,724,5,0.01,,,,,,,,,,,,
,,2001 - 2002,771,464,0.6,,,,,,,,,,,,
,,2002 - 2003,566,74,0.13,,,,,,,,,,,,
,,2003 - 2004,754,576,0.76,,,,,,,,,,,,
,,2004 - 2005,766,494,0.64,17,17,1,,,,,,,,,
,,2005 - 2006,692,336,0.49,11,13,1.18,,,,,,,,,
,,2006 - 2007,963,215,0.22,,,,,,,,,,,,
,,2007 - 2008,"1,031.00",753,0.73,3,6,2,,,,,,,,,
,,2008 - 2009,"1,010.00",738,0.73,2,4,2,,,,,,,,,
,,2009 - 2010,"1,490.00",457,0.31,7,,0,,,,,,,,,
,,2010 - 2011,"1,086.00","1,048.00",0.97,6,5,0.83,,,,,,,,,
,,2011 - 2012,"1,035.00",767,0.74,,,,,,,,,,,,
,,2012 - 2013,"1,264.00","1,264.00",1,,,,,,,,,,,,
,,2013 - 2014,"1,241.00",751,0.61,,,,,,,,,,,,
,,2014 - 2015,640,477,0.75,,,,,,,,,,,,
,,2015 - 2016,553,340,0.61,,,,,,,,,,,,
,,2016 - 2017,414,513,1.24,,,,,,,,,,,,
,,2017 - 2018,240,241,1,,,,,,,,,,,,
,,2018 - 2019,209,203,0.97,,,,,,,,,,,,
,,2019 - 2020,164,92,0.56,,,,,,,,,,,,
,,2020 - 2021,31,31,1,,,,,,,,,,,,
,,2021 - 2022,15,15,1,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
21. Sikkim,1. Gangtok,2000 - 2001,"1,260.00","1,120.00",0.89,,,,,,,,,,,,
,,2001 - 2002,"1,550.00","1,470.00",0.95,,,,,,,,,,,,
,,2002 - 2003,"1,300.00","1,150.00",0.88,,,,,,,,,,,,
,,2003 - 2004,"1,000.00",810,0.81,,,,,,,,,,,,
,,2004 - 2005,"1,000.00",860,0.86,,,,,,,,,,,,
,,2005 - 2006,"1,000.00","8,800.00",8.8,,,,,,,,,,,,
,,2006 - 2007,"1,000.00",860,0.86,,,,,,,,,,,,
,,2007 - 2008,"1,590.00",146,0.09,,,,,,,,,,,,
,,2008 - 2009,"1,430.00","1,340.00",0.94,,,,,,,,,,,,
,,2009 - 2010,"1,170.00","1,110.00",0.95,,,,,,,,,,,,
,,2010 - 2011,840,832,0.99,,,,,,,,,,,,
,,2011 - 2012,840,830,0.99,,,,,,,,,,,,
,,2012 - 2013,870,900,1.03,,,,,,,,,,,,
,,2013 - 2014,840,870,1.04,,,,,,,,,,,,
,,2014 - 2015,840,870,1.04,,,,,,,,,,,,
,,2015 - 2016,833,873,1.05,,,,,,,,,,,,
,,2016 - 2017,830,881,1.06,,,,,,,,,,,,
,,2017 - 2018,828,879,1.06,,,,,,,,,,,,
,,2018 - 2019,754,804,1.07,,,,,,,,,,,,
,,2019 - 2020,754,808,1.07,,,,,,,,,,,,
,,2020 - 2021,754,812,1.08,,,,,,,,,,,,
,,2021 - 2022,754,814,1.08,,,,,,,,,,,,
,,2022 - 2023,246,263,1.07,,,,,,,,,,,,
,2. Geyzing,2000 - 2001,"1,615.00","1,529.00",0.95,,,,,,,,,,,,
,,2001 - 2002,"1,680.00","1,580.00",0.94,,,,,,,,,,,,
,,2002 - 2003,"1,450.00","1,300.00",0.9,,,,,,,,,,,,
,,2003 - 2004,"1,450.00","1,250.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"1,450.00","1,250.00",0.86,,,,,,,,,,,,
,,2005 - 2006,"1,450.00","1,350.00",0.93,,,,,,,,,,,,
,,2006 - 2007,"1,500.00","1,450.00",0.97,,,,,,,,,,,,
,,2007 - 2008,770,780,1.01,,,,,,,,,,,,
,,2008 - 2009,780,760,0.97,,,,,,,,,,,,
,,2009 - 2010,"1,000.00",980,0.98,,,,,,,,,,,,
,,2010 - 2011,810,795,0.98,,,,,,,,,,,,
,,2011 - 2012,780,770,0.99,,,,,,,,,,,,
,,2012 - 2013,760,780,1.03,,,,,,,,,,,,
,,2013 - 2014,760,786,1.03,,,,,,,,,,,,
,,2014 - 2015,760,790,1.04,,,,,,,,,,,,
,,2015 - 2016,711,744,1.05,,,,,,,,,,,,
,,2016 - 2017,510,544,1.07,,,,,,,,,,,,
,,2017 - 2018,432,462,1.07,,,,,,,,,,,,
,,2018 - 2019,234,250,1.07,,,,,,,,,,,,
,,2019 - 2020,443,474,1.07,,,,,,,,,,,,
,,2020 - 2021,185,199,1.08,,,,,,,,,,,,
,,2021 - 2022,203,219,1.08,,,,,,,,,,,,
,,2022 - 2023,154,166,1.08,,,,,,,,,,,,
,3. Mangan,2000 - 2001,688,633,0.92,,,,,,,,,,,,
,,2001 - 2002,688,450,0.65,,,,,,,,,,,,
,,2002 - 2003,580,330,0.57,,,,,,,,,,,,
,,2003 - 2004,690,550,0.8,,,,,,,,,,,,
,,2004 - 2005,690,530,0.77,,,,,,,,,,,,
,,2005 - 2006,690,540,0.78,,,,,,,,,,,,
,,2006 - 2007,690,640,0.93,,,,,,,,,,,,
,,2007 - 2008,520,370,0.71,,,,,,,,,,,,
,,2008 - 2009,600,570,0.95,,,,,,,,,,,,
,,2009 - 2010,920,"1,010.00",1.1,,,,,,,,,,,,
,,2010 - 2011,600,567,0.95,,,,,,,,,,,,
,,2011 - 2012,610,570,0.93,,,,,,,,,,,,
,,2012 - 2013,600,550,0.92,,,,,,,,,,,,
,,2013 - 2014,610,570,0.93,,,,,,,,,,,,
,,2014 - 2015,610,570,0.93,,,,,,,,,,,,
,,2015 - 2016,609,584,0.96,,,,,,,,,,,,
,,2016 - 2017,610,591,0.97,,,,,,,,,,,,
,,2017 - 2018,609,591,0.97,,,,,,,,,,,,
,,2018 - 2019,610,595,0.98,,,,,,,,,,,,
,,2019 - 2020,610,595,0.98,,,,,,,,,,,,
,,2020 - 2021,611,599,0.98,,,,,,,,,,,,
,,2021 - 2022,621,611,0.98,,,,,,,,,,,,
,,2022 - 2023,610,601,0.99,,,,,,,,,,,,
,4. Namchi,2000 - 2001,"1,000.00",950,0.95,,,,,,,,,,,,
,,2001 - 2002,"1,010.00",960,0.95,,,,,,,,,,,,
,,2002 - 2003,"1,010.00",960,0.95,,,,,,,,,,,,
,,2003 - 2004,"1,010.00",960,0.95,,,,,,,,,,,,
,,2004 - 2005,"1,010.00",960,0.95,,,,,,,,,,,,
,,2005 - 2006,"1,010.00","1,010.00",1,,,,,,,,,,,,
,,2006 - 2007,950,950,1,,,,,,,,,,,,
,,2007 - 2008,850,680,0.8,,,,,,,,,,,,
,,2008 - 2009,950,860,0.91,,,,,,,,,,,,
,,2009 - 2010,"1,160.00","1,080.00",0.93,,,,,,,,,,,,
,,2010 - 2011,750,699,0.93,,,,,,,,,,,,
,,2011 - 2012,720,670,0.93,,,,,,,,,,,,
,,2012 - 2013,750,730,0.97,,,,,,,,,,,,
,,2013 - 2014,750,740,0.99,,,,,,,,,,,,
,,2014 - 2015,750,740,0.99,,,,,,,,,,,,
,,2015 - 2016,700,710,1.01,,,,,,,,,,,,
,,2016 - 2017,660,676,1.02,,,,,,,,,,,,
,,2017 - 2018,600,615,1.03,,,,,,,,,,,,
,,2018 - 2019,516,532,1.03,,,,,,,,,,,,
,,2019 - 2020,475,490,1.03,,,,,,,,,,,,
,,2020 - 2021,504,522,1.04,,,,,,,,,,,,
,,2021 - 2022,465,483,1.04,,,,,,,,,,,,
,,2022 - 2023,395,411,1.04,,,,,,,,,,,,
,5. Pakyong,2022 - 2023,500,543,1.09,,,,,,,,,,,,
,6. Soreng,2022 - 2023,88,95,1.08,,,,,,,,,,,,
22. Tamil Nadu,1. Ariyalur,2009 - 2010,404,649,1.61,,,,,,,,,,,,
,,2011 - 2012,,,,,,,259,705,2.72,,,,,,
,,2013 - 2014,,,,,,,187,491,2.63,,,,,,
,,2014 - 2015,125,479,3.83,26,100,3.85,,,,,,,,,
,,2015 - 2016,171,465,2.72,4,11,2.75,,,,,,,,,
,,2016 - 2017,179,237,1.32,11,14,1.27,,,,,,,,,
,,2017 - 2018,51,152,2.98,34,100,2.94,,,,,,,,,
,,2018 - 2019,48,112,2.33,,,,,,,,,,,,
,,2019 - 2020,46,98,2.13,,,,,,,,,,,,
,,2020 - 2021,80,124,1.55,17,26,1.53,,,,,,,,,
,,2021 - 2022,43,73,1.7,8,13,1.63,,,,,,,,,
,,2022 - 2023,44,87,1.98,3,6,2,,,,,,,,,
,2. Chengalpattu,2019 - 2020,5,9,1.8,,,,,,,,,,,,
,,2020 - 2021,13,13,1,,,,,,,,,,,,
,,2021 - 2022,11,19,1.73,,,,,,,,,,,,
,,2022 - 2023,6,11,1.83,,,,,,,,,,,,
,3. Coimbatore,2003 - 2004,19,12,0.63,,,,,,,,,,,,
,,2004 - 2005,13,18,1.38,,,,,,,,,,,,
,,2005 - 2006,41,28,0.68,,,,,,,,,,,,
,,2006 - 2007,6,6,1,,,,,,,,,,,,
,,2007 - 2008,6,8,1.33,,,,,,,,,,,,
,,2008 - 2009,8,6,0.75,,,,,,,,,,,,
,,2009 - 2010,5,5,1,,,,,,,,,,,,
,,2011 - 2012,,,,,,,2,2,1,,,,,,
,,2014 - 2015,4,7,1.75,,,,,,,,,,,,
,,2015 - 2016,11,14,1.27,,,,,,,,,,,,
,,2016 - 2017,1,1,1,1,1,1,,,,,,,,,
,,2017 - 2018,4,5,1.25,,,,,,,,,,,,
,,2018 - 2019,35,21,0.6,,,,,,,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,,,,
,,2020 - 2021,2,3,1.5,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,4. Cuddalore,2003 - 2004,"2,158.00","2,177.00",1.01,,,,,,,,,,,,
,,2004 - 2005,"2,752.00","2,814.00",1.02,,,,,,,,,,,,
,,2005 - 2006,"2,807.00","2,837.00",1.01,,,,,,,,,,,,
,,2006 - 2007,"6,812.00","24,369.00",3.58,,,,,,,,,,,,
,,2007 - 2008,"2,467.00","3,894.00",1.58,,,,,,,,,,,,
,,2008 - 2009,"1,874.00","2,900.00",1.55,,,,,,,,,,,,
,,2009 - 2010,"3,277.00","5,643.00",1.72,,,,,,,,,,,,
,,2011 - 2012,,,,,,,"1,854.00","4,558.00",2.46,,,,,,
,,2013 - 2014,,,,,,,"1,568.00","3,018.00",1.92,,,,,,
,,2014 - 2015,909,"2,025.00",2.23,401,933,2.33,,,,,,,,,
,,2015 - 2016,"2,498.00","4,029.00",1.61,526,858,1.63,,,,,,,,,
,,2016 - 2017,"1,177.00",953,0.81,25,20,0.8,,,,,,,,,
,,2017 - 2018,"1,122.00","2,494.00",2.22,,,,,,,,,,,,
,,2018 - 2019,893,"1,864.00",2.09,,,,,,,,,,,,
,,2019 - 2020,818,"1,488.00",1.82,,,,,,,,,,,,
,,2020 - 2021,844,739,0.88,10,9,0.9,,,,,,,,,
,,2021 - 2022,"1,054.00","1,494.00",1.42,1,1,1,,,,,,,,,
,,2022 - 2023,913,"1,624.00",1.78,17,13,0.76,,,,,,,,,
,5. Dharmapuri,2003 - 2004,"25,066.00","9,668.00",0.39,,,,,,,,,,,,
,,2004 - 2005,"21,591.00","18,699.00",0.87,,,,,,,,,,,,
,,2005 - 2006,"13,231.00","10,604.00",0.8,,,,,,,,,,,,
,,2006 - 2007,"12,101.00","15,325.00",1.27,,,,,,,,,,,,
,,2007 - 2008,"12,015.00","14,039.00",1.17,,,,,,,,,,,,
,,2008 - 2009,"10,523.00","8,283.00",0.79,,,,,,,,,,,,
,,2009 - 2010,"11,444.00","9,624.00",0.84,,,,,,,,,,,,
,,2011 - 2012,,,,,,,"10,816.00","12,671.00",1.17,,,,,,
,,2013 - 2014,,,,,,,"12,678.00","13,901.00",1.1,,,,,,
,,2014 - 2015,"7,986.00","9,375.00",1.17,,,,,,,,,,,,
,,2015 - 2016,"7,649.00","7,899.00",1.03,,,,,,,,,,,,
,,2016 - 2017,"5,170.00","4,377.00",0.85,3,3,1,,,,,,,,,
,,2017 - 2018,"5,057.00","6,502.00",1.29,,,,,,,,,,,,
,,2018 - 2019,"3,341.00","5,155.00",1.54,,,,,,,,,,,,
,,2019 - 2020,"3,977.00","5,611.00",1.41,,,,,,,,,,,,
,,2020 - 2021,"4,515.00","5,620.00",1.24,,,,,,,,,,,,
,,2021 - 2022,"4,804.00","6,748.00",1.4,,,,,,,,,,,,
,,2022 - 2023,"4,868.00","6,099.00",1.25,,,,,,,,,,,,
,6. Dindigul,2002 - 2003,16,10,0.63,,,,,,,,,,,,
,,2003 - 2004,446,331,0.74,,,,,,,,,,,,
,,2004 - 2005,178,151,0.85,,,,,,,,,,,,
,,2005 - 2006,116,95,0.82,,,,,,,,,,,,
,,2006 - 2007,157,173,1.1,,,,,,,,,,,,
,,2007 - 2008,106,129,1.22,,,,,,,,,,,,
,,2008 - 2009,29,62,2.14,,,,,,,,,,,,
,,2009 - 2010,36,32,0.89,,,,,,,,,,,,
,,2011 - 2012,,,,,,,17,26,1.53,,,,,,
,,2013 - 2014,,,,,,,41,1,0.02,,,,,,
,,2014 - 2015,19,10,0.53,9,17,1.89,,,,,,,,,
,,2015 - 2016,8,2,0.25,25,36,1.44,,,,,,,,,
,,2016 - 2017,6,6,1,16,14,0.88,,,,,,,,,
,,2017 - 2018,13,14,1.08,7,7,1,,,,,,,,,
,,2018 - 2019,,,,6,11,1.83,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,,,,
,,2020 - 2021,2,3,1.5,6,7,1.17,,,,,,,,,
,,2021 - 2022,1,1,1,6,8,1.33,,,,,,,,,
,,2022 - 2023,,,,3,5,1.67,,,,,,,,,
,7. Erode,2002 - 2003,2,1,0.5,,,,,,,,,,,,
,,2003 - 2004,105,104,0.99,,,,,,,,,,,,
,,2004 - 2005,37,31,0.84,,,,,,,,,,,,
,,2005 - 2006,22,16,0.73,,,,,,,,,,,,
,,2006 - 2007,27,34,1.26,,,,,,,,,,,,
,,2007 - 2008,11,11,1,,,,,,,,,,,,
,,2008 - 2009,12,10,0.83,,,,,,,,,,,,
,,2009 - 2010,22,19,0.86,,,,,,,,,,,,
,,2011 - 2012,,,,,,,11,14,1.27,,,,,,
,,2013 - 2014,,,,,,,8,9,1.13,,,,,,
,,2014 - 2015,14,20,1.43,,,,,,,,,,,,
,,2015 - 2016,19,26,1.37,,,,,,,,,,,,
,,2016 - 2017,39,41,1.05,,,,,,,,,,,,
,,2017 - 2018,18,23,1.28,,,,,,,,,,,,
,,2018 - 2019,17,29,1.71,,,,,,,,,,,,
,,2019 - 2020,13,20,1.54,,,,,,,,,,,,
,,2020 - 2021,14,18,1.29,3,4,1.33,,,,,,,,,
,,2021 - 2022,27,39,1.44,3,4,1.33,,,,,,,,,
,,2022 - 2023,141,254,1.8,2,2,1,,,,,,,,,
,8. Kallakurichi,2019 - 2020,356,599,1.68,,,,,,,,,,,,
,,2020 - 2021,205,246,1.2,16,28,1.75,,,,,,,,,
,,2021 - 2022,333,381,1.14,5,6,1.2,,,,,,,,,
,,2022 - 2023,130,147,1.13,12,15,1.25,,,,,,,,,
,9. Kanchipuram,2013 - 2014,,,,,,,2,1,0.5,,,,,,
,,2017 - 2018,,,,4,,0,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
,10. Karur,2003 - 2004,1,1,1,,,,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,,,,
,,2008 - 2009,5,4,0.8,,,,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,,,,
,,2013 - 2014,,,,,,,2,2,1,,,,,,
,,2014 - 2015,40,59,1.48,16,29,1.81,,,,,,,,,
,,2015 - 2016,10,10,1,6,9,1.5,,,,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,,,,
,,2017 - 2018,4,5,1.25,1,2,2,,,,,,,,,
,11. Krishnagiri,2003 - 2004,"8,932.00","9,668.00",1.08,,,,,,,,,,,,
,,2004 - 2005,"2,995.00","2,292.00",0.77,,,,,,,,,,,,
,,2005 - 2006,"3,631.00","1,503.00",0.41,,,,,,,,,,,,
,,2006 - 2007,"2,632.00","2,171.00",0.82,,,,,,,,,,,,
,,2007 - 2008,"2,004.00","1,618.00",0.81,,,,,,,,,,,,
,,2008 - 2009,"1,566.00","1,166.00",0.74,,,,,,,,,,,,
,,2009 - 2010,"1,521.00","1,704.00",1.12,,,,,,,,,,,,
,,2011 - 2012,,,,,,,"1,327.00","2,548.00",1.92,,,,,,
,,2013 - 2014,,,,,,,"1,405.00","1,180.00",0.84,,,,,,
,,2014 - 2015,492,464,0.94,,,,,,,,,,,,
,,2015 - 2016,672,808,1.2,17,20,1.18,,,,,,,,,
,,2016 - 2017,702,743,1.06,2,2,1,,,,,,,,,
,,2017 - 2018,"1,076.00","1,151.00",1.07,13,14,1.08,,,,,,,,,
,,2018 - 2019,353,595,1.69,,,,,,,,,,,,
,,2019 - 2020,382,460,1.2,,,,,,,,,,,,
,,2020 - 2021,473,473,1,,,,,,,,,,,,
,,2021 - 2022,326,301,0.92,28,26,0.93,,,,,,,,,
,,2022 - 2023,282,293,1.04,25,31,1.24,,,,,,,,,
,12. Madurai,2002 - 2003,"4,255.00","2,422.00",0.57,,,,,,,,,,,,
,,2003 - 2004,"3,846.00",256,0.07,,,,,,,,,,,,
,,2004 - 2005,"3,983.00","2,470.00",0.62,,,,,,,,,,,,
,,2005 - 2006,"3,258.00","2,029.00",0.62,,,,,,,,,,,,
,,2006 - 2007,"4,076.00","2,458.00",0.6,,,,,,,,,,,,
,,2007 - 2008,"4,210.00","2,517.00",0.6,,,,,,,,,,,,
,,2008 - 2009,"2,645.00","1,632.00",0.62,,,,,,,,,,,,
,,2009 - 2010,"1,855.00","1,153.00",0.62,,,,,,,,,,,,
,,2011 - 2012,,,,,,,"2,105.00","1,295.00",0.62,,,,,,
,,2013 - 2014,,,,,,,"2,354.00","1,419.00",0.6,,,,,,
,,2014 - 2015,170,253,1.49,3,6,2,,,,,,,,,
,,2015 - 2016,175,285,1.63,1,1,1,,,,,,,,,
,,2016 - 2017,201,110,0.55,29,7,0.24,,,,,,,,,
,,2017 - 2018,183,167,0.91,11,9,0.82,,,,,,,,,
,,2018 - 2019,78,105,1.35,4,6,1.5,,,,,,,,,
,,2019 - 2020,62,130,2.1,,,,,,,,,,,,
,,2020 - 2021,640,750,1.17,53,63,1.19,,,,,,,,,
,,2021 - 2022,249,365,1.47,226,347,1.54,,,,,,,,,
,,2022 - 2023,164,265,1.62,80,144,1.8,,,,,,,,,
,13. Nagapattinam,2008 - 2009,1,,0,,,,,,,,,,,,
,,2013 - 2014,,,,,,,1,,0,,,,,,
,14. Namakkal,2002 - 2003,192,114,0.59,,,,,,,,,,,,
,,2003 - 2004,463,235,0.51,,,,,,,,,,,,
,,2004 - 2005,373,250,0.67,,,,,,,,,,,,
,,2005 - 2006,415,277,0.67,,,,,,,,,,,,
,,2006 - 2007,715,315,0.44,,,,,,,,,,,,
,,2007 - 2008,447,383,0.86,,,,,,,,,,,,
,,2008 - 2009,339,268,0.79,,,,,,,,,,,,
,,2009 - 2010,296,246,0.83,,,,,,,,,,,,
,,2011 - 2012,,,,,,,277,305,1.1,,,,,,
,,2013 - 2014,,,,,,,213,221,1.04,,,,,,
,,2014 - 2015,315,289,0.92,39,57,1.46,,,,,,,,,
,,2015 - 2016,220,297,1.35,64,88,1.38,,,,,,,,,
,,2016 - 2017,115,122,1.06,81,85,1.05,,,,,,,,,
,,2017 - 2018,304,353,1.16,333,367,1.1,,,,,,,,,
,,2018 - 2019,319,432,1.35,137,228,1.66,,,,,,,,,
,,2019 - 2020,443,545,1.23,,,,,,,,,,,,
,,2020 - 2021,406,372,0.92,142,189,1.33,,,,,,,,,
,,2021 - 2022,296,265,0.9,122,159,1.3,,,,,,,,,
,,2022 - 2023,256,238,0.93,169,181,1.07,,,,,,,,,
