State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,"1,573.00","1,573.00",1,,,,,,,,,,,,
,,2013 - 2014,"1,580.00",909,0.58,,,,,,,,,,,,
,,2014 - 2015,"1,797.00","1,121.00",0.62,,,,,,,,,,,,
,,2015 - 2016,"1,822.00","1,145.00",0.63,,,,,,,,,,,,
,,2016 - 2017,"1,822.00","1,119.00",0.61,,,,,,,,,,,,
,,2017 - 2018,"1,835.00","1,134.00",0.62,,,,,,,,,,,,
,,2018 - 2019,"1,835.00","1,138.00",0.62,,,,,,,,,,,,
,,2019 - 2020,"1,835.00","1,140.00",0.62,,,,,,,,,,,,
,,2020 - 2021,"1,837.00","1,148.00",0.62,,,,,,,,,,,,
,,2022 - 2023,"1,869.00","1,224.00",0.65,,,,,,,,,,,,
,3. Dibang valley,2000 - 2001,"1,350.00",920,0.68,,,,,,,,,,,,
,,2001 - 2002,"4,000.00","2,950.00",0.74,,,,,,,,,,,,
,,2002 - 2003,233,174,0.75,,,,,,,,,,,,
,,2003 - 2004,240,204,0.85,,,,,,,,,,,,
,,2004 - 2005,285,200,0.7,,,,,,,,,,,,
,,2005 - 2006,300,240,0.8,,,,,,,,,,,,
,,2006 - 2007,350,280,0.8,,,,,,,,,,,,
,,2007 - 2008,321,228,0.71,,,,,,,,,,,,
,,2008 - 2009,350,255,0.73,,,,,,,,,,,,
,,2009 - 2010,350,255,0.73,,,,,,,,,,,,
,,2010 - 2011,750,750,1,,,,,,,,,,,,
,,2011 - 2012,706,823,1.17,,,,,,,,,,,,
