State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,"17,730.00","12,045.00",0.68,,,,,,,,,
,,2016 - 2017,"18,365.00","12,281.00",0.67,,,,,,,,,
,,2017 - 2018,"18,983.00","13,160.00",0.69,,,,,,,,,
,,2018 - 2019,"18,960.00","12,159.00",0.64,,,,,,,,,
,,2019 - 2020,"19,365.00","13,416.00",0.69,,,,,,,,,
,,2020 - 2021,"18,978.00","13,189.00",0.69,,,,,,,,,
,,2021 - 2022,"19,794.00","12,849.00",0.65,,,,,,,,,
,,2022 - 2023,"20,159.00","14,793.00",0.73,,,,,,,,,
,3. Biswanath,2020 - 2021,"6,212.00","2,754.00",0.44,,,,,,,,,
,,2021 - 2022,"5,654.00","2,214.00",0.39,,,,,,,,,
,,2022 - 2023,"6,185.00","4,129.00",0.67,,,,,,,,,
,4. Bongaigaon,2000 - 2001,"15,429.00","8,534.00",0.55,,,,,,,,,
,,2001 - 2002,"15,360.00","9,794.00",0.64,,,,,,,,,
,,2002 - 2003,"13,987.00","8,441.00",0.6,,,,,,,,,
,,2003 - 2004,"13,300.00","7,054.00",0.53,,,,,,,,,
,,2004 - 2005,"13,343.00","9,215.00",0.69,,,,,,,,,
,,2005 - 2006,"8,782.00","4,402.00",0.5,,,,,,,,,
,,2006 - 2007,"6,765.00","4,558.00",0.67,,,,,,,,,
,,2007 - 2008,"7,050.00","3,320.00",0.47,,,,,,,,,
,,2008 - 2009,"6,784.00","4,322.00",0.64,,,,,,,,,
,,2009 - 2010,"7,026.00","4,156.00",0.59,,,,,,,,,
,,2010 - 2011,"6,962.00","4,640.00",0.67,,,,,,,,,
,,2011 - 2012,"7,211.00","4,978.00",0.69,,,,,,,,,
,,2012 - 2013,"7,495.00","4,299.00",0.57,,,,,,,,,
,,2013 - 2014,"7,320.00","4,603.00",0.63,,,,,,,,,
,,2014 - 2015,"7,050.00","4,002.00",0.57,,,,,,,,,
,,2015 - 2016,"7,090.00","3,290.00",0.46,,,,,,,,,
,,2016 - 2017,"7,311.00","3,772.00",0.52,,,,,,,,,
,,2017 - 2018,"7,147.00","3,688.00",0.52,,,,,,,,,
,,2018 - 2019,"7,187.00","3,887.00",0.54,,,,,,,,,
,,2019 - 2020,"7,143.00","4,572.00",0.64,,,,,,,,,
,,2020 - 2021,"7,187.00","4,124.00",0.57,,,,,,,,,
,,2021 - 2022,"6,788.00","4,449.00",0.66,,,,,,,,,
,,2022 - 2023,"6,718.00","5,158.00",0.77,,,,,,,,,
,5. Cachar,2000 - 2001,"1,597.00",993,0.62,,,,,,,,,
,,2001 - 2002,"1,620.00",750,0.46,,,,,,,,,
,,2002 - 2003,"1,600.00",654,0.41,,,,,,,,,
,,2003 - 2004,"1,675.00","1,446.00",0.86,,,,,,,,,
,,2004 - 2005,"1,982.00","1,135.00",0.57,,,,,,,,,
,,2005 - 2006,"2,867.00","1,656.00",0.58,,,,,,,,,
,,2006 - 2007,"1,929.00","1,101.00",0.57,,,,,,,,,
,,2007 - 2008,"2,065.00","1,091.00",0.53,,,,,,,,,
,,2008 - 2009,"2,012.00","1,341.00",0.67,,,,,,,,,
,,2009 - 2010,"1,955.00","1,297.00",0.66,,,,,,,,,
,,2010 - 2011,"1,871.00","1,250.00",0.67,,,,,,,,,
,,2011 - 2012,"1,657.00",896,0.54,,,,,,,,,
,,2012 - 2013,"1,582.00",930,0.59,,,,,,,,,
,,2013 - 2014,"1,620.00",863,0.53,,,,,,,,,
,,2014 - 2015,"1,725.00","1,133.00",0.66,,,,,,,,,
,,2015 - 2016,"1,630.00",481,0.3,,,,,,,,,
,,2016 - 2017,"1,759.00",691,0.39,,,,,,,,,
,,2017 - 2018,"1,781.00",764,0.43,,,,,,,,,
,,2018 - 2019,"1,732.00",974,0.56,,,,,,,,,
,,2019 - 2020,"1,734.00",381,0.22,,,,,,,,,
,,2020 - 2021,"1,816.00","1,303.00",0.72,,,,,,,,,
,,2021 - 2022,"1,634.00",554,0.34,,,,,,,,,
,,2022 - 2023,"1,670.00","1,311.00",0.79,,,,,,,,,
