State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,"14,049.00","11,420.00",0.81,,,,,,,,,
,,2015 - 2016,"14,323.00","16,515.00",1.15,,,,,,,,,
,,2016 - 2017,"13,591.00","18,185.00",1.34,,,,,,,,,
,,2017 - 2018,"13,511.00","15,536.00",1.15,,,,,,,,,
,,2018 - 2019,"15,314.00","21,611.00",1.41,,,,,,,,,
,,2019 - 2020,"14,127.00","19,130.00",1.35,,,,,,,,,
,,2020 - 2021,"14,030.00","11,540.00",0.82,,,,,,,,,
,,2021 - 2022,"18,637.00","26,148.00",1.4,,,,,,,,,
,,2022 - 2023,"44,019.00","67,393.00",1.53,,,,,,,,,
,44. Kasganj,2009 - 2010,"10,301.00","16,945.00",1.64,,,,,,,,,
,,2010 - 2011,"8,223.00","12,565.00",1.53,,,,,,,,,
,,2011 - 2012,"8,370.00","14,974.00",1.79,,,,,,,,,
,,2012 - 2013,"8,106.00","15,985.00",1.97,,,,,,,,,
,,2013 - 2014,"9,685.00","15,008.00",1.55,,,,,,,,,
,,2014 - 2015,"9,210.00","13,465.00",1.46,,,,,,,,,
,,2015 - 2016,"8,997.00","16,204.00",1.8,,,,,,,,,
,,2016 - 2017,"10,284.00","18,388.00",1.79,,,,,,,,,
,,2017 - 2018,"11,739.00","24,781.00",2.11,,,,,,,,,
,,2018 - 2019,"10,056.00","20,454.00",2.03,,,,,,,,,
,,2019 - 2020,"10,137.00","19,108.00",1.88,,,,,,,,,
,,2020 - 2021,"10,021.00","24,301.00",2.43,,,,,,,,,
,,2021 - 2022,"12,803.00","28,128.00",2.2,,,,,,,,,
,,2022 - 2023,"12,421.00","24,842.00",2,,,,,,,,,
,45. Kaushambi,2000 - 2001,809,628,0.78,,,,,,,,,
,,2001 - 2002,"1,242.00","1,174.00",0.95,,,,,,,,,
,,2002 - 2003,"1,205.00",886,0.74,,,,,,,,,
,,2003 - 2004,"1,154.00",725,0.63,,,,,,,,,
,,2004 - 2005,"1,405.00","1,045.00",0.74,,,,,,,,,
,,2005 - 2006,"1,536.00","1,291.00",0.84,,,,,,,,,
,,2006 - 2007,"1,308.00",821,0.63,,,,,,,,,
,,2007 - 2008,"1,900.00","1,540.00",0.81,,,,,,,,,
,,2008 - 2009,"1,918.00","1,717.00",0.9,,,,,,,,,
,,2009 - 2010,"1,489.00","1,371.00",0.92,,,,,,,,,
,,2010 - 2011,"1,704.00","1,609.00",0.94,,,,,,,,,
,,2011 - 2012,"2,073.00","1,942.00",0.94,,,,,,,,,
,,2012 - 2013,"1,572.00","1,582.00",1.01,,,,,,,,,
,,2013 - 2014,"1,828.00","1,488.00",0.81,,,,,,,,,
,,2014 - 2015,"1,807.00",744,0.41,,,,,,,,,
,,2015 - 2016,"1,902.00","1,502.00",0.79,,,,,,,,,
,,2016 - 2017,"1,574.00","1,760.00",1.12,,,,,,,,,
,,2017 - 2018,"1,633.00","2,380.00",1.46,,,,,,,,,
,,2018 - 2019,"4,469.00","5,185.00",1.16,,,,,,,,,
,,2019 - 2020,"1,665.00","1,938.00",1.16,,,,,,,,,
,,2020 - 2021,"1,607.00","2,756.00",1.71,,,,,,,,,
,,2021 - 2022,"2,180.00","2,564.00",1.18,,,,,,,,,
,,2022 - 2023,"4,671.00","6,348.00",1.36,,,,,,,,,
,46. Kheri,2000 - 2001,"32,382.00","22,820.00",0.7,,,,,,,,,
,,2001 - 2002,"31,919.00","22,224.00",0.7,,,,,,,,,
,,2002 - 2003,"29,894.00","17,266.00",0.58,,,,,,,,,
,,2003 - 2004,"30,266.00","20,255.00",0.67,,,,,,,,,
,,2004 - 2005,"29,700.00","17,826.00",0.6,,,,,,,,,
,,2005 - 2006,"32,504.00","25,983.00",0.8,,,,,,,,,
,,2006 - 2007,"29,700.00","24,362.00",0.82,,,,,,,,,
,,2007 - 2008,"31,845.00","28,230.00",0.89,,,,,,,,,
,,2008 - 2009,"40,698.00","35,982.00",0.88,,,,,,,,,
,,2009 - 2010,"32,559.00","25,369.00",0.78,,,,,,,,,
,,2010 - 2011,"30,715.00","28,258.00",0.92,,,,,,,,,
,,2011 - 2012,"32,317.00","26,536.00",0.82,,,,,,,,,
,,2012 - 2013,"32,273.00","27,171.00",0.84,,,,,,,,,
,,2013 - 2014,"28,322.00","21,147.00",0.75,,,,,,,,,
,,2014 - 2015,"29,860.00","20,674.00",0.69,,,,,,,,,
,,2015 - 2016,"28,829.00","24,694.00",0.86,,,,,,,,,
,,2016 - 2017,"25,225.00","22,233.00",0.88,,,,,,,,,
,,2017 - 2018,"27,064.00","25,039.00",0.93,,,,,,,,,
,,2018 - 2019,"28,426.00","28,341.00",1,,,,,,,,,
,,2019 - 2020,"28,687.00","26,825.00",0.94,,,,,,,,,
,,2020 - 2021,"27,163.00","27,197.00",1,,,,,,,,,
,,2021 - 2022,"34,092.00","30,478.00",0.89,,,,,,,,,
,,2022 - 2023,"38,360.00","40,048.00",1.04,,,,,,,,,
,47. Kushi nagar,2000 - 2001,"10,261.00","7,376.00",0.72,,,,,,,,,
,,2001 - 2002,"9,732.00","6,417.00",0.66,,,,,,,,,
,,2002 - 2003,"8,819.00","5,782.00",0.66,,,,,,,,,
,,2003 - 2004,"9,365.00","7,516.00",0.8,,,,,,,,,
,,2004 - 2005,"9,907.00","7,503.00",0.76,,,,,,,,,
,,2005 - 2006,"9,469.00","6,704.00",0.71,,,,,,,,,
,,2006 - 2007,"10,368.00","7,538.00",0.73,,,,,,,,,
,,2007 - 2008,"9,600.00","7,422.00",0.77,,,,,,,,,
,,2008 - 2009,"9,688.00","6,033.00",0.62,,,,,,,,,
,,2009 - 2010,"9,577.00","7,390.00",0.77,,,,,,,,,
,,2010 - 2011,"9,847.00","7,499.00",0.76,,,,,,,,,
,,2011 - 2012,"9,818.00","9,111.00",0.93,,,,,,,,,
,,2012 - 2013,"10,245.00","8,001.00",0.78,,,,,,,,,
,,2013 - 2014,"9,483.00","6,614.00",0.7,,,,,,,,,
,,2014 - 2015,"9,696.00","5,024.00",0.52,,,,,,,,,
,,2015 - 2016,"7,258.00","5,227.00",0.72,,,,,,,,,
,,2016 - 2017,"9,874.00","7,328.00",0.74,,,,,,,,,
,,2017 - 2018,"10,247.00","8,912.00",0.87,,,,,,,,,
,,2018 - 2019,"10,116.00","5,916.00",0.58,,,,,,,,,
,,2019 - 2020,"9,693.00","6,940.00",0.72,,,,,,,,,
,,2020 - 2021,"9,843.00","6,504.00",0.66,,,,,,,,,
,,2021 - 2022,"11,990.00","13,213.00",1.1,,,,,,,,,
,,2022 - 2023,"11,830.00","11,144.00",0.94,,,,,,,,,
,48. Lalitpur,2000 - 2001,478,252,0.53,,,,,,,,,
,,2001 - 2002,427,356,0.83,,,,,,,,,
,,2002 - 2003,329,190,0.58,,,,,,,,,
,,2003 - 2004,682,539,0.79,,,,,,,,,
,,2004 - 2005,"2,948.00","2,197.00",0.75,,,,,,,,,
,,2005 - 2006,860,533,0.62,,,,,,,,,
,,2006 - 2007,"2,901.00","1,596.00",0.55,,,,,,,,,
,,2007 - 2008,750,314,0.42,,,,,,,,,
,,2008 - 2009,"4,255.00","3,716.00",0.87,,,,,,,,,
,,2009 - 2010,"6,963.00","4,554.00",0.65,,,,,,,,,
,,2010 - 2011,"8,609.00","5,062.00",0.59,,,,,,,,,
,,2011 - 2012,"7,211.00","4,500.00",0.62,,,,,,,,,
,,2012 - 2013,"5,898.00","4,347.00",0.74,,,,,,,,,
,,2013 - 2014,"5,586.00","2,307.00",0.41,,,,,,,,,
,,2014 - 2015,"4,598.00","1,830.00",0.4,,,,,,,,,
,,2015 - 2016,"2,215.00",888,0.4,,,,,,,,,
,,2016 - 2017,"7,737.00","5,540.00",0.72,,,,,,,,,
,,2017 - 2018,"7,957.00","4,599.00",0.58,,,,,,,,,
,,2018 - 2019,"5,321.00","4,188.00",0.79,,,,,,,,,
,,2019 - 2020,"5,287.00","4,097.00",0.77,,,,,,,,,
,,2020 - 2021,"5,287.00","3,484.00",0.66,,,,,,,,,
,,2021 - 2022,"6,539.00","5,009.00",0.77,,,,,,,,,
,,2022 - 2023,"40,545.00","36,977.00",0.91,,,,,,,,,
,49. Lucknow,2000 - 2001,"3,305.00","2,652.00",0.8,,,,,,,,,
,,2001 - 2002,"3,321.00","1,893.00",0.57,,,,,,,,,
,,2002 - 2003,"2,914.00","2,001.00",0.69,,,,,,,,,
,,2003 - 2004,"2,965.00","1,939.00",0.65,,,,,,,,,
,,2004 - 2005,"2,894.00","2,141.00",0.74,,,,,,,,,
,,2005 - 2006,"2,806.00","2,242.00",0.8,,,,,,,,,
,,2006 - 2007,"3,399.00","2,691.00",0.79,,,,,,,,,
,,2007 - 2008,"1,662.00","1,591.00",0.96,,,,,,,,,
,,2008 - 2009,"3,104.00","2,773.00",0.89,,,,,,,,,
,,2009 - 2010,"3,205.00","2,731.00",0.85,,,,,,,,,
,,2010 - 2011,"3,446.00","3,195.00",0.93,,,,,,,,,
,,2011 - 2012,"3,361.00","2,827.00",0.84,,,,,,,,,
,,2012 - 2013,"3,457.00","3,558.00",1.03,,,,,,,,,
,,2013 - 2014,"4,641.00","2,414.00",0.52,,,,,,,,,
,,2014 - 2015,"3,844.00","1,616.00",0.42,,,,,,,,,
,,2015 - 2016,"3,998.00","2,969.00",0.74,,,,,,,,,
,,2016 - 2017,"4,714.00","4,742.00",1.01,,,,,,,,,
,,2017 - 2018,"4,086.00","4,748.00",1.16,,,,,,,,,
,,2018 - 2019,"5,721.00","5,394.00",0.94,,,,,,,,,
,,2019 - 2020,"3,142.00","1,616.00",0.51,,,,,,,,,
,,2020 - 2021,"3,879.00","4,215.00",1.09,,,,,,,,,
,,2021 - 2022,"4,994.00","6,527.00",1.31,,,,,,,,,
,,2022 - 2023,"3,035.00","2,650.00",0.87,,,,,,,,,
,50. Maharajganj,2000 - 2001,"4,944.00","3,169.00",0.64,,,,,,,,,
,,2001 - 2002,"5,176.00","3,476.00",0.67,,,,,,,,,
,,2002 - 2003,"4,466.00","2,367.00",0.53,,,,,,,,,
,,2003 - 2004,"4,454.00","4,176.00",0.94,,,,,,,,,
,,2004 - 2005,"4,879.00","2,715.00",0.56,,,,,,,,,
,,2005 - 2006,"3,286.00","1,415.00",0.43,,,,,,,,,
,,2006 - 2007,"5,301.00","2,258.00",0.43,,,,,,,,,
,,2007 - 2008,"4,292.00","2,522.00",0.59,,,,,,,,,
,,2008 - 2009,"3,462.00","2,160.00",0.62,,,,,,,,,
,,2009 - 2010,"3,547.00","2,666.00",0.75,,,,,,,,,
,,2010 - 2011,"3,228.00","2,498.00",0.77,,,,,,,,,
,,2011 - 2012,"3,506.00","2,458.00",0.7,,,,,,,,,
,,2012 - 2013,"3,124.00","2,075.00",0.66,,,,,,,,,
,,2013 - 2014,"3,511.00","2,500.00",0.71,,,,,,,,,
,,2014 - 2015,"3,409.00","1,510.00",0.44,,,,,,,,,
,,2015 - 2016,"3,085.00","1,669.00",0.54,,,,,,,,,
,,2016 - 2017,"3,457.00","2,584.00",0.75,,,,,,,,,
,,2017 - 2018,"3,112.00","3,644.00",1.17,,,,,,,,,
,,2018 - 2019,"3,273.00","3,675.00",1.12,,,,,,,,,
,,2019 - 2020,"5,466.00","3,160.00",0.58,,,,,,,,,
,,2020 - 2021,"4,364.00","5,603.00",1.28,,,,,,,,,
,,2021 - 2022,"3,941.00","4,402.00",1.12,,,,,,,,,
,,2022 - 2023,"16,931.00","15,712.00",0.93,,,,,,,,,
,51. Mahoba,2000 - 2001,"2,753.00","1,280.00",0.46,,,,,,,,,
,,2001 - 2002,"2,977.00","1,061.00",0.36,,,,,,,,,
,,2002 - 2003,"2,711.00",878,0.32,,,,,,,,,
,,2003 - 2004,"2,138.00",961,0.45,,,,,,,,,
,,2004 - 2005,"3,241.00","1,309.00",0.4,,,,,,,,,
,,2005 - 2006,"1,824.00",629,0.34,,,,,,,,,
,,2006 - 2007,"3,092.00","1,159.00",0.37,,,,,,,,,
,,2007 - 2008,"2,959.00",906,0.31,,,,,,,,,
,,2008 - 2009,"2,692.00","1,834.00",0.68,,,,,,,,,
,,2009 - 2010,"4,211.00","1,668.00",0.4,,,,,,,,,
,,2010 - 2011,"5,191.00","2,935.00",0.57,,,,,,,,,
,,2011 - 2012,"6,099.00","2,574.00",0.42,,,,,,,,,
,,2012 - 2013,"5,575.00","2,459.00",0.44,,,,,,,,,
,,2013 - 2014,"6,871.00","1,477.00",0.21,,,,,,,,,
,,2014 - 2015,"5,736.00",741,0.13,,,,,,,,,
,,2015 - 2016,"3,125.00",251,0.08,,,,,,,,,
,,2016 - 2017,"7,754.00","6,607.00",0.85,,,,,,,,,
,,2017 - 2018,"8,910.00","3,780.00",0.42,,,,,,,,,
,,2018 - 2019,"6,098.00","3,447.00",0.57,,,,,,,,,
,,2019 - 2020,"7,224.00","6,790.00",0.94,,,,,,,,,
,,2020 - 2021,"6,475.00","4,384.00",0.68,,,,,,,,,
,,2021 - 2022,"7,574.00","5,059.00",0.67,,,,,,,,,
,,2022 - 2023,"10,627.00","10,096.00",0.95,,,,,,,,,
,52. Mainpuri,2000 - 2001,"8,867.00","10,871.00",1.23,,,,,,,,,
,,2001 - 2002,"8,355.00","10,009.00",1.2,,,,,,,,,
,,2002 - 2003,"8,792.00","10,137.00",1.15,,,,,,,,,
,,2003 - 2004,"8,937.00","9,384.00",1.05,,,,,,,,,
,,2004 - 2005,"7,962.00","9,594.00",1.2,,,,,,,,,
,,2005 - 2006,"8,937.00","10,998.00",1.23,,,,,,,,,
,,2006 - 2007,"8,624.00","10,767.00",1.25,,,,,,,,,
,,2007 - 2008,"9,905.00","15,836.00",1.6,,,,,,,,,
,,2008 - 2009,"8,567.00","13,472.00",1.57,,,,,,,,,
,,2009 - 2010,"9,718.00","15,136.00",1.56,,,,,,,,,
,,2010 - 2011,"7,054.00","10,823.00",1.53,,,,,,,,,
,,2011 - 2012,"9,158.00","13,913.00",1.52,,,,,,,,,
,,2012 - 2013,"8,231.00","13,744.00",1.67,,,,,,,,,
,,2013 - 2014,"7,197.00","11,497.00",1.6,,,,,,,,,
,,2014 - 2015,"6,137.00","10,727.00",1.75,,,,,,,,,
,,2015 - 2016,"6,890.00","11,493.00",1.67,,,,,,,,,
,,2016 - 2017,"7,374.00","14,719.00",2,,,,,,,,,
,,2017 - 2018,"7,046.00","14,148.00",2.01,,,,,,,,,
,,2018 - 2019,"7,858.00","15,158.00",1.93,,,,,,,,,
,,2019 - 2020,"14,325.00","27,031.00",1.89,,,,,,,,,
,,2020 - 2021,"7,964.00","16,756.00",2.1,,,,,,,,,
,,2021 - 2022,"9,388.00","16,251.00",1.73,,,,,,,,,
,,2022 - 2023,"27,640.00","49,807.00",1.8,,,,,,,,,
,53. Mathura,2000 - 2001,"18,311.00","21,537.00",1.18,,,,,,,,,
,,2001 - 2002,"33,313.00","46,610.00",1.4,,,,,,,,,
,,2002 - 2003,"44,296.00","51,899.00",1.17,,,,,,,,,
,,2003 - 2004,"36,897.00","50,795.00",1.38,,,,,,,,,
,,2004 - 2005,"49,141.00","58,670.00",1.19,,,,,,,,,
,,2005 - 2006,"41,847.00","65,950.00",1.58,,,,,,,,,
,,2006 - 2007,"49,137.00","81,173.00",1.65,,,,,,,,,
,,2007 - 2008,"52,659.00","86,990.00",1.65,,,,,,,,,
,,2008 - 2009,"43,905.00","78,805.00",1.79,,,,,,,,,
,,2009 - 2010,"42,570.00","69,095.00",1.62,,,,,,,,,
,,2010 - 2011,"46,861.00","85,053.00",1.82,,,,,,,,,
,,2011 - 2012,"45,358.00","77,215.00",1.7,,,,,,,,,
,,2012 - 2013,"48,588.00","83,700.00",1.72,,,,,,,,,
,,2013 - 2014,"43,331.00","65,798.00",1.52,,,,,,,,,
,,2014 - 2015,"39,052.00","45,650.00",1.17,,,,,,,,,
,,2015 - 2016,"39,766.00","62,313.00",1.57,,,,,,,,,
,,2016 - 2017,"46,294.00","84,625.00",1.83,,,,,,,,,
,,2017 - 2018,"45,267.00","88,769.00",1.96,,,,,,,,,
,,2018 - 2019,"52,614.00","1,14,699.00",2.18,,,,,,,,,
,,2019 - 2020,"43,247.00","68,374.00",1.58,,,,,,,,,
,,2020 - 2021,"45,346.00","93,050.00",2.05,,,,,,,,,
,,2021 - 2022,"60,738.00","95,723.00",1.58,,,,,,,,,
,,2022 - 2023,"50,228.00","95,986.00",1.91,,,,,,,,,
,54. Mau,2000 - 2001,88,88,1,,,,,,,,,
,,2001 - 2002,134,137,1.02,,,,,,,,,
,,2002 - 2003,106,95,0.9,,,,,,,,,
,,2003 - 2004,137,137,1,,,,,,,,,
,,2004 - 2005,112,111,0.99,,,,,,,,,
,,2005 - 2006,164,190,1.16,,,,,,,,,
,,2006 - 2007,100,103,1.03,,,,,,,,,
,,2007 - 2008,104,120,1.15,,,,,,,,,
,,2008 - 2009,134,151,1.13,,,,,,,,,
,,2009 - 2010,134,150,1.12,,,,,,,,,
,,2010 - 2011,135,161,1.19,,,,,,,,,
,,2011 - 2012,139,159,1.14,,,,,,,,,
,,2012 - 2013,183,231,1.26,,,,,,,,,
,,2013 - 2014,206,209,1.01,,,,,,,,,
,,2014 - 2015,182,142,0.78,,,,,,,,,
,,2015 - 2016,352,360,1.02,,,,,,,,,
,,2016 - 2017,212,265,1.25,,,,,,,,,
,,2017 - 2018,207,290,1.4,,,,,,,,,
,,2018 - 2019,212,316,1.49,,,,,,,,,
,,2019 - 2020,210,266,1.27,,,,,,,,,
,,2020 - 2021,210,304,1.45,,,,,,,,,
,,2021 - 2022,254,347,1.37,,,,,,,,,
,,2022 - 2023,241,361,1.5,,,,,,,,,
,55. Meerut,2000 - 2001,"2,626.00","3,219.00",1.23,,,,,,,,,
,,2001 - 2002,"2,673.00","3,170.00",1.19,,,,,,,,,
,,2002 - 2003,"2,595.00","2,680.00",1.03,,,,,,,,,
,,2003 - 2004,"2,841.00","2,422.00",0.85,,,,,,,,,
,,2004 - 2005,"3,699.00","4,798.00",1.3,,,,,,,,,
,,2005 - 2006,"3,156.00","3,907.00",1.24,,,,,,,,,
,,2006 - 2007,"4,596.00","4,534.00",0.99,,,,,,,,,
,,2007 - 2008,"3,660.00","4,892.00",1.34,,,,,,,,,
,,2008 - 2009,"3,714.00","4,105.00",1.11,,,,,,,,,
,,2009 - 2010,"4,118.00","5,392.00",1.31,,,,,,,,,
,,2010 - 2011,"4,067.00","4,859.00",1.19,,,,,,,,,
,,2011 - 2012,"3,850.00","4,501.00",1.17,,,,,,,,,
,,2012 - 2013,"4,795.00","6,339.00",1.32,,,,,,,,,
,,2013 - 2014,"4,872.00","7,268.00",1.49,,,,,,,,,
,,2014 - 2015,"5,283.00","5,130.00",0.97,,,,,,,,,
,,2015 - 2016,"6,263.00","6,699.00",1.07,,,,,,,,,
,,2016 - 2017,"4,964.00","6,953.00",1.4,,,,,,,,,
,,2017 - 2018,"5,250.00","7,452.00",1.42,,,,,,,,,
,,2018 - 2019,"5,998.00","8,382.00",1.4,,,,,,,,,
,,2019 - 2020,"4,972.00","7,098.00",1.43,,,,,,,,,
,,2020 - 2021,"5,670.00","8,682.00",1.53,,,,,,,,,
,,2021 - 2022,"7,304.00","10,131.00",1.39,,,,,,,,,
,,2022 - 2023,"2,741.00","4,501.00",1.64,,,,,,,,,
,56. Mirzapur,2000 - 2001,"3,925.00","1,117.00",0.28,,,,,,,,,
,,2001 - 2002,"3,504.00","1,710.00",0.49,,,,,,,,,
,,2002 - 2003,"3,396.00","1,878.00",0.55,,,,,,,,,
,,2003 - 2004,"3,350.00","2,121.00",0.63,,,,,,,,,
,,2004 - 2005,"2,437.00","1,709.00",0.7,,,,,,,,,
,,2005 - 2006,"2,941.00","1,335.00",0.45,,,,,,,,,
,,2006 - 2007,"2,535.00","1,420.00",0.56,,,,,,,,,
,,2007 - 2008,"2,922.00","1,304.00",0.45,,,,,,,,,
,,2008 - 2009,"2,474.00","1,450.00",0.59,,,,,,,,,
,,2009 - 2010,"2,571.00","1,670.00",0.65,,,,,,,,,
,,2010 - 2011,"2,521.00","1,366.00",0.54,,,,,,,,,
,,2011 - 2012,"2,461.00","1,526.00",0.62,,,,,,,,,
,,2012 - 2013,"2,399.00","1,307.00",0.54,,,,,,,,,
,,2013 - 2014,"2,695.00","2,151.00",0.8,,,,,,,,,
,,2014 - 2015,"2,458.00","1,551.00",0.63,,,,,,,,,
,,2015 - 2016,"2,381.00","1,198.00",0.5,,,,,,,,,
,,2016 - 2017,"2,519.00","1,851.00",0.73,,,,,,,,,
,,2017 - 2018,"2,241.00","1,710.00",0.76,,,,,,,,,
,,2018 - 2019,"2,685.00","2,265.00",0.84,,,,,,,,,
,,2019 - 2020,"2,471.00","1,992.00",0.81,,,,,,,,,
,,2020 - 2021,"2,425.00","2,046.00",0.84,,,,,,,,,
,,2021 - 2022,"3,036.00","2,845.00",0.94,,,,,,,,,
,,2022 - 2023,"3,416.00","4,202.00",1.23,,,,,,,,,
,57. Moradabad,2000 - 2001,"7,857.00","7,427.00",0.95,,,,,,,,,
,,2001 - 2002,"8,550.00","8,710.00",1.02,,,,,,,,,
,,2002 - 2003,"7,681.00","6,911.00",0.9,,,,,,,,,
,,2003 - 2004,"6,861.00","6,679.00",0.97,,,,,,,,,
,,2004 - 2005,"7,973.00","7,955.00",1,,,,,,,,,
,,2005 - 2006,"7,095.00","8,895.00",1.25,,,,,,,,,
,,2006 - 2007,"6,258.00","6,900.00",1.1,,,,,,,,,
,,2007 - 2008,"10,235.00","12,375.00",1.21,,,,,,,,,
,,2008 - 2009,"10,400.00","11,220.00",1.08,,,,,,,,,
,,2009 - 2010,"6,319.00","7,144.00",1.13,,,,,,,,,
,,2010 - 2011,"8,477.00","9,672.00",1.14,,,,,,,,,
,,2011 - 2012,"10,424.00","11,913.00",1.14,,,,,,,,,
,,2012 - 2013,"2,799.00","3,478.00",1.24,,,,,,,,,
,,2013 - 2014,"2,195.00","2,531.00",1.15,,,,,,,,,
,,2014 - 2015,"2,183.00","1,331.00",0.61,,,,,,,,,
,,2015 - 2016,"2,534.00","2,562.00",1.01,,,,,,,,,
,,2016 - 2017,"2,560.00","3,011.00",1.18,,,,,,,,,
,,2017 - 2018,"2,354.00","2,957.00",1.26,,,,,,,,,
,,2018 - 2019,"2,194.00","2,635.00",1.2,,,,,,,,,
,,2019 - 2020,"2,469.00","3,217.00",1.3,,,,,,,,,
,,2020 - 2021,"2,436.00","3,342.00",1.37,,,,,,,,,
,,2021 - 2022,"2,707.00","3,240.00",1.2,,,,,,,,,
,,2022 - 2023,"9,240.00","14,451.00",1.56,,,,,,,,,
,58. Muzaffarnagar,2000 - 2001,"2,179.00","2,177.00",1,,,,,,,,,
,,2001 - 2002,"2,448.00","2,459.00",1,,,,,,,,,
,,2002 - 2003,"2,325.00","2,081.00",0.9,,,,,,,,,
,,2003 - 2004,"2,525.00","2,506.00",0.99,,,,,,,,,
,,2004 - 2005,"3,396.00","3,370.00",0.99,,,,,,,,,
,,2005 - 2006,"3,361.00","3,874.00",1.15,,,,,,,,,
,,2006 - 2007,"3,396.00","3,488.00",1.03,,,,,,,,,
,,2007 - 2008,"2,750.00","3,183.00",1.16,,,,,,,,,
,,2008 - 2009,"2,964.00","3,337.00",1.13,,,,,,,,,
,,2009 - 2010,"3,642.00","4,061.00",1.12,,,,,,,,,
,,2010 - 2011,"4,031.00","4,819.00",1.2,,,,,,,,,
,,2011 - 2012,"5,526.00","5,631.00",1.02,,,,,,,,,
,,2012 - 2013,"3,690.00","4,111.00",1.11,,,,,,,,,
,,2013 - 2014,"4,563.00","4,143.00",0.91,,,,,,,,,
,,2014 - 2015,"4,352.00","2,602.00",0.6,,,,,,,,,
,,2015 - 2016,"5,109.00","5,071.00",0.99,,,,,,,,,
,,2016 - 2017,"4,018.00","4,961.00",1.23,,,,,,,,,
,,2017 - 2018,"4,125.00","5,826.00",1.41,,,,,,,,,
,,2018 - 2019,"3,774.00","5,281.00",1.4,,,,,,,,,
,,2019 - 2020,"3,685.00","4,669.00",1.27,,,,,,,,,
,,2020 - 2021,"4,841.00","7,220.00",1.49,,,,,,,,,
,,2021 - 2022,"8,048.00","9,271.00",1.15,,,,,,,,,
,,2022 - 2023,"3,074.00","4,574.00",1.49,,,,,,,,,
,59. Pilibhit,2000 - 2001,"6,319.00","4,274.00",0.68,,,,,,,,,
,,2001 - 2002,"6,655.00","5,114.00",0.77,,,,,,,,,
,,2002 - 2003,"6,329.00","3,318.00",0.52,,,,,,,,,
,,2003 - 2004,"5,917.00","3,933.00",0.66,,,,,,,,,
,,2004 - 2005,"7,480.00","4,593.00",0.61,,,,,,,,,
,,2005 - 2006,"7,543.00","5,153.00",0.68,,,,,,,,,
,,2006 - 2007,"6,559.00","5,310.00",0.81,,,,,,,,,
,,2007 - 2008,"9,562.00","7,529.00",0.79,,,,,,,,,
,,2008 - 2009,"9,552.00","8,469.00",0.89,,,,,,,,,
,,2009 - 2010,"8,000.00","6,313.00",0.79,,,,,,,,,
,,2010 - 2011,"9,690.00","7,684.00",0.79,,,,,,,,,
,,2011 - 2012,"10,906.00","8,223.00",0.75,,,,,,,,,
,,2012 - 2013,"11,747.00","12,969.00",1.1,,,,,,,,,
,,2013 - 2014,"9,455.00","8,349.00",0.88,,,,,,,,,
,,2014 - 2015,"9,573.00","6,051.00",0.63,,,,,,,,,
,,2015 - 2016,"9,974.00","8,289.00",0.83,,,,,,,,,
,,2016 - 2017,"11,937.00","10,326.00",0.87,,,,,,,,,
,,2017 - 2018,"10,823.00","8,962.00",0.83,,,,,,,,,
,,2018 - 2019,"10,085.00","9,188.00",0.91,,,,,,,,,
,,2019 - 2020,"11,453.00","9,804.00",0.86,,,,,,,,,
,,2020 - 2021,"10,632.00","10,728.00",1.01,,,,,,,,,
,,2021 - 2022,"14,232.00","12,809.00",0.9,,,,,,,,,
,,2022 - 2023,"14,795.00","19,515.00",1.32,,,,,,,,,
,60. Pratapgarh,2000 - 2001,"1,537.00","1,194.00",0.78,,,,,,,,,
,,2001 - 2002,"1,720.00","1,626.00",0.95,,,,,,,,,
,,2002 - 2003,"1,605.00","1,181.00",0.74,,,,,,,,,
,,2003 - 2004,"1,381.00",867,0.63,,,,,,,,,
,,2004 - 2005,"1,667.00","1,240.00",0.74,,,,,,,,,
,,2005 - 2006,"1,462.00","1,229.00",0.84,,,,,,,,,
,,2006 - 2007,"1,675.00","1,051.00",0.63,,,,,,,,,
,,2007 - 2008,"1,448.00","1,174.00",0.81,,,,,,,,,
,,2008 - 2009,"2,134.00","1,910.00",0.9,,,,,,,,,
,,2009 - 2010,"2,297.00","2,114.00",0.92,,,,,,,,,
,,2010 - 2011,"2,197.00","2,074.00",0.94,,,,,,,,,
,,2011 - 2012,"2,178.00","2,040.00",0.94,,,,,,,,,
,,2012 - 2013,"1,878.00","1,891.00",1.01,,,,,,,,,
,,2013 - 2014,"2,230.00","1,815.00",0.81,,,,,,,,,
,,2014 - 2015,"1,657.00",683,0.41,,,,,,,,,
,,2015 - 2016,"1,907.00","1,214.00",0.64,,,,,,,,,
,,2016 - 2017,"2,171.00","2,434.00",1.12,,,,,,,,,
,,2017 - 2018,"1,310.00","1,640.00",1.25,,,,,,,,,
,,2018 - 2019,"7,517.00","8,516.00",1.13,,,,,,,,,
,,2019 - 2020,"2,039.00","2,239.00",1.1,,,,,,,,,
,,2020 - 2021,"2,103.00","2,604.00",1.24,,,,,,,,,
