State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,25,23,0.92,,,,,,,,,
,,2006 - 2007,20,18,0.9,,,,,,,,,
,,2007 - 2008,20,24,1.2,,,,,,,,,
,,2008 - 2009,20,23,1.15,,,,,,,,,
,,2009 - 2010,10,11,1.1,,,,,,,,,
,,2010 - 2011,146,175,1.2,,,,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,
,,2015 - 2016,5,2,0.4,,,,,,,,,
,,2016 - 2017,10,8,0.8,,,,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,,,,
,,2021 - 2022,5,6,1.2,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,15. Kabirdham,2000 - 2001,"1,858.00",811,0.44,,,,,,,,,
,,2001 - 2002,"2,969.00","2,031.00",0.68,,,,,,,,,
,,2002 - 2003,"2,945.00","1,686.00",0.57,,,,,,,,,
,,2003 - 2004,"5,273.00","5,215.00",0.99,,,,,,,,,
,,2004 - 2005,"10,605.00","10,879.00",1.03,,,,,,,,,
