State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,1,1,1,,,,,,,,,
,,2003 - 2004,7,10,1.43,,,,,,,,,
,,2005 - 2006,11,13,1.18,,,,,,,,,
,,2006 - 2007,3,4,1.33,,,,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,,,,
,,2013 - 2014,6,5,0.83,,,,,,,,,
,,2014 - 2015,2,2,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,13. Dungarpur,2000 - 2001,30,21,0.7,,,,,,,,,
,,2001 - 2002,19,20,1.05,,,,,,,,,
,,2002 - 2003,27,14,0.52,,,,,,,,,
,,2003 - 2004,9,13,1.44,,,,,,,,,
,,2004 - 2005,154,220,1.43,,,,,,,,,
,,2005 - 2006,282,324,1.15,,,,,,,,,
,,2006 - 2007,274,330,1.2,,,,,,,,,
,,2007 - 2008,298,400,1.34,,,,,,,,,
,,2008 - 2009,666,648,0.97,,,,,,,,,
,,2009 - 2010,836,982,1.17,,,,,,,,,
,,2010 - 2011,"1,207.00","1,763.00",1.46,,,,,,,,,
,,2011 - 2012,"2,019.00","3,118.00",1.54,,,,,,,,,
,,2012 - 2013,"3,911.00","5,524.00",1.41,,,,,,,,,
,,2013 - 2014,"6,901.00","5,724.00",0.83,,,,,,,,,
,,2014 - 2015,"18,531.00","19,202.00",1.04,,,,,,,,,
,,2015 - 2016,"24,693.00","21,832.00",0.88,,,,,,,,,
,,2016 - 2017,"29,191.00","35,659.00",1.22,,,,,,,,,
,,2017 - 2018,"32,757.00","30,052.00",0.92,,,,,,,,,
,,2018 - 2019,"34,648.00","45,693.00",1.32,,,,,,,,,
,,2019 - 2020,"36,722.00","16,031.00",0.44,,,,,,,,,
,,2020 - 2021,"37,907.00","35,630.00",0.94,,,,,,,,,
,,2021 - 2022,"39,015.00","36,616.00",0.94,,,,,,,,,
,,2022 - 2023,"39,965.00","27,351.00",0.68,,,,,,,,,
,14. Ganganagar,2002 - 2003,1,,0,,,,,,,,,
,,2003 - 2004,3,4,1.33,,,,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,,,,
,15. Hanumangarh,2007 - 2008,5,7,1.4,,,,,,,,,
,,2008 - 2009,6,6,1,,,,,,,,,
,,2014 - 2015,6,6,1,,,,,,,,,
,,2015 - 2016,6,4,0.67,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,16. Jaipur,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,5,6,1.2,,,,,,,,,
,,2004 - 2005,23,32,1.39,,,,,,,,,
,,2011 - 2012,5,8,1.6,,,,,,,,,
,,2015 - 2016,3,2,0.67,,,,,,,,,
,,2016 - 2017,6,6,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,5,4,0.8,,,,,,,,,
,,2022 - 2023,4,4,1,,,,,,,,,
,17. Jalore,2004 - 2005,2,3,1.5,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,18. Jhalawar,2000 - 2001,"2,13,375.00","1,13,288.00",0.53,,,,,,,,,
,,2001 - 2002,"2,01,963.00","2,20,363.00",1.09,,,,,,,,,
,,2002 - 2003,"1,52,994.00","76,203.00",0.5,,,,,,,,,
,,2003 - 2004,"1,38,602.00","1,65,239.00",1.19,,,,,,,,,
,,2004 - 2005,"1,89,406.00","2,62,696.00",1.39,,,,,,,,,
,,2005 - 2006,"2,05,629.00","2,11,684.00",1.03,,,,,,,,,
,,2006 - 2007,"2,03,288.00","2,43,222.00",1.2,,,,,,,,,
,,2007 - 2008,"2,24,695.00","3,10,310.00",1.38,,,,,,,,,
,,2008 - 2009,"2,36,786.00","2,29,662.00",0.97,,,,,,,,,
,,2009 - 2010,"2,43,664.00","2,93,778.00",1.21,,,,,,,,,
,,2010 - 2011,"2,40,086.00","3,16,766.00",1.32,,,,,,,,,
,,2011 - 2012,"2,52,058.00","3,90,504.00",1.55,,,,,,,,,
,,2012 - 2013,"2,71,071.00","3,81,933.00",1.41,,,,,,,,,
,,2013 - 2014,"2,88,591.00","1,76,397.00",0.61,,,,,,,,,
,,2014 - 2015,"2,51,582.00","2,51,230.00",1,,,,,,,,,
,,2015 - 2016,"2,66,385.00","1,40,960.00",0.53,,,,,,,,,
,,2016 - 2017,"2,19,284.00","2,28,049.00",1.04,,,,,,,,,
,,2017 - 2018,"2,09,395.00","2,82,412.00",1.35,,,,,,,,,
,,2018 - 2019,"2,20,071.00","2,71,821.00",1.24,,,,,,,,,
,,2019 - 2020,"2,48,623.00","68,954.00",0.28,,,,,,,,,
,,2020 - 2021,"2,71,527.00","1,55,139.00",0.57,,,,,,,,,
,,2021 - 2022,"2,74,066.00","1,84,630.00",0.67,,,,,,,,,
,,2022 - 2023,"2,83,104.00","2,50,510.00",0.88,,,,,,,,,
,19. Jhunjhunu,2012 - 2013,1,1,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,20. Jodhpur,2004 - 2005,3,4,1.33,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,21. Karauli,2000 - 2001,12,8,0.67,,,,,,,,,
,,2001 - 2002,2,3,1.5,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,
,,2006 - 2007,6,7,1.17,,,,,,,,,
,,2007 - 2008,19,26,1.37,,,,,,,,,
,,2012 - 2013,1,2,2,,,,,,,,,
,,2013 - 2014,12,10,0.83,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,12,8,0.67,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2017 - 2018,10,12,1.2,,,,,,,,,
,,2018 - 2019,4,5,1.25,,,,,,,,,
,,2019 - 2020,3,2,0.67,,,,,,,,,
,,2020 - 2021,19,18,0.95,,,,,,,,,
,,2021 - 2022,12,9,0.75,,,,,,,,,
,,2022 - 2023,16,16,1,,,,,,,,,
,22. Kota,2000 - 2001,"1,36,279.00","1,29,419.00",0.95,,,,,,,,,
,,2001 - 2002,"1,45,228.00","1,62,046.00",1.12,,,,,,,,,
,,2002 - 2003,"85,161.00","28,325.00",0.33,,,,,,,,,
,,2003 - 2004,"1,05,505.00","1,69,816.00",1.61,,,,,,,,,
,,2004 - 2005,"1,18,412.00","1,89,518.00",1.6,,,,,,,,,
,,2005 - 2006,"1,27,319.00","1,67,733.00",1.32,,,,,,,,,
,,2006 - 2007,"75,361.00","98,649.00",1.31,,,,,,,,,
,,2007 - 2008,"1,24,405.00","1,96,773.00",1.58,,,,,,,,,
,,2008 - 2009,"1,32,164.00","1,11,617.00",0.84,,,,,,,,,
,,2009 - 2010,"1,22,293.00","1,45,587.00",1.19,,,,,,,,,
,,2010 - 2011,"1,12,195.00","1,53,568.00",1.37,,,,,,,,,
,,2011 - 2012,"1,47,002.00","2,20,682.00",1.5,,,,,,,,,
,,2012 - 2013,"1,86,413.00","2,55,065.00",1.37,,,,,,,,,
,,2013 - 2014,"2,19,751.00","2,07,242.00",0.94,,,,,,,,,
,,2014 - 2015,"1,43,423.00","1,37,311.00",0.96,,,,,,,,,
,,2015 - 2016,"1,94,333.00","1,45,442.00",0.75,,,,,,,,,
,,2016 - 2017,"1,64,981.00","1,67,544.00",1.02,,,,,,,,,
,,2017 - 2018,"1,20,764.00","1,50,550.00",1.25,,,,,,,,,
,,2018 - 2019,"1,27,923.00","1,50,568.00",1.18,,,,,,,,,
,,2019 - 2020,"1,80,334.00","1,15,752.00",0.64,,,,,,,,,
,,2020 - 2021,"1,85,824.00","2,54,313.00",1.37,,,,,,,,,
,,2021 - 2022,"1,88,182.00","1,62,080.00",0.86,,,,,,,,,
,,2022 - 2023,"1,87,872.00","2,12,266.00",1.13,,,,,,,,,
,23. Nagaur,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,
,,2022 - 2023,8,8,1,,,,,,,,,
,24. Pali,2001 - 2002,2,2,1,,,,,,,,,
,,2002 - 2003,6,3,0.5,,,,,,,,,
,,2003 - 2004,2,3,1.5,,,,,,,,,
,,2004 - 2005,20,29,1.45,,,,,,,,,
,,2005 - 2006,5,6,1.2,,,,,,,,,
,,2006 - 2007,5,6,1.2,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2012 - 2013,4,6,1.5,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2017 - 2018,14,17,1.21,,,,,,,,,
,,2018 - 2019,10,13,1.3,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,17,14,0.82,,,,,,,,,
,,2022 - 2023,9,9,1,,,,,,,,,
,25. Pratapgarh,2008 - 2009,"98,225.00","1,18,954.00",1.21,,,,,,,,,
,,2009 - 2010,"99,490.00","1,55,618.00",1.56,,,,,,,,,
,,2010 - 2011,"1,01,124.00","1,36,652.00",1.35,,,,,,,,,
,,2011 - 2012,"1,05,737.00","1,27,505.00",1.21,,,,,,,,,
,,2012 - 2013,"1,11,071.00","1,28,734.00",1.16,,,,,,,,,
,,2013 - 2014,"1,20,764.00","1,35,704.00",1.12,,,,,,,,,
,,2014 - 2015,"1,21,099.00","1,33,168.00",1.1,,,,,,,,,
,,2015 - 2016,"1,28,428.00","1,09,923.00",0.86,,,,,,,,,
,,2016 - 2017,"1,30,278.00","1,73,559.00",1.33,,,,,,,,,
,,2017 - 2018,"1,29,545.00","1,54,689.00",1.19,,,,,,,,,
,,2018 - 2019,"1,29,394.00","1,79,554.00",1.39,,,,,,,,,
,,2019 - 2020,"1,38,700.00","45,268.00",0.33,,,,,,,,,
,,2020 - 2021,"1,41,098.00","1,63,559.00",1.16,,,,,,,,,
,,2021 - 2022,"1,43,464.00","1,60,829.00",1.12,,,,,,,,,
,,2022 - 2023,"1,35,919.00","1,65,103.00",1.21,,,,,,,,,
,26. Rajsamand,2000 - 2001,3,2,0.67,,,,,,,,,
,,2001 - 2002,4,4,1,,,,,,,,,
,,2003 - 2004,14,20,1.43,,,,,,,,,
,,2004 - 2005,99,141,1.42,,,,,,,,,
,,2005 - 2006,30,35,1.17,,,,,,,,,
,,2006 - 2007,12,15,1.25,,,,,,,,,
,,2007 - 2008,29,39,1.34,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,
,,2015 - 2016,56,37,0.66,,,,,,,,,
,,2016 - 2017,63,68,1.08,,,,,,,,,
,,2017 - 2018,195,235,1.21,,,,,,,,,
,,2018 - 2019,413,518,1.25,,,,,,,,,
,,2019 - 2020,473,222,0.47,,,,,,,,,
,,2020 - 2021,846,819,0.97,,,,,,,,,
,,2021 - 2022,"1,004.00",805,0.8,,,,,,,,,
,,2022 - 2023,365,374,1.02,,,,,,,,,
,27. Sawai madhopur,2000 - 2001,"1,762.00","1,219.00",0.69,,,,,,,,,
,,2001 - 2002,"1,436.00","1,567.00",1.09,,,,,,,,,
,,2002 - 2003,602,302,0.5,,,,,,,,,
,,2003 - 2004,649,908,1.4,,,,,,,,,
,,2004 - 2005,772,"1,100.00",1.42,,,,,,,,,
,,2005 - 2006,"2,090.00","2,405.00",1.15,,,,,,,,,
,,2006 - 2007,876,"1,054.00",1.2,,,,,,,,,
,,2007 - 2008,"1,472.00","1,782.00",1.21,,,,,,,,,
,,2008 - 2009,"1,374.00","1,843.00",1.34,,,,,,,,,
,,2009 - 2010,741,813,1.1,,,,,,,,,
,,2010 - 2011,786,"1,148.00",1.46,,,,,,,,,
,,2011 - 2012,"2,962.00","3,325.00",1.12,,,,,,,,,
,,2012 - 2013,"3,884.00","4,518.00",1.16,,,,,,,,,
,,2013 - 2014,"8,989.00","11,788.00",1.31,,,,,,,,,
,,2014 - 2015,"6,684.00","9,547.00",1.43,,,,,,,,,
,,2015 - 2016,"10,586.00","11,007.00",1.04,,,,,,,,,
,,2016 - 2017,"11,058.00","16,124.00",1.46,,,,,,,,,
,,2017 - 2018,"5,037.00","5,571.00",1.11,,,,,,,,,
,,2018 - 2019,"1,683.00","2,278.00",1.35,,,,,,,,,
,,2019 - 2020,"1,511.00","1,867.00",1.24,,,,,,,,,
,,2020 - 2021,"1,690.00","2,835.00",1.68,,,,,,,,,
,,2021 - 2022,"1,269.00","1,597.00",1.26,,,,,,,,,
,,2022 - 2023,"3,271.00","2,430.00",0.74,,,,,,,,,
,28. Sikar,2004 - 2005,1,1,1,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2018 - 2019,7,9,1.29,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,29. Sirohi,2010 - 2011,3,4,1.33,,,,,,,,,
,,2016 - 2017,4,4,1,,,,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,30. Tonk,2000 - 2001,111,77,0.69,,,,,,,,,
,,2001 - 2002,54,59,1.09,,,,,,,,,
,,2002 - 2003,20,10,0.5,,,,,,,,,
,,2003 - 2004,20,28,1.4,,,,,,,,,
,,2004 - 2005,40,57,1.43,,,,,,,,,
,,2005 - 2006,83,95,1.14,,,,,,,,,
,,2006 - 2007,94,113,1.2,,,,,,,,,
,,2007 - 2008,87,117,1.34,,,,,,,,,
,,2008 - 2009,153,149,0.97,,,,,,,,,
,,2009 - 2010,86,101,1.17,,,,,,,,,
,,2010 - 2011,67,98,1.46,,,,,,,,,
,,2011 - 2012,126,195,1.55,,,,,,,,,
,,2012 - 2013,123,174,1.41,,,,,,,,,
,,2013 - 2014,839,696,0.83,,,,,,,,,
,,2014 - 2015,411,426,1.04,,,,,,,,,
,,2015 - 2016,626,418,0.67,,,,,,,,,
,,2016 - 2017,575,550,0.96,,,,,,,,,
,,2017 - 2018,116,140,1.21,,,,,,,,,
,,2018 - 2019,46,58,1.26,,,,,,,,,
,,2019 - 2020,90,42,0.47,,,,,,,,,
,,2020 - 2021,202,196,0.97,,,,,,,,,
,,2021 - 2022,114,91,0.8,,,,,,,,,
,,2022 - 2023,288,295,1.02,,,,,,,,,
,31. Udaipur,2000 - 2001,"1,004.00",694,0.69,,,,,,,,,
,,2001 - 2002,772,843,1.09,,,,,,,,,
,,2002 - 2003,"1,032.00",517,0.5,,,,,,,,,
,,2003 - 2004,936,"1,310.00",1.4,,,,,,,,,
,,2004 - 2005,"2,073.00","2,955.00",1.43,,,,,,,,,
,,2005 - 2006,"3,974.00","4,572.00",1.15,,,,,,,,,
,,2006 - 2007,"4,555.00","5,480.00",1.2,,,,,,,,,
,,2007 - 2008,"4,791.00","3,410.00",0.71,,,,,,,,,
,,2008 - 2009,"1,564.00","1,597.00",1.02,,,,,,,,,
,,2009 - 2010,"1,751.00","1,054.00",0.6,,,,,,,,,
,,2010 - 2011,"1,802.00","2,632.00",1.46,,,,,,,,,
,,2011 - 2012,"1,927.00","2,912.00",1.51,,,,,,,,,
,,2012 - 2013,"2,987.00","2,678.00",0.9,,,,,,,,,
,,2013 - 2014,"3,167.00","4,172.00",1.32,,,,,,,,,
,,2014 - 2015,"6,917.00","7,631.00",1.1,,,,,,,,,
,,2015 - 2016,"12,735.00","7,388.00",0.58,,,,,,,,,
,,2016 - 2017,"14,525.00","13,826.00",0.95,,,,,,,,,
,,2017 - 2018,"19,343.00","17,618.00",0.91,,,,,,,,,
,,2018 - 2019,"24,195.00","29,895.00",1.24,,,,,,,,,
,,2019 - 2020,"32,552.00","17,591.00",0.54,,,,,,,,,
,,2020 - 2021,"34,358.00","34,512.00",1,,,,,,,,,
,,2021 - 2022,"39,444.00","44,627.00",1.13,,,,,,,,,
,,2022 - 2023,"42,507.00","43,564.00",1.02,,,,,,,,,
18. Sikkim,1. Gangtok,2000 - 2001,"1,000.00",830,0.83,,,,,,,,,
,,2001 - 2002,"1,000.00",790,0.79,,,,,,,,,
,,2002 - 2003,740,520,0.7,,,,,,,,,
,,2003 - 2004,740,620,0.84,,,,,,,,,
,,2004 - 2005,750,650,0.87,,,,,,,,,
,,2005 - 2006,750,700,0.93,,,,,,,,,
,,2006 - 2007,740,740,1,,,,,,,,,
,,2007 - 2008,600,530,0.88,,,,,,,,,
,,2008 - 2009,710,630,0.89,,,,,,,,,
,,2009 - 2010,"1,040.00",910,0.88,,,,,,,,,
,,2010 - 2011,"1,000.00",965,0.97,,,,,,,,,
,,2011 - 2012,930,890,0.96,,,,,,,,,
,,2012 - 2013,920,900,0.98,,,,,,,,,
,,2013 - 2014,920,906,0.98,,,,,,,,,
,,2014 - 2015,"1,100.00","1,084.00",0.99,,,,,,,,,
,,2015 - 2016,"1,120.00","1,120.00",1,,,,,,,,,
,,2016 - 2017,"1,125.00","1,126.00",1,,,,,,,,,
,,2017 - 2018,"1,120.00","1,121.00",1,,,,,,,,,
,,2018 - 2019,"1,027.00","1,028.00",1,,,,,,,,,
,,2019 - 2020,"1,030.00","1,032.00",1,,,,,,,,,
,,2020 - 2021,"1,030.00","1,032.00",1,,,,,,,,,
,,2022 - 2023,299,300,1,,,,,,,,,
,2. Geyzing,2000 - 2001,"1,350.00","1,131.00",0.84,,,,,,,,,
,,2001 - 2002,"1,350.00","1,100.00",0.81,,,,,,,,,
,,2002 - 2003,"1,350.00","1,000.00",0.74,,,,,,,,,
,,2003 - 2004,"1,350.00","1,100.00",0.81,,,,,,,,,
,,2004 - 2005,"1,340.00","1,090.00",0.81,,,,,,,,,
,,2005 - 2006,"1,340.00","1,080.00",0.81,,,,,,,,,
,,2006 - 2007,"1,160.00","1,160.00",1,,,,,,,,,
,,2007 - 2008,450,400,0.89,,,,,,,,,
,,2008 - 2009,"1,290.00","1,140.00",0.88,,,,,,,,,
,,2009 - 2010,800,700,0.88,,,,,,,,,
,,2010 - 2011,"1,200.00","1,051.00",0.88,,,,,,,,,
,,2011 - 2012,"1,190.00","1,040.00",0.87,,,,,,,,,
,,2012 - 2013,"1,190.00","1,090.00",0.92,,,,,,,,,
,,2013 - 2014,"1,210.00","1,110.00",0.92,,,,,,,,,
,,2014 - 2015,"1,200.00","1,102.00",0.92,,,,,,,,,
,,2015 - 2016,546,520,0.95,,,,,,,,,
,,2016 - 2017,480,457,0.95,,,,,,,,,
,,2017 - 2018,381,363,0.95,,,,,,,,,
,,2018 - 2019,367,350,0.95,,,,,,,,,
,,2019 - 2020,343,328,0.96,,,,,,,,,
,,2020 - 2021,338,323,0.96,,,,,,,,,
,,2021 - 2022,340,325,0.96,,,,,,,,,
,,2022 - 2023,295,284,0.96,,,,,,,,,
,3. Mangan,2000 - 2001,400,269,0.67,,,,,,,,,
,,2001 - 2002,400,274,0.69,,,,,,,,,
,,2002 - 2003,400,240,0.6,,,,,,,,,
,,2003 - 2004,400,300,0.75,,,,,,,,,
,,2004 - 2005,400,310,0.78,,,,,,,,,
,,2005 - 2006,400,310,0.78,,,,,,,,,
,,2006 - 2007,310,310,1,,,,,,,,,
,,2007 - 2008,40,310,7.75,,,,,,,,,
,,2008 - 2009,300,250,0.83,,,,,,,,,
,,2009 - 2010,630,520,0.83,,,,,,,,,
,,2010 - 2011,500,413,0.83,,,,,,,,,
,,2011 - 2012,300,250,0.83,,,,,,,,,
,,2012 - 2013,300,250,0.83,,,,,,,,,
,,2013 - 2014,300,257,0.86,,,,,,,,,
,,2014 - 2015,300,257,0.86,,,,,,,,,
,,2015 - 2016,302,260,0.86,,,,,,,,,
,,2016 - 2017,300,260,0.87,,,,,,,,,
,,2017 - 2018,302,263,0.87,,,,,,,,,
,,2018 - 2019,300,261,0.87,,,,,,,,,
,,2019 - 2020,306,266,0.87,,,,,,,,,
,,2020 - 2021,321,280,0.87,,,,,,,,,
,,2021 - 2022,328,286,0.87,,,,,,,,,
,,2022 - 2023,306,267,0.87,,,,,,,,,
,4. Namchi,2000 - 2001,"1,400.00","1,180.00",0.84,,,,,,,,,
,,2001 - 2002,"1,400.00","1,150.00",0.82,,,,,,,,,
,,2002 - 2003,"1,400.00","1,150.00",0.82,,,,,,,,,
,,2003 - 2004,"1,400.00","1,190.00",0.85,,,,,,,,,
,,2004 - 2005,"1,400.00",120,0.09,,,,,,,,,
,,2005 - 2006,140,"1,240.00",8.86,,,,,,,,,
,,2006 - 2007,"1,020.00","1,020.00",1,,,,,,,,,
,,2007 - 2008,"1,270.00","1,110.00",0.87,,,,,,,,,
,,2008 - 2009,"1,300.00","1,140.00",0.88,,,,,,,,,
,,2009 - 2010,"1,730.00","1,520.00",0.88,,,,,,,,,
,,2010 - 2011,"1,500.00","1,320.00",0.88,,,,,,,,,
,,2011 - 2012,"1,450.00","1,290.00",0.89,,,,,,,,,
,,2012 - 2013,"1,450.00","1,370.00",0.94,,,,,,,,,
,,2013 - 2014,"1,450.00","1,400.00",0.97,,,,,,,,,
,,2014 - 2015,"1,460.00","1,410.00",0.97,,,,,,,,,
,,2015 - 2016,"1,310.00","1,290.00",0.98,,,,,,,,,
,,2016 - 2017,"1,270.00","1,251.00",0.99,,,,,,,,,
,,2017 - 2018,"1,268.00","1,249.00",0.99,,,,,,,,,
,,2018 - 2019,"1,268.00","1,251.00",0.99,,,,,,,,,
,,2019 - 2020,"1,250.00","1,233.00",0.99,,,,,,,,,
,,2020 - 2021,"1,268.00","1,251.00",0.99,,,,,,,,,
,,2021 - 2022,"1,244.00","1,229.00",0.99,,,,,,,,,
,,2022 - 2023,"1,168.00","1,154.00",0.99,,,,,,,,,
,5. Pakyong,2021 - 2022,"1,030.00","1,032.00",1,,,,,,,,,
,,2022 - 2023,702,703,1,,,,,,,,,
,6. Soreng,2022 - 2023,92,86,0.93,,,,,,,,,
19. Tamil Nadu,1. Coimbatore,2005 - 2006,19,,0,,,,,,,,,
,2. Dindigul,2005 - 2006,11,,0,,,,,,,,,
,3. Erode,2005 - 2006,13,,0,,,,,,,,,
,4. Karur,2005 - 2006,1,,0,,,,,,,,,
,5. Nagapattinam,2005 - 2006,72,,0,,,,,,,,,
,6. Salem,2005 - 2006,16,,0,,,,,,,,,
,7. Thanjavur,2005 - 2006,352,,0,,,,,,,,,
,8. Thiruvallur,2005 - 2006,41,,0,,,,,,,,,
,9. Thoothukudi,2005 - 2006,68,,0,,,,,,,,,
,10. Tirunelveli,2005 - 2006,25,,0,,,,,,,,,
,11. Tiruvannamalai,2005 - 2006,1,,0,,,,,,,,,
,12. Vellore,2005 - 2006,11,,0,,,,,,,,,
20. Telangana,1. Adilabad,2002 - 2003,"38,558.00",0,0,,,,,,,,,
,,2003 - 2004,"65,721.00","1,03,839.00",1.58,,,,,,,,,
,,2004 - 2005,"58,185.00","90,478.00",1.56,,,,,,,,,
,,2005 - 2006,"76,889.00","1,49,933.00",1.95,,,,,,,,,
,,2006 - 2007,"81,192.00","1,31,206.00",1.62,,,,,,,,,
,,2008 - 2009,"96,223.00","1,18,547.00",1.23,,,,,,,,,
,,2009 - 2010,"92,093.00","52,677.00",0.57,,,,,,,,,
,,2010 - 2011,"61,932.00","84,847.00",1.37,,,,,,,,,
,,2011 - 2012,"58,983.00","83,402.00",1.41,,,,,,,,,
,,2013 - 2014,"1,13,558.00","1,31,273.00",1.16,,,,,,,,,
,,2014 - 2015,"1,05,907.00","87,585.00",0.83,,,,,,,,,
,,2015 - 2016,"96,367.00","96,367.00",1,,,,,,,,,
,,2016 - 2017,"45,795.00","62,052.00",1.35,,,,,,,,,
,,2017 - 2018,"19,459.00","30,006.00",1.54,,,,,,,,,
,,2018 - 2019,"26,451.00","41,369.00",1.56,,,,,,,,,
,,2019 - 2020,"37,263.00","67,218.00",1.8,,,,,,,,,
,,2020 - 2021,"31,687.00","42,675.00",1.35,,,,,,,,,
,,2021 - 2022,"41,146.00","73,900.00",1.8,111,199,1.79,,,,,,
,,2022 - 2023,"54,555.00","86,361.00",1.58,55,61,1.11,,,,,,
,2. Bhadradri,2016 - 2017,19,22,1.16,,,,,,,,,
,,2017 - 2018,4,6,1.5,,,,,,,,,
,,2018 - 2019,2,3,1.5,,,,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,3. Jagitial,2016 - 2017,"5,924.00","11,297.00",1.91,,,,,,,,,
,,2017 - 2018,"2,570.00","3,583.00",1.39,,,,,,,,,
,,2018 - 2019,"1,352.00","1,901.00",1.41,,,,,,,,,
,,2019 - 2020,686,"1,140.00",1.66,,,,,,,,,
,,2020 - 2021,"2,412.00","3,852.00",1.6,,,,,,,,,
,,2021 - 2022,741,"1,420.00",1.92,2,4,2,,,,,,
,,2022 - 2023,862,"1,381.00",1.6,,,,,,,,,
,4. Jangoan,2016 - 2017,86,100,1.16,,,,,,,,,
,,2020 - 2021,8,12,1.5,,,,,,,,,
,,2021 - 2022,8,14,1.75,4,7,1.75,,,,,,
,,2022 - 2023,6,10,1.67,,,,,,,,,
,5. Jayashankar,2016 - 2017,65,76,1.17,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,5,9,1.8,,,,,,,,,
,,2022 - 2023,1,2,2,2,3,1.5,,,,,,
,6. Jogulamba,2016 - 2017,9,10,1.11,,,,,,,,,
,,2020 - 2021,5,8,1.6,,,,,,,,,
,,2021 - 2022,5,9,1.8,24,42,1.75,,,,,,
,,2022 - 2023,33,53,1.61,14,18,1.29,,,,,,
,7. Kamareddy,2016 - 2017,"56,814.00","55,394.00",0.98,32,31,0.97,,,,,,
,,2017 - 2018,"33,199.00","62,481.00",1.88,,,,,,,,,
,,2018 - 2019,"36,911.00","61,420.00",1.66,,,,,,,,,
,,2019 - 2020,"36,373.00","74,243.00",2.04,,,,,,,,,
,,2020 - 2021,"34,600.00","52,154.00",1.51,,,,,,,,,
,,2021 - 2022,"28,785.00","51,727.00",1.8,"1,079.00","1,939.00",1.8,,,,,,
,,2022 - 2023,"36,290.00","49,572.00",1.37,666,"1,036.00",1.56,,,,,,
,8. Karimnagar,2005 - 2006,445,890,2,,,,,,,,,
,,2006 - 2007,826,"1,263.00",1.53,,,,,,,,,
,,2008 - 2009,61,83,1.36,,,,,,,,,
,,2009 - 2010,"1,808.00","1,490.00",0.82,,,,,,,,,
,,2010 - 2011,"1,460.00","2,488.00",1.7,,,,,,,,,
,,2011 - 2012,"2,710.00","4,379.00",1.62,,,,,,,,,
,,2013 - 2014,"12,294.00","19,793.00",1.61,,,,,,,,,
,,2014 - 2015,"16,533.00","17,872.00",1.08,,,,,,,,,
,,2015 - 2016,"9,328.00","11,921.00",1.28,,,,,,,,,
